"","GO0042393_histone_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.321156752755022
"Q5VUJ6_IDR_1_54",0.480946826270617
"Q5VUJ6_IDR_308_649",0.519053173729383
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.543270696799884
"Q5VV16_IDR_235_409",0.456729303200116
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.522568418941197
"Q5VV42_IDR_499_545",0.477431581058803
"Q5VWN6_IDR_1918_1981",0.158782725128752
"Q5VWN6_IDR_1993_2150",0.158505538153178
"Q5VWN6_IDR_803_1879",0.172095090614837
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.285436639782696
"Q5VWQ0_IDR_63_351",0.418048742205446
"Q5VWQ0_IDR_708_802",0.296514618011857
"Q5VWQ8_IDR_1141_1189",0.332126846130728
"Q5VWQ8_IDR_1_142",0.328714813735208
"Q5VWQ8_IDR_654_1098",0.339158340134065
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.191879652244787
"Q5VZL5_IDR_1_334",0.227463559234849
"Q5VZL5_IDR_640_677",0.191508932618188
"Q5VZL5_IDR_851_997",0.195470271511227
"Q5VZL5_IDR_999_1200",0.193677584390948
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.23636654374992
"Q5VZP5_IDR_45_103",0.137724550884878
"Q5XX13_IDR_168_231",0.489889298747487
"Q5XX13_IDR_693_978",0.510110701252513
"Q5XXA6_IDR_1_48",0.332384556520611
"Q5XXA6_IDR_74_121",0.334631859407806
"Q5XXA6_IDR_945_986",0.332983584071584
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.495416438215608
"Q63HK3_IDR_383_743",0.504583561784392
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.348374434539212
"Q66K14_IDR_944_993",0.332913484833445
"Q66K41_IDR_1_291",0.531972344481897
"Q66K41_IDR_304_345",0.468027655518103
"Q66K64_IDR_1_37",0.49773348728125
"Q66K64_IDR_275_383",0.50226651271875
"Q66K66_IDR_241_349",0.518655781810783
"Q66K66_IDR_32_81",0.481344218189217
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242533744485329
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.481905955777276
"Q8IU57_IDR_479_520",0.518094044222724
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.491492304159939
"Q8IU81_IDR_56_237",0.508507695840061
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.505331739440942
"Q8IUC6_IDR_634_673",0.494668260559057
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.222473282436438
"Q8IUD2_IDR_621_730",0.238416861907187
"Q8IUD2_IDR_764_839",0.224504816612332
"Q8IUD2_IDR_926_1072",0.314605039044044
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.489125848498331
"Q8IUE0_IDR_1_55",0.510874151501669
"Q8IUE1_IDR_116_241",0.484756004719412
"Q8IUE1_IDR_1_55",0.515243995280588
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.294570793141631
"Q8IUG5_IDR_1_504",0.374380396426241
"Q8IUW5_IDR_126_223",0.23228827786719
"Q8IUW5_IDR_1_54",0.220611165277812
"Q8IUW5_IDR_234_271",0.228652831981033
"Q8IUW5_IDR_91_123",0.318447724873965
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.277758503701556
"Q8IUX7_IDR_1099_1138",0.33987442150751
"Q8IUX7_IDR_44_388",0.382367074790934
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.490084322623713
"Q8IUY3_IDR_182_321",0.509915677376287
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.497473364058831
"Q8IV04_IDR_352_446",0.502526635941169
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.49175014939137
"Q8IV31_IDR_62_184",0.50824985060863
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.244953896255114
"Q8IVE3_IDR_1453_1493",0.248972094217383
"Q8IVE3_IDR_36_69",0.248677811637071
"Q8IVE3_IDR_71_132",0.257396197890432
"Q8IVF1_IDR_14_81",0.198866726054536
"Q8IVF1_IDR_232_366",0.191183271076091
"Q8IVF1_IDR_407_522",0.204146943840968
"Q8IVF1_IDR_525_878",0.211854472614471
"Q8IVF1_IDR_83_205",0.193948586413934
"Q8IVF2_IDR_1_114",0.284198233872038
"Q8IVF2_IDR_1794_5795",0.356138510910809
"Q8IVF2_IDR_195_1792",0.359663255217153
"Q8IVF4_IDR_156_187",0.465758892482757
"Q8IVF4_IDR_1_66",0.534241107517244
"Q8IVF5_IDR_1017_1093",0.239161826828629
"Q8IVF5_IDR_1461_1667",0.290030548698669
"Q8IVF5_IDR_1_498",0.23117812553436
"Q8IVF5_IDR_749_804",0.239629498938342
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.353360779468258
"Q8IVW6_IDR_319_491",0.331470096692063
"Q8IVW6_IDR_516_561",0.315169123839679
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.349297380116762
"Q8IW35_IDR_575_628",0.330182394224839
"Q8IW35_IDR_633_854",0.320520225658398
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.49459516898888
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.435823026194684
"Q8IWE2_IDR_404_437",0.564176973805316
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.509169963186904
"Q8IWF9_IDR_234_348",0.490830036813096
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.114352913330985
"Q8IWI9_IDR_1340_1371",0.101516127308214
"Q8IWI9_IDR_1398_1903",0.108978362144823
"Q8IWI9_IDR_1905_2856",0.156105115127436
"Q8IWI9_IDR_261_649",0.104407489610498
"Q8IWI9_IDR_2974_3016",0.101174704945077
"Q8IWI9_IDR_3020_3065",0.10427638698352
"Q8IWI9_IDR_681_751",0.104747835729641
"Q8IWI9_IDR_753_1079",0.104441064819804
"Q8IWJ2_IDR_1_69",0.357273700626933
"Q8IWT3_IDR_1658_1690",0.229424711755288
"Q8IWT3_IDR_2437_2517",0.336106425592532
"Q8IWT6_IDR_180_231",0.510386047142966
"Q8IWT6_IDR_62_95",0.489613952857034
"Q8IWU2_IDR_1_101",0.230631140259622
"Q8IWU2_IDR_1377_1415",0.232103161615254
"Q8IWU2_IDR_1426_1459",0.231349454458131
"Q8IWU2_IDR_557_1314",0.305916243666993
"Q8IWU5_IDR_1_40",0.236517989489295
"Q8IWU5_IDR_557_594",0.265536431128099
"Q8IWU5_IDR_648_718",0.261589165346445
"Q8IWU5_IDR_824_860",0.23635641403616
"Q8IWU6_IDR_1_37",0.203548679981201
"Q8IWU6_IDR_510_543",0.209486156581412
"Q8IWU6_IDR_561_610",0.321757364378335
"Q8IWU6_IDR_666_738",0.265207799059052
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.32194553144446
"Q8IWV1_IDR_178_270",0.330346333697012
"Q8IWV1_IDR_295_398",0.347708134858528
"Q8IX03_IDR_790_917",0.273009395872022
"Q8IX03_IDR_945_991",0.243464195740534
"Q8IX07_IDR_1_83",0.462846131353244
"Q8IX07_IDR_194_247",0.271269102767593
"Q8IX07_IDR_266_972",0.265884765879163
"Q8IX12_IDR_212_357",0.152652864949586
"Q8IX12_IDR_599_722",0.170859253250714
"Q8IX12_IDR_793_917",0.385534833417916
"Q8IX12_IDR_9_144",0.141100398724573
"Q8IX12_IDR_981_1021",0.149852649657211
"Q8IX15_IDR_125_364",0.246870911756086
"Q8IX15_IDR_1_38",0.244122543908438
"Q8IX15_IDR_420_461",0.243139002490952
"Q8IX15_IDR_504_550",0.265867541844523
"Q8IX18_IDR_1_50",0.482821790359871
"Q8IX18_IDR_706_779",0.517178209640129
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.515060059667862
"Q8IX29_IDR_239_292",0.484939940332138
"Q8IXP5_IDR_108_216",0.49941013505826
"Q8IXP5_IDR_1_106",0.50058986494174
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.535521503354214
"Q8IXQ8_IDR_211_264",0.464478496645786
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.324790931633228
"Q8IXT5_IDR_485_921",0.346848894238458
"Q8IXT5_IDR_89_151",0.328360174128314
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.339901375554171
"Q8IXW0_IDR_176_344",0.32287775788759
"Q8IXW0_IDR_466_587",0.33722086655824
"Q8IXW5_IDR_1_41",0.503732138130886
"Q8IXW5_IDR_171_324",0.496267861869114
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.48517209444588
"Q8IY63_IDR_493_952",0.514827905554119
"Q8IY67_IDR_1_35",0.515019625912546
"Q8IY67_IDR_349_606",0.484980374087454
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.492343640272647
"Q8IY84_IDR_7_44",0.507656359727353
"Q8IY85_IDR_375_441",0.49075434619422
"Q8IY85_IDR_77_146",0.50924565380578
"Q8IY92_IDR_1_50",0.15791391980833
"Q8IY92_IDR_377_470",0.190586556970785
"Q8IY92_IDR_558_613",0.151595259320633
"Q8IY92_IDR_630_669",0.155968178677527
"Q8IY92_IDR_64_289",0.171705232074788
"Q8IY92_IDR_824_1750",0.172230853147937
"Q8IYE1_IDR_684_715",0.450513660535056
"Q8IYF1_IDR_647_753",0.452253786900704
"Q8IYF1_IDR_79_458",0.547746213099296
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.423532257457789
"Q8IYH5_IDR_573_649",0.285237672025735
"Q8IYH5_IDR_714_786",0.291230070516477
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.404604557873015
"Q8IYI6_IDR_287_328",0.595395442126985
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.24328008091057
"Q8IYJ0_IDR_112_175",0.250466564315702
"Q8IYJ0_IDR_204_238",0.255832571471313
"Q8IYJ0_IDR_240_282",0.250420783302415
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.495013991551352
"Q8IYK4_IDR_584_626",0.504986008448648
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.161914268628755
"Q8IYW2_IDR_1347_1410",0.189340984402858
"Q8IYW2_IDR_1985_2022",0.165103681563535
"Q8IYW2_IDR_2287_2320",0.164225912225149
"Q8IYW2_IDR_2540_2579",0.159847810369652
"Q8IYW2_IDR_2630_2661",0.159567342810052
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.517632198338297
"Q8IZ41_IDR_77_124",0.482367801661703
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.316136216092011
"Q8IZ63_IDR_360_422",0.366275098235758
"Q8IZ63_IDR_87_332",0.317588685672231
"Q8IZ69_IDR_1_56",0.537522780214024
"Q8IZ69_IDR_591_625",0.462477219785976
"Q8IZ73_IDR_31_122",0.489590017900211
"Q8IZ73_IDR_421_495",0.510409982099788
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.324950321690317
"Q8IZA0_IDR_201_244",0.324759511896474
"Q8IZA0_IDR_957_1015",0.350290166413209
"Q8IZA3_IDR_114_346",0.613771868440849
"Q8IZA3_IDR_1_50",0.386228131559151
"Q8IZC4_IDR_185_221",0.332737365394856
"Q8IZC4_IDR_409_445",0.309161458469905
"Q8IZC4_IDR_476_603",0.358101176135239
"Q8IZC6_IDR_1_36",0.492042531149923
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.513370577013246
"Q8IZJ3_IDR_1758_1835",0.486629422986754
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.401841358244313
"Q8IZL8_IDR_637_1130",0.598158641755687
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.504148285933625
"Q8IZN3_IDR_323_488",0.495851714066375
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.528471418646949
"Q8IZP6_IDR_97_147",0.471528581353051
"Q8IZP7_IDR_1_118",0.520689972907444
"Q8IZP7_IDR_426_459",0.479310027092556
"Q8IZP9_IDR_249_371",0.248421337969208
"Q8IZP9_IDR_39_74",0.247050603708939
"Q8IZU9_IDR_701_778",0.488539723226696
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.1479514400798
"Q8IZX4_IDR_1220_1400",0.136218676154779
"Q8IZX4_IDR_1644_1826",0.210435464796811
"Q8IZX4_IDR_268_354",0.131531769264507
"Q8IZX4_IDR_536_578",0.13482314455516
"Q8IZX4_IDR_82_235",0.239039505148943
"Q8IZY2_IDR_1152_1210",0.499524510368534
"Q8IZY2_IDR_2105_2146",0.500475489631466
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.492082814412534
"Q8N0S2_IDR_260_351",0.507917185587466
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.245088913861687
"Q8N0U7_IDR_267_299",0.24916904507434
"Q8N0U7_IDR_37_122",0.255739955324573
"Q8N0U7_IDR_391_467",0.250002085739399
"Q8N103_IDR_1_81",0.517676333602682
"Q8N103_IDR_283_731",0.482323666397318
"Q8N108_IDR_1_176",0.567311642947537
"Q8N108_IDR_344_512",0.432688357052463
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.502848229018253
"Q8N114_IDR_203_240",0.497151770981747
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.497799286955186
"Q8N122_IDR_820_949",0.502200713044814
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.497724835979463
"Q8N128_IDR_68_213",0.502275164020537
"Q8N129_IDR_1_32",0.337208528526987
"Q8N129_IDR_202_248",0.662791471473013
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.335144685163198
"Q8N137_IDR_442_797",0.324738837415842
