"","GO0022804_active_transmembrane_transporter_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.320077114421998
"Q5VUJ6_IDR_1_54",0.440053025606047
"Q5VUJ6_IDR_308_649",0.559946974393953
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.542815701058126
"Q5VV16_IDR_235_409",0.457184298941874
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.502544523251892
"Q5VV42_IDR_499_545",0.497455476748108
"Q5VWN6_IDR_1918_1981",0.157141284812945
"Q5VWN6_IDR_1993_2150",0.151155504461036
"Q5VWN6_IDR_803_1879",0.212080866803325
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.313033458221617
"Q5VWQ0_IDR_63_351",0.308660653192297
"Q5VWQ0_IDR_708_802",0.378305888586086
"Q5VWQ8_IDR_1141_1189",0.320056292593337
"Q5VWQ8_IDR_1_142",0.309247266001707
"Q5VWQ8_IDR_654_1098",0.370696441404956
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.207854646027503
"Q5VZL5_IDR_1_334",0.214869566867598
"Q5VZL5_IDR_640_677",0.181322666649819
"Q5VZL5_IDR_851_997",0.183780469382229
"Q5VZL5_IDR_999_1200",0.212172651072851
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.179794114065545
"Q5VZP5_IDR_45_103",0.161475395317881
"Q5XX13_IDR_168_231",0.547333197765887
"Q5XX13_IDR_693_978",0.452666802234113
"Q5XXA6_IDR_1_48",0.354397660128445
"Q5XXA6_IDR_74_121",0.306725819165838
"Q5XXA6_IDR_945_986",0.338876520705717
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.448047377973252
"Q63HK3_IDR_383_743",0.551952622026748
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.35973452722328
"Q66K14_IDR_944_993",0.339881141471263
"Q66K41_IDR_1_291",0.492403887918138
"Q66K41_IDR_304_345",0.507596112081862
"Q66K64_IDR_1_37",0.5033384744017
"Q66K64_IDR_275_383",0.4966615255983
"Q66K66_IDR_241_349",0.488245351237613
"Q66K66_IDR_32_81",0.511754648762387
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.264103723126679
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.49324133825689
"Q8IU57_IDR_479_520",0.50675866174311
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.498651100321192
"Q8IU81_IDR_56_237",0.501348899678808
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.501832208910543
"Q8IUC6_IDR_634_673",0.498167791089457
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.264696151163539
"Q8IUD2_IDR_621_730",0.250533630643966
"Q8IUD2_IDR_764_839",0.245106735904576
"Q8IUD2_IDR_926_1072",0.23966348228792
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.50982889935317
"Q8IUE0_IDR_1_55",0.49017110064683
"Q8IUE1_IDR_116_241",0.522942339186035
"Q8IUE1_IDR_1_55",0.477057660813965
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.37628678533439
"Q8IUG5_IDR_1_504",0.305487959010711
"Q8IUW5_IDR_126_223",0.226190113511217
"Q8IUW5_IDR_1_54",0.219884225578362
"Q8IUW5_IDR_234_271",0.258412491854495
"Q8IUW5_IDR_91_123",0.295513169055926
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.325687939334152
"Q8IUX7_IDR_1099_1138",0.355368383624142
"Q8IUX7_IDR_44_388",0.318943677041706
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.484857684368641
"Q8IUY3_IDR_182_321",0.515142315631359
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.545289248176982
"Q8IV04_IDR_352_446",0.454710751823018
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.492602013923117
"Q8IV31_IDR_62_184",0.507397986076883
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.264267203855407
"Q8IVE3_IDR_1453_1493",0.235823403210205
"Q8IVE3_IDR_36_69",0.249166829613935
"Q8IVE3_IDR_71_132",0.250742563320452
"Q8IVF1_IDR_14_81",0.209336637930997
"Q8IVF1_IDR_232_366",0.192698829723566
"Q8IVF1_IDR_407_522",0.206330745033407
"Q8IVF1_IDR_525_878",0.20068091550701
"Q8IVF1_IDR_83_205",0.190952871805019
"Q8IVF2_IDR_1_114",0.368493653863451
"Q8IVF2_IDR_1794_5795",0.321466139950921
"Q8IVF2_IDR_195_1792",0.310040206185628
"Q8IVF4_IDR_156_187",0.513641543001416
"Q8IVF4_IDR_1_66",0.486358456998584
"Q8IVF5_IDR_1017_1093",0.266058497810127
"Q8IVF5_IDR_1461_1667",0.267967473073652
"Q8IVF5_IDR_1_498",0.229282861992143
"Q8IVF5_IDR_749_804",0.236691167124077
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.363840178079847
"Q8IVW6_IDR_319_491",0.3192650166493
"Q8IVW6_IDR_516_561",0.316894805270853
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.366154574282288
"Q8IW35_IDR_575_628",0.278276574880993
"Q8IW35_IDR_633_854",0.355568850836719
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.479174713707906
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.490690971375894
"Q8IWE2_IDR_404_437",0.509309028624106
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.435350407167817
"Q8IWF9_IDR_234_348",0.564649592832183
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.108190183096633
"Q8IWI9_IDR_1340_1371",0.115427950005591
"Q8IWI9_IDR_1398_1903",0.0907478676036581
"Q8IWI9_IDR_1905_2856",0.136128124925766
"Q8IWI9_IDR_261_649",0.125157681701299
"Q8IWI9_IDR_2974_3016",0.101123038625916
"Q8IWI9_IDR_3020_3065",0.105441579015742
"Q8IWI9_IDR_681_751",0.116625699470555
"Q8IWI9_IDR_753_1079",0.101157875554841
"Q8IWJ2_IDR_1_69",0.31740015056817
"Q8IWT3_IDR_1658_1690",0.247055013280877
"Q8IWT3_IDR_2437_2517",0.271463534181473
"Q8IWT6_IDR_180_231",0.522116269114318
"Q8IWT6_IDR_62_95",0.477883730885682
"Q8IWU2_IDR_1_101",0.253473002187057
"Q8IWU2_IDR_1377_1415",0.250571633594355
"Q8IWU2_IDR_1426_1459",0.215855453440798
"Q8IWU2_IDR_557_1314",0.28009991077779
"Q8IWU5_IDR_1_40",0.224683263555193
"Q8IWU5_IDR_557_594",0.294578102931724
"Q8IWU5_IDR_648_718",0.244233394872199
"Q8IWU5_IDR_824_860",0.236505238640884
"Q8IWU6_IDR_1_37",0.227231559929189
"Q8IWU6_IDR_510_543",0.22789636592189
"Q8IWU6_IDR_561_610",0.306215315676145
"Q8IWU6_IDR_666_738",0.238656758472776
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.286337528142079
"Q8IWV1_IDR_178_270",0.347819311380794
"Q8IWV1_IDR_295_398",0.365843160477127
"Q8IX03_IDR_790_917",0.27856457185489
"Q8IX03_IDR_945_991",0.234923773743151
"Q8IX07_IDR_1_83",0.357675766731025
"Q8IX07_IDR_194_247",0.368340850342464
"Q8IX07_IDR_266_972",0.273983382926511
"Q8IX12_IDR_212_357",0.182095849995673
"Q8IX12_IDR_599_722",0.210375343729082
"Q8IX12_IDR_793_917",0.1861969539048
"Q8IX12_IDR_9_144",0.181638098369407
"Q8IX12_IDR_981_1021",0.239693754001039
"Q8IX15_IDR_125_364",0.243457428363087
"Q8IX15_IDR_1_38",0.254610008794403
"Q8IX15_IDR_420_461",0.246530913434962
"Q8IX15_IDR_504_550",0.255401649407549
"Q8IX18_IDR_1_50",0.486012397231677
"Q8IX18_IDR_706_779",0.513987602768323
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.483108002331979
"Q8IX29_IDR_239_292",0.516891997668021
"Q8IXP5_IDR_108_216",0.512491281390751
"Q8IXP5_IDR_1_106",0.487508718609249
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.499559072719447
"Q8IXQ8_IDR_211_264",0.500440927280553
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.328663809316433
"Q8IXT5_IDR_485_921",0.314487051852325
"Q8IXT5_IDR_89_151",0.356849138831242
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.34799610404567
"Q8IXW0_IDR_176_344",0.360192602698115
"Q8IXW0_IDR_466_587",0.291811293256214
"Q8IXW5_IDR_1_41",0.41532671222263
"Q8IXW5_IDR_171_324",0.58467328777737
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.488034386253414
"Q8IY63_IDR_493_952",0.511965613746586
"Q8IY67_IDR_1_35",0.56313885434588
"Q8IY67_IDR_349_606",0.43686114565412
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.489950972880979
"Q8IY84_IDR_7_44",0.510049027119021
"Q8IY85_IDR_375_441",0.510098945891821
"Q8IY85_IDR_77_146",0.489901054108179
"Q8IY92_IDR_1_50",0.178179228078594
"Q8IY92_IDR_377_470",0.158063583823184
"Q8IY92_IDR_558_613",0.159593446728837
"Q8IY92_IDR_630_669",0.178466832585966
"Q8IY92_IDR_64_289",0.161163371306508
"Q8IY92_IDR_824_1750",0.164533537476911
"Q8IYE1_IDR_684_715",0.535470089906931
"Q8IYF1_IDR_647_753",0.504253026481346
"Q8IYF1_IDR_79_458",0.495746973518654
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.355621176395489
"Q8IYH5_IDR_573_649",0.306925221628704
"Q8IYH5_IDR_714_786",0.337453601975808
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.477335035286713
"Q8IYI6_IDR_287_328",0.522664964713287
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.220956008220172
"Q8IYJ0_IDR_112_175",0.269845380546326
"Q8IYJ0_IDR_204_238",0.247511936494002
"Q8IYJ0_IDR_240_282",0.2616866747395
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.471782864418917
"Q8IYK4_IDR_584_626",0.528217135581083
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.177429731566116
"Q8IYW2_IDR_1347_1410",0.146905593992709
"Q8IYW2_IDR_1985_2022",0.175525032081804
"Q8IYW2_IDR_2287_2320",0.163457909272787
"Q8IYW2_IDR_2540_2579",0.171525859224025
"Q8IYW2_IDR_2630_2661",0.165155873862559
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.563499559910238
"Q8IZ41_IDR_77_124",0.436500440089762
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.342858542890327
"Q8IZ63_IDR_360_422",0.323674534139258
"Q8IZ63_IDR_87_332",0.333466922970415
"Q8IZ69_IDR_1_56",0.503044081294479
"Q8IZ69_IDR_591_625",0.496955918705521
"Q8IZ73_IDR_31_122",0.430124004175683
"Q8IZ73_IDR_421_495",0.569875995824317
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.328570737724561
"Q8IZA0_IDR_201_244",0.35938049432258
"Q8IZA0_IDR_957_1015",0.312048767952859
"Q8IZA3_IDR_114_346",0.485047397052924
"Q8IZA3_IDR_1_50",0.514952602947076
"Q8IZC4_IDR_185_221",0.320077961863306
"Q8IZC4_IDR_409_445",0.367528853037455
"Q8IZC4_IDR_476_603",0.312393185099239
"Q8IZC6_IDR_1_36",0.541855056494707
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.49450708839491
"Q8IZJ3_IDR_1758_1835",0.50549291160509
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.518447866725072
"Q8IZL8_IDR_637_1130",0.481552133274928
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.494654281361508
"Q8IZN3_IDR_323_488",0.505345718638492
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.466567633270564
"Q8IZP6_IDR_97_147",0.533432366729436
"Q8IZP7_IDR_1_118",0.532689013550009
"Q8IZP7_IDR_426_459",0.467310986449991
"Q8IZP9_IDR_249_371",0.237130533070563
"Q8IZP9_IDR_39_74",0.277862255400628
"Q8IZU9_IDR_701_778",0.484172549231678
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.173032726091428
"Q8IZX4_IDR_1220_1400",0.164259546773405
"Q8IZX4_IDR_1644_1826",0.166943035053124
"Q8IZX4_IDR_268_354",0.169267704890129
"Q8IZX4_IDR_536_578",0.156618084998801
"Q8IZX4_IDR_82_235",0.169878902193113
"Q8IZY2_IDR_1152_1210",0.463119599199839
"Q8IZY2_IDR_2105_2146",0.536880400800161
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.529853983913354
"Q8N0S2_IDR_260_351",0.470146016086646
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.227466626018702
"Q8N0U7_IDR_267_299",0.251733166327357
"Q8N0U7_IDR_37_122",0.262397243450187
"Q8N0U7_IDR_391_467",0.258402964203753
"Q8N103_IDR_1_81",0.492747412093525
"Q8N103_IDR_283_731",0.507252587906475
"Q8N108_IDR_1_176",0.507232113701899
"Q8N108_IDR_344_512",0.492767886298101
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.490883655516296
"Q8N114_IDR_203_240",0.509116344483704
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.509090360193614
"Q8N122_IDR_820_949",0.490909639806386
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.449516363336729
"Q8N128_IDR_68_213",0.550483636663271
"Q8N129_IDR_1_32",0.511612953334286
"Q8N129_IDR_202_248",0.488387046665714
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.353943493167839
