"","GO0051276_chromosome_organization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.316543769882752
"Q5VUJ6_IDR_1_54",0.471034331515259
"Q5VUJ6_IDR_308_649",0.528965668484741
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.538384154777696
"Q5VV16_IDR_235_409",0.461615845222304
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.554512633756425
"Q5VV42_IDR_499_545",0.445487366243575
"Q5VWN6_IDR_1918_1981",0.140776397650327
"Q5VWN6_IDR_1993_2150",0.135185388050188
"Q5VWN6_IDR_803_1879",0.182948283744967
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.265915383166214
"Q5VWQ0_IDR_63_351",0.453656644290912
"Q5VWQ0_IDR_708_802",0.280427972542875
"Q5VWQ8_IDR_1141_1189",0.340147685402881
"Q5VWQ8_IDR_1_142",0.337614807220242
"Q5VWQ8_IDR_654_1098",0.322237507376878
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.205131679768498
"Q5VZL5_IDR_1_334",0.208536781682766
"Q5VZL5_IDR_640_677",0.184458937902053
"Q5VZL5_IDR_851_997",0.192640809179529
"Q5VZL5_IDR_999_1200",0.209231791467154
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.157256024321946
"Q5VZP5_IDR_45_103",0.155988364621416
"Q5XX13_IDR_168_231",0.5156066652197
"Q5XX13_IDR_693_978",0.4843933347803
"Q5XXA6_IDR_1_48",0.349976458587496
"Q5XXA6_IDR_74_121",0.316898052416439
"Q5XXA6_IDR_945_986",0.333125488996065
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.471723657239139
"Q63HK3_IDR_383_743",0.528276342760861
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.325996623143133
"Q66K14_IDR_944_993",0.365691079084631
"Q66K41_IDR_1_291",0.547849414413687
"Q66K41_IDR_304_345",0.452150585586313
"Q66K64_IDR_1_37",0.537551209378768
"Q66K64_IDR_275_383",0.462448790621231
"Q66K66_IDR_241_349",0.500218595783433
"Q66K66_IDR_32_81",0.499781404216567
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.223927862522927
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.48423737350331
"Q8IU57_IDR_479_520",0.51576262649669
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.494700398254111
"Q8IU81_IDR_56_237",0.50529960174589
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.493148416342754
"Q8IUC6_IDR_634_673",0.506851583657246
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.214330956100956
"Q8IUD2_IDR_621_730",0.261629896204044
"Q8IUD2_IDR_764_839",0.238747565490938
"Q8IUD2_IDR_926_1072",0.285291582204062
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.475657025368276
"Q8IUE0_IDR_1_55",0.524342974631724
"Q8IUE1_IDR_116_241",0.470296328297379
"Q8IUE1_IDR_1_55",0.529703671702621
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.269010467084516
"Q8IUG5_IDR_1_504",0.468175706044968
"Q8IUW5_IDR_126_223",0.238451417998538
"Q8IUW5_IDR_1_54",0.21397283301334
"Q8IUW5_IDR_234_271",0.284550211311425
"Q8IUW5_IDR_91_123",0.263025537676697
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.214250975486681
"Q8IUX7_IDR_1099_1138",0.263710570162825
"Q8IUX7_IDR_44_388",0.522038454350494
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.494324686126908
"Q8IUY3_IDR_182_321",0.505675313873093
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.501546564167392
"Q8IV04_IDR_352_446",0.498453435832608
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.513538974898785
"Q8IV31_IDR_62_184",0.486461025101215
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.243498437898948
"Q8IVE3_IDR_1453_1493",0.237788268464319
"Q8IVE3_IDR_36_69",0.251035152122124
"Q8IVE3_IDR_71_132",0.26767814151461
"Q8IVF1_IDR_14_81",0.201923601459792
"Q8IVF1_IDR_232_366",0.185920176012438
"Q8IVF1_IDR_407_522",0.210213313637562
"Q8IVF1_IDR_525_878",0.220381233901658
"Q8IVF1_IDR_83_205",0.18156167498855
"Q8IVF2_IDR_1_114",0.228654498246308
"Q8IVF2_IDR_1794_5795",0.395549953294037
"Q8IVF2_IDR_195_1792",0.375795548459656
"Q8IVF4_IDR_156_187",0.483991913238477
"Q8IVF4_IDR_1_66",0.516008086761523
"Q8IVF5_IDR_1017_1093",0.235445992853804
"Q8IVF5_IDR_1461_1667",0.289475401548819
"Q8IVF5_IDR_1_498",0.237549478277854
"Q8IVF5_IDR_749_804",0.237529127319523
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.366272224744049
"Q8IVW6_IDR_319_491",0.317172303394725
"Q8IVW6_IDR_516_561",0.316555471861226
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.336172443734272
"Q8IW35_IDR_575_628",0.307858778133558
"Q8IW35_IDR_633_854",0.355968778132169
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.491906262367948
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.458328383954778
"Q8IWE2_IDR_404_437",0.541671616045222
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.546389207738442
"Q8IWF9_IDR_234_348",0.453610792261558
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.142487884821789
"Q8IWI9_IDR_1340_1371",0.0935634103259735
"Q8IWI9_IDR_1398_1903",0.0948942988119365
"Q8IWI9_IDR_1905_2856",0.153311469748004
"Q8IWI9_IDR_261_649",0.132486568991499
"Q8IWI9_IDR_2974_3016",0.088333476231501
"Q8IWI9_IDR_3020_3065",0.100052724735311
"Q8IWI9_IDR_681_751",0.0951229012812722
"Q8IWI9_IDR_753_1079",0.099747265052714
"Q8IWJ2_IDR_1_69",0.396780533516457
"Q8IWT3_IDR_1658_1690",0.243053462185643
"Q8IWT3_IDR_2437_2517",0.252556966529987
"Q8IWT6_IDR_180_231",0.506396418653595
"Q8IWT6_IDR_62_95",0.493603581346405
"Q8IWU2_IDR_1_101",0.254957496564106
"Q8IWU2_IDR_1377_1415",0.214614868331723
"Q8IWU2_IDR_1426_1459",0.224381528155826
"Q8IWU2_IDR_557_1314",0.306046106948346
"Q8IWU5_IDR_1_40",0.225771961745043
"Q8IWU5_IDR_557_594",0.242496173586501
"Q8IWU5_IDR_648_718",0.30580048330297
"Q8IWU5_IDR_824_860",0.225931381365486
"Q8IWU6_IDR_1_37",0.215589304412527
"Q8IWU6_IDR_510_543",0.223499431827434
"Q8IWU6_IDR_561_610",0.238526877393068
"Q8IWU6_IDR_666_738",0.322384386366971
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.328699888804063
"Q8IWV1_IDR_178_270",0.33752115197983
"Q8IWV1_IDR_295_398",0.333778959216107
"Q8IX03_IDR_790_917",0.285561947447936
"Q8IX03_IDR_945_991",0.246090180627296
"Q8IX07_IDR_1_83",0.365802361995436
"Q8IX07_IDR_194_247",0.346938685565975
"Q8IX07_IDR_266_972",0.287258952438589
"Q8IX12_IDR_212_357",0.200976073740143
"Q8IX12_IDR_599_722",0.188613155094862
"Q8IX12_IDR_793_917",0.280107984985422
"Q8IX12_IDR_9_144",0.147647152216582
"Q8IX12_IDR_981_1021",0.18265563396299
"Q8IX15_IDR_125_364",0.245681265146627
"Q8IX15_IDR_1_38",0.240127297708143
"Q8IX15_IDR_420_461",0.244148400234747
"Q8IX15_IDR_504_550",0.270043036910483
"Q8IX18_IDR_1_50",0.451451730011223
"Q8IX18_IDR_706_779",0.548548269988777
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.538700747099809
"Q8IX29_IDR_239_292",0.461299252900191
"Q8IXP5_IDR_108_216",0.502862659041684
"Q8IXP5_IDR_1_106",0.497137340958316
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.534898471703472
"Q8IXQ8_IDR_211_264",0.465101528296528
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.371820071669864
"Q8IXT5_IDR_485_921",0.303277288388408
"Q8IXT5_IDR_89_151",0.324902639941728
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.345450405597056
"Q8IXW0_IDR_176_344",0.323909082979538
"Q8IXW0_IDR_466_587",0.330640511423407
"Q8IXW5_IDR_1_41",0.486047731634384
"Q8IXW5_IDR_171_324",0.513952268365615
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.465215362133847
"Q8IY63_IDR_493_952",0.534784637866153
"Q8IY67_IDR_1_35",0.525114249013005
"Q8IY67_IDR_349_606",0.474885750986995
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.499223884661087
"Q8IY84_IDR_7_44",0.500776115338913
"Q8IY85_IDR_375_441",0.492353064401864
"Q8IY85_IDR_77_146",0.507646935598136
"Q8IY92_IDR_1_50",0.145804041675534
"Q8IY92_IDR_377_470",0.229751583259718
"Q8IY92_IDR_558_613",0.132464633098089
"Q8IY92_IDR_630_669",0.144725360327801
"Q8IY92_IDR_64_289",0.179964738458553
"Q8IY92_IDR_824_1750",0.167289643180305
"Q8IYE1_IDR_684_715",0.455759279696223
"Q8IYF1_IDR_647_753",0.442636090617558
"Q8IYF1_IDR_79_458",0.557363909382442
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.461986535998297
"Q8IYH5_IDR_573_649",0.283153505857747
"Q8IYH5_IDR_714_786",0.254859958143956
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.43420160573492
"Q8IYI6_IDR_287_328",0.56579839426508
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.230108772289286
"Q8IYJ0_IDR_112_175",0.24622816853238
"Q8IYJ0_IDR_204_238",0.261500428646985
"Q8IYJ0_IDR_240_282",0.262162630531349
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.488789345061352
"Q8IYK4_IDR_584_626",0.511210654938648
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.152584805139014
"Q8IYW2_IDR_1347_1410",0.233507969854118
"Q8IYW2_IDR_1985_2022",0.160255449173732
"Q8IYW2_IDR_2287_2320",0.161645122830402
"Q8IYW2_IDR_2540_2579",0.146304497190397
"Q8IYW2_IDR_2630_2661",0.145702155812337
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.502768125935479
"Q8IZ41_IDR_77_124",0.497231874064521
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.30682577361029
"Q8IZ63_IDR_360_422",0.380748863901522
"Q8IZ63_IDR_87_332",0.312425362488188
"Q8IZ69_IDR_1_56",0.521143590914177
"Q8IZ69_IDR_591_625",0.478856409085823
"Q8IZ73_IDR_31_122",0.508077715908783
"Q8IZ73_IDR_421_495",0.491922284091217
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.304376605962993
"Q8IZA0_IDR_201_244",0.322770641786787
"Q8IZA0_IDR_957_1015",0.372852752250221
"Q8IZA3_IDR_114_346",0.685160725880252
"Q8IZA3_IDR_1_50",0.314839274119748
"Q8IZC4_IDR_185_221",0.347714632246138
"Q8IZC4_IDR_409_445",0.292005917620666
"Q8IZC4_IDR_476_603",0.360279450133197
"Q8IZC6_IDR_1_36",0.502678886900151
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.515598095182548
"Q8IZJ3_IDR_1758_1835",0.484401904817452
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.530769995074859
"Q8IZL8_IDR_637_1130",0.469230004925141
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.533739587378091
"Q8IZN3_IDR_323_488",0.466260412621909
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.541561545650488
"Q8IZP6_IDR_97_147",0.458438454349512
"Q8IZP7_IDR_1_118",0.510570062127922
"Q8IZP7_IDR_426_459",0.489429937872078
"Q8IZP9_IDR_249_371",0.24107565660147
"Q8IZP9_IDR_39_74",0.249750471870419
"Q8IZU9_IDR_701_778",0.482070890207961
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162228447976057
"Q8IZX4_IDR_1220_1400",0.156521467569978
"Q8IZX4_IDR_1644_1826",0.146496110554736
"Q8IZX4_IDR_268_354",0.179008810097424
"Q8IZX4_IDR_536_578",0.160935500441595
"Q8IZX4_IDR_82_235",0.19480966336021
"Q8IZY2_IDR_1152_1210",0.474314432244189
"Q8IZY2_IDR_2105_2146",0.525685567755811
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.496907940116883
"Q8N0S2_IDR_260_351",0.503092059883117
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.230442348771937
"Q8N0U7_IDR_267_299",0.24693571488482
"Q8N0U7_IDR_37_122",0.256544920792481
"Q8N0U7_IDR_391_467",0.266077015550762
"Q8N103_IDR_1_81",0.553504123919603
"Q8N103_IDR_283_731",0.446495876080397
"Q8N108_IDR_1_176",0.501733243723968
"Q8N108_IDR_344_512",0.498266756276032
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.495899574376615
"Q8N114_IDR_203_240",0.504100425623385
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.520568464707665
"Q8N122_IDR_820_949",0.479431535292335
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.493339271742097
"Q8N128_IDR_68_213",0.506660728257903
"Q8N129_IDR_1_32",0.432344609717298
"Q8N129_IDR_202_248",0.567655390282702
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.327219492370465
"Q8N137_IDR_442_797",0.316903428897523
