"","GO0008017_microtubule_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.247579875952084
"Q5VUJ6_IDR_1_54",0.467372111009961
"Q5VUJ6_IDR_308_649",0.532627888990039
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.499070588714648
"Q5VV16_IDR_235_409",0.500929411285353
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.522552098362582
"Q5VV42_IDR_499_545",0.477447901637418
"Q5VWN6_IDR_1918_1981",0.143852936967644
"Q5VWN6_IDR_1993_2150",0.152365812952518
"Q5VWN6_IDR_803_1879",0.165998343687989
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.294417028848421
"Q5VWQ0_IDR_63_351",0.3972289309049
"Q5VWQ0_IDR_708_802",0.308354040246679
"Q5VWQ8_IDR_1141_1189",0.342146296529902
"Q5VWQ8_IDR_1_142",0.34277956924755
"Q5VWQ8_IDR_654_1098",0.315074134222548
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.190933561714606
"Q5VZL5_IDR_1_334",0.212209679530319
"Q5VZL5_IDR_640_677",0.193944089811396
"Q5VZL5_IDR_851_997",0.2065018446339
"Q5VZL5_IDR_999_1200",0.19641082430978
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163828780041048
"Q5VZP5_IDR_45_103",0.169401238864644
"Q5XX13_IDR_168_231",0.463550764669406
"Q5XX13_IDR_693_978",0.536449235330594
"Q5XXA6_IDR_1_48",0.342629612740436
"Q5XXA6_IDR_74_121",0.329966662496614
"Q5XXA6_IDR_945_986",0.32740372476295
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.492710282805114
"Q63HK3_IDR_383_743",0.507289717194886
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.324808722543258
"Q66K14_IDR_944_993",0.342504525530354
"Q66K41_IDR_1_291",0.544487643439973
"Q66K41_IDR_304_345",0.455512356560027
"Q66K64_IDR_1_37",0.519419940906947
"Q66K64_IDR_275_383",0.480580059093053
"Q66K66_IDR_241_349",0.534646848847064
"Q66K66_IDR_32_81",0.465353151152936
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.236159513785578
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.494062024568552
"Q8IU57_IDR_479_520",0.505937975431448
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.498313443627777
"Q8IU81_IDR_56_237",0.501686556372223
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.518586017159716
"Q8IUC6_IDR_634_673",0.481413982840284
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.227254692619425
"Q8IUD2_IDR_621_730",0.281691552068333
"Q8IUD2_IDR_764_839",0.259410475582275
"Q8IUD2_IDR_926_1072",0.231643279729966
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.498236587079509
"Q8IUE0_IDR_1_55",0.501763412920491
"Q8IUE1_IDR_116_241",0.495441787943847
"Q8IUE1_IDR_1_55",0.504558212056152
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.292579185455186
"Q8IUG5_IDR_1_504",0.27010796968484
"Q8IUW5_IDR_126_223",0.269454691855006
"Q8IUW5_IDR_1_54",0.229787764480613
"Q8IUW5_IDR_234_271",0.257937844417137
"Q8IUW5_IDR_91_123",0.242819699247243
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.390413361609934
"Q8IUX7_IDR_1099_1138",0.273871086660594
"Q8IUX7_IDR_44_388",0.335715551729472
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.478737982952808
"Q8IUY3_IDR_182_321",0.521262017047192
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.471017150003901
"Q8IV04_IDR_352_446",0.528982849996099
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.487965488139956
"Q8IV31_IDR_62_184",0.512034511860044
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.277654117483317
"Q8IVE3_IDR_1453_1493",0.238836764898069
"Q8IVE3_IDR_36_69",0.236124377451343
"Q8IVE3_IDR_71_132",0.247384740167271
"Q8IVF1_IDR_14_81",0.207343595057305
"Q8IVF1_IDR_232_366",0.197672279013939
"Q8IVF1_IDR_407_522",0.20827941186947
"Q8IVF1_IDR_525_878",0.194789665687001
"Q8IVF1_IDR_83_205",0.191915048372286
"Q8IVF2_IDR_1_114",0.294512825318646
"Q8IVF2_IDR_1794_5795",0.323053986732201
"Q8IVF2_IDR_195_1792",0.382433187949153
"Q8IVF4_IDR_156_187",0.506536283416091
"Q8IVF4_IDR_1_66",0.493463716583909
"Q8IVF5_IDR_1017_1093",0.236639074767927
"Q8IVF5_IDR_1461_1667",0.304124221384538
"Q8IVF5_IDR_1_498",0.22068266999057
"Q8IVF5_IDR_749_804",0.238554033856965
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.326432007880497
"Q8IVW6_IDR_319_491",0.370271193773818
"Q8IVW6_IDR_516_561",0.303296798345684
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.366622130049371
"Q8IW35_IDR_575_628",0.337892142647095
"Q8IW35_IDR_633_854",0.295485727303533
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.485137828257059
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.490605946046089
"Q8IWE2_IDR_404_437",0.509394053953911
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.524552856015462
"Q8IWF9_IDR_234_348",0.475447143984538
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.119000800006655
"Q8IWI9_IDR_1340_1371",0.0982958674664565
"Q8IWI9_IDR_1398_1903",0.0974286970252391
"Q8IWI9_IDR_1905_2856",0.150708283317491
"Q8IWI9_IDR_261_649",0.110925325367157
"Q8IWI9_IDR_2974_3016",0.0929817354242752
"Q8IWI9_IDR_3020_3065",0.100458725694488
"Q8IWI9_IDR_681_751",0.102655424595273
"Q8IWI9_IDR_753_1079",0.127545141102965
"Q8IWJ2_IDR_1_69",0.336008691189695
"Q8IWT3_IDR_1658_1690",0.239620135338653
"Q8IWT3_IDR_2437_2517",0.245042443828843
"Q8IWT6_IDR_180_231",0.4945110001693
"Q8IWT6_IDR_62_95",0.5054889998307
"Q8IWU2_IDR_1_101",0.242405486434392
"Q8IWU2_IDR_1377_1415",0.241314390161323
"Q8IWU2_IDR_1426_1459",0.257373985657714
"Q8IWU2_IDR_557_1314",0.25890613774657
"Q8IWU5_IDR_1_40",0.256904790021293
"Q8IWU5_IDR_557_594",0.226215400841628
"Q8IWU5_IDR_648_718",0.265333938031549
"Q8IWU5_IDR_824_860",0.25154587110553
"Q8IWU6_IDR_1_37",0.245172770686899
"Q8IWU6_IDR_510_543",0.248925102905943
"Q8IWU6_IDR_561_610",0.227917327520966
"Q8IWU6_IDR_666_738",0.277984798886192
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.328977484532279
"Q8IWV1_IDR_178_270",0.337327926545931
"Q8IWV1_IDR_295_398",0.33369458892179
"Q8IX03_IDR_790_917",0.258495829185866
"Q8IX03_IDR_945_991",0.247926004939095
"Q8IX07_IDR_1_83",0.334526263428145
"Q8IX07_IDR_194_247",0.338066883234629
"Q8IX07_IDR_266_972",0.327406853337226
"Q8IX12_IDR_212_357",0.223748184739924
"Q8IX12_IDR_599_722",0.214722045597786
"Q8IX12_IDR_793_917",0.228954084484948
"Q8IX12_IDR_9_144",0.157374033883773
"Q8IX12_IDR_981_1021",0.175201651293568
"Q8IX15_IDR_125_364",0.255801638416559
"Q8IX15_IDR_1_38",0.264175557322359
"Q8IX15_IDR_420_461",0.237829184894827
"Q8IX15_IDR_504_550",0.242193619366255
"Q8IX18_IDR_1_50",0.43855889190168
"Q8IX18_IDR_706_779",0.56144110809832
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.479694133674503
"Q8IX29_IDR_239_292",0.520305866325496
"Q8IXP5_IDR_108_216",0.501572772109112
"Q8IXP5_IDR_1_106",0.498427227890888
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.518700134557515
"Q8IXQ8_IDR_211_264",0.481299865442485
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.368875938490568
"Q8IXT5_IDR_485_921",0.318282847593939
"Q8IXT5_IDR_89_151",0.312841213915492
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.314390556352007
"Q8IXW0_IDR_176_344",0.323219014803391
"Q8IXW0_IDR_466_587",0.362390428844602
"Q8IXW5_IDR_1_41",0.534188875770163
"Q8IXW5_IDR_171_324",0.465811124229837
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.407124736385158
"Q8IY63_IDR_493_952",0.592875263614842
"Q8IY67_IDR_1_35",0.525458761554876
"Q8IY67_IDR_349_606",0.474541238445124
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.51749363294066
"Q8IY84_IDR_7_44",0.48250636705934
"Q8IY85_IDR_375_441",0.51811105996887
"Q8IY85_IDR_77_146",0.48188894003113
"Q8IY92_IDR_1_50",0.159653134853064
"Q8IY92_IDR_377_470",0.184219628975861
"Q8IY92_IDR_558_613",0.162191086815918
"Q8IY92_IDR_630_669",0.153710813432942
"Q8IY92_IDR_64_289",0.177144759835384
"Q8IY92_IDR_824_1750",0.163080576086831
"Q8IYE1_IDR_684_715",0.375767908530368
"Q8IYF1_IDR_647_753",0.467692845646676
"Q8IYF1_IDR_79_458",0.532307154353324
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.356012970177852
"Q8IYH5_IDR_573_649",0.316455066817068
"Q8IYH5_IDR_714_786",0.32753196300508
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.474078365579865
"Q8IYI6_IDR_287_328",0.525921634420135
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.254300606551878
"Q8IYJ0_IDR_112_175",0.247273371795318
"Q8IYJ0_IDR_204_238",0.25666237099264
"Q8IYJ0_IDR_240_282",0.241763650660165
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.49254930734433
"Q8IYK4_IDR_584_626",0.50745069265567
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.154278925407103
"Q8IYW2_IDR_1347_1410",0.191560223064137
"Q8IYW2_IDR_1985_2022",0.170021702290992
"Q8IYW2_IDR_2287_2320",0.162427426096666
"Q8IYW2_IDR_2540_2579",0.158833966807225
"Q8IYW2_IDR_2630_2661",0.162877756333877
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.560686597363377
"Q8IZ41_IDR_77_124",0.439313402636623
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.336676919571191
"Q8IZ63_IDR_360_422",0.353277916265893
"Q8IZ63_IDR_87_332",0.310045164162917
"Q8IZ69_IDR_1_56",0.487315755128066
"Q8IZ69_IDR_591_625",0.512684244871934
"Q8IZ73_IDR_31_122",0.505180438712177
"Q8IZ73_IDR_421_495",0.494819561287823
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.325178190045111
"Q8IZA0_IDR_201_244",0.325156207700656
"Q8IZA0_IDR_957_1015",0.349665602254233
"Q8IZA3_IDR_114_346",0.534897388100399
"Q8IZA3_IDR_1_50",0.465102611899601
"Q8IZC4_IDR_185_221",0.332665518839627
"Q8IZC4_IDR_409_445",0.312053354880517
"Q8IZC4_IDR_476_603",0.355281126279856
"Q8IZC6_IDR_1_36",0.513999745015738
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.53387419245133
"Q8IZJ3_IDR_1758_1835",0.46612580754867
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.532166311662122
"Q8IZL8_IDR_637_1130",0.467833688337878
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.529535769502225
"Q8IZN3_IDR_323_488",0.470464230497775
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.518812982062059
"Q8IZP6_IDR_97_147",0.481187017937941
"Q8IZP7_IDR_1_118",0.478784279787206
"Q8IZP7_IDR_426_459",0.521215720212794
"Q8IZP9_IDR_249_371",0.258497646881686
"Q8IZP9_IDR_39_74",0.239016365318038
"Q8IZU9_IDR_701_778",0.48936341063436
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169574846173274
"Q8IZX4_IDR_1220_1400",0.178034632486626
"Q8IZX4_IDR_1644_1826",0.155032739906885
"Q8IZX4_IDR_268_354",0.167989450715286
"Q8IZX4_IDR_536_578",0.167585204051529
"Q8IZX4_IDR_82_235",0.161783126666399
"Q8IZY2_IDR_1152_1210",0.496626686512557
"Q8IZY2_IDR_2105_2146",0.503373313487443
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.473813047559973
"Q8N0S2_IDR_260_351",0.526186952440027
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.249530742702409
"Q8N0U7_IDR_267_299",0.243633755606123
"Q8N0U7_IDR_37_122",0.254909968382087
"Q8N0U7_IDR_391_467",0.251925533309381
"Q8N103_IDR_1_81",0.446653956558353
"Q8N103_IDR_283_731",0.553346043441647
"Q8N108_IDR_1_176",0.488312187353612
"Q8N108_IDR_344_512",0.511687812646388
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504835025942965
"Q8N114_IDR_203_240",0.495164974057035
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.501888286724593
"Q8N122_IDR_820_949",0.498111713275407
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.526034698267849
"Q8N128_IDR_68_213",0.473965301732151
"Q8N129_IDR_1_32",0.493891945845595
"Q8N129_IDR_202_248",0.506108054154405
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.362487942340584
"Q8N137_IDR_442_797",0.360979439308094
