"","GO0140513_nuclear_protein_containing_complex"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.308245520423234
"Q5VUJ6_IDR_1_54",0.517146201557664
"Q5VUJ6_IDR_308_649",0.482853798442336
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.559171034063657
"Q5VV16_IDR_235_409",0.440828965936343
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.549960839362547
"Q5VV42_IDR_499_545",0.450039160637453
"Q5VWN6_IDR_1918_1981",0.15535219446321
"Q5VWN6_IDR_1993_2150",0.158500122024502
"Q5VWN6_IDR_803_1879",0.152814593056181
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.263826222974007
"Q5VWQ0_IDR_63_351",0.454976907551762
"Q5VWQ0_IDR_708_802",0.281196869474231
"Q5VWQ8_IDR_1141_1189",0.340125358757585
"Q5VWQ8_IDR_1_142",0.268764846162684
"Q5VWQ8_IDR_654_1098",0.391109795079731
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.182473267045896
"Q5VZL5_IDR_1_334",0.209671654054445
"Q5VZL5_IDR_640_677",0.19938998743099
"Q5VZL5_IDR_851_997",0.1841715697957
"Q5VZL5_IDR_999_1200",0.224293521672969
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.150406622326804
"Q5VZP5_IDR_45_103",0.141502815436829
"Q5XX13_IDR_168_231",0.505346589955658
"Q5XX13_IDR_693_978",0.494653410044342
"Q5XXA6_IDR_1_48",0.322411512168071
"Q5XXA6_IDR_74_121",0.37169850444625
"Q5XXA6_IDR_945_986",0.305889983385679
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.483508255650275
"Q63HK3_IDR_383_743",0.516491744349725
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.358727939918799
"Q66K14_IDR_944_993",0.341451947921993
"Q66K41_IDR_1_291",0.573590685491821
"Q66K41_IDR_304_345",0.426409314508179
"Q66K64_IDR_1_37",0.500685618753168
"Q66K64_IDR_275_383",0.499314381246832
"Q66K66_IDR_241_349",0.623731083871686
"Q66K66_IDR_32_81",0.376268916128314
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.240509575775084
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.476746242672412
"Q8IU57_IDR_479_520",0.523253757327588
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.49006582620734
"Q8IU81_IDR_56_237",0.50993417379266
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.450256144258829
"Q8IUC6_IDR_634_673",0.549743855741171
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.235302253218189
"Q8IUD2_IDR_621_730",0.220823554618409
"Q8IUD2_IDR_764_839",0.234453537250721
"Q8IUD2_IDR_926_1072",0.309420654912681
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.461126149572829
"Q8IUE0_IDR_1_55",0.538873850427171
"Q8IUE1_IDR_116_241",0.462987303868779
"Q8IUE1_IDR_1_55",0.537012696131221
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.273299786997133
"Q8IUG5_IDR_1_504",0.444773410113318
"Q8IUW5_IDR_126_223",0.220217319587339
"Q8IUW5_IDR_1_54",0.259122364353598
"Q8IUW5_IDR_234_271",0.25707275684715
"Q8IUW5_IDR_91_123",0.263587559211913
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.265669922078927
"Q8IUX7_IDR_1099_1138",0.2598426753558
"Q8IUX7_IDR_44_388",0.474487402565273
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.524616046744969
"Q8IUY3_IDR_182_321",0.475383953255031
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.50214108015827
"Q8IV04_IDR_352_446",0.49785891984173
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.461275265274903
"Q8IV31_IDR_62_184",0.538724734725097
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.208687862477681
"Q8IVE3_IDR_1453_1493",0.257527757203878
"Q8IVE3_IDR_36_69",0.264155643437847
"Q8IVE3_IDR_71_132",0.269628736880593
"Q8IVF1_IDR_14_81",0.184699392791556
"Q8IVF1_IDR_232_366",0.176802814586902
"Q8IVF1_IDR_407_522",0.22048840919459
"Q8IVF1_IDR_525_878",0.210818843610282
"Q8IVF1_IDR_83_205",0.20719053981667
"Q8IVF2_IDR_1_114",0.234686015015239
"Q8IVF2_IDR_1794_5795",0.400203034863054
"Q8IVF2_IDR_195_1792",0.365110950121708
"Q8IVF4_IDR_156_187",0.507003997114834
"Q8IVF4_IDR_1_66",0.492996002885166
"Q8IVF5_IDR_1017_1093",0.239530061556597
"Q8IVF5_IDR_1461_1667",0.245500072687797
"Q8IVF5_IDR_1_498",0.288826019107272
"Q8IVF5_IDR_749_804",0.226143846648333
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.379304958234836
"Q8IVW6_IDR_319_491",0.298269127164638
"Q8IVW6_IDR_516_561",0.322425914600525
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.317289564913441
"Q8IW35_IDR_575_628",0.34824619955456
"Q8IW35_IDR_633_854",0.334464235531999
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.503807428579056
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.445686099171131
"Q8IWE2_IDR_404_437",0.554313900828869
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.567569132809625
"Q8IWF9_IDR_234_348",0.432430867190375
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.120853811161243
"Q8IWI9_IDR_1340_1371",0.0927537080593968
"Q8IWI9_IDR_1398_1903",0.117808889916999
"Q8IWI9_IDR_1905_2856",0.153585261177214
"Q8IWI9_IDR_261_649",0.127620308147772
"Q8IWI9_IDR_2974_3016",0.103934411221037
"Q8IWI9_IDR_3020_3065",0.105338954181986
"Q8IWI9_IDR_681_751",0.0941904806337848
"Q8IWI9_IDR_753_1079",0.0839141755005668
"Q8IWJ2_IDR_1_69",0.309462581047276
"Q8IWT3_IDR_1658_1690",0.237888310483412
"Q8IWT3_IDR_2437_2517",0.284205690718631
"Q8IWT6_IDR_180_231",0.518155359088286
"Q8IWT6_IDR_62_95",0.481844640911714
"Q8IWU2_IDR_1_101",0.222226661208508
"Q8IWU2_IDR_1377_1415",0.276250190671628
"Q8IWU2_IDR_1426_1459",0.256386322620953
"Q8IWU2_IDR_557_1314",0.245136825498911
"Q8IWU5_IDR_1_40",0.228153380653793
"Q8IWU5_IDR_557_594",0.261563963458946
"Q8IWU5_IDR_648_718",0.27960121320892
"Q8IWU5_IDR_824_860",0.230681442678341
"Q8IWU6_IDR_1_37",0.202575679154938
"Q8IWU6_IDR_510_543",0.249301888756066
"Q8IWU6_IDR_561_610",0.25967419150139
"Q8IWU6_IDR_666_738",0.288448240587607
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.291889043903377
"Q8IWV1_IDR_178_270",0.342015516001305
"Q8IWV1_IDR_295_398",0.366095440095317
"Q8IX03_IDR_790_917",0.273252783181415
"Q8IX03_IDR_945_991",0.251665856427719
"Q8IX07_IDR_1_83",0.390241240169322
"Q8IX07_IDR_194_247",0.319821708631014
"Q8IX07_IDR_266_972",0.289937051199664
"Q8IX12_IDR_212_357",0.223578715296929
"Q8IX12_IDR_599_722",0.162257171366639
"Q8IX12_IDR_793_917",0.253239186939544
"Q8IX12_IDR_9_144",0.199119273461455
"Q8IX12_IDR_981_1021",0.161805652935433
"Q8IX15_IDR_125_364",0.275279130744586
"Q8IX15_IDR_1_38",0.246660943019646
"Q8IX15_IDR_420_461",0.258854107960445
"Q8IX15_IDR_504_550",0.219205818275324
"Q8IX18_IDR_1_50",0.469773020841639
"Q8IX18_IDR_706_779",0.530226979158361
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.516963819422143
"Q8IX29_IDR_239_292",0.483036180577857
"Q8IXP5_IDR_108_216",0.507703649922122
"Q8IXP5_IDR_1_106",0.492296350077878
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.505466867769831
"Q8IXQ8_IDR_211_264",0.494533132230169
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.320017223216795
"Q8IXT5_IDR_485_921",0.337060667483544
"Q8IXT5_IDR_89_151",0.342922109299661
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.342824117599605
"Q8IXW0_IDR_176_344",0.311827373116222
"Q8IXW0_IDR_466_587",0.345348509284173
"Q8IXW5_IDR_1_41",0.545833424844709
"Q8IXW5_IDR_171_324",0.454166575155291
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.556636253724108
"Q8IY63_IDR_493_952",0.443363746275892
"Q8IY67_IDR_1_35",0.468580034541162
"Q8IY67_IDR_349_606",0.531419965458838
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.470233722942202
"Q8IY84_IDR_7_44",0.529766277057798
"Q8IY85_IDR_375_441",0.470575377266048
"Q8IY85_IDR_77_146",0.529424622733952
"Q8IY92_IDR_1_50",0.150972919657943
"Q8IY92_IDR_377_470",0.22076303718182
"Q8IY92_IDR_558_613",0.159689595266784
"Q8IY92_IDR_630_669",0.148557447361557
"Q8IY92_IDR_64_289",0.178051162781876
"Q8IY92_IDR_824_1750",0.14196583775002
"Q8IYE1_IDR_684_715",0.463005474469101
"Q8IYF1_IDR_647_753",0.407312406481572
"Q8IYF1_IDR_79_458",0.592687593518428
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.33951662255301
"Q8IYH5_IDR_573_649",0.355378419929312
"Q8IYH5_IDR_714_786",0.305104957517679
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.47023535723072
"Q8IYI6_IDR_287_328",0.52976464276928
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.218700862799432
"Q8IYJ0_IDR_112_175",0.257135639303587
"Q8IYJ0_IDR_204_238",0.282925223604233
"Q8IYJ0_IDR_240_282",0.241238274292748
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.44070698231697
"Q8IYK4_IDR_584_626",0.55929301768303
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.167565301446213
"Q8IYW2_IDR_1347_1410",0.185414934032977
"Q8IYW2_IDR_1985_2022",0.163813172448251
"Q8IYW2_IDR_2287_2320",0.161319187304528
"Q8IYW2_IDR_2540_2579",0.161014927771715
"Q8IYW2_IDR_2630_2661",0.160872476996317
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.424450236375935
"Q8IZ41_IDR_77_124",0.575549763624065
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.295426825367208
"Q8IZ63_IDR_360_422",0.380555442162745
"Q8IZ63_IDR_87_332",0.324017732470047
"Q8IZ69_IDR_1_56",0.503180611200445
"Q8IZ69_IDR_591_625",0.496819388799555
"Q8IZ73_IDR_31_122",0.629348381492556
"Q8IZ73_IDR_421_495",0.370651618507444
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.271876637787791
"Q8IZA0_IDR_201_244",0.320829646396363
"Q8IZA0_IDR_957_1015",0.407293715815846
"Q8IZA3_IDR_114_346",0.636827788896338
"Q8IZA3_IDR_1_50",0.363172211103662
"Q8IZC4_IDR_185_221",0.314769872498467
"Q8IZC4_IDR_409_445",0.277408466609215
"Q8IZC4_IDR_476_603",0.407821660892317
"Q8IZC6_IDR_1_36",0.426060603766621
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.531853185878299
"Q8IZJ3_IDR_1758_1835",0.468146814121701
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.456151105158152
"Q8IZL8_IDR_637_1130",0.543848894841848
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.528454530059232
"Q8IZN3_IDR_323_488",0.471545469940768
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.551774407782246
"Q8IZP6_IDR_97_147",0.448225592217754
"Q8IZP7_IDR_1_118",0.459219958896579
"Q8IZP7_IDR_426_459",0.540780041103421
"Q8IZP9_IDR_249_371",0.270638426976593
"Q8IZP9_IDR_39_74",0.238067959271416
"Q8IZU9_IDR_701_778",0.46110712251557
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164951021225324
"Q8IZX4_IDR_1220_1400",0.142843312500005
"Q8IZX4_IDR_1644_1826",0.184977117656481
"Q8IZX4_IDR_268_354",0.180865711448671
"Q8IZX4_IDR_536_578",0.159813806868464
"Q8IZX4_IDR_82_235",0.166549030301055
"Q8IZY2_IDR_1152_1210",0.520702956353083
"Q8IZY2_IDR_2105_2146",0.479297043646917
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.519151338261395
"Q8N0S2_IDR_260_351",0.480848661738605
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.239533943502302
"Q8N0U7_IDR_267_299",0.254324161951182
"Q8N0U7_IDR_37_122",0.262682407945316
"Q8N0U7_IDR_391_467",0.2434594866012
"Q8N103_IDR_1_81",0.559026130958884
"Q8N103_IDR_283_731",0.440973869041116
"Q8N108_IDR_1_176",0.433337519215048
"Q8N108_IDR_344_512",0.566662480784952
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.481809549626457
"Q8N114_IDR_203_240",0.518190450373543
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.485509565113156
"Q8N122_IDR_820_949",0.514490434886844
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.543595261907527
"Q8N128_IDR_68_213",0.456404738092473
"Q8N129_IDR_1_32",0.415496745523471
"Q8N129_IDR_202_248",0.584503254476529
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.303498827997086
