"","GO0140640_catalytic_activity._acting_on_a_nucleic_acid"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.320793616778776
"Q5VUJ6_IDR_1_54",0.469822641451944
"Q5VUJ6_IDR_308_649",0.530177358548056
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.544108882541357
"Q5VV16_IDR_235_409",0.455891117458643
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.557448348649753
"Q5VV42_IDR_499_545",0.442551651350246
"Q5VWN6_IDR_1918_1981",0.166675081854215
"Q5VWN6_IDR_1993_2150",0.161054797076453
"Q5VWN6_IDR_803_1879",0.147659037265412
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.266774381597711
"Q5VWQ0_IDR_63_351",0.472777217490725
"Q5VWQ0_IDR_708_802",0.260448400911565
"Q5VWQ8_IDR_1141_1189",0.347378170631691
"Q5VWQ8_IDR_1_142",0.317461805337168
"Q5VWQ8_IDR_654_1098",0.335160024031141
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.202122626873054
"Q5VZL5_IDR_1_334",0.199464940186937
"Q5VZL5_IDR_640_677",0.193593989188616
"Q5VZL5_IDR_851_997",0.187576462103021
"Q5VZL5_IDR_999_1200",0.217241981648372
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.152678226272007
"Q5VZP5_IDR_45_103",0.145092003663701
"Q5XX13_IDR_168_231",0.514799409984662
"Q5XX13_IDR_693_978",0.485200590015338
"Q5XXA6_IDR_1_48",0.316119422171627
"Q5XXA6_IDR_74_121",0.331856882369055
"Q5XXA6_IDR_945_986",0.352023695459319
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.458585047806083
"Q63HK3_IDR_383_743",0.541414952193917
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.33046393135756
"Q66K14_IDR_944_993",0.366490212913657
"Q66K41_IDR_1_291",0.517748616662676
"Q66K41_IDR_304_345",0.482251383337324
"Q66K64_IDR_1_37",0.533492241743429
"Q66K64_IDR_275_383",0.46650775825657
"Q66K66_IDR_241_349",0.552576798730875
"Q66K66_IDR_32_81",0.447423201269126
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.237441993558023
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.463911657357672
"Q8IU57_IDR_479_520",0.536088342642329
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.491438134775064
"Q8IU81_IDR_56_237",0.508561865224936
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.496221839544968
"Q8IUC6_IDR_634_673",0.503778160455032
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.232950362286095
"Q8IUD2_IDR_621_730",0.248114173791907
"Q8IUD2_IDR_764_839",0.241130848844121
"Q8IUD2_IDR_926_1072",0.277804615077876
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.467397871224702
"Q8IUE0_IDR_1_55",0.532602128775298
"Q8IUE1_IDR_116_241",0.456573901197961
"Q8IUE1_IDR_1_55",0.543426098802039
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.286011773851097
"Q8IUG5_IDR_1_504",0.396049515439211
"Q8IUW5_IDR_126_223",0.232011740191015
"Q8IUW5_IDR_1_54",0.238806615576584
"Q8IUW5_IDR_234_271",0.263153297832671
"Q8IUW5_IDR_91_123",0.26602834639973
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.261049131374464
"Q8IUX7_IDR_1099_1138",0.299192829728669
"Q8IUX7_IDR_44_388",0.439758038896867
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.524640660653899
"Q8IUY3_IDR_182_321",0.475359339346101
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.474436781274102
"Q8IV04_IDR_352_446",0.525563218725898
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.477745849191266
"Q8IV31_IDR_62_184",0.522254150808733
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.235308630414256
"Q8IVE3_IDR_1453_1493",0.246374475093092
"Q8IVE3_IDR_36_69",0.253539100633879
"Q8IVE3_IDR_71_132",0.264777793858772
"Q8IVF1_IDR_14_81",0.196515116900755
"Q8IVF1_IDR_232_366",0.186242094124794
"Q8IVF1_IDR_407_522",0.205489962193678
"Q8IVF1_IDR_525_878",0.229332309832427
"Q8IVF1_IDR_83_205",0.182420516948347
"Q8IVF2_IDR_1_114",0.334023657207244
"Q8IVF2_IDR_1794_5795",0.339357781382861
"Q8IVF2_IDR_195_1792",0.326618561409895
"Q8IVF4_IDR_156_187",0.501921195805379
"Q8IVF4_IDR_1_66",0.498078804194621
"Q8IVF5_IDR_1017_1093",0.228707970486698
"Q8IVF5_IDR_1461_1667",0.238815584456842
"Q8IVF5_IDR_1_498",0.286078242403901
"Q8IVF5_IDR_749_804",0.246398202652559
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.384284687897542
"Q8IVW6_IDR_319_491",0.312343547502
"Q8IVW6_IDR_516_561",0.303371764600458
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.32355765611714
"Q8IW35_IDR_575_628",0.340789242799489
"Q8IW35_IDR_633_854",0.33565310108337
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.486707356019514
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.425220134505569
"Q8IWE2_IDR_404_437",0.574779865494431
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.529555297299648
"Q8IWF9_IDR_234_348",0.470444702700352
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.13800401877132
"Q8IWI9_IDR_1340_1371",0.109233799245069
"Q8IWI9_IDR_1398_1903",0.094270536058235
"Q8IWI9_IDR_1905_2856",0.110889224812313
"Q8IWI9_IDR_261_649",0.117198070771319
"Q8IWI9_IDR_2974_3016",0.106809961861789
"Q8IWI9_IDR_3020_3065",0.106013199241724
"Q8IWI9_IDR_681_751",0.105244817964764
"Q8IWI9_IDR_753_1079",0.112336371273467
"Q8IWJ2_IDR_1_69",0.340020154914432
"Q8IWT3_IDR_1658_1690",0.244768776132977
"Q8IWT3_IDR_2437_2517",0.292266635954742
"Q8IWT6_IDR_180_231",0.497996499945614
"Q8IWT6_IDR_62_95",0.502003500054386
"Q8IWU2_IDR_1_101",0.241489448918445
"Q8IWU2_IDR_1377_1415",0.254351924082485
"Q8IWU2_IDR_1426_1459",0.245004590940989
"Q8IWU2_IDR_557_1314",0.259154036058081
"Q8IWU5_IDR_1_40",0.224523409063177
"Q8IWU5_IDR_557_594",0.242937312781274
"Q8IWU5_IDR_648_718",0.289026506562449
"Q8IWU5_IDR_824_860",0.2435127715931
"Q8IWU6_IDR_1_37",0.207534668269297
"Q8IWU6_IDR_510_543",0.232654029032327
"Q8IWU6_IDR_561_610",0.23578176688984
"Q8IWU6_IDR_666_738",0.324029535808536
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.295905548581253
"Q8IWV1_IDR_178_270",0.346857241845233
"Q8IWV1_IDR_295_398",0.357237209573515
"Q8IX03_IDR_790_917",0.282818659669873
"Q8IX03_IDR_945_991",0.2491570464522
"Q8IX07_IDR_1_83",0.384328928914502
"Q8IX07_IDR_194_247",0.311437092749116
"Q8IX07_IDR_266_972",0.304233978336382
"Q8IX12_IDR_212_357",0.202455617262414
"Q8IX12_IDR_599_722",0.198803721306848
"Q8IX12_IDR_793_917",0.263856107918761
"Q8IX12_IDR_9_144",0.157646818727481
"Q8IX12_IDR_981_1021",0.177237734784495
"Q8IX15_IDR_125_364",0.256070648290321
"Q8IX15_IDR_1_38",0.235815864116144
"Q8IX15_IDR_420_461",0.246164484602195
"Q8IX15_IDR_504_550",0.26194900299134
"Q8IX18_IDR_1_50",0.453652490395707
"Q8IX18_IDR_706_779",0.546347509604293
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.502319671896019
"Q8IX29_IDR_239_292",0.497680328103981
"Q8IXP5_IDR_108_216",0.513002485705847
"Q8IXP5_IDR_1_106",0.486997514294153
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.516726185601592
"Q8IXQ8_IDR_211_264",0.483273814398408
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.31174494704343
"Q8IXT5_IDR_485_921",0.380331649766348
"Q8IXT5_IDR_89_151",0.307923403190223
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333776814982701
"Q8IXW0_IDR_176_344",0.320298992961326
"Q8IXW0_IDR_466_587",0.345924192055973
"Q8IXW5_IDR_1_41",0.552896656770207
"Q8IXW5_IDR_171_324",0.447103343229793
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.464078377916276
"Q8IY63_IDR_493_952",0.535921622083724
"Q8IY67_IDR_1_35",0.521965270937287
"Q8IY67_IDR_349_606",0.478034729062713
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.465722703894203
"Q8IY84_IDR_7_44",0.534277296105797
"Q8IY85_IDR_375_441",0.469508375168912
"Q8IY85_IDR_77_146",0.530491624831088
"Q8IY92_IDR_1_50",0.153221695153299
"Q8IY92_IDR_377_470",0.21640287051206
"Q8IY92_IDR_558_613",0.148438716575002
"Q8IY92_IDR_630_669",0.152668230202614
"Q8IY92_IDR_64_289",0.174186011816937
"Q8IY92_IDR_824_1750",0.155082475740088
"Q8IYE1_IDR_684_715",0.496511017072361
"Q8IYF1_IDR_647_753",0.361729528269067
"Q8IYF1_IDR_79_458",0.638270471730933
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.383263937586239
"Q8IYH5_IDR_573_649",0.310352405790863
"Q8IYH5_IDR_714_786",0.306383656622898
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.474831578078519
"Q8IYI6_IDR_287_328",0.525168421921481
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239874395813585
"Q8IYJ0_IDR_112_175",0.245395459107581
"Q8IYJ0_IDR_204_238",0.26264827660896
"Q8IYJ0_IDR_240_282",0.252081868469873
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.476451985387814
"Q8IYK4_IDR_584_626",0.523548014612186
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.156169725224826
"Q8IYW2_IDR_1347_1410",0.211559963487019
"Q8IYW2_IDR_1985_2022",0.164417064840705
"Q8IYW2_IDR_2287_2320",0.158451644901892
"Q8IYW2_IDR_2540_2579",0.156698558965452
"Q8IYW2_IDR_2630_2661",0.152703042580106
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.504653887301927
"Q8IZ41_IDR_77_124",0.495346112698073
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.312455115453271
"Q8IZ63_IDR_360_422",0.37802045689636
"Q8IZ63_IDR_87_332",0.309524427650369
"Q8IZ69_IDR_1_56",0.524604908138731
"Q8IZ69_IDR_591_625",0.475395091861269
"Q8IZ73_IDR_31_122",0.596252250227774
"Q8IZ73_IDR_421_495",0.403747749772226
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.317894015284703
"Q8IZA0_IDR_201_244",0.291601952719747
"Q8IZA0_IDR_957_1015",0.39050403199555
"Q8IZA3_IDR_114_346",0.623312184126471
"Q8IZA3_IDR_1_50",0.376687815873529
"Q8IZC4_IDR_185_221",0.349589943961357
"Q8IZC4_IDR_409_445",0.299862441102694
"Q8IZC4_IDR_476_603",0.350547614935949
"Q8IZC6_IDR_1_36",0.489342230864823
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.530295778439499
"Q8IZJ3_IDR_1758_1835",0.469704221560501
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.501075440253764
"Q8IZL8_IDR_637_1130",0.498924559746236
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.53201322959441
"Q8IZN3_IDR_323_488",0.46798677040559
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.556164633170152
"Q8IZP6_IDR_97_147",0.443835366829848
"Q8IZP7_IDR_1_118",0.440784350085969
"Q8IZP7_IDR_426_459",0.559215649914032
"Q8IZP9_IDR_249_371",0.22755094656402
"Q8IZP9_IDR_39_74",0.24908582356012
"Q8IZU9_IDR_701_778",0.496995036945429
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165416428884555
"Q8IZX4_IDR_1220_1400",0.155472477802307
"Q8IZX4_IDR_1644_1826",0.174317221765622
"Q8IZX4_IDR_268_354",0.186929966950605
"Q8IZX4_IDR_536_578",0.153557040446201
"Q8IZX4_IDR_82_235",0.16430686415071
"Q8IZY2_IDR_1152_1210",0.496975352363723
"Q8IZY2_IDR_2105_2146",0.503024647636277
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.471303474437712
"Q8N0S2_IDR_260_351",0.528696525562288
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.243981952625952
"Q8N0U7_IDR_267_299",0.252008233313728
"Q8N0U7_IDR_37_122",0.259604678105469
"Q8N0U7_IDR_391_467",0.244405135954851
"Q8N103_IDR_1_81",0.505966507927836
"Q8N103_IDR_283_731",0.494033492072164
"Q8N108_IDR_1_176",0.475741999945422
"Q8N108_IDR_344_512",0.524258000054578
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.496808053820472
"Q8N114_IDR_203_240",0.503191946179528
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.510586077692876
"Q8N122_IDR_820_949",0.489413922307124
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.483388074795046
"Q8N128_IDR_68_213",0.516611925204954
"Q8N129_IDR_1_32",0.445642949373553
"Q8N129_IDR_202_248",0.554357050626447
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.320710856287073
