"","GO0007018_microtubule_based_movement"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.251463061957206
"Q5VUJ6_IDR_1_54",0.377137051895372
"Q5VUJ6_IDR_308_649",0.622862948104628
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.532277380333892
"Q5VV16_IDR_235_409",0.467722619666108
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.507454684017682
"Q5VV42_IDR_499_545",0.492545315982318
"Q5VWN6_IDR_1918_1981",0.166515130043225
"Q5VWN6_IDR_1993_2150",0.165406785231843
"Q5VWN6_IDR_803_1879",0.199480946594694
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.311023095721748
"Q5VWQ0_IDR_63_351",0.354385204638796
"Q5VWQ0_IDR_708_802",0.334591699639455
"Q5VWQ8_IDR_1141_1189",0.321370913984752
"Q5VWQ8_IDR_1_142",0.336321299793474
"Q5VWQ8_IDR_654_1098",0.342307786221774
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192858389969312
"Q5VZL5_IDR_1_334",0.222951751960831
"Q5VZL5_IDR_640_677",0.180852925629398
"Q5VZL5_IDR_851_997",0.188212819832733
"Q5VZL5_IDR_999_1200",0.215124112607726
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.154526457948953
"Q5VZP5_IDR_45_103",0.143886528217395
"Q5XX13_IDR_168_231",0.465649122511685
"Q5XX13_IDR_693_978",0.534350877488315
"Q5XXA6_IDR_1_48",0.340969081514025
"Q5XXA6_IDR_74_121",0.33683883815872
"Q5XXA6_IDR_945_986",0.322192080327255
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.483147486480682
"Q63HK3_IDR_383_743",0.516852513519317
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.304234332989987
"Q66K14_IDR_944_993",0.371769821586932
"Q66K41_IDR_1_291",0.488183137881398
"Q66K41_IDR_304_345",0.511816862118602
"Q66K64_IDR_1_37",0.526360593942636
"Q66K64_IDR_275_383",0.473639406057364
"Q66K66_IDR_241_349",0.52364847771517
"Q66K66_IDR_32_81",0.47635152228483
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.235129884636342
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.480014439787195
"Q8IU57_IDR_479_520",0.519985560212805
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.486514450343822
"Q8IU81_IDR_56_237",0.513485549656178
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.508426323552756
"Q8IUC6_IDR_634_673",0.491573676447244
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.264060928370279
"Q8IUD2_IDR_621_730",0.259681196320709
"Q8IUD2_IDR_764_839",0.239005843751142
"Q8IUD2_IDR_926_1072",0.237252031557871
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.489942353777186
"Q8IUE0_IDR_1_55",0.510057646222814
"Q8IUE1_IDR_116_241",0.488554921270164
"Q8IUE1_IDR_1_55",0.511445078729836
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.269479419551456
"Q8IUG5_IDR_1_504",0.258075486891117
"Q8IUW5_IDR_126_223",0.230630442262457
"Q8IUW5_IDR_1_54",0.230968985044931
"Q8IUW5_IDR_234_271",0.272047767304304
"Q8IUW5_IDR_91_123",0.266352805388307
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.338551966496005
"Q8IUX7_IDR_1099_1138",0.355521196533415
"Q8IUX7_IDR_44_388",0.30592683697058
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.452287443396159
"Q8IUY3_IDR_182_321",0.547712556603841
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.493329651099158
"Q8IV04_IDR_352_446",0.506670348900842
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.470053027637446
"Q8IV31_IDR_62_184",0.529946972362554
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.23460482142435
"Q8IVE3_IDR_1453_1493",0.242933750569841
"Q8IVE3_IDR_36_69",0.263394038428989
"Q8IVE3_IDR_71_132",0.259067389576821
"Q8IVF1_IDR_14_81",0.19963751989916
"Q8IVF1_IDR_232_366",0.184612643538117
"Q8IVF1_IDR_407_522",0.20113532757584
"Q8IVF1_IDR_525_878",0.220927247818061
"Q8IVF1_IDR_83_205",0.193687261168821
"Q8IVF2_IDR_1_114",0.293072634000729
"Q8IVF2_IDR_1794_5795",0.361680840138582
"Q8IVF2_IDR_195_1792",0.345246525860689
"Q8IVF4_IDR_156_187",0.476159499104866
"Q8IVF4_IDR_1_66",0.523840500895134
"Q8IVF5_IDR_1017_1093",0.249567891128045
"Q8IVF5_IDR_1461_1667",0.267748363062746
"Q8IVF5_IDR_1_498",0.242177041052662
"Q8IVF5_IDR_749_804",0.240506704756547
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.354425463487996
"Q8IVW6_IDR_319_491",0.359611604425669
"Q8IVW6_IDR_516_561",0.285962932086335
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.349896824093185
"Q8IW35_IDR_575_628",0.337807772086423
"Q8IW35_IDR_633_854",0.312295403820392
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.481086189568285
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.478255471913619
"Q8IWE2_IDR_404_437",0.521744528086381
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.462483762673841
"Q8IWF9_IDR_234_348",0.537516237326159
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103525994307413
"Q8IWI9_IDR_1340_1371",0.094435348908119
"Q8IWI9_IDR_1398_1903",0.0914290302326169
"Q8IWI9_IDR_1905_2856",0.21270433246451
"Q8IWI9_IDR_261_649",0.114828938512643
"Q8IWI9_IDR_2974_3016",0.0911758755399462
"Q8IWI9_IDR_3020_3065",0.0940881612116876
"Q8IWI9_IDR_681_751",0.107861117931335
"Q8IWI9_IDR_753_1079",0.0899512008917294
"Q8IWJ2_IDR_1_69",0.284252840327923
"Q8IWT3_IDR_1658_1690",0.2501030131614
"Q8IWT3_IDR_2437_2517",0.317807778412209
"Q8IWT6_IDR_180_231",0.505140805922846
"Q8IWT6_IDR_62_95",0.494859194077154
"Q8IWU2_IDR_1_101",0.233826926954969
"Q8IWU2_IDR_1377_1415",0.222440435871225
"Q8IWU2_IDR_1426_1459",0.208452910236276
"Q8IWU2_IDR_557_1314",0.33527972693753
"Q8IWU5_IDR_1_40",0.258827607012315
"Q8IWU5_IDR_557_594",0.251096128927309
"Q8IWU5_IDR_648_718",0.243833253347674
"Q8IWU5_IDR_824_860",0.246243010712702
"Q8IWU6_IDR_1_37",0.247874452804306
"Q8IWU6_IDR_510_543",0.248035231364327
"Q8IWU6_IDR_561_610",0.259346063358284
"Q8IWU6_IDR_666_738",0.244744252473083
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.309143780529921
"Q8IWV1_IDR_178_270",0.333253346643914
"Q8IWV1_IDR_295_398",0.357602872826165
"Q8IX03_IDR_790_917",0.267238157152147
"Q8IX03_IDR_945_991",0.233387430393832
"Q8IX07_IDR_1_83",0.374686637145989
"Q8IX07_IDR_194_247",0.335771353667825
"Q8IX07_IDR_266_972",0.289542009186186
"Q8IX12_IDR_212_357",0.19026593674218
"Q8IX12_IDR_599_722",0.225542004618973
"Q8IX12_IDR_793_917",0.225476078996146
"Q8IX12_IDR_9_144",0.166923669211098
"Q8IX12_IDR_981_1021",0.191792310431604
"Q8IX15_IDR_125_364",0.256597914145813
"Q8IX15_IDR_1_38",0.249019720771972
"Q8IX15_IDR_420_461",0.233854651856122
"Q8IX15_IDR_504_550",0.260527713226092
"Q8IX18_IDR_1_50",0.428595729040362
"Q8IX18_IDR_706_779",0.571404270959638
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.487673667698275
"Q8IX29_IDR_239_292",0.512326332301725
"Q8IXP5_IDR_108_216",0.508534469390298
"Q8IXP5_IDR_1_106",0.491465530609702
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.515719096782139
"Q8IXQ8_IDR_211_264",0.484280903217861
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.346934252668623
"Q8IXT5_IDR_485_921",0.336895517389892
"Q8IXT5_IDR_89_151",0.316170229941486
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.31177076049603
"Q8IXW0_IDR_176_344",0.360949226591689
"Q8IXW0_IDR_466_587",0.327280012912281
"Q8IXW5_IDR_1_41",0.524372260644394
"Q8IXW5_IDR_171_324",0.475627739355605
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.418813569814483
"Q8IY63_IDR_493_952",0.581186430185517
"Q8IY67_IDR_1_35",0.515928082331994
"Q8IY67_IDR_349_606",0.484071917668006
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.495882868312197
"Q8IY84_IDR_7_44",0.504117131687803
"Q8IY85_IDR_375_441",0.509124675242321
"Q8IY85_IDR_77_146",0.490875324757679
"Q8IY92_IDR_1_50",0.16368035974999
"Q8IY92_IDR_377_470",0.158829023909011
"Q8IY92_IDR_558_613",0.160282049989534
"Q8IY92_IDR_630_669",0.156628381722137
"Q8IY92_IDR_64_289",0.166258368815169
"Q8IY92_IDR_824_1750",0.194321815814158
"Q8IYE1_IDR_684_715",0.2878008048708
"Q8IYF1_IDR_647_753",0.446663515076315
"Q8IYF1_IDR_79_458",0.553336484923685
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.343001652636255
"Q8IYH5_IDR_573_649",0.314155542924513
"Q8IYH5_IDR_714_786",0.342842804439232
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.465148091412783
"Q8IYI6_IDR_287_328",0.534851908587217
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.241368949869188
"Q8IYJ0_IDR_112_175",0.254301902246357
"Q8IYJ0_IDR_204_238",0.25452062105819
"Q8IYJ0_IDR_240_282",0.249808526826264
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.479925078582854
"Q8IYK4_IDR_584_626",0.520074921417146
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.157444417941167
"Q8IYW2_IDR_1347_1410",0.180416222881436
"Q8IYW2_IDR_1985_2022",0.171995580441912
"Q8IYW2_IDR_2287_2320",0.164816272101599
"Q8IYW2_IDR_2540_2579",0.160663850401893
"Q8IYW2_IDR_2630_2661",0.164663656231994
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.533917269039967
"Q8IZ41_IDR_77_124",0.466082730960033
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.336736053632231
"Q8IZ63_IDR_360_422",0.334112643500699
"Q8IZ63_IDR_87_332",0.329151302867069
"Q8IZ69_IDR_1_56",0.501549117343359
"Q8IZ69_IDR_591_625",0.49845088265664
"Q8IZ73_IDR_31_122",0.485088446924033
"Q8IZ73_IDR_421_495",0.514911553075967
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.320947870667015
"Q8IZA0_IDR_201_244",0.337038536880565
"Q8IZA0_IDR_957_1015",0.34201359245242
"Q8IZA3_IDR_114_346",0.485024047557662
"Q8IZA3_IDR_1_50",0.514975952442338
"Q8IZC4_IDR_185_221",0.339290696270441
"Q8IZC4_IDR_409_445",0.332120936947625
"Q8IZC4_IDR_476_603",0.328588366781934
"Q8IZC6_IDR_1_36",0.528339894116905
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.502041596914177
"Q8IZJ3_IDR_1758_1835",0.497958403085823
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.506027996602764
"Q8IZL8_IDR_637_1130",0.493972003397236
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.516287518072196
"Q8IZN3_IDR_323_488",0.483712481927804
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.496913239770614
"Q8IZP6_IDR_97_147",0.503086760229385
"Q8IZP7_IDR_1_118",0.459547096795689
"Q8IZP7_IDR_426_459",0.540452903204311
"Q8IZP9_IDR_249_371",0.251449215629815
"Q8IZP9_IDR_39_74",0.245965131133579
"Q8IZU9_IDR_701_778",0.469686628047269
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169734209180411
"Q8IZX4_IDR_1220_1400",0.162091270590711
"Q8IZX4_IDR_1644_1826",0.202039260280079
"Q8IZX4_IDR_268_354",0.147178574562685
"Q8IZX4_IDR_536_578",0.156426888595337
"Q8IZX4_IDR_82_235",0.162529796790776
"Q8IZY2_IDR_1152_1210",0.497117462787828
"Q8IZY2_IDR_2105_2146",0.502882537212172
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.474563011462857
"Q8N0S2_IDR_260_351",0.525436988537143
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.242811501404029
"Q8N0U7_IDR_267_299",0.238572617693069
"Q8N0U7_IDR_37_122",0.256368191979986
"Q8N0U7_IDR_391_467",0.262247688922915
"Q8N103_IDR_1_81",0.484286872717062
"Q8N103_IDR_283_731",0.515713127282938
"Q8N108_IDR_1_176",0.60214543087144
"Q8N108_IDR_344_512",0.39785456912856
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.496481768691123
"Q8N114_IDR_203_240",0.503518231308877
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.499934176498734
"Q8N122_IDR_820_949",0.500065823501266
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.448170601221264
"Q8N128_IDR_68_213",0.551829398778736
"Q8N129_IDR_1_32",0.454132703662707
"Q8N129_IDR_202_248",0.545867296337293
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.33110788767342
