"","GO0006366_transcription_by_RNA_polymerase_II"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.268817711894793
"Q5VUJ6_IDR_1_54",0.511967311444215
"Q5VUJ6_IDR_308_649",0.488032688555785
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.424468256299494
"Q5VV16_IDR_235_409",0.575531743700506
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.380884052974591
"Q5VV42_IDR_499_545",0.619115947025409
"Q5VWN6_IDR_1918_1981",0.16452266475434
"Q5VWN6_IDR_1993_2150",0.183292436695473
"Q5VWN6_IDR_803_1879",0.154280223374802
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.145155544573947
"Q5VWQ0_IDR_63_351",0.554094008937782
"Q5VWQ0_IDR_708_802",0.300750446488271
"Q5VWQ8_IDR_1141_1189",0.349314669262365
"Q5VWQ8_IDR_1_142",0.308566702509129
"Q5VWQ8_IDR_654_1098",0.342118628228507
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.222355474464319
"Q5VZL5_IDR_1_334",0.281204939392654
"Q5VZL5_IDR_640_677",0.168327270972438
"Q5VZL5_IDR_851_997",0.171479855485785
"Q5VZL5_IDR_999_1200",0.156632459684804
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.186883312411429
"Q5VZP5_IDR_45_103",0.188269122441008
"Q5XX13_IDR_168_231",0.416296392289136
"Q5XX13_IDR_693_978",0.583703607710864
"Q5XXA6_IDR_1_48",0.23654044705188
"Q5XXA6_IDR_74_121",0.489238487682245
"Q5XXA6_IDR_945_986",0.274221065265875
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.534390107145019
"Q63HK3_IDR_383_743",0.465609892854981
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.349707896823427
"Q66K14_IDR_944_993",0.311211159780752
"Q66K41_IDR_1_291",0.514138980500189
"Q66K41_IDR_304_345",0.485861019499811
"Q66K64_IDR_1_37",0.518692433391101
"Q66K64_IDR_275_383",0.481307566608899
"Q66K66_IDR_241_349",0.740155118775535
"Q66K66_IDR_32_81",0.259844881224466
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.221079235629874
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.551324030617626
"Q8IU57_IDR_479_520",0.448675969382374
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.512633922825707
"Q8IU81_IDR_56_237",0.487366077174293
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.513875746395433
"Q8IUC6_IDR_634_673",0.486124253604567
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.252068237886152
"Q8IUD2_IDR_621_730",0.197849618862391
"Q8IUD2_IDR_764_839",0.207324870277149
"Q8IUD2_IDR_926_1072",0.342757272974308
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.519123585818704
"Q8IUE0_IDR_1_55",0.480876414181296
"Q8IUE1_IDR_116_241",0.524274936510738
"Q8IUE1_IDR_1_55",0.475725063489262
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.337677430395874
"Q8IUG5_IDR_1_504",0.36977232505261
"Q8IUW5_IDR_126_223",0.267934587622287
"Q8IUW5_IDR_1_54",0.274726835864212
"Q8IUW5_IDR_234_271",0.238208363923885
"Q8IUW5_IDR_91_123",0.219130212589615
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.322119002628835
"Q8IUX7_IDR_1099_1138",0.385032498281552
"Q8IUX7_IDR_44_388",0.292848499089613
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.605285236395724
"Q8IUY3_IDR_182_321",0.394714763604276
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.533369549043421
"Q8IV04_IDR_352_446",0.466630450956579
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.468036425871764
"Q8IV31_IDR_62_184",0.531963574128236
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.251527812581501
"Q8IVE3_IDR_1453_1493",0.281975752034955
"Q8IVE3_IDR_36_69",0.243232361854667
"Q8IVE3_IDR_71_132",0.223264073528878
"Q8IVF1_IDR_14_81",0.193588033742068
"Q8IVF1_IDR_232_366",0.18097076975335
"Q8IVF1_IDR_407_522",0.20146188828497
"Q8IVF1_IDR_525_878",0.211851223055219
"Q8IVF1_IDR_83_205",0.212128085164393
"Q8IVF2_IDR_1_114",0.234503761904906
"Q8IVF2_IDR_1794_5795",0.415728111462087
"Q8IVF2_IDR_195_1792",0.349768126633006
"Q8IVF4_IDR_156_187",0.538362830905746
"Q8IVF4_IDR_1_66",0.461637169094254
"Q8IVF5_IDR_1017_1093",0.213996090788656
"Q8IVF5_IDR_1461_1667",0.260235458335823
"Q8IVF5_IDR_1_498",0.345694766696476
"Q8IVF5_IDR_749_804",0.180073684179045
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.312952002153505
"Q8IVW6_IDR_319_491",0.31441556011191
"Q8IVW6_IDR_516_561",0.372632437734585
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.429652718355514
"Q8IW35_IDR_575_628",0.284646491882011
"Q8IW35_IDR_633_854",0.285700789762475
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.545308282077688
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.555368199586975
"Q8IWE2_IDR_404_437",0.444631800413025
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.488753624399888
"Q8IWF9_IDR_234_348",0.511246375600112
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.10524758453216
"Q8IWI9_IDR_1340_1371",0.100000193524959
"Q8IWI9_IDR_1398_1903",0.115036672062091
"Q8IWI9_IDR_1905_2856",0.119370294137702
"Q8IWI9_IDR_261_649",0.177238596619495
"Q8IWI9_IDR_2974_3016",0.101149714782059
"Q8IWI9_IDR_3020_3065",0.106862527225724
"Q8IWI9_IDR_681_751",0.0973351090227832
"Q8IWI9_IDR_753_1079",0.0777593080930271
"Q8IWJ2_IDR_1_69",0.257890022439982
"Q8IWT3_IDR_1658_1690",0.217155154382739
"Q8IWT3_IDR_2437_2517",0.190840315889112
"Q8IWT6_IDR_180_231",0.476817847642546
"Q8IWT6_IDR_62_95",0.523182152357454
"Q8IWU2_IDR_1_101",0.257472519639114
"Q8IWU2_IDR_1377_1415",0.270983188627013
"Q8IWU2_IDR_1426_1459",0.226486916324007
"Q8IWU2_IDR_557_1314",0.245057375409867
"Q8IWU5_IDR_1_40",0.228883402298903
"Q8IWU5_IDR_557_594",0.244390708258872
"Q8IWU5_IDR_648_718",0.229821258234074
"Q8IWU5_IDR_824_860",0.296904631208151
"Q8IWU6_IDR_1_37",0.249594274769637
"Q8IWU6_IDR_510_543",0.278359897232936
"Q8IWU6_IDR_561_610",0.261765770463049
"Q8IWU6_IDR_666_738",0.210280057534378
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.299555156471735
"Q8IWV1_IDR_178_270",0.311371233836534
"Q8IWV1_IDR_295_398",0.389073609691732
"Q8IX03_IDR_790_917",0.2303571519517
"Q8IX03_IDR_945_991",0.268477752472071
"Q8IX07_IDR_1_83",0.157449061697337
"Q8IX07_IDR_194_247",0.17839928769362
"Q8IX07_IDR_266_972",0.664151650609043
"Q8IX12_IDR_212_357",0.126045255831883
"Q8IX12_IDR_599_722",0.166724741911324
"Q8IX12_IDR_793_917",0.172810054205952
"Q8IX12_IDR_9_144",0.345142987901716
"Q8IX12_IDR_981_1021",0.189276960149124
"Q8IX15_IDR_125_364",0.378712360854021
"Q8IX15_IDR_1_38",0.21811267720078
"Q8IX15_IDR_420_461",0.209348895512707
"Q8IX15_IDR_504_550",0.193826066432492
"Q8IX18_IDR_1_50",0.511473262767743
"Q8IX18_IDR_706_779",0.488526737232257
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.556904038665388
"Q8IX29_IDR_239_292",0.443095961334612
"Q8IXP5_IDR_108_216",0.568602479045593
"Q8IXP5_IDR_1_106",0.431397520954407
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.420711965264183
"Q8IXQ8_IDR_211_264",0.579288034735817
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.312255793189902
"Q8IXT5_IDR_485_921",0.370909002799929
"Q8IXT5_IDR_89_151",0.316835204010169
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.345362345096523
"Q8IXW0_IDR_176_344",0.352380395294326
"Q8IXW0_IDR_466_587",0.302257259609151
"Q8IXW5_IDR_1_41",0.500143077996425
"Q8IXW5_IDR_171_324",0.499856922003575
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.580466521412966
"Q8IY63_IDR_493_952",0.419533478587034
"Q8IY67_IDR_1_35",0.442475039783034
"Q8IY67_IDR_349_606",0.557524960216966
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.518200806348251
"Q8IY84_IDR_7_44",0.481799193651749
"Q8IY85_IDR_375_441",0.465979983159278
"Q8IY85_IDR_77_146",0.534020016840722
"Q8IY92_IDR_1_50",0.174335968142391
"Q8IY92_IDR_377_470",0.143258902567615
"Q8IY92_IDR_558_613",0.172836074984071
"Q8IY92_IDR_630_669",0.164475994501246
"Q8IY92_IDR_64_289",0.145349500899803
"Q8IY92_IDR_824_1750",0.199743558904875
"Q8IYE1_IDR_684_715",0.562132662296774
"Q8IYF1_IDR_647_753",0.4181219805516
"Q8IYF1_IDR_79_458",0.5818780194484
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.351235094314642
"Q8IYH5_IDR_573_649",0.328215451330207
"Q8IYH5_IDR_714_786",0.320549454355151
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.511472421427187
"Q8IYI6_IDR_287_328",0.488527578572813
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.233416808535868
"Q8IYJ0_IDR_112_175",0.240130466150002
"Q8IYJ0_IDR_204_238",0.237583569715203
"Q8IYJ0_IDR_240_282",0.288869155598927
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.462782733370907
"Q8IYK4_IDR_584_626",0.537217266629093
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.187821260052337
"Q8IYW2_IDR_1347_1410",0.155051656707746
"Q8IYW2_IDR_1985_2022",0.159637422509052
"Q8IYW2_IDR_2287_2320",0.163432571657469
"Q8IYW2_IDR_2540_2579",0.157295383650748
"Q8IYW2_IDR_2630_2661",0.176761705422649
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.470569280592045
"Q8IZ41_IDR_77_124",0.529430719407955
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.319309470117002
"Q8IZ63_IDR_360_422",0.309765041577447
"Q8IZ63_IDR_87_332",0.370925488305551
"Q8IZ69_IDR_1_56",0.469688108801017
"Q8IZ69_IDR_591_625",0.530311891198983
"Q8IZ73_IDR_31_122",0.449822476054069
"Q8IZ73_IDR_421_495",0.550177523945931
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.333264966740745
"Q8IZA0_IDR_201_244",0.367515052900183
"Q8IZA0_IDR_957_1015",0.299219980359071
"Q8IZA3_IDR_114_346",0.455549822542606
"Q8IZA3_IDR_1_50",0.544450177457394
"Q8IZC4_IDR_185_221",0.31266305939939
"Q8IZC4_IDR_409_445",0.322646411603267
"Q8IZC4_IDR_476_603",0.364690528997343
"Q8IZC6_IDR_1_36",0.461997873162495
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.496589127956824
"Q8IZJ3_IDR_1758_1835",0.503410872043176
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.445325225099031
"Q8IZL8_IDR_637_1130",0.554674774900969
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.31568166657459
"Q8IZN3_IDR_323_488",0.68431833342541
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.495010111121035
"Q8IZP6_IDR_97_147",0.504989888878965
"Q8IZP7_IDR_1_118",0.534506224453997
"Q8IZP7_IDR_426_459",0.465493775546003
"Q8IZP9_IDR_249_371",0.289245971852782
"Q8IZP9_IDR_39_74",0.262088084876733
"Q8IZU9_IDR_701_778",0.355993597089814
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.153245418627301
"Q8IZX4_IDR_1220_1400",0.152539942748788
"Q8IZX4_IDR_1644_1826",0.165320127035969
"Q8IZX4_IDR_268_354",0.143823805210569
"Q8IZX4_IDR_536_578",0.242572753153419
"Q8IZX4_IDR_82_235",0.142497953223955
"Q8IZY2_IDR_1152_1210",0.51937284692786
"Q8IZY2_IDR_2105_2146",0.48062715307214
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.449437463328773
"Q8N0S2_IDR_260_351",0.550562536671227
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.216873188950722
"Q8N0U7_IDR_267_299",0.227911177539697
"Q8N0U7_IDR_37_122",0.300620727639235
"Q8N0U7_IDR_391_467",0.254594905870345
"Q8N103_IDR_1_81",0.494336805903241
"Q8N103_IDR_283_731",0.505663194096759
"Q8N108_IDR_1_176",0.331213266001489
"Q8N108_IDR_344_512",0.668786733998511
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.509077852525522
"Q8N114_IDR_203_240",0.490922147474478
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.421795782722748
"Q8N122_IDR_820_949",0.578204217277252
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.413524381504507
"Q8N128_IDR_68_213",0.586475618495493
"Q8N129_IDR_1_32",0.46660152432129
"Q8N129_IDR_202_248",0.53339847567871
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.292451116273424
