"","GO2000112_regulation_of_cellular_macromolecule_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.296820084958717
"Q5VUJ6_IDR_1_54",0.511245018927321
"Q5VUJ6_IDR_308_649",0.488754981072679
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.452207284628974
"Q5VV16_IDR_235_409",0.547792715371026
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.410943351662896
"Q5VV42_IDR_499_545",0.589056648337104
"Q5VWN6_IDR_1918_1981",0.167261403542257
"Q5VWN6_IDR_1993_2150",0.184791433928096
"Q5VWN6_IDR_803_1879",0.14976868788034
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.173430371717439
"Q5VWQ0_IDR_63_351",0.540098772168086
"Q5VWQ0_IDR_708_802",0.286470856114475
"Q5VWQ8_IDR_1141_1189",0.353121179657227
"Q5VWQ8_IDR_1_142",0.309138397747803
"Q5VWQ8_IDR_654_1098",0.33774042259497
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.225279066696657
"Q5VZL5_IDR_1_334",0.23869973530802
"Q5VZL5_IDR_640_677",0.182196807905432
"Q5VZL5_IDR_851_997",0.183836927716213
"Q5VZL5_IDR_999_1200",0.169987462373677
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.171071490105507
"Q5VZP5_IDR_45_103",0.185166537738568
"Q5XX13_IDR_168_231",0.428266806745218
"Q5XX13_IDR_693_978",0.571733193254782
"Q5XXA6_IDR_1_48",0.238501185624099
"Q5XXA6_IDR_74_121",0.479077886580879
"Q5XXA6_IDR_945_986",0.282420927795022
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.545219041813914
"Q63HK3_IDR_383_743",0.454780958186086
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338348064793496
"Q66K14_IDR_944_993",0.317385271594044
"Q66K41_IDR_1_291",0.523693903764995
"Q66K41_IDR_304_345",0.476306096235005
"Q66K64_IDR_1_37",0.510581146905027
"Q66K64_IDR_275_383",0.489418853094973
"Q66K66_IDR_241_349",0.733936433292296
"Q66K66_IDR_32_81",0.266063566707704
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.23072181355844
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.549331912228382
"Q8IU57_IDR_479_520",0.450668087771618
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.499954065188899
"Q8IU81_IDR_56_237",0.500045934811101
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.51147302405391
"Q8IUC6_IDR_634_673",0.488526975946089
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.265475643226316
"Q8IUD2_IDR_621_730",0.206643718017034
"Q8IUD2_IDR_764_839",0.215168742159833
"Q8IUD2_IDR_926_1072",0.312711896596817
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.513720796841442
"Q8IUE0_IDR_1_55",0.486279203158558
"Q8IUE1_IDR_116_241",0.514396405606403
"Q8IUE1_IDR_1_55",0.485603594393597
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.34226135547346
"Q8IUG5_IDR_1_504",0.352309402489842
"Q8IUW5_IDR_126_223",0.271707709338892
"Q8IUW5_IDR_1_54",0.274905045668101
"Q8IUW5_IDR_234_271",0.229614418271788
"Q8IUW5_IDR_91_123",0.22377282672122
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.317560178645349
"Q8IUX7_IDR_1099_1138",0.381012368539696
"Q8IUX7_IDR_44_388",0.301427452814955
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.591023459321408
"Q8IUY3_IDR_182_321",0.408976540678592
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.518251337353284
"Q8IV04_IDR_352_446",0.481748662646716
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.456672982505248
"Q8IV31_IDR_62_184",0.543327017494752
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.266999208952544
"Q8IVE3_IDR_1453_1493",0.273495035201007
"Q8IVE3_IDR_36_69",0.237008319398844
"Q8IVE3_IDR_71_132",0.222497436447604
"Q8IVF1_IDR_14_81",0.197378754087218
"Q8IVF1_IDR_232_366",0.187049152382661
"Q8IVF1_IDR_407_522",0.204590974355952
"Q8IVF1_IDR_525_878",0.207070951166559
"Q8IVF1_IDR_83_205",0.203910168007611
"Q8IVF2_IDR_1_114",0.278189931890513
"Q8IVF2_IDR_1794_5795",0.375619786153572
"Q8IVF2_IDR_195_1792",0.346190281955914
"Q8IVF4_IDR_156_187",0.537743715283271
"Q8IVF4_IDR_1_66",0.462256284716729
"Q8IVF5_IDR_1017_1093",0.216444664681524
"Q8IVF5_IDR_1461_1667",0.257993983890567
"Q8IVF5_IDR_1_498",0.331262912143268
"Q8IVF5_IDR_749_804",0.194298439284641
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.292863831171335
"Q8IVW6_IDR_319_491",0.336501300785645
"Q8IVW6_IDR_516_561",0.370634868043021
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.404013853725749
"Q8IW35_IDR_575_628",0.299002057300974
"Q8IW35_IDR_633_854",0.296984088973277
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.521038713860532
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.556261818153247
"Q8IWE2_IDR_404_437",0.443738181846753
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.487729203420115
"Q8IWF9_IDR_234_348",0.512270796579885
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103997002480197
"Q8IWI9_IDR_1340_1371",0.10665264263858
"Q8IWI9_IDR_1398_1903",0.113940880546756
"Q8IWI9_IDR_1905_2856",0.124309479250542
"Q8IWI9_IDR_261_649",0.14277293958639
"Q8IWI9_IDR_2974_3016",0.101807753631455
"Q8IWI9_IDR_3020_3065",0.118282249088548
"Q8IWI9_IDR_681_751",0.10196533140394
"Q8IWI9_IDR_753_1079",0.0862717213735925
"Q8IWJ2_IDR_1_69",0.27581766713217
"Q8IWT3_IDR_1658_1690",0.222476159383654
"Q8IWT3_IDR_2437_2517",0.194682314468071
"Q8IWT6_IDR_180_231",0.480552203500948
"Q8IWT6_IDR_62_95",0.519447796499052
"Q8IWU2_IDR_1_101",0.251411241384839
"Q8IWU2_IDR_1377_1415",0.276958746197243
"Q8IWU2_IDR_1426_1459",0.227380639457512
"Q8IWU2_IDR_557_1314",0.244249372960406
"Q8IWU5_IDR_1_40",0.225007678303396
"Q8IWU5_IDR_557_594",0.23851997464764
"Q8IWU5_IDR_648_718",0.231634113520649
"Q8IWU5_IDR_824_860",0.304838233528315
"Q8IWU6_IDR_1_37",0.243623674404403
"Q8IWU6_IDR_510_543",0.279854100122448
"Q8IWU6_IDR_561_610",0.253949854344601
"Q8IWU6_IDR_666_738",0.222572371128548
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.296236646739883
"Q8IWV1_IDR_178_270",0.320512387767478
"Q8IWV1_IDR_295_398",0.383250965492639
"Q8IX03_IDR_790_917",0.232495090988295
"Q8IX03_IDR_945_991",0.265522649366436
"Q8IX07_IDR_1_83",0.187283951071131
"Q8IX07_IDR_194_247",0.206596792322658
"Q8IX07_IDR_266_972",0.606119256606211
"Q8IX12_IDR_212_357",0.131672332316851
"Q8IX12_IDR_599_722",0.16605534974519
"Q8IX12_IDR_793_917",0.170677451549675
"Q8IX12_IDR_9_144",0.344762381204353
"Q8IX12_IDR_981_1021",0.186832485183931
"Q8IX15_IDR_125_364",0.368086546300593
"Q8IX15_IDR_1_38",0.223739285837886
"Q8IX15_IDR_420_461",0.214747343305971
"Q8IX15_IDR_504_550",0.19342682455555
"Q8IX18_IDR_1_50",0.513666136096547
"Q8IX18_IDR_706_779",0.486333863903453
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.530766504117115
"Q8IX29_IDR_239_292",0.469233495882885
"Q8IXP5_IDR_108_216",0.55618426778492
"Q8IXP5_IDR_1_106",0.44381573221508
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.423341528521349
"Q8IXQ8_IDR_211_264",0.576658471478651
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.315023122003213
"Q8IXT5_IDR_485_921",0.364061603076622
"Q8IXT5_IDR_89_151",0.320915274920165
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333593142470239
"Q8IXW0_IDR_176_344",0.360624023975432
"Q8IXW0_IDR_466_587",0.305782833554329
"Q8IXW5_IDR_1_41",0.479710116664456
"Q8IXW5_IDR_171_324",0.520289883335544
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.583538825225641
"Q8IY63_IDR_493_952",0.416461174774359
"Q8IY67_IDR_1_35",0.40558717664316
"Q8IY67_IDR_349_606",0.59441282335684
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.517023456973353
"Q8IY84_IDR_7_44",0.482976543026647
"Q8IY85_IDR_375_441",0.464424294377736
"Q8IY85_IDR_77_146",0.535575705622264
"Q8IY92_IDR_1_50",0.178805019996249
"Q8IY92_IDR_377_470",0.150028963657304
"Q8IY92_IDR_558_613",0.176546072089687
"Q8IY92_IDR_630_669",0.161941864854044
"Q8IY92_IDR_64_289",0.153862341935042
"Q8IY92_IDR_824_1750",0.178815737467674
"Q8IYE1_IDR_684_715",0.540766015271591
"Q8IYF1_IDR_647_753",0.423689668440514
"Q8IYF1_IDR_79_458",0.576310331559486
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.340253901609297
"Q8IYH5_IDR_573_649",0.339237108978888
"Q8IYH5_IDR_714_786",0.320508989411815
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.528324480189758
"Q8IYI6_IDR_287_328",0.471675519810242
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244644593221908
"Q8IYJ0_IDR_112_175",0.245619495655243
"Q8IYJ0_IDR_204_238",0.247810496553891
"Q8IYJ0_IDR_240_282",0.261925414568958
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.442406484825886
"Q8IYK4_IDR_584_626",0.557593515174114
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.17847289608744
"Q8IYW2_IDR_1347_1410",0.156629847394667
"Q8IYW2_IDR_1985_2022",0.161959135474232
"Q8IYW2_IDR_2287_2320",0.163045806012681
"Q8IYW2_IDR_2540_2579",0.160008450239193
"Q8IYW2_IDR_2630_2661",0.179883864791787
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.486349957565607
"Q8IZ41_IDR_77_124",0.513650042434393
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326017167752875
"Q8IZ63_IDR_360_422",0.312417998505012
"Q8IZ63_IDR_87_332",0.361564833742113
"Q8IZ69_IDR_1_56",0.470898079810892
"Q8IZ69_IDR_591_625",0.529101920189108
"Q8IZ73_IDR_31_122",0.447490977094657
"Q8IZ73_IDR_421_495",0.552509022905343
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.344332707997369
"Q8IZA0_IDR_201_244",0.356140659516965
"Q8IZA0_IDR_957_1015",0.299526632485665
"Q8IZA3_IDR_114_346",0.461037878144677
"Q8IZA3_IDR_1_50",0.538962121855323
"Q8IZC4_IDR_185_221",0.313878002144548
"Q8IZC4_IDR_409_445",0.319351298743111
"Q8IZC4_IDR_476_603",0.366770699112341
"Q8IZC6_IDR_1_36",0.476401021190188
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.507430988282298
"Q8IZJ3_IDR_1758_1835",0.492569011717702
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.468921137945721
"Q8IZL8_IDR_637_1130",0.531078862054279
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.359650021774755
"Q8IZN3_IDR_323_488",0.640349978225245
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.518116441696719
"Q8IZP6_IDR_97_147",0.481883558303281
"Q8IZP7_IDR_1_118",0.501556783240358
"Q8IZP7_IDR_426_459",0.498443216759642
"Q8IZP9_IDR_249_371",0.281998637342724
"Q8IZP9_IDR_39_74",0.260824881738442
"Q8IZU9_IDR_701_778",0.366800543829891
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163542195479262
"Q8IZX4_IDR_1220_1400",0.159747688092319
"Q8IZX4_IDR_1644_1826",0.159168674167249
"Q8IZX4_IDR_268_354",0.152181534214743
"Q8IZX4_IDR_536_578",0.222174242027011
"Q8IZX4_IDR_82_235",0.143185666019416
"Q8IZY2_IDR_1152_1210",0.520495940143563
"Q8IZY2_IDR_2105_2146",0.479504059856437
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.461706926900566
"Q8N0S2_IDR_260_351",0.538293073099434
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.226718672629241
"Q8N0U7_IDR_267_299",0.234086981946176
"Q8N0U7_IDR_37_122",0.295031823570267
"Q8N0U7_IDR_391_467",0.244162521854316
"Q8N103_IDR_1_81",0.486680649412872
"Q8N103_IDR_283_731",0.513319350587128
"Q8N108_IDR_1_176",0.343800574667528
"Q8N108_IDR_344_512",0.656199425332472
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.506379753611354
"Q8N114_IDR_203_240",0.493620246388646
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.426701350769253
"Q8N122_IDR_820_949",0.573298649230747
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.430769479489516
"Q8N128_IDR_68_213",0.569230520510484
"Q8N129_IDR_1_32",0.454825259089582
"Q8N129_IDR_202_248",0.545174740910418
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.294527001199949
