"","GO0016071_mRNA_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.32553002212927
"Q5VUJ6_IDR_1_54",0.522296413070198
"Q5VUJ6_IDR_308_649",0.477703586929802
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.563248327026847
"Q5VV16_IDR_235_409",0.436751672973153
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.538747127484936
"Q5VV42_IDR_499_545",0.461252872515064
"Q5VWN6_IDR_1918_1981",0.168391867968472
"Q5VWN6_IDR_1993_2150",0.173440787303896
"Q5VWN6_IDR_803_1879",0.155048233652106
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.321883627915597
"Q5VWQ0_IDR_63_351",0.355240513309412
"Q5VWQ0_IDR_708_802",0.322875858774991
"Q5VWQ8_IDR_1141_1189",0.314218614970046
"Q5VWQ8_IDR_1_142",0.286127868712264
"Q5VWQ8_IDR_654_1098",0.39965351631769
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.200738322484213
"Q5VZL5_IDR_1_334",0.200583467205017
"Q5VZL5_IDR_640_677",0.204400776179172
"Q5VZL5_IDR_851_997",0.18782196655002
"Q5VZL5_IDR_999_1200",0.206455467581578
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.135121954576636
"Q5VZP5_IDR_45_103",0.133520752579311
"Q5XX13_IDR_168_231",0.517654870821616
"Q5XX13_IDR_693_978",0.482345129178384
"Q5XXA6_IDR_1_48",0.301189420113492
"Q5XXA6_IDR_74_121",0.351934618092415
"Q5XXA6_IDR_945_986",0.346875961794092
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.509102326596893
"Q63HK3_IDR_383_743",0.490897673403107
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.362816320465642
"Q66K14_IDR_944_993",0.341125225742207
"Q66K41_IDR_1_291",0.473778534883945
"Q66K41_IDR_304_345",0.526221465116055
"Q66K64_IDR_1_37",0.50391552487233
"Q66K64_IDR_275_383",0.49608447512767
"Q66K66_IDR_241_349",0.571886912174854
"Q66K66_IDR_32_81",0.428113087825146
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.255077259042813
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.480743053209846
"Q8IU57_IDR_479_520",0.519256946790154
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.509775359855966
"Q8IU81_IDR_56_237",0.490224640144034
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.464863547262305
"Q8IUC6_IDR_634_673",0.535136452737695
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.242555641603613
"Q8IUD2_IDR_621_730",0.235323685743238
"Q8IUD2_IDR_764_839",0.26970639851372
"Q8IUD2_IDR_926_1072",0.25241427413943
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.493976556374099
"Q8IUE0_IDR_1_55",0.506023443625901
"Q8IUE1_IDR_116_241",0.485923236626737
"Q8IUE1_IDR_1_55",0.514076763373263
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.243583080699077
"Q8IUG5_IDR_1_504",0.463924582922635
"Q8IUW5_IDR_126_223",0.235889155397949
"Q8IUW5_IDR_1_54",0.254901917680727
"Q8IUW5_IDR_234_271",0.242357524716292
"Q8IUW5_IDR_91_123",0.266851402205033
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.306779389049804
"Q8IUX7_IDR_1099_1138",0.325346802162378
"Q8IUX7_IDR_44_388",0.367873808787819
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.52390739058705
"Q8IUY3_IDR_182_321",0.47609260941295
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.503287769506317
"Q8IV04_IDR_352_446",0.496712230493683
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.489865074050558
"Q8IV31_IDR_62_184",0.510134925949442
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.260586435572556
"Q8IVE3_IDR_1453_1493",0.2330294047407
"Q8IVE3_IDR_36_69",0.253049080036429
"Q8IVE3_IDR_71_132",0.253335079650314
"Q8IVF1_IDR_14_81",0.19740265733279
"Q8IVF1_IDR_232_366",0.19907820630472
"Q8IVF1_IDR_407_522",0.215722753726159
"Q8IVF1_IDR_525_878",0.189580063111699
"Q8IVF1_IDR_83_205",0.198216319524633
"Q8IVF2_IDR_1_114",0.338894224625617
"Q8IVF2_IDR_1794_5795",0.326379155324934
"Q8IVF2_IDR_195_1792",0.334726620049449
"Q8IVF4_IDR_156_187",0.504985876959848
"Q8IVF4_IDR_1_66",0.495014123040152
"Q8IVF5_IDR_1017_1093",0.230167644516319
"Q8IVF5_IDR_1461_1667",0.254864284560453
"Q8IVF5_IDR_1_498",0.278057812967452
"Q8IVF5_IDR_749_804",0.236910257955777
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.353812248917732
"Q8IVW6_IDR_319_491",0.280794300100705
"Q8IVW6_IDR_516_561",0.365393450981563
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.304807429278214
"Q8IW35_IDR_575_628",0.337601320884486
"Q8IW35_IDR_633_854",0.3575912498373
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.475445170627251
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.433197489237955
"Q8IWE2_IDR_404_437",0.566802510762045
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.5339995155644
"Q8IWF9_IDR_234_348",0.4660004844356
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.119326728694552
"Q8IWI9_IDR_1340_1371",0.115694237338739
"Q8IWI9_IDR_1398_1903",0.10502441160479
"Q8IWI9_IDR_1905_2856",0.113622158559604
"Q8IWI9_IDR_261_649",0.112375224598023
"Q8IWI9_IDR_2974_3016",0.116390570109928
"Q8IWI9_IDR_3020_3065",0.113660798211863
"Q8IWI9_IDR_681_751",0.102106637555202
"Q8IWI9_IDR_753_1079",0.101799233327299
"Q8IWJ2_IDR_1_69",0.348005192408996
"Q8IWT3_IDR_1658_1690",0.243603776164544
"Q8IWT3_IDR_2437_2517",0.28097537108335
"Q8IWT6_IDR_180_231",0.498873197315872
"Q8IWT6_IDR_62_95",0.501126802684128
"Q8IWU2_IDR_1_101",0.231116864608543
"Q8IWU2_IDR_1377_1415",0.276520111869201
"Q8IWU2_IDR_1426_1459",0.256835115296363
"Q8IWU2_IDR_557_1314",0.235527908225894
"Q8IWU5_IDR_1_40",0.225632501820729
"Q8IWU5_IDR_557_594",0.24578740810441
"Q8IWU5_IDR_648_718",0.285997733787356
"Q8IWU5_IDR_824_860",0.242582356287504
"Q8IWU6_IDR_1_37",0.205606055481323
"Q8IWU6_IDR_510_543",0.267466536074364
"Q8IWU6_IDR_561_610",0.242812932347057
"Q8IWU6_IDR_666_738",0.284114476097256
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.296057770271673
"Q8IWV1_IDR_178_270",0.357428946167777
"Q8IWV1_IDR_295_398",0.34651328356055
"Q8IX03_IDR_790_917",0.268432152037586
"Q8IX03_IDR_945_991",0.253106328885643
"Q8IX07_IDR_1_83",0.409675733559936
"Q8IX07_IDR_194_247",0.296215495159375
"Q8IX07_IDR_266_972",0.294108771280689
"Q8IX12_IDR_212_357",0.229780019343942
"Q8IX12_IDR_599_722",0.156983670107556
"Q8IX12_IDR_793_917",0.292859036196061
"Q8IX12_IDR_9_144",0.170316132659845
"Q8IX12_IDR_981_1021",0.150061141692595
"Q8IX15_IDR_125_364",0.224803708346909
"Q8IX15_IDR_1_38",0.264952293992499
"Q8IX15_IDR_420_461",0.260841174353678
"Q8IX15_IDR_504_550",0.249402823306914
"Q8IX18_IDR_1_50",0.501052865154419
"Q8IX18_IDR_706_779",0.498947134845581
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.523520825769057
"Q8IX29_IDR_239_292",0.476479174230943
"Q8IXP5_IDR_108_216",0.510530455325083
"Q8IXP5_IDR_1_106",0.489469544674917
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.488771772872187
"Q8IXQ8_IDR_211_264",0.511228227127813
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.282363449932104
"Q8IXT5_IDR_485_921",0.437410097073553
"Q8IXT5_IDR_89_151",0.280226452994343
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.344887545930574
"Q8IXW0_IDR_176_344",0.319831780832654
"Q8IXW0_IDR_466_587",0.335280673236772
"Q8IXW5_IDR_1_41",0.565744695584471
"Q8IXW5_IDR_171_324",0.434255304415529
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.495803357813056
"Q8IY63_IDR_493_952",0.504196642186944
"Q8IY67_IDR_1_35",0.532566286685731
"Q8IY67_IDR_349_606",0.467433713314269
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.457825026135197
"Q8IY84_IDR_7_44",0.542174973864803
"Q8IY85_IDR_375_441",0.500096764888815
"Q8IY85_IDR_77_146",0.499903235111185
"Q8IY92_IDR_1_50",0.174525316500112
"Q8IY92_IDR_377_470",0.17061101234996
"Q8IY92_IDR_558_613",0.161462453366155
"Q8IY92_IDR_630_669",0.16228985671479
"Q8IY92_IDR_64_289",0.15921859651459
"Q8IY92_IDR_824_1750",0.171892764554393
"Q8IYE1_IDR_684_715",0.52018729066073
"Q8IYF1_IDR_647_753",0.451374293808759
"Q8IYF1_IDR_79_458",0.548625706191241
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.334595801460838
"Q8IYH5_IDR_573_649",0.346253721099902
"Q8IYH5_IDR_714_786",0.31915047743926
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.48150065912871
"Q8IYI6_IDR_287_328",0.51849934087129
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.246103037539376
"Q8IYJ0_IDR_112_175",0.242014872625843
"Q8IYJ0_IDR_204_238",0.270373224533973
"Q8IYJ0_IDR_240_282",0.241508865300808
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.434584247863678
"Q8IYK4_IDR_584_626",0.565415752136322
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162307132764053
"Q8IYW2_IDR_1347_1410",0.191846186977019
"Q8IYW2_IDR_1985_2022",0.160462042609087
"Q8IYW2_IDR_2287_2320",0.162248573823091
"Q8IYW2_IDR_2540_2579",0.164395391061112
"Q8IYW2_IDR_2630_2661",0.158740672765639
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.474962011189012
"Q8IZ41_IDR_77_124",0.525037988810988
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326577133418662
"Q8IZ63_IDR_360_422",0.346512602436834
"Q8IZ63_IDR_87_332",0.326910264144504
"Q8IZ69_IDR_1_56",0.518974924408887
"Q8IZ69_IDR_591_625",0.481025075591113
"Q8IZ73_IDR_31_122",0.557895356923505
"Q8IZ73_IDR_421_495",0.442104643076495
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.30838500992282
"Q8IZA0_IDR_201_244",0.300556907988583
"Q8IZA0_IDR_957_1015",0.391058082088597
"Q8IZA3_IDR_114_346",0.558728247818498
"Q8IZA3_IDR_1_50",0.441271752181502
"Q8IZC4_IDR_185_221",0.315125280840946
"Q8IZC4_IDR_409_445",0.323889663550188
"Q8IZC4_IDR_476_603",0.360985055608866
"Q8IZC6_IDR_1_36",0.463410762119254
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.549997777293715
"Q8IZJ3_IDR_1758_1835",0.450002222706285
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.474619249989151
"Q8IZL8_IDR_637_1130",0.525380750010849
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.536684170447907
"Q8IZN3_IDR_323_488",0.463315829552093
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.542178191507862
"Q8IZP6_IDR_97_147",0.457821808492138
"Q8IZP7_IDR_1_118",0.415613290036214
"Q8IZP7_IDR_426_459",0.584386709963786
"Q8IZP9_IDR_249_371",0.236176357780756
"Q8IZP9_IDR_39_74",0.237941464405667
"Q8IZU9_IDR_701_778",0.495491777285145
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166070342689891
"Q8IZX4_IDR_1220_1400",0.147597246926942
"Q8IZX4_IDR_1644_1826",0.192345314661976
"Q8IZX4_IDR_268_354",0.170291811603726
"Q8IZX4_IDR_536_578",0.14985165526986
"Q8IZX4_IDR_82_235",0.173843628847605
"Q8IZY2_IDR_1152_1210",0.492399221027361
"Q8IZY2_IDR_2105_2146",0.507600778972639
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.509313403179063
"Q8N0S2_IDR_260_351",0.490686596820936
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.263749087931634
"Q8N0U7_IDR_267_299",0.258733944854035
"Q8N0U7_IDR_37_122",0.248686576818827
"Q8N0U7_IDR_391_467",0.228830390395504
"Q8N103_IDR_1_81",0.510251631398431
"Q8N103_IDR_283_731",0.489748368601569
"Q8N108_IDR_1_176",0.507529412440812
"Q8N108_IDR_344_512",0.492470587559188
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.491915162326349
"Q8N114_IDR_203_240",0.508084837673651
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.484162945333462
"Q8N122_IDR_820_949",0.515837054666538
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.54740647238328
"Q8N128_IDR_68_213",0.452593527616719
"Q8N129_IDR_1_32",0.430485362132885
"Q8N129_IDR_202_248",0.569514637867115
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.305907473083024
"Q8N137_IDR_442_797",0.30852036164431
