"","GO0034470_ncRNA_processing"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.302233109176419
"Q5VUJ6_IDR_1_54",0.440289859109095
"Q5VUJ6_IDR_308_649",0.559710140890905
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.54357980862612
"Q5VV16_IDR_235_409",0.45642019137388
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.561259230829221
"Q5VV42_IDR_499_545",0.438740769170779
"Q5VWN6_IDR_1918_1981",0.173043105885071
"Q5VWN6_IDR_1993_2150",0.155824645122457
"Q5VWN6_IDR_803_1879",0.155297641637478
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.266489755456406
"Q5VWQ0_IDR_63_351",0.488487568162189
"Q5VWQ0_IDR_708_802",0.245022676381405
"Q5VWQ8_IDR_1141_1189",0.339341537256336
"Q5VWQ8_IDR_1_142",0.336907026139913
"Q5VWQ8_IDR_654_1098",0.323751436603751
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195633072394375
"Q5VZL5_IDR_1_334",0.20336680695003
"Q5VZL5_IDR_640_677",0.186035659683799
"Q5VZL5_IDR_851_997",0.188946301915447
"Q5VZL5_IDR_999_1200",0.226018159056349
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.149082235728614
"Q5VZP5_IDR_45_103",0.145987465898264
"Q5XX13_IDR_168_231",0.50564117441281
"Q5XX13_IDR_693_978",0.49435882558719
"Q5XXA6_IDR_1_48",0.333731536669795
"Q5XXA6_IDR_74_121",0.332963460784607
"Q5XXA6_IDR_945_986",0.333305002545597
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.45850362086437
"Q63HK3_IDR_383_743",0.54149637913563
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.311102288601721
"Q66K14_IDR_944_993",0.395196038548826
"Q66K41_IDR_1_291",0.495776282725141
"Q66K41_IDR_304_345",0.504223717274859
"Q66K64_IDR_1_37",0.530765252024919
"Q66K64_IDR_275_383",0.469234747975081
"Q66K66_IDR_241_349",0.520007624193691
"Q66K66_IDR_32_81",0.479992375806309
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.238124786014951
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.455258272752995
"Q8IU57_IDR_479_520",0.544741727247006
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.483482429683491
"Q8IU81_IDR_56_237",0.516517570316509
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.49640874423422
"Q8IUC6_IDR_634_673",0.50359125576578
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.251890959453245
"Q8IUD2_IDR_621_730",0.250466071883869
"Q8IUD2_IDR_764_839",0.249846744095849
"Q8IUD2_IDR_926_1072",0.247796224567038
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.457048803970921
"Q8IUE0_IDR_1_55",0.542951196029078
"Q8IUE1_IDR_116_241",0.447012107529105
"Q8IUE1_IDR_1_55",0.552987892470895
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.250767473577746
"Q8IUG5_IDR_1_504",0.449319588234384
"Q8IUW5_IDR_126_223",0.234602615241311
"Q8IUW5_IDR_1_54",0.226962249819344
"Q8IUW5_IDR_234_271",0.247197017796396
"Q8IUW5_IDR_91_123",0.291238117142948
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.216363346861935
"Q8IUX7_IDR_1099_1138",0.283504103095401
"Q8IUX7_IDR_44_388",0.500132550042664
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.501694971987798
"Q8IUY3_IDR_182_321",0.498305028012202
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.475748267585069
"Q8IV04_IDR_352_446",0.524251732414931
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.488246829823465
"Q8IV31_IDR_62_184",0.511753170176535
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226244138137134
"Q8IVE3_IDR_1453_1493",0.235169455610918
"Q8IVE3_IDR_36_69",0.254170265274549
"Q8IVE3_IDR_71_132",0.284416140977399
"Q8IVF1_IDR_14_81",0.193893470768636
"Q8IVF1_IDR_232_366",0.186968600817705
"Q8IVF1_IDR_407_522",0.208894031957181
"Q8IVF1_IDR_525_878",0.22577013500008
"Q8IVF1_IDR_83_205",0.184473761456398
"Q8IVF2_IDR_1_114",0.236851935080813
"Q8IVF2_IDR_1794_5795",0.367717154645535
"Q8IVF2_IDR_195_1792",0.395430910273652
"Q8IVF4_IDR_156_187",0.470294775796484
"Q8IVF4_IDR_1_66",0.529705224203516
"Q8IVF5_IDR_1017_1093",0.256022671101441
"Q8IVF5_IDR_1461_1667",0.256401593606178
"Q8IVF5_IDR_1_498",0.240222912775175
"Q8IVF5_IDR_749_804",0.247352822517207
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.381118778783963
"Q8IVW6_IDR_319_491",0.316979049600727
"Q8IVW6_IDR_516_561",0.30190217161531
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.317596589491826
"Q8IW35_IDR_575_628",0.365596580793733
"Q8IW35_IDR_633_854",0.316806829714441
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.468436235400614
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.374150557801658
"Q8IWE2_IDR_404_437",0.625849442198342
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.521568653506964
"Q8IWF9_IDR_234_348",0.478431346493036
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.152681885533618
"Q8IWI9_IDR_1340_1371",0.10551531065022
"Q8IWI9_IDR_1398_1903",0.0926818045346882
"Q8IWI9_IDR_1905_2856",0.127492657866287
"Q8IWI9_IDR_261_649",0.109843258623927
"Q8IWI9_IDR_2974_3016",0.102820990508863
"Q8IWI9_IDR_3020_3065",0.0993471563355628
"Q8IWI9_IDR_681_751",0.107017517564359
"Q8IWI9_IDR_753_1079",0.102599418382475
"Q8IWJ2_IDR_1_69",0.357576119759756
"Q8IWT3_IDR_1658_1690",0.265341886693755
"Q8IWT3_IDR_2437_2517",0.294381079584546
"Q8IWT6_IDR_180_231",0.526716086458291
"Q8IWT6_IDR_62_95",0.473283913541709
"Q8IWU2_IDR_1_101",0.255762267138332
"Q8IWU2_IDR_1377_1415",0.247188683583576
"Q8IWU2_IDR_1426_1459",0.243115229024438
"Q8IWU2_IDR_557_1314",0.253933820253653
"Q8IWU5_IDR_1_40",0.22645684454186
"Q8IWU5_IDR_557_594",0.23853832520315
"Q8IWU5_IDR_648_718",0.300735056984552
"Q8IWU5_IDR_824_860",0.234269773270439
"Q8IWU6_IDR_1_37",0.18788980149114
"Q8IWU6_IDR_510_543",0.207605591035541
"Q8IWU6_IDR_561_610",0.227699663675353
"Q8IWU6_IDR_666_738",0.376804943797966
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.317466901657526
"Q8IWV1_IDR_178_270",0.330425791681365
"Q8IWV1_IDR_295_398",0.35210730666111
"Q8IX03_IDR_790_917",0.304237521062171
"Q8IX03_IDR_945_991",0.236674473840367
"Q8IX07_IDR_1_83",0.392854681671686
"Q8IX07_IDR_194_247",0.313404071919485
"Q8IX07_IDR_266_972",0.293741246408829
"Q8IX12_IDR_212_357",0.182944006821453
"Q8IX12_IDR_599_722",0.203348004507783
"Q8IX12_IDR_793_917",0.283936636651573
"Q8IX12_IDR_9_144",0.152276338722984
"Q8IX12_IDR_981_1021",0.177495013296207
"Q8IX15_IDR_125_364",0.236733923937718
"Q8IX15_IDR_1_38",0.238079861130648
"Q8IX15_IDR_420_461",0.244870753359738
"Q8IX15_IDR_504_550",0.280315461571896
"Q8IX18_IDR_1_50",0.424824592690442
"Q8IX18_IDR_706_779",0.575175407309558
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.512827434605811
"Q8IX29_IDR_239_292",0.487172565394189
"Q8IXP5_IDR_108_216",0.497004042527332
"Q8IXP5_IDR_1_106",0.502995957472667
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.532984979087826
"Q8IXQ8_IDR_211_264",0.467015020912174
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.318660118771691
"Q8IXT5_IDR_485_921",0.363058579922459
"Q8IXT5_IDR_89_151",0.31828130130585
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.324837761005322
"Q8IXW0_IDR_176_344",0.31069543623571
"Q8IXW0_IDR_466_587",0.364466802758968
"Q8IXW5_IDR_1_41",0.550094119617615
"Q8IXW5_IDR_171_324",0.449905880382385
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.45395147395869
"Q8IY63_IDR_493_952",0.54604852604131
"Q8IY67_IDR_1_35",0.533319353898299
"Q8IY67_IDR_349_606",0.466680646101701
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.461556683484836
"Q8IY84_IDR_7_44",0.538443316515164
"Q8IY85_IDR_375_441",0.48632185214971
"Q8IY85_IDR_77_146",0.51367814785029
"Q8IY92_IDR_1_50",0.159618397787934
"Q8IY92_IDR_377_470",0.224599545094945
"Q8IY92_IDR_558_613",0.143161392430096
"Q8IY92_IDR_630_669",0.152057583734917
"Q8IY92_IDR_64_289",0.169549265394018
"Q8IY92_IDR_824_1750",0.15101381555809
"Q8IYE1_IDR_684_715",0.421598068203667
"Q8IYF1_IDR_647_753",0.399410702265852
"Q8IYF1_IDR_79_458",0.600589297734148
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.369670028509765
"Q8IYH5_IDR_573_649",0.323440181446178
"Q8IYH5_IDR_714_786",0.306889790044056
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.445070583551542
"Q8IYI6_IDR_287_328",0.554929416448458
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.240154120708131
"Q8IYJ0_IDR_112_175",0.247970598464507
"Q8IYJ0_IDR_204_238",0.259449090138291
"Q8IYJ0_IDR_240_282",0.252426190689071
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.474635140653796
"Q8IYK4_IDR_584_626",0.525364859346204
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.153946243116153
"Q8IYW2_IDR_1347_1410",0.218949497766124
"Q8IYW2_IDR_1985_2022",0.160920012449193
"Q8IYW2_IDR_2287_2320",0.160187948269736
"Q8IYW2_IDR_2540_2579",0.154333815568857
"Q8IYW2_IDR_2630_2661",0.151662482829937
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.476150897134999
"Q8IZ41_IDR_77_124",0.523849102865001
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.310855206691675
"Q8IZ63_IDR_360_422",0.376046606850686
"Q8IZ63_IDR_87_332",0.313098186457639
"Q8IZ69_IDR_1_56",0.532580619506267
"Q8IZ69_IDR_591_625",0.467419380493733
"Q8IZ73_IDR_31_122",0.582168887221547
"Q8IZ73_IDR_421_495",0.417831112778452
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.322875119246054
"Q8IZA0_IDR_201_244",0.292451588097162
"Q8IZA0_IDR_957_1015",0.384673292656784
"Q8IZA3_IDR_114_346",0.670313469514813
"Q8IZA3_IDR_1_50",0.329686530485187
"Q8IZC4_IDR_185_221",0.343659575712364
"Q8IZC4_IDR_409_445",0.306154204633945
"Q8IZC4_IDR_476_603",0.350186219653691
"Q8IZC6_IDR_1_36",0.501322310574387
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.526580329978806
"Q8IZJ3_IDR_1758_1835",0.473419670021194
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.500745048996341
"Q8IZL8_IDR_637_1130",0.499254951003659
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.519201644053961
"Q8IZN3_IDR_323_488",0.480798355946039
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.555291217364646
"Q8IZP6_IDR_97_147",0.444708782635354
"Q8IZP7_IDR_1_118",0.412657181409245
"Q8IZP7_IDR_426_459",0.587342818590755
"Q8IZP9_IDR_249_371",0.235821631570232
"Q8IZP9_IDR_39_74",0.248290602498787
"Q8IZU9_IDR_701_778",0.487995904549871
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.155381043880197
"Q8IZX4_IDR_1220_1400",0.156034624895072
"Q8IZX4_IDR_1644_1826",0.192545297263505
"Q8IZX4_IDR_268_354",0.174686037911499
"Q8IZX4_IDR_536_578",0.146238347080998
"Q8IZX4_IDR_82_235",0.17511464896873
"Q8IZY2_IDR_1152_1210",0.491953681940057
"Q8IZY2_IDR_2105_2146",0.508046318059943
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.467501472595618
"Q8N0S2_IDR_260_351",0.532498527404382
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.248568114545535
"Q8N0U7_IDR_267_299",0.241520868411785
"Q8N0U7_IDR_37_122",0.258712939648451
"Q8N0U7_IDR_391_467",0.251198077394229
"Q8N103_IDR_1_81",0.533534472305269
"Q8N103_IDR_283_731",0.466465527694731
"Q8N108_IDR_1_176",0.575610646852069
"Q8N108_IDR_344_512",0.424389353147931
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.506629859190596
"Q8N114_IDR_203_240",0.493370140809404
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.505792404624982
"Q8N122_IDR_820_949",0.494207595375018
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.468798233484072
"Q8N128_IDR_68_213",0.531201766515928
"Q8N129_IDR_1_32",0.405131038794321
"Q8N129_IDR_202_248",0.594868961205679
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.314785373618932
"Q8N137_IDR_442_797",0.318994245257682
