"","GO0043235_receptor_complex"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.344863826409296
"Q5VUJ6_IDR_1_54",0.485043233210162
"Q5VUJ6_IDR_308_649",0.514956766789838
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.476405690478754
"Q5VV16_IDR_235_409",0.523594309521246
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.490122815582769
"Q5VV42_IDR_499_545",0.509877184417231
"Q5VWN6_IDR_1918_1981",0.176618417915044
"Q5VWN6_IDR_1993_2150",0.169301381472668
"Q5VWN6_IDR_803_1879",0.163122335505228
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.335871536890353
"Q5VWQ0_IDR_63_351",0.333627201560499
"Q5VWQ0_IDR_708_802",0.330501261549147
"Q5VWQ8_IDR_1141_1189",0.310076772311423
"Q5VWQ8_IDR_1_142",0.320571223222831
"Q5VWQ8_IDR_654_1098",0.369352004465746
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.19945576032399
"Q5VZL5_IDR_1_334",0.19912603341123
"Q5VZL5_IDR_640_677",0.199276213603455
"Q5VZL5_IDR_851_997",0.199359685635005
"Q5VZL5_IDR_999_1200",0.20278230702632
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.167930186258119
"Q5VZP5_IDR_45_103",0.173236794176559
"Q5XX13_IDR_168_231",0.495314776089406
"Q5XX13_IDR_693_978",0.504685223910594
"Q5XXA6_IDR_1_48",0.340384784208483
"Q5XXA6_IDR_74_121",0.331020681098545
"Q5XXA6_IDR_945_986",0.328594534692972
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.503118097771642
"Q63HK3_IDR_383_743",0.496881902228358
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.31612557912583
"Q66K14_IDR_944_993",0.36328540059419
"Q66K41_IDR_1_291",0.491625744642622
"Q66K41_IDR_304_345",0.508374255357378
"Q66K64_IDR_1_37",0.500776472334984
"Q66K64_IDR_275_383",0.499223527665016
"Q66K66_IDR_241_349",0.506898841250278
"Q66K66_IDR_32_81",0.493101158749722
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.258211927658697
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.519523420070063
"Q8IU57_IDR_479_520",0.480476579929937
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.523756929267521
"Q8IU81_IDR_56_237",0.476243070732479
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.494200499343311
"Q8IUC6_IDR_634_673",0.505799500656689
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.259956605482997
"Q8IUD2_IDR_621_730",0.240460720045228
"Q8IUD2_IDR_764_839",0.24654128092145
"Q8IUD2_IDR_926_1072",0.253041393550325
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.509175897970234
"Q8IUE0_IDR_1_55",0.490824102029766
"Q8IUE1_IDR_116_241",0.515068776207898
"Q8IUE1_IDR_1_55",0.484931223792102
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.354963905125264
"Q8IUG5_IDR_1_504",0.314454490812292
"Q8IUW5_IDR_126_223",0.248836214643058
"Q8IUW5_IDR_1_54",0.257078872632385
"Q8IUW5_IDR_234_271",0.243379332176524
"Q8IUW5_IDR_91_123",0.250705580548032
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.351482018017438
"Q8IUX7_IDR_1099_1138",0.326121530836424
"Q8IUX7_IDR_44_388",0.322396451146139
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.508736617309755
"Q8IUY3_IDR_182_321",0.491263382690245
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.508285715267924
"Q8IV04_IDR_352_446",0.491714284732076
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.514507347168137
"Q8IV31_IDR_62_184",0.485492652831863
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.26491853027966
"Q8IVE3_IDR_1453_1493",0.251771613953056
"Q8IVE3_IDR_36_69",0.244510422173151
"Q8IVE3_IDR_71_132",0.238799433594134
"Q8IVF1_IDR_14_81",0.19849386120616
"Q8IVF1_IDR_232_366",0.211546642457789
"Q8IVF1_IDR_407_522",0.19161433186427
"Q8IVF1_IDR_525_878",0.196868037341428
"Q8IVF1_IDR_83_205",0.201477127130353
"Q8IVF2_IDR_1_114",0.363169840152682
"Q8IVF2_IDR_1794_5795",0.3186132508823
"Q8IVF2_IDR_195_1792",0.318216908965019
"Q8IVF4_IDR_156_187",0.517493168913986
"Q8IVF4_IDR_1_66",0.482506831086014
"Q8IVF5_IDR_1017_1093",0.243486751365266
"Q8IVF5_IDR_1461_1667",0.232066840029418
"Q8IVF5_IDR_1_498",0.282584177381932
"Q8IVF5_IDR_749_804",0.241862231223384
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.324201414910162
"Q8IVW6_IDR_319_491",0.351010308736529
"Q8IVW6_IDR_516_561",0.324788276353309
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.343117393260314
"Q8IW35_IDR_575_628",0.317688707943705
"Q8IW35_IDR_633_854",0.339193898795981
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.507024147656378
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.50782409841135
"Q8IWE2_IDR_404_437",0.49217590158865
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.443522060791974
"Q8IWF9_IDR_234_348",0.556477939208026
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.110480133008014
"Q8IWI9_IDR_1340_1371",0.113895445771425
"Q8IWI9_IDR_1398_1903",0.107969771688217
"Q8IWI9_IDR_1905_2856",0.100869820314941
"Q8IWI9_IDR_261_649",0.113459159673128
"Q8IWI9_IDR_2974_3016",0.11095956166211
"Q8IWI9_IDR_3020_3065",0.11091481375089
"Q8IWI9_IDR_681_751",0.115931902103849
"Q8IWI9_IDR_753_1079",0.115519392027427
"Q8IWJ2_IDR_1_69",0.331674946168624
"Q8IWT3_IDR_1658_1690",0.244984077943998
"Q8IWT3_IDR_2437_2517",0.256945975793995
"Q8IWT6_IDR_180_231",0.486155615898074
"Q8IWT6_IDR_62_95",0.513844384101926
"Q8IWU2_IDR_1_101",0.250553738283501
"Q8IWU2_IDR_1377_1415",0.261624844609592
"Q8IWU2_IDR_1426_1459",0.252200232375005
"Q8IWU2_IDR_557_1314",0.235621184731902
"Q8IWU5_IDR_1_40",0.329233045651778
"Q8IWU5_IDR_557_594",0.229418136961928
"Q8IWU5_IDR_648_718",0.214482682486689
"Q8IWU5_IDR_824_860",0.226866134899606
"Q8IWU6_IDR_1_37",0.293274722482213
"Q8IWU6_IDR_510_543",0.240070864547286
"Q8IWU6_IDR_561_610",0.240837772935082
"Q8IWU6_IDR_666_738",0.225816640035419
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.327375364420176
"Q8IWV1_IDR_178_270",0.336119439371813
"Q8IWV1_IDR_295_398",0.336505196208011
"Q8IX03_IDR_790_917",0.229411606708778
"Q8IX03_IDR_945_991",0.242943393309315
"Q8IX07_IDR_1_83",0.307712587028046
"Q8IX07_IDR_194_247",0.339768759887476
"Q8IX07_IDR_266_972",0.352518653084478
"Q8IX12_IDR_212_357",0.199204876233778
"Q8IX12_IDR_599_722",0.192344599422868
"Q8IX12_IDR_793_917",0.196304203599842
"Q8IX12_IDR_9_144",0.209092339055785
"Q8IX12_IDR_981_1021",0.203053981687727
"Q8IX15_IDR_125_364",0.258208155585954
"Q8IX15_IDR_1_38",0.249268805675222
"Q8IX15_IDR_420_461",0.254400652648373
"Q8IX15_IDR_504_550",0.238122386090451
"Q8IX18_IDR_1_50",0.504676135169425
"Q8IX18_IDR_706_779",0.495323864830575
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.492105538596572
"Q8IX29_IDR_239_292",0.507894461403428
"Q8IXP5_IDR_108_216",0.488566912551802
"Q8IXP5_IDR_1_106",0.511433087448198
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.485414677974267
"Q8IXQ8_IDR_211_264",0.514585322025733
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.34159073335521
"Q8IXT5_IDR_485_921",0.320184534991124
"Q8IXT5_IDR_89_151",0.338224731653667
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.331419222543485
"Q8IXW0_IDR_176_344",0.342417891052807
"Q8IXW0_IDR_466_587",0.326162886403708
"Q8IXW5_IDR_1_41",0.491775839026818
"Q8IXW5_IDR_171_324",0.508224160973181
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.518974265612405
"Q8IY63_IDR_493_952",0.481025734387595
"Q8IY67_IDR_1_35",0.442426788867869
"Q8IY67_IDR_349_606",0.557573211132131
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.510164240135275
"Q8IY84_IDR_7_44",0.489835759864725
"Q8IY85_IDR_375_441",0.502036750669221
"Q8IY85_IDR_77_146",0.497963249330779
"Q8IY92_IDR_1_50",0.171152457880621
"Q8IY92_IDR_377_470",0.159877616595497
"Q8IY92_IDR_558_613",0.171753927614867
"Q8IY92_IDR_630_669",0.173745518608519
"Q8IY92_IDR_64_289",0.163132064208178
"Q8IY92_IDR_824_1750",0.160338415092319
"Q8IYE1_IDR_684_715",0.536386889951691
"Q8IYF1_IDR_647_753",0.52296809355806
"Q8IYF1_IDR_79_458",0.47703190644194
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.316679273736421
"Q8IYH5_IDR_573_649",0.332740885489347
"Q8IYH5_IDR_714_786",0.350579840774232
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.508754022855407
"Q8IYI6_IDR_287_328",0.491245977144593
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245249246324095
"Q8IYJ0_IDR_112_175",0.254761081595197
"Q8IYJ0_IDR_204_238",0.248076809241635
"Q8IYJ0_IDR_240_282",0.251912862839073
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.588347317626379
"Q8IYK4_IDR_584_626",0.411652682373621
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.169802823131723
"Q8IYW2_IDR_1347_1410",0.154018366336709
"Q8IYW2_IDR_1985_2022",0.167233930089381
"Q8IYW2_IDR_2287_2320",0.16590400914666
"Q8IYW2_IDR_2540_2579",0.171002014299972
"Q8IYW2_IDR_2630_2661",0.172038856995555
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.530642726809105
"Q8IZ41_IDR_77_124",0.469357273190895
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.343984444627095
"Q8IZ63_IDR_360_422",0.305505728522029
"Q8IZ63_IDR_87_332",0.350509826850876
"Q8IZ69_IDR_1_56",0.489578417938942
"Q8IZ69_IDR_591_625",0.510421582061058
"Q8IZ73_IDR_31_122",0.49160875816644
"Q8IZ73_IDR_421_495",0.50839124183356
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.335351108759969
"Q8IZA0_IDR_201_244",0.33605048980494
"Q8IZA0_IDR_957_1015",0.328598401435091
"Q8IZA3_IDR_114_346",0.472213226938351
"Q8IZA3_IDR_1_50",0.527786773061649
"Q8IZC4_IDR_185_221",0.333548231644735
"Q8IZC4_IDR_409_445",0.343049920324528
"Q8IZC4_IDR_476_603",0.323401848030737
"Q8IZC6_IDR_1_36",0.522446104351856
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.481641035551956
"Q8IZJ3_IDR_1758_1835",0.518358964448044
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.515669091641611
"Q8IZL8_IDR_637_1130",0.484330908358389
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.48254131112532
"Q8IZN3_IDR_323_488",0.51745868887468
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.486322666499203
"Q8IZP6_IDR_97_147",0.513677333500797
"Q8IZP7_IDR_1_118",0.535237359664854
"Q8IZP7_IDR_426_459",0.464762640335146
"Q8IZP9_IDR_249_371",0.245999941166423
"Q8IZP9_IDR_39_74",0.254088563209464
"Q8IZU9_IDR_701_778",0.521802147649565
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163101013399427
"Q8IZX4_IDR_1220_1400",0.170182869090657
"Q8IZX4_IDR_1644_1826",0.170443540283386
"Q8IZX4_IDR_268_354",0.16670354002442
"Q8IZX4_IDR_536_578",0.167244331967001
"Q8IZX4_IDR_82_235",0.16232470523511
"Q8IZY2_IDR_1152_1210",0.499051879065796
"Q8IZY2_IDR_2105_2146",0.500948120934204
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.51548846063815
"Q8N0S2_IDR_260_351",0.48451153936185
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.257072953799188
"Q8N0U7_IDR_267_299",0.249685885884075
"Q8N0U7_IDR_37_122",0.248040255542811
"Q8N0U7_IDR_391_467",0.245200904773926
"Q8N103_IDR_1_81",0.487085992755127
"Q8N103_IDR_283_731",0.512914007244873
"Q8N108_IDR_1_176",0.528659319846056
"Q8N108_IDR_344_512",0.471340680153944
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504678572284661
"Q8N114_IDR_203_240",0.495321427715339
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.48436691809497
"Q8N122_IDR_820_949",0.51563308190503
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.475249275766212
"Q8N128_IDR_68_213",0.524750724233788
"Q8N129_IDR_1_32",0.527649242702988
"Q8N129_IDR_202_248",0.472350757297012
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.346971625899233
"Q8N137_IDR_442_797",0.326283130241113
