"","GO0051650_establishment_of_vesicle_localization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.276927620079195
"Q5VUJ6_IDR_1_54",0.42016888447347
"Q5VUJ6_IDR_308_649",0.579831115526531
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.522686590810635
"Q5VV16_IDR_235_409",0.477313409189365
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.50549039206074
"Q5VV42_IDR_499_545",0.49450960793926
"Q5VWN6_IDR_1918_1981",0.174289160886661
"Q5VWN6_IDR_1993_2150",0.165254038704122
"Q5VWN6_IDR_803_1879",0.164270136228051
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.312867772402628
"Q5VWQ0_IDR_63_351",0.371339985661963
"Q5VWQ0_IDR_708_802",0.315792241935409
"Q5VWQ8_IDR_1141_1189",0.337731638937886
"Q5VWQ8_IDR_1_142",0.328940021781805
"Q5VWQ8_IDR_654_1098",0.333328339280309
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.187837649440208
"Q5VZL5_IDR_1_334",0.217411999711826
"Q5VZL5_IDR_640_677",0.186867169041876
"Q5VZL5_IDR_851_997",0.189480847394198
"Q5VZL5_IDR_999_1200",0.218402334411891
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162061895936409
"Q5VZP5_IDR_45_103",0.15001321034006
"Q5XX13_IDR_168_231",0.482280813993877
"Q5XX13_IDR_693_978",0.517719186006123
"Q5XXA6_IDR_1_48",0.343613388312907
"Q5XXA6_IDR_74_121",0.336771450444722
"Q5XXA6_IDR_945_986",0.319615161242371
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.495512597366549
"Q63HK3_IDR_383_743",0.504487402633451
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.321277001083414
"Q66K14_IDR_944_993",0.35724225468353
"Q66K41_IDR_1_291",0.483537020307357
"Q66K41_IDR_304_345",0.516462979692643
"Q66K64_IDR_1_37",0.51773251231436
"Q66K64_IDR_275_383",0.48226748768564
"Q66K66_IDR_241_349",0.504340219816925
"Q66K66_IDR_32_81",0.495659780183075
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.233620427789869
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.492097314240721
"Q8IU57_IDR_479_520",0.507902685759279
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.489019813104279
"Q8IU81_IDR_56_237",0.510980186895721
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.495209198741153
"Q8IUC6_IDR_634_673",0.504790801258847
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.268209920098932
"Q8IUD2_IDR_621_730",0.254643486046076
"Q8IUD2_IDR_764_839",0.236621788776524
"Q8IUD2_IDR_926_1072",0.240524805078468
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.488218743302965
"Q8IUE0_IDR_1_55",0.511781256697035
"Q8IUE1_IDR_116_241",0.488781837611418
"Q8IUE1_IDR_1_55",0.511218162388582
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.297714905702446
"Q8IUG5_IDR_1_504",0.309133425777613
"Q8IUW5_IDR_126_223",0.229109160152327
"Q8IUW5_IDR_1_54",0.239316689341497
"Q8IUW5_IDR_234_271",0.271588370237917
"Q8IUW5_IDR_91_123",0.25998578026826
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.305877563704852
"Q8IUX7_IDR_1099_1138",0.34206421405008
"Q8IUX7_IDR_44_388",0.352058222245068
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.488756741179486
"Q8IUY3_IDR_182_321",0.511243258820514
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.502602331634682
"Q8IV04_IDR_352_446",0.497397668365318
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.490116648634515
"Q8IV31_IDR_62_184",0.509883351365485
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226647869755852
"Q8IVE3_IDR_1453_1493",0.251851713665583
"Q8IVE3_IDR_36_69",0.256132845715458
"Q8IVE3_IDR_71_132",0.265367570863107
"Q8IVF1_IDR_14_81",0.195611078460472
"Q8IVF1_IDR_232_366",0.186476838832437
"Q8IVF1_IDR_407_522",0.2051066114246
"Q8IVF1_IDR_525_878",0.216201231655733
"Q8IVF1_IDR_83_205",0.196604239626758
"Q8IVF2_IDR_1_114",0.205792516722321
"Q8IVF2_IDR_1794_5795",0.415117432424793
"Q8IVF2_IDR_195_1792",0.379090050852886
"Q8IVF4_IDR_156_187",0.491353957051643
"Q8IVF4_IDR_1_66",0.508646042948357
"Q8IVF5_IDR_1017_1093",0.251637601835428
"Q8IVF5_IDR_1461_1667",0.249328694975287
"Q8IVF5_IDR_1_498",0.246507529662219
"Q8IVF5_IDR_749_804",0.252526173527066
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.35456233769511
"Q8IVW6_IDR_319_491",0.355307392394044
"Q8IVW6_IDR_516_561",0.290130269910846
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.338801224089386
"Q8IW35_IDR_575_628",0.350327989934766
"Q8IW35_IDR_633_854",0.310870785975847
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.4853162287347
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.474760313741427
"Q8IWE2_IDR_404_437",0.525239686258573
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.504525876360841
"Q8IWF9_IDR_234_348",0.495474123639159
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.100932115369161
"Q8IWI9_IDR_1340_1371",0.0993896735244278
"Q8IWI9_IDR_1398_1903",0.0991959471522729
"Q8IWI9_IDR_1905_2856",0.177478512780336
"Q8IWI9_IDR_261_649",0.111653580813015
"Q8IWI9_IDR_2974_3016",0.102059945147685
"Q8IWI9_IDR_3020_3065",0.103043332497884
"Q8IWI9_IDR_681_751",0.112037458274722
"Q8IWI9_IDR_753_1079",0.0942094344404952
"Q8IWJ2_IDR_1_69",0.301867411998062
"Q8IWT3_IDR_1658_1690",0.255499637431077
"Q8IWT3_IDR_2437_2517",0.285909462832499
"Q8IWT6_IDR_180_231",0.522576171391971
"Q8IWT6_IDR_62_95",0.477423828608029
"Q8IWU2_IDR_1_101",0.225643092444594
"Q8IWU2_IDR_1377_1415",0.236856817841674
"Q8IWU2_IDR_1426_1459",0.229167084801474
"Q8IWU2_IDR_557_1314",0.308333004912258
"Q8IWU5_IDR_1_40",0.261358512282132
"Q8IWU5_IDR_557_594",0.253763642530576
"Q8IWU5_IDR_648_718",0.243063404547649
"Q8IWU5_IDR_824_860",0.241814440639643
"Q8IWU6_IDR_1_37",0.24084562484728
"Q8IWU6_IDR_510_543",0.246981827309945
"Q8IWU6_IDR_561_610",0.265751596229592
"Q8IWU6_IDR_666_738",0.246420951613183
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.326155451062892
"Q8IWV1_IDR_178_270",0.331828155091106
"Q8IWV1_IDR_295_398",0.342016393846002
"Q8IX03_IDR_790_917",0.250050610360221
"Q8IX03_IDR_945_991",0.243406454042661
"Q8IX07_IDR_1_83",0.360911181817918
"Q8IX07_IDR_194_247",0.336532062714487
"Q8IX07_IDR_266_972",0.302556755467594
"Q8IX12_IDR_212_357",0.190778956553228
"Q8IX12_IDR_599_722",0.212435943312806
"Q8IX12_IDR_793_917",0.222598140850701
"Q8IX12_IDR_9_144",0.178908002772452
"Q8IX12_IDR_981_1021",0.195278956510813
"Q8IX15_IDR_125_364",0.252515520448505
"Q8IX15_IDR_1_38",0.250522085021632
"Q8IX15_IDR_420_461",0.242330334005723
"Q8IX15_IDR_504_550",0.25463206052414
"Q8IX18_IDR_1_50",0.432769800963141
"Q8IX18_IDR_706_779",0.567230199036859
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.47425826916229
"Q8IX29_IDR_239_292",0.52574173083771
"Q8IXP5_IDR_108_216",0.493812405816009
"Q8IXP5_IDR_1_106",0.506187594183991
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.513818346908437
"Q8IXQ8_IDR_211_264",0.486181653091563
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.336969494388026
"Q8IXT5_IDR_485_921",0.328645608099291
"Q8IXT5_IDR_89_151",0.334384897512684
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.327090300709286
"Q8IXW0_IDR_176_344",0.351704294606615
"Q8IXW0_IDR_466_587",0.321205404684098
"Q8IXW5_IDR_1_41",0.52723309303951
"Q8IXW5_IDR_171_324",0.47276690696049
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.450316051698091
"Q8IY63_IDR_493_952",0.549683948301909
"Q8IY67_IDR_1_35",0.47555542929863
"Q8IY67_IDR_349_606",0.52444457070137
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.494988512840441
"Q8IY84_IDR_7_44",0.505011487159559
"Q8IY85_IDR_375_441",0.515088787866778
"Q8IY85_IDR_77_146",0.484911212133222
"Q8IY92_IDR_1_50",0.165245909348158
"Q8IY92_IDR_377_470",0.172129804063816
"Q8IY92_IDR_558_613",0.164229712741388
"Q8IY92_IDR_630_669",0.162181315668658
"Q8IY92_IDR_64_289",0.173861713632984
"Q8IY92_IDR_824_1750",0.162351544544996
"Q8IYE1_IDR_684_715",0.315271559804657
"Q8IYF1_IDR_647_753",0.440978250056505
"Q8IYF1_IDR_79_458",0.559021749943495
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.318657499749485
"Q8IYH5_IDR_573_649",0.330523635786255
"Q8IYH5_IDR_714_786",0.350818864464261
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.461437030414841
"Q8IYI6_IDR_287_328",0.538562969585159
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239849456478379
"Q8IYJ0_IDR_112_175",0.257547641544105
"Q8IYJ0_IDR_204_238",0.251418747265291
"Q8IYJ0_IDR_240_282",0.251184154712225
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.481622193369103
"Q8IYK4_IDR_584_626",0.518377806630897
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.159919388400264
"Q8IYW2_IDR_1347_1410",0.181896301770366
"Q8IYW2_IDR_1985_2022",0.17058449636194
"Q8IYW2_IDR_2287_2320",0.164018987749658
"Q8IYW2_IDR_2540_2579",0.161400090244106
"Q8IYW2_IDR_2630_2661",0.162180735473666
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.481867720392415
"Q8IZ41_IDR_77_124",0.518132279607585
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.322962940121162
"Q8IZ63_IDR_360_422",0.344889618532312
"Q8IZ63_IDR_87_332",0.332147441346526
"Q8IZ69_IDR_1_56",0.499716383521951
"Q8IZ69_IDR_591_625",0.500283616478049
"Q8IZ73_IDR_31_122",0.488595585887063
"Q8IZ73_IDR_421_495",0.511404414112937
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.325308807115074
"Q8IZA0_IDR_201_244",0.337031828714528
"Q8IZA0_IDR_957_1015",0.337659364170398
"Q8IZA3_IDR_114_346",0.521604948188097
"Q8IZA3_IDR_1_50",0.478395051811903
"Q8IZC4_IDR_185_221",0.347844267507409
"Q8IZC4_IDR_409_445",0.326001529940985
"Q8IZC4_IDR_476_603",0.326154202551607
"Q8IZC6_IDR_1_36",0.504299952797803
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.512042917528278
"Q8IZJ3_IDR_1758_1835",0.487957082471721
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.490525487538209
"Q8IZL8_IDR_637_1130",0.509474512461791
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.511144584939173
"Q8IZN3_IDR_323_488",0.488855415060827
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.484443348583864
"Q8IZP6_IDR_97_147",0.515556651416136
"Q8IZP7_IDR_1_118",0.478954593583001
"Q8IZP7_IDR_426_459",0.521045406416999
"Q8IZP9_IDR_249_371",0.250065317968199
"Q8IZP9_IDR_39_74",0.2473335893036
"Q8IZU9_IDR_701_778",0.480833882720355
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169770209056086
"Q8IZX4_IDR_1220_1400",0.149741071712778
"Q8IZX4_IDR_1644_1826",0.214323917970934
"Q8IZX4_IDR_268_354",0.147563282840394
"Q8IZX4_IDR_536_578",0.151441144180678
"Q8IZX4_IDR_82_235",0.16716037423913
"Q8IZY2_IDR_1152_1210",0.50901881323457
"Q8IZY2_IDR_2105_2146",0.49098118676543
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.490184319519381
"Q8N0S2_IDR_260_351",0.509815680480619
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.249584653149209
"Q8N0U7_IDR_267_299",0.240593765107582
"Q8N0U7_IDR_37_122",0.252764007464138
"Q8N0U7_IDR_391_467",0.257057574279071
"Q8N103_IDR_1_81",0.50232899982973
"Q8N103_IDR_283_731",0.49767100017027
"Q8N108_IDR_1_176",0.56237408881728
"Q8N108_IDR_344_512",0.43762591118272
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.489567462667983
"Q8N114_IDR_203_240",0.510432537332017
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504466509191526
"Q8N122_IDR_820_949",0.495533490808474
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.486576953791349
"Q8N128_IDR_68_213",0.513423046208651
"Q8N129_IDR_1_32",0.450302412130746
"Q8N129_IDR_202_248",0.549697587869254
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.328355659412355
