"","GO0003779_actin_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.33390550025569
"Q5VUJ6_IDR_1_54",0.503255803262601
"Q5VUJ6_IDR_308_649",0.496744196737399
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.500276266655751
"Q5VV16_IDR_235_409",0.499723733344249
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.512919718483973
"Q5VV42_IDR_499_545",0.487080281516027
"Q5VWN6_IDR_1918_1981",0.160694546208004
"Q5VWN6_IDR_1993_2150",0.169395994107525
"Q5VWN6_IDR_803_1879",0.153394974428016
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.329679175810843
"Q5VWQ0_IDR_63_351",0.332353384635968
"Q5VWQ0_IDR_708_802",0.337967439553188
"Q5VWQ8_IDR_1141_1189",0.34364181642731
"Q5VWQ8_IDR_1_142",0.327663656682581
"Q5VWQ8_IDR_654_1098",0.328694526890109
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.194430612284393
"Q5VZL5_IDR_1_334",0.195229614808517
"Q5VZL5_IDR_640_677",0.19852189253628
"Q5VZL5_IDR_851_997",0.216332907006997
"Q5VZL5_IDR_999_1200",0.195484973363813
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163870107076142
"Q5VZP5_IDR_45_103",0.167463196378784
"Q5XX13_IDR_168_231",0.495740572549232
"Q5XX13_IDR_693_978",0.504259427450768
"Q5XXA6_IDR_1_48",0.324991164342698
"Q5XXA6_IDR_74_121",0.323413838964138
"Q5XXA6_IDR_945_986",0.351594996693164
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.523333349789678
"Q63HK3_IDR_383_743",0.476666650210322
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338208093121834
"Q66K14_IDR_944_993",0.329155151495814
"Q66K41_IDR_1_291",0.472085283725721
"Q66K41_IDR_304_345",0.527914716274279
"Q66K64_IDR_1_37",0.464072155454589
"Q66K64_IDR_275_383",0.535927844545411
"Q66K66_IDR_241_349",0.492312893059743
"Q66K66_IDR_32_81",0.507687106940257
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.244496034786264
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.485242851752771
"Q8IU57_IDR_479_520",0.514757148247229
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.504091670759858
"Q8IU81_IDR_56_237",0.495908329240142
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.494161032595551
"Q8IUC6_IDR_634_673",0.505838967404449
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.235295040834919
"Q8IUD2_IDR_621_730",0.256713547521317
"Q8IUD2_IDR_764_839",0.247478356640992
"Q8IUD2_IDR_926_1072",0.260513055002772
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.509890728504472
"Q8IUE0_IDR_1_55",0.490109271495528
"Q8IUE1_IDR_116_241",0.505362542057886
"Q8IUE1_IDR_1_55",0.494637457942114
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.33951840532878
"Q8IUG5_IDR_1_504",0.330167375431164
"Q8IUW5_IDR_126_223",0.259855917898159
"Q8IUW5_IDR_1_54",0.237847577790622
"Q8IUW5_IDR_234_271",0.260086941905642
"Q8IUW5_IDR_91_123",0.242209562405577
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.319021013391234
"Q8IUX7_IDR_1099_1138",0.292596611192003
"Q8IUX7_IDR_44_388",0.388382375416763
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.48546925047917
"Q8IUY3_IDR_182_321",0.51453074952083
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.485830759797714
"Q8IV04_IDR_352_446",0.514169240202286
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.484413570288384
"Q8IV31_IDR_62_184",0.515586429711616
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.261670092792798
"Q8IVE3_IDR_1453_1493",0.244387699654021
"Q8IVE3_IDR_36_69",0.248164958733661
"Q8IVE3_IDR_71_132",0.24577724881952
"Q8IVF1_IDR_14_81",0.196250893825945
"Q8IVF1_IDR_232_366",0.195485300234188
"Q8IVF1_IDR_407_522",0.207577551146974
"Q8IVF1_IDR_525_878",0.197998358765029
"Q8IVF1_IDR_83_205",0.202687896027863
"Q8IVF2_IDR_1_114",0.356231870066889
"Q8IVF2_IDR_1794_5795",0.323593488914003
"Q8IVF2_IDR_195_1792",0.320174641019108
"Q8IVF4_IDR_156_187",0.488205182769433
"Q8IVF4_IDR_1_66",0.511794817230567
"Q8IVF5_IDR_1017_1093",0.24156322884022
"Q8IVF5_IDR_1461_1667",0.23413933509128
"Q8IVF5_IDR_1_498",0.269595722046756
"Q8IVF5_IDR_749_804",0.254701714021744
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.343572816893899
"Q8IVW6_IDR_319_491",0.354180278002535
"Q8IVW6_IDR_516_561",0.302246905103566
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.326181461803851
"Q8IW35_IDR_575_628",0.353274812942784
"Q8IW35_IDR_633_854",0.320543725253364
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.493746265807565
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.46210847606363
"Q8IWE2_IDR_404_437",0.53789152393637
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.511354567043324
"Q8IWF9_IDR_234_348",0.488645432956676
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.115249605559009
"Q8IWI9_IDR_1340_1371",0.110854785950826
"Q8IWI9_IDR_1398_1903",0.11358920529277
"Q8IWI9_IDR_1905_2856",0.110893489296498
"Q8IWI9_IDR_261_649",0.108055315384911
"Q8IWI9_IDR_2974_3016",0.111974075996323
"Q8IWI9_IDR_3020_3065",0.10971735590375
"Q8IWI9_IDR_681_751",0.108994402818348
"Q8IWI9_IDR_753_1079",0.110671763797564
"Q8IWJ2_IDR_1_69",0.327932996052253
"Q8IWT3_IDR_1658_1690",0.239276980558008
"Q8IWT3_IDR_2437_2517",0.265056026447309
"Q8IWT6_IDR_180_231",0.513554268642874
"Q8IWT6_IDR_62_95",0.486445731357126
"Q8IWU2_IDR_1_101",0.241663311474538
"Q8IWU2_IDR_1377_1415",0.25603437280834
"Q8IWU2_IDR_1426_1459",0.275173744869857
"Q8IWU2_IDR_557_1314",0.227128570847265
"Q8IWU5_IDR_1_40",0.245206120059678
"Q8IWU5_IDR_557_594",0.257545932018709
"Q8IWU5_IDR_648_718",0.237082936062549
"Q8IWU5_IDR_824_860",0.260165011859064
"Q8IWU6_IDR_1_37",0.249742427021474
"Q8IWU6_IDR_510_543",0.253226008715873
"Q8IWU6_IDR_561_610",0.258205166871978
"Q8IWU6_IDR_666_738",0.238826397390674
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.337118572302061
"Q8IWV1_IDR_178_270",0.330044741012046
"Q8IWV1_IDR_295_398",0.332836686685893
"Q8IX03_IDR_790_917",0.270231227250101
"Q8IX03_IDR_945_991",0.250280030839591
"Q8IX07_IDR_1_83",0.413471530374538
"Q8IX07_IDR_194_247",0.294062559581904
"Q8IX07_IDR_266_972",0.292465910043559
"Q8IX12_IDR_212_357",0.231687210493846
"Q8IX12_IDR_599_722",0.194974146228575
"Q8IX12_IDR_793_917",0.20863240445168
"Q8IX12_IDR_9_144",0.180912338342278
"Q8IX12_IDR_981_1021",0.183793900483621
"Q8IX15_IDR_125_364",0.24835519224752
"Q8IX15_IDR_1_38",0.24989249639048
"Q8IX15_IDR_420_461",0.247380403400703
"Q8IX15_IDR_504_550",0.254371907961297
"Q8IX18_IDR_1_50",0.480437974123013
"Q8IX18_IDR_706_779",0.519562025876987
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.539086852063215
"Q8IX29_IDR_239_292",0.460913147936785
"Q8IXP5_IDR_108_216",0.499708214311069
"Q8IXP5_IDR_1_106",0.500291785688931
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.504409570324422
"Q8IXQ8_IDR_211_264",0.495590429675578
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.374564943541251
"Q8IXT5_IDR_485_921",0.316863061631537
"Q8IXT5_IDR_89_151",0.308571994827212
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.345905339772611
"Q8IXW0_IDR_176_344",0.325734561607803
"Q8IXW0_IDR_466_587",0.328360098619586
"Q8IXW5_IDR_1_41",0.513826061015584
"Q8IXW5_IDR_171_324",0.486173938984416
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.527945118132985
"Q8IY63_IDR_493_952",0.472054881867015
"Q8IY67_IDR_1_35",0.510058215673966
"Q8IY67_IDR_349_606",0.489941784326034
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.501919435219824
"Q8IY84_IDR_7_44",0.498080564780176
"Q8IY85_IDR_375_441",0.505158202481996
"Q8IY85_IDR_77_146",0.494841797518004
"Q8IY92_IDR_1_50",0.162795504874412
"Q8IY92_IDR_377_470",0.161088468940877
"Q8IY92_IDR_558_613",0.171678761421563
"Q8IY92_IDR_630_669",0.157997879376779
"Q8IY92_IDR_64_289",0.157829653651923
"Q8IY92_IDR_824_1750",0.188609731734446
"Q8IYE1_IDR_684_715",0.509198229794042
"Q8IYF1_IDR_647_753",0.473130777699779
"Q8IYF1_IDR_79_458",0.526869222300221
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.301966012278401
"Q8IYH5_IDR_573_649",0.324562570823268
"Q8IYH5_IDR_714_786",0.373471416898331
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.461964445593666
"Q8IYI6_IDR_287_328",0.538035554406334
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.254643910062247
"Q8IYJ0_IDR_112_175",0.254825985615233
"Q8IYJ0_IDR_204_238",0.24671742942664
"Q8IYJ0_IDR_240_282",0.24381267489588
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.509110654199995
"Q8IYK4_IDR_584_626",0.490889345800005
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.163095905830444
"Q8IYW2_IDR_1347_1410",0.163706851107119
"Q8IYW2_IDR_1985_2022",0.168882723097248
"Q8IYW2_IDR_2287_2320",0.171561106858224
"Q8IYW2_IDR_2540_2579",0.173172084592346
"Q8IYW2_IDR_2630_2661",0.15958132851462
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.498613693955558
"Q8IZ41_IDR_77_124",0.501386306044442
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.335866757632803
"Q8IZ63_IDR_360_422",0.331831419232964
"Q8IZ63_IDR_87_332",0.332301823134234
"Q8IZ69_IDR_1_56",0.48705259238335
"Q8IZ69_IDR_591_625",0.51294740761665
"Q8IZ73_IDR_31_122",0.502534921859877
"Q8IZ73_IDR_421_495",0.497465078140123
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.325286358029967
"Q8IZA0_IDR_201_244",0.339159036496695
"Q8IZA0_IDR_957_1015",0.335554605473337
"Q8IZA3_IDR_114_346",0.509277666087161
"Q8IZA3_IDR_1_50",0.490722333912839
"Q8IZC4_IDR_185_221",0.317117391885403
"Q8IZC4_IDR_409_445",0.333291367772546
"Q8IZC4_IDR_476_603",0.34959124034205
"Q8IZC6_IDR_1_36",0.483696288036495
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.525197657307554
"Q8IZJ3_IDR_1758_1835",0.474802342692446
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.440772132562137
"Q8IZL8_IDR_637_1130",0.559227867437863
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.518499342290339
"Q8IZN3_IDR_323_488",0.481500657709661
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.508483423983609
"Q8IZP6_IDR_97_147",0.491516576016391
"Q8IZP7_IDR_1_118",0.50091712919453
"Q8IZP7_IDR_426_459",0.49908287080547
"Q8IZP9_IDR_249_371",0.257692903223827
"Q8IZP9_IDR_39_74",0.241177613976277
"Q8IZU9_IDR_701_778",0.498585700101185
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.171560971058434
"Q8IZX4_IDR_1220_1400",0.162941001844455
"Q8IZX4_IDR_1644_1826",0.161627345542318
"Q8IZX4_IDR_268_354",0.170413428820454
"Q8IZX4_IDR_536_578",0.168758519764422
"Q8IZX4_IDR_82_235",0.164698732969917
"Q8IZY2_IDR_1152_1210",0.492830775860192
"Q8IZY2_IDR_2105_2146",0.507169224139808
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.4965570296309
"Q8N0S2_IDR_260_351",0.5034429703691
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.246241893077253
"Q8N0U7_IDR_267_299",0.249512844644328
"Q8N0U7_IDR_37_122",0.241714424095294
"Q8N0U7_IDR_391_467",0.262530838183125
"Q8N103_IDR_1_81",0.442623392264027
"Q8N103_IDR_283_731",0.557376607735973
"Q8N108_IDR_1_176",0.504134134699571
"Q8N108_IDR_344_512",0.495865865300429
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.483000511147159
"Q8N114_IDR_203_240",0.516999488852841
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.509117845868408
"Q8N122_IDR_820_949",0.490882154131592
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.486535147160732
"Q8N128_IDR_68_213",0.513464852839268
"Q8N129_IDR_1_32",0.486796180555572
"Q8N129_IDR_202_248",0.513203819444428
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.348601996094818
"Q8N137_IDR_442_797",0.324508924978625
