"","GO0022613_ribonucleoprotein_complex_biogenesis"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.292359991186747
"Q5VUJ6_IDR_1_54",0.424432813058212
"Q5VUJ6_IDR_308_649",0.575567186941788
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.556736001476956
"Q5VV16_IDR_235_409",0.443263998523044
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.550265426538611
"Q5VV42_IDR_499_545",0.449734573461389
"Q5VWN6_IDR_1918_1981",0.173570032725929
"Q5VWN6_IDR_1993_2150",0.156201196556037
"Q5VWN6_IDR_803_1879",0.156672094566262
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.22548440767916
"Q5VWQ0_IDR_63_351",0.560501073005188
"Q5VWQ0_IDR_708_802",0.214014519315652
"Q5VWQ8_IDR_1141_1189",0.33916921753968
"Q5VWQ8_IDR_1_142",0.334346300848219
"Q5VWQ8_IDR_654_1098",0.326484481612101
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.206321980197189
"Q5VZL5_IDR_1_334",0.205974116000019
"Q5VZL5_IDR_640_677",0.183284703318673
"Q5VZL5_IDR_851_997",0.188132186023931
"Q5VZL5_IDR_999_1200",0.216287014460188
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.15104889964906
"Q5VZP5_IDR_45_103",0.140083572529689
"Q5XX13_IDR_168_231",0.502390489188417
"Q5XX13_IDR_693_978",0.497609510811583
"Q5XXA6_IDR_1_48",0.331622813636161
"Q5XXA6_IDR_74_121",0.33685326223199
"Q5XXA6_IDR_945_986",0.331523924131848
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.460794716539138
"Q63HK3_IDR_383_743",0.539205283460862
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.323403116983196
"Q66K14_IDR_944_993",0.380343380581918
"Q66K41_IDR_1_291",0.500912494509415
"Q66K41_IDR_304_345",0.499087505490585
"Q66K64_IDR_1_37",0.524244127293015
"Q66K64_IDR_275_383",0.475755872706985
"Q66K66_IDR_241_349",0.574207323475332
"Q66K66_IDR_32_81",0.425792676524668
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.241288584294306
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.436779638523897
"Q8IU57_IDR_479_520",0.563220361476103
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.478301738864476
"Q8IU81_IDR_56_237",0.521698261135524
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.490347600376901
"Q8IUC6_IDR_634_673",0.509652399623099
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.264203036029794
"Q8IUD2_IDR_621_730",0.246714285292736
"Q8IUD2_IDR_764_839",0.237288428683225
"Q8IUD2_IDR_926_1072",0.251794249994244
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.47317005616185
"Q8IUE0_IDR_1_55",0.52682994383815
"Q8IUE1_IDR_116_241",0.466151409829613
"Q8IUE1_IDR_1_55",0.533848590170387
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.273530854089198
"Q8IUG5_IDR_1_504",0.425269385525472
"Q8IUW5_IDR_126_223",0.232258506546956
"Q8IUW5_IDR_1_54",0.227868184494845
"Q8IUW5_IDR_234_271",0.229328900397776
"Q8IUW5_IDR_91_123",0.310544408560422
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.226039150821389
"Q8IUX7_IDR_1099_1138",0.288828043142205
"Q8IUX7_IDR_44_388",0.485132806036406
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.493664285035947
"Q8IUY3_IDR_182_321",0.506335714964053
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.474106948324105
"Q8IV04_IDR_352_446",0.525893051675895
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.505813520008707
"Q8IV31_IDR_62_184",0.494186479991293
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.231451016222851
"Q8IVE3_IDR_1453_1493",0.235245148493285
"Q8IVE3_IDR_36_69",0.253940051202812
"Q8IVE3_IDR_71_132",0.279363784081052
"Q8IVF1_IDR_14_81",0.196711444022821
"Q8IVF1_IDR_232_366",0.191288308657287
"Q8IVF1_IDR_407_522",0.201300890594808
"Q8IVF1_IDR_525_878",0.22287156111143
"Q8IVF1_IDR_83_205",0.187827795613655
"Q8IVF2_IDR_1_114",0.248070621463628
"Q8IVF2_IDR_1794_5795",0.367979075947336
"Q8IVF2_IDR_195_1792",0.383950302589036
"Q8IVF4_IDR_156_187",0.460123410153663
"Q8IVF4_IDR_1_66",0.539876589846337
"Q8IVF5_IDR_1017_1093",0.257397022245456
"Q8IVF5_IDR_1461_1667",0.243717898813045
"Q8IVF5_IDR_1_498",0.249974005988543
"Q8IVF5_IDR_749_804",0.248911072952956
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.403254151829962
"Q8IVW6_IDR_319_491",0.306041715869235
"Q8IVW6_IDR_516_561",0.290704132300803
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.318491168677928
"Q8IW35_IDR_575_628",0.36160955718111
"Q8IW35_IDR_633_854",0.319899274140962
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.47825680620981
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.36049970791629
"Q8IWE2_IDR_404_437",0.63950029208371
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.542299440666807
"Q8IWF9_IDR_234_348",0.457700559333193
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.131887386150849
"Q8IWI9_IDR_1340_1371",0.105330400786776
"Q8IWI9_IDR_1398_1903",0.0929630535935259
"Q8IWI9_IDR_1905_2856",0.144845483995788
"Q8IWI9_IDR_261_649",0.105943303603081
"Q8IWI9_IDR_2974_3016",0.104605702057218
"Q8IWI9_IDR_3020_3065",0.0999342942278078
"Q8IWI9_IDR_681_751",0.108837515684258
"Q8IWI9_IDR_753_1079",0.105652859900697
"Q8IWJ2_IDR_1_69",0.369283213940718
"Q8IWT3_IDR_1658_1690",0.246166549382352
"Q8IWT3_IDR_2437_2517",0.355537627599982
"Q8IWT6_IDR_180_231",0.513780194532904
"Q8IWT6_IDR_62_95",0.486219805467096
"Q8IWU2_IDR_1_101",0.258407527454886
"Q8IWU2_IDR_1377_1415",0.244263467549243
"Q8IWU2_IDR_1426_1459",0.235714220779927
"Q8IWU2_IDR_557_1314",0.261614784215944
"Q8IWU5_IDR_1_40",0.222890025700246
"Q8IWU5_IDR_557_594",0.240773889012113
"Q8IWU5_IDR_648_718",0.307626800829305
"Q8IWU5_IDR_824_860",0.228709284458336
"Q8IWU6_IDR_1_37",0.182255182481842
"Q8IWU6_IDR_510_543",0.203779849392365
"Q8IWU6_IDR_561_610",0.235488814997109
"Q8IWU6_IDR_666_738",0.378476153128684
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.320149847441128
"Q8IWV1_IDR_178_270",0.328338942249802
"Q8IWV1_IDR_295_398",0.35151121030907
"Q8IX03_IDR_790_917",0.311803853695022
"Q8IX03_IDR_945_991",0.233280639532081
"Q8IX07_IDR_1_83",0.408922930042
"Q8IX07_IDR_194_247",0.304921855975835
"Q8IX07_IDR_266_972",0.286155213982165
"Q8IX12_IDR_212_357",0.148146193256856
"Q8IX12_IDR_599_722",0.202152878562997
"Q8IX12_IDR_793_917",0.353714582803143
"Q8IX12_IDR_9_144",0.138002328412198
"Q8IX12_IDR_981_1021",0.157984016964805
"Q8IX15_IDR_125_364",0.234107874402602
"Q8IX15_IDR_1_38",0.232710345751524
"Q8IX15_IDR_420_461",0.241864439346991
"Q8IX15_IDR_504_550",0.291317340498884
"Q8IX18_IDR_1_50",0.424875075183903
"Q8IX18_IDR_706_779",0.575124924816097
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.486851163807606
"Q8IX29_IDR_239_292",0.513148836192394
"Q8IXP5_IDR_108_216",0.496102997171539
"Q8IXP5_IDR_1_106",0.503897002828461
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.528325175677283
"Q8IXQ8_IDR_211_264",0.471674824322717
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.305414020366492
"Q8IXT5_IDR_485_921",0.392791937215972
"Q8IXT5_IDR_89_151",0.301794042417537
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.339615357972389
"Q8IXW0_IDR_176_344",0.320127682086162
"Q8IXW0_IDR_466_587",0.340256959941449
"Q8IXW5_IDR_1_41",0.547696185609258
"Q8IXW5_IDR_171_324",0.452303814390742
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.439891591084006
"Q8IY63_IDR_493_952",0.560108408915994
"Q8IY67_IDR_1_35",0.544363655643973
"Q8IY67_IDR_349_606",0.455636344356027
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.468201983942483
"Q8IY84_IDR_7_44",0.531798016057517
"Q8IY85_IDR_375_441",0.487644904765695
"Q8IY85_IDR_77_146",0.512355095234305
"Q8IY92_IDR_1_50",0.157652437588481
"Q8IY92_IDR_377_470",0.222176584934063
"Q8IY92_IDR_558_613",0.141096061259826
"Q8IY92_IDR_630_669",0.162642382148516
"Q8IY92_IDR_64_289",0.166124067559216
"Q8IY92_IDR_824_1750",0.150308466509898
"Q8IYE1_IDR_684_715",0.421646302762316
"Q8IYF1_IDR_647_753",0.390305470179775
"Q8IYF1_IDR_79_458",0.609694529820225
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.367534033652614
"Q8IYH5_IDR_573_649",0.310855905802461
"Q8IYH5_IDR_714_786",0.321610060544925
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.470362566439007
"Q8IYI6_IDR_287_328",0.529637433560993
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.240042574347158
"Q8IYJ0_IDR_112_175",0.251699040925163
"Q8IYJ0_IDR_204_238",0.254362881776174
"Q8IYJ0_IDR_240_282",0.253895502951504
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.484582803891623
"Q8IYK4_IDR_584_626",0.515417196108377
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.15332943597443
"Q8IYW2_IDR_1347_1410",0.219067377078635
"Q8IYW2_IDR_1985_2022",0.161211732685799
"Q8IYW2_IDR_2287_2320",0.159420857503381
"Q8IYW2_IDR_2540_2579",0.155338419750039
"Q8IYW2_IDR_2630_2661",0.151632177007716
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.491596804518944
"Q8IZ41_IDR_77_124",0.508403195481056
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.315265435281287
"Q8IZ63_IDR_360_422",0.350149269162849
"Q8IZ63_IDR_87_332",0.334585295555864
"Q8IZ69_IDR_1_56",0.542161470347639
"Q8IZ69_IDR_591_625",0.457838529652361
"Q8IZ73_IDR_31_122",0.573993756567731
"Q8IZ73_IDR_421_495",0.426006243432269
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.32328470059217
"Q8IZA0_IDR_201_244",0.299556612257847
"Q8IZA0_IDR_957_1015",0.377158687149982
"Q8IZA3_IDR_114_346",0.583684197102174
"Q8IZA3_IDR_1_50",0.416315802897826
"Q8IZC4_IDR_185_221",0.347534054004641
"Q8IZC4_IDR_409_445",0.312303363619969
"Q8IZC4_IDR_476_603",0.34016258237539
"Q8IZC6_IDR_1_36",0.502657099187095
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.518359131987796
"Q8IZJ3_IDR_1758_1835",0.481640868012204
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.41272050702047
"Q8IZL8_IDR_637_1130",0.58727949297953
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.51806685941079
"Q8IZN3_IDR_323_488",0.48193314058921
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.532570015401318
"Q8IZP6_IDR_97_147",0.467429984598682
"Q8IZP7_IDR_1_118",0.440610722745818
"Q8IZP7_IDR_426_459",0.559389277254182
"Q8IZP9_IDR_249_371",0.234447384140156
"Q8IZP9_IDR_39_74",0.251360483051942
"Q8IZU9_IDR_701_778",0.485141769290244
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.152818314015342
"Q8IZX4_IDR_1220_1400",0.15267269098218
"Q8IZX4_IDR_1644_1826",0.203702576054883
"Q8IZX4_IDR_268_354",0.185528672745513
"Q8IZX4_IDR_536_578",0.139741412120174
"Q8IZX4_IDR_82_235",0.165536334081908
"Q8IZY2_IDR_1152_1210",0.492190875394569
"Q8IZY2_IDR_2105_2146",0.507809124605431
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.484073629679579
"Q8N0S2_IDR_260_351",0.515926370320421
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.246981371525525
"Q8N0U7_IDR_267_299",0.241420926862177
"Q8N0U7_IDR_37_122",0.258901694866568
"Q8N0U7_IDR_391_467",0.25269600674573
"Q8N103_IDR_1_81",0.528429578442451
"Q8N103_IDR_283_731",0.471570421557549
"Q8N108_IDR_1_176",0.645389393253789
"Q8N108_IDR_344_512",0.354610606746211
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.506997393527268
"Q8N114_IDR_203_240",0.493002606472732
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.507960420965603
"Q8N122_IDR_820_949",0.492039579034397
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.417663211096907
"Q8N128_IDR_68_213",0.582336788903092
"Q8N129_IDR_1_32",0.369793697655283
"Q8N129_IDR_202_248",0.630206302344717
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.307130827851732
