"","GO0019935_cyclic_nucleotide_mediated_signaling"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.3261886526866
"Q5VUJ6_IDR_1_54",0.500633324607675
"Q5VUJ6_IDR_308_649",0.499366675392325
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.504718012470128
"Q5VV16_IDR_235_409",0.495281987529872
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.497119505593318
"Q5VV42_IDR_499_545",0.502880494406682
"Q5VWN6_IDR_1918_1981",0.183671376438032
"Q5VWN6_IDR_1993_2150",0.178822603198411
"Q5VWN6_IDR_803_1879",0.163702829180316
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.344209403249124
"Q5VWQ0_IDR_63_351",0.325333156115458
"Q5VWQ0_IDR_708_802",0.330457440635419
"Q5VWQ8_IDR_1141_1189",0.327168004649434
"Q5VWQ8_IDR_1_142",0.34157265210288
"Q5VWQ8_IDR_654_1098",0.331259343247686
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199075720820974
"Q5VZL5_IDR_1_334",0.195496725082183
"Q5VZL5_IDR_640_677",0.209435187392719
"Q5VZL5_IDR_851_997",0.196236064624271
"Q5VZL5_IDR_999_1200",0.199756302079853
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.165577314295123
"Q5VZP5_IDR_45_103",0.167097797831516
"Q5XX13_IDR_168_231",0.507913394702386
"Q5XX13_IDR_693_978",0.492086605297614
"Q5XXA6_IDR_1_48",0.322332341932846
"Q5XXA6_IDR_74_121",0.324952138255965
"Q5XXA6_IDR_945_986",0.352715519811189
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.483449028229023
"Q63HK3_IDR_383_743",0.516550971770977
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.330470335497685
"Q66K14_IDR_944_993",0.335924487533413
"Q66K41_IDR_1_291",0.50925319048103
"Q66K41_IDR_304_345",0.49074680951897
"Q66K64_IDR_1_37",0.508642449620827
"Q66K64_IDR_275_383",0.491357550379173
"Q66K66_IDR_241_349",0.494526320852386
"Q66K66_IDR_32_81",0.505473679147614
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.247611305251779
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.497710658442345
"Q8IU57_IDR_479_520",0.502289341557655
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.488656585202615
"Q8IU81_IDR_56_237",0.511343414797385
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.500676720102349
"Q8IUC6_IDR_634_673",0.499323279897651
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.24834724657531
"Q8IUD2_IDR_621_730",0.248206019032349
"Q8IUD2_IDR_764_839",0.260239748270894
"Q8IUD2_IDR_926_1072",0.243206986121447
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.497862488957521
"Q8IUE0_IDR_1_55",0.502137511042479
"Q8IUE1_IDR_116_241",0.495892364102452
"Q8IUE1_IDR_1_55",0.504107635897548
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.341747335041206
"Q8IUG5_IDR_1_504",0.324203657269674
"Q8IUW5_IDR_126_223",0.241996413353803
"Q8IUW5_IDR_1_54",0.238940582186169
"Q8IUW5_IDR_234_271",0.261739657591367
"Q8IUW5_IDR_91_123",0.25732334686866
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.373692460754771
"Q8IUX7_IDR_1099_1138",0.32511169524139
"Q8IUX7_IDR_44_388",0.301195844003838
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.499961251530966
"Q8IUY3_IDR_182_321",0.500038748469034
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.486866077017255
"Q8IV04_IDR_352_446",0.513133922982745
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.512412130896537
"Q8IV31_IDR_62_184",0.487587869103463
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.238198485931648
"Q8IVE3_IDR_1453_1493",0.260028333781629
"Q8IVE3_IDR_36_69",0.253656619341346
"Q8IVE3_IDR_71_132",0.248116560945376
"Q8IVF1_IDR_14_81",0.202660864751599
"Q8IVF1_IDR_232_366",0.204251188635034
"Q8IVF1_IDR_407_522",0.19718710291377
"Q8IVF1_IDR_525_878",0.196915287068077
"Q8IVF1_IDR_83_205",0.198985556631519
"Q8IVF2_IDR_1_114",0.353997176441957
"Q8IVF2_IDR_1794_5795",0.32291598517775
"Q8IVF2_IDR_195_1792",0.323086838380294
"Q8IVF4_IDR_156_187",0.488438505855314
"Q8IVF4_IDR_1_66",0.511561494144686
"Q8IVF5_IDR_1017_1093",0.239860941520243
"Q8IVF5_IDR_1461_1667",0.249264353758898
"Q8IVF5_IDR_1_498",0.243110026519326
"Q8IVF5_IDR_749_804",0.267764678201533
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.329420317718102
"Q8IVW6_IDR_319_491",0.342320775129679
"Q8IVW6_IDR_516_561",0.328258907152219
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.343464735998733
"Q8IW35_IDR_575_628",0.333152691293769
"Q8IW35_IDR_633_854",0.323382572707498
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.480822786105436
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.496920686440368
"Q8IWE2_IDR_404_437",0.503079313559632
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.500706102537125
"Q8IWF9_IDR_234_348",0.499293897462875
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.113055414394897
"Q8IWI9_IDR_1340_1371",0.114181777401457
"Q8IWI9_IDR_1398_1903",0.105779817096217
"Q8IWI9_IDR_1905_2856",0.11041780667175
"Q8IWI9_IDR_261_649",0.10781192992644
"Q8IWI9_IDR_2974_3016",0.111672282671035
"Q8IWI9_IDR_3020_3065",0.108902639350606
"Q8IWI9_IDR_681_751",0.109757449706109
"Q8IWI9_IDR_753_1079",0.11842088278149
"Q8IWJ2_IDR_1_69",0.322144337786394
"Q8IWT3_IDR_1658_1690",0.251873329889832
"Q8IWT3_IDR_2437_2517",0.258109620747317
"Q8IWT6_IDR_180_231",0.475990545162107
"Q8IWT6_IDR_62_95",0.524009454837893
"Q8IWU2_IDR_1_101",0.24083239301782
"Q8IWU2_IDR_1377_1415",0.262713737145567
"Q8IWU2_IDR_1426_1459",0.257486919063011
"Q8IWU2_IDR_557_1314",0.238966950773602
"Q8IWU5_IDR_1_40",0.246090091206196
"Q8IWU5_IDR_557_594",0.269564736049806
"Q8IWU5_IDR_648_718",0.240193587143641
"Q8IWU5_IDR_824_860",0.244151585600356
"Q8IWU6_IDR_1_37",0.255727641673507
"Q8IWU6_IDR_510_543",0.25442023277247
"Q8IWU6_IDR_561_610",0.243846696972999
"Q8IWU6_IDR_666_738",0.246005428581025
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.336799006568318
"Q8IWV1_IDR_178_270",0.342408752616321
"Q8IWV1_IDR_295_398",0.320792240815361
"Q8IX03_IDR_790_917",0.24069437934056
"Q8IX03_IDR_945_991",0.259208643003042
"Q8IX07_IDR_1_83",0.332967414191014
"Q8IX07_IDR_194_247",0.345238229145654
"Q8IX07_IDR_266_972",0.321794356663332
"Q8IX12_IDR_212_357",0.199112031211231
"Q8IX12_IDR_599_722",0.202694644027612
"Q8IX12_IDR_793_917",0.187804809456967
"Q8IX12_IDR_9_144",0.207151545820505
"Q8IX12_IDR_981_1021",0.203236969483684
"Q8IX15_IDR_125_364",0.254684180645654
"Q8IX15_IDR_1_38",0.247594054183941
"Q8IX15_IDR_420_461",0.253803609292972
"Q8IX15_IDR_504_550",0.243918155877434
"Q8IX18_IDR_1_50",0.505407701285913
"Q8IX18_IDR_706_779",0.494592298714087
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.489049353088682
"Q8IX29_IDR_239_292",0.510950646911318
"Q8IXP5_IDR_108_216",0.495005128508746
"Q8IXP5_IDR_1_106",0.504994871491254
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.505804665557213
"Q8IXQ8_IDR_211_264",0.494195334442787
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.321834297376953
"Q8IXT5_IDR_485_921",0.311848154937368
"Q8IXT5_IDR_89_151",0.366317547685679
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.328769330862568
"Q8IXW0_IDR_176_344",0.328693452857916
"Q8IXW0_IDR_466_587",0.342537216279516
"Q8IXW5_IDR_1_41",0.506996984116523
"Q8IXW5_IDR_171_324",0.493003015883477
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.493572457637781
"Q8IY63_IDR_493_952",0.506427542362219
"Q8IY67_IDR_1_35",0.512584868636138
"Q8IY67_IDR_349_606",0.487415131363862
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.505486279224745
"Q8IY84_IDR_7_44",0.494513720775255
"Q8IY85_IDR_375_441",0.504424299323447
"Q8IY85_IDR_77_146",0.495575700676553
"Q8IY92_IDR_1_50",0.168708466681945
"Q8IY92_IDR_377_470",0.162186254549849
"Q8IY92_IDR_558_613",0.169176476089252
"Q8IY92_IDR_630_669",0.170123423429195
"Q8IY92_IDR_64_289",0.169784528930715
"Q8IY92_IDR_824_1750",0.160020850319044
"Q8IYE1_IDR_684_715",0.512247568154421
"Q8IYF1_IDR_647_753",0.503228175930804
"Q8IYF1_IDR_79_458",0.496771824069196
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.355585837626914
"Q8IYH5_IDR_573_649",0.324020247461094
"Q8IYH5_IDR_714_786",0.320393914911992
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.499048567539876
"Q8IYI6_IDR_287_328",0.500951432460124
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.250844327085896
"Q8IYJ0_IDR_112_175",0.249214228559547
"Q8IYJ0_IDR_204_238",0.251797269654432
"Q8IYJ0_IDR_240_282",0.248144174700125
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.495876906410726
"Q8IYK4_IDR_584_626",0.504123093589274
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.166129891666077
"Q8IYW2_IDR_1347_1410",0.160051592798283
"Q8IYW2_IDR_1985_2022",0.1676484169637
"Q8IYW2_IDR_2287_2320",0.166101129466777
"Q8IYW2_IDR_2540_2579",0.170956674355572
"Q8IYW2_IDR_2630_2661",0.169112294749591
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.525546728945508
"Q8IZ41_IDR_77_124",0.474453271054492
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.339800874703952
"Q8IZ63_IDR_360_422",0.331868269770737
"Q8IZ63_IDR_87_332",0.328330855525311
"Q8IZ69_IDR_1_56",0.488403807287926
"Q8IZ69_IDR_591_625",0.511596192712074
"Q8IZ73_IDR_31_122",0.500641766843403
"Q8IZ73_IDR_421_495",0.499358233156597
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.320473651305677
"Q8IZA0_IDR_201_244",0.358358303444943
"Q8IZA0_IDR_957_1015",0.32116804524938
"Q8IZA3_IDR_114_346",0.489678611234733
"Q8IZA3_IDR_1_50",0.510321388765267
"Q8IZC4_IDR_185_221",0.335517274702678
"Q8IZC4_IDR_409_445",0.331599597525898
"Q8IZC4_IDR_476_603",0.332883127771425
"Q8IZC6_IDR_1_36",0.509975415089701
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.509548035502477
"Q8IZJ3_IDR_1758_1835",0.490451964497523
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.513279113179339
"Q8IZL8_IDR_637_1130",0.48672088682066
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.499726707519145
"Q8IZN3_IDR_323_488",0.500273292480855
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.503247255251614
"Q8IZP6_IDR_97_147",0.496752744748386
"Q8IZP7_IDR_1_118",0.489082518154502
"Q8IZP7_IDR_426_459",0.510917481845498
"Q8IZP9_IDR_249_371",0.245241864462952
"Q8IZP9_IDR_39_74",0.255416589395343
"Q8IZU9_IDR_701_778",0.501585635191537
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.171459712422975
"Q8IZX4_IDR_1220_1400",0.171538289082315
"Q8IZX4_IDR_1644_1826",0.162077173121382
"Q8IZX4_IDR_268_354",0.164517940380772
"Q8IZX4_IDR_536_578",0.171588656969904
"Q8IZX4_IDR_82_235",0.158818228022651
"Q8IZY2_IDR_1152_1210",0.493964026985088
"Q8IZY2_IDR_2105_2146",0.506035973014912
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.506873848930418
"Q8N0S2_IDR_260_351",0.493126151069582
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.255491356188737
"Q8N0U7_IDR_267_299",0.262955490903934
"Q8N0U7_IDR_37_122",0.23779167725543
"Q8N0U7_IDR_391_467",0.243761475651899
"Q8N103_IDR_1_81",0.473727872439158
"Q8N103_IDR_283_731",0.526272127560842
"Q8N108_IDR_1_176",0.482811314466065
"Q8N108_IDR_344_512",0.517188685533935
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.503861015255321
"Q8N114_IDR_203_240",0.496138984744679
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.501615831725096
"Q8N122_IDR_820_949",0.498384168274904
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.497559704020654
"Q8N128_IDR_68_213",0.502440295979346
"Q8N129_IDR_1_32",0.504059490572076
"Q8N129_IDR_202_248",0.495940509427924
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.334727652327937
