"","GO0042127_regulation_of_cell_population_proliferation"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.3422792177448
"Q5VUJ6_IDR_1_54",0.475940025361471
"Q5VUJ6_IDR_308_649",0.524059974638529
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.461753122968056
"Q5VV16_IDR_235_409",0.538246877031944
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.483063120506225
"Q5VV42_IDR_499_545",0.516936879493775
"Q5VWN6_IDR_1918_1981",0.173677399350701
"Q5VWN6_IDR_1993_2150",0.190496890889708
"Q5VWN6_IDR_803_1879",0.153824369885702
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.350632636336623
"Q5VWQ0_IDR_63_351",0.321485193011825
"Q5VWQ0_IDR_708_802",0.327882170651552
"Q5VWQ8_IDR_1141_1189",0.320948577002095
"Q5VWQ8_IDR_1_142",0.333381365704366
"Q5VWQ8_IDR_654_1098",0.34567005729354
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.204690028858083
"Q5VZL5_IDR_1_334",0.204060166366294
"Q5VZL5_IDR_640_677",0.195186386023118
"Q5VZL5_IDR_851_997",0.186652726898859
"Q5VZL5_IDR_999_1200",0.209410691853646
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163750662978172
"Q5VZP5_IDR_45_103",0.178014977870983
"Q5XX13_IDR_168_231",0.502303057802629
"Q5XX13_IDR_693_978",0.497696942197371
"Q5XXA6_IDR_1_48",0.342797513079449
"Q5XXA6_IDR_74_121",0.330700049576445
"Q5XXA6_IDR_945_986",0.326502437344106
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.484126417013
"Q63HK3_IDR_383_743",0.515873582987
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.318582717417113
"Q66K14_IDR_944_993",0.337550652489
"Q66K41_IDR_1_291",0.489648143650994
"Q66K41_IDR_304_345",0.510351856349006
"Q66K64_IDR_1_37",0.512439096220704
"Q66K64_IDR_275_383",0.487560903779296
"Q66K66_IDR_241_349",0.492736155532085
"Q66K66_IDR_32_81",0.507263844467915
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.254884584146359
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.504490506721675
"Q8IU57_IDR_479_520",0.495509493278325
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.509664894529683
"Q8IU81_IDR_56_237",0.490335105470317
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.493167536458742
"Q8IUC6_IDR_634_673",0.506832463541258
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.286018040498307
"Q8IUD2_IDR_621_730",0.234387167299456
"Q8IUD2_IDR_764_839",0.240517749430744
"Q8IUD2_IDR_926_1072",0.239077042771492
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.501763175045571
"Q8IUE0_IDR_1_55",0.498236824954429
"Q8IUE1_IDR_116_241",0.509489677614746
"Q8IUE1_IDR_1_55",0.490510322385254
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.355190526911207
"Q8IUG5_IDR_1_504",0.301993588557071
"Q8IUW5_IDR_126_223",0.245071602318255
"Q8IUW5_IDR_1_54",0.256192048574906
"Q8IUW5_IDR_234_271",0.248797249153561
"Q8IUW5_IDR_91_123",0.249939099953278
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.355238208987072
"Q8IUX7_IDR_1099_1138",0.32744752138012
"Q8IUX7_IDR_44_388",0.317314269632808
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.502086422533828
"Q8IUY3_IDR_182_321",0.497913577466171
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.507836023957277
"Q8IV04_IDR_352_446",0.492163976042723
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.517062107415043
"Q8IV31_IDR_62_184",0.482937892584957
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.246887946260601
"Q8IVE3_IDR_1453_1493",0.255064703685004
"Q8IVE3_IDR_36_69",0.251316883432024
"Q8IVE3_IDR_71_132",0.24673046662237
"Q8IVF1_IDR_14_81",0.201033930825054
"Q8IVF1_IDR_232_366",0.207244065133353
"Q8IVF1_IDR_407_522",0.189327792158998
"Q8IVF1_IDR_525_878",0.207212307985974
"Q8IVF1_IDR_83_205",0.195181903896621
"Q8IVF2_IDR_1_114",0.366237138273661
"Q8IVF2_IDR_1794_5795",0.315447326638247
"Q8IVF2_IDR_195_1792",0.318315535088092
"Q8IVF4_IDR_156_187",0.531639273888742
"Q8IVF4_IDR_1_66",0.468360726111258
"Q8IVF5_IDR_1017_1093",0.256832123584179
"Q8IVF5_IDR_1461_1667",0.242587213963915
"Q8IVF5_IDR_1_498",0.252510561154329
"Q8IVF5_IDR_749_804",0.248070101297577
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.308473999035354
"Q8IVW6_IDR_319_491",0.380702353960857
"Q8IVW6_IDR_516_561",0.310823647003789
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.348100373988164
"Q8IW35_IDR_575_628",0.325065424123563
"Q8IW35_IDR_633_854",0.326834201888273
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.504599566978217
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.502831211265251
"Q8IWE2_IDR_404_437",0.497168788734749
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.453555652555977
"Q8IWF9_IDR_234_348",0.546444347444023
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.1062285157888
"Q8IWI9_IDR_1340_1371",0.115880842486859
"Q8IWI9_IDR_1398_1903",0.102952330010705
"Q8IWI9_IDR_1905_2856",0.103241513440444
"Q8IWI9_IDR_261_649",0.110475298129761
"Q8IWI9_IDR_2974_3016",0.112301908251988
"Q8IWI9_IDR_3020_3065",0.109645293385128
"Q8IWI9_IDR_681_751",0.122616048079375
"Q8IWI9_IDR_753_1079",0.11665825042694
"Q8IWJ2_IDR_1_69",0.318266921876573
"Q8IWT3_IDR_1658_1690",0.251703669241697
"Q8IWT3_IDR_2437_2517",0.255735970540423
"Q8IWT6_IDR_180_231",0.493472535802497
"Q8IWT6_IDR_62_95",0.506527464197503
"Q8IWU2_IDR_1_101",0.249436700081937
"Q8IWU2_IDR_1377_1415",0.254211704170758
"Q8IWU2_IDR_1426_1459",0.249732078073364
"Q8IWU2_IDR_557_1314",0.24661951767394
"Q8IWU5_IDR_1_40",0.286095534256203
"Q8IWU5_IDR_557_594",0.23835576213784
"Q8IWU5_IDR_648_718",0.231486752489688
"Q8IWU5_IDR_824_860",0.244061951116268
"Q8IWU6_IDR_1_37",0.26902623781012
"Q8IWU6_IDR_510_543",0.249177078449072
"Q8IWU6_IDR_561_610",0.247780768781961
"Q8IWU6_IDR_666_738",0.234015914958847
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.342457544221188
"Q8IWV1_IDR_178_270",0.329874801895459
"Q8IWV1_IDR_295_398",0.327667653883353
"Q8IX03_IDR_790_917",0.229258627741247
"Q8IX03_IDR_945_991",0.248855200452379
"Q8IX07_IDR_1_83",0.313458722432328
"Q8IX07_IDR_194_247",0.361078980062423
"Q8IX07_IDR_266_972",0.325462297505249
"Q8IX12_IDR_212_357",0.204130467287125
"Q8IX12_IDR_599_722",0.193450821202249
"Q8IX12_IDR_793_917",0.183420690011913
"Q8IX12_IDR_9_144",0.206380854253379
"Q8IX12_IDR_981_1021",0.212617167245334
"Q8IX15_IDR_125_364",0.266261791155638
"Q8IX15_IDR_1_38",0.246012172631303
"Q8IX15_IDR_420_461",0.250375558247879
"Q8IX15_IDR_504_550",0.23735047796518
"Q8IX18_IDR_1_50",0.507737941706526
"Q8IX18_IDR_706_779",0.492262058293474
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.46670431614725
"Q8IX29_IDR_239_292",0.53329568385275
"Q8IXP5_IDR_108_216",0.491174492762724
"Q8IXP5_IDR_1_106",0.508825507237276
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.489196878236355
"Q8IXQ8_IDR_211_264",0.510803121763645
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.336409553248055
"Q8IXT5_IDR_485_921",0.32116962471745
"Q8IXT5_IDR_89_151",0.342420822034494
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.323610468415808
"Q8IXW0_IDR_176_344",0.343906247367519
"Q8IXW0_IDR_466_587",0.332483284216673
"Q8IXW5_IDR_1_41",0.500994457259755
"Q8IXW5_IDR_171_324",0.499005542740245
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.495089094539139
"Q8IY63_IDR_493_952",0.504910905460861
"Q8IY67_IDR_1_35",0.410691923071807
"Q8IY67_IDR_349_606",0.589308076928193
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.507558325176335
"Q8IY84_IDR_7_44",0.492441674823665
"Q8IY85_IDR_375_441",0.50178829750658
"Q8IY85_IDR_77_146",0.49821170249342
"Q8IY92_IDR_1_50",0.169257422349476
"Q8IY92_IDR_377_470",0.159629913596312
"Q8IY92_IDR_558_613",0.170417892248771
"Q8IY92_IDR_630_669",0.176990233227989
"Q8IY92_IDR_64_289",0.160121924987751
"Q8IY92_IDR_824_1750",0.163582613589702
"Q8IYE1_IDR_684_715",0.530567363737139
"Q8IYF1_IDR_647_753",0.513953736374815
"Q8IYF1_IDR_79_458",0.486046263625185
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.302923078016484
"Q8IYH5_IDR_573_649",0.338757931688009
"Q8IYH5_IDR_714_786",0.358318990295507
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.508537409695501
"Q8IYI6_IDR_287_328",0.491462590304499
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.253468233480166
"Q8IYJ0_IDR_112_175",0.254728424430641
"Q8IYJ0_IDR_204_238",0.239898688031638
"Q8IYJ0_IDR_240_282",0.251904654057555
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.532463672085208
"Q8IYK4_IDR_584_626",0.467536327914792
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.166531843543192
"Q8IYW2_IDR_1347_1410",0.155636185272887
"Q8IYW2_IDR_1985_2022",0.169136016474867
"Q8IYW2_IDR_2287_2320",0.166578120809596
"Q8IYW2_IDR_2540_2579",0.16989595569665
"Q8IYW2_IDR_2630_2661",0.172221878202809
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.513773358364009
"Q8IZ41_IDR_77_124",0.486226641635991
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.347002709435639
"Q8IZ63_IDR_360_422",0.307186938219633
"Q8IZ63_IDR_87_332",0.345810352344728
"Q8IZ69_IDR_1_56",0.484513822858017
"Q8IZ69_IDR_591_625",0.515486177141983
"Q8IZ73_IDR_31_122",0.486880379801994
"Q8IZ73_IDR_421_495",0.513119620198006
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.347194579203871
"Q8IZA0_IDR_201_244",0.325678958308121
"Q8IZA0_IDR_957_1015",0.327126462488008
"Q8IZA3_IDR_114_346",0.472762535472849
"Q8IZA3_IDR_1_50",0.527237464527151
"Q8IZC4_IDR_185_221",0.343420360079105
"Q8IZC4_IDR_409_445",0.346559811141518
"Q8IZC4_IDR_476_603",0.310019828779378
"Q8IZC6_IDR_1_36",0.544580025228504
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.484217684137818
"Q8IZJ3_IDR_1758_1835",0.515782315862182
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.523033803517178
"Q8IZL8_IDR_637_1130",0.476966196482822
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.475808059610054
"Q8IZN3_IDR_323_488",0.524191940389946
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.479406734046069
"Q8IZP6_IDR_97_147",0.520593265953931
"Q8IZP7_IDR_1_118",0.50675614208029
"Q8IZP7_IDR_426_459",0.49324385791971
"Q8IZP9_IDR_249_371",0.243336641010853
"Q8IZP9_IDR_39_74",0.263124001287689
"Q8IZU9_IDR_701_778",0.514210974465941
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162924154622499
"Q8IZX4_IDR_1220_1400",0.178700059409783
"Q8IZX4_IDR_1644_1826",0.165959481138824
"Q8IZX4_IDR_268_354",0.167146279411359
"Q8IZX4_IDR_536_578",0.165243736227438
"Q8IZX4_IDR_82_235",0.160026289190098
"Q8IZY2_IDR_1152_1210",0.506952737981836
"Q8IZY2_IDR_2105_2146",0.493047262018164
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.502786592063795
"Q8N0S2_IDR_260_351",0.497213407936206
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.260432632220823
"Q8N0U7_IDR_267_299",0.246844695240796
"Q8N0U7_IDR_37_122",0.249225763903559
"Q8N0U7_IDR_391_467",0.243496908634822
"Q8N103_IDR_1_81",0.491736764706599
"Q8N103_IDR_283_731",0.508263235293401
"Q8N108_IDR_1_176",0.502394183330638
"Q8N108_IDR_344_512",0.497605816669362
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.500920248437995
"Q8N114_IDR_203_240",0.499079751562005
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500113356567043
"Q8N122_IDR_820_949",0.499886643432957
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.485409004382692
"Q8N128_IDR_68_213",0.514590995617307
"Q8N129_IDR_1_32",0.54402640942223
"Q8N129_IDR_202_248",0.45597359057777
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.346858803263249
