"","GO0000226_microtubule_cytoskeleton_organization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.225920980839328
"Q5VUJ6_IDR_1_54",0.395381502062544
"Q5VUJ6_IDR_308_649",0.604618497937456
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.489986320321288
"Q5VV16_IDR_235_409",0.510013679678712
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.495199426018517
"Q5VV42_IDR_499_545",0.504800573981483
"Q5VWN6_IDR_1918_1981",0.158175179935268
"Q5VWN6_IDR_1993_2150",0.175866661493294
"Q5VWN6_IDR_803_1879",0.214832927942947
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.284103109731235
"Q5VWQ0_IDR_63_351",0.378972236355831
"Q5VWQ0_IDR_708_802",0.336924653912934
"Q5VWQ8_IDR_1141_1189",0.33888214776088
"Q5VWQ8_IDR_1_142",0.328770945192271
"Q5VWQ8_IDR_654_1098",0.332346907046848
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.179092170176144
"Q5VZL5_IDR_1_334",0.227029398010845
"Q5VZL5_IDR_640_677",0.185232759392902
"Q5VZL5_IDR_851_997",0.205409026799581
"Q5VZL5_IDR_999_1200",0.203236645620528
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.172245824818196
"Q5VZP5_IDR_45_103",0.162974989198047
"Q5XX13_IDR_168_231",0.406743155215785
"Q5XX13_IDR_693_978",0.593256844784215
"Q5XXA6_IDR_1_48",0.357047367519955
"Q5XXA6_IDR_74_121",0.327104017151435
"Q5XXA6_IDR_945_986",0.315848615328611
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.5279034035201
"Q63HK3_IDR_383_743",0.4720965964799
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.306878904777312
"Q66K14_IDR_944_993",0.354804820496919
"Q66K41_IDR_1_291",0.48607699001014
"Q66K41_IDR_304_345",0.51392300998986
"Q66K64_IDR_1_37",0.522657067353023
"Q66K64_IDR_275_383",0.477342932646977
"Q66K66_IDR_241_349",0.559498139410395
"Q66K66_IDR_32_81",0.440501860589605
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.221455117787654
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.507686119071088
"Q8IU57_IDR_479_520",0.492313880928912
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.503855847573365
"Q8IU81_IDR_56_237",0.496144152426635
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.504808281480803
"Q8IUC6_IDR_634_673",0.495191718519197
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.191485524661244
"Q8IUD2_IDR_621_730",0.316117995577363
"Q8IUD2_IDR_764_839",0.219068733800102
"Q8IUD2_IDR_926_1072",0.273327745961292
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.492077173817988
"Q8IUE0_IDR_1_55",0.507922826182012
"Q8IUE1_IDR_116_241",0.510002163423073
"Q8IUE1_IDR_1_55",0.489997836576927
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.255819242393742
"Q8IUG5_IDR_1_504",0.203848817208009
"Q8IUW5_IDR_126_223",0.229108285573421
"Q8IUW5_IDR_1_54",0.224972408367045
"Q8IUW5_IDR_234_271",0.297012908982399
"Q8IUW5_IDR_91_123",0.248906397077134
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.35362602908901
"Q8IUX7_IDR_1099_1138",0.313644650533792
"Q8IUX7_IDR_44_388",0.332729320377198
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.472003592122328
"Q8IUY3_IDR_182_321",0.527996407877672
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.499518608964831
"Q8IV04_IDR_352_446",0.500481391035169
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.474561627794735
"Q8IV31_IDR_62_184",0.525438372205265
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.215733338751563
"Q8IVE3_IDR_1453_1493",0.257580763233188
"Q8IVE3_IDR_36_69",0.262555334548971
"Q8IVE3_IDR_71_132",0.264130563466278
"Q8IVF1_IDR_14_81",0.19952029776881
"Q8IVF1_IDR_232_366",0.176258724764131
"Q8IVF1_IDR_407_522",0.208327965057236
"Q8IVF1_IDR_525_878",0.215973050075641
"Q8IVF1_IDR_83_205",0.199919962334182
"Q8IVF2_IDR_1_114",0.271258528619999
"Q8IVF2_IDR_1794_5795",0.346357444329885
"Q8IVF2_IDR_195_1792",0.382384027050116
"Q8IVF4_IDR_156_187",0.4843964242751
"Q8IVF4_IDR_1_66",0.5156035757249
"Q8IVF5_IDR_1017_1093",0.230228958395816
"Q8IVF5_IDR_1461_1667",0.331744800998376
"Q8IVF5_IDR_1_498",0.213971409175536
"Q8IVF5_IDR_749_804",0.224054831430273
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.314007614372248
"Q8IVW6_IDR_319_491",0.417552320192731
"Q8IVW6_IDR_516_561",0.268440065435021
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.376728257933176
"Q8IW35_IDR_575_628",0.330009497810496
"Q8IW35_IDR_633_854",0.293262244256328
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.493131113035525
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.553103706338417
"Q8IWE2_IDR_404_437",0.446896293661583
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.50388163840823
"Q8IWF9_IDR_234_348",0.49611836159177
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0881377073272371
"Q8IWI9_IDR_1340_1371",0.0900679547948929
"Q8IWI9_IDR_1398_1903",0.106774548545263
"Q8IWI9_IDR_1905_2856",0.246271649270013
"Q8IWI9_IDR_261_649",0.0980826468341277
"Q8IWI9_IDR_2974_3016",0.0808870733217923
"Q8IWI9_IDR_3020_3065",0.0950445688668752
"Q8IWI9_IDR_681_751",0.109524663631751
"Q8IWI9_IDR_753_1079",0.0852091874080484
"Q8IWJ2_IDR_1_69",0.211959693742961
"Q8IWT3_IDR_1658_1690",0.253404649439062
"Q8IWT3_IDR_2437_2517",0.257506424570618
"Q8IWT6_IDR_180_231",0.493523195452174
"Q8IWT6_IDR_62_95",0.506476804547826
"Q8IWU2_IDR_1_101",0.210367820351212
"Q8IWU2_IDR_1377_1415",0.195988251787113
"Q8IWU2_IDR_1426_1459",0.218199832351653
"Q8IWU2_IDR_557_1314",0.375444095510022
"Q8IWU5_IDR_1_40",0.290009531911745
"Q8IWU5_IDR_557_594",0.227075248591339
"Q8IWU5_IDR_648_718",0.232353881808256
"Q8IWU5_IDR_824_860",0.250561337688659
"Q8IWU6_IDR_1_37",0.259445972441735
"Q8IWU6_IDR_510_543",0.251617616936883
"Q8IWU6_IDR_561_610",0.239083950081771
"Q8IWU6_IDR_666_738",0.249852460539611
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.309602468808335
"Q8IWV1_IDR_178_270",0.338235038084747
"Q8IWV1_IDR_295_398",0.352162493106918
"Q8IX03_IDR_790_917",0.242496060093935
"Q8IX03_IDR_945_991",0.234921038879362
"Q8IX07_IDR_1_83",0.346196582934324
"Q8IX07_IDR_194_247",0.355118319649594
"Q8IX07_IDR_266_972",0.298685097416083
"Q8IX12_IDR_212_357",0.177907055494221
"Q8IX12_IDR_599_722",0.238423161952057
"Q8IX12_IDR_793_917",0.213254535633729
"Q8IX12_IDR_9_144",0.217812460048709
"Q8IX12_IDR_981_1021",0.152602786871283
"Q8IX15_IDR_125_364",0.276959022087263
"Q8IX15_IDR_1_38",0.257986710847957
"Q8IX15_IDR_420_461",0.221758703537532
"Q8IX15_IDR_504_550",0.243295563527248
"Q8IX18_IDR_1_50",0.40922833471376
"Q8IX18_IDR_706_779",0.59077166528624
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.430648988487013
"Q8IX29_IDR_239_292",0.569351011512987
"Q8IXP5_IDR_108_216",0.512723155698417
"Q8IXP5_IDR_1_106",0.487276844301583
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.523884564060957
"Q8IXQ8_IDR_211_264",0.476115435939044
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.367089941095319
"Q8IXT5_IDR_485_921",0.317318299040069
"Q8IXT5_IDR_89_151",0.315591759864611
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.319287462705302
"Q8IXW0_IDR_176_344",0.356862167583347
"Q8IXW0_IDR_466_587",0.323850369711351
"Q8IXW5_IDR_1_41",0.516509570001549
"Q8IXW5_IDR_171_324",0.483490429998451
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.384276452615529
"Q8IY63_IDR_493_952",0.615723547384471
"Q8IY67_IDR_1_35",0.548687624665104
"Q8IY67_IDR_349_606",0.451312375334896
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.513374039531517
"Q8IY84_IDR_7_44",0.486625960468483
"Q8IY85_IDR_375_441",0.530645259940226
"Q8IY85_IDR_77_146",0.469354740059774
"Q8IY92_IDR_1_50",0.165896729214353
"Q8IY92_IDR_377_470",0.168856086621951
"Q8IY92_IDR_558_613",0.180069563193044
"Q8IY92_IDR_630_669",0.143177487051874
"Q8IY92_IDR_64_289",0.16827176486998
"Q8IY92_IDR_824_1750",0.173728369048799
"Q8IYE1_IDR_684_715",0.199530037185841
"Q8IYF1_IDR_647_753",0.433424361131811
"Q8IYF1_IDR_79_458",0.56657563886819
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.323663598686728
"Q8IYH5_IDR_573_649",0.314358168701839
"Q8IYH5_IDR_714_786",0.361978232611433
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.457556468494169
"Q8IYI6_IDR_287_328",0.542443531505831
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244441490162667
"Q8IYJ0_IDR_112_175",0.252117163854978
"Q8IYJ0_IDR_204_238",0.262208788895763
"Q8IYJ0_IDR_240_282",0.241232557086591
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.488165251358791
"Q8IYK4_IDR_584_626",0.511834748641209
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.154672907588848
"Q8IYW2_IDR_1347_1410",0.178308506891404
"Q8IYW2_IDR_1985_2022",0.180182865649244
"Q8IYW2_IDR_2287_2320",0.165664277366546
"Q8IYW2_IDR_2540_2579",0.156574081882161
"Q8IYW2_IDR_2630_2661",0.164597360621796
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.509436337414218
"Q8IZ41_IDR_77_124",0.490563662585782
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.327079144777769
"Q8IZ63_IDR_360_422",0.361535050984874
"Q8IZ63_IDR_87_332",0.311385804237357
"Q8IZ69_IDR_1_56",0.476271509209999
"Q8IZ69_IDR_591_625",0.523728490790001
"Q8IZ73_IDR_31_122",0.45714128015664
"Q8IZ73_IDR_421_495",0.54285871984336
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.305698157186667
"Q8IZA0_IDR_201_244",0.378184424317233
"Q8IZA0_IDR_957_1015",0.3161174184961
"Q8IZA3_IDR_114_346",0.49936962002991
"Q8IZA3_IDR_1_50",0.50063037997009
"Q8IZC4_IDR_185_221",0.325712891908794
"Q8IZC4_IDR_409_445",0.318056409302385
"Q8IZC4_IDR_476_603",0.356230698788821
"Q8IZC6_IDR_1_36",0.51863519246925
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.520514183407209
"Q8IZJ3_IDR_1758_1835",0.479485816592791
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.519181187996916
"Q8IZL8_IDR_637_1130",0.480818812003084
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.527588332204077
"Q8IZN3_IDR_323_488",0.472411667795923
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.47474920233861
"Q8IZP6_IDR_97_147",0.525250797661391
"Q8IZP7_IDR_1_118",0.497627061851758
"Q8IZP7_IDR_426_459",0.502372938148242
"Q8IZP9_IDR_249_371",0.309113909539584
"Q8IZP9_IDR_39_74",0.219929086301984
"Q8IZU9_IDR_701_778",0.468912075742909
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164340122804836
"Q8IZX4_IDR_1220_1400",0.170414301147578
"Q8IZX4_IDR_1644_1826",0.170309026246195
"Q8IZX4_IDR_268_354",0.151323868816553
"Q8IZX4_IDR_536_578",0.158370252048443
"Q8IZX4_IDR_82_235",0.185242428936395
"Q8IZY2_IDR_1152_1210",0.505100622757232
"Q8IZY2_IDR_2105_2146",0.494899377242768
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.473244198786822
"Q8N0S2_IDR_260_351",0.526755801213178
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.230976357145675
"Q8N0U7_IDR_267_299",0.239604301755489
"Q8N0U7_IDR_37_122",0.259021934661238
"Q8N0U7_IDR_391_467",0.270397406437597
"Q8N103_IDR_1_81",0.469623655463565
"Q8N103_IDR_283_731",0.530376344536435
"Q8N108_IDR_1_176",0.505793127197531
"Q8N108_IDR_344_512",0.494206872802469
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.482404013913004
"Q8N114_IDR_203_240",0.517595986086996
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.501217395272731
"Q8N122_IDR_820_949",0.498782604727269
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.49048306676265
"Q8N128_IDR_68_213",0.50951693323735
"Q8N129_IDR_1_32",0.460860761445727
"Q8N129_IDR_202_248",0.539139238554273
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.468425390241024
