"","GO0031981_nuclear_lumen"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.299835533322716
"Q5VUJ6_IDR_1_54",0.490411479185366
"Q5VUJ6_IDR_308_649",0.509588520814634
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.570936450491623
"Q5VV16_IDR_235_409",0.429063549508377
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.632779733630184
"Q5VV42_IDR_499_545",0.367220266369816
"Q5VWN6_IDR_1918_1981",0.161098429994015
"Q5VWN6_IDR_1993_2150",0.148330028819814
"Q5VWN6_IDR_803_1879",0.131617798415814
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.215900211052335
"Q5VWQ0_IDR_63_351",0.567254113308172
"Q5VWQ0_IDR_708_802",0.216845675639492
"Q5VWQ8_IDR_1141_1189",0.343432940101286
"Q5VWQ8_IDR_1_142",0.299650261928018
"Q5VWQ8_IDR_654_1098",0.356916797970696
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192424350283489
"Q5VZL5_IDR_1_334",0.200063747334166
"Q5VZL5_IDR_640_677",0.190119902319094
"Q5VZL5_IDR_851_997",0.179980176847515
"Q5VZL5_IDR_999_1200",0.237411823215735
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.124817495555003
"Q5VZP5_IDR_45_103",0.123629365022969
"Q5XX13_IDR_168_231",0.49206191029502
"Q5XX13_IDR_693_978",0.50793808970498
"Q5XXA6_IDR_1_48",0.315066794686003
"Q5XXA6_IDR_74_121",0.348206588030549
"Q5XXA6_IDR_945_986",0.336726617283449
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.472310382837965
"Q63HK3_IDR_383_743",0.527689617162035
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.335439037364614
"Q66K14_IDR_944_993",0.358228605915016
"Q66K41_IDR_1_291",0.596916579750138
"Q66K41_IDR_304_345",0.403083420249862
"Q66K64_IDR_1_37",0.53805306202053
"Q66K64_IDR_275_383",0.46194693797947
"Q66K66_IDR_241_349",0.634768025247414
"Q66K66_IDR_32_81",0.365231974752586
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.240135285608667
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.479713294932096
"Q8IU57_IDR_479_520",0.520286705067905
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.498931870802467
"Q8IU81_IDR_56_237",0.501068129197533
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.468439021714332
"Q8IUC6_IDR_634_673",0.531560978285668
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.208074153084094
"Q8IUD2_IDR_621_730",0.226862301530435
"Q8IUD2_IDR_764_839",0.231636220598078
"Q8IUD2_IDR_926_1072",0.333427324787392
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.436389462430215
"Q8IUE0_IDR_1_55",0.563610537569785
"Q8IUE1_IDR_116_241",0.422908655350787
"Q8IUE1_IDR_1_55",0.577091344649213
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.253028963545865
"Q8IUG5_IDR_1_504",0.423810470577556
"Q8IUW5_IDR_126_223",0.239206057791289
"Q8IUW5_IDR_1_54",0.246268847117032
"Q8IUW5_IDR_234_271",0.25573712111086
"Q8IUW5_IDR_91_123",0.258787973980819
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.193023420594966
"Q8IUX7_IDR_1099_1138",0.208649908569187
"Q8IUX7_IDR_44_388",0.598326670835847
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.527820051108631
"Q8IUY3_IDR_182_321",0.472179948891369
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.454493620349242
"Q8IV04_IDR_352_446",0.545506379650758
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.44854439406693
"Q8IV31_IDR_62_184",0.55145560593307
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.231413214784309
"Q8IVE3_IDR_1453_1493",0.24675209117584
"Q8IVE3_IDR_36_69",0.259121362694045
"Q8IVE3_IDR_71_132",0.262713331345806
"Q8IVF1_IDR_14_81",0.185192822295938
"Q8IVF1_IDR_232_366",0.174006706163355
"Q8IVF1_IDR_407_522",0.218431148073216
"Q8IVF1_IDR_525_878",0.240824759114292
"Q8IVF1_IDR_83_205",0.181544564353199
"Q8IVF2_IDR_1_114",0.324941752525592
"Q8IVF2_IDR_1794_5795",0.34693147520849
"Q8IVF2_IDR_195_1792",0.328126772265918
"Q8IVF4_IDR_156_187",0.503856484158456
"Q8IVF4_IDR_1_66",0.496143515841544
"Q8IVF5_IDR_1017_1093",0.207171329072154
"Q8IVF5_IDR_1461_1667",0.236252486320274
"Q8IVF5_IDR_1_498",0.337256322298694
"Q8IVF5_IDR_749_804",0.219319862308878
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.373171167768333
"Q8IVW6_IDR_319_491",0.313499224723776
"Q8IVW6_IDR_516_561",0.31332960750789
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.309477185779107
"Q8IW35_IDR_575_628",0.354081908707987
"Q8IW35_IDR_633_854",0.336440905512906
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.461293968885949
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.427142020693653
"Q8IWE2_IDR_404_437",0.572857979306347
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.575956913539863
"Q8IWF9_IDR_234_348",0.424043086460136
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.151171432809013
"Q8IWI9_IDR_1340_1371",0.09887985331384
"Q8IWI9_IDR_1398_1903",0.0953960558684347
"Q8IWI9_IDR_1905_2856",0.139276490859794
"Q8IWI9_IDR_261_649",0.125961591282478
"Q8IWI9_IDR_2974_3016",0.101085782583925
"Q8IWI9_IDR_3020_3065",0.101415846019276
"Q8IWI9_IDR_681_751",0.0918908312152668
"Q8IWI9_IDR_753_1079",0.0949221160479722
"Q8IWJ2_IDR_1_69",0.319816076853575
"Q8IWT3_IDR_1658_1690",0.249306595347099
"Q8IWT3_IDR_2437_2517",0.29530070362038
"Q8IWT6_IDR_180_231",0.498888347333214
"Q8IWT6_IDR_62_95",0.501111652666786
"Q8IWU2_IDR_1_101",0.225609895874173
"Q8IWU2_IDR_1377_1415",0.277284585885009
"Q8IWU2_IDR_1426_1459",0.252580828579434
"Q8IWU2_IDR_557_1314",0.244524689661383
"Q8IWU5_IDR_1_40",0.206688244481603
"Q8IWU5_IDR_557_594",0.236357591135362
"Q8IWU5_IDR_648_718",0.318682992374383
"Q8IWU5_IDR_824_860",0.238271172008652
"Q8IWU6_IDR_1_37",0.174961057984696
"Q8IWU6_IDR_510_543",0.228586340196694
"Q8IWU6_IDR_561_610",0.215022917319854
"Q8IWU6_IDR_666_738",0.381429684498756
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.288367393555458
"Q8IWV1_IDR_178_270",0.341419820671705
"Q8IWV1_IDR_295_398",0.370212785772837
"Q8IX03_IDR_790_917",0.282129723111477
"Q8IX03_IDR_945_991",0.259683144587944
"Q8IX07_IDR_1_83",0.408028535236187
"Q8IX07_IDR_194_247",0.30236273443765
"Q8IX07_IDR_266_972",0.289608730326163
"Q8IX12_IDR_212_357",0.218979976283924
"Q8IX12_IDR_599_722",0.163532127251896
"Q8IX12_IDR_793_917",0.314309331983588
"Q8IX12_IDR_9_144",0.153885679529234
"Q8IX12_IDR_981_1021",0.149292884951357
"Q8IX15_IDR_125_364",0.297738169394269
"Q8IX15_IDR_1_38",0.228483931456126
"Q8IX15_IDR_420_461",0.257055689255688
"Q8IX15_IDR_504_550",0.216722209893916
"Q8IX18_IDR_1_50",0.453732438515804
"Q8IX18_IDR_706_779",0.546267561484196
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.467726068861845
"Q8IX29_IDR_239_292",0.532273931138155
"Q8IXP5_IDR_108_216",0.509179166229749
"Q8IXP5_IDR_1_106",0.490820833770251
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.527774302436655
"Q8IXQ8_IDR_211_264",0.472225697563345
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.336351648782019
"Q8IXT5_IDR_485_921",0.351703704883761
"Q8IXT5_IDR_89_151",0.31194464633422
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.314904763243376
"Q8IXW0_IDR_176_344",0.311303110765173
"Q8IXW0_IDR_466_587",0.373792125991451
"Q8IXW5_IDR_1_41",0.557253614305022
"Q8IXW5_IDR_171_324",0.442746385694978
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.507838332548679
"Q8IY63_IDR_493_952",0.492161667451321
"Q8IY67_IDR_1_35",0.499534469018174
"Q8IY67_IDR_349_606",0.500465530981826
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.463301297475957
"Q8IY84_IDR_7_44",0.536698702524043
"Q8IY85_IDR_375_441",0.443657334010427
"Q8IY85_IDR_77_146",0.556342665989573
"Q8IY92_IDR_1_50",0.141139243547548
"Q8IY92_IDR_377_470",0.268317861009422
"Q8IY92_IDR_558_613",0.140609439986889
"Q8IY92_IDR_630_669",0.133027812908742
"Q8IY92_IDR_64_289",0.173545341776753
"Q8IY92_IDR_824_1750",0.143360300770646
"Q8IYE1_IDR_684_715",0.460842446086913
"Q8IYF1_IDR_647_753",0.297440421922728
"Q8IYF1_IDR_79_458",0.702559578077272
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.383928667757914
"Q8IYH5_IDR_573_649",0.328981416399548
"Q8IYH5_IDR_714_786",0.287089915842539
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.452366554817822
"Q8IYI6_IDR_287_328",0.547633445182178
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.229186703641698
"Q8IYJ0_IDR_112_175",0.246431615016599
"Q8IYJ0_IDR_204_238",0.287869196616702
"Q8IYJ0_IDR_240_282",0.236512484725002
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.432752752171175
"Q8IYK4_IDR_584_626",0.567247247828825
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.160479337125572
"Q8IYW2_IDR_1347_1410",0.205336866540795
"Q8IYW2_IDR_1985_2022",0.166010655948012
"Q8IYW2_IDR_2287_2320",0.155887272830197
"Q8IYW2_IDR_2540_2579",0.156431941682586
"Q8IYW2_IDR_2630_2661",0.155853925872837
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.457365151809823
"Q8IZ41_IDR_77_124",0.542634848190177
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.280768568193163
"Q8IZ63_IDR_360_422",0.433930446164073
"Q8IZ63_IDR_87_332",0.285300985642764
"Q8IZ69_IDR_1_56",0.505417271730981
"Q8IZ69_IDR_591_625",0.494582728269019
"Q8IZ73_IDR_31_122",0.68911473549081
"Q8IZ73_IDR_421_495",0.31088526450919
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.273759749443559
"Q8IZA0_IDR_201_244",0.278037811130885
"Q8IZA0_IDR_957_1015",0.448202439425556
"Q8IZA3_IDR_114_346",0.713685265197953
"Q8IZA3_IDR_1_50",0.286314734802047
"Q8IZC4_IDR_185_221",0.332485318753369
"Q8IZC4_IDR_409_445",0.224953560336215
"Q8IZC4_IDR_476_603",0.442561120910416
"Q8IZC6_IDR_1_36",0.448568421709454
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.559348854085348
"Q8IZJ3_IDR_1758_1835",0.440651145914652
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.530723450433382
"Q8IZL8_IDR_637_1130",0.469276549566618
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.556748367947661
"Q8IZN3_IDR_323_488",0.443251632052339
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.595563071907448
"Q8IZP6_IDR_97_147",0.404436928092552
"Q8IZP7_IDR_1_118",0.416783948064137
"Q8IZP7_IDR_426_459",0.583216051935863
"Q8IZP9_IDR_249_371",0.234339491468777
"Q8IZP9_IDR_39_74",0.231624129324094
"Q8IZU9_IDR_701_778",0.484009376451082
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.161402010386672
"Q8IZX4_IDR_1220_1400",0.148990532338701
"Q8IZX4_IDR_1644_1826",0.167356705427592
"Q8IZX4_IDR_268_354",0.203894666749524
"Q8IZX4_IDR_536_578",0.154892051329137
"Q8IZX4_IDR_82_235",0.163464033768375
"Q8IZY2_IDR_1152_1210",0.513255214182173
"Q8IZY2_IDR_2105_2146",0.486744785817827
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.489800946007185
"Q8N0S2_IDR_260_351",0.510199053992815
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.238611968654268
"Q8N0U7_IDR_267_299",0.258398899719987
"Q8N0U7_IDR_37_122",0.257240024706148
"Q8N0U7_IDR_391_467",0.245749106919597
"Q8N103_IDR_1_81",0.560919095258147
"Q8N103_IDR_283_731",0.439080904741853
"Q8N108_IDR_1_176",0.385398708068829
"Q8N108_IDR_344_512",0.614601291931171
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.476220076052334
"Q8N114_IDR_203_240",0.523779923947666
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504166290817348
"Q8N122_IDR_820_949",0.495833709182652
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.510591401196873
"Q8N128_IDR_68_213",0.489408598803127
"Q8N129_IDR_1_32",0.387456823866652
"Q8N129_IDR_202_248",0.612543176133348
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.299390322236924
"Q8N137_IDR_442_797",0.316569711917113
