"","GO0008509_anion_transmembrane_transporter_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.319231590044173
"Q5VUJ6_IDR_1_54",0.44739384557455
"Q5VUJ6_IDR_308_649",0.55260615442545
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.515832123165477
"Q5VV16_IDR_235_409",0.484167876834523
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.501043081263183
"Q5VV42_IDR_499_545",0.498956918736817
"Q5VWN6_IDR_1918_1981",0.155428337203018
"Q5VWN6_IDR_1993_2150",0.157741412719215
"Q5VWN6_IDR_803_1879",0.223307106594097
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.330053032052279
"Q5VWQ0_IDR_63_351",0.310375887698613
"Q5VWQ0_IDR_708_802",0.359571080249108
"Q5VWQ8_IDR_1141_1189",0.313336133811659
"Q5VWQ8_IDR_1_142",0.307239217714908
"Q5VWQ8_IDR_654_1098",0.379424648473433
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.203481983168343
"Q5VZL5_IDR_1_334",0.205801873639316
"Q5VZL5_IDR_640_677",0.18640145207348
"Q5VZL5_IDR_851_997",0.191900444066206
"Q5VZL5_IDR_999_1200",0.212414247052655
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.172192425280568
"Q5VZP5_IDR_45_103",0.165481710405904
"Q5XX13_IDR_168_231",0.522148984052189
"Q5XX13_IDR_693_978",0.477851015947811
"Q5XXA6_IDR_1_48",0.360548473611677
"Q5XXA6_IDR_74_121",0.302767727315016
"Q5XXA6_IDR_945_986",0.336683799073307
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.432226861847736
"Q63HK3_IDR_383_743",0.567773138152264
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.373721252032797
"Q66K14_IDR_944_993",0.324993990222011
"Q66K41_IDR_1_291",0.510970191216061
"Q66K41_IDR_304_345",0.489029808783939
"Q66K64_IDR_1_37",0.506067093982027
"Q66K64_IDR_275_383",0.493932906017973
"Q66K66_IDR_241_349",0.482812758185951
"Q66K66_IDR_32_81",0.517187241814049
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.270068481058774
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.494029599032783
"Q8IU57_IDR_479_520",0.505970400967217
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.502612885487947
"Q8IU81_IDR_56_237",0.497387114512053
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.497960982599999
"Q8IUC6_IDR_634_673",0.502039017400001
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.272872553191914
"Q8IUD2_IDR_621_730",0.24353122054931
"Q8IUD2_IDR_764_839",0.242877831883288
"Q8IUD2_IDR_926_1072",0.240718394375488
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.511186074728251
"Q8IUE0_IDR_1_55",0.488813925271749
"Q8IUE1_IDR_116_241",0.522801646236308
"Q8IUE1_IDR_1_55",0.477198353763692
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.370064457059295
"Q8IUG5_IDR_1_504",0.310963276409785
"Q8IUW5_IDR_126_223",0.223641805389971
"Q8IUW5_IDR_1_54",0.231140032472165
"Q8IUW5_IDR_234_271",0.276040432128166
"Q8IUW5_IDR_91_123",0.269177730009698
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.333080961333107
"Q8IUX7_IDR_1099_1138",0.344660991682133
"Q8IUX7_IDR_44_388",0.32225804698476
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.498591650127259
"Q8IUY3_IDR_182_321",0.501408349872741
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.537906498485695
"Q8IV04_IDR_352_446",0.462093501514305
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.495093362673093
"Q8IV31_IDR_62_184",0.504906637326907
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.255458128077486
"Q8IVE3_IDR_1453_1493",0.235356671289359
"Q8IVE3_IDR_36_69",0.253117620869875
"Q8IVE3_IDR_71_132",0.25606757976328
"Q8IVF1_IDR_14_81",0.212662989740127
"Q8IVF1_IDR_232_366",0.197167726807596
"Q8IVF1_IDR_407_522",0.201740892294575
"Q8IVF1_IDR_525_878",0.193847942382615
"Q8IVF1_IDR_83_205",0.194580448775087
"Q8IVF2_IDR_1_114",0.370790307963856
"Q8IVF2_IDR_1794_5795",0.315284756688472
"Q8IVF2_IDR_195_1792",0.313924935347672
"Q8IVF4_IDR_156_187",0.522439228787711
"Q8IVF4_IDR_1_66",0.477560771212289
"Q8IVF5_IDR_1017_1093",0.268737803400852
"Q8IVF5_IDR_1461_1667",0.258748489807098
"Q8IVF5_IDR_1_498",0.233268958405923
"Q8IVF5_IDR_749_804",0.239244748386126
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.344986521007055
"Q8IVW6_IDR_319_491",0.333372450862216
"Q8IVW6_IDR_516_561",0.321641028130729
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.348484749987272
"Q8IW35_IDR_575_628",0.2915875817383
"Q8IW35_IDR_633_854",0.359927668274428
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.486918670207143
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.491207650434329
"Q8IWE2_IDR_404_437",0.508792349565671
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.443161854666903
"Q8IWF9_IDR_234_348",0.556838145333097
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103923945881315
"Q8IWI9_IDR_1340_1371",0.118557037630487
"Q8IWI9_IDR_1398_1903",0.09656564322611
"Q8IWI9_IDR_1905_2856",0.124388130835928
"Q8IWI9_IDR_261_649",0.120723920830368
"Q8IWI9_IDR_2974_3016",0.105669771888104
"Q8IWI9_IDR_3020_3065",0.108985490616348
"Q8IWI9_IDR_681_751",0.117183695079577
"Q8IWI9_IDR_753_1079",0.104002364011764
"Q8IWJ2_IDR_1_69",0.318863723522003
"Q8IWT3_IDR_1658_1690",0.245738741829572
"Q8IWT3_IDR_2437_2517",0.262322459354557
"Q8IWT6_IDR_180_231",0.509387973391203
"Q8IWT6_IDR_62_95",0.490612026608797
"Q8IWU2_IDR_1_101",0.24474573976876
"Q8IWU2_IDR_1377_1415",0.259154725307387
"Q8IWU2_IDR_1426_1459",0.226848828584601
"Q8IWU2_IDR_557_1314",0.269250706339251
"Q8IWU5_IDR_1_40",0.231326026748409
"Q8IWU5_IDR_557_594",0.287526639858838
"Q8IWU5_IDR_648_718",0.242713927791195
"Q8IWU5_IDR_824_860",0.238433405601558
"Q8IWU6_IDR_1_37",0.236264000528618
"Q8IWU6_IDR_510_543",0.234809441521386
"Q8IWU6_IDR_561_610",0.293132283313229
"Q8IWU6_IDR_666_738",0.235794274636767
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.289005258034589
"Q8IWV1_IDR_178_270",0.344869796148638
"Q8IWV1_IDR_295_398",0.366124945816773
"Q8IX03_IDR_790_917",0.267319123400802
"Q8IX03_IDR_945_991",0.238069752220235
"Q8IX07_IDR_1_83",0.336757237647024
"Q8IX07_IDR_194_247",0.373034937480464
"Q8IX07_IDR_266_972",0.290207824872511
"Q8IX12_IDR_212_357",0.189548716513719
"Q8IX12_IDR_599_722",0.200757373137604
"Q8IX12_IDR_793_917",0.182757268203723
"Q8IX12_IDR_9_144",0.189336135477007
"Q8IX12_IDR_981_1021",0.237600506667947
"Q8IX15_IDR_125_364",0.244372249293994
"Q8IX15_IDR_1_38",0.25839212804735
"Q8IX15_IDR_420_461",0.24968408275345
"Q8IX15_IDR_504_550",0.247551539905205
"Q8IX18_IDR_1_50",0.49869227966821
"Q8IX18_IDR_706_779",0.50130772033179
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.487814911075345
"Q8IX29_IDR_239_292",0.512185088924655
"Q8IXP5_IDR_108_216",0.50756314105906
"Q8IXP5_IDR_1_106",0.49243685894094
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.501414257489774
"Q8IXQ8_IDR_211_264",0.498585742510226
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.330512161310918
"Q8IXT5_IDR_485_921",0.31395895058253
"Q8IXT5_IDR_89_151",0.355528888106552
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.340742195674368
"Q8IXW0_IDR_176_344",0.355427834823705
"Q8IXW0_IDR_466_587",0.303829969501927
"Q8IXW5_IDR_1_41",0.459636746995202
"Q8IXW5_IDR_171_324",0.540363253004798
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.507087123957874
"Q8IY63_IDR_493_952",0.492912876042126
"Q8IY67_IDR_1_35",0.550086277445116
"Q8IY67_IDR_349_606",0.449913722554884
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.490196071038634
"Q8IY84_IDR_7_44",0.509803928961367
"Q8IY85_IDR_375_441",0.507318559640748
"Q8IY85_IDR_77_146",0.492681440359252
"Q8IY92_IDR_1_50",0.173484372301411
"Q8IY92_IDR_377_470",0.158233079828497
"Q8IY92_IDR_558_613",0.161968790430209
"Q8IY92_IDR_630_669",0.176082885516377
"Q8IY92_IDR_64_289",0.165847273896214
"Q8IY92_IDR_824_1750",0.164383598027292
"Q8IYE1_IDR_684_715",0.524921481816925
"Q8IYF1_IDR_647_753",0.507862626597358
"Q8IYF1_IDR_79_458",0.492137373402642
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.329536772103706
"Q8IYH5_IDR_573_649",0.330248601519996
"Q8IYH5_IDR_714_786",0.340214626376299
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.488081761219351
"Q8IYI6_IDR_287_328",0.511918238780649
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.227222820345172
"Q8IYJ0_IDR_112_175",0.268419663901984
"Q8IYJ0_IDR_204_238",0.244858507231136
"Q8IYJ0_IDR_240_282",0.259499008521709
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.483324569897557
"Q8IYK4_IDR_584_626",0.516675430102443
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.175281349946258
"Q8IYW2_IDR_1347_1410",0.148039156106818
"Q8IYW2_IDR_1985_2022",0.172540565620164
"Q8IYW2_IDR_2287_2320",0.166796091975264
"Q8IYW2_IDR_2540_2579",0.168310989852587
"Q8IYW2_IDR_2630_2661",0.169031846498909
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.53761710157226
"Q8IZ41_IDR_77_124",0.46238289842774
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.345672331276313
"Q8IZ63_IDR_360_422",0.322052972772086
"Q8IZ63_IDR_87_332",0.332274695951601
"Q8IZ69_IDR_1_56",0.499826650633077
"Q8IZ69_IDR_591_625",0.500173349366923
"Q8IZ73_IDR_31_122",0.449995885692695
"Q8IZ73_IDR_421_495",0.550004114307305
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.359292067652326
"Q8IZA0_IDR_201_244",0.341502631518331
"Q8IZA0_IDR_957_1015",0.299205300829342
"Q8IZA3_IDR_114_346",0.484319550504474
"Q8IZA3_IDR_1_50",0.515680449495526
"Q8IZC4_IDR_185_221",0.325432775222024
"Q8IZC4_IDR_409_445",0.362626459660282
"Q8IZC4_IDR_476_603",0.311940765117694
"Q8IZC6_IDR_1_36",0.538284964437822
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.497022419333018
"Q8IZJ3_IDR_1758_1835",0.502977580666982
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.524114086441801
"Q8IZL8_IDR_637_1130",0.475885913558199
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.507527091636406
"Q8IZN3_IDR_323_488",0.492472908363594
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.467676651533228
"Q8IZP6_IDR_97_147",0.532323348466772
"Q8IZP7_IDR_1_118",0.530792397724683
"Q8IZP7_IDR_426_459",0.469207602275317
"Q8IZP9_IDR_249_371",0.235991173817946
"Q8IZP9_IDR_39_74",0.27561554897664
"Q8IZU9_IDR_701_778",0.493519092797326
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.16521323382878
"Q8IZX4_IDR_1220_1400",0.177006660917301
"Q8IZX4_IDR_1644_1826",0.165328483278118
"Q8IZX4_IDR_268_354",0.169187651089215
"Q8IZX4_IDR_536_578",0.164937011561952
"Q8IZX4_IDR_82_235",0.158326959324635
"Q8IZY2_IDR_1152_1210",0.489114804142941
"Q8IZY2_IDR_2105_2146",0.510885195857059
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.523429404891225
"Q8N0S2_IDR_260_351",0.476570595108775
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.229048948896367
"Q8N0U7_IDR_267_299",0.245458931097346
"Q8N0U7_IDR_37_122",0.273979141116056
"Q8N0U7_IDR_391_467",0.25151297889023
"Q8N103_IDR_1_81",0.510632112779636
"Q8N103_IDR_283_731",0.489367887220364
"Q8N108_IDR_1_176",0.500852553478505
"Q8N108_IDR_344_512",0.499147446521495
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.491519275556724
"Q8N114_IDR_203_240",0.508480724443277
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500730032600933
"Q8N122_IDR_820_949",0.499269967399067
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.450158989617639
"Q8N128_IDR_68_213",0.549841010382361
"Q8N129_IDR_1_32",0.540324334956382
"Q8N129_IDR_202_248",0.459675665043618
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.357693728065439
