"","GO0022853_active_ion_transmembrane_transporter_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.315240789793629
"Q5VUJ6_IDR_1_54",0.482024267414946
"Q5VUJ6_IDR_308_649",0.517975732585054
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.524971114177107
"Q5VV16_IDR_235_409",0.475028885822893
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.498045221787859
"Q5VV42_IDR_499_545",0.501954778212141
"Q5VWN6_IDR_1918_1981",0.153350095085545
"Q5VWN6_IDR_1993_2150",0.151368898563359
"Q5VWN6_IDR_803_1879",0.237171134241874
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.319537906051828
"Q5VWQ0_IDR_63_351",0.306625260260112
"Q5VWQ0_IDR_708_802",0.37383683368806
"Q5VWQ8_IDR_1141_1189",0.324461805682921
"Q5VWQ8_IDR_1_142",0.327053349301422
"Q5VWQ8_IDR_654_1098",0.348484845015657
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.207331915992879
"Q5VZL5_IDR_1_334",0.21139590790081
"Q5VZL5_IDR_640_677",0.18227274265605
"Q5VZL5_IDR_851_997",0.193185242340982
"Q5VZL5_IDR_999_1200",0.205814191109279
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.165674478417701
"Q5VZP5_IDR_45_103",0.17115516609793
"Q5XX13_IDR_168_231",0.539637652400235
"Q5XX13_IDR_693_978",0.460362347599765
"Q5XXA6_IDR_1_48",0.359427428412488
"Q5XXA6_IDR_74_121",0.301277966929998
"Q5XXA6_IDR_945_986",0.339294604657514
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.485239623326488
"Q63HK3_IDR_383_743",0.514760376673512
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.333976324299255
"Q66K14_IDR_944_993",0.337524141298921
"Q66K41_IDR_1_291",0.49612119660762
"Q66K41_IDR_304_345",0.50387880339238
"Q66K64_IDR_1_37",0.508139475474387
"Q66K64_IDR_275_383",0.491860524525613
"Q66K66_IDR_241_349",0.479906703641974
"Q66K66_IDR_32_81",0.520093296358026
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.258515701922652
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.491282411350081
"Q8IU57_IDR_479_520",0.508717588649919
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.493250929046963
"Q8IU81_IDR_56_237",0.506749070953037
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.493908457239934
"Q8IUC6_IDR_634_673",0.506091542760066
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.244176138125312
"Q8IUD2_IDR_621_730",0.260473781575731
"Q8IUD2_IDR_764_839",0.249098799505833
"Q8IUD2_IDR_926_1072",0.246251280793124
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.514676447356758
"Q8IUE0_IDR_1_55",0.485323552643242
"Q8IUE1_IDR_116_241",0.53422794523497
"Q8IUE1_IDR_1_55",0.46577205476503
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.363149506384427
"Q8IUG5_IDR_1_504",0.320855679163498
"Q8IUW5_IDR_126_223",0.245047182659255
"Q8IUW5_IDR_1_54",0.225582386560277
"Q8IUW5_IDR_234_271",0.24499300027092
"Q8IUW5_IDR_91_123",0.284377430509548
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.326241117940066
"Q8IUX7_IDR_1099_1138",0.351788478746662
"Q8IUX7_IDR_44_388",0.321970403313272
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.495965947452879
"Q8IUY3_IDR_182_321",0.504034052547121
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.537758699538397
"Q8IV04_IDR_352_446",0.462241300461603
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.501907958585457
"Q8IV31_IDR_62_184",0.498092041414543
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.250826410797658
"Q8IVE3_IDR_1453_1493",0.252319754599098
"Q8IVE3_IDR_36_69",0.252340160408248
"Q8IVE3_IDR_71_132",0.244513674194996
"Q8IVF1_IDR_14_81",0.208308243528314
"Q8IVF1_IDR_232_366",0.195565191715673
"Q8IVF1_IDR_407_522",0.202242368449673
"Q8IVF1_IDR_525_878",0.196222821634072
"Q8IVF1_IDR_83_205",0.197661374672269
"Q8IVF2_IDR_1_114",0.359114743212247
"Q8IVF2_IDR_1794_5795",0.32123614063296
"Q8IVF2_IDR_195_1792",0.319649116154794
"Q8IVF4_IDR_156_187",0.510273687884722
"Q8IVF4_IDR_1_66",0.489726312115278
"Q8IVF5_IDR_1017_1093",0.26435415779025
"Q8IVF5_IDR_1461_1667",0.253499988787509
"Q8IVF5_IDR_1_498",0.2337897253677
"Q8IVF5_IDR_749_804",0.248356128054541
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.339391481441807
"Q8IVW6_IDR_319_491",0.330106628465739
"Q8IVW6_IDR_516_561",0.330501890092455
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.367750349441434
"Q8IW35_IDR_575_628",0.290997501022298
"Q8IW35_IDR_633_854",0.341252149536268
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.492535979581935
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.502678125174078
"Q8IWE2_IDR_404_437",0.497321874825922
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.446426545118553
"Q8IWF9_IDR_234_348",0.553573454881447
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.102161782290809
"Q8IWI9_IDR_1340_1371",0.114568822535504
"Q8IWI9_IDR_1398_1903",0.0953172144340748
"Q8IWI9_IDR_1905_2856",0.132380038116975
"Q8IWI9_IDR_261_649",0.12623769173654
"Q8IWI9_IDR_2974_3016",0.102384591451094
"Q8IWI9_IDR_3020_3065",0.109608892951545
"Q8IWI9_IDR_681_751",0.116326771217244
"Q8IWI9_IDR_753_1079",0.101014195266214
"Q8IWJ2_IDR_1_69",0.322776965891742
"Q8IWT3_IDR_1658_1690",0.250091357278427
"Q8IWT3_IDR_2437_2517",0.259598833816858
"Q8IWT6_IDR_180_231",0.506109650664012
"Q8IWT6_IDR_62_95",0.493890349335988
"Q8IWU2_IDR_1_101",0.245955256185216
"Q8IWU2_IDR_1377_1415",0.230075567315719
"Q8IWU2_IDR_1426_1459",0.206317240806212
"Q8IWU2_IDR_557_1314",0.317651935692853
"Q8IWU5_IDR_1_40",0.233638734095281
"Q8IWU5_IDR_557_594",0.280501892957013
"Q8IWU5_IDR_648_718",0.247461770683946
"Q8IWU5_IDR_824_860",0.23839760226376
"Q8IWU6_IDR_1_37",0.236021973675091
"Q8IWU6_IDR_510_543",0.232515963679757
"Q8IWU6_IDR_561_610",0.28784093344634
"Q8IWU6_IDR_666_738",0.243621129198812
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.297497677229594
"Q8IWV1_IDR_178_270",0.345505473434186
"Q8IWV1_IDR_295_398",0.35699684933622
"Q8IX03_IDR_790_917",0.266616089229037
"Q8IX03_IDR_945_991",0.244695830962251
"Q8IX07_IDR_1_83",0.338482958641758
"Q8IX07_IDR_194_247",0.367923883706391
"Q8IX07_IDR_266_972",0.293593157651851
"Q8IX12_IDR_212_357",0.186008895143619
"Q8IX12_IDR_599_722",0.200886067722251
"Q8IX12_IDR_793_917",0.196542864063859
"Q8IX12_IDR_9_144",0.186364301904354
"Q8IX12_IDR_981_1021",0.230197871165917
"Q8IX15_IDR_125_364",0.242983001920702
"Q8IX15_IDR_1_38",0.258920474476189
"Q8IX15_IDR_420_461",0.245306271829409
"Q8IX15_IDR_504_550",0.252790251773699
"Q8IX18_IDR_1_50",0.496495135361726
"Q8IX18_IDR_706_779",0.503504864638274
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.484938175758402
"Q8IX29_IDR_239_292",0.515061824241598
"Q8IXP5_IDR_108_216",0.514725514493161
"Q8IXP5_IDR_1_106",0.485274485506839
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.498525416311767
"Q8IXQ8_IDR_211_264",0.501474583688233
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.329675362517315
"Q8IXT5_IDR_485_921",0.315100450601078
"Q8IXT5_IDR_89_151",0.355224186881606
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.351209605675504
"Q8IXW0_IDR_176_344",0.346411051612502
"Q8IXW0_IDR_466_587",0.302379342711994
"Q8IXW5_IDR_1_41",0.41134835357357
"Q8IXW5_IDR_171_324",0.58865164642643
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.496877589233677
"Q8IY63_IDR_493_952",0.503122410766323
"Q8IY67_IDR_1_35",0.525717333611614
"Q8IY67_IDR_349_606",0.474282666388386
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.502795288369169
"Q8IY84_IDR_7_44",0.497204711630831
"Q8IY85_IDR_375_441",0.504457999533098
"Q8IY85_IDR_77_146",0.495542000466901
"Q8IY92_IDR_1_50",0.177174720852783
"Q8IY92_IDR_377_470",0.162277930433749
"Q8IY92_IDR_558_613",0.165245481301757
"Q8IY92_IDR_630_669",0.172361497137224
"Q8IY92_IDR_64_289",0.161201681985399
"Q8IY92_IDR_824_1750",0.161738688289088
"Q8IYE1_IDR_684_715",0.52270448889805
"Q8IYF1_IDR_647_753",0.499851044178678
"Q8IYF1_IDR_79_458",0.500148955821322
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.349126027786941
"Q8IYH5_IDR_573_649",0.313301673274932
"Q8IYH5_IDR_714_786",0.337572298938127
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.49299327224801
"Q8IYI6_IDR_287_328",0.50700672775199
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.23072351891868
"Q8IYJ0_IDR_112_175",0.270836855143788
"Q8IYJ0_IDR_204_238",0.249549765010082
"Q8IYJ0_IDR_240_282",0.24888986092745
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.487506431536693
"Q8IYK4_IDR_584_626",0.512493568463307
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.173798377108393
"Q8IYW2_IDR_1347_1410",0.152396222224464
"Q8IYW2_IDR_1985_2022",0.170681856294037
"Q8IYW2_IDR_2287_2320",0.164530758648745
"Q8IYW2_IDR_2540_2579",0.173470104262922
"Q8IYW2_IDR_2630_2661",0.165122681461439
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.542515498972971
"Q8IZ41_IDR_77_124",0.457484501027029
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.339352264737511
"Q8IZ63_IDR_360_422",0.324001012553011
"Q8IZ63_IDR_87_332",0.336646722709478
"Q8IZ69_IDR_1_56",0.500375456884743
"Q8IZ69_IDR_591_625",0.499624543115257
"Q8IZ73_IDR_31_122",0.425754129562044
"Q8IZ73_IDR_421_495",0.574245870437956
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.321447037837356
"Q8IZA0_IDR_201_244",0.366326142474141
"Q8IZA0_IDR_957_1015",0.312226819688503
"Q8IZA3_IDR_114_346",0.490975494930051
"Q8IZA3_IDR_1_50",0.509024505069949
"Q8IZC4_IDR_185_221",0.3242795045138
"Q8IZC4_IDR_409_445",0.357202365783769
"Q8IZC4_IDR_476_603",0.318518129702431
"Q8IZC6_IDR_1_36",0.531919740553874
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.491372353111615
"Q8IZJ3_IDR_1758_1835",0.508627646888385
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.519411564831113
"Q8IZL8_IDR_637_1130",0.480588435168887
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.485520026467622
"Q8IZN3_IDR_323_488",0.514479973532379
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.476941974976448
"Q8IZP6_IDR_97_147",0.523058025023552
"Q8IZP7_IDR_1_118",0.52550498537055
"Q8IZP7_IDR_426_459",0.47449501462945
"Q8IZP9_IDR_249_371",0.243271043270435
"Q8IZP9_IDR_39_74",0.271757027662357
"Q8IZU9_IDR_701_778",0.489082812583227
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.177012764842797
"Q8IZX4_IDR_1220_1400",0.165683381780443
"Q8IZX4_IDR_1644_1826",0.161226795920021
"Q8IZX4_IDR_268_354",0.167853790794402
"Q8IZX4_IDR_536_578",0.164301938547644
"Q8IZX4_IDR_82_235",0.163921328114692
"Q8IZY2_IDR_1152_1210",0.468313107165365
"Q8IZY2_IDR_2105_2146",0.531686892834636
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.528087775200534
"Q8N0S2_IDR_260_351",0.471912224799466
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.226276627651853
"Q8N0U7_IDR_267_299",0.250096368643488
"Q8N0U7_IDR_37_122",0.265720711984531
"Q8N0U7_IDR_391_467",0.257906291720128
"Q8N103_IDR_1_81",0.508644111943319
"Q8N103_IDR_283_731",0.491355888056681
"Q8N108_IDR_1_176",0.502936362643961
"Q8N108_IDR_344_512",0.497063637356039
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.486606912899654
"Q8N114_IDR_203_240",0.513393087100346
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50362032184366
"Q8N122_IDR_820_949",0.49637967815634
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.480135890140344
"Q8N128_IDR_68_213",0.519864109859656
"Q8N129_IDR_1_32",0.49745102586157
"Q8N129_IDR_202_248",0.50254897413843
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.349506690281829
