"","GO0005615_extracellular_space"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.336016211601197
"Q5VUJ6_IDR_1_54",0.556779908404521
"Q5VUJ6_IDR_308_649",0.44322009159548
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.43146140317406
"Q5VV16_IDR_235_409",0.56853859682594
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.459950872462755
"Q5VV42_IDR_499_545",0.540049127537245
"Q5VWN6_IDR_1918_1981",0.166768126273483
"Q5VWN6_IDR_1993_2150",0.194663232695284
"Q5VWN6_IDR_803_1879",0.162560528980581
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.348289686996108
"Q5VWQ0_IDR_63_351",0.328093968875878
"Q5VWQ0_IDR_708_802",0.323616344128015
"Q5VWQ8_IDR_1141_1189",0.311531846681002
"Q5VWQ8_IDR_1_142",0.399298770981246
"Q5VWQ8_IDR_654_1098",0.289169382337751
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195407460475202
"Q5VZL5_IDR_1_334",0.184302737380939
"Q5VZL5_IDR_640_677",0.203222656605041
"Q5VZL5_IDR_851_997",0.220438975983597
"Q5VZL5_IDR_999_1200",0.196628169555222
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.168742594535361
"Q5VZP5_IDR_45_103",0.188945382422538
"Q5XX13_IDR_168_231",0.475811310141333
"Q5XX13_IDR_693_978",0.524188689858667
"Q5XXA6_IDR_1_48",0.343951548000106
"Q5XXA6_IDR_74_121",0.334904465595034
"Q5XXA6_IDR_945_986",0.32114398640486
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.519506153517773
"Q63HK3_IDR_383_743",0.480493846482227
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.293021087781783
"Q66K14_IDR_944_993",0.368039874233007
"Q66K41_IDR_1_291",0.534880266297662
"Q66K41_IDR_304_345",0.465119733702338
"Q66K64_IDR_1_37",0.503983927922931
"Q66K64_IDR_275_383",0.496016072077069
"Q66K66_IDR_241_349",0.450634481565428
"Q66K66_IDR_32_81",0.549365518434572
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.254239480309727
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.506849912803215
"Q8IU57_IDR_479_520",0.493150087196786
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.480553371045939
"Q8IU81_IDR_56_237",0.519446628954061
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.479879780306453
"Q8IUC6_IDR_634_673",0.520120219693547
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.255635091296508
"Q8IUD2_IDR_621_730",0.250174872374473
"Q8IUD2_IDR_764_839",0.238429005967152
"Q8IUD2_IDR_926_1072",0.255761030361867
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.506289747174542
"Q8IUE0_IDR_1_55",0.493710252825458
"Q8IUE1_IDR_116_241",0.51652297067357
"Q8IUE1_IDR_1_55",0.48347702932643
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.361988894124347
"Q8IUG5_IDR_1_504",0.312237455941577
"Q8IUW5_IDR_126_223",0.260961341764467
"Q8IUW5_IDR_1_54",0.271124543988894
"Q8IUW5_IDR_234_271",0.237481221209228
"Q8IUW5_IDR_91_123",0.230432893037411
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.360130585588252
"Q8IUX7_IDR_1099_1138",0.323056184248284
"Q8IUX7_IDR_44_388",0.316813230163464
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.499905562872654
"Q8IUY3_IDR_182_321",0.500094437127346
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.498578163670624
"Q8IV04_IDR_352_446",0.501421836329376
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.547340956282615
"Q8IV31_IDR_62_184",0.452659043717385
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.221254703113744
"Q8IVE3_IDR_1453_1493",0.269832438865376
"Q8IVE3_IDR_36_69",0.255948392074347
"Q8IVE3_IDR_71_132",0.252964465946533
"Q8IVF1_IDR_14_81",0.193410841199926
"Q8IVF1_IDR_232_366",0.197652263832281
"Q8IVF1_IDR_407_522",0.178636617469682
"Q8IVF1_IDR_525_878",0.196826891701209
"Q8IVF1_IDR_83_205",0.233473385796902
"Q8IVF2_IDR_1_114",0.310765697270078
"Q8IVF2_IDR_1794_5795",0.333055805041232
"Q8IVF2_IDR_195_1792",0.35617849768869
"Q8IVF4_IDR_156_187",0.505158928472117
"Q8IVF4_IDR_1_66",0.494841071527883
"Q8IVF5_IDR_1017_1093",0.273752245607646
"Q8IVF5_IDR_1461_1667",0.234476719535522
"Q8IVF5_IDR_1_498",0.236930358528222
"Q8IVF5_IDR_749_804",0.25484067632861
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.285627752149074
"Q8IVW6_IDR_319_491",0.390485272684697
"Q8IVW6_IDR_516_561",0.323886975166229
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.344909659409527
"Q8IW35_IDR_575_628",0.347876223173365
"Q8IW35_IDR_633_854",0.307214117417108
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.544583633035389
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.529956166238572
"Q8IWE2_IDR_404_437",0.470043833761428
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.395288800787269
"Q8IWF9_IDR_234_348",0.604711199212731
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0945485622480012
"Q8IWI9_IDR_1340_1371",0.109184223340054
"Q8IWI9_IDR_1398_1903",0.135229342849336
"Q8IWI9_IDR_1905_2856",0.102029671676454
"Q8IWI9_IDR_261_649",0.0980955703597974
"Q8IWI9_IDR_2974_3016",0.116770004040761
"Q8IWI9_IDR_3020_3065",0.110214472096728
"Q8IWI9_IDR_681_751",0.122123421670249
"Q8IWI9_IDR_753_1079",0.11180473171862
"Q8IWJ2_IDR_1_69",0.32033564505577
"Q8IWT3_IDR_1658_1690",0.264808979932399
"Q8IWT3_IDR_2437_2517",0.226350220063954
"Q8IWT6_IDR_180_231",0.494485990922899
"Q8IWT6_IDR_62_95",0.505514009077101
"Q8IWU2_IDR_1_101",0.270571716744275
"Q8IWU2_IDR_1377_1415",0.241031806248627
"Q8IWU2_IDR_1426_1459",0.250717040839105
"Q8IWU2_IDR_557_1314",0.237679436167992
"Q8IWU5_IDR_1_40",0.446393672983496
"Q8IWU5_IDR_557_594",0.186305921334971
"Q8IWU5_IDR_648_718",0.180623845140789
"Q8IWU5_IDR_824_860",0.186676560540744
"Q8IWU6_IDR_1_37",0.364197135643956
"Q8IWU6_IDR_510_543",0.21825945160952
"Q8IWU6_IDR_561_610",0.218422812151336
"Q8IWU6_IDR_666_738",0.199120600595188
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.393039588024843
"Q8IWV1_IDR_178_270",0.297345800399814
"Q8IWV1_IDR_295_398",0.309614611575343
"Q8IX03_IDR_790_917",0.217658874871499
"Q8IX03_IDR_945_991",0.244247510521816
"Q8IX07_IDR_1_83",0.279724712693133
"Q8IX07_IDR_194_247",0.357977774116055
"Q8IX07_IDR_266_972",0.362297513190811
"Q8IX12_IDR_212_357",0.187586281746741
"Q8IX12_IDR_599_722",0.185122246947229
"Q8IX12_IDR_793_917",0.210674667318217
"Q8IX12_IDR_9_144",0.222660401220337
"Q8IX12_IDR_981_1021",0.193956402767476
"Q8IX15_IDR_125_364",0.262888718916566
"Q8IX15_IDR_1_38",0.24172432357428
"Q8IX15_IDR_420_461",0.253787257381326
"Q8IX15_IDR_504_550",0.241599700127828
"Q8IX18_IDR_1_50",0.532419970850303
"Q8IX18_IDR_706_779",0.467580029149697
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.486132229968849
"Q8IX29_IDR_239_292",0.513867770031151
"Q8IXP5_IDR_108_216",0.487588856049043
"Q8IXP5_IDR_1_106",0.512411143950957
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.492326542841436
"Q8IXQ8_IDR_211_264",0.507673457158564
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.33239011161391
"Q8IXT5_IDR_485_921",0.3181990594774
"Q8IXT5_IDR_89_151",0.34941082890869
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.336438231157157
"Q8IXW0_IDR_176_344",0.317777031206141
"Q8IXW0_IDR_466_587",0.345784737636702
"Q8IXW5_IDR_1_41",0.490947578482652
"Q8IXW5_IDR_171_324",0.509052421517348
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.537708808599126
"Q8IY63_IDR_493_952",0.462291191400875
"Q8IY67_IDR_1_35",0.438597008832034
"Q8IY67_IDR_349_606",0.561402991167966
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.533108185851969
"Q8IY84_IDR_7_44",0.466891814148031
"Q8IY85_IDR_375_441",0.482966627641049
"Q8IY85_IDR_77_146",0.517033372358951
"Q8IY92_IDR_1_50",0.159055153473667
"Q8IY92_IDR_377_470",0.157056543472964
"Q8IY92_IDR_558_613",0.169864320635141
"Q8IY92_IDR_630_669",0.171486144306345
"Q8IY92_IDR_64_289",0.164467638362971
"Q8IY92_IDR_824_1750",0.178070199748912
"Q8IYE1_IDR_684_715",0.490506894634725
"Q8IYF1_IDR_647_753",0.541963585244335
"Q8IYF1_IDR_79_458",0.458036414755665
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.305699215237777
"Q8IYH5_IDR_573_649",0.349085820374953
"Q8IYH5_IDR_714_786",0.345214964387271
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.529708492186245
"Q8IYI6_IDR_287_328",0.470291507813755
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.254192538852946
"Q8IYJ0_IDR_112_175",0.252135286655951
"Q8IYJ0_IDR_204_238",0.23617605294506
"Q8IYJ0_IDR_240_282",0.257496121546044
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.742967029618226
"Q8IYK4_IDR_584_626",0.257032970381774
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.170419841841455
"Q8IYW2_IDR_1347_1410",0.147545961537606
"Q8IYW2_IDR_1985_2022",0.161314625236932
"Q8IYW2_IDR_2287_2320",0.167753808771762
"Q8IYW2_IDR_2540_2579",0.18036203064807
"Q8IYW2_IDR_2630_2661",0.172603731964175
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.466011552815773
"Q8IZ41_IDR_77_124",0.533988447184227
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.322114238578466
"Q8IZ63_IDR_360_422",0.291200805284021
"Q8IZ63_IDR_87_332",0.386684956137513
"Q8IZ69_IDR_1_56",0.488163921574114
"Q8IZ69_IDR_591_625",0.511836078425886
"Q8IZ73_IDR_31_122",0.48416377966271
"Q8IZ73_IDR_421_495",0.51583622033729
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.345519748541308
"Q8IZA0_IDR_201_244",0.348450290174971
"Q8IZA0_IDR_957_1015",0.306029961283721
"Q8IZA3_IDR_114_346",0.468887016480031
"Q8IZA3_IDR_1_50",0.531112983519969
"Q8IZC4_IDR_185_221",0.34524833335097
"Q8IZC4_IDR_409_445",0.339305222699118
"Q8IZC4_IDR_476_603",0.315446443949913
"Q8IZC6_IDR_1_36",0.466944643723237
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.46376892460341
"Q8IZJ3_IDR_1758_1835",0.53623107539659
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.485038842141827
"Q8IZL8_IDR_637_1130",0.514961157858172
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.410085979360272
"Q8IZN3_IDR_323_488",0.589914020639728
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.477047424355076
"Q8IZP6_IDR_97_147",0.522952575644924
"Q8IZP7_IDR_1_118",0.543998201341044
"Q8IZP7_IDR_426_459",0.456001798658956
"Q8IZP9_IDR_249_371",0.263725401376482
"Q8IZP9_IDR_39_74",0.257467434952229
"Q8IZU9_IDR_701_778",0.501603202386534
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.161926964669178
"Q8IZX4_IDR_1220_1400",0.178812332462301
"Q8IZX4_IDR_1644_1826",0.161983477562345
"Q8IZX4_IDR_268_354",0.164378925826496
"Q8IZX4_IDR_536_578",0.177677630000531
"Q8IZX4_IDR_82_235",0.155220669479148
"Q8IZY2_IDR_1152_1210",0.511803484422544
"Q8IZY2_IDR_2105_2146",0.488196515577456
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.51680922267813
"Q8N0S2_IDR_260_351",0.48319077732187
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.252990722142284
"Q8N0U7_IDR_267_299",0.245774511140003
"Q8N0U7_IDR_37_122",0.244110532150521
"Q8N0U7_IDR_391_467",0.257124234567192
"Q8N103_IDR_1_81",0.527561851844406
"Q8N103_IDR_283_731",0.472438148155594
"Q8N108_IDR_1_176",0.523632150905579
"Q8N108_IDR_344_512",0.476367849094421
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.520068581901613
"Q8N114_IDR_203_240",0.479931418098387
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.505659609267576
"Q8N122_IDR_820_949",0.494340390732424
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.494006847162051
"Q8N128_IDR_68_213",0.505993152837949
"Q8N129_IDR_1_32",0.564917465168422
"Q8N129_IDR_202_248",0.435082534831578
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.328760510024824
"Q8N137_IDR_442_797",0.343654780196709
