"","GO0005730_nucleolus"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.305966766195402
"Q5VUJ6_IDR_1_54",0.450610923248486
"Q5VUJ6_IDR_308_649",0.549389076751514
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.524675727136821
"Q5VV16_IDR_235_409",0.475324272863179
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.57995965619906
"Q5VV42_IDR_499_545",0.42004034380094
"Q5VWN6_IDR_1918_1981",0.164030702921539
"Q5VWN6_IDR_1993_2150",0.15266829427458
"Q5VWN6_IDR_803_1879",0.150767944441928
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.133318574304613
"Q5VWQ0_IDR_63_351",0.741818422347396
"Q5VWQ0_IDR_708_802",0.124863003347991
"Q5VWQ8_IDR_1141_1189",0.338410612353446
"Q5VWQ8_IDR_1_142",0.337029046959613
"Q5VWQ8_IDR_654_1098",0.324560340686941
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.201013015057446
"Q5VZL5_IDR_1_334",0.197717578176553
"Q5VZL5_IDR_640_677",0.190529124624943
"Q5VZL5_IDR_851_997",0.195797248873364
"Q5VZL5_IDR_999_1200",0.214943033267694
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.142109003621344
"Q5VZP5_IDR_45_103",0.147879461538112
"Q5XX13_IDR_168_231",0.494303903862231
"Q5XX13_IDR_693_978",0.505696096137769
"Q5XXA6_IDR_1_48",0.332078168992015
"Q5XXA6_IDR_74_121",0.335426409168125
"Q5XXA6_IDR_945_986",0.332495421839861
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.46776558484954
"Q63HK3_IDR_383_743",0.53223441515046
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.319099848177824
"Q66K14_IDR_944_993",0.362245471856914
"Q66K41_IDR_1_291",0.541618387628064
"Q66K41_IDR_304_345",0.458381612371936
"Q66K64_IDR_1_37",0.530661701215873
"Q66K64_IDR_275_383",0.469338298784127
"Q66K66_IDR_241_349",0.665138171920539
"Q66K66_IDR_32_81",0.334861828079461
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242000885846042
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.478674577351368
"Q8IU57_IDR_479_520",0.521325422648632
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.486570537708424
"Q8IU81_IDR_56_237",0.513429462291576
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.492997532209264
"Q8IUC6_IDR_634_673",0.507002467790736
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.229119404063415
"Q8IUD2_IDR_621_730",0.254672089340239
"Q8IUD2_IDR_764_839",0.240551439674484
"Q8IUD2_IDR_926_1072",0.275657066921862
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.469344809518653
"Q8IUE0_IDR_1_55",0.530655190481347
"Q8IUE1_IDR_116_241",0.455195645605828
"Q8IUE1_IDR_1_55",0.544804354394172
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.28983197844208
"Q8IUG5_IDR_1_504",0.400140722728093
"Q8IUW5_IDR_126_223",0.25300197082871
"Q8IUW5_IDR_1_54",0.238189422987211
"Q8IUW5_IDR_234_271",0.256126280213649
"Q8IUW5_IDR_91_123",0.25268232597043
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.13463492541429
"Q8IUX7_IDR_1099_1138",0.131665715671416
"Q8IUX7_IDR_44_388",0.733699358914294
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.50201810230447
"Q8IUY3_IDR_182_321",0.49798189769553
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.449415093176682
"Q8IV04_IDR_352_446",0.550584906823318
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.494015766486513
"Q8IV31_IDR_62_184",0.505984233513487
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.235194951617972
"Q8IVE3_IDR_1453_1493",0.241054982345551
"Q8IVE3_IDR_36_69",0.250813711371052
"Q8IVE3_IDR_71_132",0.272936354665424
"Q8IVF1_IDR_14_81",0.195646895540116
"Q8IVF1_IDR_232_366",0.19095839964676
"Q8IVF1_IDR_407_522",0.20817600145559
"Q8IVF1_IDR_525_878",0.216644063778174
"Q8IVF1_IDR_83_205",0.18857463957936
"Q8IVF2_IDR_1_114",0.299655047934555
"Q8IVF2_IDR_1794_5795",0.325400125897383
"Q8IVF2_IDR_195_1792",0.374944826168062
"Q8IVF4_IDR_156_187",0.492588559681019
"Q8IVF4_IDR_1_66",0.507411440318981
"Q8IVF5_IDR_1017_1093",0.24931360954522
"Q8IVF5_IDR_1461_1667",0.258740943051873
"Q8IVF5_IDR_1_498",0.245315217048974
"Q8IVF5_IDR_749_804",0.246630230353933
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.352893416211976
"Q8IVW6_IDR_319_491",0.329327855366795
"Q8IVW6_IDR_516_561",0.317778728421229
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.320344222319321
"Q8IW35_IDR_575_628",0.362770001353619
"Q8IW35_IDR_633_854",0.316885776327061
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.486362803156431
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.419396386197007
"Q8IWE2_IDR_404_437",0.580603613802993
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.566261303515267
"Q8IWF9_IDR_234_348",0.433738696484733
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.180317389571056
"Q8IWI9_IDR_1340_1371",0.0981725608436108
"Q8IWI9_IDR_1398_1903",0.0899082273418148
"Q8IWI9_IDR_1905_2856",0.128932491985548
"Q8IWI9_IDR_261_649",0.105463709480131
"Q8IWI9_IDR_2974_3016",0.0952213210577456
"Q8IWI9_IDR_3020_3065",0.0946479070903047
"Q8IWI9_IDR_681_751",0.0983678546279791
"Q8IWI9_IDR_753_1079",0.10896853800181
"Q8IWJ2_IDR_1_69",0.357799858424617
"Q8IWT3_IDR_1658_1690",0.25051641646942
"Q8IWT3_IDR_2437_2517",0.257422651950528
"Q8IWT6_IDR_180_231",0.508240807278605
"Q8IWT6_IDR_62_95",0.491759192721395
"Q8IWU2_IDR_1_101",0.251194193880066
"Q8IWU2_IDR_1377_1415",0.249892579676033
"Q8IWU2_IDR_1426_1459",0.254013244667278
"Q8IWU2_IDR_557_1314",0.244899981776623
"Q8IWU5_IDR_1_40",0.21190838840643
"Q8IWU5_IDR_557_594",0.207027959950043
"Q8IWU5_IDR_648_718",0.359712190890303
"Q8IWU5_IDR_824_860",0.221351460753224
"Q8IWU6_IDR_1_37",0.148460314961252
"Q8IWU6_IDR_510_543",0.167684061693857
"Q8IWU6_IDR_561_610",0.152532198592239
"Q8IWU6_IDR_666_738",0.531323424752653
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.334463494227697
"Q8IWV1_IDR_178_270",0.32955978403681
"Q8IWV1_IDR_295_398",0.335976721735493
"Q8IX03_IDR_790_917",0.272405385091673
"Q8IX03_IDR_945_991",0.251554698267007
"Q8IX07_IDR_1_83",0.353819295850578
"Q8IX07_IDR_194_247",0.328078036685104
"Q8IX07_IDR_266_972",0.318102667464318
"Q8IX12_IDR_212_357",0.168477724564427
"Q8IX12_IDR_599_722",0.165645251986486
"Q8IX12_IDR_793_917",0.39557299458902
"Q8IX12_IDR_9_144",0.129949744049307
"Q8IX12_IDR_981_1021",0.140354284810761
"Q8IX15_IDR_125_364",0.253115635902662
"Q8IX15_IDR_1_38",0.242077571652049
"Q8IX15_IDR_420_461",0.25371398177353
"Q8IX15_IDR_504_550",0.251092810671759
"Q8IX18_IDR_1_50",0.435787380370738
"Q8IX18_IDR_706_779",0.564212619629262
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.468253340675546
"Q8IX29_IDR_239_292",0.531746659324454
"Q8IXP5_IDR_108_216",0.496402729269623
"Q8IXP5_IDR_1_106",0.503597270730377
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.533917910035929
"Q8IXQ8_IDR_211_264",0.466082089964071
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.330786081409247
"Q8IXT5_IDR_485_921",0.347614701752548
"Q8IXT5_IDR_89_151",0.321599216838205
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.320250875184535
"Q8IXW0_IDR_176_344",0.312326152177383
"Q8IXW0_IDR_466_587",0.367422972638082
"Q8IXW5_IDR_1_41",0.547356757902667
"Q8IXW5_IDR_171_324",0.452643242097333
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.455075392543952
"Q8IY63_IDR_493_952",0.544924607456048
"Q8IY67_IDR_1_35",0.516128522910383
"Q8IY67_IDR_349_606",0.483871477089617
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.485070818362948
"Q8IY84_IDR_7_44",0.514929181637052
"Q8IY85_IDR_375_441",0.468703259801333
"Q8IY85_IDR_77_146",0.531296740198667
"Q8IY92_IDR_1_50",0.132599873172304
"Q8IY92_IDR_377_470",0.332883822773916
"Q8IY92_IDR_558_613",0.128137274266412
"Q8IY92_IDR_630_669",0.136514139647937
"Q8IY92_IDR_64_289",0.143889963030878
"Q8IY92_IDR_824_1750",0.125974927108552
"Q8IYE1_IDR_684_715",0.419878743145688
"Q8IYF1_IDR_647_753",0.279771448159167
"Q8IYF1_IDR_79_458",0.720228551840833
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.332445500100002
"Q8IYH5_IDR_573_649",0.34685059988775
"Q8IYH5_IDR_714_786",0.320703900012249
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.466325772032715
"Q8IYI6_IDR_287_328",0.533674227967285
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245267460137055
"Q8IYJ0_IDR_112_175",0.246897757758202
"Q8IYJ0_IDR_204_238",0.259129567838811
"Q8IYJ0_IDR_240_282",0.248705214265933
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.487568979612717
"Q8IYK4_IDR_584_626",0.512431020387283
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.144885528262939
"Q8IYW2_IDR_1347_1410",0.25873402426678
"Q8IYW2_IDR_1985_2022",0.151663224311539
"Q8IYW2_IDR_2287_2320",0.151872772041685
"Q8IYW2_IDR_2540_2579",0.146385970562693
"Q8IYW2_IDR_2630_2661",0.146458480554365
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.492030953575313
"Q8IZ41_IDR_77_124",0.507969046424687
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.308505430096694
"Q8IZ63_IDR_360_422",0.38703282665559
"Q8IZ63_IDR_87_332",0.304461743247716
"Q8IZ69_IDR_1_56",0.507298327518261
"Q8IZ69_IDR_591_625",0.492701672481739
"Q8IZ73_IDR_31_122",0.658756114925636
"Q8IZ73_IDR_421_495",0.341243885074364
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.308062586280553
"Q8IZA0_IDR_201_244",0.287509085119738
"Q8IZA0_IDR_957_1015",0.404428328599709
"Q8IZA3_IDR_114_346",0.768127674833759
"Q8IZA3_IDR_1_50",0.231872325166241
"Q8IZC4_IDR_185_221",0.323113641995486
"Q8IZC4_IDR_409_445",0.256125129939211
"Q8IZC4_IDR_476_603",0.420761228065303
"Q8IZC6_IDR_1_36",0.493494975387802
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.524923850791053
"Q8IZJ3_IDR_1758_1835",0.475076149208947
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.543951463768797
"Q8IZL8_IDR_637_1130",0.456048536231203
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.516737780055043
"Q8IZN3_IDR_323_488",0.483262219944957
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.56240647816632
"Q8IZP6_IDR_97_147",0.43759352183368
"Q8IZP7_IDR_1_118",0.413688358730999
"Q8IZP7_IDR_426_459",0.586311641269001
"Q8IZP9_IDR_249_371",0.238398048474344
"Q8IZP9_IDR_39_74",0.246747212925255
"Q8IZU9_IDR_701_778",0.492033796139802
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.153832324411867
"Q8IZX4_IDR_1220_1400",0.162902459028514
"Q8IZX4_IDR_1644_1826",0.15057332208663
"Q8IZX4_IDR_268_354",0.217086899854108
"Q8IZX4_IDR_536_578",0.156515323639465
"Q8IZX4_IDR_82_235",0.159089670979415
"Q8IZY2_IDR_1152_1210",0.491226859632451
"Q8IZY2_IDR_2105_2146",0.50877314036755
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.480586000808857
"Q8N0S2_IDR_260_351",0.519413999191143
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.248570841120253
"Q8N0U7_IDR_267_299",0.245163369718301
"Q8N0U7_IDR_37_122",0.25530231494207
"Q8N0U7_IDR_391_467",0.250963474219376
"Q8N103_IDR_1_81",0.542624459734953
"Q8N103_IDR_283_731",0.457375540265047
"Q8N108_IDR_1_176",0.507628243529562
"Q8N108_IDR_344_512",0.492371756470438
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504891821296615
"Q8N114_IDR_203_240",0.495108178703385
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500223590284495
"Q8N122_IDR_820_949",0.499776409715505
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.48023698275469
"Q8N128_IDR_68_213",0.519763017245311
"Q8N129_IDR_1_32",0.43562179646655
"Q8N129_IDR_202_248",0.56437820353345
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.308627303951869
"Q8N137_IDR_442_797",0.310084891025389
