"","GO0004175_endopeptidase_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.332303708297085
"Q5VUJ6_IDR_1_54",0.489140669957134
"Q5VUJ6_IDR_308_649",0.510859330042866
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.502751593787678
"Q5VV16_IDR_235_409",0.497248406212322
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.506126304264949
"Q5VV42_IDR_499_545",0.493873695735051
"Q5VWN6_IDR_1918_1981",0.165101192483795
"Q5VWN6_IDR_1993_2150",0.1793080484871
"Q5VWN6_IDR_803_1879",0.155322596998554
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.345418759909379
"Q5VWQ0_IDR_63_351",0.325469507340619
"Q5VWQ0_IDR_708_802",0.329111732750002
"Q5VWQ8_IDR_1141_1189",0.332924487082634
"Q5VWQ8_IDR_1_142",0.356395016844255
"Q5VWQ8_IDR_654_1098",0.310680496073111
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.203281779866369
"Q5VZL5_IDR_1_334",0.201572040716985
"Q5VZL5_IDR_640_677",0.177895807519614
"Q5VZL5_IDR_851_997",0.20982734217609
"Q5VZL5_IDR_999_1200",0.207423029720942
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.164645385302538
"Q5VZP5_IDR_45_103",0.174724014915824
"Q5XX13_IDR_168_231",0.499137775652467
"Q5XX13_IDR_693_978",0.500862224347533
"Q5XXA6_IDR_1_48",0.341650894745135
"Q5XXA6_IDR_74_121",0.345557578032863
"Q5XXA6_IDR_945_986",0.312791527222002
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.512782875561803
"Q63HK3_IDR_383_743",0.487217124438197
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.303697065932553
"Q66K14_IDR_944_993",0.367879597925344
"Q66K41_IDR_1_291",0.502441761064626
"Q66K41_IDR_304_345",0.497558238935374
"Q66K64_IDR_1_37",0.525637292261127
"Q66K64_IDR_275_383",0.474362707738873
"Q66K66_IDR_241_349",0.479830195545888
"Q66K66_IDR_32_81",0.520169804454112
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.248837036289655
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.498684960785675
"Q8IU57_IDR_479_520",0.501315039214325
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.511917537103822
"Q8IU81_IDR_56_237",0.488082462896178
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.486618948079184
"Q8IUC6_IDR_634_673",0.513381051920816
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.222131038629208
"Q8IUD2_IDR_621_730",0.261198071578178
"Q8IUD2_IDR_764_839",0.257704887314454
"Q8IUD2_IDR_926_1072",0.258966002478161
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.502279399577206
"Q8IUE0_IDR_1_55",0.497720600422793
"Q8IUE1_IDR_116_241",0.5000641600987
"Q8IUE1_IDR_1_55",0.4999358399013
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.344700961988432
"Q8IUG5_IDR_1_504",0.346297452605579
"Q8IUW5_IDR_126_223",0.255085147339156
"Q8IUW5_IDR_1_54",0.227267998190151
"Q8IUW5_IDR_234_271",0.257877965524656
"Q8IUW5_IDR_91_123",0.259768888946037
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.329573620150446
"Q8IUX7_IDR_1099_1138",0.328387924497063
"Q8IUX7_IDR_44_388",0.342038455352491
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.479014280423115
"Q8IUY3_IDR_182_321",0.520985719576885
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.487302285335933
"Q8IV04_IDR_352_446",0.512697714664067
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.51389815018487
"Q8IV31_IDR_62_184",0.48610184981513
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.220866346350129
"Q8IVE3_IDR_1453_1493",0.259377077313679
"Q8IVE3_IDR_36_69",0.25896941079517
"Q8IVE3_IDR_71_132",0.260787165541022
"Q8IVF1_IDR_14_81",0.204244672737586
"Q8IVF1_IDR_232_366",0.198298216158759
"Q8IVF1_IDR_407_522",0.198958710576008
"Q8IVF1_IDR_525_878",0.19862916286173
"Q8IVF1_IDR_83_205",0.199869237665918
"Q8IVF2_IDR_1_114",0.336566568373324
"Q8IVF2_IDR_1794_5795",0.311356788417475
"Q8IVF2_IDR_195_1792",0.352076643209201
"Q8IVF4_IDR_156_187",0.50486104908002
"Q8IVF4_IDR_1_66",0.49513895091998
"Q8IVF5_IDR_1017_1093",0.262235588832169
"Q8IVF5_IDR_1461_1667",0.241820178927068
"Q8IVF5_IDR_1_498",0.241613460211575
"Q8IVF5_IDR_749_804",0.254330772029188
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.335307412162873
"Q8IVW6_IDR_319_491",0.334263939744119
"Q8IVW6_IDR_516_561",0.330428648093008
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.328146742097352
"Q8IW35_IDR_575_628",0.345860122684047
"Q8IW35_IDR_633_854",0.325993135218601
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.504640943933806
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.477889920693934
"Q8IWE2_IDR_404_437",0.522110079306066
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.482307956242838
"Q8IWF9_IDR_234_348",0.517692043757162
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.113956007783377
"Q8IWI9_IDR_1340_1371",0.113884240567468
"Q8IWI9_IDR_1398_1903",0.110212195909291
"Q8IWI9_IDR_1905_2856",0.105447358991132
"Q8IWI9_IDR_261_649",0.10861249160014
"Q8IWI9_IDR_2974_3016",0.115048528846812
"Q8IWI9_IDR_3020_3065",0.112629586209052
"Q8IWI9_IDR_681_751",0.113730654170679
"Q8IWI9_IDR_753_1079",0.106478935922048
"Q8IWJ2_IDR_1_69",0.330123575595074
"Q8IWT3_IDR_1658_1690",0.25044408507051
"Q8IWT3_IDR_2437_2517",0.246918383156879
"Q8IWT6_IDR_180_231",0.50024857847279
"Q8IWT6_IDR_62_95",0.49975142152721
"Q8IWU2_IDR_1_101",0.244088221984866
"Q8IWU2_IDR_1377_1415",0.25505446220728
"Q8IWU2_IDR_1426_1459",0.263483461559472
"Q8IWU2_IDR_557_1314",0.237373854248383
"Q8IWU5_IDR_1_40",0.321315790499027
"Q8IWU5_IDR_557_594",0.241289238462097
"Q8IWU5_IDR_648_718",0.216753757550334
"Q8IWU5_IDR_824_860",0.220641213488542
"Q8IWU6_IDR_1_37",0.278468967388857
"Q8IWU6_IDR_510_543",0.222975663121544
"Q8IWU6_IDR_561_610",0.251078109936231
"Q8IWU6_IDR_666_738",0.247477259553369
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.335415245048848
"Q8IWV1_IDR_178_270",0.329694619279292
"Q8IWV1_IDR_295_398",0.33489013567186
"Q8IX03_IDR_790_917",0.241489165242265
"Q8IX03_IDR_945_991",0.2586053325773
"Q8IX07_IDR_1_83",0.350247093494889
"Q8IX07_IDR_194_247",0.350382605367933
"Q8IX07_IDR_266_972",0.299370301137179
"Q8IX12_IDR_212_357",0.207921352094726
"Q8IX12_IDR_599_722",0.193061331858041
"Q8IX12_IDR_793_917",0.217216302205931
"Q8IX12_IDR_9_144",0.188755612345801
"Q8IX12_IDR_981_1021",0.193045401495501
"Q8IX15_IDR_125_364",0.247325722832964
"Q8IX15_IDR_1_38",0.250828542208615
"Q8IX15_IDR_420_461",0.2475417670541
"Q8IX15_IDR_504_550",0.254303967904321
"Q8IX18_IDR_1_50",0.502843420654533
"Q8IX18_IDR_706_779",0.497156579345467
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.502663383814088
"Q8IX29_IDR_239_292",0.497336616185912
"Q8IXP5_IDR_108_216",0.498325050949463
"Q8IXP5_IDR_1_106",0.501674949050537
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.497086711839141
"Q8IXQ8_IDR_211_264",0.502913288160859
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.349301079525134
"Q8IXT5_IDR_485_921",0.313875237797451
"Q8IXT5_IDR_89_151",0.336823682677415
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.339777876742666
"Q8IXW0_IDR_176_344",0.317756294487109
"Q8IXW0_IDR_466_587",0.342465828770225
"Q8IXW5_IDR_1_41",0.5118052283629
"Q8IXW5_IDR_171_324",0.4881947716371
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.507258591058716
"Q8IY63_IDR_493_952",0.492741408941284
"Q8IY67_IDR_1_35",0.528497508373718
"Q8IY67_IDR_349_606",0.471502491626282
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.505579862357938
"Q8IY84_IDR_7_44",0.494420137642062
"Q8IY85_IDR_375_441",0.488198603982159
"Q8IY85_IDR_77_146",0.511801396017841
"Q8IY92_IDR_1_50",0.168812571254156
"Q8IY92_IDR_377_470",0.157632914292906
"Q8IY92_IDR_558_613",0.172652708131612
"Q8IY92_IDR_630_669",0.170631031032455
"Q8IY92_IDR_64_289",0.160393166181192
"Q8IY92_IDR_824_1750",0.169877609107679
"Q8IYE1_IDR_684_715",0.519301692876742
"Q8IYF1_IDR_647_753",0.473640446073816
"Q8IYF1_IDR_79_458",0.526359553926184
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.313452454155226
"Q8IYH5_IDR_573_649",0.344806841830342
"Q8IYH5_IDR_714_786",0.341740704014431
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.502160001422195
"Q8IYI6_IDR_287_328",0.497839998577805
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239813653545715
"Q8IYJ0_IDR_112_175",0.253387813008476
"Q8IYJ0_IDR_204_238",0.249091329664261
"Q8IYJ0_IDR_240_282",0.257707203781549
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.58063062875714
"Q8IYK4_IDR_584_626",0.41936937124286
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.168321393015367
"Q8IYW2_IDR_1347_1410",0.164189208483188
"Q8IYW2_IDR_1985_2022",0.164424385971311
"Q8IYW2_IDR_2287_2320",0.168326630957514
"Q8IYW2_IDR_2540_2579",0.170722922474553
"Q8IYW2_IDR_2630_2661",0.164015459098067
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.483964853566283
"Q8IZ41_IDR_77_124",0.516035146433717
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.340435752663958
"Q8IZ63_IDR_360_422",0.344597942914404
"Q8IZ63_IDR_87_332",0.314966304421638
"Q8IZ69_IDR_1_56",0.498588875728166
"Q8IZ69_IDR_591_625",0.501411124271834
"Q8IZ73_IDR_31_122",0.508649742095829
"Q8IZ73_IDR_421_495",0.491350257904171
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.335149544122723
"Q8IZA0_IDR_201_244",0.331053806681066
"Q8IZA0_IDR_957_1015",0.333796649196212
"Q8IZA3_IDR_114_346",0.496967751545396
"Q8IZA3_IDR_1_50",0.503032248454604
"Q8IZC4_IDR_185_221",0.335388178348699
"Q8IZC4_IDR_409_445",0.337075974338939
"Q8IZC4_IDR_476_603",0.327535847312362
"Q8IZC6_IDR_1_36",0.502422653687733
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.507745702684298
"Q8IZJ3_IDR_1758_1835",0.492254297315702
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.51599582281695
"Q8IZL8_IDR_637_1130",0.48400417718305
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.509185083822541
"Q8IZN3_IDR_323_488",0.490814916177459
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.495818639468561
"Q8IZP6_IDR_97_147",0.504181360531439
"Q8IZP7_IDR_1_118",0.538297228945905
"Q8IZP7_IDR_426_459",0.461702771054095
"Q8IZP9_IDR_249_371",0.246992681763992
"Q8IZP9_IDR_39_74",0.254715463524497
"Q8IZU9_IDR_701_778",0.46781362134823
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163942473004959
"Q8IZX4_IDR_1220_1400",0.16995471369571
"Q8IZX4_IDR_1644_1826",0.164407697263876
"Q8IZX4_IDR_268_354",0.168565960189981
"Q8IZX4_IDR_536_578",0.170889269744282
"Q8IZX4_IDR_82_235",0.162239886101192
"Q8IZY2_IDR_1152_1210",0.480109337090733
"Q8IZY2_IDR_2105_2146",0.519890662909267
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.508370702105595
"Q8N0S2_IDR_260_351",0.491629297894405
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.250955084391884
"Q8N0U7_IDR_267_299",0.249880192182059
"Q8N0U7_IDR_37_122",0.248623827825051
"Q8N0U7_IDR_391_467",0.250540895601007
"Q8N103_IDR_1_81",0.513399611815453
"Q8N103_IDR_283_731",0.486600388184547
"Q8N108_IDR_1_176",0.515165345053428
"Q8N108_IDR_344_512",0.484834654946572
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.494719441164903
"Q8N114_IDR_203_240",0.505280558835097
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500570042802632
"Q8N122_IDR_820_949",0.499429957197368
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.509009198572163
"Q8N128_IDR_68_213",0.490990801427837
"Q8N129_IDR_1_32",0.509172885015657
"Q8N129_IDR_202_248",0.490827114984343
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.328598146646585
"Q8N137_IDR_442_797",0.334459136102149
