"","GO0010562_positive_regulation_of_phosphorus_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.33947161963191
"Q5VUJ6_IDR_1_54",0.505770055535992
"Q5VUJ6_IDR_308_649",0.494229944464008
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.481998739233938
"Q5VV16_IDR_235_409",0.518001260766062
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.503465868161893
"Q5VV42_IDR_499_545",0.496534131838107
"Q5VWN6_IDR_1918_1981",0.166874120332132
"Q5VWN6_IDR_1993_2150",0.184068781812137
"Q5VWN6_IDR_803_1879",0.168478338786196
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.359760671576974
"Q5VWQ0_IDR_63_351",0.303882447483262
"Q5VWQ0_IDR_708_802",0.336356880939764
"Q5VWQ8_IDR_1141_1189",0.337175561248021
"Q5VWQ8_IDR_1_142",0.327044790468763
"Q5VWQ8_IDR_654_1098",0.335779648283217
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199033488981837
"Q5VZL5_IDR_1_334",0.194007917733465
"Q5VZL5_IDR_640_677",0.204205936758238
"Q5VZL5_IDR_851_997",0.200714887036982
"Q5VZL5_IDR_999_1200",0.202037769489477
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.169980796206067
"Q5VZP5_IDR_45_103",0.16948520237737
"Q5XX13_IDR_168_231",0.503873490174825
"Q5XX13_IDR_693_978",0.496126509825175
"Q5XXA6_IDR_1_48",0.34235768547461
"Q5XXA6_IDR_74_121",0.331432474718997
"Q5XXA6_IDR_945_986",0.326209839806393
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.523542249023959
"Q63HK3_IDR_383_743",0.476457750976041
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.325992569059637
"Q66K14_IDR_944_993",0.342433947842941
"Q66K41_IDR_1_291",0.494737695535493
"Q66K41_IDR_304_345",0.505262304464507
"Q66K64_IDR_1_37",0.490561430924945
"Q66K64_IDR_275_383",0.509438569075055
"Q66K66_IDR_241_349",0.455755382821962
"Q66K66_IDR_32_81",0.544244617178038
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.253844559567527
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.522246827036446
"Q8IU57_IDR_479_520",0.477753172963554
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.507807820183957
"Q8IU81_IDR_56_237",0.492192179816043
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.505660429338029
"Q8IUC6_IDR_634_673",0.494339570661971
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.253265038758248
"Q8IUD2_IDR_621_730",0.25221280946312
"Q8IUD2_IDR_764_839",0.249239533287197
"Q8IUD2_IDR_926_1072",0.245282618491435
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.500622157453363
"Q8IUE0_IDR_1_55",0.499377842546637
"Q8IUE1_IDR_116_241",0.500159118284852
"Q8IUE1_IDR_1_55",0.499840881715148
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.333298611033826
"Q8IUG5_IDR_1_504",0.306326598955703
"Q8IUW5_IDR_126_223",0.244557340470175
"Q8IUW5_IDR_1_54",0.259573910369039
"Q8IUW5_IDR_234_271",0.24032868429943
"Q8IUW5_IDR_91_123",0.255540064861356
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.341640927334641
"Q8IUX7_IDR_1099_1138",0.343245544905242
"Q8IUX7_IDR_44_388",0.315113527760117
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.490991119425943
"Q8IUY3_IDR_182_321",0.509008880574057
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.502138844599157
"Q8IV04_IDR_352_446",0.497861155400843
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.499960930929716
"Q8IV31_IDR_62_184",0.500039069070284
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.252689667276579
"Q8IVE3_IDR_1453_1493",0.249176797420531
"Q8IVE3_IDR_36_69",0.251288631870568
"Q8IVE3_IDR_71_132",0.246844903432322
"Q8IVF1_IDR_14_81",0.204750985846784
"Q8IVF1_IDR_232_366",0.198552922839093
"Q8IVF1_IDR_407_522",0.190074937196069
"Q8IVF1_IDR_525_878",0.205744883607757
"Q8IVF1_IDR_83_205",0.200876270510297
"Q8IVF2_IDR_1_114",0.356836801843849
"Q8IVF2_IDR_1794_5795",0.317337701746903
"Q8IVF2_IDR_195_1792",0.325825496409248
"Q8IVF4_IDR_156_187",0.495137290761061
"Q8IVF4_IDR_1_66",0.504862709238939
"Q8IVF5_IDR_1017_1093",0.242081162918422
"Q8IVF5_IDR_1461_1667",0.22463138751744
"Q8IVF5_IDR_1_498",0.295351483343173
"Q8IVF5_IDR_749_804",0.237935966220965
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.322908519927988
"Q8IVW6_IDR_319_491",0.348780165803688
"Q8IVW6_IDR_516_561",0.328311314268324
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.325080869507262
"Q8IW35_IDR_575_628",0.332066642347324
"Q8IW35_IDR_633_854",0.342852488145414
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.506100039277004
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.495631886723277
"Q8IWE2_IDR_404_437",0.504368113276723
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.472495005754571
"Q8IWF9_IDR_234_348",0.527504994245429
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.121813038012389
"Q8IWI9_IDR_1340_1371",0.111196924426246
"Q8IWI9_IDR_1398_1903",0.113124329410832
"Q8IWI9_IDR_1905_2856",0.101346377787224
"Q8IWI9_IDR_261_649",0.105886870795093
"Q8IWI9_IDR_2974_3016",0.112907641070882
"Q8IWI9_IDR_3020_3065",0.107524905551148
"Q8IWI9_IDR_681_751",0.116263620814517
"Q8IWI9_IDR_753_1079",0.109936292131668
"Q8IWJ2_IDR_1_69",0.319221700648676
"Q8IWT3_IDR_1658_1690",0.250869320212575
"Q8IWT3_IDR_2437_2517",0.270604081369361
"Q8IWT6_IDR_180_231",0.492919267398984
"Q8IWT6_IDR_62_95",0.507080732601016
"Q8IWU2_IDR_1_101",0.232793807908091
"Q8IWU2_IDR_1377_1415",0.26327200330731
"Q8IWU2_IDR_1426_1459",0.256794268769141
"Q8IWU2_IDR_557_1314",0.247139920015458
"Q8IWU5_IDR_1_40",0.269005818123241
"Q8IWU5_IDR_557_594",0.251231113305842
"Q8IWU5_IDR_648_718",0.231022590946964
"Q8IWU5_IDR_824_860",0.248740477623953
"Q8IWU6_IDR_1_37",0.26026132256157
"Q8IWU6_IDR_510_543",0.251131161942662
"Q8IWU6_IDR_561_610",0.253942184000501
"Q8IWU6_IDR_666_738",0.234665331495266
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.323365230170545
"Q8IWV1_IDR_178_270",0.347920007561363
"Q8IWV1_IDR_295_398",0.328714762268092
"Q8IX03_IDR_790_917",0.239539353499113
"Q8IX03_IDR_945_991",0.246942169376882
"Q8IX07_IDR_1_83",0.320874245836029
"Q8IX07_IDR_194_247",0.310566198734503
"Q8IX07_IDR_266_972",0.368559555429468
"Q8IX12_IDR_212_357",0.219826064489885
"Q8IX12_IDR_599_722",0.195263293736474
"Q8IX12_IDR_793_917",0.182908497381395
"Q8IX12_IDR_9_144",0.203223686476067
"Q8IX12_IDR_981_1021",0.198778457916179
"Q8IX15_IDR_125_364",0.244542532292678
"Q8IX15_IDR_1_38",0.251228792787055
"Q8IX15_IDR_420_461",0.245819888041622
"Q8IX15_IDR_504_550",0.258408786878645
"Q8IX18_IDR_1_50",0.504765737407469
"Q8IX18_IDR_706_779",0.495234262592531
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.499496322414976
"Q8IX29_IDR_239_292",0.500503677585024
"Q8IXP5_IDR_108_216",0.496495303768887
"Q8IXP5_IDR_1_106",0.503504696231113
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.487718896413306
"Q8IXQ8_IDR_211_264",0.512281103586694
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.341016692379226
"Q8IXT5_IDR_485_921",0.331617838146987
"Q8IXT5_IDR_89_151",0.327365469473787
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.32981797048989
"Q8IXW0_IDR_176_344",0.333800818118301
"Q8IXW0_IDR_466_587",0.336381211391809
"Q8IXW5_IDR_1_41",0.506257054423621
"Q8IXW5_IDR_171_324",0.493742945576379
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.496198276159423
"Q8IY63_IDR_493_952",0.503801723840577
"Q8IY67_IDR_1_35",0.411504623772918
"Q8IY67_IDR_349_606",0.588495376227082
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.499259896032772
"Q8IY84_IDR_7_44",0.500740103967228
"Q8IY85_IDR_375_441",0.487738422190929
"Q8IY85_IDR_77_146",0.512261577809071
"Q8IY92_IDR_1_50",0.166612173826446
"Q8IY92_IDR_377_470",0.154779118040995
"Q8IY92_IDR_558_613",0.17062471619359
"Q8IY92_IDR_630_669",0.168217669463354
"Q8IY92_IDR_64_289",0.156753729410866
"Q8IY92_IDR_824_1750",0.183012593064749
"Q8IYE1_IDR_684_715",0.528456714784501
"Q8IYF1_IDR_647_753",0.512413344108357
"Q8IYF1_IDR_79_458",0.487586655891643
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.326775930561384
"Q8IYH5_IDR_573_649",0.336749307363024
"Q8IYH5_IDR_714_786",0.336474762075592
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.504689095933214
"Q8IYI6_IDR_287_328",0.495310904066786
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244640884747744
"Q8IYJ0_IDR_112_175",0.255298650031708
"Q8IYJ0_IDR_204_238",0.245273732571843
"Q8IYJ0_IDR_240_282",0.254786732648705
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.525314647040456
"Q8IYK4_IDR_584_626",0.474685352959544
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.170955112387746
"Q8IYW2_IDR_1347_1410",0.154744468425685
"Q8IYW2_IDR_1985_2022",0.166161974699733
"Q8IYW2_IDR_2287_2320",0.165875897866942
"Q8IYW2_IDR_2540_2579",0.17413819345084
"Q8IYW2_IDR_2630_2661",0.168124353169055
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.497615130220737
"Q8IZ41_IDR_77_124",0.502384869779263
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.31590706591449
"Q8IZ63_IDR_360_422",0.295847922632177
"Q8IZ63_IDR_87_332",0.388245011453333
"Q8IZ69_IDR_1_56",0.499882696455311
"Q8IZ69_IDR_591_625",0.500117303544689
"Q8IZ73_IDR_31_122",0.505207170958221
"Q8IZ73_IDR_421_495",0.494792829041779
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.33710560176805
"Q8IZA0_IDR_201_244",0.332497607708315
"Q8IZA0_IDR_957_1015",0.330396790523636
"Q8IZA3_IDR_114_346",0.474072686603534
"Q8IZA3_IDR_1_50",0.525927313396466
"Q8IZC4_IDR_185_221",0.337963593425043
"Q8IZC4_IDR_409_445",0.343456223205588
"Q8IZC4_IDR_476_603",0.318580183369369
"Q8IZC6_IDR_1_36",0.517292654224421
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.504908504763008
"Q8IZJ3_IDR_1758_1835",0.495091495236992
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.4828749869092
"Q8IZL8_IDR_637_1130",0.5171250130908
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.529823201942087
"Q8IZN3_IDR_323_488",0.470176798057913
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.492448199812667
"Q8IZP6_IDR_97_147",0.507551800187333
"Q8IZP7_IDR_1_118",0.533282465466465
"Q8IZP7_IDR_426_459",0.466717534533535
"Q8IZP9_IDR_249_371",0.253646881988527
"Q8IZP9_IDR_39_74",0.254172008928364
"Q8IZU9_IDR_701_778",0.499642549674493
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166808096460414
"Q8IZX4_IDR_1220_1400",0.173076529957351
"Q8IZX4_IDR_1644_1826",0.183670266186801
"Q8IZX4_IDR_268_354",0.164026313208294
"Q8IZX4_IDR_536_578",0.148080811552689
"Q8IZX4_IDR_82_235",0.164337982634451
"Q8IZY2_IDR_1152_1210",0.501943832532263
"Q8IZY2_IDR_2105_2146",0.498056167467737
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.515815868618738
"Q8N0S2_IDR_260_351",0.484184131381262
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.267600980690148
"Q8N0U7_IDR_267_299",0.249012122470618
"Q8N0U7_IDR_37_122",0.238046938999517
"Q8N0U7_IDR_391_467",0.245339957839716
"Q8N103_IDR_1_81",0.492545669660982
"Q8N103_IDR_283_731",0.507454330339018
"Q8N108_IDR_1_176",0.547624479325617
"Q8N108_IDR_344_512",0.452375520674383
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.494235216260452
"Q8N114_IDR_203_240",0.505764783739548
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.502633922053764
"Q8N122_IDR_820_949",0.497366077946235
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.494213502646805
"Q8N128_IDR_68_213",0.505786497353195
"Q8N129_IDR_1_32",0.5257771569368
"Q8N129_IDR_202_248",0.4742228430632
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.351454548870154
