"","GO0097659_nucleic_acid_templated_transcription"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.282116618913157
"Q5VUJ6_IDR_1_54",0.499154924074691
"Q5VUJ6_IDR_308_649",0.500845075925309
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.431232372178055
"Q5VV16_IDR_235_409",0.568767627821945
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.397892668508409
"Q5VV42_IDR_499_545",0.602107331491591
"Q5VWN6_IDR_1918_1981",0.167219829498246
"Q5VWN6_IDR_1993_2150",0.183530148675785
"Q5VWN6_IDR_803_1879",0.151008803660947
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.159052474147176
"Q5VWQ0_IDR_63_351",0.551545878384101
"Q5VWQ0_IDR_708_802",0.289401647468722
"Q5VWQ8_IDR_1141_1189",0.354192015992005
"Q5VWQ8_IDR_1_142",0.318980935106169
"Q5VWQ8_IDR_654_1098",0.326827048901826
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.227429640719822
"Q5VZL5_IDR_1_334",0.254406981994068
"Q5VZL5_IDR_640_677",0.173865192397365
"Q5VZL5_IDR_851_997",0.179279181105561
"Q5VZL5_IDR_999_1200",0.165019003783184
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.182483096560734
"Q5VZP5_IDR_45_103",0.186401774123138
"Q5XX13_IDR_168_231",0.420782583866823
"Q5XX13_IDR_693_978",0.579217416133177
"Q5XXA6_IDR_1_48",0.237699104126794
"Q5XXA6_IDR_74_121",0.484807703549416
"Q5XXA6_IDR_945_986",0.27749319232379
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.542778930005607
"Q63HK3_IDR_383_743",0.457221069994393
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.340397342848794
"Q66K14_IDR_944_993",0.317203164584077
"Q66K41_IDR_1_291",0.518477270673297
"Q66K41_IDR_304_345",0.481522729326703
"Q66K64_IDR_1_37",0.517723517002363
"Q66K64_IDR_275_383",0.482276482997637
"Q66K66_IDR_241_349",0.734540536514719
"Q66K66_IDR_32_81",0.265459463485281
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.222416520943896
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.535758726659662
"Q8IU57_IDR_479_520",0.464241273340338
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.504882137701078
"Q8IU81_IDR_56_237",0.495117862298922
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.512931447733485
"Q8IUC6_IDR_634_673",0.487068552266515
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.253539330737493
"Q8IUD2_IDR_621_730",0.202101990927581
"Q8IUD2_IDR_764_839",0.209072131787234
"Q8IUD2_IDR_926_1072",0.335286546547692
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.517325522296832
"Q8IUE0_IDR_1_55",0.482674477703168
"Q8IUE1_IDR_116_241",0.516789721360817
"Q8IUE1_IDR_1_55",0.483210278639183
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.339297465952556
"Q8IUG5_IDR_1_504",0.348805472617242
"Q8IUW5_IDR_126_223",0.272756938538145
"Q8IUW5_IDR_1_54",0.268941464562776
"Q8IUW5_IDR_234_271",0.237693594600067
"Q8IUW5_IDR_91_123",0.220608002299012
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.308864195670119
"Q8IUX7_IDR_1099_1138",0.394924621265213
"Q8IUX7_IDR_44_388",0.296211183064668
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.599512575605381
"Q8IUY3_IDR_182_321",0.400487424394619
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.514313674467037
"Q8IV04_IDR_352_446",0.485686325532963
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.47196839300479
"Q8IV31_IDR_62_184",0.52803160699521
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.249341510665776
"Q8IVE3_IDR_1453_1493",0.289739443247489
"Q8IVE3_IDR_36_69",0.239750233808984
"Q8IVE3_IDR_71_132",0.221168812277751
"Q8IVF1_IDR_14_81",0.194722236812358
"Q8IVF1_IDR_232_366",0.181309987133926
"Q8IVF1_IDR_407_522",0.205608172061124
"Q8IVF1_IDR_525_878",0.213361594491117
"Q8IVF1_IDR_83_205",0.204998009501475
"Q8IVF2_IDR_1_114",0.254786072680087
"Q8IVF2_IDR_1794_5795",0.400664722386414
"Q8IVF2_IDR_195_1792",0.344549204933499
"Q8IVF4_IDR_156_187",0.536888860633246
"Q8IVF4_IDR_1_66",0.463111139366754
"Q8IVF5_IDR_1017_1093",0.216420925176169
"Q8IVF5_IDR_1461_1667",0.263743903397539
"Q8IVF5_IDR_1_498",0.331135731227827
"Q8IVF5_IDR_749_804",0.188699440198464
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.307049551176865
"Q8IVW6_IDR_319_491",0.327126393547335
"Q8IVW6_IDR_516_561",0.365824055275799
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.420307210228787
"Q8IW35_IDR_575_628",0.297692896641591
"Q8IW35_IDR_633_854",0.281999893129623
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.522952567406902
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.547317555795254
"Q8IWE2_IDR_404_437",0.452682444204746
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.483613337665521
"Q8IWF9_IDR_234_348",0.516386662334479
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.107511294192443
"Q8IWI9_IDR_1340_1371",0.105301637545208
"Q8IWI9_IDR_1398_1903",0.107935902767207
"Q8IWI9_IDR_1905_2856",0.123685573359918
"Q8IWI9_IDR_261_649",0.154791099458565
"Q8IWI9_IDR_2974_3016",0.101997820166455
"Q8IWI9_IDR_3020_3065",0.11395418941339
"Q8IWI9_IDR_681_751",0.102750152393286
"Q8IWI9_IDR_753_1079",0.0820723307035282
"Q8IWJ2_IDR_1_69",0.26033072448357
"Q8IWT3_IDR_1658_1690",0.219616044363995
"Q8IWT3_IDR_2437_2517",0.199557162698528
"Q8IWT6_IDR_180_231",0.48068791616848
"Q8IWT6_IDR_62_95",0.51931208383152
"Q8IWU2_IDR_1_101",0.251545979988486
"Q8IWU2_IDR_1377_1415",0.274759484839297
"Q8IWU2_IDR_1426_1459",0.228204151507271
"Q8IWU2_IDR_557_1314",0.245490383664945
"Q8IWU5_IDR_1_40",0.22538736162029
"Q8IWU5_IDR_557_594",0.242278560221204
"Q8IWU5_IDR_648_718",0.224708823086158
"Q8IWU5_IDR_824_860",0.307625255072348
"Q8IWU6_IDR_1_37",0.245774977286904
"Q8IWU6_IDR_510_543",0.2817172631551
"Q8IWU6_IDR_561_610",0.25744020283984
"Q8IWU6_IDR_666_738",0.215067556718155
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.296952225737247
"Q8IWV1_IDR_178_270",0.310476242399751
"Q8IWV1_IDR_295_398",0.392571531863003
"Q8IX03_IDR_790_917",0.229555576787285
"Q8IX03_IDR_945_991",0.267413546482997
"Q8IX07_IDR_1_83",0.169154629035821
"Q8IX07_IDR_194_247",0.191086668491078
"Q8IX07_IDR_266_972",0.639758702473101
"Q8IX12_IDR_212_357",0.126533651578828
"Q8IX12_IDR_599_722",0.169949523466452
"Q8IX12_IDR_793_917",0.175204332082257
"Q8IX12_IDR_9_144",0.341844209453641
"Q8IX12_IDR_981_1021",0.186468283418821
"Q8IX15_IDR_125_364",0.380731029408979
"Q8IX15_IDR_1_38",0.21766962250903
"Q8IX15_IDR_420_461",0.208344123175228
"Q8IX15_IDR_504_550",0.193255224906763
"Q8IX18_IDR_1_50",0.514991999343585
"Q8IX18_IDR_706_779",0.485008000656415
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.539636261059737
"Q8IX29_IDR_239_292",0.460363738940263
"Q8IXP5_IDR_108_216",0.552922847208759
"Q8IXP5_IDR_1_106",0.447077152791241
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.432987281675502
"Q8IXQ8_IDR_211_264",0.567012718324498
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.311516231113695
"Q8IXT5_IDR_485_921",0.365846155025352
"Q8IXT5_IDR_89_151",0.322637613860953
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.33504054805138
"Q8IXW0_IDR_176_344",0.357486996472903
"Q8IXW0_IDR_466_587",0.307472455475718
"Q8IXW5_IDR_1_41",0.496686501793534
"Q8IXW5_IDR_171_324",0.503313498206466
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.576542225256579
"Q8IY63_IDR_493_952",0.423457774743421
"Q8IY67_IDR_1_35",0.442954796824182
"Q8IY67_IDR_349_606",0.557045203175818
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.520351914556814
"Q8IY84_IDR_7_44",0.479648085443185
"Q8IY85_IDR_375_441",0.463777680610425
"Q8IY85_IDR_77_146",0.536222319389575
"Q8IY92_IDR_1_50",0.176034350227544
"Q8IY92_IDR_377_470",0.143012342278814
"Q8IY92_IDR_558_613",0.173467521512476
"Q8IY92_IDR_630_669",0.165779836779038
"Q8IY92_IDR_64_289",0.146584721125355
"Q8IY92_IDR_824_1750",0.195121228076774
"Q8IYE1_IDR_684_715",0.556187073981109
"Q8IYF1_IDR_647_753",0.413067697253005
"Q8IYF1_IDR_79_458",0.586932302746995
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.350276792012423
"Q8IYH5_IDR_573_649",0.323714960856751
"Q8IYH5_IDR_714_786",0.326008247130826
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.521631708348183
"Q8IYI6_IDR_287_328",0.478368291651817
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.243461143924371
"Q8IYJ0_IDR_112_175",0.242084728405943
"Q8IYJ0_IDR_204_238",0.242185699738784
"Q8IYJ0_IDR_240_282",0.272268427930902
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.450950222278848
"Q8IYK4_IDR_584_626",0.549049777721152
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.18261641706834
"Q8IYW2_IDR_1347_1410",0.156532898961482
"Q8IYW2_IDR_1985_2022",0.159799195463575
"Q8IYW2_IDR_2287_2320",0.162362287863143
"Q8IYW2_IDR_2540_2579",0.158998366101596
"Q8IYW2_IDR_2630_2661",0.179690834541863
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.480232533078511
"Q8IZ41_IDR_77_124",0.519767466921489
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.324192051901749
"Q8IZ63_IDR_360_422",0.314569320045357
"Q8IZ63_IDR_87_332",0.361238628052894
"Q8IZ69_IDR_1_56",0.468527759670962
"Q8IZ69_IDR_591_625",0.531472240329038
"Q8IZ73_IDR_31_122",0.447099162173662
"Q8IZ73_IDR_421_495",0.552900837826338
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.337935735035928
"Q8IZA0_IDR_201_244",0.357754350394741
"Q8IZA0_IDR_957_1015",0.304309914569331
"Q8IZA3_IDR_114_346",0.46337644772585
"Q8IZA3_IDR_1_50",0.53662355227415
"Q8IZC4_IDR_185_221",0.317978929780969
"Q8IZC4_IDR_409_445",0.32348947150793
"Q8IZC4_IDR_476_603",0.358531598711101
"Q8IZC6_IDR_1_36",0.468051993916271
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.501722543235993
"Q8IZJ3_IDR_1758_1835",0.498277456764008
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.460311612254563
"Q8IZL8_IDR_637_1130",0.539688387745437
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.343415920252945
"Q8IZN3_IDR_323_488",0.656584079747055
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.50494864893548
"Q8IZP6_IDR_97_147",0.49505135106452
"Q8IZP7_IDR_1_118",0.515752223186593
"Q8IZP7_IDR_426_459",0.484247776813407
"Q8IZP9_IDR_249_371",0.285889804237697
"Q8IZP9_IDR_39_74",0.254773061491633
"Q8IZU9_IDR_701_778",0.357418316661135
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.15739124831204
"Q8IZX4_IDR_1220_1400",0.158454154882016
"Q8IZX4_IDR_1644_1826",0.157430300420882
"Q8IZX4_IDR_268_354",0.147159491276783
"Q8IZX4_IDR_536_578",0.2344001291842
"Q8IZX4_IDR_82_235",0.145164675924079
"Q8IZY2_IDR_1152_1210",0.518920971841239
"Q8IZY2_IDR_2105_2146",0.481079028158761
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.452115078631501
"Q8N0S2_IDR_260_351",0.547884921368499
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.226004519296902
"Q8N0U7_IDR_267_299",0.227862187777423
"Q8N0U7_IDR_37_122",0.298843838889827
"Q8N0U7_IDR_391_467",0.247289454035849
"Q8N103_IDR_1_81",0.486107359960658
"Q8N103_IDR_283_731",0.513892640039342
"Q8N108_IDR_1_176",0.341225830424039
"Q8N108_IDR_344_512",0.658774169575961
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.501937452540277
"Q8N114_IDR_203_240",0.498062547459723
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.431184021304116
"Q8N122_IDR_820_949",0.568815978695884
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.424850772444989
"Q8N128_IDR_68_213",0.575149227555011
"Q8N129_IDR_1_32",0.457179498634437
"Q8N129_IDR_202_248",0.542820501365563
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.291787562451183
