"","GO0018130_heterocycle_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.287914993807127
"Q5VUJ6_IDR_1_54",0.49509076447095
"Q5VUJ6_IDR_308_649",0.50490923552905
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.445852824781518
"Q5VV16_IDR_235_409",0.554147175218482
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.417005276202716
"Q5VV42_IDR_499_545",0.582994723797284
"Q5VWN6_IDR_1918_1981",0.16691177037214
"Q5VWN6_IDR_1993_2150",0.183441534917032
"Q5VWN6_IDR_803_1879",0.146658494180955
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.175965058053274
"Q5VWQ0_IDR_63_351",0.542348566530129
"Q5VWQ0_IDR_708_802",0.281686375416597
"Q5VWQ8_IDR_1141_1189",0.356191639960248
"Q5VWQ8_IDR_1_142",0.321573549392267
"Q5VWQ8_IDR_654_1098",0.322234810647485
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.220963257524119
"Q5VZL5_IDR_1_334",0.247250174546598
"Q5VZL5_IDR_640_677",0.175149432622881
"Q5VZL5_IDR_851_997",0.183076137075764
"Q5VZL5_IDR_999_1200",0.173560998230638
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.176299802292924
"Q5VZP5_IDR_45_103",0.184824695950694
"Q5XX13_IDR_168_231",0.429198728657792
"Q5XX13_IDR_693_978",0.570801271342208
"Q5XXA6_IDR_1_48",0.248144329273954
"Q5XXA6_IDR_74_121",0.470364690089567
"Q5XXA6_IDR_945_986",0.281490980636478
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.532611491292844
"Q63HK3_IDR_383_743",0.467388508707156
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.335739888493509
"Q66K14_IDR_944_993",0.324296556433405
"Q66K41_IDR_1_291",0.526593219541586
"Q66K41_IDR_304_345",0.473406780458414
"Q66K64_IDR_1_37",0.518407885956306
"Q66K64_IDR_275_383",0.481592114043695
"Q66K66_IDR_241_349",0.72069063208625
"Q66K66_IDR_32_81",0.27930936791375
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.227299754028719
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.53029062115079
"Q8IU57_IDR_479_520",0.46970937884921
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.48885801263024
"Q8IU81_IDR_56_237",0.51114198736976
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.511000044026965
"Q8IUC6_IDR_634_673",0.488999955973035
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.250284399724583
"Q8IUD2_IDR_621_730",0.211210172724503
"Q8IUD2_IDR_764_839",0.216431961068487
"Q8IUD2_IDR_926_1072",0.322073466482427
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.512280746232218
"Q8IUE0_IDR_1_55",0.487719253767782
"Q8IUE1_IDR_116_241",0.510926425610577
"Q8IUE1_IDR_1_55",0.489073574389423
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.334883986442444
"Q8IUG5_IDR_1_504",0.357429350104626
"Q8IUW5_IDR_126_223",0.273732895200571
"Q8IUW5_IDR_1_54",0.263878956195605
"Q8IUW5_IDR_234_271",0.241269302754595
"Q8IUW5_IDR_91_123",0.221118845849229
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.319224582485656
"Q8IUX7_IDR_1099_1138",0.369160945830929
"Q8IUX7_IDR_44_388",0.311614471683415
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.583630796393454
"Q8IUY3_IDR_182_321",0.416369203606546
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.503973104264541
"Q8IV04_IDR_352_446",0.496026895735459
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.474298465356944
"Q8IV31_IDR_62_184",0.525701534643056
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.245159188671683
"Q8IVE3_IDR_1453_1493",0.282004191969505
"Q8IVE3_IDR_36_69",0.242517209979333
"Q8IVE3_IDR_71_132",0.230319409379479
"Q8IVF1_IDR_14_81",0.193973732048275
"Q8IVF1_IDR_232_366",0.184688609102712
"Q8IVF1_IDR_407_522",0.203869429423293
"Q8IVF1_IDR_525_878",0.214051440933415
"Q8IVF1_IDR_83_205",0.203416788492305
"Q8IVF2_IDR_1_114",0.264277245965103
"Q8IVF2_IDR_1794_5795",0.386667416727002
"Q8IVF2_IDR_195_1792",0.349055337307895
"Q8IVF4_IDR_156_187",0.529546753694359
"Q8IVF4_IDR_1_66",0.470453246305641
"Q8IVF5_IDR_1017_1093",0.2210401877203
"Q8IVF5_IDR_1461_1667",0.263390675687003
"Q8IVF5_IDR_1_498",0.317813705466992
"Q8IVF5_IDR_749_804",0.197755431125705
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.312454166611724
"Q8IVW6_IDR_319_491",0.338223673160081
"Q8IVW6_IDR_516_561",0.349322160228194
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.402031604865451
"Q8IW35_IDR_575_628",0.313373381245732
"Q8IW35_IDR_633_854",0.284595013888817
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.52234818199377
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.53276711506714
"Q8IWE2_IDR_404_437",0.467232884932859
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.490671396939634
"Q8IWF9_IDR_234_348",0.509328603060366
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.112881855462065
"Q8IWI9_IDR_1340_1371",0.104977103756792
"Q8IWI9_IDR_1398_1903",0.108574884159434
"Q8IWI9_IDR_1905_2856",0.123145875069085
"Q8IWI9_IDR_261_649",0.149622713687233
"Q8IWI9_IDR_2974_3016",0.10225409505238
"Q8IWI9_IDR_3020_3065",0.109565157802962
"Q8IWI9_IDR_681_751",0.103428509898192
"Q8IWI9_IDR_753_1079",0.0855498051118578
"Q8IWJ2_IDR_1_69",0.277444062811251
"Q8IWT3_IDR_1658_1690",0.225971146826363
"Q8IWT3_IDR_2437_2517",0.204792826154385
"Q8IWT6_IDR_180_231",0.485187427885347
"Q8IWT6_IDR_62_95",0.514812572114653
"Q8IWU2_IDR_1_101",0.254550973345776
"Q8IWU2_IDR_1377_1415",0.267660645411518
"Q8IWU2_IDR_1426_1459",0.236142063022426
"Q8IWU2_IDR_557_1314",0.24164631822028
"Q8IWU5_IDR_1_40",0.228963144626081
"Q8IWU5_IDR_557_594",0.237857884148529
"Q8IWU5_IDR_648_718",0.237153587181487
"Q8IWU5_IDR_824_860",0.296025384043904
"Q8IWU6_IDR_1_37",0.243371777587669
"Q8IWU6_IDR_510_543",0.277257251098526
"Q8IWU6_IDR_561_610",0.250452899632107
"Q8IWU6_IDR_666_738",0.228918071681699
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.30626439521049
"Q8IWV1_IDR_178_270",0.315467684083211
"Q8IWV1_IDR_295_398",0.3782679207063
"Q8IX03_IDR_790_917",0.236773979265945
"Q8IX03_IDR_945_991",0.266594688304531
"Q8IX07_IDR_1_83",0.19548814593357
"Q8IX07_IDR_194_247",0.212300892465043
"Q8IX07_IDR_266_972",0.592210961601387
"Q8IX12_IDR_212_357",0.139454054632338
"Q8IX12_IDR_599_722",0.176040604558841
"Q8IX12_IDR_793_917",0.186955554389687
"Q8IX12_IDR_9_144",0.310430506592264
"Q8IX12_IDR_981_1021",0.187119279826869
"Q8IX15_IDR_125_364",0.363955712275504
"Q8IX15_IDR_1_38",0.222186463138068
"Q8IX15_IDR_420_461",0.214221896163183
"Q8IX15_IDR_504_550",0.199635928423245
"Q8IX18_IDR_1_50",0.505170874687523
"Q8IX18_IDR_706_779",0.494829125312477
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.532531077213042
"Q8IX29_IDR_239_292",0.467468922786958
"Q8IXP5_IDR_108_216",0.537175277382404
"Q8IXP5_IDR_1_106",0.462824722617596
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.453733950157526
"Q8IXQ8_IDR_211_264",0.546266049842474
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.322101051698742
"Q8IXT5_IDR_485_921",0.363314486784126
"Q8IXT5_IDR_89_151",0.314584461517132
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.3347912681559
"Q8IXW0_IDR_176_344",0.345661733754798
"Q8IXW0_IDR_466_587",0.319546998089302
"Q8IXW5_IDR_1_41",0.505655369923333
"Q8IXW5_IDR_171_324",0.494344630076667
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.552272083121547
"Q8IY63_IDR_493_952",0.447727916878453
"Q8IY67_IDR_1_35",0.457926477767028
"Q8IY67_IDR_349_606",0.542073522232972
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.516071373507832
"Q8IY84_IDR_7_44",0.483928626492168
"Q8IY85_IDR_375_441",0.465589256745044
"Q8IY85_IDR_77_146",0.534410743254956
"Q8IY92_IDR_1_50",0.173425409288021
"Q8IY92_IDR_377_470",0.151548036795631
"Q8IY92_IDR_558_613",0.172181212344312
"Q8IY92_IDR_630_669",0.162868997869809
"Q8IY92_IDR_64_289",0.149665284949521
"Q8IY92_IDR_824_1750",0.190311058752705
"Q8IYE1_IDR_684_715",0.532837896713047
"Q8IYF1_IDR_647_753",0.417143822686488
"Q8IYF1_IDR_79_458",0.582856177313512
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.348736004612594
"Q8IYH5_IDR_573_649",0.327943605777951
"Q8IYH5_IDR_714_786",0.323320389609454
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.50859733602859
"Q8IYI6_IDR_287_328",0.49140266397141
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245407577062523
"Q8IYJ0_IDR_112_175",0.243489257156537
"Q8IYJ0_IDR_204_238",0.24465260884867
"Q8IYJ0_IDR_240_282",0.26645055693227
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.457817925297762
"Q8IYK4_IDR_584_626",0.542182074702238
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.177060707665025
"Q8IYW2_IDR_1347_1410",0.165402661428053
"Q8IYW2_IDR_1985_2022",0.160088999362
"Q8IYW2_IDR_2287_2320",0.163471876118248
"Q8IYW2_IDR_2540_2579",0.158288913106889
"Q8IYW2_IDR_2630_2661",0.175686842319784
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.477601972087028
"Q8IZ41_IDR_77_124",0.522398027912972
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326431673343623
"Q8IZ63_IDR_360_422",0.32361856154631
"Q8IZ63_IDR_87_332",0.349949765110067
"Q8IZ69_IDR_1_56",0.471303924787206
"Q8IZ69_IDR_591_625",0.528696075212794
"Q8IZ73_IDR_31_122",0.460626364670815
"Q8IZ73_IDR_421_495",0.539373635329185
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.340094318196509
"Q8IZA0_IDR_201_244",0.351411029317861
"Q8IZA0_IDR_957_1015",0.308494652485629
"Q8IZA3_IDR_114_346",0.480076510227243
"Q8IZA3_IDR_1_50",0.519923489772757
"Q8IZC4_IDR_185_221",0.317640480784406
"Q8IZC4_IDR_409_445",0.31972979510047
"Q8IZC4_IDR_476_603",0.362629724115124
"Q8IZC6_IDR_1_36",0.475856828160793
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.509280886685014
"Q8IZJ3_IDR_1758_1835",0.490719113314986
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.463717256096541
"Q8IZL8_IDR_637_1130",0.536282743903459
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.367309659825505
"Q8IZN3_IDR_323_488",0.632690340174495
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.505508637397862
"Q8IZP6_IDR_97_147",0.494491362602138
"Q8IZP7_IDR_1_118",0.504431507880505
"Q8IZP7_IDR_426_459",0.495568492119495
"Q8IZP9_IDR_249_371",0.278102752160019
"Q8IZP9_IDR_39_74",0.252396205520519
"Q8IZU9_IDR_701_778",0.370075139444467
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.158849744350815
"Q8IZX4_IDR_1220_1400",0.161040774033135
"Q8IZX4_IDR_1644_1826",0.157078646311648
"Q8IZX4_IDR_268_354",0.154097458608261
"Q8IZX4_IDR_536_578",0.223745267840345
"Q8IZX4_IDR_82_235",0.145188108855796
"Q8IZY2_IDR_1152_1210",0.514623533535294
"Q8IZY2_IDR_2105_2146",0.485376466464706
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.460336539994956
"Q8N0S2_IDR_260_351",0.539663460005044
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.228253301197453
"Q8N0U7_IDR_267_299",0.230592486358046
"Q8N0U7_IDR_37_122",0.289867225791187
"Q8N0U7_IDR_391_467",0.251286986653314
"Q8N103_IDR_1_81",0.487557388952463
"Q8N103_IDR_283_731",0.512442611047537
"Q8N108_IDR_1_176",0.36230323742336
"Q8N108_IDR_344_512",0.63769676257664
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.50283650656249
"Q8N114_IDR_203_240",0.49716349343751
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.44038982151024
"Q8N122_IDR_820_949",0.55961017848976
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.437860277780004
"Q8N128_IDR_68_213",0.562139722219996
"Q8N129_IDR_1_32",0.461208954999283
"Q8N129_IDR_202_248",0.538791045000717
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.295446817125649
