"","GO0000785_chromatin"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.320727306072734
"Q5VUJ6_IDR_1_54",0.49997482565278
"Q5VUJ6_IDR_308_649",0.500025174347221
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.524722758130166
"Q5VV16_IDR_235_409",0.475277241869834
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.52701203666511
"Q5VV42_IDR_499_545",0.47298796333489
"Q5VWN6_IDR_1918_1981",0.154468805077907
"Q5VWN6_IDR_1993_2150",0.156854797079986
"Q5VWN6_IDR_803_1879",0.172224032649483
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.277638258828545
"Q5VWQ0_IDR_63_351",0.425122597592715
"Q5VWQ0_IDR_708_802",0.29723914357874
"Q5VWQ8_IDR_1141_1189",0.337938696492042
"Q5VWQ8_IDR_1_142",0.327991528442602
"Q5VWQ8_IDR_654_1098",0.334069775065356
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.1938413476598
"Q5VZL5_IDR_1_334",0.214690750970447
"Q5VZL5_IDR_640_677",0.197129966307954
"Q5VZL5_IDR_851_997",0.19675571215981
"Q5VZL5_IDR_999_1200",0.197582222901989
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.219421100258244
"Q5VZP5_IDR_45_103",0.14580699108283
"Q5XX13_IDR_168_231",0.483906768415484
"Q5XX13_IDR_693_978",0.516093231584516
"Q5XXA6_IDR_1_48",0.330960161967143
"Q5XXA6_IDR_74_121",0.334430494750855
"Q5XXA6_IDR_945_986",0.334609343282002
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.495187407650549
"Q63HK3_IDR_383_743",0.504812592349451
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.356276413319157
"Q66K14_IDR_944_993",0.325609493705873
"Q66K41_IDR_1_291",0.580912393205793
"Q66K41_IDR_304_345",0.419087606794207
"Q66K64_IDR_1_37",0.500838100172204
"Q66K64_IDR_275_383",0.499161899827796
"Q66K66_IDR_241_349",0.538652154942986
"Q66K66_IDR_32_81",0.461347845057014
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.243542459155531
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.470043558935719
"Q8IU57_IDR_479_520",0.529956441064281
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.492120870105566
"Q8IU81_IDR_56_237",0.507879129894434
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.520795647697134
"Q8IUC6_IDR_634_673",0.479204352302866
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.228571918738597
"Q8IUD2_IDR_621_730",0.240950630478769
"Q8IUD2_IDR_764_839",0.237910366099724
"Q8IUD2_IDR_926_1072",0.29256708468291
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.482079094972164
"Q8IUE0_IDR_1_55",0.517920905027836
"Q8IUE1_IDR_116_241",0.4671668352849
"Q8IUE1_IDR_1_55",0.5328331647151
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.293814376595993
"Q8IUG5_IDR_1_504",0.378944745116225
"Q8IUW5_IDR_126_223",0.243829368245941
"Q8IUW5_IDR_1_54",0.231584773583911
"Q8IUW5_IDR_234_271",0.243024482402072
"Q8IUW5_IDR_91_123",0.281561375768075
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.31714670595295
"Q8IUX7_IDR_1099_1138",0.349748992851232
"Q8IUX7_IDR_44_388",0.333104301195817
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.497167494657712
"Q8IUY3_IDR_182_321",0.502832505342288
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.502026510823086
"Q8IV04_IDR_352_446",0.497973489176913
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.485490161907281
"Q8IV31_IDR_62_184",0.514509838092719
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.237346206080808
"Q8IVE3_IDR_1453_1493",0.255006277830267
"Q8IVE3_IDR_36_69",0.251182965921309
"Q8IVE3_IDR_71_132",0.256464550167616
"Q8IVF1_IDR_14_81",0.200616959594608
"Q8IVF1_IDR_232_366",0.188507055232768
"Q8IVF1_IDR_407_522",0.201826255750248
"Q8IVF1_IDR_525_878",0.214979658764853
"Q8IVF1_IDR_83_205",0.194070070657523
"Q8IVF2_IDR_1_114",0.277445212561385
"Q8IVF2_IDR_1794_5795",0.38589927557545
"Q8IVF2_IDR_195_1792",0.336655511863165
"Q8IVF4_IDR_156_187",0.466003045828796
"Q8IVF4_IDR_1_66",0.533996954171204
"Q8IVF5_IDR_1017_1093",0.244126416383739
"Q8IVF5_IDR_1461_1667",0.280681506188375
"Q8IVF5_IDR_1_498",0.234674315589562
"Q8IVF5_IDR_749_804",0.240517761838324
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.355459648413152
"Q8IVW6_IDR_319_491",0.321231793993309
"Q8IVW6_IDR_516_561",0.323308557593539
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.337682337128309
"Q8IW35_IDR_575_628",0.323435921682457
"Q8IW35_IDR_633_854",0.338881741189234
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.505573635209069
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.462132367766271
"Q8IWE2_IDR_404_437",0.537867632233729
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.501253792659383
"Q8IWF9_IDR_234_348",0.498746207340617
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.114901509822415
"Q8IWI9_IDR_1340_1371",0.10276247818903
"Q8IWI9_IDR_1398_1903",0.110327002575191
"Q8IWI9_IDR_1905_2856",0.142981363740942
"Q8IWI9_IDR_261_649",0.10227590071277
"Q8IWI9_IDR_2974_3016",0.104339298523526
"Q8IWI9_IDR_3020_3065",0.10699906189083
"Q8IWI9_IDR_681_751",0.106365067667622
"Q8IWI9_IDR_753_1079",0.109048316877674
"Q8IWJ2_IDR_1_69",0.324380645387508
"Q8IWT3_IDR_1658_1690",0.263589639502301
"Q8IWT3_IDR_2437_2517",0.259807856768583
"Q8IWT6_IDR_180_231",0.512561547808832
"Q8IWT6_IDR_62_95",0.487438452191168
"Q8IWU2_IDR_1_101",0.23507009706985
"Q8IWU2_IDR_1377_1415",0.243619103012515
"Q8IWU2_IDR_1426_1459",0.23996403466174
"Q8IWU2_IDR_557_1314",0.281346765255895
"Q8IWU5_IDR_1_40",0.237904038267209
"Q8IWU5_IDR_557_594",0.245458806168034
"Q8IWU5_IDR_648_718",0.279165321330092
"Q8IWU5_IDR_824_860",0.237471834234665
"Q8IWU6_IDR_1_37",0.216941237988163
"Q8IWU6_IDR_510_543",0.227662107099231
"Q8IWU6_IDR_561_610",0.28164557836137
"Q8IWU6_IDR_666_738",0.273751076551236
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.30384774196117
"Q8IWV1_IDR_178_270",0.336060690907664
"Q8IWV1_IDR_295_398",0.360091567131165
"Q8IX03_IDR_790_917",0.282562260543792
"Q8IX03_IDR_945_991",0.239114191563168
"Q8IX07_IDR_1_83",0.445118332249944
"Q8IX07_IDR_194_247",0.274205061004269
"Q8IX07_IDR_266_972",0.280676606745787
"Q8IX12_IDR_212_357",0.204174949782023
"Q8IX12_IDR_599_722",0.200240367556532
"Q8IX12_IDR_793_917",0.24568001691861
"Q8IX12_IDR_9_144",0.169148675955142
"Q8IX12_IDR_981_1021",0.180755989787694
"Q8IX15_IDR_125_364",0.247582116822976
"Q8IX15_IDR_1_38",0.241736137668086
"Q8IX15_IDR_420_461",0.247251322442931
"Q8IX15_IDR_504_550",0.263430423066008
"Q8IX18_IDR_1_50",0.487408196746547
"Q8IX18_IDR_706_779",0.512591803253453
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.50641888680672
"Q8IX29_IDR_239_292",0.49358111319328
"Q8IXP5_IDR_108_216",0.507124634816613
"Q8IXP5_IDR_1_106",0.492875365183387
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.514417275724131
"Q8IXQ8_IDR_211_264",0.485582724275869
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.33747886306376
"Q8IXT5_IDR_485_921",0.33081867269991
"Q8IXT5_IDR_89_151",0.33170246423633
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.340491903260322
"Q8IXW0_IDR_176_344",0.316476007768722
"Q8IXW0_IDR_466_587",0.343032088970956
"Q8IXW5_IDR_1_41",0.519025948003348
"Q8IXW5_IDR_171_324",0.480974051996652
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.474891855404293
"Q8IY63_IDR_493_952",0.525108144595707
"Q8IY67_IDR_1_35",0.542130601118199
"Q8IY67_IDR_349_606",0.457869398881801
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.491903314163861
"Q8IY84_IDR_7_44",0.508096685836139
"Q8IY85_IDR_375_441",0.473559199301916
"Q8IY85_IDR_77_146",0.526440800698084
"Q8IY92_IDR_1_50",0.149478444895076
"Q8IY92_IDR_377_470",0.212324533500938
"Q8IY92_IDR_558_613",0.148650433371698
"Q8IY92_IDR_630_669",0.14906223464577
"Q8IY92_IDR_64_289",0.160305629563781
"Q8IY92_IDR_824_1750",0.180178724022737
"Q8IYE1_IDR_684_715",0.462166891336735
"Q8IYF1_IDR_647_753",0.468036140671864
"Q8IYF1_IDR_79_458",0.531963859328136
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.443781657957326
"Q8IYH5_IDR_573_649",0.288524875304606
"Q8IYH5_IDR_714_786",0.267693466738068
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.45264811051206
"Q8IYI6_IDR_287_328",0.54735188948794
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.24406227673447
"Q8IYJ0_IDR_112_175",0.245248816163298
"Q8IYJ0_IDR_204_238",0.258667847502425
"Q8IYJ0_IDR_240_282",0.252021059599806
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.490313803826234
"Q8IYK4_IDR_584_626",0.509686196173766
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.164391285585949
"Q8IYW2_IDR_1347_1410",0.183847456593327
"Q8IYW2_IDR_1985_2022",0.164951531665366
"Q8IYW2_IDR_2287_2320",0.165509122766351
"Q8IYW2_IDR_2540_2579",0.160327035604618
"Q8IYW2_IDR_2630_2661",0.160973567784389
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.49419008892787
"Q8IZ41_IDR_77_124",0.50580991107213
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.311567524977482
"Q8IZ63_IDR_360_422",0.378825657980054
"Q8IZ63_IDR_87_332",0.309606817042463
"Q8IZ69_IDR_1_56",0.532374842105832
"Q8IZ69_IDR_591_625",0.467625157894168
"Q8IZ73_IDR_31_122",0.523723039234481
"Q8IZ73_IDR_421_495",0.476276960765519
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.321484156372517
"Q8IZA0_IDR_201_244",0.325253464066182
"Q8IZA0_IDR_957_1015",0.353262379561301
"Q8IZA3_IDR_114_346",0.633554695659371
"Q8IZA3_IDR_1_50",0.366445304340629
"Q8IZC4_IDR_185_221",0.309408859590686
"Q8IZC4_IDR_409_445",0.287523894472936
"Q8IZC4_IDR_476_603",0.403067245936379
"Q8IZC6_IDR_1_36",0.48414429819946
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.509737609285832
"Q8IZJ3_IDR_1758_1835",0.490262390714168
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.447208996570243
"Q8IZL8_IDR_637_1130",0.552791003429757
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.505747474453748
"Q8IZN3_IDR_323_488",0.494252525546252
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.544761499212595
"Q8IZP6_IDR_97_147",0.455238500787405
"Q8IZP7_IDR_1_118",0.488890331144861
"Q8IZP7_IDR_426_459",0.511109668855139
"Q8IZP9_IDR_249_371",0.253264199030364
"Q8IZP9_IDR_39_74",0.243089049668746
"Q8IZU9_IDR_701_778",0.488648276007518
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.159398354234087
"Q8IZX4_IDR_1220_1400",0.151056592346052
"Q8IZX4_IDR_1644_1826",0.191823519704485
"Q8IZX4_IDR_268_354",0.149815813072096
"Q8IZX4_IDR_536_578",0.15188457094662
"Q8IZX4_IDR_82_235",0.196021149696661
"Q8IZY2_IDR_1152_1210",0.504865586994894
"Q8IZY2_IDR_2105_2146",0.495134413005107
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.484793199029624
"Q8N0S2_IDR_260_351",0.515206800970376
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.24464454628414
"Q8N0U7_IDR_267_299",0.250182033369605
"Q8N0U7_IDR_37_122",0.253485315381745
"Q8N0U7_IDR_391_467",0.25168810496451
"Q8N103_IDR_1_81",0.531197556582245
"Q8N103_IDR_283_731",0.468802443417755
"Q8N108_IDR_1_176",0.465311358925597
"Q8N108_IDR_344_512",0.534688641074403
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504228226266645
"Q8N114_IDR_203_240",0.495771773733356
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.498703692733053
"Q8N122_IDR_820_949",0.501296307266947
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.517598846892536
"Q8N128_IDR_68_213",0.482401153107464
"Q8N129_IDR_1_32",0.405276877573627
"Q8N129_IDR_202_248",0.594723122426373
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.329555566753525
"Q8N137_IDR_442_797",0.320162940762398
