"","GO0032553_ribonucleotide_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.333884640179812
"Q5VUJ6_IDR_1_54",0.496979250250897
"Q5VUJ6_IDR_308_649",0.503020749749102
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.498639229212108
"Q5VV16_IDR_235_409",0.501360770787892
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.537960386150153
"Q5VV42_IDR_499_545",0.462039613849847
"Q5VWN6_IDR_1918_1981",0.170093589639153
"Q5VWN6_IDR_1993_2150",0.165461986123437
"Q5VWN6_IDR_803_1879",0.158378154808814
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.348336650973809
"Q5VWQ0_IDR_63_351",0.310146174765005
"Q5VWQ0_IDR_708_802",0.341517174261186
"Q5VWQ8_IDR_1141_1189",0.340162864140273
"Q5VWQ8_IDR_1_142",0.348881895169213
"Q5VWQ8_IDR_654_1098",0.310955240690514
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199975349202509
"Q5VZL5_IDR_1_334",0.199377248570977
"Q5VZL5_IDR_640_677",0.195788357463842
"Q5VZL5_IDR_851_997",0.207529652811018
"Q5VZL5_IDR_999_1200",0.197329391951653
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163792937338553
"Q5VZP5_IDR_45_103",0.164133515465348
"Q5XX13_IDR_168_231",0.478430843814681
"Q5XX13_IDR_693_978",0.521569156185319
"Q5XXA6_IDR_1_48",0.334286259310205
"Q5XXA6_IDR_74_121",0.325222033934237
"Q5XXA6_IDR_945_986",0.340491706755558
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.531869450567426
"Q63HK3_IDR_383_743",0.468130549432574
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.324210406649813
"Q66K14_IDR_944_993",0.327595335086146
"Q66K41_IDR_1_291",0.473187683577415
"Q66K41_IDR_304_345",0.526812316422585
"Q66K64_IDR_1_37",0.506479914516021
"Q66K64_IDR_275_383",0.493520085483979
"Q66K66_IDR_241_349",0.476604380790238
"Q66K66_IDR_32_81",0.523395619209762
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.250499072344688
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.508879857164781
"Q8IU57_IDR_479_520",0.491120142835219
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.503974902972178
"Q8IU81_IDR_56_237",0.496025097027822
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.506127289979133
"Q8IUC6_IDR_634_673",0.493872710020867
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.23180252763671
"Q8IUD2_IDR_621_730",0.257490380968171
"Q8IUD2_IDR_764_839",0.258360821978098
"Q8IUD2_IDR_926_1072",0.25234626941702
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.502999126790381
"Q8IUE0_IDR_1_55",0.497000873209619
"Q8IUE1_IDR_116_241",0.491746580547576
"Q8IUE1_IDR_1_55",0.508253419452424
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.328117484733541
"Q8IUG5_IDR_1_504",0.303576502318757
"Q8IUW5_IDR_126_223",0.243234589573084
"Q8IUW5_IDR_1_54",0.222224865017956
"Q8IUW5_IDR_234_271",0.311985043323749
"Q8IUW5_IDR_91_123",0.222555502085211
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.344213889509923
"Q8IUX7_IDR_1099_1138",0.337456461902224
"Q8IUX7_IDR_44_388",0.318329648587854
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.490949202339717
"Q8IUY3_IDR_182_321",0.509050797660283
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.47389775762899
"Q8IV04_IDR_352_446",0.52610224237101
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.425259221702221
"Q8IV31_IDR_62_184",0.574740778297779
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.274770517171887
"Q8IVE3_IDR_1453_1493",0.237266378200662
"Q8IVE3_IDR_36_69",0.247487586519602
"Q8IVE3_IDR_71_132",0.240475518107848
"Q8IVF1_IDR_14_81",0.20700224572273
"Q8IVF1_IDR_232_366",0.202588647081173
"Q8IVF1_IDR_407_522",0.200089290953678
"Q8IVF1_IDR_525_878",0.193081800216249
"Q8IVF1_IDR_83_205",0.19723801602617
"Q8IVF2_IDR_1_114",0.384122151173634
"Q8IVF2_IDR_1794_5795",0.308626013124447
"Q8IVF2_IDR_195_1792",0.307251835701919
"Q8IVF4_IDR_156_187",0.512824966894723
"Q8IVF4_IDR_1_66",0.487175033105277
"Q8IVF5_IDR_1017_1093",0.24352506291797
"Q8IVF5_IDR_1461_1667",0.234997462954049
"Q8IVF5_IDR_1_498",0.224463858383177
"Q8IVF5_IDR_749_804",0.297013615744803
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.308965685535217
"Q8IVW6_IDR_319_491",0.383106937959778
"Q8IVW6_IDR_516_561",0.307927376505005
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.316220725513498
"Q8IW35_IDR_575_628",0.331987690219426
"Q8IW35_IDR_633_854",0.351791584267076
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.454840080208463
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.517712291395869
"Q8IWE2_IDR_404_437",0.482287708604131
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.510886327462696
"Q8IWF9_IDR_234_348",0.489113672537304
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.11008909439648
"Q8IWI9_IDR_1340_1371",0.113844549706152
"Q8IWI9_IDR_1398_1903",0.104021151762328
"Q8IWI9_IDR_1905_2856",0.113966842192673
"Q8IWI9_IDR_261_649",0.107973682553951
"Q8IWI9_IDR_2974_3016",0.113497284628129
"Q8IWI9_IDR_3020_3065",0.113137461334418
"Q8IWI9_IDR_681_751",0.109123491250703
"Q8IWI9_IDR_753_1079",0.114346442175166
"Q8IWJ2_IDR_1_69",0.310019023500166
"Q8IWT3_IDR_1658_1690",0.248578753309134
"Q8IWT3_IDR_2437_2517",0.240363159907632
"Q8IWT6_IDR_180_231",0.493569879739742
"Q8IWT6_IDR_62_95",0.506430120260258
"Q8IWU2_IDR_1_101",0.235057634808848
"Q8IWU2_IDR_1377_1415",0.256021346728875
"Q8IWU2_IDR_1426_1459",0.268391692980592
"Q8IWU2_IDR_557_1314",0.240529325481685
"Q8IWU5_IDR_1_40",0.245627255334066
"Q8IWU5_IDR_557_594",0.253123278616144
"Q8IWU5_IDR_648_718",0.232642032430827
"Q8IWU5_IDR_824_860",0.268607433618963
"Q8IWU6_IDR_1_37",0.259054496940654
"Q8IWU6_IDR_510_543",0.255464046240558
"Q8IWU6_IDR_561_610",0.245632931887433
"Q8IWU6_IDR_666_738",0.239848524931356
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.339201830820828
"Q8IWV1_IDR_178_270",0.338281918843911
"Q8IWV1_IDR_295_398",0.322516250335261
"Q8IX03_IDR_790_917",0.242099576215269
"Q8IX03_IDR_945_991",0.266921035195198
"Q8IX07_IDR_1_83",0.351733836401073
"Q8IX07_IDR_194_247",0.324547911696531
"Q8IX07_IDR_266_972",0.323718251902396
"Q8IX12_IDR_212_357",0.219972422317368
"Q8IX12_IDR_599_722",0.197741267906195
"Q8IX12_IDR_793_917",0.188918559483182
"Q8IX12_IDR_9_144",0.19081649191146
"Q8IX12_IDR_981_1021",0.202551258381796
"Q8IX15_IDR_125_364",0.243860044097789
"Q8IX15_IDR_1_38",0.259857509144743
"Q8IX15_IDR_420_461",0.253743755176146
"Q8IX15_IDR_504_550",0.242538691581322
"Q8IX18_IDR_1_50",0.491534335656989
"Q8IX18_IDR_706_779",0.508465664343011
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.524288967629601
"Q8IX29_IDR_239_292",0.475711032370399
"Q8IXP5_IDR_108_216",0.502100942430845
"Q8IXP5_IDR_1_106",0.497899057569155
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.506795696059826
"Q8IXQ8_IDR_211_264",0.493204303940174
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.363491558248724
"Q8IXT5_IDR_485_921",0.311172465529831
"Q8IXT5_IDR_89_151",0.325335976221445
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.323507091254146
"Q8IXW0_IDR_176_344",0.351922945605347
"Q8IXW0_IDR_466_587",0.324569963140507
"Q8IXW5_IDR_1_41",0.49837257259376
"Q8IXW5_IDR_171_324",0.50162742740624
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.512146724869679
"Q8IY63_IDR_493_952",0.487853275130321
"Q8IY67_IDR_1_35",0.506264385442346
"Q8IY67_IDR_349_606",0.493735614557654
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.517316739580407
"Q8IY84_IDR_7_44",0.482683260419593
"Q8IY85_IDR_375_441",0.500586187189319
"Q8IY85_IDR_77_146",0.499413812810681
"Q8IY92_IDR_1_50",0.167233078541625
"Q8IY92_IDR_377_470",0.16284123538489
"Q8IY92_IDR_558_613",0.173439676165608
"Q8IY92_IDR_630_669",0.165273376503803
"Q8IY92_IDR_64_289",0.158695924220533
"Q8IY92_IDR_824_1750",0.17251670918354
"Q8IYE1_IDR_684_715",0.516855056478384
"Q8IYF1_IDR_647_753",0.490901292326137
"Q8IYF1_IDR_79_458",0.509098707673863
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.32551665444702
"Q8IYH5_IDR_573_649",0.299246135752655
"Q8IYH5_IDR_714_786",0.375237209800326
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.494712444619187
"Q8IYI6_IDR_287_328",0.505287555380813
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.262784248213875
"Q8IYJ0_IDR_112_175",0.247387912170346
"Q8IYJ0_IDR_204_238",0.247978074035403
"Q8IYJ0_IDR_240_282",0.241849765580376
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.488294429752711
"Q8IYK4_IDR_584_626",0.511705570247289
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.16546877763819
"Q8IYW2_IDR_1347_1410",0.1580723439272
"Q8IYW2_IDR_1985_2022",0.169737473330429
"Q8IYW2_IDR_2287_2320",0.169507299410618
"Q8IYW2_IDR_2540_2579",0.169740487258219
"Q8IYW2_IDR_2630_2661",0.167473618435345
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.581463068930247
"Q8IZ41_IDR_77_124",0.418536931069753
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.338206369923153
"Q8IZ63_IDR_360_422",0.338275262883801
"Q8IZ63_IDR_87_332",0.323518367193046
"Q8IZ69_IDR_1_56",0.480832208372013
"Q8IZ69_IDR_591_625",0.519167791627987
"Q8IZ73_IDR_31_122",0.496810798430913
"Q8IZ73_IDR_421_495",0.503189201569087
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.334680308208671
"Q8IZA0_IDR_201_244",0.331633341807268
"Q8IZA0_IDR_957_1015",0.333686349984061
"Q8IZA3_IDR_114_346",0.491525101314179
"Q8IZA3_IDR_1_50",0.508474898685821
"Q8IZC4_IDR_185_221",0.334339407036001
"Q8IZC4_IDR_409_445",0.318175259238232
"Q8IZC4_IDR_476_603",0.347485333725767
"Q8IZC6_IDR_1_36",0.496130562957133
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.514373815754026
"Q8IZJ3_IDR_1758_1835",0.485626184245974
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.532088468835391
"Q8IZL8_IDR_637_1130",0.467911531164609
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.527127690895421
"Q8IZN3_IDR_323_488",0.472872309104579
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.514883145687508
"Q8IZP6_IDR_97_147",0.485116854312492
"Q8IZP7_IDR_1_118",0.497875733865872
"Q8IZP7_IDR_426_459",0.502124266134128
"Q8IZP9_IDR_249_371",0.245461231551343
"Q8IZP9_IDR_39_74",0.243141022502515
"Q8IZU9_IDR_701_778",0.511249688620953
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164263930299508
"Q8IZX4_IDR_1220_1400",0.16992996928642
"Q8IZX4_IDR_1644_1826",0.158975531036135
"Q8IZX4_IDR_268_354",0.165455232153796
"Q8IZX4_IDR_536_578",0.161809795224935
"Q8IZX4_IDR_82_235",0.179565541999205
"Q8IZY2_IDR_1152_1210",0.484233377265595
"Q8IZY2_IDR_2105_2146",0.515766622734405
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.507804334131269
"Q8N0S2_IDR_260_351",0.492195665868731
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.241350001070681
"Q8N0U7_IDR_267_299",0.253264153983075
"Q8N0U7_IDR_37_122",0.232096188380417
"Q8N0U7_IDR_391_467",0.273289656565826
"Q8N103_IDR_1_81",0.354705645509445
"Q8N103_IDR_283_731",0.645294354490555
"Q8N108_IDR_1_176",0.493328014183374
"Q8N108_IDR_344_512",0.506671985816626
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.47898906739742
"Q8N114_IDR_203_240",0.52101093260258
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.510487474785629
"Q8N122_IDR_820_949",0.489512525214371
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.497339871160466
"Q8N128_IDR_68_213",0.502660128839534
"Q8N129_IDR_1_32",0.507785288852505
"Q8N129_IDR_202_248",0.492214711147495
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.340127799241487
"Q8N137_IDR_442_797",0.322837231989194
