"","GO0042073_intraciliary_transport"
"net_charge",NA
"WF_complexity",NA
"KL_hydropathy",NA
"isoelectric_point",NA
"FCR",0.61659741839262
"ED_ratio",NA
"RK_ratio",NA
"SCD",NA
"kappa.",NA
"omega.",NA
"id.REP_Q2.Q.2.2.",NA
"id.REP_N2.N.2.2.",NA
"id.REP_S2.S.2.2.",NA
"id.REP_G2.G.2.2.",-0.35952208493626
"id.REP_E2.E.2.2.",NA
"id.REP_D2.D.2.2.",NA
"id.REP_K2.K.2.2.",NA
"id.REP_R2.R.2.2.",NA
"id.REP_P2.P.2.2.",NA
"id.REP_QN2..QN..2..",NA
"id.REP_RG2..RG..2..",-2.29025585834
"id.REP_PR..PR..2..",NA
"id.REP_FG2..FG..2..",NA
"id.REP_SG2..SG..2..",NA
"id.REP_SR2..SR..2..",NA
"id.REP_KAP2..KAP..2..",0.101310696154121
"id.REP_PTS2..PTS..2..",NA
"CLV_C14_Caspase3.7",NA
"DEG_APCC_KENBOX_2",NA
"DEG_Kelch_Keap1_1",NA
"DEG_SCF_TRCP1_1",NA
"DOC_ANK_TNKS_1",NA
"DOC_CYCLIN_RxL_1",NA
"DOC_MAPK_gen_1",NA
"DOC_MAPK_JIP1_4",NA
"DOC_MAPK_MEF2A_6",NA
"DOC_MAPK_NFAT4_5",NA
"DOC_PP1_RVXF_1",2.12079917012735
"DOC_PP2A_B56_1",NA
"DOC_PP4_FxxP_1",NA
"DOC_WW_Pin1_4",NA
"LIG_14.3.3_CanoR_1",1.64169640469421
"LIG_CaM_IQ_9",1.61711524334583
"LIG_CtBP_PxDLS_1",NA
"LIG_EF_ALG2_ABM_1",NA
"LIG_EH_1",2.63044372273139
"LIG_HCF.1_HBM_1",NA
"LIG_HOMEOBOX",NA
"LIG_KEPE_2",NA
"LIG_KLC1_WD_1",NA
"LIG_LIR_Gen_1",NA
"LIG_PAM2_1",NA
"LIG_PCNA_PIPBox_1",NA
"LIG_PDZ_Class_1",NA
"LIG_PDZ_Wminus1_1",NA
"LIG_PTAP_UEV_1",NA
"LIG_PTB_Apo_2",2.2497708726123
"LIG_PTB_Phospho_1",NA
"LIG_Rb_LxCxE_1",NA
"LIG_SH2_CRK",NA
"LIG_SH2_GRB2like",NA
"LIG_SH2_NCK_1",NA
"LIG_SH2_SRC",NA
"LIG_SH2_STAP1",NA
"LIG_SH2_STAT5",NA
"LIG_SH3_2",NA
"LIG_SUMO_SIM_anti_2",NA
"LIG_SUMO_SIM_par_1",-2.81375127099317
"MOD_CDK_SPK_2",NA
"MOD_CDK_SPxK_1",NA
"MOD_CDK_SPxxK_3",NA
"MOD_CK1_1",NA
"MOD_CK2_1",NA
"MOD_DYRK1A_RPxSP_1",NA
"MOD_GSK3_1",NA
"MOD_N.GLC_1",NA
"MOD_NMyristoyl",NA
"MOD_PIKK_1",NA
"MOD_PKA_1",NA
"MOD_PKA_2",3.58787363238264
"MOD_PKB_1",NA
"MOD_Plk_1",NA
"MOD_ProDKin_1",-1.42244104385475
"MOD_SUMO_for_1",NA
"MOD_SUMO_rev_2",NA
"TRG_ER_diArg_1",NA
"TRG_ER_FFAT_1",NA
"TRG_LysEnd_APsAcLL_1",NA
"TRG_NES_CRM1_1",1.46899237330964
"TRG_NLS_MonoExtN_4",NA
"A_homorep",NA
"C_homorep",NA
"D_homorep",NA
"E_homorep",NA
"G_homorep",NA
"H_homorep",NA
"I_homorep",NA
"K_homorep",NA
"L_homorep",NA
"M_homorep",2.09296116936914
"N_homorep",NA
"P_homorep",NA
"Q_homorep",NA
"R_homorep",NA
"S_homorep",NA
"T_homorep",NA
"V_homorep",NA
"Y_homorep",NA
"FG_rich",NA
"PY",NA
"FRG",NA
"SGFYSG",NA
"PG_rich",NA
"ELASTIN_LIKE",NA
"FGxF",NA
"R_plus_Y",NA
"REP_RGG",NA
"AA_S",NA
"AA_P",NA
"AA_T",NA
"AA_A",-1.03341809172646
"AA_H",NA
"AA_Q",NA
"AA_N",NA
"AA_G",NA
"AA_R",NA
"AA_C",-5.65299719881619
"AA_D",NA
"AA_E",2.99441426846379
"AA_F",NA
"AA_I",NA
"AA_K",NA
"AA_L",2.96145097868535
"AA_M",NA
"AA_V",NA
"AA_W",NA
"AA_Y",NA
"acidic",NA
"basic",NA
"aliphatic",NA
"polar_fraction",NA
"chain_expanding",NA
"aromatic",NA
"disorder_promoting",NA
