"","GO0042073_intraciliary_transport"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.276472253544686
"Q5VUJ6_IDR_1_54",0.43250015346588
"Q5VUJ6_IDR_308_649",0.56749984653412
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.529044465997959
"Q5VV16_IDR_235_409",0.470955534002041
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.505587349464929
"Q5VV42_IDR_499_545",0.494412650535071
"Q5VWN6_IDR_1918_1981",0.171130273905538
"Q5VWN6_IDR_1993_2150",0.166370745591742
"Q5VWN6_IDR_803_1879",0.168184813190462
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.32086482490042
"Q5VWQ0_IDR_63_351",0.347827533464668
"Q5VWQ0_IDR_708_802",0.331307641634911
"Q5VWQ8_IDR_1141_1189",0.329059779178448
"Q5VWQ8_IDR_1_142",0.323499527551862
"Q5VWQ8_IDR_654_1098",0.34744069326969
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192992968289559
"Q5VZL5_IDR_1_334",0.218048804880541
"Q5VZL5_IDR_640_677",0.189555989330277
"Q5VZL5_IDR_851_997",0.191936460536631
"Q5VZL5_IDR_999_1200",0.20746577696299
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.160770144337844
"Q5VZP5_IDR_45_103",0.147775419481408
"Q5XX13_IDR_168_231",0.485541235745031
"Q5XX13_IDR_693_978",0.514458764254969
"Q5XXA6_IDR_1_48",0.339117503518487
"Q5XXA6_IDR_74_121",0.338096953901516
"Q5XXA6_IDR_945_986",0.322785542579997
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.506826535978178
"Q63HK3_IDR_383_743",0.493173464021822
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.321956894653597
"Q66K14_IDR_944_993",0.354929390341696
"Q66K41_IDR_1_291",0.483435325617797
"Q66K41_IDR_304_345",0.516564674382203
"Q66K64_IDR_1_37",0.512645065328143
"Q66K64_IDR_275_383",0.487354934671857
"Q66K66_IDR_241_349",0.501784051560428
"Q66K66_IDR_32_81",0.498215948439572
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.238591286932982
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.489570180564799
"Q8IU57_IDR_479_520",0.510429819435201
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.491001067264736
"Q8IU81_IDR_56_237",0.508998932735264
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.498559847513234
"Q8IUC6_IDR_634_673",0.501440152486766
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.244393172762997
"Q8IUD2_IDR_621_730",0.261073828594588
"Q8IUD2_IDR_764_839",0.252612592441322
"Q8IUD2_IDR_926_1072",0.241920406201093
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.492972871489572
"Q8IUE0_IDR_1_55",0.507027128510428
"Q8IUE1_IDR_116_241",0.489884543594867
"Q8IUE1_IDR_1_55",0.510115456405133
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.294207609658524
"Q8IUG5_IDR_1_504",0.296565849288858
"Q8IUW5_IDR_126_223",0.231087769098485
"Q8IUW5_IDR_1_54",0.235444081112082
"Q8IUW5_IDR_234_271",0.273960360911707
"Q8IUW5_IDR_91_123",0.259507788877726
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.308454750982077
"Q8IUX7_IDR_1099_1138",0.341340063415258
"Q8IUX7_IDR_44_388",0.350205185602665
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.492466466179821
"Q8IUY3_IDR_182_321",0.507533533820179
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.487337933721965
"Q8IV04_IDR_352_446",0.512662066278035
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.469406396369135
"Q8IV31_IDR_62_184",0.530593603630864
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.236652150007062
"Q8IVE3_IDR_1453_1493",0.244990330659284
"Q8IVE3_IDR_36_69",0.258178076141106
"Q8IVE3_IDR_71_132",0.260179443192548
"Q8IVF1_IDR_14_81",0.196705259534082
"Q8IVF1_IDR_232_366",0.187537455604941
"Q8IVF1_IDR_407_522",0.205182481010079
"Q8IVF1_IDR_525_878",0.215409262548364
"Q8IVF1_IDR_83_205",0.195165541302534
"Q8IVF2_IDR_1_114",0.262390352811099
"Q8IVF2_IDR_1794_5795",0.385406218134085
"Q8IVF2_IDR_195_1792",0.352203429054816
"Q8IVF4_IDR_156_187",0.480212985280688
"Q8IVF4_IDR_1_66",0.519787014719313
"Q8IVF5_IDR_1017_1093",0.254762132735087
"Q8IVF5_IDR_1461_1667",0.249958454014399
"Q8IVF5_IDR_1_498",0.242139950071994
"Q8IVF5_IDR_749_804",0.253139463178519
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.34968361299536
"Q8IVW6_IDR_319_491",0.353365494110724
"Q8IVW6_IDR_516_561",0.296950892893916
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.334494300633801
"Q8IW35_IDR_575_628",0.354614643867295
"Q8IW35_IDR_633_854",0.310891055498904
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.46898599652366
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.475207194697288
"Q8IWE2_IDR_404_437",0.524792805302712
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.502648529018022
"Q8IWF9_IDR_234_348",0.497351470981978
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.106030597557546
"Q8IWI9_IDR_1340_1371",0.102767624792873
"Q8IWI9_IDR_1398_1903",0.0991402856131575
"Q8IWI9_IDR_1905_2856",0.163269255977
"Q8IWI9_IDR_261_649",0.113978725955547
"Q8IWI9_IDR_2974_3016",0.103199175266119
"Q8IWI9_IDR_3020_3065",0.104673989068658
"Q8IWI9_IDR_681_751",0.108180073468808
"Q8IWI9_IDR_753_1079",0.0987602723002914
"Q8IWJ2_IDR_1_69",0.294007729893488
"Q8IWT3_IDR_1658_1690",0.249622566314927
"Q8IWT3_IDR_2437_2517",0.291532523625373
"Q8IWT6_IDR_180_231",0.514067397047556
"Q8IWT6_IDR_62_95",0.485932602952444
"Q8IWU2_IDR_1_101",0.238547241478449
"Q8IWU2_IDR_1377_1415",0.245367413647328
"Q8IWU2_IDR_1426_1459",0.241064595549541
"Q8IWU2_IDR_557_1314",0.275020749324682
"Q8IWU5_IDR_1_40",0.251744991451341
"Q8IWU5_IDR_557_594",0.257278091577306
"Q8IWU5_IDR_648_718",0.241906091802812
"Q8IWU5_IDR_824_860",0.249070825168542
"Q8IWU6_IDR_1_37",0.244208664035857
"Q8IWU6_IDR_510_543",0.250122970557275
"Q8IWU6_IDR_561_610",0.260572286136701
"Q8IWU6_IDR_666_738",0.245096079270166
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.319885349019236
"Q8IWV1_IDR_178_270",0.330454937340775
"Q8IWV1_IDR_295_398",0.349659713639988
"Q8IX03_IDR_790_917",0.263697727165048
"Q8IX03_IDR_945_991",0.241084627357292
"Q8IX07_IDR_1_83",0.367101649366497
"Q8IX07_IDR_194_247",0.329150452691374
"Q8IX07_IDR_266_972",0.303747897942129
"Q8IX12_IDR_212_357",0.186808294491844
"Q8IX12_IDR_599_722",0.213724455554691
"Q8IX12_IDR_793_917",0.229503786254239
"Q8IX12_IDR_9_144",0.176806424919009
"Q8IX12_IDR_981_1021",0.193157038780218
"Q8IX15_IDR_125_364",0.250578828971056
"Q8IX15_IDR_1_38",0.250634574172657
"Q8IX15_IDR_420_461",0.240029785788894
"Q8IX15_IDR_504_550",0.258756811067392
"Q8IX18_IDR_1_50",0.441454138766326
"Q8IX18_IDR_706_779",0.558545861233674
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.498590587452124
"Q8IX29_IDR_239_292",0.501409412547876
"Q8IXP5_IDR_108_216",0.4966997475854
"Q8IXP5_IDR_1_106",0.5033002524146
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.513897474800848
"Q8IXQ8_IDR_211_264",0.486102525199152
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.340509132053432
"Q8IXT5_IDR_485_921",0.326584437087321
"Q8IXT5_IDR_89_151",0.332906430859246
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.326333451706432
"Q8IXW0_IDR_176_344",0.345845440556643
"Q8IXW0_IDR_466_587",0.327821107736925
"Q8IXW5_IDR_1_41",0.520518202943137
"Q8IXW5_IDR_171_324",0.479481797056863
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.45007656809109
"Q8IY63_IDR_493_952",0.54992343190891
"Q8IY67_IDR_1_35",0.506111925844847
"Q8IY67_IDR_349_606",0.493888074155153
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.497398614393541
"Q8IY84_IDR_7_44",0.502601385606459
"Q8IY85_IDR_375_441",0.506029581614293
"Q8IY85_IDR_77_146",0.493970418385707
"Q8IY92_IDR_1_50",0.166554373953201
"Q8IY92_IDR_377_470",0.16465080836903
"Q8IY92_IDR_558_613",0.164494425235824
"Q8IY92_IDR_630_669",0.161194737196479
"Q8IY92_IDR_64_289",0.172364311481769
"Q8IY92_IDR_824_1750",0.170741343763696
"Q8IYE1_IDR_684_715",0.285953691302534
"Q8IYF1_IDR_647_753",0.434190696821302
"Q8IYF1_IDR_79_458",0.565809303178698
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.326209911410587
"Q8IYH5_IDR_573_649",0.323092114071738
"Q8IYH5_IDR_714_786",0.350697974517675
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.472237125246569
"Q8IYI6_IDR_287_328",0.527762874753431
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242383217074697
"Q8IYJ0_IDR_112_175",0.254561475986056
"Q8IYJ0_IDR_204_238",0.253896418948148
"Q8IYJ0_IDR_240_282",0.2491588879911
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.479824063409565
"Q8IYK4_IDR_584_626",0.520175936590435
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162159936008693
"Q8IYW2_IDR_1347_1410",0.180234191844003
"Q8IYW2_IDR_1985_2022",0.168980613755215
"Q8IYW2_IDR_2287_2320",0.164857612414992
"Q8IYW2_IDR_2540_2579",0.161158152879924
"Q8IYW2_IDR_2630_2661",0.162609493097173
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.486959635887913
"Q8IZ41_IDR_77_124",0.513040364112087
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.333647974531857
"Q8IZ63_IDR_360_422",0.338965928864186
"Q8IZ63_IDR_87_332",0.327386096603957
"Q8IZ69_IDR_1_56",0.505495296511823
"Q8IZ69_IDR_591_625",0.494504703488177
"Q8IZ73_IDR_31_122",0.498734810822903
"Q8IZ73_IDR_421_495",0.501265189177097
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.323903191352277
"Q8IZA0_IDR_201_244",0.339877785733589
"Q8IZA0_IDR_957_1015",0.336219022914134
"Q8IZA3_IDR_114_346",0.505448896514538
"Q8IZA3_IDR_1_50",0.494551103485462
"Q8IZC4_IDR_185_221",0.340545809520563
"Q8IZC4_IDR_409_445",0.328130549732197
"Q8IZC4_IDR_476_603",0.331323640747241
"Q8IZC6_IDR_1_36",0.488543935908198
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.505754644031299
"Q8IZJ3_IDR_1758_1835",0.494245355968701
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.49752619689823
"Q8IZL8_IDR_637_1130",0.50247380310177
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.515424779933172
"Q8IZN3_IDR_323_488",0.484575220066828
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.489742626994197
"Q8IZP6_IDR_97_147",0.510257373005803
"Q8IZP7_IDR_1_118",0.478626152571672
"Q8IZP7_IDR_426_459",0.521373847428328
"Q8IZP9_IDR_249_371",0.245862674253306
"Q8IZP9_IDR_39_74",0.247957887905086
"Q8IZU9_IDR_701_778",0.486119940734951
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163373765157174
"Q8IZX4_IDR_1220_1400",0.156207577507875
"Q8IZX4_IDR_1644_1826",0.191094920778968
"Q8IZX4_IDR_268_354",0.154844244723248
"Q8IZX4_IDR_536_578",0.158949416415496
"Q8IZX4_IDR_82_235",0.175530075417239
"Q8IZY2_IDR_1152_1210",0.505354386059418
"Q8IZY2_IDR_2105_2146",0.494645613940582
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.494663043981607
"Q8N0S2_IDR_260_351",0.505336956018393
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.244603109710162
"Q8N0U7_IDR_267_299",0.240662866489153
"Q8N0U7_IDR_37_122",0.250133390862269
"Q8N0U7_IDR_391_467",0.264600632938417
"Q8N103_IDR_1_81",0.491246754164154
"Q8N103_IDR_283_731",0.508753245835846
"Q8N108_IDR_1_176",0.555717319999714
"Q8N108_IDR_344_512",0.444282680000286
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.489467790309196
"Q8N114_IDR_203_240",0.510532209690803
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50956668278053
"Q8N122_IDR_820_949",0.49043331721947
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.462420840359966
"Q8N128_IDR_68_213",0.537579159640034
"Q8N129_IDR_1_32",0.451176143763381
"Q8N129_IDR_202_248",0.548823856236619
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.326378198708913
"Q8N137_IDR_442_797",0.37060421607118
