"","GO0006259_DNA_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.324601888583195
"Q5VUJ6_IDR_1_54",0.498992320941325
"Q5VUJ6_IDR_308_649",0.501007679058675
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.53271340289171
"Q5VV16_IDR_235_409",0.46728659710829
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.588991840161822
"Q5VV42_IDR_499_545",0.411008159838178
"Q5VWN6_IDR_1918_1981",0.130171268170518
"Q5VWN6_IDR_1993_2150",0.126335447757824
"Q5VWN6_IDR_803_1879",0.15566986097668
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.234493845242731
"Q5VWQ0_IDR_63_351",0.519797386404464
"Q5VWQ0_IDR_708_802",0.245708768352805
"Q5VWQ8_IDR_1141_1189",0.342246981105891
"Q5VWQ8_IDR_1_142",0.33428643667665
"Q5VWQ8_IDR_654_1098",0.323466582217459
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.205172386458034
"Q5VZL5_IDR_1_334",0.19809508096051
"Q5VZL5_IDR_640_677",0.184811697188495
"Q5VZL5_IDR_851_997",0.189936746889455
"Q5VZL5_IDR_999_1200",0.221984088503506
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.15357000506713
"Q5VZP5_IDR_45_103",0.159915397286864
"Q5XX13_IDR_168_231",0.509095690713334
"Q5XX13_IDR_693_978",0.490904309286666
"Q5XXA6_IDR_1_48",0.346948684618265
"Q5XXA6_IDR_74_121",0.320830895914955
"Q5XXA6_IDR_945_986",0.33222041946678
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.449206059054471
"Q63HK3_IDR_383_743",0.550793940945529
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.327772585779675
"Q66K14_IDR_944_993",0.352367963898552
"Q66K41_IDR_1_291",0.639856327536261
"Q66K41_IDR_304_345",0.360143672463739
"Q66K64_IDR_1_37",0.541215348726428
"Q66K64_IDR_275_383",0.458784651273572
"Q66K66_IDR_241_349",0.528726807865525
"Q66K66_IDR_32_81",0.471273192134475
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.230779672967272
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.48745891185804
"Q8IU57_IDR_479_520",0.51254108814196
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.497833753408751
"Q8IU81_IDR_56_237",0.502166246591249
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.492545868338448
"Q8IUC6_IDR_634_673",0.507454131661552
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.209860611143105
"Q8IUD2_IDR_621_730",0.23445043567076
"Q8IUD2_IDR_764_839",0.222457732304965
"Q8IUD2_IDR_926_1072",0.333231220881169
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.447766552479614
"Q8IUE0_IDR_1_55",0.552233447520385
"Q8IUE1_IDR_116_241",0.442831979756255
"Q8IUE1_IDR_1_55",0.557168020243745
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.296537752691564
"Q8IUG5_IDR_1_504",0.408260619729806
"Q8IUW5_IDR_126_223",0.250065888911516
"Q8IUW5_IDR_1_54",0.223228074486038
"Q8IUW5_IDR_234_271",0.273658219391742
"Q8IUW5_IDR_91_123",0.253047817210704
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.208253012560841
"Q8IUX7_IDR_1099_1138",0.239525372053977
"Q8IUX7_IDR_44_388",0.552221615385182
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.50088802794469
"Q8IUY3_IDR_182_321",0.49911197205531
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.494702378738607
"Q8IV04_IDR_352_446",0.505297621261393
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.509619186438493
"Q8IV31_IDR_62_184",0.490380813561507
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.240300671226431
"Q8IVE3_IDR_1453_1493",0.247188201982504
"Q8IVE3_IDR_36_69",0.252529573380823
"Q8IVE3_IDR_71_132",0.259981553410242
"Q8IVF1_IDR_14_81",0.196243437941914
"Q8IVF1_IDR_232_366",0.182302952833126
"Q8IVF1_IDR_407_522",0.19960660427832
"Q8IVF1_IDR_525_878",0.242306162327175
"Q8IVF1_IDR_83_205",0.179540842619464
"Q8IVF2_IDR_1_114",0.271410547949282
"Q8IVF2_IDR_1794_5795",0.380015583852003
"Q8IVF2_IDR_195_1792",0.348573868198715
"Q8IVF4_IDR_156_187",0.497741191986761
"Q8IVF4_IDR_1_66",0.502258808013239
"Q8IVF5_IDR_1017_1093",0.219583203506025
"Q8IVF5_IDR_1461_1667",0.289569965076536
"Q8IVF5_IDR_1_498",0.266397000635812
"Q8IVF5_IDR_749_804",0.224449830781627
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.356532860632405
"Q8IVW6_IDR_319_491",0.31955065424846
"Q8IVW6_IDR_516_561",0.323916485119134
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.330842384778523
"Q8IW35_IDR_575_628",0.306073654737878
"Q8IW35_IDR_633_854",0.363083960483598
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.495151948987156
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.486065476958245
"Q8IWE2_IDR_404_437",0.513934523041754
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.552804970192364
"Q8IWF9_IDR_234_348",0.447195029807636
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.153984834298024
"Q8IWI9_IDR_1340_1371",0.0933441924647468
"Q8IWI9_IDR_1398_1903",0.0959938454982078
"Q8IWI9_IDR_1905_2856",0.130847937050403
"Q8IWI9_IDR_261_649",0.138299789164685
"Q8IWI9_IDR_2974_3016",0.0898668060179942
"Q8IWI9_IDR_3020_3065",0.0998772372338231
"Q8IWI9_IDR_681_751",0.094875420199117
"Q8IWI9_IDR_753_1079",0.102909938073
"Q8IWJ2_IDR_1_69",0.366383412410351
"Q8IWT3_IDR_1658_1690",0.245168514838971
"Q8IWT3_IDR_2437_2517",0.248000561301271
"Q8IWT6_IDR_180_231",0.495671038594297
"Q8IWT6_IDR_62_95",0.504328961405703
"Q8IWU2_IDR_1_101",0.263685500463913
"Q8IWU2_IDR_1377_1415",0.22597759896461
"Q8IWU2_IDR_1426_1459",0.232588576430824
"Q8IWU2_IDR_557_1314",0.277748324140653
"Q8IWU5_IDR_1_40",0.222674410694934
"Q8IWU5_IDR_557_594",0.23249721864084
"Q8IWU5_IDR_648_718",0.321831221321772
"Q8IWU5_IDR_824_860",0.222997149342454
"Q8IWU6_IDR_1_37",0.209016073622661
"Q8IWU6_IDR_510_543",0.215216620383025
"Q8IWU6_IDR_561_610",0.224307881600456
"Q8IWU6_IDR_666_738",0.351459424393857
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.333037620963659
"Q8IWV1_IDR_178_270",0.333086684028742
"Q8IWV1_IDR_295_398",0.333875695007599
"Q8IX03_IDR_790_917",0.270653192948098
"Q8IX03_IDR_945_991",0.253466320381106
"Q8IX07_IDR_1_83",0.345051754524539
"Q8IX07_IDR_194_247",0.344369981041484
"Q8IX07_IDR_266_972",0.310578264433977
"Q8IX12_IDR_212_357",0.233615975207604
"Q8IX12_IDR_599_722",0.180795037720194
"Q8IX12_IDR_793_917",0.244123377872882
"Q8IX12_IDR_9_144",0.158156744222489
"Q8IX12_IDR_981_1021",0.18330886497683
"Q8IX15_IDR_125_364",0.278142823389376
"Q8IX15_IDR_1_38",0.228789489448598
"Q8IX15_IDR_420_461",0.250294693189932
"Q8IX15_IDR_504_550",0.242772993972094
"Q8IX18_IDR_1_50",0.476063501771387
"Q8IX18_IDR_706_779",0.523936498228613
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.520219406033634
"Q8IX29_IDR_239_292",0.479780593966366
"Q8IXP5_IDR_108_216",0.504642609792297
"Q8IXP5_IDR_1_106",0.495357390207703
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.522932021813194
"Q8IXQ8_IDR_211_264",0.477067978186806
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.382541585281486
"Q8IXT5_IDR_485_921",0.289773894956985
"Q8IXT5_IDR_89_151",0.327684519761529
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.336736896151677
"Q8IXW0_IDR_176_344",0.317424549468476
"Q8IXW0_IDR_466_587",0.345838554379847
"Q8IXW5_IDR_1_41",0.487256605330017
"Q8IXW5_IDR_171_324",0.512743394669983
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.482902290540924
"Q8IY63_IDR_493_952",0.517097709459076
"Q8IY67_IDR_1_35",0.513704283676987
"Q8IY67_IDR_349_606",0.486295716323013
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.503891369475805
"Q8IY84_IDR_7_44",0.496108630524195
"Q8IY85_IDR_375_441",0.457540871678259
"Q8IY85_IDR_77_146",0.542459128321741
"Q8IY92_IDR_1_50",0.13404239225672
"Q8IY92_IDR_377_470",0.273364980979999
"Q8IY92_IDR_558_613",0.12529356745862
"Q8IY92_IDR_630_669",0.137984131886502
"Q8IY92_IDR_64_289",0.176293936138485
"Q8IY92_IDR_824_1750",0.153020991279674
"Q8IYE1_IDR_684_715",0.494037314477364
"Q8IYF1_IDR_647_753",0.41548363281722
"Q8IYF1_IDR_79_458",0.58451636718278
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.510587270138885
"Q8IYH5_IDR_573_649",0.264283975015996
"Q8IYH5_IDR_714_786",0.225128754845119
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.452555984767991
"Q8IYI6_IDR_287_328",0.547444015232009
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.230464338164477
"Q8IYJ0_IDR_112_175",0.245126313227992
"Q8IYJ0_IDR_204_238",0.268228626960529
"Q8IYJ0_IDR_240_282",0.256180721647001
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.49353759910962
"Q8IYK4_IDR_584_626",0.50646240089038
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.159057275998013
"Q8IYW2_IDR_1347_1410",0.205344645843074
"Q8IYW2_IDR_1985_2022",0.16456664925962
"Q8IYW2_IDR_2287_2320",0.162899972086219
"Q8IYW2_IDR_2540_2579",0.153882993744465
"Q8IYW2_IDR_2630_2661",0.154248463068609
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.500939496599211
"Q8IZ41_IDR_77_124",0.499060503400789
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.298792083478744
"Q8IZ63_IDR_360_422",0.397912211843698
"Q8IZ63_IDR_87_332",0.303295704677559
"Q8IZ69_IDR_1_56",0.51359981846276
"Q8IZ69_IDR_591_625",0.48640018153724
"Q8IZ73_IDR_31_122",0.589045265479408
"Q8IZ73_IDR_421_495",0.410954734520592
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.286756705048416
"Q8IZA0_IDR_201_244",0.303288757152468
"Q8IZA0_IDR_957_1015",0.409954537799115
"Q8IZA3_IDR_114_346",0.706296075575342
"Q8IZA3_IDR_1_50",0.293703924424658
"Q8IZC4_IDR_185_221",0.354268061424805
"Q8IZC4_IDR_409_445",0.245066971196427
"Q8IZC4_IDR_476_603",0.400664967378769
"Q8IZC6_IDR_1_36",0.500400929652434
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.517652627572309
"Q8IZJ3_IDR_1758_1835",0.482347372427691
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.561378890802086
"Q8IZL8_IDR_637_1130",0.438621109197914
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.536021548595828
"Q8IZN3_IDR_323_488",0.463978451404172
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.568031638607475
"Q8IZP6_IDR_97_147",0.431968361392525
"Q8IZP7_IDR_1_118",0.517873237279027
"Q8IZP7_IDR_426_459",0.482126762720973
"Q8IZP9_IDR_249_371",0.246631269919571
"Q8IZP9_IDR_39_74",0.248809074730695
"Q8IZU9_IDR_701_778",0.484711446600062
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.157660987145015
"Q8IZX4_IDR_1220_1400",0.158239631632654
"Q8IZX4_IDR_1644_1826",0.146498770446462
"Q8IZX4_IDR_268_354",0.198943888162588
"Q8IZX4_IDR_536_578",0.164781514465266
"Q8IZX4_IDR_82_235",0.173875208148015
"Q8IZY2_IDR_1152_1210",0.478036684429587
"Q8IZY2_IDR_2105_2146",0.521963315570413
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.508822241525957
"Q8N0S2_IDR_260_351",0.491177758474043
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.234814801466696
"Q8N0U7_IDR_267_299",0.250486828527546
"Q8N0U7_IDR_37_122",0.253910838016484
"Q8N0U7_IDR_391_467",0.260787531989274
"Q8N103_IDR_1_81",0.587549445540625
"Q8N103_IDR_283_731",0.412450554459375
"Q8N108_IDR_1_176",0.413720950455116
"Q8N108_IDR_344_512",0.586279049544884
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.496382229754428
"Q8N114_IDR_203_240",0.503617770245572
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.517887631628344
"Q8N122_IDR_820_949",0.482112368371656
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.495571859473736
"Q8N128_IDR_68_213",0.504428140526264
"Q8N129_IDR_1_32",0.460093517174748
"Q8N129_IDR_202_248",0.539906482825252
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.327270482811329
