"","GO0140110_transcription_regulator_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.240794680025067
"Q5VUJ6_IDR_1_54",0.509329539783125
"Q5VUJ6_IDR_308_649",0.490670460216875
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.416150308906481
"Q5VV16_IDR_235_409",0.583849691093519
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.360256698937472
"Q5VV42_IDR_499_545",0.639743301062528
"Q5VWN6_IDR_1918_1981",0.166990424447696
"Q5VWN6_IDR_1993_2150",0.192576891211666
"Q5VWN6_IDR_803_1879",0.150299464797095
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.140948890250388
"Q5VWQ0_IDR_63_351",0.537811208066081
"Q5VWQ0_IDR_708_802",0.321239901683531
"Q5VWQ8_IDR_1141_1189",0.361792684175472
"Q5VWQ8_IDR_1_142",0.312497809541839
"Q5VWQ8_IDR_654_1098",0.325709506282689
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.221150567908481
"Q5VZL5_IDR_1_334",0.321158041611625
"Q5VZL5_IDR_640_677",0.154317784151826
"Q5VZL5_IDR_851_997",0.159313551252333
"Q5VZL5_IDR_999_1200",0.144060055075735
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.16838608464034
"Q5VZP5_IDR_45_103",0.206867014659352
"Q5XX13_IDR_168_231",0.42258086087286
"Q5XX13_IDR_693_978",0.57741913912714
"Q5XXA6_IDR_1_48",0.233086282731092
"Q5XXA6_IDR_74_121",0.501805539726714
"Q5XXA6_IDR_945_986",0.265108177542194
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.561577224416387
"Q63HK3_IDR_383_743",0.438422775583613
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.340787138527758
"Q66K14_IDR_944_993",0.31333290899831
"Q66K41_IDR_1_291",0.495032695230776
"Q66K41_IDR_304_345",0.504967304769224
"Q66K64_IDR_1_37",0.54151121348554
"Q66K64_IDR_275_383",0.45848878651446
"Q66K66_IDR_241_349",0.749335656571917
"Q66K66_IDR_32_81",0.250664343428083
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.229717725289962
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.537081329195267
"Q8IU57_IDR_479_520",0.462918670804733
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.480363766662433
"Q8IU81_IDR_56_237",0.519636233337567
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.509274060239853
"Q8IUC6_IDR_634_673",0.490725939760147
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.23479073883154
"Q8IUD2_IDR_621_730",0.188132327334812
"Q8IUD2_IDR_764_839",0.198047947197306
"Q8IUD2_IDR_926_1072",0.379028986636342
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.523375298821564
"Q8IUE0_IDR_1_55",0.476624701178436
"Q8IUE1_IDR_116_241",0.54861310000467
"Q8IUE1_IDR_1_55",0.45138689999533
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.392479245074263
"Q8IUG5_IDR_1_504",0.325179247822194
"Q8IUW5_IDR_126_223",0.270062323402447
"Q8IUW5_IDR_1_54",0.280594826403209
"Q8IUW5_IDR_234_271",0.229490736045165
"Q8IUW5_IDR_91_123",0.219852114149179
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.313316923159765
"Q8IUX7_IDR_1099_1138",0.403902110965008
"Q8IUX7_IDR_44_388",0.282780965875227
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.629730680237164
"Q8IUY3_IDR_182_321",0.370269319762836
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.531791601161738
"Q8IV04_IDR_352_446",0.468208398838262
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.485876336548574
"Q8IV31_IDR_62_184",0.514123663451426
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.23442090186442
"Q8IVE3_IDR_1453_1493",0.299921008120652
"Q8IVE3_IDR_36_69",0.247689264373684
"Q8IVE3_IDR_71_132",0.217968825641245
"Q8IVF1_IDR_14_81",0.194401258680252
"Q8IVF1_IDR_232_366",0.185766884436961
"Q8IVF1_IDR_407_522",0.193412165756243
"Q8IVF1_IDR_525_878",0.217592322601369
"Q8IVF1_IDR_83_205",0.208827368525175
"Q8IVF2_IDR_1_114",0.301586113486077
"Q8IVF2_IDR_1794_5795",0.369489674674698
"Q8IVF2_IDR_195_1792",0.328924211839225
"Q8IVF4_IDR_156_187",0.552640346888578
"Q8IVF4_IDR_1_66",0.447359653111422
"Q8IVF5_IDR_1017_1093",0.204899229937496
"Q8IVF5_IDR_1461_1667",0.246151168065002
"Q8IVF5_IDR_1_498",0.376343843166884
"Q8IVF5_IDR_749_804",0.172605758830619
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.31871082764971
"Q8IVW6_IDR_319_491",0.331985315743154
"Q8IVW6_IDR_516_561",0.349303856607136
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.448197864566272
"Q8IW35_IDR_575_628",0.279172311692169
"Q8IW35_IDR_633_854",0.272629823741559
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.550789349171027
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.560458810851716
"Q8IWE2_IDR_404_437",0.439541189148284
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.470341714572308
"Q8IWF9_IDR_234_348",0.529658285427692
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105268620971239
"Q8IWI9_IDR_1340_1371",0.101683907292003
"Q8IWI9_IDR_1398_1903",0.103933360004091
"Q8IWI9_IDR_1905_2856",0.10004215560327
"Q8IWI9_IDR_261_649",0.218645944753995
"Q8IWI9_IDR_2974_3016",0.100741989027706
"Q8IWI9_IDR_3020_3065",0.0970736972326387
"Q8IWI9_IDR_681_751",0.0992159872176713
"Q8IWI9_IDR_753_1079",0.0733943378973863
"Q8IWJ2_IDR_1_69",0.243678177535193
"Q8IWT3_IDR_1658_1690",0.217583454990436
"Q8IWT3_IDR_2437_2517",0.204528869162699
"Q8IWT6_IDR_180_231",0.464388667868853
"Q8IWT6_IDR_62_95",0.535611332131147
"Q8IWU2_IDR_1_101",0.264138512219727
"Q8IWU2_IDR_1377_1415",0.271422403144626
"Q8IWU2_IDR_1426_1459",0.220913504973637
"Q8IWU2_IDR_557_1314",0.24352557966201
"Q8IWU5_IDR_1_40",0.220775224988774
"Q8IWU5_IDR_557_594",0.247275827195816
"Q8IWU5_IDR_648_718",0.218213805691084
"Q8IWU5_IDR_824_860",0.313735142124325
"Q8IWU6_IDR_1_37",0.249480358593711
"Q8IWU6_IDR_510_543",0.28773753662595
"Q8IWU6_IDR_561_610",0.261168549912394
"Q8IWU6_IDR_666_738",0.201613554867945
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.29392166061306
"Q8IWV1_IDR_178_270",0.310133473386796
"Q8IWV1_IDR_295_398",0.395944866000143
"Q8IX03_IDR_790_917",0.218213257248897
"Q8IX03_IDR_945_991",0.274018032472641
"Q8IX07_IDR_1_83",0.113864948626399
"Q8IX07_IDR_194_247",0.158780925476241
"Q8IX07_IDR_266_972",0.72735412589736
"Q8IX12_IDR_212_357",0.117417404026686
"Q8IX12_IDR_599_722",0.151260343595801
"Q8IX12_IDR_793_917",0.154873690494234
"Q8IX12_IDR_9_144",0.380613132483168
"Q8IX12_IDR_981_1021",0.195835429400111
"Q8IX15_IDR_125_364",0.40928570331771
"Q8IX15_IDR_1_38",0.206366740783773
"Q8IX15_IDR_420_461",0.198756476514016
"Q8IX15_IDR_504_550",0.185591079384501
"Q8IX18_IDR_1_50",0.523045799584631
"Q8IX18_IDR_706_779",0.476954200415369
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.536434708333627
"Q8IX29_IDR_239_292",0.463565291666373
"Q8IXP5_IDR_108_216",0.572273877493179
"Q8IXP5_IDR_1_106",0.427726122506821
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.429793820096026
"Q8IXQ8_IDR_211_264",0.570206179903974
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.32789381479453
"Q8IXT5_IDR_485_921",0.346606024029014
"Q8IXT5_IDR_89_151",0.325500161176456
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.34590715407687
"Q8IXW0_IDR_176_344",0.362873198461391
"Q8IXW0_IDR_466_587",0.291219647461739
"Q8IXW5_IDR_1_41",0.491264984198658
"Q8IXW5_IDR_171_324",0.508735015801342
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.626761970690514
"Q8IY63_IDR_493_952",0.373238029309486
"Q8IY67_IDR_1_35",0.347437795310907
"Q8IY67_IDR_349_606",0.652562204689093
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.529175476307448
"Q8IY84_IDR_7_44",0.470824523692552
"Q8IY85_IDR_375_441",0.458202464080978
"Q8IY85_IDR_77_146",0.541797535919022
"Q8IY92_IDR_1_50",0.184723052538225
"Q8IY92_IDR_377_470",0.134110383401573
"Q8IY92_IDR_558_613",0.182819940172171
"Q8IY92_IDR_630_669",0.162992555135262
"Q8IY92_IDR_64_289",0.135534261267025
"Q8IY92_IDR_824_1750",0.199819807485745
"Q8IYE1_IDR_684_715",0.623069649511225
"Q8IYF1_IDR_647_753",0.404923101418064
"Q8IYF1_IDR_79_458",0.595076898581937
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.339149233801918
"Q8IYH5_IDR_573_649",0.317176262337805
"Q8IYH5_IDR_714_786",0.343674503860277
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.519078775974326
"Q8IYI6_IDR_287_328",0.480921224025674
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.243643475466315
"Q8IYJ0_IDR_112_175",0.255821176826747
"Q8IYJ0_IDR_204_238",0.242085589311701
"Q8IYJ0_IDR_240_282",0.258449758395237
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.450060470288158
"Q8IYK4_IDR_584_626",0.549939529711842
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.192243233134712
"Q8IYW2_IDR_1347_1410",0.142282605356359
"Q8IYW2_IDR_1985_2022",0.159819997719584
"Q8IYW2_IDR_2287_2320",0.160144594799098
"Q8IYW2_IDR_2540_2579",0.162473475863574
"Q8IYW2_IDR_2630_2661",0.183036093126672
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.512260864534588
"Q8IZ41_IDR_77_124",0.487739135465412
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.335188709251848
"Q8IZ63_IDR_360_422",0.275228622598255
"Q8IZ63_IDR_87_332",0.389582668149897
"Q8IZ69_IDR_1_56",0.455674479958961
"Q8IZ69_IDR_591_625",0.544325520041039
"Q8IZ73_IDR_31_122",0.424262774519713
"Q8IZ73_IDR_421_495",0.575737225480287
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.340844184172194
"Q8IZA0_IDR_201_244",0.369343834402008
"Q8IZA0_IDR_957_1015",0.289811981425798
"Q8IZA3_IDR_114_346",0.432098874004169
"Q8IZA3_IDR_1_50",0.567901125995831
"Q8IZC4_IDR_185_221",0.319097699287974
"Q8IZC4_IDR_409_445",0.342833217315583
"Q8IZC4_IDR_476_603",0.338069083396443
"Q8IZC6_IDR_1_36",0.514090540197873
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.486611767106844
"Q8IZJ3_IDR_1758_1835",0.513388232893156
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.475077684559759
"Q8IZL8_IDR_637_1130",0.524922315440241
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.282268691253194
"Q8IZN3_IDR_323_488",0.717731308746806
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.45957783631374
"Q8IZP6_IDR_97_147",0.54042216368626
"Q8IZP7_IDR_1_118",0.543940299522688
"Q8IZP7_IDR_426_459",0.456059700477312
"Q8IZP9_IDR_249_371",0.306096662580493
"Q8IZP9_IDR_39_74",0.257548151718592
"Q8IZU9_IDR_701_778",0.356736446825476
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.155726905864075
"Q8IZX4_IDR_1220_1400",0.15873389484373
"Q8IZX4_IDR_1644_1826",0.162418486179462
"Q8IZX4_IDR_268_354",0.148745705976106
"Q8IZX4_IDR_536_578",0.239076315828622
"Q8IZX4_IDR_82_235",0.135298691308005
"Q8IZY2_IDR_1152_1210",0.516999615300246
"Q8IZY2_IDR_2105_2146",0.483000384699754
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.452588238699509
"Q8N0S2_IDR_260_351",0.547411761300491
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.221177528780959
"Q8N0U7_IDR_267_299",0.226557981667913
"Q8N0U7_IDR_37_122",0.304307396317782
"Q8N0U7_IDR_391_467",0.247957093233346
"Q8N103_IDR_1_81",0.471146528362212
"Q8N103_IDR_283_731",0.528853471637788
"Q8N108_IDR_1_176",0.326511880344224
"Q8N108_IDR_344_512",0.673488119655776
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.51161947616687
"Q8N114_IDR_203_240",0.48838052383313
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.419433648288291
"Q8N122_IDR_820_949",0.580566351711709
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.355926015515562
"Q8N128_IDR_68_213",0.644073984484439
"Q8N129_IDR_1_32",0.479537017793322
"Q8N129_IDR_202_248",0.520462982206678
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.292241251437485
