"","GO0045892_negative_regulation_of_transcription._DNA_templated"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.329533942899436
"Q5VUJ6_IDR_1_54",0.485745022400496
"Q5VUJ6_IDR_308_649",0.514254977599504
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.511903723766278
"Q5VV16_IDR_235_409",0.488096276233722
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.483833470863386
"Q5VV42_IDR_499_545",0.516166529136614
"Q5VWN6_IDR_1918_1981",0.168651214169224
"Q5VWN6_IDR_1993_2150",0.166981087796384
"Q5VWN6_IDR_803_1879",0.168936070801284
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.27138018658283
"Q5VWQ0_IDR_63_351",0.350994560751109
"Q5VWQ0_IDR_708_802",0.377625252666061
"Q5VWQ8_IDR_1141_1189",0.33489497334594
"Q5VWQ8_IDR_1_142",0.336178025509364
"Q5VWQ8_IDR_654_1098",0.328927001144696
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.200830173299774
"Q5VZL5_IDR_1_334",0.203007892595132
"Q5VZL5_IDR_640_677",0.194921435308493
"Q5VZL5_IDR_851_997",0.224506922481235
"Q5VZL5_IDR_999_1200",0.176733576315366
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.199443265784386
"Q5VZP5_IDR_45_103",0.154613887103556
"Q5XX13_IDR_168_231",0.488028983654245
"Q5XX13_IDR_693_978",0.511971016345755
"Q5XXA6_IDR_1_48",0.321010818704261
"Q5XXA6_IDR_74_121",0.326483781279112
"Q5XXA6_IDR_945_986",0.352505400016627
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.510010719459355
"Q63HK3_IDR_383_743",0.489989280540645
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.333482605825776
"Q66K14_IDR_944_993",0.32141161395453
"Q66K41_IDR_1_291",0.508222733168629
"Q66K41_IDR_304_345",0.491777266831371
"Q66K64_IDR_1_37",0.448779073664792
"Q66K64_IDR_275_383",0.551220926335208
"Q66K66_IDR_241_349",0.506472379756346
"Q66K66_IDR_32_81",0.493527620243654
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.246157878126686
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.509938079378401
"Q8IU57_IDR_479_520",0.490061920621599
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.551783124676415
"Q8IU81_IDR_56_237",0.448216875323585
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.519206873316111
"Q8IUC6_IDR_634_673",0.480793126683889
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.247310890857466
"Q8IUD2_IDR_621_730",0.227601274652235
"Q8IUD2_IDR_764_839",0.229404292426455
"Q8IUD2_IDR_926_1072",0.295683542063845
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.504613560465032
"Q8IUE0_IDR_1_55",0.495386439534968
"Q8IUE1_IDR_116_241",0.492833717886655
"Q8IUE1_IDR_1_55",0.507166282113345
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.325005045111141
"Q8IUG5_IDR_1_504",0.34806032542568
"Q8IUW5_IDR_126_223",0.247006066285447
"Q8IUW5_IDR_1_54",0.250850594299581
"Q8IUW5_IDR_234_271",0.250392890624112
"Q8IUW5_IDR_91_123",0.251750448790861
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.297121861084232
"Q8IUX7_IDR_1099_1138",0.36000101199643
"Q8IUX7_IDR_44_388",0.342877126919338
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.520390584525758
"Q8IUY3_IDR_182_321",0.479609415474242
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.507546985499358
"Q8IV04_IDR_352_446",0.492453014500642
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.494738303687325
"Q8IV31_IDR_62_184",0.505261696312675
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.287920884232074
"Q8IVE3_IDR_1453_1493",0.249771830616779
"Q8IVE3_IDR_36_69",0.235923896980997
"Q8IVE3_IDR_71_132",0.22638338817015
"Q8IVF1_IDR_14_81",0.19819446751919
"Q8IVF1_IDR_232_366",0.192624385222564
"Q8IVF1_IDR_407_522",0.205437487391162
"Q8IVF1_IDR_525_878",0.208519461377351
"Q8IVF1_IDR_83_205",0.195224198489734
"Q8IVF2_IDR_1_114",0.308710445238113
"Q8IVF2_IDR_1794_5795",0.370302461742814
"Q8IVF2_IDR_195_1792",0.320987093019073
"Q8IVF4_IDR_156_187",0.48033068436748
"Q8IVF4_IDR_1_66",0.51966931563252
"Q8IVF5_IDR_1017_1093",0.239785243095912
"Q8IVF5_IDR_1461_1667",0.254205579382476
"Q8IVF5_IDR_1_498",0.260981340985513
"Q8IVF5_IDR_749_804",0.245027836536099
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.352602889342685
"Q8IVW6_IDR_319_491",0.269957686842755
"Q8IVW6_IDR_516_561",0.37743942381456
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.347547579411436
"Q8IW35_IDR_575_628",0.32525845537711
"Q8IW35_IDR_633_854",0.327193965211455
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.507688860207929
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.493695235284769
"Q8IWE2_IDR_404_437",0.506304764715231
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.497136163898553
"Q8IWF9_IDR_234_348",0.502863836101447
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.10624546408934
"Q8IWI9_IDR_1340_1371",0.109115975008533
"Q8IWI9_IDR_1398_1903",0.121555095206153
"Q8IWI9_IDR_1905_2856",0.109690103982373
"Q8IWI9_IDR_261_649",0.1112740068569
"Q8IWI9_IDR_2974_3016",0.106366286766495
"Q8IWI9_IDR_3020_3065",0.125092487915637
"Q8IWI9_IDR_681_751",0.105236062124695
"Q8IWI9_IDR_753_1079",0.105424518049873
"Q8IWJ2_IDR_1_69",0.325960244825761
"Q8IWT3_IDR_1658_1690",0.231236893580573
"Q8IWT3_IDR_2437_2517",0.229575763008442
"Q8IWT6_IDR_180_231",0.488833516806934
"Q8IWT6_IDR_62_95",0.511166483193066
"Q8IWU2_IDR_1_101",0.254910242083137
"Q8IWU2_IDR_1377_1415",0.259122096152839
"Q8IWU2_IDR_1426_1459",0.2469402047745
"Q8IWU2_IDR_557_1314",0.239027456989523
"Q8IWU5_IDR_1_40",0.23712097919704
"Q8IWU5_IDR_557_594",0.258219105449649
"Q8IWU5_IDR_648_718",0.237471298063604
"Q8IWU5_IDR_824_860",0.267188617289708
"Q8IWU6_IDR_1_37",0.252403395891028
"Q8IWU6_IDR_510_543",0.259737127173553
"Q8IWU6_IDR_561_610",0.243897653682564
"Q8IWU6_IDR_666_738",0.243961823252854
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.318587877572848
"Q8IWV1_IDR_178_270",0.326473728599787
"Q8IWV1_IDR_295_398",0.354938393827366
"Q8IX03_IDR_790_917",0.25357072723612
"Q8IX03_IDR_945_991",0.245870002670069
"Q8IX07_IDR_1_83",0.298059410701054
"Q8IX07_IDR_194_247",0.265911182986187
"Q8IX07_IDR_266_972",0.43602940631276
"Q8IX12_IDR_212_357",0.170329455658557
"Q8IX12_IDR_599_722",0.237061123265825
"Q8IX12_IDR_793_917",0.192358312203109
"Q8IX12_IDR_9_144",0.202369623438918
"Q8IX12_IDR_981_1021",0.197881485433592
"Q8IX15_IDR_125_364",0.259114833810595
"Q8IX15_IDR_1_38",0.243147390476482
"Q8IX15_IDR_420_461",0.243425091254494
"Q8IX15_IDR_504_550",0.254312684458428
"Q8IX18_IDR_1_50",0.511428982723392
"Q8IX18_IDR_706_779",0.488571017276608
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.510490228413524
"Q8IX29_IDR_239_292",0.489509771586476
"Q8IXP5_IDR_108_216",0.547327849849891
"Q8IXP5_IDR_1_106",0.452672150150109
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.439234434784153
"Q8IXQ8_IDR_211_264",0.560765565215847
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.32278281905314
"Q8IXT5_IDR_485_921",0.358794896002653
"Q8IXT5_IDR_89_151",0.318422284944208
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.330011503243322
"Q8IXW0_IDR_176_344",0.345937011286801
"Q8IXW0_IDR_466_587",0.324051485469878
"Q8IXW5_IDR_1_41",0.47654957424929
"Q8IXW5_IDR_171_324",0.52345042575071
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.520968753962757
"Q8IY63_IDR_493_952",0.479031246037243
"Q8IY67_IDR_1_35",0.502337064499254
"Q8IY67_IDR_349_606",0.497662935500746
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.515500917600438
"Q8IY84_IDR_7_44",0.484499082399561
"Q8IY85_IDR_375_441",0.496304094877946
"Q8IY85_IDR_77_146",0.503695905122054
"Q8IY92_IDR_1_50",0.151643230447263
"Q8IY92_IDR_377_470",0.140421144788202
"Q8IY92_IDR_558_613",0.169839668434743
"Q8IY92_IDR_630_669",0.153463661565806
"Q8IY92_IDR_64_289",0.159335831492675
"Q8IY92_IDR_824_1750",0.22529646327131
"Q8IYE1_IDR_684_715",0.512331307695112
"Q8IYF1_IDR_647_753",0.448458455158053
"Q8IYF1_IDR_79_458",0.551541544841948
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.346384671367205
"Q8IYH5_IDR_573_649",0.338074587726235
"Q8IYH5_IDR_714_786",0.31554074090656
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.504106895292435
"Q8IYI6_IDR_287_328",0.495893104707565
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244777434983342
"Q8IYJ0_IDR_112_175",0.237621221985863
"Q8IYJ0_IDR_204_238",0.241009785769785
"Q8IYJ0_IDR_240_282",0.27659155726101
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.492277111695072
"Q8IYK4_IDR_584_626",0.507722888304928
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.169328240538614
"Q8IYW2_IDR_1347_1410",0.169888458347894
"Q8IYW2_IDR_1985_2022",0.16446391184279
"Q8IYW2_IDR_2287_2320",0.166343399059078
"Q8IYW2_IDR_2540_2579",0.162244067631661
"Q8IYW2_IDR_2630_2661",0.167731922579962
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.517356120657058
"Q8IZ41_IDR_77_124",0.482643879342942
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337189418948376
"Q8IZ63_IDR_360_422",0.32443991992985
"Q8IZ63_IDR_87_332",0.338370661121774
"Q8IZ69_IDR_1_56",0.527185975553521
"Q8IZ69_IDR_591_625",0.472814024446479
"Q8IZ73_IDR_31_122",0.486134269816372
"Q8IZ73_IDR_421_495",0.513865730183628
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.338834801852772
"Q8IZA0_IDR_201_244",0.340348212076706
"Q8IZA0_IDR_957_1015",0.320816986070522
"Q8IZA3_IDR_114_346",0.482178961039834
"Q8IZA3_IDR_1_50",0.517821038960166
"Q8IZC4_IDR_185_221",0.326541028823533
"Q8IZC4_IDR_409_445",0.329608551987175
"Q8IZC4_IDR_476_603",0.343850419189293
"Q8IZC6_IDR_1_36",0.503466183710358
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.496119326686897
"Q8IZJ3_IDR_1758_1835",0.503880673313103
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.494890801396624
"Q8IZL8_IDR_637_1130",0.505109198603376
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.480779275274176
"Q8IZN3_IDR_323_488",0.519220724725824
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.516212700537599
"Q8IZP6_IDR_97_147",0.483787299462401
"Q8IZP7_IDR_1_118",0.528580566753247
"Q8IZP7_IDR_426_459",0.471419433246753
"Q8IZP9_IDR_249_371",0.256110440014925
"Q8IZP9_IDR_39_74",0.261602753045121
"Q8IZU9_IDR_701_778",0.496788741863146
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166464052970003
"Q8IZX4_IDR_1220_1400",0.15997649633348
"Q8IZX4_IDR_1644_1826",0.173415778653952
"Q8IZX4_IDR_268_354",0.16168566566203
"Q8IZX4_IDR_536_578",0.17615800534726
"Q8IZX4_IDR_82_235",0.162300001033274
"Q8IZY2_IDR_1152_1210",0.50443741963122
"Q8IZY2_IDR_2105_2146",0.49556258036878
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.48685979863132
"Q8N0S2_IDR_260_351",0.51314020136868
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.231249280925891
"Q8N0U7_IDR_267_299",0.247957851775453
"Q8N0U7_IDR_37_122",0.260865786377448
"Q8N0U7_IDR_391_467",0.259927080921208
"Q8N103_IDR_1_81",0.472842196109924
"Q8N103_IDR_283_731",0.527157803890076
"Q8N108_IDR_1_176",0.461028839969362
"Q8N108_IDR_344_512",0.538971160030638
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.492926676320147
"Q8N114_IDR_203_240",0.507073323679853
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.482831929875654
"Q8N122_IDR_820_949",0.517168070124346
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.453876810051697
"Q8N128_IDR_68_213",0.546123189948303
"Q8N129_IDR_1_32",0.473526516021048
"Q8N129_IDR_202_248",0.526473483978952
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.315432768098548
