"","GO0007155_cell_adhesion"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.329751181942052
"Q5VUJ6_IDR_1_54",0.475707866788927
"Q5VUJ6_IDR_308_649",0.524292133211073
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.499602683046784
"Q5VV16_IDR_235_409",0.500397316953216
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.495087600653789
"Q5VV42_IDR_499_545",0.504912399346211
"Q5VWN6_IDR_1918_1981",0.197637116445264
"Q5VWN6_IDR_1993_2150",0.160176470638607
"Q5VWN6_IDR_803_1879",0.164398044493774
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.343130361305443
"Q5VWQ0_IDR_63_351",0.326493767079062
"Q5VWQ0_IDR_708_802",0.330375871615495
"Q5VWQ8_IDR_1141_1189",0.32694707358419
"Q5VWQ8_IDR_1_142",0.324037505198483
"Q5VWQ8_IDR_654_1098",0.349015421217327
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.185107633017114
"Q5VZL5_IDR_1_334",0.196332468848164
"Q5VZL5_IDR_640_677",0.206278583794533
"Q5VZL5_IDR_851_997",0.217664137189557
"Q5VZL5_IDR_999_1200",0.194617177150632
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.158193797076603
"Q5VZP5_IDR_45_103",0.176392976036107
"Q5XX13_IDR_168_231",0.487903801129342
"Q5XX13_IDR_693_978",0.512096198870658
"Q5XXA6_IDR_1_48",0.339593977753601
"Q5XXA6_IDR_74_121",0.325778837652159
"Q5XXA6_IDR_945_986",0.334627184594239
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.499638332893338
"Q63HK3_IDR_383_743",0.500361667106662
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.333397417488501
"Q66K14_IDR_944_993",0.357604468037884
"Q66K41_IDR_1_291",0.476535061222361
"Q66K41_IDR_304_345",0.523464938777639
"Q66K64_IDR_1_37",0.516932114248637
"Q66K64_IDR_275_383",0.483067885751363
"Q66K66_IDR_241_349",0.52327840776122
"Q66K66_IDR_32_81",0.47672159223878
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.252870959106314
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.507403201607106
"Q8IU57_IDR_479_520",0.492596798392894
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.502401819266796
"Q8IU81_IDR_56_237",0.497598180733204
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.474858299607569
"Q8IUC6_IDR_634_673",0.525141700392431
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.266603176668337
"Q8IUD2_IDR_621_730",0.243841358019954
"Q8IUD2_IDR_764_839",0.243849389505932
"Q8IUD2_IDR_926_1072",0.245706075805777
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.501080495152993
"Q8IUE0_IDR_1_55",0.498919504847007
"Q8IUE1_IDR_116_241",0.503938148101118
"Q8IUE1_IDR_1_55",0.496061851898882
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.356801490656089
"Q8IUG5_IDR_1_504",0.321173907272566
"Q8IUW5_IDR_126_223",0.244553953440436
"Q8IUW5_IDR_1_54",0.256241413555974
"Q8IUW5_IDR_234_271",0.246292944949664
"Q8IUW5_IDR_91_123",0.252911688053925
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.381576561573736
"Q8IUX7_IDR_1099_1138",0.293091890078099
"Q8IUX7_IDR_44_388",0.325331548348165
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.513646466247452
"Q8IUY3_IDR_182_321",0.486353533752548
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.503822362314917
"Q8IV04_IDR_352_446",0.496177637685083
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.483250892047895
"Q8IV31_IDR_62_184",0.516749107952105
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.280681256782788
"Q8IVE3_IDR_1453_1493",0.245771427859495
"Q8IVE3_IDR_36_69",0.240119576359212
"Q8IVE3_IDR_71_132",0.233427738998505
"Q8IVF1_IDR_14_81",0.203888754090868
"Q8IVF1_IDR_232_366",0.211850317460539
"Q8IVF1_IDR_407_522",0.18654239466066
"Q8IVF1_IDR_525_878",0.185404848429277
"Q8IVF1_IDR_83_205",0.212313685358656
"Q8IVF2_IDR_1_114",0.369366644865315
"Q8IVF2_IDR_1794_5795",0.31360111439137
"Q8IVF2_IDR_195_1792",0.317032240743315
"Q8IVF4_IDR_156_187",0.520871712923188
"Q8IVF4_IDR_1_66",0.479128287076812
"Q8IVF5_IDR_1017_1093",0.257307357329796
"Q8IVF5_IDR_1461_1667",0.221875964713229
"Q8IVF5_IDR_1_498",0.28203554418323
"Q8IVF5_IDR_749_804",0.238781133773745
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.320783238320891
"Q8IVW6_IDR_319_491",0.339334104858002
"Q8IVW6_IDR_516_561",0.339882656821107
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.350997082387838
"Q8IW35_IDR_575_628",0.317457863534159
"Q8IW35_IDR_633_854",0.331545054078004
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.507894475539464
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.507934334357032
"Q8IWE2_IDR_404_437",0.492065665642968
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.508434362939254
"Q8IWF9_IDR_234_348",0.491565637060746
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.10749768250038
"Q8IWI9_IDR_1340_1371",0.106538285960761
"Q8IWI9_IDR_1398_1903",0.125522439946125
"Q8IWI9_IDR_1905_2856",0.104568869396837
"Q8IWI9_IDR_261_649",0.112467489264453
"Q8IWI9_IDR_2974_3016",0.105080593885796
"Q8IWI9_IDR_3020_3065",0.108593574430653
"Q8IWI9_IDR_681_751",0.103223772982498
"Q8IWI9_IDR_753_1079",0.126507291632497
"Q8IWJ2_IDR_1_69",0.339838123722572
"Q8IWT3_IDR_1658_1690",0.243298005050393
"Q8IWT3_IDR_2437_2517",0.268041255104121
"Q8IWT6_IDR_180_231",0.477952551672543
"Q8IWT6_IDR_62_95",0.522047448327457
"Q8IWU2_IDR_1_101",0.252324603538546
"Q8IWU2_IDR_1377_1415",0.25475178186494
"Q8IWU2_IDR_1426_1459",0.245122340441804
"Q8IWU2_IDR_557_1314",0.24780127415471
"Q8IWU5_IDR_1_40",0.260626706742529
"Q8IWU5_IDR_557_594",0.246005642636881
"Q8IWU5_IDR_648_718",0.229315642057924
"Q8IWU5_IDR_824_860",0.264052008562665
"Q8IWU6_IDR_1_37",0.255506490685336
"Q8IWU6_IDR_510_543",0.258449758237625
"Q8IWU6_IDR_561_610",0.238306106474069
"Q8IWU6_IDR_666_738",0.24773764460297
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.330555984445135
"Q8IWV1_IDR_178_270",0.343973217031565
"Q8IWV1_IDR_295_398",0.3254707985233
"Q8IX03_IDR_790_917",0.232554227041243
"Q8IX03_IDR_945_991",0.247785562905487
"Q8IX07_IDR_1_83",0.310090672952913
"Q8IX07_IDR_194_247",0.330201581534485
"Q8IX07_IDR_266_972",0.359707745512602
"Q8IX12_IDR_212_357",0.207100862079944
"Q8IX12_IDR_599_722",0.191009556308542
"Q8IX12_IDR_793_917",0.198088138166696
"Q8IX12_IDR_9_144",0.196209258468146
"Q8IX12_IDR_981_1021",0.207592184976672
"Q8IX15_IDR_125_364",0.245289027152307
"Q8IX15_IDR_1_38",0.256337633696115
"Q8IX15_IDR_420_461",0.256550215248685
"Q8IX15_IDR_504_550",0.241823123902893
"Q8IX18_IDR_1_50",0.508275187940251
"Q8IX18_IDR_706_779",0.491724812059749
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.510574291915392
"Q8IX29_IDR_239_292",0.489425708084608
"Q8IXP5_IDR_108_216",0.492754516137955
"Q8IXP5_IDR_1_106",0.507245483862045
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.52444137546819
"Q8IXQ8_IDR_211_264",0.47555862453181
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.331137884586169
"Q8IXT5_IDR_485_921",0.335417852672641
"Q8IXT5_IDR_89_151",0.333444262741189
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333620163886291
"Q8IXW0_IDR_176_344",0.3362044138487
"Q8IXW0_IDR_466_587",0.330175422265009
"Q8IXW5_IDR_1_41",0.51238053364536
"Q8IXW5_IDR_171_324",0.48761946635464
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.506438090869782
"Q8IY63_IDR_493_952",0.493561909130218
"Q8IY67_IDR_1_35",0.476288501430935
"Q8IY67_IDR_349_606",0.523711498569065
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.508790407105875
"Q8IY84_IDR_7_44",0.491209592894125
"Q8IY85_IDR_375_441",0.5070686330141
"Q8IY85_IDR_77_146",0.4929313669859
"Q8IY92_IDR_1_50",0.181134490232635
"Q8IY92_IDR_377_470",0.159347564846759
"Q8IY92_IDR_558_613",0.16955531539081
"Q8IY92_IDR_630_669",0.168313768543754
"Q8IY92_IDR_64_289",0.165114528267917
"Q8IY92_IDR_824_1750",0.156534332718125
"Q8IYE1_IDR_684_715",0.549374480876859
"Q8IYF1_IDR_647_753",0.526636060746785
"Q8IYF1_IDR_79_458",0.473363939253215
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.302523131344995
"Q8IYH5_IDR_573_649",0.342910784000489
"Q8IYH5_IDR_714_786",0.354566084654516
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.512819938725332
"Q8IYI6_IDR_287_328",0.487180061274668
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242824402821437
"Q8IYJ0_IDR_112_175",0.261046563746236
"Q8IYJ0_IDR_204_238",0.255976819828135
"Q8IYJ0_IDR_240_282",0.240152213604191
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.497862816001044
"Q8IYK4_IDR_584_626",0.502137183998956
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165943830786768
"Q8IYW2_IDR_1347_1410",0.156190643223014
"Q8IYW2_IDR_1985_2022",0.168319163183716
"Q8IYW2_IDR_2287_2320",0.163584689611486
"Q8IYW2_IDR_2540_2579",0.171816424973589
"Q8IYW2_IDR_2630_2661",0.174145248221427
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.559302896540627
"Q8IZ41_IDR_77_124",0.440697103459373
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.36313133270017
"Q8IZ63_IDR_360_422",0.303786659580363
"Q8IZ63_IDR_87_332",0.333082007719466
"Q8IZ69_IDR_1_56",0.476236896350296
"Q8IZ69_IDR_591_625",0.523763103649704
"Q8IZ73_IDR_31_122",0.48326862481795
"Q8IZ73_IDR_421_495",0.51673137518205
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.32133204313823
"Q8IZA0_IDR_201_244",0.337335223654379
"Q8IZA0_IDR_957_1015",0.341332733207391
"Q8IZA3_IDR_114_346",0.491571942824989
"Q8IZA3_IDR_1_50",0.508428057175011
"Q8IZC4_IDR_185_221",0.341028191395158
"Q8IZC4_IDR_409_445",0.332280157306572
"Q8IZC4_IDR_476_603",0.326691651298269
"Q8IZC6_IDR_1_36",0.519507193680787
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.492717078978622
"Q8IZJ3_IDR_1758_1835",0.507282921021378
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.53737339613557
"Q8IZL8_IDR_637_1130",0.46262660386443
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.478378468936478
"Q8IZN3_IDR_323_488",0.521621531063522
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.480769164876566
"Q8IZP6_IDR_97_147",0.519230835123434
"Q8IZP7_IDR_1_118",0.529647460219859
"Q8IZP7_IDR_426_459",0.470352539780141
"Q8IZP9_IDR_249_371",0.283222824772396
"Q8IZP9_IDR_39_74",0.234243292252907
"Q8IZU9_IDR_701_778",0.535250279499748
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163741003543962
"Q8IZX4_IDR_1220_1400",0.169062889326362
"Q8IZX4_IDR_1644_1826",0.162712380339335
"Q8IZX4_IDR_268_354",0.169574083074439
"Q8IZX4_IDR_536_578",0.164571463265157
"Q8IZX4_IDR_82_235",0.170338180450745
"Q8IZY2_IDR_1152_1210",0.501010224397328
"Q8IZY2_IDR_2105_2146",0.498989775602672
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.518975115702398
"Q8N0S2_IDR_260_351",0.481024884297602
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.251001908092797
"Q8N0U7_IDR_267_299",0.251439578908169
"Q8N0U7_IDR_37_122",0.247787928046143
"Q8N0U7_IDR_391_467",0.24977058495289
"Q8N103_IDR_1_81",0.45841809807345
"Q8N103_IDR_283_731",0.54158190192655
"Q8N108_IDR_1_176",0.499377235385967
"Q8N108_IDR_344_512",0.500622764614033
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.515879689791891
"Q8N114_IDR_203_240",0.484120310208109
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.469783476841571
"Q8N122_IDR_820_949",0.530216523158429
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.466012899205775
"Q8N128_IDR_68_213",0.533987100794225
"Q8N129_IDR_1_32",0.515958298722825
"Q8N129_IDR_202_248",0.484041701277175
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.351955952278543
"Q8N137_IDR_442_797",0.317191700159599
