"","GO0030659_cytoplasmic_vesicle_membrane"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.333060570984361
"Q5VUJ6_IDR_1_54",0.536462324479235
"Q5VUJ6_IDR_308_649",0.463537675520765
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.50096394139974
"Q5VV16_IDR_235_409",0.49903605860026
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.492300631690759
"Q5VV42_IDR_499_545",0.507699368309241
"Q5VWN6_IDR_1918_1981",0.150521735902355
"Q5VWN6_IDR_1993_2150",0.146980123171079
"Q5VWN6_IDR_803_1879",0.231440021577525
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.320835451280705
"Q5VWQ0_IDR_63_351",0.292960103312484
"Q5VWQ0_IDR_708_802",0.386204445406811
"Q5VWQ8_IDR_1141_1189",0.324903102181876
"Q5VWQ8_IDR_1_142",0.311097937933749
"Q5VWQ8_IDR_654_1098",0.363998959884375
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.190875965648392
"Q5VZL5_IDR_1_334",0.201194819085177
"Q5VZL5_IDR_640_677",0.198137203147991
"Q5VZL5_IDR_851_997",0.186746223547939
"Q5VZL5_IDR_999_1200",0.223045788570502
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.186148363178914
"Q5VZP5_IDR_45_103",0.165191401649123
"Q5XX13_IDR_168_231",0.516862697846717
"Q5XX13_IDR_693_978",0.483137302153283
"Q5XXA6_IDR_1_48",0.348354725704504
"Q5XXA6_IDR_74_121",0.324052030354869
"Q5XXA6_IDR_945_986",0.327593243940627
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.502940844553535
"Q63HK3_IDR_383_743",0.497059155446465
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.391804787599946
"Q66K14_IDR_944_993",0.293284329291743
"Q66K41_IDR_1_291",0.491655520091379
"Q66K41_IDR_304_345",0.508344479908621
"Q66K64_IDR_1_37",0.476909908202735
"Q66K64_IDR_275_383",0.523090091797265
"Q66K66_IDR_241_349",0.465049815868181
"Q66K66_IDR_32_81",0.534950184131819
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.247417810779859
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.511723071476376
"Q8IU57_IDR_479_520",0.488276928523624
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.521318415985577
"Q8IU81_IDR_56_237",0.478681584014422
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.519090848079597
"Q8IUC6_IDR_634_673",0.480909151920403
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.251090625200874
"Q8IUD2_IDR_621_730",0.25071789046209
"Q8IUD2_IDR_764_839",0.245856530623666
"Q8IUD2_IDR_926_1072",0.252334953713369
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.507344248557232
"Q8IUE0_IDR_1_55",0.492655751442768
"Q8IUE1_IDR_116_241",0.531551376968037
"Q8IUE1_IDR_1_55",0.468448623031963
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.352349364233482
"Q8IUG5_IDR_1_504",0.324600753543187
"Q8IUW5_IDR_126_223",0.224955982296015
"Q8IUW5_IDR_1_54",0.263327640146275
"Q8IUW5_IDR_234_271",0.238979974756781
"Q8IUW5_IDR_91_123",0.272736402800929
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.308817511107756
"Q8IUX7_IDR_1099_1138",0.368030695162005
"Q8IUX7_IDR_44_388",0.323151793730239
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.475681809719234
"Q8IUY3_IDR_182_321",0.524318190280766
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.545748681902711
"Q8IV04_IDR_352_446",0.454251318097289
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.506184436808442
"Q8IV31_IDR_62_184",0.493815563191558
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.316915563209648
"Q8IVE3_IDR_1453_1493",0.223697560759498
"Q8IVE3_IDR_36_69",0.232349204233981
"Q8IVE3_IDR_71_132",0.227037671796873
"Q8IVF1_IDR_14_81",0.193084297095996
"Q8IVF1_IDR_232_366",0.190614217409785
"Q8IVF1_IDR_407_522",0.196457047034774
"Q8IVF1_IDR_525_878",0.198168995022615
"Q8IVF1_IDR_83_205",0.221675443436829
"Q8IVF2_IDR_1_114",0.276556037684803
"Q8IVF2_IDR_1794_5795",0.412591579396393
"Q8IVF2_IDR_195_1792",0.310852382918804
"Q8IVF4_IDR_156_187",0.489346592128467
"Q8IVF4_IDR_1_66",0.510653407871533
"Q8IVF5_IDR_1017_1093",0.262234544322057
"Q8IVF5_IDR_1461_1667",0.248197610838724
"Q8IVF5_IDR_1_498",0.246411491532056
"Q8IVF5_IDR_749_804",0.243156353307163
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.344722710322439
"Q8IVW6_IDR_319_491",0.304708765533355
"Q8IVW6_IDR_516_561",0.350568524144206
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.330243204268885
"Q8IW35_IDR_575_628",0.278099930511232
"Q8IW35_IDR_633_854",0.391656865219883
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.519963683639009
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.560727127457035
"Q8IWE2_IDR_404_437",0.439272872542965
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.481358652172796
"Q8IWF9_IDR_234_348",0.518641347827204
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103370745283163
"Q8IWI9_IDR_1340_1371",0.109054249172438
"Q8IWI9_IDR_1398_1903",0.124595515142114
"Q8IWI9_IDR_1905_2856",0.115811581355514
"Q8IWI9_IDR_261_649",0.109119722008692
"Q8IWI9_IDR_2974_3016",0.11248950872275
"Q8IWI9_IDR_3020_3065",0.111264405077077
"Q8IWI9_IDR_681_751",0.111316174013151
"Q8IWI9_IDR_753_1079",0.102978099225101
"Q8IWJ2_IDR_1_69",0.317268776991949
"Q8IWT3_IDR_1658_1690",0.254166333364655
"Q8IWT3_IDR_2437_2517",0.282713258162719
"Q8IWT6_IDR_180_231",0.500373937107489
"Q8IWT6_IDR_62_95",0.499626062892511
"Q8IWU2_IDR_1_101",0.242708872375095
"Q8IWU2_IDR_1377_1415",0.223823712347129
"Q8IWU2_IDR_1426_1459",0.20746829181548
"Q8IWU2_IDR_557_1314",0.325999123462295
"Q8IWU5_IDR_1_40",0.246754415316513
"Q8IWU5_IDR_557_594",0.278348361700376
"Q8IWU5_IDR_648_718",0.235891751975978
"Q8IWU5_IDR_824_860",0.239005471007133
"Q8IWU6_IDR_1_37",0.245554784069812
"Q8IWU6_IDR_510_543",0.2359641260898
"Q8IWU6_IDR_561_610",0.288705682017221
"Q8IWU6_IDR_666_738",0.229775407823167
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.330028695109334
"Q8IWV1_IDR_178_270",0.338378582177479
"Q8IWV1_IDR_295_398",0.331592722713187
"Q8IX03_IDR_790_917",0.242660935606208
"Q8IX03_IDR_945_991",0.224465266370338
"Q8IX07_IDR_1_83",0.377169026004577
"Q8IX07_IDR_194_247",0.344940918716168
"Q8IX07_IDR_266_972",0.277890055279255
"Q8IX12_IDR_212_357",0.18247848669968
"Q8IX12_IDR_599_722",0.192589260751709
"Q8IX12_IDR_793_917",0.186133723607691
"Q8IX12_IDR_9_144",0.228157541478534
"Q8IX12_IDR_981_1021",0.210640987462386
"Q8IX15_IDR_125_364",0.237261665884077
"Q8IX15_IDR_1_38",0.245674885442103
"Q8IX15_IDR_420_461",0.24851267058081
"Q8IX15_IDR_504_550",0.26855077809301
"Q8IX18_IDR_1_50",0.509076642279498
"Q8IX18_IDR_706_779",0.490923357720502
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.508063134867816
"Q8IX29_IDR_239_292",0.491936865132184
"Q8IXP5_IDR_108_216",0.558524223596101
"Q8IXP5_IDR_1_106",0.441475776403899
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.478810961671699
"Q8IXQ8_IDR_211_264",0.521189038328301
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.320397785298295
"Q8IXT5_IDR_485_921",0.339850501493525
"Q8IXT5_IDR_89_151",0.33975171320818
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.353606561314375
"Q8IXW0_IDR_176_344",0.352006475229427
"Q8IXW0_IDR_466_587",0.294386963456199
"Q8IXW5_IDR_1_41",0.468227699980564
"Q8IXW5_IDR_171_324",0.531772300019436
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.558467126806938
"Q8IY63_IDR_493_952",0.441532873193062
"Q8IY67_IDR_1_35",0.411476196118872
"Q8IY67_IDR_349_606",0.588523803881128
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.496637665207376
"Q8IY84_IDR_7_44",0.503362334792624
"Q8IY85_IDR_375_441",0.509019018030303
"Q8IY85_IDR_77_146",0.490980981969697
"Q8IY92_IDR_1_50",0.168546134996472
"Q8IY92_IDR_377_470",0.153785547157707
"Q8IY92_IDR_558_613",0.171746348735866
"Q8IY92_IDR_630_669",0.169954220504967
"Q8IY92_IDR_64_289",0.167549310541134
"Q8IY92_IDR_824_1750",0.168418438063855
"Q8IYE1_IDR_684_715",0.521716439611012
"Q8IYF1_IDR_647_753",0.511349931428155
"Q8IYF1_IDR_79_458",0.488650068571845
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.324205353053425
"Q8IYH5_IDR_573_649",0.327598077634607
"Q8IYH5_IDR_714_786",0.348196569311968
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.452416285561096
"Q8IYI6_IDR_287_328",0.547583714438904
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.234113666830851
"Q8IYJ0_IDR_112_175",0.261057192361918
"Q8IYJ0_IDR_204_238",0.242538642592715
"Q8IYJ0_IDR_240_282",0.262290498214516
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.519777558276777
"Q8IYK4_IDR_584_626",0.480222441723223
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.183524718494112
"Q8IYW2_IDR_1347_1410",0.149586959556385
"Q8IYW2_IDR_1985_2022",0.167884814204907
"Q8IYW2_IDR_2287_2320",0.162902250629105
"Q8IYW2_IDR_2540_2579",0.170437318935754
"Q8IYW2_IDR_2630_2661",0.165663938179737
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.483829471107499
"Q8IZ41_IDR_77_124",0.516170528892501
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.296776880676254
"Q8IZ63_IDR_360_422",0.273098091436286
"Q8IZ63_IDR_87_332",0.43012502788746
"Q8IZ69_IDR_1_56",0.509342455118718
"Q8IZ69_IDR_591_625",0.490657544881282
"Q8IZ73_IDR_31_122",0.460972722004866
"Q8IZ73_IDR_421_495",0.539027277995134
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.317157598396496
"Q8IZA0_IDR_201_244",0.365735859066021
"Q8IZA0_IDR_957_1015",0.317106542537483
"Q8IZA3_IDR_114_346",0.474575469558015
"Q8IZA3_IDR_1_50",0.525424530441985
"Q8IZC4_IDR_185_221",0.329999384057111
"Q8IZC4_IDR_409_445",0.357385595907455
"Q8IZC4_IDR_476_603",0.312615020035434
"Q8IZC6_IDR_1_36",0.487691905921794
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.471710813629758
"Q8IZJ3_IDR_1758_1835",0.528289186370242
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.355480846460606
"Q8IZL8_IDR_637_1130",0.644519153539394
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.461243904536438
"Q8IZN3_IDR_323_488",0.538756095463562
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.470407876756139
"Q8IZP6_IDR_97_147",0.529592123243861
"Q8IZP7_IDR_1_118",0.546206998566284
"Q8IZP7_IDR_426_459",0.453793001433716
"Q8IZP9_IDR_249_371",0.284531875801845
"Q8IZP9_IDR_39_74",0.255169426347952
"Q8IZU9_IDR_701_778",0.517512958608436
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.156765875441727
"Q8IZX4_IDR_1220_1400",0.138828278545772
"Q8IZX4_IDR_1644_1826",0.257450957631473
"Q8IZX4_IDR_268_354",0.141006479971895
"Q8IZX4_IDR_536_578",0.140225728730004
"Q8IZX4_IDR_82_235",0.165722679679128
"Q8IZY2_IDR_1152_1210",0.514714374392257
"Q8IZY2_IDR_2105_2146",0.485285625607743
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.52928051491704
"Q8N0S2_IDR_260_351",0.47071948508296
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.24085197484954
"Q8N0U7_IDR_267_299",0.255671495082856
"Q8N0U7_IDR_37_122",0.247693418274233
"Q8N0U7_IDR_391_467",0.255783111793371
"Q8N103_IDR_1_81",0.497273012432922
"Q8N103_IDR_283_731",0.502726987567078
"Q8N108_IDR_1_176",0.557453372651018
"Q8N108_IDR_344_512",0.442546627348982
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.488321890978021
"Q8N114_IDR_203_240",0.511678109021979
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.518301925742104
"Q8N122_IDR_820_949",0.481698074257896
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.48972658740063
"Q8N128_IDR_68_213",0.51027341259937
"Q8N129_IDR_1_32",0.510957267489248
"Q8N129_IDR_202_248",0.489042732510752
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.344207177541427
