"","GO0051656_establishment_of_organelle_localization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.274490713138351
"Q5VUJ6_IDR_1_54",0.393888580514098
"Q5VUJ6_IDR_308_649",0.606111419485902
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.530064425585134
"Q5VV16_IDR_235_409",0.469935574414866
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.521034254242593
"Q5VV42_IDR_499_545",0.478965745757406
"Q5VWN6_IDR_1918_1981",0.173932725376909
"Q5VWN6_IDR_1993_2150",0.164550341697735
"Q5VWN6_IDR_803_1879",0.162916316710846
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.301923371454844
"Q5VWQ0_IDR_63_351",0.393813172513779
"Q5VWQ0_IDR_708_802",0.304263456031377
"Q5VWQ8_IDR_1141_1189",0.338653421628423
"Q5VWQ8_IDR_1_142",0.332134212574252
"Q5VWQ8_IDR_654_1098",0.329212365797325
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.189101365342752
"Q5VZL5_IDR_1_334",0.222876244980821
"Q5VZL5_IDR_640_677",0.185309981275436
"Q5VZL5_IDR_851_997",0.19267563071014
"Q5VZL5_IDR_999_1200",0.21003677769085
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.159628773544382
"Q5VZP5_IDR_45_103",0.150333346933915
"Q5XX13_IDR_168_231",0.479224477088896
"Q5XX13_IDR_693_978",0.520775522911104
"Q5XXA6_IDR_1_48",0.344590972832329
"Q5XXA6_IDR_74_121",0.335980277160692
"Q5XXA6_IDR_945_986",0.31942875000698
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.491624541689936
"Q63HK3_IDR_383_743",0.508375458310064
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.315460154463386
"Q66K14_IDR_944_993",0.368412701378517
"Q66K41_IDR_1_291",0.476775655159235
"Q66K41_IDR_304_345",0.523224344840765
"Q66K64_IDR_1_37",0.524692533586005
"Q66K64_IDR_275_383",0.475307466413995
"Q66K66_IDR_241_349",0.51326914241223
"Q66K66_IDR_32_81",0.48673085758777
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.23099579019617
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.490209443643456
"Q8IU57_IDR_479_520",0.509790556356544
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.485428622572457
"Q8IU81_IDR_56_237",0.514571377427543
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.496794373412643
"Q8IUC6_IDR_634_673",0.503205626587357
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.257051165463529
"Q8IUD2_IDR_621_730",0.258836422784775
"Q8IUD2_IDR_764_839",0.238288136422504
"Q8IUD2_IDR_926_1072",0.245824275329192
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.486685823270277
"Q8IUE0_IDR_1_55",0.513314176729723
"Q8IUE1_IDR_116_241",0.482493339932349
"Q8IUE1_IDR_1_55",0.517506660067651
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.291769110306814
"Q8IUG5_IDR_1_504",0.304708593771792
"Q8IUW5_IDR_126_223",0.227399339611369
"Q8IUW5_IDR_1_54",0.231785009581213
"Q8IUW5_IDR_234_271",0.279572007586543
"Q8IUW5_IDR_91_123",0.261243643220875
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.295463218153963
"Q8IUX7_IDR_1099_1138",0.341142162680243
"Q8IUX7_IDR_44_388",0.363394619165794
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.479702728662304
"Q8IUY3_IDR_182_321",0.520297271337696
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.492874965757168
"Q8IV04_IDR_352_446",0.507125034242832
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.48926685583426
"Q8IV31_IDR_62_184",0.51073314416574
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.221706101682066
"Q8IVE3_IDR_1453_1493",0.250071441188961
"Q8IVE3_IDR_36_69",0.256962933809021
"Q8IVE3_IDR_71_132",0.271259523319953
"Q8IVF1_IDR_14_81",0.195072134840448
"Q8IVF1_IDR_232_366",0.18318446992632
"Q8IVF1_IDR_407_522",0.208851289084131
"Q8IVF1_IDR_525_878",0.220983310956202
"Q8IVF1_IDR_83_205",0.191908795192899
"Q8IVF2_IDR_1_114",0.213302006865093
"Q8IVF2_IDR_1794_5795",0.405776911825178
"Q8IVF2_IDR_195_1792",0.380921081309729
"Q8IVF4_IDR_156_187",0.484119575349286
"Q8IVF4_IDR_1_66",0.515880424650714
"Q8IVF5_IDR_1017_1093",0.25179982288676
"Q8IVF5_IDR_1461_1667",0.255485384153946
"Q8IVF5_IDR_1_498",0.241512243445376
"Q8IVF5_IDR_749_804",0.251202549513917
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.361949004895082
"Q8IVW6_IDR_319_491",0.3524616176171
"Q8IVW6_IDR_516_561",0.285589377487818
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33489836048108
"Q8IW35_IDR_575_628",0.356686789113183
"Q8IW35_IDR_633_854",0.308414850405737
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.47990969486899
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.454598199159724
"Q8IWE2_IDR_404_437",0.545401800840276
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.501817878514739
"Q8IWF9_IDR_234_348",0.498182121485261
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.106130490476467
"Q8IWI9_IDR_1340_1371",0.0985893828274393
"Q8IWI9_IDR_1398_1903",0.0961234447857816
"Q8IWI9_IDR_1905_2856",0.180262204892713
"Q8IWI9_IDR_261_649",0.112575260957367
"Q8IWI9_IDR_2974_3016",0.0988870635145978
"Q8IWI9_IDR_3020_3065",0.100612261363468
"Q8IWI9_IDR_681_751",0.112674640689762
"Q8IWI9_IDR_753_1079",0.0941452504924049
"Q8IWJ2_IDR_1_69",0.310761527825328
"Q8IWT3_IDR_1658_1690",0.254154855819555
"Q8IWT3_IDR_2437_2517",0.293493392986311
"Q8IWT6_IDR_180_231",0.523135376644074
"Q8IWT6_IDR_62_95",0.476864623355926
"Q8IWU2_IDR_1_101",0.225245770353837
"Q8IWU2_IDR_1377_1415",0.23118846282314
"Q8IWU2_IDR_1426_1459",0.228995069676952
"Q8IWU2_IDR_557_1314",0.314570697146072
"Q8IWU5_IDR_1_40",0.258464060789311
"Q8IWU5_IDR_557_594",0.24947030361837
"Q8IWU5_IDR_648_718",0.250137447794528
"Q8IWU5_IDR_824_860",0.241928187797791
"Q8IWU6_IDR_1_37",0.234556683691822
"Q8IWU6_IDR_510_543",0.248398400164335
"Q8IWU6_IDR_561_610",0.258620900037273
"Q8IWU6_IDR_666_738",0.25842401610657
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.321322386184062
"Q8IWV1_IDR_178_270",0.334557207762607
"Q8IWV1_IDR_295_398",0.344120406053331
"Q8IX03_IDR_790_917",0.258235134762586
"Q8IX03_IDR_945_991",0.243557413004224
"Q8IX07_IDR_1_83",0.371873054365184
"Q8IX07_IDR_194_247",0.334823260937017
"Q8IX07_IDR_266_972",0.293303684697799
"Q8IX12_IDR_212_357",0.198712598907728
"Q8IX12_IDR_599_722",0.215303095337746
"Q8IX12_IDR_793_917",0.226002822422622
"Q8IX12_IDR_9_144",0.168288612145745
"Q8IX12_IDR_981_1021",0.19169287118616
"Q8IX15_IDR_125_364",0.252715814764384
"Q8IX15_IDR_1_38",0.249051557635041
"Q8IX15_IDR_420_461",0.237919485771865
"Q8IX15_IDR_504_550",0.26031314182871
"Q8IX18_IDR_1_50",0.419944629756849
"Q8IX18_IDR_706_779",0.580055370243151
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.472361250601316
"Q8IX29_IDR_239_292",0.527638749398684
"Q8IXP5_IDR_108_216",0.492432080334356
"Q8IXP5_IDR_1_106",0.507567919665644
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.522853189630872
"Q8IXQ8_IDR_211_264",0.477146810369128
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.340694347343671
"Q8IXT5_IDR_485_921",0.336152514598747
"Q8IXT5_IDR_89_151",0.323153138057582
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.324783019476947
"Q8IXW0_IDR_176_344",0.34815030826394
"Q8IXW0_IDR_466_587",0.327066672259113
"Q8IXW5_IDR_1_41",0.538639671365308
"Q8IXW5_IDR_171_324",0.461360328634692
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.434597962985864
"Q8IY63_IDR_493_952",0.565402037014136
"Q8IY67_IDR_1_35",0.492378372497654
"Q8IY67_IDR_349_606",0.507621627502346
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.492751958008143
"Q8IY84_IDR_7_44",0.507248041991857
"Q8IY85_IDR_375_441",0.518258393701288
"Q8IY85_IDR_77_146",0.481741606298712
"Q8IY92_IDR_1_50",0.165287629613784
"Q8IY92_IDR_377_470",0.174985098507844
"Q8IY92_IDR_558_613",0.161659040649449
"Q8IY92_IDR_630_669",0.159266031689385
"Q8IY92_IDR_64_289",0.17206877704122
"Q8IY92_IDR_824_1750",0.166733422498317
"Q8IYE1_IDR_684_715",0.318706676452299
"Q8IYF1_IDR_647_753",0.424815533130895
"Q8IYF1_IDR_79_458",0.575184466869105
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.3186483408732
"Q8IYH5_IDR_573_649",0.329270541477261
"Q8IYH5_IDR_714_786",0.352081117649539
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.467764216737058
"Q8IYI6_IDR_287_328",0.532235783262942
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.240303102157798
"Q8IYJ0_IDR_112_175",0.256468223480899
"Q8IYJ0_IDR_204_238",0.252404948969341
"Q8IYJ0_IDR_240_282",0.250823725391962
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.478315070952815
"Q8IYK4_IDR_584_626",0.521684929047185
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.156393807464527
"Q8IYW2_IDR_1347_1410",0.189823988166668
"Q8IYW2_IDR_1985_2022",0.171204616157248
"Q8IYW2_IDR_2287_2320",0.164209490983916
"Q8IYW2_IDR_2540_2579",0.159207168732409
"Q8IYW2_IDR_2630_2661",0.159160928495232
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.490275979701955
"Q8IZ41_IDR_77_124",0.509724020298045
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.321719429922063
"Q8IZ63_IDR_360_422",0.349450816699102
"Q8IZ63_IDR_87_332",0.328829753378834
"Q8IZ69_IDR_1_56",0.499184516869231
"Q8IZ69_IDR_591_625",0.500815483130769
"Q8IZ73_IDR_31_122",0.487710498394948
"Q8IZ73_IDR_421_495",0.512289501605052
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.324427090153034
"Q8IZA0_IDR_201_244",0.328571139063305
"Q8IZA0_IDR_957_1015",0.347001770783661
"Q8IZA3_IDR_114_346",0.53803845030998
"Q8IZA3_IDR_1_50",0.46196154969002
"Q8IZC4_IDR_185_221",0.34687293168526
"Q8IZC4_IDR_409_445",0.321351921254463
"Q8IZC4_IDR_476_603",0.331775147060277
"Q8IZC6_IDR_1_36",0.509645455770373
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.523089139244181
"Q8IZJ3_IDR_1758_1835",0.476910860755819
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.490879642062083
"Q8IZL8_IDR_637_1130",0.509120357937917
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.516228392135303
"Q8IZN3_IDR_323_488",0.483771607864697
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.489484149639217
"Q8IZP6_IDR_97_147",0.510515850360783
"Q8IZP7_IDR_1_118",0.472266495570744
"Q8IZP7_IDR_426_459",0.527733504429256
"Q8IZP9_IDR_249_371",0.249031942666563
"Q8IZP9_IDR_39_74",0.245373023650579
"Q8IZU9_IDR_701_778",0.47577767871042
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169040936205547
"Q8IZX4_IDR_1220_1400",0.154769047003077
"Q8IZX4_IDR_1644_1826",0.189436379854086
"Q8IZX4_IDR_268_354",0.152908492054083
"Q8IZX4_IDR_536_578",0.154200270516646
"Q8IZX4_IDR_82_235",0.179644874366561
"Q8IZY2_IDR_1152_1210",0.503431999371824
"Q8IZY2_IDR_2105_2146",0.496568000628176
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.483686078927822
"Q8N0S2_IDR_260_351",0.516313921072178
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.247846472881809
"Q8N0U7_IDR_267_299",0.23844456361092
"Q8N0U7_IDR_37_122",0.253683444308496
"Q8N0U7_IDR_391_467",0.260025519198775
"Q8N103_IDR_1_81",0.500072840395924
"Q8N103_IDR_283_731",0.499927159604076
"Q8N108_IDR_1_176",0.56569468234633
"Q8N108_IDR_344_512",0.43430531765367
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.4868618128328
"Q8N114_IDR_203_240",0.5131381871672
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.505406923921603
"Q8N122_IDR_820_949",0.494593076078397
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.480218227146275
"Q8N128_IDR_68_213",0.519781772853725
"Q8N129_IDR_1_32",0.43997685006392
"Q8N129_IDR_202_248",0.56002314993608
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.332958229095619
