"","GO0006900_vesicle_budding_from_membrane"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.345380766838239
"Q5VUJ6_IDR_1_54",0.517424865000359
"Q5VUJ6_IDR_308_649",0.482575134999641
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.486351740493993
"Q5VV16_IDR_235_409",0.513648259506007
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.504008083812456
"Q5VV42_IDR_499_545",0.495991916187544
"Q5VWN6_IDR_1918_1981",0.168591912915247
"Q5VWN6_IDR_1993_2150",0.158712011441315
"Q5VWN6_IDR_803_1879",0.179263762562078
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.339794366884405
"Q5VWQ0_IDR_63_351",0.307956172039475
"Q5VWQ0_IDR_708_802",0.352249461076121
"Q5VWQ8_IDR_1141_1189",0.317207874613814
"Q5VWQ8_IDR_1_142",0.306661259727051
"Q5VWQ8_IDR_654_1098",0.376130865659134
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.186686126710315
"Q5VZL5_IDR_1_334",0.197680741890553
"Q5VZL5_IDR_640_677",0.199915029075733
"Q5VZL5_IDR_851_997",0.187744770332557
"Q5VZL5_IDR_999_1200",0.227973331990842
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.177647913036857
"Q5VZP5_IDR_45_103",0.163125734354381
"Q5XX13_IDR_168_231",0.513650443050588
"Q5XX13_IDR_693_978",0.486349556949412
"Q5XXA6_IDR_1_48",0.345216264653686
"Q5XXA6_IDR_74_121",0.314210924171977
"Q5XXA6_IDR_945_986",0.340572811174337
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.504347258627253
"Q63HK3_IDR_383_743",0.495652741372747
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.362938250265291
"Q66K14_IDR_944_993",0.312764710886195
"Q66K41_IDR_1_291",0.488127546265624
"Q66K41_IDR_304_345",0.511872453734376
"Q66K64_IDR_1_37",0.50645199376284
"Q66K64_IDR_275_383",0.49354800623716
"Q66K66_IDR_241_349",0.472455815619285
"Q66K66_IDR_32_81",0.527544184380715
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.230997954807281
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.543927407709072
"Q8IU57_IDR_479_520",0.456072592290928
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.527441059785321
"Q8IU81_IDR_56_237",0.472558940214679
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.480023305024284
"Q8IUC6_IDR_634_673",0.519976694975716
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.254707589110548
"Q8IUD2_IDR_621_730",0.246438806092473
"Q8IUD2_IDR_764_839",0.242879838490896
"Q8IUD2_IDR_926_1072",0.255973766306083
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.51263244270927
"Q8IUE0_IDR_1_55",0.48736755729073
"Q8IUE1_IDR_116_241",0.534787636277013
"Q8IUE1_IDR_1_55",0.465212363722987
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.334290867024959
"Q8IUG5_IDR_1_504",0.334147878453636
"Q8IUW5_IDR_126_223",0.231537033870934
"Q8IUW5_IDR_1_54",0.258686091728231
"Q8IUW5_IDR_234_271",0.250768705257371
"Q8IUW5_IDR_91_123",0.259008169143465
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.326905792200212
"Q8IUX7_IDR_1099_1138",0.337368881564206
"Q8IUX7_IDR_44_388",0.335725326235582
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.513162889984531
"Q8IUY3_IDR_182_321",0.486837110015469
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.536331449439633
"Q8IV04_IDR_352_446",0.463668550560367
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.525170303417289
"Q8IV31_IDR_62_184",0.47482969658271
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.268670490383768
"Q8IVE3_IDR_1453_1493",0.245306434111853
"Q8IVE3_IDR_36_69",0.244846688731053
"Q8IVE3_IDR_71_132",0.241176386773326
"Q8IVF1_IDR_14_81",0.185770171548994
"Q8IVF1_IDR_232_366",0.207146506857465
"Q8IVF1_IDR_407_522",0.193137019041383
"Q8IVF1_IDR_525_878",0.196535635424666
"Q8IVF1_IDR_83_205",0.217410667127493
"Q8IVF2_IDR_1_114",0.300254161933782
"Q8IVF2_IDR_1794_5795",0.376631723411839
"Q8IVF2_IDR_195_1792",0.323114114654379
"Q8IVF4_IDR_156_187",0.502601601047684
"Q8IVF4_IDR_1_66",0.497398398952316
"Q8IVF5_IDR_1017_1093",0.247163592240079
"Q8IVF5_IDR_1461_1667",0.243742919723256
"Q8IVF5_IDR_1_498",0.264061281808236
"Q8IVF5_IDR_749_804",0.24503220622843
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.354324257439935
"Q8IVW6_IDR_319_491",0.306933463548694
"Q8IVW6_IDR_516_561",0.338742279011371
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33745077882384
"Q8IW35_IDR_575_628",0.286046459280404
"Q8IW35_IDR_633_854",0.376502761895756
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.511339269468791
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.55532087767763
"Q8IWE2_IDR_404_437",0.44467912232237
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.508350427246461
"Q8IWF9_IDR_234_348",0.491649572753539
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.100227345386908
"Q8IWI9_IDR_1340_1371",0.107966472327034
"Q8IWI9_IDR_1398_1903",0.135150613001186
"Q8IWI9_IDR_1905_2856",0.112257105930332
"Q8IWI9_IDR_261_649",0.115010366284494
"Q8IWI9_IDR_2974_3016",0.111141020232329
"Q8IWI9_IDR_3020_3065",0.109933870610247
"Q8IWI9_IDR_681_751",0.10477476932354
"Q8IWI9_IDR_753_1079",0.103538436903931
"Q8IWJ2_IDR_1_69",0.342324451369909
"Q8IWT3_IDR_1658_1690",0.24130965086909
"Q8IWT3_IDR_2437_2517",0.288047501140325
"Q8IWT6_IDR_180_231",0.490852481375953
"Q8IWT6_IDR_62_95",0.509147518624047
"Q8IWU2_IDR_1_101",0.232916320659068
"Q8IWU2_IDR_1377_1415",0.225121670363888
"Q8IWU2_IDR_1426_1459",0.236622978007067
"Q8IWU2_IDR_557_1314",0.305339030969977
"Q8IWU5_IDR_1_40",0.258104252794967
"Q8IWU5_IDR_557_594",0.260131877674066
"Q8IWU5_IDR_648_718",0.239697789829584
"Q8IWU5_IDR_824_860",0.242066079701383
"Q8IWU6_IDR_1_37",0.260118106667445
"Q8IWU6_IDR_510_543",0.23920747157584
"Q8IWU6_IDR_561_610",0.269095090262668
"Q8IWU6_IDR_666_738",0.231579331494048
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.348594457691045
"Q8IWV1_IDR_178_270",0.338755040867399
"Q8IWV1_IDR_295_398",0.312650501441557
"Q8IX03_IDR_790_917",0.239462384319798
"Q8IX03_IDR_945_991",0.254037704776745
"Q8IX07_IDR_1_83",0.341855724951611
"Q8IX07_IDR_194_247",0.356109264804981
"Q8IX07_IDR_266_972",0.302035010243408
"Q8IX12_IDR_212_357",0.202662195461231
"Q8IX12_IDR_599_722",0.179940805341941
"Q8IX12_IDR_793_917",0.186219529835504
"Q8IX12_IDR_9_144",0.230052002766678
"Q8IX12_IDR_981_1021",0.201125466594647
"Q8IX15_IDR_125_364",0.237192186432408
"Q8IX15_IDR_1_38",0.246928027899926
"Q8IX15_IDR_420_461",0.261447450831329
"Q8IX15_IDR_504_550",0.254432334836336
"Q8IX18_IDR_1_50",0.504068147020448
"Q8IX18_IDR_706_779",0.495931852979552
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.490226817703907
"Q8IX29_IDR_239_292",0.509773182296093
"Q8IXP5_IDR_108_216",0.509319317874609
"Q8IXP5_IDR_1_106",0.490680682125391
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.474451367368042
"Q8IXQ8_IDR_211_264",0.525548632631958
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.316694419992039
"Q8IXT5_IDR_485_921",0.345051888263383
"Q8IXT5_IDR_89_151",0.338253691744578
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.337859520789083
"Q8IXW0_IDR_176_344",0.351932533473388
"Q8IXW0_IDR_466_587",0.310207945737529
"Q8IXW5_IDR_1_41",0.497179572478187
"Q8IXW5_IDR_171_324",0.502820427521813
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.522831779854993
"Q8IY63_IDR_493_952",0.477168220145007
"Q8IY67_IDR_1_35",0.421923197974857
"Q8IY67_IDR_349_606",0.578076802025143
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.495856691910309
"Q8IY84_IDR_7_44",0.504143308089691
"Q8IY85_IDR_375_441",0.51676659798444
"Q8IY85_IDR_77_146",0.48323340201556
"Q8IY92_IDR_1_50",0.171323086746549
"Q8IY92_IDR_377_470",0.156902940775429
"Q8IY92_IDR_558_613",0.168760684951686
"Q8IY92_IDR_630_669",0.16761511778494
"Q8IY92_IDR_64_289",0.163641831196205
"Q8IY92_IDR_824_1750",0.171756338545191
"Q8IYE1_IDR_684_715",0.526186557748993
"Q8IYF1_IDR_647_753",0.517349195442893
"Q8IYF1_IDR_79_458",0.482650804557107
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.319463179842877
"Q8IYH5_IDR_573_649",0.338890756769902
"Q8IYH5_IDR_714_786",0.341646063387221
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.466595762821185
"Q8IYI6_IDR_287_328",0.533404237178815
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244879754583253
"Q8IYJ0_IDR_112_175",0.255152080607174
"Q8IYJ0_IDR_204_238",0.245921414844805
"Q8IYJ0_IDR_240_282",0.254046749964768
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.515483680609324
"Q8IYK4_IDR_584_626",0.484516319390676
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.173663835220442
"Q8IYW2_IDR_1347_1410",0.160383313401317
"Q8IYW2_IDR_1985_2022",0.166818932221692
"Q8IYW2_IDR_2287_2320",0.16437361795396
"Q8IYW2_IDR_2540_2579",0.168337736795132
"Q8IYW2_IDR_2630_2661",0.166422564407458
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.486091834992321
"Q8IZ41_IDR_77_124",0.513908165007679
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.328893634725244
"Q8IZ63_IDR_360_422",0.321769421095892
"Q8IZ63_IDR_87_332",0.349336944178864
"Q8IZ69_IDR_1_56",0.493379446248962
"Q8IZ69_IDR_591_625",0.506620553751038
"Q8IZ73_IDR_31_122",0.475972753045325
"Q8IZ73_IDR_421_495",0.524027246954675
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.320287357391666
"Q8IZA0_IDR_201_244",0.363826689413098
"Q8IZA0_IDR_957_1015",0.315885953195237
"Q8IZA3_IDR_114_346",0.483904281325767
"Q8IZA3_IDR_1_50",0.516095718674233
"Q8IZC4_IDR_185_221",0.329689131423583
"Q8IZC4_IDR_409_445",0.34003736869778
"Q8IZC4_IDR_476_603",0.330273499878637
"Q8IZC6_IDR_1_36",0.484497358158912
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.486002342731924
"Q8IZJ3_IDR_1758_1835",0.513997657268076
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.457035489559668
"Q8IZL8_IDR_637_1130",0.542964510440332
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.485731885804246
"Q8IZN3_IDR_323_488",0.514268114195754
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.469228075661587
"Q8IZP6_IDR_97_147",0.530771924338413
"Q8IZP7_IDR_1_118",0.55487254854129
"Q8IZP7_IDR_426_459",0.44512745145871
"Q8IZP9_IDR_249_371",0.275247304122005
"Q8IZP9_IDR_39_74",0.245424390737011
"Q8IZU9_IDR_701_778",0.512163058054206
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.151201647317069
"Q8IZX4_IDR_1220_1400",0.142868968512604
"Q8IZX4_IDR_1644_1826",0.238322533558442
"Q8IZX4_IDR_268_354",0.141353207328935
"Q8IZX4_IDR_536_578",0.141150013508472
"Q8IZX4_IDR_82_235",0.185103629774479
"Q8IZY2_IDR_1152_1210",0.504338459878741
"Q8IZY2_IDR_2105_2146",0.495661540121259
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.527294684756454
"Q8N0S2_IDR_260_351",0.472705315243546
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.24333375994824
"Q8N0U7_IDR_267_299",0.258350522731534
"Q8N0U7_IDR_37_122",0.248063727429584
"Q8N0U7_IDR_391_467",0.250251989890642
"Q8N103_IDR_1_81",0.501716103634158
"Q8N103_IDR_283_731",0.498283896365842
"Q8N108_IDR_1_176",0.531293254137202
"Q8N108_IDR_344_512",0.468706745862798
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.492403811904376
"Q8N114_IDR_203_240",0.507596188095624
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.472566712677221
"Q8N122_IDR_820_949",0.527433287322779
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.475237117564952
"Q8N128_IDR_68_213",0.524762882435048
"Q8N129_IDR_1_32",0.523256743909439
"Q8N129_IDR_202_248",0.476743256090561
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.344875709305766
