"","GO0006357_regulation_of_transcription_by_RNA_polymerase_II"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.269412632177513
"Q5VUJ6_IDR_1_54",0.512413671698305
"Q5VUJ6_IDR_308_649",0.487586328301695
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.42174492819918
"Q5VV16_IDR_235_409",0.57825507180082
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.37931223791802
"Q5VV42_IDR_499_545",0.62068776208198
"Q5VWN6_IDR_1918_1981",0.164363142320564
"Q5VWN6_IDR_1993_2150",0.185136993829031
"Q5VWN6_IDR_803_1879",0.151941270371787
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.143351448420057
"Q5VWQ0_IDR_63_351",0.555243093204431
"Q5VWQ0_IDR_708_802",0.301405458375511
"Q5VWQ8_IDR_1141_1189",0.349738432331052
"Q5VWQ8_IDR_1_142",0.311776115389481
"Q5VWQ8_IDR_654_1098",0.338485452279467
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.223409950961531
"Q5VZL5_IDR_1_334",0.282522280780521
"Q5VZL5_IDR_640_677",0.167492729341733
"Q5VZL5_IDR_851_997",0.17123368683952
"Q5VZL5_IDR_999_1200",0.155341352076695
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.18609867747744
"Q5VZP5_IDR_45_103",0.18988454048195
"Q5XX13_IDR_168_231",0.414420845395136
"Q5XX13_IDR_693_978",0.585579154604864
"Q5XXA6_IDR_1_48",0.23462948046119
"Q5XXA6_IDR_74_121",0.489564961302818
"Q5XXA6_IDR_945_986",0.275805558235992
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.539354615845684
"Q63HK3_IDR_383_743",0.460645384154316
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.348318701381817
"Q66K14_IDR_944_993",0.311050989297947
"Q66K41_IDR_1_291",0.510289800236556
"Q66K41_IDR_304_345",0.489710199763444
"Q66K64_IDR_1_37",0.517808232099622
"Q66K64_IDR_275_383",0.482191767900378
"Q66K66_IDR_241_349",0.74333505903205
"Q66K66_IDR_32_81",0.25666494096795
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.22190926072273
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.551845862624722
"Q8IU57_IDR_479_520",0.448154137375278
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.512728652804015
"Q8IU81_IDR_56_237",0.487271347195985
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.517118775574514
"Q8IUC6_IDR_634_673",0.482881224425486
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.250372363028771
"Q8IUD2_IDR_621_730",0.195334912425631
"Q8IUD2_IDR_764_839",0.205831971669792
"Q8IUD2_IDR_926_1072",0.348460752875806
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.519957309643334
"Q8IUE0_IDR_1_55",0.480042690356666
"Q8IUE1_IDR_116_241",0.52589157044089
"Q8IUE1_IDR_1_55",0.47410842955911
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.345036736370543
"Q8IUG5_IDR_1_504",0.362035702741235
"Q8IUW5_IDR_126_223",0.270952864447464
"Q8IUW5_IDR_1_54",0.274631853617433
"Q8IUW5_IDR_234_271",0.236021081283519
"Q8IUW5_IDR_91_123",0.218394200651584
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.319127371463937
"Q8IUX7_IDR_1099_1138",0.393973179513506
"Q8IUX7_IDR_44_388",0.286899449022557
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.609803852969819
"Q8IUY3_IDR_182_321",0.390196147030181
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.533511201345958
"Q8IV04_IDR_352_446",0.466488798654042
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.466810744766564
"Q8IV31_IDR_62_184",0.533189255233436
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.246141294765321
"Q8IVE3_IDR_1453_1493",0.288616201998754
"Q8IVE3_IDR_36_69",0.243635713078357
"Q8IVE3_IDR_71_132",0.221606790157567
"Q8IVF1_IDR_14_81",0.193752144408463
"Q8IVF1_IDR_232_366",0.18022080134789
"Q8IVF1_IDR_407_522",0.200613811580024
"Q8IVF1_IDR_525_878",0.212779183546858
"Q8IVF1_IDR_83_205",0.212634059116765
"Q8IVF2_IDR_1_114",0.244686886370905
"Q8IVF2_IDR_1794_5795",0.409946643486577
"Q8IVF2_IDR_195_1792",0.345366470142518
"Q8IVF4_IDR_156_187",0.540295744030725
"Q8IVF4_IDR_1_66",0.459704255969275
"Q8IVF5_IDR_1017_1093",0.213647179013026
"Q8IVF5_IDR_1461_1667",0.259779215602453
"Q8IVF5_IDR_1_498",0.348795581683323
"Q8IVF5_IDR_749_804",0.177778023701197
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.312864507692435
"Q8IVW6_IDR_319_491",0.312892180835242
"Q8IVW6_IDR_516_561",0.374243311472323
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.431248180875088
"Q8IW35_IDR_575_628",0.285210704232818
"Q8IW35_IDR_633_854",0.283541114892093
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.543117620054118
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.555969712207161
"Q8IWE2_IDR_404_437",0.444030287792839
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.4855522452968
"Q8IWF9_IDR_234_348",0.5144477547032
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104401004192238
"Q8IWI9_IDR_1340_1371",0.101449403900761
"Q8IWI9_IDR_1398_1903",0.114297101534496
"Q8IWI9_IDR_1905_2856",0.116041831727552
"Q8IWI9_IDR_261_649",0.176906969840135
"Q8IWI9_IDR_2974_3016",0.102004041338944
"Q8IWI9_IDR_3020_3065",0.108504426533619
"Q8IWI9_IDR_681_751",0.0988750438314479
"Q8IWI9_IDR_753_1079",0.0775201771008078
"Q8IWJ2_IDR_1_69",0.25426489058935
"Q8IWT3_IDR_1658_1690",0.217391543784356
"Q8IWT3_IDR_2437_2517",0.192250833104637
"Q8IWT6_IDR_180_231",0.476470541636309
"Q8IWT6_IDR_62_95",0.523529458363691
"Q8IWU2_IDR_1_101",0.256665719834311
"Q8IWU2_IDR_1377_1415",0.273345701342077
"Q8IWU2_IDR_1426_1459",0.224961982219655
"Q8IWU2_IDR_557_1314",0.245026596603956
"Q8IWU5_IDR_1_40",0.227109914675664
"Q8IWU5_IDR_557_594",0.244541183060502
"Q8IWU5_IDR_648_718",0.225797043428407
"Q8IWU5_IDR_824_860",0.302551858835427
"Q8IWU6_IDR_1_37",0.248566725316061
"Q8IWU6_IDR_510_543",0.280977167205651
"Q8IWU6_IDR_561_610",0.262459848580434
"Q8IWU6_IDR_666_738",0.207996258897854
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.297248453336166
"Q8IWV1_IDR_178_270",0.310414869511863
"Q8IWV1_IDR_295_398",0.39233667715197
"Q8IX03_IDR_790_917",0.228542394866578
"Q8IX03_IDR_945_991",0.269260652232547
"Q8IX07_IDR_1_83",0.150202743165235
"Q8IX07_IDR_194_247",0.170632243444266
"Q8IX07_IDR_266_972",0.679165013390499
"Q8IX12_IDR_212_357",0.125323503434215
"Q8IX12_IDR_599_722",0.165452579887086
"Q8IX12_IDR_793_917",0.168818609080128
"Q8IX12_IDR_9_144",0.350353762601063
"Q8IX12_IDR_981_1021",0.190051544997508
"Q8IX15_IDR_125_364",0.381490216720756
"Q8IX15_IDR_1_38",0.217908246474071
"Q8IX15_IDR_420_461",0.208132095188849
"Q8IX15_IDR_504_550",0.192469441616324
"Q8IX18_IDR_1_50",0.516472628712394
"Q8IX18_IDR_706_779",0.483527371287606
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.552912362898979
"Q8IX29_IDR_239_292",0.447087637101021
"Q8IXP5_IDR_108_216",0.573022851697256
"Q8IXP5_IDR_1_106",0.426977148302744
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.416318104666129
"Q8IXQ8_IDR_211_264",0.583681895333871
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.313743916697348
"Q8IXT5_IDR_485_921",0.368101853385671
"Q8IXT5_IDR_89_151",0.318154229916982
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.345409085476332
"Q8IXW0_IDR_176_344",0.353721648845023
"Q8IXW0_IDR_466_587",0.300869265678645
"Q8IXW5_IDR_1_41",0.496640181895435
"Q8IXW5_IDR_171_324",0.503359818104565
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.589364742988529
"Q8IY63_IDR_493_952",0.410635257011471
"Q8IY67_IDR_1_35",0.426689577669607
"Q8IY67_IDR_349_606",0.573310422330393
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.518653187477827
"Q8IY84_IDR_7_44",0.481346812522173
"Q8IY85_IDR_375_441",0.466079355685073
"Q8IY85_IDR_77_146",0.533920644314927
"Q8IY92_IDR_1_50",0.176060154178198
"Q8IY92_IDR_377_470",0.13984104482701
"Q8IY92_IDR_558_613",0.174622347831007
"Q8IY92_IDR_630_669",0.16441538298467
"Q8IY92_IDR_64_289",0.143109289838901
"Q8IY92_IDR_824_1750",0.201951780340215
"Q8IYE1_IDR_684_715",0.573148321989796
"Q8IYF1_IDR_647_753",0.413686823253482
"Q8IYF1_IDR_79_458",0.586313176746519
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.349901611962675
"Q8IYH5_IDR_573_649",0.326738648795937
"Q8IYH5_IDR_714_786",0.323359739241388
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.513850913019244
"Q8IYI6_IDR_287_328",0.486149086980756
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.234622915501443
"Q8IYJ0_IDR_112_175",0.241429901295364
"Q8IYJ0_IDR_204_238",0.238210859856115
"Q8IYJ0_IDR_240_282",0.285736323347078
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.457034822756385
"Q8IYK4_IDR_584_626",0.542965177243615
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.188539326952264
"Q8IYW2_IDR_1347_1410",0.152220059460342
"Q8IYW2_IDR_1985_2022",0.160027740599336
"Q8IYW2_IDR_2287_2320",0.16250797323411
"Q8IYW2_IDR_2540_2579",0.158145687931557
"Q8IYW2_IDR_2630_2661",0.17855921182239
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.47398462580318
"Q8IZ41_IDR_77_124",0.52601537419682
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.318522911133728
"Q8IZ63_IDR_360_422",0.305081406639816
"Q8IZ63_IDR_87_332",0.376395682226456
"Q8IZ69_IDR_1_56",0.466934213125156
"Q8IZ69_IDR_591_625",0.533065786874844
"Q8IZ73_IDR_31_122",0.444607244902424
"Q8IZ73_IDR_421_495",0.555392755097576
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.33358896483571
"Q8IZA0_IDR_201_244",0.368210540387271
"Q8IZA0_IDR_957_1015",0.298200494777019
"Q8IZA3_IDR_114_346",0.450923881537264
"Q8IZA3_IDR_1_50",0.549076118462736
"Q8IZC4_IDR_185_221",0.313151757628395
"Q8IZC4_IDR_409_445",0.323210808610996
"Q8IZC4_IDR_476_603",0.36363743376061
"Q8IZC6_IDR_1_36",0.469246363039571
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.497364049062447
"Q8IZJ3_IDR_1758_1835",0.502635950937553
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.452939918584069
"Q8IZL8_IDR_637_1130",0.547060081415931
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.308238856391898
"Q8IZN3_IDR_323_488",0.691761143608102
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.493702954941652
"Q8IZP6_IDR_97_147",0.506297045058348
"Q8IZP7_IDR_1_118",0.532559046215274
"Q8IZP7_IDR_426_459",0.467440953784726
"Q8IZP9_IDR_249_371",0.295472732282862
"Q8IZP9_IDR_39_74",0.262031186557287
"Q8IZU9_IDR_701_778",0.355639858656247
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.153655835082416
"Q8IZX4_IDR_1220_1400",0.152235316030688
"Q8IZX4_IDR_1644_1826",0.165393911985599
"Q8IZX4_IDR_268_354",0.143681385847048
"Q8IZX4_IDR_536_578",0.244329597026553
"Q8IZX4_IDR_82_235",0.140703954027696
"Q8IZY2_IDR_1152_1210",0.520011732499591
"Q8IZY2_IDR_2105_2146",0.479988267500409
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.44973700146663
"Q8N0S2_IDR_260_351",0.55026299853337
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.218519082812584
"Q8N0U7_IDR_267_299",0.228123447762347
"Q8N0U7_IDR_37_122",0.300158730988146
"Q8N0U7_IDR_391_467",0.253198738436923
"Q8N103_IDR_1_81",0.494083934439682
"Q8N103_IDR_283_731",0.505916065560318
"Q8N108_IDR_1_176",0.328390231702467
"Q8N108_IDR_344_512",0.671609768297533
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.507485590536024
"Q8N114_IDR_203_240",0.492514409463976
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.416990421292078
"Q8N122_IDR_820_949",0.583009578707922
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.410997274172815
"Q8N128_IDR_68_213",0.589002725827185
"Q8N129_IDR_1_32",0.462145823815048
"Q8N129_IDR_202_248",0.537854176184952
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.293212222593429
