"","GO0005815_microtubule_organizing_center"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.262114959989846
"Q5VUJ6_IDR_1_54",0.381553688358309
"Q5VUJ6_IDR_308_649",0.61844631164169
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.488056194606631
"Q5VV16_IDR_235_409",0.511943805393369
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.485759848562507
"Q5VV42_IDR_499_545",0.514240151437493
"Q5VWN6_IDR_1918_1981",0.162462118788373
"Q5VWN6_IDR_1993_2150",0.177844408223839
"Q5VWN6_IDR_803_1879",0.18737677435842
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.256723846753644
"Q5VWQ0_IDR_63_351",0.463251648423906
"Q5VWQ0_IDR_708_802",0.28002450482245
"Q5VWQ8_IDR_1141_1189",0.342507934682961
"Q5VWQ8_IDR_1_142",0.326765750900898
"Q5VWQ8_IDR_654_1098",0.33072631441614
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192808422864858
"Q5VZL5_IDR_1_334",0.217079796107234
"Q5VZL5_IDR_640_677",0.190709284840496
"Q5VZL5_IDR_851_997",0.197819448612495
"Q5VZL5_IDR_999_1200",0.201583047574917
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162387763960357
"Q5VZP5_IDR_45_103",0.16764025579639
"Q5XX13_IDR_168_231",0.414816067487175
"Q5XX13_IDR_693_978",0.585183932512825
"Q5XXA6_IDR_1_48",0.349001517819192
"Q5XXA6_IDR_74_121",0.32743414449359
"Q5XXA6_IDR_945_986",0.323564337687218
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.515929608374538
"Q63HK3_IDR_383_743",0.484070391625462
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.316387247746884
"Q66K14_IDR_944_993",0.343616677543288
"Q66K41_IDR_1_291",0.503805643000171
"Q66K41_IDR_304_345",0.496194356999829
"Q66K64_IDR_1_37",0.526580649746802
"Q66K64_IDR_275_383",0.473419350253198
"Q66K66_IDR_241_349",0.566388040186298
"Q66K66_IDR_32_81",0.433611959813702
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.23023776810863
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.516333299823735
"Q8IU57_IDR_479_520",0.483666700176265
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.502300976805849
"Q8IU81_IDR_56_237",0.497699023194151
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.496168834791634
"Q8IUC6_IDR_634_673",0.503831165208366
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.201257118873162
"Q8IUD2_IDR_621_730",0.307334576485982
"Q8IUD2_IDR_764_839",0.23937592397376
"Q8IUD2_IDR_926_1072",0.252032380667095
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.503971489627526
"Q8IUE0_IDR_1_55",0.496028510372474
"Q8IUE1_IDR_116_241",0.507178218021112
"Q8IUE1_IDR_1_55",0.492821781978888
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.297132871566179
"Q8IUG5_IDR_1_504",0.265883508961605
"Q8IUW5_IDR_126_223",0.242911466082094
"Q8IUW5_IDR_1_54",0.236021491957754
"Q8IUW5_IDR_234_271",0.274740287256398
"Q8IUW5_IDR_91_123",0.246326754703754
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.362054361522376
"Q8IUX7_IDR_1099_1138",0.334975920723136
"Q8IUX7_IDR_44_388",0.302969717754488
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.508865890848795
"Q8IUY3_IDR_182_321",0.491134109151205
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.471465543252749
"Q8IV04_IDR_352_446",0.528534456747251
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.477772857418667
"Q8IV31_IDR_62_184",0.522227142581333
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.233531273677797
"Q8IVE3_IDR_1453_1493",0.243955564539223
"Q8IVE3_IDR_36_69",0.255356565072957
"Q8IVE3_IDR_71_132",0.267156596710023
"Q8IVF1_IDR_14_81",0.196982150160554
"Q8IVF1_IDR_232_366",0.18056310272821
"Q8IVF1_IDR_407_522",0.207961577765904
"Q8IVF1_IDR_525_878",0.218023783956476
"Q8IVF1_IDR_83_205",0.196469385388856
"Q8IVF2_IDR_1_114",0.302636870652657
"Q8IVF2_IDR_1794_5795",0.329797750308805
"Q8IVF2_IDR_195_1792",0.367565379038538
"Q8IVF4_IDR_156_187",0.495298377174544
"Q8IVF4_IDR_1_66",0.504701622825456
"Q8IVF5_IDR_1017_1093",0.244948124514514
"Q8IVF5_IDR_1461_1667",0.28628179084779
"Q8IVF5_IDR_1_498",0.222788486353709
"Q8IVF5_IDR_749_804",0.245981598283987
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.31423023771832
"Q8IVW6_IDR_319_491",0.402663813104773
"Q8IVW6_IDR_516_561",0.283105949176908
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.359337826011962
"Q8IW35_IDR_575_628",0.331422434571743
"Q8IW35_IDR_633_854",0.309239739416295
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.483956907369941
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.498425650201063
"Q8IWE2_IDR_404_437",0.501574349798937
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.497810974991168
"Q8IWF9_IDR_234_348",0.502189025008832
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.101107683389704
"Q8IWI9_IDR_1340_1371",0.101486096203357
"Q8IWI9_IDR_1398_1903",0.104616129902135
"Q8IWI9_IDR_1905_2856",0.180933552258133
"Q8IWI9_IDR_261_649",0.101109135228574
"Q8IWI9_IDR_2974_3016",0.0915291056650641
"Q8IWI9_IDR_3020_3065",0.103054952624344
"Q8IWI9_IDR_681_751",0.116525394066781
"Q8IWI9_IDR_753_1079",0.0996379506619084
"Q8IWJ2_IDR_1_69",0.271735494653621
"Q8IWT3_IDR_1658_1690",0.26427144890242
"Q8IWT3_IDR_2437_2517",0.239720621749379
"Q8IWT6_IDR_180_231",0.489441589329567
"Q8IWT6_IDR_62_95",0.510558410670433
"Q8IWU2_IDR_1_101",0.24246023055399
"Q8IWU2_IDR_1377_1415",0.220257879971183
"Q8IWU2_IDR_1426_1459",0.239261874565814
"Q8IWU2_IDR_557_1314",0.298020014909013
"Q8IWU5_IDR_1_40",0.286216632844564
"Q8IWU5_IDR_557_594",0.221114598815534
"Q8IWU5_IDR_648_718",0.251205772028652
"Q8IWU5_IDR_824_860",0.24146299631125
"Q8IWU6_IDR_1_37",0.262247172736915
"Q8IWU6_IDR_510_543",0.243107878245257
"Q8IWU6_IDR_561_610",0.221817451842256
"Q8IWU6_IDR_666_738",0.272827497175572
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.320160804237425
"Q8IWV1_IDR_178_270",0.332516860908318
"Q8IWV1_IDR_295_398",0.347322334854257
"Q8IX03_IDR_790_917",0.249686633236703
"Q8IX03_IDR_945_991",0.248237261125478
"Q8IX07_IDR_1_83",0.331049588126032
"Q8IX07_IDR_194_247",0.35908385397942
"Q8IX07_IDR_266_972",0.309866557894548
"Q8IX12_IDR_212_357",0.199173580725253
"Q8IX12_IDR_599_722",0.215141796976216
"Q8IX12_IDR_793_917",0.207613295107951
"Q8IX12_IDR_9_144",0.193099078396687
"Q8IX12_IDR_981_1021",0.184972248793893
"Q8IX15_IDR_125_364",0.263599209083776
"Q8IX15_IDR_1_38",0.252123360186051
"Q8IX15_IDR_420_461",0.234141468321653
"Q8IX15_IDR_504_550",0.25013596240852
"Q8IX18_IDR_1_50",0.450312867429496
"Q8IX18_IDR_706_779",0.549687132570504
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.477989568629113
"Q8IX29_IDR_239_292",0.522010431370887
"Q8IXP5_IDR_108_216",0.502616898315469
"Q8IXP5_IDR_1_106",0.497383101684531
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.516717230071039
"Q8IXQ8_IDR_211_264",0.483282769928962
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.341232028186714
"Q8IXT5_IDR_485_921",0.344175841134539
"Q8IXT5_IDR_89_151",0.314592130678746
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.316675561070072
"Q8IXW0_IDR_176_344",0.332772319098734
"Q8IXW0_IDR_466_587",0.350552119831194
"Q8IXW5_IDR_1_41",0.504287500897438
"Q8IXW5_IDR_171_324",0.495712499102562
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.367709783733471
"Q8IY63_IDR_493_952",0.632290216266529
"Q8IY67_IDR_1_35",0.521983866191076
"Q8IY67_IDR_349_606",0.478016133808924
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.517564553083514
"Q8IY84_IDR_7_44",0.482435446916486
"Q8IY85_IDR_375_441",0.490950438803411
"Q8IY85_IDR_77_146",0.509049561196589
"Q8IY92_IDR_1_50",0.164973693450996
"Q8IY92_IDR_377_470",0.160072143218459
"Q8IY92_IDR_558_613",0.180445415372388
"Q8IY92_IDR_630_669",0.146852311536257
"Q8IY92_IDR_64_289",0.175431928928399
"Q8IY92_IDR_824_1750",0.172224507493501
"Q8IYE1_IDR_684_715",0.187706299369007
"Q8IYF1_IDR_647_753",0.425816079791061
"Q8IYF1_IDR_79_458",0.574183920208939
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.322372980051093
"Q8IYH5_IDR_573_649",0.346584687292991
"Q8IYH5_IDR_714_786",0.331042332655916
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.484843131714911
"Q8IYI6_IDR_287_328",0.515156868285089
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.252343154496303
"Q8IYJ0_IDR_112_175",0.243545795980218
"Q8IYJ0_IDR_204_238",0.258588642604057
"Q8IYJ0_IDR_240_282",0.245522406919422
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.488507956260893
"Q8IYK4_IDR_584_626",0.511492043739107
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.152278185596581
"Q8IYW2_IDR_1347_1410",0.192481183952786
"Q8IYW2_IDR_1985_2022",0.166260555208911
"Q8IYW2_IDR_2287_2320",0.168394639880578
"Q8IYW2_IDR_2540_2579",0.156590032593573
"Q8IYW2_IDR_2630_2661",0.163995402767571
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.513938306801113
"Q8IZ41_IDR_77_124",0.486061693198887
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.329767999122965
"Q8IZ63_IDR_360_422",0.352801734375974
"Q8IZ63_IDR_87_332",0.317430266501061
"Q8IZ69_IDR_1_56",0.491939661938712
"Q8IZ69_IDR_591_625",0.508060338061288
"Q8IZ73_IDR_31_122",0.483483263376974
"Q8IZ73_IDR_421_495",0.516516736623026
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.332988150912669
"Q8IZA0_IDR_201_244",0.353267444530393
"Q8IZA0_IDR_957_1015",0.313744404556937
"Q8IZA3_IDR_114_346",0.510505719443141
"Q8IZA3_IDR_1_50",0.489494280556859
"Q8IZC4_IDR_185_221",0.294176031563133
"Q8IZC4_IDR_409_445",0.301552291039444
"Q8IZC4_IDR_476_603",0.404271677397423
"Q8IZC6_IDR_1_36",0.481012746384193
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.504314034266537
"Q8IZJ3_IDR_1758_1835",0.495685965733463
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.527463135437503
"Q8IZL8_IDR_637_1130",0.472536864562497
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.529530084257119
"Q8IZN3_IDR_323_488",0.470469915742881
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.487101165771262
"Q8IZP6_IDR_97_147",0.512898834228738
"Q8IZP7_IDR_1_118",0.497201853685869
"Q8IZP7_IDR_426_459",0.502798146314131
"Q8IZP9_IDR_249_371",0.25359777130735
"Q8IZP9_IDR_39_74",0.234016867838782
"Q8IZU9_IDR_701_778",0.48377887364798
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.158192108474886
"Q8IZX4_IDR_1220_1400",0.172497355725666
"Q8IZX4_IDR_1644_1826",0.157266118892294
"Q8IZX4_IDR_268_354",0.153127463508916
"Q8IZX4_IDR_536_578",0.190567442224178
"Q8IZX4_IDR_82_235",0.168349511174059
"Q8IZY2_IDR_1152_1210",0.504704934978923
"Q8IZY2_IDR_2105_2146",0.495295065021077
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.43601224728355
"Q8N0S2_IDR_260_351",0.56398775271645
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.235501850236468
"Q8N0U7_IDR_267_299",0.239427855112854
"Q8N0U7_IDR_37_122",0.272936364944863
"Q8N0U7_IDR_391_467",0.252133929705816
"Q8N103_IDR_1_81",0.476752659738669
"Q8N103_IDR_283_731",0.523247340261331
"Q8N108_IDR_1_176",0.492166836146071
"Q8N108_IDR_344_512",0.507833163853929
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.492384672090049
"Q8N114_IDR_203_240",0.507615327909951
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.506166396899624
"Q8N122_IDR_820_949",0.493833603100376
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.506705690030047
"Q8N128_IDR_68_213",0.493294309969953
"Q8N129_IDR_1_32",0.477135749052974
"Q8N129_IDR_202_248",0.522864250947026
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.360888876062635
