"","GO0008283_cell_population_proliferation"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.336506594890927
"Q5VUJ6_IDR_1_54",0.483428808358907
"Q5VUJ6_IDR_308_649",0.516571191641093
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.473193589590739
"Q5VV16_IDR_235_409",0.526806410409261
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.4856374810947
"Q5VV42_IDR_499_545",0.5143625189053
"Q5VWN6_IDR_1918_1981",0.167281006524658
"Q5VWN6_IDR_1993_2150",0.19670294764098
"Q5VWN6_IDR_803_1879",0.157615634563792
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.345353605022407
"Q5VWQ0_IDR_63_351",0.325502593699474
"Q5VWQ0_IDR_708_802",0.329143801278119
"Q5VWQ8_IDR_1141_1189",0.323167834971707
"Q5VWQ8_IDR_1_142",0.341280573855861
"Q5VWQ8_IDR_654_1098",0.335551591172431
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.203940084391763
"Q5VZL5_IDR_1_334",0.202469783004062
"Q5VZL5_IDR_640_677",0.194685778797967
"Q5VZL5_IDR_851_997",0.192065361812767
"Q5VZL5_IDR_999_1200",0.206838991993441
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.164112775872488
"Q5VZP5_IDR_45_103",0.17697775753887
"Q5XX13_IDR_168_231",0.498913726881351
"Q5XX13_IDR_693_978",0.501086273118649
"Q5XXA6_IDR_1_48",0.34422103825026
"Q5XXA6_IDR_74_121",0.327845534300002
"Q5XXA6_IDR_945_986",0.327933427449738
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.485655878937699
"Q63HK3_IDR_383_743",0.514344121062301
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.318354689428064
"Q66K14_IDR_944_993",0.338655080441634
"Q66K41_IDR_1_291",0.498865703924197
"Q66K41_IDR_304_345",0.501134296075803
"Q66K64_IDR_1_37",0.514252400875449
"Q66K64_IDR_275_383",0.485747599124551
"Q66K66_IDR_241_349",0.490493249197555
"Q66K66_IDR_32_81",0.509506750802445
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.2529290105614
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.504119131572454
"Q8IU57_IDR_479_520",0.495880868427546
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.508788849816383
"Q8IU81_IDR_56_237",0.491211150183617
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.477521961494361
"Q8IUC6_IDR_634_673",0.522478038505639
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.273077258951759
"Q8IUD2_IDR_621_730",0.239097316622946
"Q8IUD2_IDR_764_839",0.240175337809259
"Q8IUD2_IDR_926_1072",0.247650086616036
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.500263618915145
"Q8IUE0_IDR_1_55",0.499736381084855
"Q8IUE1_IDR_116_241",0.507040096168345
"Q8IUE1_IDR_1_55",0.492959903831655
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.347105871923624
"Q8IUG5_IDR_1_504",0.301437477722565
"Q8IUW5_IDR_126_223",0.244837431683564
"Q8IUW5_IDR_1_54",0.25813856938598
"Q8IUW5_IDR_234_271",0.247398017366227
"Q8IUW5_IDR_91_123",0.249625981564228
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.345640519136956
"Q8IUX7_IDR_1099_1138",0.330908137864934
"Q8IUX7_IDR_44_388",0.323451342998111
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.496626054307698
"Q8IUY3_IDR_182_321",0.503373945692302
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.502735442226767
"Q8IV04_IDR_352_446",0.497264557773232
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.51587289067914
"Q8IV31_IDR_62_184",0.48412710932086
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.243404209406271
"Q8IVE3_IDR_1453_1493",0.25460250545084
"Q8IVE3_IDR_36_69",0.25211532052559
"Q8IVE3_IDR_71_132",0.2498779646173
"Q8IVF1_IDR_14_81",0.197944202386561
"Q8IVF1_IDR_232_366",0.205532303638248
"Q8IVF1_IDR_407_522",0.189298164690148
"Q8IVF1_IDR_525_878",0.207411644121851
"Q8IVF1_IDR_83_205",0.199813685163193
"Q8IVF2_IDR_1_114",0.345127872477161
"Q8IVF2_IDR_1794_5795",0.324129183485828
"Q8IVF2_IDR_195_1792",0.330742944037011
"Q8IVF4_IDR_156_187",0.520098736416218
"Q8IVF4_IDR_1_66",0.479901263583782
"Q8IVF5_IDR_1017_1093",0.253863985352697
"Q8IVF5_IDR_1461_1667",0.240889831320689
"Q8IVF5_IDR_1_498",0.259305243477319
"Q8IVF5_IDR_749_804",0.245940939849294
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.306413321305929
"Q8IVW6_IDR_319_491",0.383173127840188
"Q8IVW6_IDR_516_561",0.310413550853883
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.342777521941421
"Q8IW35_IDR_575_628",0.329043685858382
"Q8IW35_IDR_633_854",0.328178792200198
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.50247372803858
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.501524295824131
"Q8IWE2_IDR_404_437",0.498475704175869
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.463796686469983
"Q8IWF9_IDR_234_348",0.536203313530017
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.107618406173949
"Q8IWI9_IDR_1340_1371",0.113106586030387
"Q8IWI9_IDR_1398_1903",0.106201772207502
"Q8IWI9_IDR_1905_2856",0.107418763880024
"Q8IWI9_IDR_261_649",0.110320435496581
"Q8IWI9_IDR_2974_3016",0.111256624348474
"Q8IWI9_IDR_3020_3065",0.108863471368321
"Q8IWI9_IDR_681_751",0.119078108522893
"Q8IWI9_IDR_753_1079",0.11613583197187
"Q8IWJ2_IDR_1_69",0.322237341628812
"Q8IWT3_IDR_1658_1690",0.253406763028056
"Q8IWT3_IDR_2437_2517",0.254882121362108
"Q8IWT6_IDR_180_231",0.491259835898095
"Q8IWT6_IDR_62_95",0.508740164101905
"Q8IWU2_IDR_1_101",0.249198436988307
"Q8IWU2_IDR_1377_1415",0.249111641886668
"Q8IWU2_IDR_1426_1459",0.253336598381472
"Q8IWU2_IDR_557_1314",0.248353322743553
"Q8IWU5_IDR_1_40",0.291170777159034
"Q8IWU5_IDR_557_594",0.234251687790665
"Q8IWU5_IDR_648_718",0.233622978906419
"Q8IWU5_IDR_824_860",0.240954556143881
"Q8IWU6_IDR_1_37",0.266803810825859
"Q8IWU6_IDR_510_543",0.251306442986221
"Q8IWU6_IDR_561_610",0.242562132381729
"Q8IWU6_IDR_666_738",0.239327613806191
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.345431243067145
"Q8IWV1_IDR_178_270",0.332784418848534
"Q8IWV1_IDR_295_398",0.321784338084321
"Q8IX03_IDR_790_917",0.233046461582596
"Q8IX03_IDR_945_991",0.24951752031515
"Q8IX07_IDR_1_83",0.321886212364664
"Q8IX07_IDR_194_247",0.353440131622372
"Q8IX07_IDR_266_972",0.324673656012964
"Q8IX12_IDR_212_357",0.204508879752106
"Q8IX12_IDR_599_722",0.19660336882938
"Q8IX12_IDR_793_917",0.186257175699892
"Q8IX12_IDR_9_144",0.205659386924365
"Q8IX12_IDR_981_1021",0.206971188794256
"Q8IX15_IDR_125_364",0.261162672326883
"Q8IX15_IDR_1_38",0.246888486358066
"Q8IX15_IDR_420_461",0.248660843565978
"Q8IX15_IDR_504_550",0.243287997749073
"Q8IX18_IDR_1_50",0.508111867359201
"Q8IX18_IDR_706_779",0.491888132640799
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.474603996128864
"Q8IX29_IDR_239_292",0.525396003871136
"Q8IXP5_IDR_108_216",0.483922328130375
"Q8IXP5_IDR_1_106",0.516077671869625
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.492505444666616
"Q8IXQ8_IDR_211_264",0.507494555333384
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.329484839520171
"Q8IXT5_IDR_485_921",0.339059605962112
"Q8IXT5_IDR_89_151",0.331455554517717
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.325230831440985
"Q8IXW0_IDR_176_344",0.338904982934989
"Q8IXW0_IDR_466_587",0.335864185624026
"Q8IXW5_IDR_1_41",0.502156400883166
"Q8IXW5_IDR_171_324",0.497843599116834
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.490258807862909
"Q8IY63_IDR_493_952",0.509741192137091
"Q8IY67_IDR_1_35",0.412444954787484
"Q8IY67_IDR_349_606",0.587555045212515
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.506421427698248
"Q8IY84_IDR_7_44",0.493578572301752
"Q8IY85_IDR_375_441",0.499295377026921
"Q8IY85_IDR_77_146",0.500704622973079
"Q8IY92_IDR_1_50",0.165255055090258
"Q8IY92_IDR_377_470",0.158240151507577
"Q8IY92_IDR_558_613",0.166939774420436
"Q8IY92_IDR_630_669",0.174309995539785
"Q8IY92_IDR_64_289",0.158722661878341
"Q8IY92_IDR_824_1750",0.176532361563603
"Q8IYE1_IDR_684_715",0.513273130994105
"Q8IYF1_IDR_647_753",0.507857033172698
"Q8IYF1_IDR_79_458",0.492142966827302
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.308658190167333
"Q8IYH5_IDR_573_649",0.340207244180449
"Q8IYH5_IDR_714_786",0.351134565652219
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.507578531888083
"Q8IYI6_IDR_287_328",0.492421468111917
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.255155137427169
"Q8IYJ0_IDR_112_175",0.253064404698545
"Q8IYJ0_IDR_204_238",0.240657725750377
"Q8IYJ0_IDR_240_282",0.251122732123909
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.543904407348033
"Q8IYK4_IDR_584_626",0.456095592651967
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165350655886343
"Q8IYW2_IDR_1347_1410",0.159729029049329
"Q8IYW2_IDR_1985_2022",0.167878983258346
"Q8IYW2_IDR_2287_2320",0.166977050150171
"Q8IYW2_IDR_2540_2579",0.169635586787363
"Q8IYW2_IDR_2630_2661",0.170428694868447
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.506448271302726
"Q8IZ41_IDR_77_124",0.493551728697274
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.344747175122281
"Q8IZ63_IDR_360_422",0.304559873481254
"Q8IZ63_IDR_87_332",0.350692951396465
"Q8IZ69_IDR_1_56",0.490161070226069
"Q8IZ69_IDR_591_625",0.509838929773931
"Q8IZ73_IDR_31_122",0.49017554911448
"Q8IZ73_IDR_421_495",0.50982445088552
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.344059321753231
"Q8IZA0_IDR_201_244",0.328359129602443
"Q8IZA0_IDR_957_1015",0.327581548644326
"Q8IZA3_IDR_114_346",0.472850082691364
"Q8IZA3_IDR_1_50",0.527149917308636
"Q8IZC4_IDR_185_221",0.344962335352917
"Q8IZC4_IDR_409_445",0.341307622168502
"Q8IZC4_IDR_476_603",0.313730042478581
"Q8IZC6_IDR_1_36",0.531699135716423
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.486305919518427
"Q8IZJ3_IDR_1758_1835",0.513694080481574
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.514777983707399
"Q8IZL8_IDR_637_1130",0.485222016292601
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.465425573888116
"Q8IZN3_IDR_323_488",0.534574426111884
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.484719546544136
"Q8IZP6_IDR_97_147",0.515280453455864
"Q8IZP7_IDR_1_118",0.512932793433154
"Q8IZP7_IDR_426_459",0.487067206566846
"Q8IZP9_IDR_249_371",0.244039398352093
"Q8IZP9_IDR_39_74",0.26068477906638
"Q8IZU9_IDR_701_778",0.508337968270467
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162687760725244
"Q8IZX4_IDR_1220_1400",0.178781475179342
"Q8IZX4_IDR_1644_1826",0.165539641677942
"Q8IZX4_IDR_268_354",0.166468019056834
"Q8IZX4_IDR_536_578",0.166148460554899
"Q8IZX4_IDR_82_235",0.160374642805739
"Q8IZY2_IDR_1152_1210",0.50613596792714
"Q8IZY2_IDR_2105_2146",0.49386403207286
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.499081262828336
"Q8N0S2_IDR_260_351",0.500918737171664
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.257217182315223
"Q8N0U7_IDR_267_299",0.24761196341466
"Q8N0U7_IDR_37_122",0.248618345003749
"Q8N0U7_IDR_391_467",0.246552509266368
"Q8N103_IDR_1_81",0.493868733560452
"Q8N103_IDR_283_731",0.506131266439548
"Q8N108_IDR_1_176",0.508953799852472
"Q8N108_IDR_344_512",0.491046200147528
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.498914598309623
"Q8N114_IDR_203_240",0.501085401690377
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.505747934997995
"Q8N122_IDR_820_949",0.494252065002005
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.490261990714254
"Q8N128_IDR_68_213",0.509738009285746
"Q8N129_IDR_1_32",0.543763846996487
"Q8N129_IDR_202_248",0.456236153003513
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.340607938325913
"Q8N137_IDR_442_797",0.345029831563735
