"","GO0035639_purine_ribonucleoside_triphosphate_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.337846019919565
"Q5VUJ6_IDR_1_54",0.502686548859037
"Q5VUJ6_IDR_308_649",0.497313451140964
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.497313632357695
"Q5VV16_IDR_235_409",0.502686367642305
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.54013505805986
"Q5VV42_IDR_499_545",0.45986494194014
"Q5VWN6_IDR_1918_1981",0.168211298116914
"Q5VWN6_IDR_1993_2150",0.164811735655545
"Q5VWN6_IDR_803_1879",0.158932976291667
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.345964366424267
"Q5VWQ0_IDR_63_351",0.313763345397363
"Q5VWQ0_IDR_708_802",0.340272288178371
"Q5VWQ8_IDR_1141_1189",0.338530577179939
"Q5VWQ8_IDR_1_142",0.34602536802651
"Q5VWQ8_IDR_654_1098",0.315444054793551
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.200972476827228
"Q5VZL5_IDR_1_334",0.197502156779196
"Q5VZL5_IDR_640_677",0.196450054359844
"Q5VZL5_IDR_851_997",0.206207685892074
"Q5VZL5_IDR_999_1200",0.198867626141658
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162348030763565
"Q5VZP5_IDR_45_103",0.160939369268202
"Q5XX13_IDR_168_231",0.485077064146635
"Q5XX13_IDR_693_978",0.514922935853365
"Q5XXA6_IDR_1_48",0.334421294431417
"Q5XXA6_IDR_74_121",0.325583335783986
"Q5XXA6_IDR_945_986",0.339995369784597
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.53521005796863
"Q63HK3_IDR_383_743",0.46478994203137
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.325319092511876
"Q66K14_IDR_944_993",0.325402584127892
"Q66K41_IDR_1_291",0.481043393546898
"Q66K41_IDR_304_345",0.518956606453102
"Q66K64_IDR_1_37",0.508027091224035
"Q66K64_IDR_275_383",0.491972908775965
"Q66K66_IDR_241_349",0.481087994486616
"Q66K66_IDR_32_81",0.518912005513383
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.250616565773555
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.507364914306367
"Q8IU57_IDR_479_520",0.492635085693633
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.505003371362264
"Q8IU81_IDR_56_237",0.494996628637736
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.515301387662916
"Q8IUC6_IDR_634_673",0.484698612337084
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.232024714462206
"Q8IUD2_IDR_621_730",0.257807310473131
"Q8IUD2_IDR_764_839",0.255445699499486
"Q8IUD2_IDR_926_1072",0.254722275565177
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.502554611691595
"Q8IUE0_IDR_1_55",0.497445388308405
"Q8IUE1_IDR_116_241",0.49229634152928
"Q8IUE1_IDR_1_55",0.507703658470721
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.324338855542518
"Q8IUG5_IDR_1_504",0.302799278427397
"Q8IUW5_IDR_126_223",0.245541637864616
"Q8IUW5_IDR_1_54",0.221657923080887
"Q8IUW5_IDR_234_271",0.312505684849154
"Q8IUW5_IDR_91_123",0.220294754205343
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.344904743472035
"Q8IUX7_IDR_1099_1138",0.335257981634562
"Q8IUX7_IDR_44_388",0.319837274893403
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.4960930177706
"Q8IUY3_IDR_182_321",0.5039069822294
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.474842341197604
"Q8IV04_IDR_352_446",0.525157658802396
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.431831698545437
"Q8IV31_IDR_62_184",0.568168301454563
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.273546981525415
"Q8IVE3_IDR_1453_1493",0.239570448665974
"Q8IVE3_IDR_36_69",0.247426724599526
"Q8IVE3_IDR_71_132",0.239455845209084
"Q8IVF1_IDR_14_81",0.205701764048335
"Q8IVF1_IDR_232_366",0.20122242235563
"Q8IVF1_IDR_407_522",0.2007140274037
"Q8IVF1_IDR_525_878",0.194868079561017
"Q8IVF1_IDR_83_205",0.197493706631318
"Q8IVF2_IDR_1_114",0.373542806621176
"Q8IVF2_IDR_1794_5795",0.31366625945969
"Q8IVF2_IDR_195_1792",0.312790933919134
"Q8IVF4_IDR_156_187",0.506704680273233
"Q8IVF4_IDR_1_66",0.493295319726767
"Q8IVF5_IDR_1017_1093",0.2311662482868
"Q8IVF5_IDR_1461_1667",0.233149066461716
"Q8IVF5_IDR_1_498",0.230183371024715
"Q8IVF5_IDR_749_804",0.30550131422677
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.303482446404536
"Q8IVW6_IDR_319_491",0.383773525144075
"Q8IVW6_IDR_516_561",0.312744028451389
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.326483088013883
"Q8IW35_IDR_575_628",0.336434190554389
"Q8IW35_IDR_633_854",0.337082721431728
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.452414070013332
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.517282442617123
"Q8IWE2_IDR_404_437",0.482717557382877
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.510750055307966
"Q8IWF9_IDR_234_348",0.489249944692034
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.111943282859909
"Q8IWI9_IDR_1340_1371",0.112778715456803
"Q8IWI9_IDR_1398_1903",0.106337547013584
"Q8IWI9_IDR_1905_2856",0.112127456775332
"Q8IWI9_IDR_261_649",0.10954014880473
"Q8IWI9_IDR_2974_3016",0.111892713701648
"Q8IWI9_IDR_3020_3065",0.11202857858591
"Q8IWI9_IDR_681_751",0.108389231083672
"Q8IWI9_IDR_753_1079",0.114962325718412
"Q8IWJ2_IDR_1_69",0.312121573623263
"Q8IWT3_IDR_1658_1690",0.246990479796143
"Q8IWT3_IDR_2437_2517",0.241366830945592
"Q8IWT6_IDR_180_231",0.497045082119864
"Q8IWT6_IDR_62_95",0.502954917880136
"Q8IWU2_IDR_1_101",0.238123232585771
"Q8IWU2_IDR_1377_1415",0.258207268001897
"Q8IWU2_IDR_1426_1459",0.271886663574772
"Q8IWU2_IDR_557_1314",0.231782835837561
"Q8IWU5_IDR_1_40",0.246485342828038
"Q8IWU5_IDR_557_594",0.249680300933273
"Q8IWU5_IDR_648_718",0.235409759590182
"Q8IWU5_IDR_824_860",0.268424596648508
"Q8IWU6_IDR_1_37",0.259024219063956
"Q8IWU6_IDR_510_543",0.252980616601798
"Q8IWU6_IDR_561_610",0.245582089192992
"Q8IWU6_IDR_666_738",0.242413075141254
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.341131202180615
"Q8IWV1_IDR_178_270",0.335337982608935
"Q8IWV1_IDR_295_398",0.323530815210451
"Q8IX03_IDR_790_917",0.238150993337333
"Q8IX03_IDR_945_991",0.264900237113124
"Q8IX07_IDR_1_83",0.349101387512721
"Q8IX07_IDR_194_247",0.325806185700508
"Q8IX07_IDR_266_972",0.325092426786772
"Q8IX12_IDR_212_357",0.235039851704984
"Q8IX12_IDR_599_722",0.192080879948034
"Q8IX12_IDR_793_917",0.186514137557796
"Q8IX12_IDR_9_144",0.190193068611357
"Q8IX12_IDR_981_1021",0.19617206217783
"Q8IX15_IDR_125_364",0.247404307026071
"Q8IX15_IDR_1_38",0.257753551351554
"Q8IX15_IDR_420_461",0.252901265579794
"Q8IX15_IDR_504_550",0.24194087604258
"Q8IX18_IDR_1_50",0.49542654101276
"Q8IX18_IDR_706_779",0.50457345898724
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.528705924414435
"Q8IX29_IDR_239_292",0.471294075585565
"Q8IXP5_IDR_108_216",0.500607580107145
"Q8IXP5_IDR_1_106",0.499392419892855
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.507298238207127
"Q8IXQ8_IDR_211_264",0.492701761792873
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.367070080317404
"Q8IXT5_IDR_485_921",0.307634255094086
"Q8IXT5_IDR_89_151",0.32529566458851
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.319308340894987
"Q8IXW0_IDR_176_344",0.350806345420516
"Q8IXW0_IDR_466_587",0.329885313684497
"Q8IXW5_IDR_1_41",0.500543524082687
"Q8IXW5_IDR_171_324",0.499456475917313
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.509288724931758
"Q8IY63_IDR_493_952",0.490711275068242
"Q8IY67_IDR_1_35",0.506232768310807
"Q8IY67_IDR_349_606",0.493767231689194
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.515558797603724
"Q8IY84_IDR_7_44",0.484441202396276
"Q8IY85_IDR_375_441",0.492039008973582
"Q8IY85_IDR_77_146",0.507960991026418
"Q8IY92_IDR_1_50",0.166800785976935
"Q8IY92_IDR_377_470",0.165254214953539
"Q8IY92_IDR_558_613",0.171454441645365
"Q8IY92_IDR_630_669",0.16577547533126
"Q8IY92_IDR_64_289",0.159236424277485
"Q8IY92_IDR_824_1750",0.171478657815416
"Q8IYE1_IDR_684_715",0.514616586084748
"Q8IYF1_IDR_647_753",0.483834578067318
"Q8IYF1_IDR_79_458",0.516165421932682
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.322320379586774
"Q8IYH5_IDR_573_649",0.3076524586827
"Q8IYH5_IDR_714_786",0.370027161730526
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.491704763307379
"Q8IYI6_IDR_287_328",0.508295236692621
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.260904015364475
"Q8IYJ0_IDR_112_175",0.245579577375331
"Q8IYJ0_IDR_204_238",0.252167539283454
"Q8IYJ0_IDR_240_282",0.24134886797674
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.490824038354477
"Q8IYK4_IDR_584_626",0.509175961645523
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165386505547221
"Q8IYW2_IDR_1347_1410",0.159175519685829
"Q8IYW2_IDR_1985_2022",0.169671784315589
"Q8IYW2_IDR_2287_2320",0.170457636975867
"Q8IYW2_IDR_2540_2579",0.168568383140883
"Q8IYW2_IDR_2630_2661",0.16674017033461
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.550484907024905
"Q8IZ41_IDR_77_124",0.449515092975095
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337032316568655
"Q8IZ63_IDR_360_422",0.343281645433074
"Q8IZ63_IDR_87_332",0.319686037998271
"Q8IZ69_IDR_1_56",0.484449764447861
"Q8IZ69_IDR_591_625",0.515550235552139
"Q8IZ73_IDR_31_122",0.498949039730478
"Q8IZ73_IDR_421_495",0.501050960269522
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.3324501744796
"Q8IZA0_IDR_201_244",0.330445437074449
"Q8IZA0_IDR_957_1015",0.337104388445951
"Q8IZA3_IDR_114_346",0.503215608902218
"Q8IZA3_IDR_1_50",0.496784391097783
"Q8IZC4_IDR_185_221",0.331742041289116
"Q8IZC4_IDR_409_445",0.31546071440043
"Q8IZC4_IDR_476_603",0.352797244310454
"Q8IZC6_IDR_1_36",0.497276305417538
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.515011973795789
"Q8IZJ3_IDR_1758_1835",0.484988026204211
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.534672440719957
"Q8IZL8_IDR_637_1130",0.465327559280043
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.52542425317445
"Q8IZN3_IDR_323_488",0.47457574682555
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.519915709988229
"Q8IZP6_IDR_97_147",0.480084290011771
"Q8IZP7_IDR_1_118",0.499566305825373
"Q8IZP7_IDR_426_459",0.500433694174627
"Q8IZP9_IDR_249_371",0.247477644443482
"Q8IZP9_IDR_39_74",0.240987736459034
"Q8IZU9_IDR_701_778",0.507463568734079
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.16787038000771
"Q8IZX4_IDR_1220_1400",0.169981172855367
"Q8IZX4_IDR_1644_1826",0.15871351098378
"Q8IZX4_IDR_268_354",0.164717257646063
"Q8IZX4_IDR_536_578",0.165573671809165
"Q8IZX4_IDR_82_235",0.173144006697915
"Q8IZY2_IDR_1152_1210",0.482418375067838
"Q8IZY2_IDR_2105_2146",0.517581624932162
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.50690395185092
"Q8N0S2_IDR_260_351",0.49309604814908
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.244356280308525
"Q8N0U7_IDR_267_299",0.252932767486223
"Q8N0U7_IDR_37_122",0.235348063126119
"Q8N0U7_IDR_391_467",0.267362889079134
"Q8N103_IDR_1_81",0.306174046867683
"Q8N103_IDR_283_731",0.693825953132317
"Q8N108_IDR_1_176",0.482864745543285
"Q8N108_IDR_344_512",0.517135254456715
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.483380169022445
"Q8N114_IDR_203_240",0.516619830977555
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.513595664033531
"Q8N122_IDR_820_949",0.486404335966469
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.499356395810787
"Q8N128_IDR_68_213",0.500643604189213
"Q8N129_IDR_1_32",0.506246066599058
"Q8N129_IDR_202_248",0.493753933400942
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.343674384273635
