"","GO0043547_positive_regulation_of_GTPase_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.328936429259264
"Q5VUJ6_IDR_1_54",0.505721337678668
"Q5VUJ6_IDR_308_649",0.494278662321332
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.490513850275166
"Q5VV16_IDR_235_409",0.509486149724834
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.520921323464124
"Q5VV42_IDR_499_545",0.479078676535876
"Q5VWN6_IDR_1918_1981",0.164541439279293
"Q5VWN6_IDR_1993_2150",0.170981527731795
"Q5VWN6_IDR_803_1879",0.168632773015964
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.335182423809003
"Q5VWQ0_IDR_63_351",0.31166384436914
"Q5VWQ0_IDR_708_802",0.353153731821857
"Q5VWQ8_IDR_1141_1189",0.317015848159357
"Q5VWQ8_IDR_1_142",0.362222550870261
"Q5VWQ8_IDR_654_1098",0.320761600970381
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.202671916431632
"Q5VZL5_IDR_1_334",0.198588892443004
"Q5VZL5_IDR_640_677",0.205565972213108
"Q5VZL5_IDR_851_997",0.198124585853177
"Q5VZL5_IDR_999_1200",0.195048633059079
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.168816319689064
"Q5VZP5_IDR_45_103",0.164311509656333
"Q5XX13_IDR_168_231",0.481248455005146
"Q5XX13_IDR_693_978",0.518751544994854
"Q5XXA6_IDR_1_48",0.324186565927656
"Q5XXA6_IDR_74_121",0.322221066822635
"Q5XXA6_IDR_945_986",0.35359236724971
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.526384487368352
"Q63HK3_IDR_383_743",0.473615512631648
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.325954790349792
"Q66K14_IDR_944_993",0.316895669521001
"Q66K41_IDR_1_291",0.506937493742846
"Q66K41_IDR_304_345",0.493062506257154
"Q66K64_IDR_1_37",0.463873847434353
"Q66K64_IDR_275_383",0.536126152565647
"Q66K66_IDR_241_349",0.48371321996711
"Q66K66_IDR_32_81",0.51628678003289
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.2593049195221
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.509151798526969
"Q8IU57_IDR_479_520",0.490848201473031
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.512370619795941
"Q8IU81_IDR_56_237",0.487629380204059
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.577906763729888
"Q8IUC6_IDR_634_673",0.422093236270112
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.240845971474755
"Q8IUD2_IDR_621_730",0.251001733932618
"Q8IUD2_IDR_764_839",0.25432715815356
"Q8IUD2_IDR_926_1072",0.253825136439067
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.50481075918281
"Q8IUE0_IDR_1_55",0.49518924081719
"Q8IUE1_IDR_116_241",0.500402138253278
"Q8IUE1_IDR_1_55",0.499597861746722
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.309453256254329
"Q8IUG5_IDR_1_504",0.290488794300255
"Q8IUW5_IDR_126_223",0.262801570101618
"Q8IUW5_IDR_1_54",0.244091626802402
"Q8IUW5_IDR_234_271",0.268200159622966
"Q8IUW5_IDR_91_123",0.224906643473014
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.341710625042718
"Q8IUX7_IDR_1099_1138",0.345446704943744
"Q8IUX7_IDR_44_388",0.312842670013539
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.483815492901942
"Q8IUY3_IDR_182_321",0.516184507098058
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.484942476673604
"Q8IV04_IDR_352_446",0.515057523326396
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.468830607899358
"Q8IV31_IDR_62_184",0.531169392100642
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.327997224695226
"Q8IVE3_IDR_1453_1493",0.225425485200472
"Q8IVE3_IDR_36_69",0.228143531718792
"Q8IVE3_IDR_71_132",0.21843375838551
"Q8IVF1_IDR_14_81",0.202396442872785
"Q8IVF1_IDR_232_366",0.205271491671797
"Q8IVF1_IDR_407_522",0.190011324166017
"Q8IVF1_IDR_525_878",0.198213622480647
"Q8IVF1_IDR_83_205",0.204107118808755
"Q8IVF2_IDR_1_114",0.374474564675746
"Q8IVF2_IDR_1794_5795",0.313430698345184
"Q8IVF2_IDR_195_1792",0.312094736979071
"Q8IVF4_IDR_156_187",0.504608022489478
"Q8IVF4_IDR_1_66",0.495391977510522
"Q8IVF5_IDR_1017_1093",0.221646851368783
"Q8IVF5_IDR_1461_1667",0.232743721554488
"Q8IVF5_IDR_1_498",0.249495715044261
"Q8IVF5_IDR_749_804",0.296113712032468
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.281243196942556
"Q8IVW6_IDR_319_491",0.406126450061649
"Q8IVW6_IDR_516_561",0.312630352995795
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.318527343524693
"Q8IW35_IDR_575_628",0.309576320828229
"Q8IW35_IDR_633_854",0.371896335647078
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.479886173242447
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.541497611519754
"Q8IWE2_IDR_404_437",0.458502388480246
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.501801150020389
"Q8IWF9_IDR_234_348",0.498198849979611
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.10793746176312
"Q8IWI9_IDR_1340_1371",0.111959746622583
"Q8IWI9_IDR_1398_1903",0.115997977437715
"Q8IWI9_IDR_1905_2856",0.107541469695388
"Q8IWI9_IDR_261_649",0.110689624795646
"Q8IWI9_IDR_2974_3016",0.111116986122557
"Q8IWI9_IDR_3020_3065",0.112429372019562
"Q8IWI9_IDR_681_751",0.108265228745712
"Q8IWI9_IDR_753_1079",0.114062132797718
"Q8IWJ2_IDR_1_69",0.300481690989978
"Q8IWT3_IDR_1658_1690",0.244782444332541
"Q8IWT3_IDR_2437_2517",0.241704387120523
"Q8IWT6_IDR_180_231",0.489666753732663
"Q8IWT6_IDR_62_95",0.510333246267337
"Q8IWU2_IDR_1_101",0.244741322837551
"Q8IWU2_IDR_1377_1415",0.249978487664984
"Q8IWU2_IDR_1426_1459",0.258353127028143
"Q8IWU2_IDR_557_1314",0.246927062469322
"Q8IWU5_IDR_1_40",0.243977905099784
"Q8IWU5_IDR_557_594",0.256785500828894
"Q8IWU5_IDR_648_718",0.235488096673105
"Q8IWU5_IDR_824_860",0.263748497398216
"Q8IWU6_IDR_1_37",0.261648205719065
"Q8IWU6_IDR_510_543",0.251031870551884
"Q8IWU6_IDR_561_610",0.247708773558421
"Q8IWU6_IDR_666_738",0.23961115017063
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.338800167349913
"Q8IWV1_IDR_178_270",0.330225531557525
"Q8IWV1_IDR_295_398",0.330974301092562
"Q8IX03_IDR_790_917",0.224411491880604
"Q8IX03_IDR_945_991",0.240058154471475
"Q8IX07_IDR_1_83",0.322506601390474
"Q8IX07_IDR_194_247",0.308389074433258
"Q8IX07_IDR_266_972",0.369104324176268
"Q8IX12_IDR_212_357",0.19903911997355
"Q8IX12_IDR_599_722",0.203561143348615
"Q8IX12_IDR_793_917",0.187545603926091
"Q8IX12_IDR_9_144",0.208241368204301
"Q8IX12_IDR_981_1021",0.201612764547444
"Q8IX15_IDR_125_364",0.259474995440802
"Q8IX15_IDR_1_38",0.247499570099491
"Q8IX15_IDR_420_461",0.247236253261793
"Q8IX15_IDR_504_550",0.245789181197914
"Q8IX18_IDR_1_50",0.50437185821326
"Q8IX18_IDR_706_779",0.49562814178674
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.505328047315316
"Q8IX29_IDR_239_292",0.494671952684684
"Q8IXP5_IDR_108_216",0.488002104163299
"Q8IXP5_IDR_1_106",0.511997895836701
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.4977363608061
"Q8IXQ8_IDR_211_264",0.5022636391939
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.37766576058239
"Q8IXT5_IDR_485_921",0.306433779798494
"Q8IXT5_IDR_89_151",0.315900459619116
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.324429099336531
"Q8IXW0_IDR_176_344",0.363745909339781
"Q8IXW0_IDR_466_587",0.311824991323687
"Q8IXW5_IDR_1_41",0.492860854094447
"Q8IXW5_IDR_171_324",0.507139145905553
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.500050757139622
"Q8IY63_IDR_493_952",0.499949242860378
"Q8IY67_IDR_1_35",0.475561219991149
"Q8IY67_IDR_349_606",0.524438780008851
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.513144009353994
"Q8IY84_IDR_7_44",0.486855990646006
"Q8IY85_IDR_375_441",0.499273858952644
"Q8IY85_IDR_77_146",0.500726141047356
"Q8IY92_IDR_1_50",0.160945104929239
"Q8IY92_IDR_377_470",0.150562851251645
"Q8IY92_IDR_558_613",0.163304588070788
"Q8IY92_IDR_630_669",0.159305059118938
"Q8IY92_IDR_64_289",0.154739126179068
"Q8IY92_IDR_824_1750",0.211143270450322
"Q8IYE1_IDR_684_715",0.513796134203747
"Q8IYF1_IDR_647_753",0.501272568701343
"Q8IYF1_IDR_79_458",0.498727431298657
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.35157926950876
"Q8IYH5_IDR_573_649",0.297123736372561
"Q8IYH5_IDR_714_786",0.35129699411868
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.494425848315175
"Q8IYI6_IDR_287_328",0.505574151684825
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.259739822940473
"Q8IYJ0_IDR_112_175",0.24892446867302
"Q8IYJ0_IDR_204_238",0.252406484909776
"Q8IYJ0_IDR_240_282",0.238929223476731
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.479147835063484
"Q8IYK4_IDR_584_626",0.520852164936516
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.170828488933484
"Q8IYW2_IDR_1347_1410",0.157564959405351
"Q8IYW2_IDR_1985_2022",0.170045502510706
"Q8IYW2_IDR_2287_2320",0.166857941451115
"Q8IYW2_IDR_2540_2579",0.16638368183143
"Q8IYW2_IDR_2630_2661",0.168319425867914
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.616927546547038
"Q8IZ41_IDR_77_124",0.383072453452962
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.344513147390034
"Q8IZ63_IDR_360_422",0.33429821374428
"Q8IZ63_IDR_87_332",0.321188638865687
"Q8IZ69_IDR_1_56",0.490350504738699
"Q8IZ69_IDR_591_625",0.509649495261301
"Q8IZ73_IDR_31_122",0.491613600057819
"Q8IZ73_IDR_421_495",0.508386399942181
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.330099126357892
"Q8IZA0_IDR_201_244",0.343749876939668
"Q8IZA0_IDR_957_1015",0.326150996702439
"Q8IZA3_IDR_114_346",0.473688076197633
"Q8IZA3_IDR_1_50",0.526311923802367
"Q8IZC4_IDR_185_221",0.344070046026814
"Q8IZC4_IDR_409_445",0.329681723442855
"Q8IZC4_IDR_476_603",0.326248230530331
"Q8IZC6_IDR_1_36",0.505699562129727
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.503450515893434
"Q8IZJ3_IDR_1758_1835",0.496549484106566
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.507259888432764
"Q8IZL8_IDR_637_1130",0.492740111567236
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.502094072405555
"Q8IZN3_IDR_323_488",0.497905927594445
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.503225052295644
"Q8IZP6_IDR_97_147",0.496774947704356
"Q8IZP7_IDR_1_118",0.512874958369616
"Q8IZP7_IDR_426_459",0.487125041630384
"Q8IZP9_IDR_249_371",0.288630143181898
"Q8IZP9_IDR_39_74",0.228541056350681
"Q8IZU9_IDR_701_778",0.512461179014329
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166715936029839
"Q8IZX4_IDR_1220_1400",0.168985634294546
"Q8IZX4_IDR_1644_1826",0.161850154335745
"Q8IZX4_IDR_268_354",0.165684517241398
"Q8IZX4_IDR_536_578",0.166974295566837
"Q8IZX4_IDR_82_235",0.169789462531635
"Q8IZY2_IDR_1152_1210",0.490421800193904
"Q8IZY2_IDR_2105_2146",0.509578199806096
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.512520651173226
"Q8N0S2_IDR_260_351",0.487479348826774
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.240494939088084
"Q8N0U7_IDR_267_299",0.2545761135338
"Q8N0U7_IDR_37_122",0.235273433159094
"Q8N0U7_IDR_391_467",0.269655514219021
"Q8N103_IDR_1_81",0.325546899260971
"Q8N103_IDR_283_731",0.67445310073903
"Q8N108_IDR_1_176",0.488809204961912
"Q8N108_IDR_344_512",0.511190795038088
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.490109320365066
"Q8N114_IDR_203_240",0.509890679634934
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.506845727197904
"Q8N122_IDR_820_949",0.493154272802096
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.496387590533142
"Q8N128_IDR_68_213",0.503612409466858
"Q8N129_IDR_1_32",0.50674713930552
"Q8N129_IDR_202_248",0.493252860694481
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.339286162292079
