"","GO0005768_endosome"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.348317700409003
"Q5VUJ6_IDR_1_54",0.524345365848976
"Q5VUJ6_IDR_308_649",0.475654634151024
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.516884352089436
"Q5VV16_IDR_235_409",0.483115647910564
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.489492480010227
"Q5VV42_IDR_499_545",0.510507519989773
"Q5VWN6_IDR_1918_1981",0.156141535615739
"Q5VWN6_IDR_1993_2150",0.147421218997707
"Q5VWN6_IDR_803_1879",0.210925086219683
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.319901865716054
"Q5VWQ0_IDR_63_351",0.293705397189258
"Q5VWQ0_IDR_708_802",0.386392737094688
"Q5VWQ8_IDR_1141_1189",0.328232288765276
"Q5VWQ8_IDR_1_142",0.321807744727047
"Q5VWQ8_IDR_654_1098",0.349959966507676
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.183864023543597
"Q5VZL5_IDR_1_334",0.187454441356109
"Q5VZL5_IDR_640_677",0.175700273430672
"Q5VZL5_IDR_851_997",0.173481598637173
"Q5VZL5_IDR_999_1200",0.279499663032449
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.185167390482246
"Q5VZP5_IDR_45_103",0.166565812907741
"Q5XX13_IDR_168_231",0.522153331759433
"Q5XX13_IDR_693_978",0.477846668240567
"Q5XXA6_IDR_1_48",0.342363031088449
"Q5XXA6_IDR_74_121",0.325573817306697
"Q5XXA6_IDR_945_986",0.332063151604854
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.496785970025463
"Q63HK3_IDR_383_743",0.503214029974537
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.35972964386045
"Q66K14_IDR_944_993",0.319524694851229
"Q66K41_IDR_1_291",0.475359726568586
"Q66K41_IDR_304_345",0.524640273431415
"Q66K64_IDR_1_37",0.470524430113225
"Q66K64_IDR_275_383",0.529475569886775
"Q66K66_IDR_241_349",0.45598485970793
"Q66K66_IDR_32_81",0.54401514029207
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.239984265335925
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.506475664312884
"Q8IU57_IDR_479_520",0.493524335687116
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.511984430927365
"Q8IU81_IDR_56_237",0.488015569072635
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.550481348406282
"Q8IUC6_IDR_634_673",0.449518651593718
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.252385753868484
"Q8IUD2_IDR_621_730",0.252994498346974
"Q8IUD2_IDR_764_839",0.246286871660796
"Q8IUD2_IDR_926_1072",0.248332876123746
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.508972640437776
"Q8IUE0_IDR_1_55",0.491027359562224
"Q8IUE1_IDR_116_241",0.523470482503903
"Q8IUE1_IDR_1_55",0.476529517496097
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.356775892112632
"Q8IUG5_IDR_1_504",0.314074991783642
"Q8IUW5_IDR_126_223",0.226063810001772
"Q8IUW5_IDR_1_54",0.25707699054268
"Q8IUW5_IDR_234_271",0.241447073458061
"Q8IUW5_IDR_91_123",0.275412125997487
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.307564894743559
"Q8IUX7_IDR_1099_1138",0.381566134107019
"Q8IUX7_IDR_44_388",0.310868971149422
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.468540576028911
"Q8IUY3_IDR_182_321",0.531459423971089
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.54734595175348
"Q8IV04_IDR_352_446",0.452654048246521
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.499814145607119
"Q8IV31_IDR_62_184",0.500185854392881
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.306580873599785
"Q8IVE3_IDR_1453_1493",0.224928308777721
"Q8IVE3_IDR_36_69",0.237890178178895
"Q8IVE3_IDR_71_132",0.230600639443599
"Q8IVF1_IDR_14_81",0.194605939032232
"Q8IVF1_IDR_232_366",0.184143385329562
"Q8IVF1_IDR_407_522",0.200230178611756
"Q8IVF1_IDR_525_878",0.203966161679674
"Q8IVF1_IDR_83_205",0.217054335346776
"Q8IVF2_IDR_1_114",0.330076004265083
"Q8IVF2_IDR_1794_5795",0.352814477919376
"Q8IVF2_IDR_195_1792",0.317109517815541
"Q8IVF4_IDR_156_187",0.494090343456946
"Q8IVF4_IDR_1_66",0.505909656543054
"Q8IVF5_IDR_1017_1093",0.270098924044182
"Q8IVF5_IDR_1461_1667",0.251977038822094
"Q8IVF5_IDR_1_498",0.237894807413708
"Q8IVF5_IDR_749_804",0.240029229720016
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.369920477577018
"Q8IVW6_IDR_319_491",0.29636106708833
"Q8IVW6_IDR_516_561",0.333718455334652
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.334186485318365
"Q8IW35_IDR_575_628",0.289082516255171
"Q8IW35_IDR_633_854",0.376730998426464
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.508099243877141
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.533378616995572
"Q8IWE2_IDR_404_437",0.466621383004428
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.471342507789141
"Q8IWF9_IDR_234_348",0.528657492210859
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105193630162791
"Q8IWI9_IDR_1340_1371",0.113396130334083
"Q8IWI9_IDR_1398_1903",0.109078055362627
"Q8IWI9_IDR_1905_2856",0.114064198856617
"Q8IWI9_IDR_261_649",0.111349605622746
"Q8IWI9_IDR_2974_3016",0.112422578369998
"Q8IWI9_IDR_3020_3065",0.11148309371066
"Q8IWI9_IDR_681_751",0.116224579911269
"Q8IWI9_IDR_753_1079",0.106788127669208
"Q8IWJ2_IDR_1_69",0.312056022620222
"Q8IWT3_IDR_1658_1690",0.254733689786231
"Q8IWT3_IDR_2437_2517",0.265127674510192
"Q8IWT6_IDR_180_231",0.498286456833174
"Q8IWT6_IDR_62_95",0.501713543166825
"Q8IWU2_IDR_1_101",0.250910667705588
"Q8IWU2_IDR_1377_1415",0.227949858675064
"Q8IWU2_IDR_1426_1459",0.209774446255432
"Q8IWU2_IDR_557_1314",0.311365027363916
"Q8IWU5_IDR_1_40",0.239881167963012
"Q8IWU5_IDR_557_594",0.282598171090503
"Q8IWU5_IDR_648_718",0.23525617964937
"Q8IWU5_IDR_824_860",0.242264481297115
"Q8IWU6_IDR_1_37",0.24240959236576
"Q8IWU6_IDR_510_543",0.237216524011516
"Q8IWU6_IDR_561_610",0.292305711747123
"Q8IWU6_IDR_666_738",0.228068171875602
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.326282890624172
"Q8IWV1_IDR_178_270",0.334279314157205
"Q8IWV1_IDR_295_398",0.339437795218624
"Q8IX03_IDR_790_917",0.255206268895742
"Q8IX03_IDR_945_991",0.235897291284352
"Q8IX07_IDR_1_83",0.37370393864268
"Q8IX07_IDR_194_247",0.33257429753443
"Q8IX07_IDR_266_972",0.29372176382289
"Q8IX12_IDR_212_357",0.182333046181925
"Q8IX12_IDR_599_722",0.200561785791056
"Q8IX12_IDR_793_917",0.190508423601604
"Q8IX12_IDR_9_144",0.209626686731185
"Q8IX12_IDR_981_1021",0.216970057694229
"Q8IX15_IDR_125_364",0.235393853355784
"Q8IX15_IDR_1_38",0.246562010495596
"Q8IX15_IDR_420_461",0.243968668911773
"Q8IX15_IDR_504_550",0.274075467236847
"Q8IX18_IDR_1_50",0.512363222400979
"Q8IX18_IDR_706_779",0.487636777599021
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.513548778018761
"Q8IX29_IDR_239_292",0.486451221981239
"Q8IXP5_IDR_108_216",0.517118684529988
"Q8IXP5_IDR_1_106",0.482881315470012
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.479235656456201
"Q8IXQ8_IDR_211_264",0.520764343543799
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.319584459675942
"Q8IXT5_IDR_485_921",0.35179698720137
"Q8IXT5_IDR_89_151",0.328618553122688
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.351439506459961
"Q8IXW0_IDR_176_344",0.356866867817079
"Q8IXW0_IDR_466_587",0.29169362572296
"Q8IXW5_IDR_1_41",0.460434204880812
"Q8IXW5_IDR_171_324",0.539565795119188
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.548826252190559
"Q8IY63_IDR_493_952",0.451173747809441
"Q8IY67_IDR_1_35",0.462562615152281
"Q8IY67_IDR_349_606",0.537437384847719
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.487277290828186
"Q8IY84_IDR_7_44",0.512722709171814
"Q8IY85_IDR_375_441",0.511172126108312
"Q8IY85_IDR_77_146",0.488827873891688
"Q8IY92_IDR_1_50",0.171708167727284
"Q8IY92_IDR_377_470",0.145505732013744
"Q8IY92_IDR_558_613",0.170624345875425
"Q8IY92_IDR_630_669",0.171560546698645
"Q8IY92_IDR_64_289",0.156583272067395
"Q8IY92_IDR_824_1750",0.184017935617507
"Q8IYE1_IDR_684_715",0.526893466588009
"Q8IYF1_IDR_647_753",0.504558236225213
"Q8IYF1_IDR_79_458",0.495441763774787
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.336625059444554
"Q8IYH5_IDR_573_649",0.310056584359845
"Q8IYH5_IDR_714_786",0.353318356195601
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.381176687278464
"Q8IYI6_IDR_287_328",0.618823312721536
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.237553557144262
"Q8IYJ0_IDR_112_175",0.263988045044544
"Q8IYJ0_IDR_204_238",0.240642197518759
"Q8IYJ0_IDR_240_282",0.257816200292435
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.508484213419504
"Q8IYK4_IDR_584_626",0.491515786580496
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.182643519334744
"Q8IYW2_IDR_1347_1410",0.148784475982488
"Q8IYW2_IDR_1985_2022",0.170569396794345
"Q8IYW2_IDR_2287_2320",0.162382007390148
"Q8IYW2_IDR_2540_2579",0.1700857981411
"Q8IYW2_IDR_2630_2661",0.165534802357176
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.498406089624966
"Q8IZ41_IDR_77_124",0.501593910375034
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.329515894878026
"Q8IZ63_IDR_360_422",0.290195797474501
"Q8IZ63_IDR_87_332",0.380288307647473
"Q8IZ69_IDR_1_56",0.501637247933099
"Q8IZ69_IDR_591_625",0.498362752066901
"Q8IZ73_IDR_31_122",0.444375793666193
"Q8IZ73_IDR_421_495",0.555624206333807
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.321899850126633
"Q8IZA0_IDR_201_244",0.364963889746994
"Q8IZA0_IDR_957_1015",0.313136260126373
"Q8IZA3_IDR_114_346",0.472488993882696
"Q8IZA3_IDR_1_50",0.527511006117304
"Q8IZC4_IDR_185_221",0.321011373809511
"Q8IZC4_IDR_409_445",0.367443350770893
"Q8IZC4_IDR_476_603",0.311545275419596
"Q8IZC6_IDR_1_36",0.509512949387225
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.477173603068039
"Q8IZJ3_IDR_1758_1835",0.522826396931961
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.413191911924122
"Q8IZL8_IDR_637_1130",0.586808088075878
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.455757578274329
"Q8IZN3_IDR_323_488",0.544242421725671
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.464350263318027
"Q8IZP6_IDR_97_147",0.535649736681973
"Q8IZP7_IDR_1_118",0.548807980510325
"Q8IZP7_IDR_426_459",0.451192019489675
"Q8IZP9_IDR_249_371",0.290324542305575
"Q8IZP9_IDR_39_74",0.253683018245824
"Q8IZU9_IDR_701_778",0.50302689984966
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.153393826406484
"Q8IZX4_IDR_1220_1400",0.124957662071206
"Q8IZX4_IDR_1644_1826",0.313704677551487
"Q8IZX4_IDR_268_354",0.128293055072657
"Q8IZX4_IDR_536_578",0.128110597187797
"Q8IZX4_IDR_82_235",0.151540181710369
"Q8IZY2_IDR_1152_1210",0.508814143376263
"Q8IZY2_IDR_2105_2146",0.491185856623737
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.527041281443428
"Q8N0S2_IDR_260_351",0.472958718556572
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.238260810380851
"Q8N0U7_IDR_267_299",0.253535270585724
"Q8N0U7_IDR_37_122",0.24729685106721
"Q8N0U7_IDR_391_467",0.260907067966214
"Q8N103_IDR_1_81",0.50360536271194
"Q8N103_IDR_283_731",0.49639463728806
"Q8N108_IDR_1_176",0.534062617395605
"Q8N108_IDR_344_512",0.465937382604395
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.483705738478122
"Q8N114_IDR_203_240",0.516294261521878
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500017929903253
"Q8N122_IDR_820_949",0.499982070096747
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.488650276017481
"Q8N128_IDR_68_213",0.511349723982519
"Q8N129_IDR_1_32",0.5019997823453
"Q8N129_IDR_202_248",0.4980002176547
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.347486682222256
"Q8N137_IDR_442_797",0.355120458060177
