"","GO0061630_ubiquitin_protein_ligase_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.367522733656612
"Q5VUJ6_IDR_1_54",0.523193755738479
"Q5VUJ6_IDR_308_649",0.476806244261521
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.482443524680679
"Q5VV16_IDR_235_409",0.517556475319321
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.496402849454915
"Q5VV42_IDR_499_545",0.503597150545085
"Q5VWN6_IDR_1918_1981",0.172276290391587
"Q5VWN6_IDR_1993_2150",0.173206779453992
"Q5VWN6_IDR_803_1879",0.161751195784175
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.343820830135201
"Q5VWQ0_IDR_63_351",0.306949296143247
"Q5VWQ0_IDR_708_802",0.349229873721552
"Q5VWQ8_IDR_1141_1189",0.3163313134544
"Q5VWQ8_IDR_1_142",0.314068834932102
"Q5VWQ8_IDR_654_1098",0.369599851613498
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.191408344743351
"Q5VZL5_IDR_1_334",0.196398259456975
"Q5VZL5_IDR_640_677",0.214420146026042
"Q5VZL5_IDR_851_997",0.195784273679412
"Q5VZL5_IDR_999_1200",0.201988976094219
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.174721135536894
"Q5VZP5_IDR_45_103",0.159691334249967
"Q5XX13_IDR_168_231",0.49496511119506
"Q5XX13_IDR_693_978",0.50503488880494
"Q5XXA6_IDR_1_48",0.320969040181228
"Q5XXA6_IDR_74_121",0.347096610241171
"Q5XXA6_IDR_945_986",0.331934349577602
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.490339463982892
"Q63HK3_IDR_383_743",0.509660536017108
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.339185373831206
"Q66K14_IDR_944_993",0.3245078129949
"Q66K41_IDR_1_291",0.495171366079653
"Q66K41_IDR_304_345",0.504828633920347
"Q66K64_IDR_1_37",0.45148802916282
"Q66K64_IDR_275_383",0.54851197083718
"Q66K66_IDR_241_349",0.478338962156182
"Q66K66_IDR_32_81",0.521661037843818
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.271214897897649
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.510005516028246
"Q8IU57_IDR_479_520",0.489994483971754
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.496238964000233
"Q8IU81_IDR_56_237",0.503761035999767
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.621587270397674
"Q8IUC6_IDR_634_673",0.378412729602326
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.268979037771948
"Q8IUD2_IDR_621_730",0.238756946259227
"Q8IUD2_IDR_764_839",0.249072929306408
"Q8IUD2_IDR_926_1072",0.243191086662417
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.495686325671232
"Q8IUE0_IDR_1_55",0.504313674328768
"Q8IUE1_IDR_116_241",0.489747019106397
"Q8IUE1_IDR_1_55",0.510252980893603
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.301999953395368
"Q8IUG5_IDR_1_504",0.286383181546283
"Q8IUW5_IDR_126_223",0.243027971953858
"Q8IUW5_IDR_1_54",0.264078921461127
"Q8IUW5_IDR_234_271",0.24156422254263
"Q8IUW5_IDR_91_123",0.251328884042385
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.395273985075013
"Q8IUX7_IDR_1099_1138",0.326120041033797
"Q8IUX7_IDR_44_388",0.27860597389119
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.485483064811525
"Q8IUY3_IDR_182_321",0.514516935188476
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.512053941961077
"Q8IV04_IDR_352_446",0.487946058038923
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.447374251243611
"Q8IV31_IDR_62_184",0.552625748756389
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.249968725927954
"Q8IVE3_IDR_1453_1493",0.250407803601058
"Q8IVE3_IDR_36_69",0.252592455944267
"Q8IVE3_IDR_71_132",0.247031014526721
"Q8IVF1_IDR_14_81",0.193976532773513
"Q8IVF1_IDR_232_366",0.196953754101471
"Q8IVF1_IDR_407_522",0.186794204847621
"Q8IVF1_IDR_525_878",0.212781357669654
"Q8IVF1_IDR_83_205",0.209494150607742
"Q8IVF2_IDR_1_114",0.356159907101476
"Q8IVF2_IDR_1794_5795",0.322192236567248
"Q8IVF2_IDR_195_1792",0.321647856331276
"Q8IVF4_IDR_156_187",0.495551191219502
"Q8IVF4_IDR_1_66",0.504448808780498
"Q8IVF5_IDR_1017_1093",0.256062489268043
"Q8IVF5_IDR_1461_1667",0.24710387814804
"Q8IVF5_IDR_1_498",0.25041026908658
"Q8IVF5_IDR_749_804",0.246423363497337
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.336177914390344
"Q8IVW6_IDR_319_491",0.350369602112626
"Q8IVW6_IDR_516_561",0.31345248349703
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.31852191556082
"Q8IW35_IDR_575_628",0.331042128555448
"Q8IW35_IDR_633_854",0.350435955883733
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.503369944899315
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.512050792187033
"Q8IWE2_IDR_404_437",0.487949207812967
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.484542705254074
"Q8IWF9_IDR_234_348",0.515457294745926
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105271361909182
"Q8IWI9_IDR_1340_1371",0.111474915490696
"Q8IWI9_IDR_1398_1903",0.117663572864316
"Q8IWI9_IDR_1905_2856",0.104614336688143
"Q8IWI9_IDR_261_649",0.104761588963399
"Q8IWI9_IDR_2974_3016",0.117527391491654
"Q8IWI9_IDR_3020_3065",0.110165576868947
"Q8IWI9_IDR_681_751",0.112200391772146
"Q8IWI9_IDR_753_1079",0.116320863951517
"Q8IWJ2_IDR_1_69",0.309756002118392
"Q8IWT3_IDR_1658_1690",0.260082911629516
"Q8IWT3_IDR_2437_2517",0.265108382593924
"Q8IWT6_IDR_180_231",0.50024572622067
"Q8IWT6_IDR_62_95",0.49975427377933
"Q8IWU2_IDR_1_101",0.233328898973253
"Q8IWU2_IDR_1377_1415",0.262866157292273
"Q8IWU2_IDR_1426_1459",0.249528504945485
"Q8IWU2_IDR_557_1314",0.254276438788988
"Q8IWU5_IDR_1_40",0.262247547667892
"Q8IWU5_IDR_557_594",0.254931020296284
"Q8IWU5_IDR_648_718",0.233564367441442
"Q8IWU5_IDR_824_860",0.249257064594382
"Q8IWU6_IDR_1_37",0.253267384495625
"Q8IWU6_IDR_510_543",0.251524250319625
"Q8IWU6_IDR_561_610",0.264430574312574
"Q8IWU6_IDR_666_738",0.230777790872176
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.320138284171867
"Q8IWV1_IDR_178_270",0.335690484240324
"Q8IWV1_IDR_295_398",0.344171231587809
"Q8IX03_IDR_790_917",0.245279345892277
"Q8IX03_IDR_945_991",0.241379136583497
"Q8IX07_IDR_1_83",0.354912858778271
"Q8IX07_IDR_194_247",0.309179071170294
"Q8IX07_IDR_266_972",0.335908070051435
"Q8IX12_IDR_212_357",0.229383064315007
"Q8IX12_IDR_599_722",0.188317984265821
"Q8IX12_IDR_793_917",0.179580323405855
"Q8IX12_IDR_9_144",0.207098971510338
"Q8IX12_IDR_981_1021",0.195619656502979
"Q8IX15_IDR_125_364",0.243843337900134
"Q8IX15_IDR_1_38",0.251119693511456
"Q8IX15_IDR_420_461",0.252922413443731
"Q8IX15_IDR_504_550",0.252114555144679
"Q8IX18_IDR_1_50",0.51442983418961
"Q8IX18_IDR_706_779",0.48557016581039
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.504485390555784
"Q8IX29_IDR_239_292",0.495514609444216
"Q8IXP5_IDR_108_216",0.505916861486818
"Q8IXP5_IDR_1_106",0.494083138513182
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.492743915015812
"Q8IXQ8_IDR_211_264",0.507256084984188
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.330281940120133
"Q8IXT5_IDR_485_921",0.345450497464089
"Q8IXT5_IDR_89_151",0.324267562415778
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.317763580743037
"Q8IXW0_IDR_176_344",0.321136562722546
"Q8IXW0_IDR_466_587",0.361099856534417
"Q8IXW5_IDR_1_41",0.50962420109319
"Q8IXW5_IDR_171_324",0.49037579890681
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.509638418986607
"Q8IY63_IDR_493_952",0.490361581013392
"Q8IY67_IDR_1_35",0.509861328947124
"Q8IY67_IDR_349_606",0.490138671052876
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.488607166456227
"Q8IY84_IDR_7_44",0.511392833543773
"Q8IY85_IDR_375_441",0.501234232990614
"Q8IY85_IDR_77_146",0.498765767009386
"Q8IY92_IDR_1_50",0.165544387091797
"Q8IY92_IDR_377_470",0.153173553042678
"Q8IY92_IDR_558_613",0.173779131825639
"Q8IY92_IDR_630_669",0.163895557319503
"Q8IY92_IDR_64_289",0.162700375083526
"Q8IY92_IDR_824_1750",0.180906995636857
"Q8IYE1_IDR_684_715",0.512956669129139
"Q8IYF1_IDR_647_753",0.506338704454654
"Q8IYF1_IDR_79_458",0.493661295545346
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.3632744285741
"Q8IYH5_IDR_573_649",0.316304098771196
"Q8IYH5_IDR_714_786",0.320421472654704
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.504328762665418
"Q8IYI6_IDR_287_328",0.495671237334582
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.274171022109328
"Q8IYJ0_IDR_112_175",0.244130494453657
"Q8IYJ0_IDR_204_238",0.242834114826636
"Q8IYJ0_IDR_240_282",0.238864368610379
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.506069494770142
"Q8IYK4_IDR_584_626",0.493930505229858
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.172163965702267
"Q8IYW2_IDR_1347_1410",0.153198592967476
"Q8IYW2_IDR_1985_2022",0.166583293640721
"Q8IYW2_IDR_2287_2320",0.163683062502407
"Q8IYW2_IDR_2540_2579",0.173765294913958
"Q8IYW2_IDR_2630_2661",0.170605790273171
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.509362359826056
"Q8IZ41_IDR_77_124",0.490637640173944
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.351958291967838
"Q8IZ63_IDR_360_422",0.315282891277381
"Q8IZ63_IDR_87_332",0.332758816754781
"Q8IZ69_IDR_1_56",0.510742343226702
"Q8IZ69_IDR_591_625",0.489257656773298
"Q8IZ73_IDR_31_122",0.509736056336281
"Q8IZ73_IDR_421_495",0.490263943663719
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.331285367848881
"Q8IZA0_IDR_201_244",0.332816719418242
"Q8IZA0_IDR_957_1015",0.335897912732877
"Q8IZA3_IDR_114_346",0.474493241925982
"Q8IZA3_IDR_1_50",0.525506758074018
"Q8IZC4_IDR_185_221",0.333249999904548
"Q8IZC4_IDR_409_445",0.336054455543681
"Q8IZC4_IDR_476_603",0.330695544551771
"Q8IZC6_IDR_1_36",0.493715375394691
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.510683312303718
"Q8IZJ3_IDR_1758_1835",0.489316687696282
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.446037850236371
"Q8IZL8_IDR_637_1130",0.55396214976363
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.477547846070666
"Q8IZN3_IDR_323_488",0.522452153929334
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.499766807645936
"Q8IZP6_IDR_97_147",0.500233192354064
"Q8IZP7_IDR_1_118",0.489906407871826
"Q8IZP7_IDR_426_459",0.510093592128174
"Q8IZP9_IDR_249_371",0.285947189304031
"Q8IZP9_IDR_39_74",0.239173805388733
"Q8IZU9_IDR_701_778",0.507277886139161
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.158646721370124
"Q8IZX4_IDR_1220_1400",0.15892841711092
"Q8IZX4_IDR_1644_1826",0.200758956861319
"Q8IZX4_IDR_268_354",0.153554114645704
"Q8IZX4_IDR_536_578",0.156026720548433
"Q8IZX4_IDR_82_235",0.1720850694635
"Q8IZY2_IDR_1152_1210",0.524863212709036
"Q8IZY2_IDR_2105_2146",0.475136787290964
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.49990815637233
"Q8N0S2_IDR_260_351",0.500091843627669
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.256364951017209
"Q8N0U7_IDR_267_299",0.253002146433779
"Q8N0U7_IDR_37_122",0.244245649681959
"Q8N0U7_IDR_391_467",0.246387252867053
"Q8N103_IDR_1_81",0.493643506378643
"Q8N103_IDR_283_731",0.506356493621357
"Q8N108_IDR_1_176",0.493115644054722
"Q8N108_IDR_344_512",0.506884355945278
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.507216705660244
"Q8N114_IDR_203_240",0.492783294339756
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.496465044174827
"Q8N122_IDR_820_949",0.503534955825173
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.514495323645679
"Q8N128_IDR_68_213",0.485504676354321
"Q8N129_IDR_1_32",0.509842549575658
"Q8N129_IDR_202_248",0.490157450424342
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.340917309078862
