"","GO0030312_external_encapsulating_structure"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.334459952939671
"Q5VUJ6_IDR_1_54",0.502197001906856
"Q5VUJ6_IDR_308_649",0.497802998093144
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.473255631942696
"Q5VV16_IDR_235_409",0.526744368057304
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.46578202518261
"Q5VV42_IDR_499_545",0.53421797481739
"Q5VWN6_IDR_1918_1981",0.178221966501612
"Q5VWN6_IDR_1993_2150",0.152237483767109
"Q5VWN6_IDR_803_1879",0.17254083033782
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.326100718723493
"Q5VWQ0_IDR_63_351",0.337292317895679
"Q5VWQ0_IDR_708_802",0.336606963380828
"Q5VWQ8_IDR_1141_1189",0.312585289777547
"Q5VWQ8_IDR_1_142",0.382849223653557
"Q5VWQ8_IDR_654_1098",0.304565486568896
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.186460969403239
"Q5VZL5_IDR_1_334",0.219785329112796
"Q5VZL5_IDR_640_677",0.190379549678176
"Q5VZL5_IDR_851_997",0.20716337372566
"Q5VZL5_IDR_999_1200",0.196210778080129
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.167572558477471
"Q5VZP5_IDR_45_103",0.169880753321322
"Q5XX13_IDR_168_231",0.493287966457039
"Q5XX13_IDR_693_978",0.506712033542961
"Q5XXA6_IDR_1_48",0.326409120640029
"Q5XXA6_IDR_74_121",0.351100995388804
"Q5XXA6_IDR_945_986",0.322489883971166
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.470339716379031
"Q63HK3_IDR_383_743",0.529660283620969
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.311990949714631
"Q66K14_IDR_944_993",0.366020004784466
"Q66K41_IDR_1_291",0.548378073787683
"Q66K41_IDR_304_345",0.451621926212317
"Q66K64_IDR_1_37",0.491429319282844
"Q66K64_IDR_275_383",0.508570680717156
"Q66K66_IDR_241_349",0.491882254960287
"Q66K66_IDR_32_81",0.508117745039713
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.249719551228986
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.515871927035563
"Q8IU57_IDR_479_520",0.484128072964437
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.514581467131299
"Q8IU81_IDR_56_237",0.485418532868701
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.48793150755032
"Q8IUC6_IDR_634_673",0.51206849244968
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.248559878788221
"Q8IUD2_IDR_621_730",0.242321910753549
"Q8IUD2_IDR_764_839",0.257764402946651
"Q8IUD2_IDR_926_1072",0.251353807511579
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.500015553576384
"Q8IUE0_IDR_1_55",0.499984446423616
"Q8IUE1_IDR_116_241",0.506123264083051
"Q8IUE1_IDR_1_55",0.493876735916949
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.347113166262396
"Q8IUG5_IDR_1_504",0.342782188960956
"Q8IUW5_IDR_126_223",0.242645198531295
"Q8IUW5_IDR_1_54",0.261879920434411
"Q8IUW5_IDR_234_271",0.237253771728478
"Q8IUW5_IDR_91_123",0.258221109305816
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.310313277462866
"Q8IUX7_IDR_1099_1138",0.314275088004773
"Q8IUX7_IDR_44_388",0.375411634532361
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.500255323493152
"Q8IUY3_IDR_182_321",0.499744676506848
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.492285136213579
"Q8IV04_IDR_352_446",0.507714863786421
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.456363867888123
"Q8IV31_IDR_62_184",0.543636132111877
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.238534663647023
"Q8IVE3_IDR_1453_1493",0.270852942935624
"Q8IVE3_IDR_36_69",0.243826520322112
"Q8IVE3_IDR_71_132",0.246785873095242
"Q8IVF1_IDR_14_81",0.17530849529995
"Q8IVF1_IDR_232_366",0.197429156533552
"Q8IVF1_IDR_407_522",0.205447419958045
"Q8IVF1_IDR_525_878",0.200456044045381
"Q8IVF1_IDR_83_205",0.221358884163072
"Q8IVF2_IDR_1_114",0.274486462241741
"Q8IVF2_IDR_1794_5795",0.40628152767177
"Q8IVF2_IDR_195_1792",0.319232010086489
"Q8IVF4_IDR_156_187",0.496801905129781
"Q8IVF4_IDR_1_66",0.503198094870219
"Q8IVF5_IDR_1017_1093",0.279591590383402
"Q8IVF5_IDR_1461_1667",0.241274058306814
"Q8IVF5_IDR_1_498",0.23225987278489
"Q8IVF5_IDR_749_804",0.246874478524894
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.349876113633876
"Q8IVW6_IDR_319_491",0.314641998781234
"Q8IVW6_IDR_516_561",0.33548188758489
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.342436573557772
"Q8IW35_IDR_575_628",0.320996423785602
"Q8IW35_IDR_633_854",0.336567002656626
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.517048242959632
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.490802398665131
"Q8IWE2_IDR_404_437",0.509197601334869
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.456774967072349
"Q8IWF9_IDR_234_348",0.54322503292765
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104201031098385
"Q8IWI9_IDR_1340_1371",0.107639306305511
"Q8IWI9_IDR_1398_1903",0.122363067048864
"Q8IWI9_IDR_1905_2856",0.0983597714641291
"Q8IWI9_IDR_261_649",0.10806050992556
"Q8IWI9_IDR_2974_3016",0.112613320013012
"Q8IWI9_IDR_3020_3065",0.114012467344592
"Q8IWI9_IDR_681_751",0.11599054147559
"Q8IWI9_IDR_753_1079",0.116759985324357
"Q8IWJ2_IDR_1_69",0.311447866252218
"Q8IWT3_IDR_1658_1690",0.254075047129819
"Q8IWT3_IDR_2437_2517",0.254006732434394
"Q8IWT6_IDR_180_231",0.492196419974678
"Q8IWT6_IDR_62_95",0.507803580025322
"Q8IWU2_IDR_1_101",0.284311066792199
"Q8IWU2_IDR_1377_1415",0.225125780036246
"Q8IWU2_IDR_1426_1459",0.240572269323508
"Q8IWU2_IDR_557_1314",0.249990883848047
"Q8IWU5_IDR_1_40",0.352011897909377
"Q8IWU5_IDR_557_594",0.220677330461867
"Q8IWU5_IDR_648_718",0.208204853071348
"Q8IWU5_IDR_824_860",0.219105918557408
"Q8IWU6_IDR_1_37",0.30190140306108
"Q8IWU6_IDR_510_543",0.235918234519077
"Q8IWU6_IDR_561_610",0.239038109183427
"Q8IWU6_IDR_666_738",0.223142253236416
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.341055827954519
"Q8IWV1_IDR_178_270",0.324599396653901
"Q8IWV1_IDR_295_398",0.33434477539158
"Q8IX03_IDR_790_917",0.271782396652226
"Q8IX03_IDR_945_991",0.232816563086918
"Q8IX07_IDR_1_83",0.313634448602477
"Q8IX07_IDR_194_247",0.329747122373202
"Q8IX07_IDR_266_972",0.356618429024321
"Q8IX12_IDR_212_357",0.187756386592942
"Q8IX12_IDR_599_722",0.197592153097682
"Q8IX12_IDR_793_917",0.223982120792174
"Q8IX12_IDR_9_144",0.192093375356847
"Q8IX12_IDR_981_1021",0.198575964160355
"Q8IX15_IDR_125_364",0.259779322756737
"Q8IX15_IDR_1_38",0.239833946743026
"Q8IX15_IDR_420_461",0.253787278396994
"Q8IX15_IDR_504_550",0.246599452103243
"Q8IX18_IDR_1_50",0.505998336943879
"Q8IX18_IDR_706_779",0.494001663056121
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.521297215543702
"Q8IX29_IDR_239_292",0.478702784456298
"Q8IXP5_IDR_108_216",0.483865522876363
"Q8IXP5_IDR_1_106",0.516134477123637
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.495602524300057
"Q8IXQ8_IDR_211_264",0.504397475699943
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.330078131033604
"Q8IXT5_IDR_485_921",0.334150348815175
"Q8IXT5_IDR_89_151",0.335771520151221
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.314389909729951
"Q8IXW0_IDR_176_344",0.329596207885023
"Q8IXW0_IDR_466_587",0.356013882385026
"Q8IXW5_IDR_1_41",0.50760828811304
"Q8IXW5_IDR_171_324",0.49239171188696
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.633336722180806
"Q8IY63_IDR_493_952",0.366663277819194
"Q8IY67_IDR_1_35",0.480916374651237
"Q8IY67_IDR_349_606",0.519083625348763
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.503323184189291
"Q8IY84_IDR_7_44",0.496676815810709
"Q8IY85_IDR_375_441",0.505928848728745
"Q8IY85_IDR_77_146",0.494071151271255
"Q8IY92_IDR_1_50",0.168979092169796
"Q8IY92_IDR_377_470",0.158809521471631
"Q8IY92_IDR_558_613",0.180741423802542
"Q8IY92_IDR_630_669",0.167510218040944
"Q8IY92_IDR_64_289",0.162885207648567
"Q8IY92_IDR_824_1750",0.16107453686652
"Q8IYE1_IDR_684_715",0.509005854974037
"Q8IYF1_IDR_647_753",0.50434289469761
"Q8IYF1_IDR_79_458",0.49565710530239
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.321248980240901
"Q8IYH5_IDR_573_649",0.328244314042568
"Q8IYH5_IDR_714_786",0.350506705716531
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.509216345471981
"Q8IYI6_IDR_287_328",0.490783654528019
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.254752096601444
"Q8IYJ0_IDR_112_175",0.250799294118945
"Q8IYJ0_IDR_204_238",0.242389593433369
"Q8IYJ0_IDR_240_282",0.252059015846242
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.602137792644133
"Q8IYK4_IDR_584_626",0.397862207355867
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.171925871398729
"Q8IYW2_IDR_1347_1410",0.15961055995674
"Q8IYW2_IDR_1985_2022",0.162924972108048
"Q8IYW2_IDR_2287_2320",0.161514638935854
"Q8IYW2_IDR_2540_2579",0.170684702115216
"Q8IYW2_IDR_2630_2661",0.173339255485413
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.467263426143956
"Q8IZ41_IDR_77_124",0.532736573856044
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.345910516738434
"Q8IZ63_IDR_360_422",0.310846411187199
"Q8IZ63_IDR_87_332",0.343243072074367
"Q8IZ69_IDR_1_56",0.491852977403319
"Q8IZ69_IDR_591_625",0.508147022596682
"Q8IZ73_IDR_31_122",0.487213516976171
"Q8IZ73_IDR_421_495",0.512786483023829
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.32575682286699
"Q8IZA0_IDR_201_244",0.354697985364466
"Q8IZA0_IDR_957_1015",0.319545191768544
"Q8IZA3_IDR_114_346",0.508656569568601
"Q8IZA3_IDR_1_50",0.491343430431399
"Q8IZC4_IDR_185_221",0.327362948686056
"Q8IZC4_IDR_409_445",0.324499487826547
"Q8IZC4_IDR_476_603",0.348137563487397
"Q8IZC6_IDR_1_36",0.305191273442059
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.469363601430599
"Q8IZJ3_IDR_1758_1835",0.530636398569401
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.471360728587453
"Q8IZL8_IDR_637_1130",0.528639271412547
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.451321867509871
"Q8IZN3_IDR_323_488",0.548678132490129
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.481523606795794
"Q8IZP6_IDR_97_147",0.518476393204206
"Q8IZP7_IDR_1_118",0.497940962630504
"Q8IZP7_IDR_426_459",0.502059037369496
"Q8IZP9_IDR_249_371",0.278915837526397
"Q8IZP9_IDR_39_74",0.248644394134977
"Q8IZU9_IDR_701_778",0.502649361984982
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162437245489164
"Q8IZX4_IDR_1220_1400",0.166775334886808
"Q8IZX4_IDR_1644_1826",0.170701686789835
"Q8IZX4_IDR_268_354",0.169480398623897
"Q8IZX4_IDR_536_578",0.165839413032158
"Q8IZX4_IDR_82_235",0.164765921178138
"Q8IZY2_IDR_1152_1210",0.526918877486688
"Q8IZY2_IDR_2105_2146",0.473081122513312
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.501288564356189
"Q8N0S2_IDR_260_351",0.498711435643811
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.244386958073097
"Q8N0U7_IDR_267_299",0.235592563001137
"Q8N0U7_IDR_37_122",0.263386709007086
"Q8N0U7_IDR_391_467",0.256633769918679
"Q8N103_IDR_1_81",0.509105615144672
"Q8N103_IDR_283_731",0.490894384855328
"Q8N108_IDR_1_176",0.522993438050698
"Q8N108_IDR_344_512",0.477006561949303
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.499399661211281
"Q8N114_IDR_203_240",0.500600338788719
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.490051714411119
"Q8N122_IDR_820_949",0.509948285588881
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.50155467219612
"Q8N128_IDR_68_213",0.49844532780388
"Q8N129_IDR_1_32",0.498757621830089
"Q8N129_IDR_202_248",0.501242378169911
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.322346910521069
"Q8N137_IDR_442_797",0.352235734118225
