"","GO0006355_regulation_of_transcription._DNA_templated"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.281277670100046
"Q5VUJ6_IDR_1_54",0.501538919533187
"Q5VUJ6_IDR_308_649",0.498461080466813
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.428440234645069
"Q5VV16_IDR_235_409",0.571559765354931
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.395018742860025
"Q5VV42_IDR_499_545",0.604981257139975
"Q5VWN6_IDR_1918_1981",0.167756039576987
"Q5VWN6_IDR_1993_2150",0.184819700907374
"Q5VWN6_IDR_803_1879",0.149973723491051
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.156080076517876
"Q5VWQ0_IDR_63_351",0.5512120902936
"Q5VWQ0_IDR_708_802",0.292707833188524
"Q5VWQ8_IDR_1141_1189",0.353027237416059
"Q5VWQ8_IDR_1_142",0.319702297094868
"Q5VWQ8_IDR_654_1098",0.327270465489073
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.229366783052193
"Q5VZL5_IDR_1_334",0.256310514294948
"Q5VZL5_IDR_640_677",0.173839025014679
"Q5VZL5_IDR_851_997",0.178380471131271
"Q5VZL5_IDR_999_1200",0.162103206506908
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.182244595200654
"Q5VZP5_IDR_45_103",0.187445203524532
"Q5XX13_IDR_168_231",0.417953558382132
"Q5XX13_IDR_693_978",0.582046441617868
"Q5XXA6_IDR_1_48",0.23340503980231
"Q5XXA6_IDR_74_121",0.488348272683338
"Q5XXA6_IDR_945_986",0.278246687514352
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.551389547296921
"Q63HK3_IDR_383_743",0.448610452703079
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.340331030518961
"Q66K14_IDR_944_993",0.315376651444039
"Q66K41_IDR_1_291",0.512063171886099
"Q66K41_IDR_304_345",0.487936828113901
"Q66K64_IDR_1_37",0.516804947312459
"Q66K64_IDR_275_383",0.483195052687541
"Q66K66_IDR_241_349",0.738207206631815
"Q66K66_IDR_32_81",0.261792793368185
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.222528313797676
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.537575848877927
"Q8IU57_IDR_479_520",0.462424151122073
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.508884613856994
"Q8IU81_IDR_56_237",0.491115386143006
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.514747271015211
"Q8IUC6_IDR_634_673",0.485252728984789
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.255158215215071
"Q8IUD2_IDR_621_730",0.198604501605654
"Q8IUD2_IDR_764_839",0.207612160482515
"Q8IUD2_IDR_926_1072",0.33862512269676
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.518627162693337
"Q8IUE0_IDR_1_55",0.481372837306663
"Q8IUE1_IDR_116_241",0.518731687001367
"Q8IUE1_IDR_1_55",0.481268312998633
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.345393733615883
"Q8IUG5_IDR_1_504",0.339826251819597
"Q8IUW5_IDR_126_223",0.274923228949352
"Q8IUW5_IDR_1_54",0.269844189073391
"Q8IUW5_IDR_234_271",0.23545266398187
"Q8IUW5_IDR_91_123",0.219779917995387
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.305430919397209
"Q8IUX7_IDR_1099_1138",0.407730898375196
"Q8IUX7_IDR_44_388",0.286838182227595
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.606360514052567
"Q8IUY3_IDR_182_321",0.393639485947433
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.516537179870451
"Q8IV04_IDR_352_446",0.483462820129549
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.468902091198662
"Q8IV31_IDR_62_184",0.531097908801338
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.248429757230396
"Q8IVE3_IDR_1453_1493",0.295263807335266
"Q8IVE3_IDR_36_69",0.238962265587507
"Q8IVE3_IDR_71_132",0.217344169846831
"Q8IVF1_IDR_14_81",0.196034469799178
"Q8IVF1_IDR_232_366",0.180551295881765
"Q8IVF1_IDR_407_522",0.205875440841167
"Q8IVF1_IDR_525_878",0.212162207101006
"Q8IVF1_IDR_83_205",0.205376586376884
"Q8IVF2_IDR_1_114",0.263643551491938
"Q8IVF2_IDR_1794_5795",0.396286397595477
"Q8IVF2_IDR_195_1792",0.340070050912586
"Q8IVF4_IDR_156_187",0.541021492265185
"Q8IVF4_IDR_1_66",0.458978507734815
"Q8IVF5_IDR_1017_1093",0.214844908580139
"Q8IVF5_IDR_1461_1667",0.262344143990606
"Q8IVF5_IDR_1_498",0.336690224020786
"Q8IVF5_IDR_749_804",0.18612072340847
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.303800949178981
"Q8IVW6_IDR_319_491",0.325514392429289
"Q8IVW6_IDR_516_561",0.37068465839173
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.423832900823133
"Q8IW35_IDR_575_628",0.295433846565474
"Q8IW35_IDR_633_854",0.280733252611394
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.518391218091508
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.551580321847059
"Q8IWE2_IDR_404_437",0.448419678152941
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.481116728744107
"Q8IWF9_IDR_234_348",0.518883271255893
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104588223538984
"Q8IWI9_IDR_1340_1371",0.106807490135602
"Q8IWI9_IDR_1398_1903",0.106872826571912
"Q8IWI9_IDR_1905_2856",0.121520095383812
"Q8IWI9_IDR_261_649",0.154829255608713
"Q8IWI9_IDR_2974_3016",0.102912568815392
"Q8IWI9_IDR_3020_3065",0.117365671521506
"Q8IWI9_IDR_681_751",0.103530991176657
"Q8IWI9_IDR_753_1079",0.0815728772474223
"Q8IWJ2_IDR_1_69",0.255170886890937
"Q8IWT3_IDR_1658_1690",0.218258618894148
"Q8IWT3_IDR_2437_2517",0.198654660705293
"Q8IWT6_IDR_180_231",0.479524536577639
"Q8IWT6_IDR_62_95",0.520475463422362
"Q8IWU2_IDR_1_101",0.249508201916295
"Q8IWU2_IDR_1377_1415",0.280042730870773
"Q8IWU2_IDR_1426_1459",0.225457480233143
"Q8IWU2_IDR_557_1314",0.24499158697979
"Q8IWU5_IDR_1_40",0.22309434072255
"Q8IWU5_IDR_557_594",0.243220915537099
"Q8IWU5_IDR_648_718",0.218632821901831
"Q8IWU5_IDR_824_860",0.315051921838521
"Q8IWU6_IDR_1_37",0.245803496328524
"Q8IWU6_IDR_510_543",0.284842315809432
"Q8IWU6_IDR_561_610",0.25876676022253
"Q8IWU6_IDR_666_738",0.210587427639514
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.293190957613744
"Q8IWV1_IDR_178_270",0.308926927782986
"Q8IWV1_IDR_295_398",0.39788211460327
"Q8IX03_IDR_790_917",0.225401544968521
"Q8IX03_IDR_945_991",0.268407971515661
"Q8IX07_IDR_1_83",0.158599873426733
"Q8IX07_IDR_194_247",0.18246641050254
"Q8IX07_IDR_266_972",0.658933716070727
"Q8IX12_IDR_212_357",0.123265633834961
"Q8IX12_IDR_599_722",0.16667742216084
"Q8IX12_IDR_793_917",0.168661911736855
"Q8IX12_IDR_9_144",0.355001535285162
"Q8IX12_IDR_981_1021",0.186393496982182
"Q8IX15_IDR_125_364",0.385245491562499
"Q8IX15_IDR_1_38",0.217574164235439
"Q8IX15_IDR_420_461",0.206755691178755
"Q8IX15_IDR_504_550",0.190424653023307
"Q8IX18_IDR_1_50",0.521758201872339
"Q8IX18_IDR_706_779",0.478241798127661
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.536865700002899
"Q8IX29_IDR_239_292",0.463134299997101
"Q8IXP5_IDR_108_216",0.560228096554019
"Q8IXP5_IDR_1_106",0.439771903445981
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.423474624215087
"Q8IXQ8_IDR_211_264",0.576525375784913
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.310067654311114
"Q8IXT5_IDR_485_921",0.362539461274394
"Q8IXT5_IDR_89_151",0.327392884414492
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.334177757946697
"Q8IXW0_IDR_176_344",0.362638237492929
"Q8IXW0_IDR_466_587",0.303184004560374
"Q8IXW5_IDR_1_41",0.491103528697103
"Q8IXW5_IDR_171_324",0.508896471302897
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.588195297580199
"Q8IY63_IDR_493_952",0.411804702419801
"Q8IY67_IDR_1_35",0.425970007105981
"Q8IY67_IDR_349_606",0.574029992894018
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.521525370956583
"Q8IY84_IDR_7_44",0.478474629043417
"Q8IY85_IDR_375_441",0.463828188652495
"Q8IY85_IDR_77_146",0.536171811347505
"Q8IY92_IDR_1_50",0.178644730908703
"Q8IY92_IDR_377_470",0.139218563646083
"Q8IY92_IDR_558_613",0.175107816768819
"Q8IY92_IDR_630_669",0.166737984915996
"Q8IY92_IDR_64_289",0.145089770379678
"Q8IY92_IDR_824_1750",0.195201133380721
"Q8IYE1_IDR_684_715",0.568601388935779
"Q8IYF1_IDR_647_753",0.411325246835252
"Q8IYF1_IDR_79_458",0.588674753164748
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.347332755984681
"Q8IYH5_IDR_573_649",0.32309324865182
"Q8IYH5_IDR_714_786",0.329573995363499
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.529046391613746
"Q8IYI6_IDR_287_328",0.470953608386254
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244349202929062
"Q8IYJ0_IDR_112_175",0.242516829641892
"Q8IYJ0_IDR_204_238",0.243003148230546
"Q8IYJ0_IDR_240_282",0.2701308191985
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.443285461828173
"Q8IYK4_IDR_584_626",0.556714538171827
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.183738023137851
"Q8IYW2_IDR_1347_1410",0.152102249269796
"Q8IYW2_IDR_1985_2022",0.160254093458827
"Q8IYW2_IDR_2287_2320",0.161537696805602
"Q8IYW2_IDR_2540_2579",0.160083235230528
"Q8IYW2_IDR_2630_2661",0.182284702097396
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.486922564302246
"Q8IZ41_IDR_77_124",0.513077435697754
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.323952671994869
"Q8IZ63_IDR_360_422",0.309280820083954
"Q8IZ63_IDR_87_332",0.366766507921178
"Q8IZ69_IDR_1_56",0.466695511831093
"Q8IZ69_IDR_591_625",0.533304488168907
"Q8IZ73_IDR_31_122",0.440481451203144
"Q8IZ73_IDR_421_495",0.559518548796856
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.338125551539625
"Q8IZA0_IDR_201_244",0.358411514285435
"Q8IZA0_IDR_957_1015",0.303462934174941
"Q8IZA3_IDR_114_346",0.455513064572266
"Q8IZA3_IDR_1_50",0.544486935427734
"Q8IZC4_IDR_185_221",0.319162530894576
"Q8IZC4_IDR_409_445",0.323828434536544
"Q8IZC4_IDR_476_603",0.35700903456888
"Q8IZC6_IDR_1_36",0.472014120043927
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.500824531969801
"Q8IZJ3_IDR_1758_1835",0.499175468030199
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.469040443185341
"Q8IZL8_IDR_637_1130",0.530959556814659
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.339561737726233
"Q8IZN3_IDR_323_488",0.660438262273767
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.506745653970204
"Q8IZP6_IDR_97_147",0.493254346029797
"Q8IZP7_IDR_1_118",0.514793053563652
"Q8IZP7_IDR_426_459",0.485206946436349
"Q8IZP9_IDR_249_371",0.29018092190577
"Q8IZP9_IDR_39_74",0.255964334434321
"Q8IZU9_IDR_701_778",0.354287019631354
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.158414120475387
"Q8IZX4_IDR_1220_1400",0.158425058648553
"Q8IZX4_IDR_1644_1826",0.157686555659906
"Q8IZX4_IDR_268_354",0.146010296581526
"Q8IZX4_IDR_536_578",0.235183678847576
"Q8IZX4_IDR_82_235",0.144280289787051
"Q8IZY2_IDR_1152_1210",0.519951173811076
"Q8IZY2_IDR_2105_2146",0.480048826188924
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.45173971630839
"Q8N0S2_IDR_260_351",0.54826028369161
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.227874030559204
"Q8N0U7_IDR_267_299",0.228068114031167
"Q8N0U7_IDR_37_122",0.299758181704659
"Q8N0U7_IDR_391_467",0.24429967370497
"Q8N103_IDR_1_81",0.485135203853334
"Q8N103_IDR_283_731",0.514864796146666
"Q8N108_IDR_1_176",0.334353013660203
"Q8N108_IDR_344_512",0.665646986339797
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.50078719128829
"Q8N114_IDR_203_240",0.49921280871171
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.42561845360416
"Q8N122_IDR_820_949",0.57438154639584
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.422566912700166
"Q8N128_IDR_68_213",0.577433087299834
"Q8N129_IDR_1_32",0.452760549923445
"Q8N129_IDR_202_248",0.547239450076555
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.291946666921023
