"","GO0003682_chromatin_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.328674356660061
"Q5VUJ6_IDR_1_54",0.523757793262259
"Q5VUJ6_IDR_308_649",0.476242206737741
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.517282190210446
"Q5VV16_IDR_235_409",0.482717809789554
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.571143922509972
"Q5VV42_IDR_499_545",0.428856077490028
"Q5VWN6_IDR_1918_1981",0.148319676702281
"Q5VWN6_IDR_1993_2150",0.141639692899889
"Q5VWN6_IDR_803_1879",0.158575116133832
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.246262840286224
"Q5VWQ0_IDR_63_351",0.487911483765845
"Q5VWQ0_IDR_708_802",0.265825675947932
"Q5VWQ8_IDR_1141_1189",0.335408813765308
"Q5VWQ8_IDR_1_142",0.335088639522204
"Q5VWQ8_IDR_654_1098",0.329502546712488
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.190294306152814
"Q5VZL5_IDR_1_334",0.213758432087004
"Q5VZL5_IDR_640_677",0.194542922250734
"Q5VZL5_IDR_851_997",0.204103544342199
"Q5VZL5_IDR_999_1200",0.197300795167249
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.173214800850665
"Q5VZP5_IDR_45_103",0.151717396750357
"Q5XX13_IDR_168_231",0.489881351710842
"Q5XX13_IDR_693_978",0.510118648289158
"Q5XXA6_IDR_1_48",0.321134379441522
"Q5XXA6_IDR_74_121",0.347161900236765
"Q5XXA6_IDR_945_986",0.331703720321713
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.481283827541029
"Q63HK3_IDR_383_743",0.518716172458971
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.341458898876835
"Q66K14_IDR_944_993",0.327474094065761
"Q66K41_IDR_1_291",0.638465796122047
"Q66K41_IDR_304_345",0.361534203877953
"Q66K64_IDR_1_37",0.502833633197247
"Q66K64_IDR_275_383",0.497166366802753
"Q66K66_IDR_241_349",0.534014212785898
"Q66K66_IDR_32_81",0.465985787214102
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.237825401299674
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.498076650210804
"Q8IU57_IDR_479_520",0.501923349789196
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.509669799917966
"Q8IU81_IDR_56_237",0.490330200082034
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.50842760400112
"Q8IUC6_IDR_634_673",0.49157239599888
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.219809165312418
"Q8IUD2_IDR_621_730",0.223497789152422
"Q8IUD2_IDR_764_839",0.239760463824191
"Q8IUD2_IDR_926_1072",0.316932581710968
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.45720730857827
"Q8IUE0_IDR_1_55",0.54279269142173
"Q8IUE1_IDR_116_241",0.455086887267803
"Q8IUE1_IDR_1_55",0.544913112732197
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.304584870096649
"Q8IUG5_IDR_1_504",0.39321380475179
"Q8IUW5_IDR_126_223",0.268415472951421
"Q8IUW5_IDR_1_54",0.238666782904408
"Q8IUW5_IDR_234_271",0.234890354946275
"Q8IUW5_IDR_91_123",0.258027389197895
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.187695678721532
"Q8IUX7_IDR_1099_1138",0.192722025317263
"Q8IUX7_IDR_44_388",0.619582295961204
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.497808201826946
"Q8IUY3_IDR_182_321",0.502191798173054
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.501140895816509
"Q8IV04_IDR_352_446",0.498859104183491
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.488951379234798
"Q8IV31_IDR_62_184",0.511048620765202
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.247673876021668
"Q8IVE3_IDR_1453_1493",0.259374789730626
"Q8IVE3_IDR_36_69",0.242722121631119
"Q8IVE3_IDR_71_132",0.250229212616587
"Q8IVF1_IDR_14_81",0.184049253463661
"Q8IVF1_IDR_232_366",0.181974907088268
"Q8IVF1_IDR_407_522",0.219156576133741
"Q8IVF1_IDR_525_878",0.23275324963314
"Q8IVF1_IDR_83_205",0.18206601368119
"Q8IVF2_IDR_1_114",0.253744413722434
"Q8IVF2_IDR_1794_5795",0.391592796622259
"Q8IVF2_IDR_195_1792",0.354662789655307
"Q8IVF4_IDR_156_187",0.481667039722204
"Q8IVF4_IDR_1_66",0.518332960277796
"Q8IVF5_IDR_1017_1093",0.228425063201976
"Q8IVF5_IDR_1461_1667",0.294939070856
"Q8IVF5_IDR_1_498",0.243131728012793
"Q8IVF5_IDR_749_804",0.233504137929231
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.35698087079994
"Q8IVW6_IDR_319_491",0.31032056137563
"Q8IVW6_IDR_516_561",0.33269856782443
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.342326142669121
"Q8IW35_IDR_575_628",0.313600821243593
"Q8IW35_IDR_633_854",0.344073036087286
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.502546063280541
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.502741533322334
"Q8IWE2_IDR_404_437",0.497258466677666
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.532083815232368
"Q8IWF9_IDR_234_348",0.467916184767632
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.131887257242691
"Q8IWI9_IDR_1340_1371",0.0971543015789354
"Q8IWI9_IDR_1398_1903",0.110888470043567
"Q8IWI9_IDR_1905_2856",0.13062821195254
"Q8IWI9_IDR_261_649",0.109676725836403
"Q8IWI9_IDR_2974_3016",0.100824902239948
"Q8IWI9_IDR_3020_3065",0.104896773368778
"Q8IWI9_IDR_681_751",0.0991989434885108
"Q8IWI9_IDR_753_1079",0.114844414248627
"Q8IWJ2_IDR_1_69",0.355442193659675
"Q8IWT3_IDR_1658_1690",0.243435665830014
"Q8IWT3_IDR_2437_2517",0.23114733919384
"Q8IWT6_IDR_180_231",0.514509848418771
"Q8IWT6_IDR_62_95",0.485490151581228
"Q8IWU2_IDR_1_101",0.254186994918114
"Q8IWU2_IDR_1377_1415",0.236572183054505
"Q8IWU2_IDR_1426_1459",0.23915577418649
"Q8IWU2_IDR_557_1314",0.270085047840892
"Q8IWU5_IDR_1_40",0.238341251509523
"Q8IWU5_IDR_557_594",0.24769697459464
"Q8IWU5_IDR_648_718",0.279423296180451
"Q8IWU5_IDR_824_860",0.234538477715386
"Q8IWU6_IDR_1_37",0.221706364497934
"Q8IWU6_IDR_510_543",0.224558317523423
"Q8IWU6_IDR_561_610",0.259780841268259
"Q8IWU6_IDR_666_738",0.293954476710384
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.328429784122817
"Q8IWV1_IDR_178_270",0.334085852160568
"Q8IWV1_IDR_295_398",0.337484363716615
"Q8IX03_IDR_790_917",0.285759973711114
"Q8IX03_IDR_945_991",0.240436590478924
"Q8IX07_IDR_1_83",0.37653657031688
"Q8IX07_IDR_194_247",0.299085625589408
"Q8IX07_IDR_266_972",0.324377804093712
"Q8IX12_IDR_212_357",0.168388090378502
"Q8IX12_IDR_599_722",0.177170367338758
"Q8IX12_IDR_793_917",0.318503921577908
"Q8IX12_IDR_9_144",0.169270328814406
"Q8IX12_IDR_981_1021",0.166667291890426
"Q8IX15_IDR_125_364",0.268549581572607
"Q8IX15_IDR_1_38",0.237304591798412
"Q8IX15_IDR_420_461",0.257672950745862
"Q8IX15_IDR_504_550",0.236472875883118
"Q8IX18_IDR_1_50",0.471064161372249
"Q8IX18_IDR_706_779",0.528935838627751
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.514183059487473
"Q8IX29_IDR_239_292",0.485816940512527
"Q8IXP5_IDR_108_216",0.501306048746299
"Q8IXP5_IDR_1_106",0.498693951253701
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.522432640154124
"Q8IXQ8_IDR_211_264",0.477567359845876
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.346121529735238
"Q8IXT5_IDR_485_921",0.317507534913915
"Q8IXT5_IDR_89_151",0.336370935350847
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.338764236659009
"Q8IXW0_IDR_176_344",0.316483293352296
"Q8IXW0_IDR_466_587",0.344752469988695
"Q8IXW5_IDR_1_41",0.50129618582054
"Q8IXW5_IDR_171_324",0.498703814179461
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.515151496834284
"Q8IY63_IDR_493_952",0.484848503165716
"Q8IY67_IDR_1_35",0.511548274037516
"Q8IY67_IDR_349_606",0.488451725962484
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.485945156626189
"Q8IY84_IDR_7_44",0.514054843373811
"Q8IY85_IDR_375_441",0.489424961956598
"Q8IY85_IDR_77_146",0.510575038043402
"Q8IY92_IDR_1_50",0.13851711718331
"Q8IY92_IDR_377_470",0.27849036124973
"Q8IY92_IDR_558_613",0.13071378452429
"Q8IY92_IDR_630_669",0.134058375854988
"Q8IY92_IDR_64_289",0.170430103851268
"Q8IY92_IDR_824_1750",0.147790257336414
"Q8IYE1_IDR_684_715",0.467726296006764
"Q8IYF1_IDR_647_753",0.426484709024688
"Q8IYF1_IDR_79_458",0.573515290975312
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.392414627915268
"Q8IYH5_IDR_573_649",0.299818339512047
"Q8IYH5_IDR_714_786",0.307767032572685
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.465531649959625
"Q8IYI6_IDR_287_328",0.534468350040375
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245444271927159
"Q8IYJ0_IDR_112_175",0.244228937328879
"Q8IYJ0_IDR_204_238",0.265339641861591
"Q8IYJ0_IDR_240_282",0.24498714888237
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.499862059651584
"Q8IYK4_IDR_584_626",0.500137940348416
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.168754868189582
"Q8IYW2_IDR_1347_1410",0.176545952667166
"Q8IYW2_IDR_1985_2022",0.168932479445306
"Q8IYW2_IDR_2287_2320",0.16163621595099
"Q8IYW2_IDR_2540_2579",0.161795989094089
"Q8IYW2_IDR_2630_2661",0.162334494652866
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.484714131708835
"Q8IZ41_IDR_77_124",0.515285868291165
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.290219401921852
"Q8IZ63_IDR_360_422",0.421306803676173
"Q8IZ63_IDR_87_332",0.288473794401975
"Q8IZ69_IDR_1_56",0.510586995503796
"Q8IZ69_IDR_591_625",0.489413004496204
"Q8IZ73_IDR_31_122",0.600085335262477
"Q8IZ73_IDR_421_495",0.399914664737523
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.290759780595732
"Q8IZA0_IDR_201_244",0.303978915133142
"Q8IZA0_IDR_957_1015",0.405261304271126
"Q8IZA3_IDR_114_346",0.74474483345936
"Q8IZA3_IDR_1_50",0.25525516654064
"Q8IZC4_IDR_185_221",0.342839906436282
"Q8IZC4_IDR_409_445",0.257977226912386
"Q8IZC4_IDR_476_603",0.399182866651333
"Q8IZC6_IDR_1_36",0.48455818190824
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.511953101511472
"Q8IZJ3_IDR_1758_1835",0.488046898488528
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.45236239671432
"Q8IZL8_IDR_637_1130",0.54763760328568
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.491869264314468
"Q8IZN3_IDR_323_488",0.508130735685532
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.559204662046758
"Q8IZP6_IDR_97_147",0.440795337953242
"Q8IZP7_IDR_1_118",0.490901642043932
"Q8IZP7_IDR_426_459",0.509098357956068
"Q8IZP9_IDR_249_371",0.259034956034276
"Q8IZP9_IDR_39_74",0.240645676813354
"Q8IZU9_IDR_701_778",0.498480495475766
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.159015007882617
"Q8IZX4_IDR_1220_1400",0.155674808616629
"Q8IZX4_IDR_1644_1826",0.158126434143709
"Q8IZX4_IDR_268_354",0.18276734049762
"Q8IZX4_IDR_536_578",0.155336273922608
"Q8IZX4_IDR_82_235",0.189080134936816
"Q8IZY2_IDR_1152_1210",0.497437739503671
"Q8IZY2_IDR_2105_2146",0.502562260496329
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.479956937938229
"Q8N0S2_IDR_260_351",0.520043062061771
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.242735007495056
"Q8N0U7_IDR_267_299",0.251929790907497
"Q8N0U7_IDR_37_122",0.25185424160146
"Q8N0U7_IDR_391_467",0.253480959995987
"Q8N103_IDR_1_81",0.564831476072431
"Q8N103_IDR_283_731",0.435168523927569
"Q8N108_IDR_1_176",0.420254135627484
"Q8N108_IDR_344_512",0.579745864372516
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.520080639420449
"Q8N114_IDR_203_240",0.479919360579551
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.497641953470133
"Q8N122_IDR_820_949",0.502358046529867
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.513344577293426
"Q8N128_IDR_68_213",0.486655422706574
"Q8N129_IDR_1_32",0.438223232467404
"Q8N129_IDR_202_248",0.561776767532596
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.332891119617513
"Q8N137_IDR_442_797",0.315386804391411
