"","GO0006974_cellular_response_to_DNA_damage_stimulus"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.323345275170076
"Q5VUJ6_IDR_1_54",0.506708903225824
"Q5VUJ6_IDR_308_649",0.493291096774176
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.542577068540166
"Q5VV16_IDR_235_409",0.457422931459834
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.591521184867271
"Q5VV42_IDR_499_545",0.408478815132729
"Q5VWN6_IDR_1918_1981",0.149168201562294
"Q5VWN6_IDR_1993_2150",0.142142110000533
"Q5VWN6_IDR_803_1879",0.16452627033965
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.278088967534447
"Q5VWQ0_IDR_63_351",0.440504152042195
"Q5VWQ0_IDR_708_802",0.281406880423357
"Q5VWQ8_IDR_1141_1189",0.33853962460978
"Q5VWQ8_IDR_1_142",0.323123194626474
"Q5VWQ8_IDR_654_1098",0.338337180763746
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199279807603294
"Q5VZL5_IDR_1_334",0.197816368739597
"Q5VZL5_IDR_640_677",0.193696027453607
"Q5VZL5_IDR_851_997",0.18585743353427
"Q5VZL5_IDR_999_1200",0.223350362669233
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.151805001149598
"Q5VZP5_IDR_45_103",0.155532222947474
"Q5XX13_IDR_168_231",0.505621092796409
"Q5XX13_IDR_693_978",0.494378907203591
"Q5XXA6_IDR_1_48",0.33619538426281
"Q5XXA6_IDR_74_121",0.324657383839457
"Q5XXA6_IDR_945_986",0.339147231897733
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.437397267591394
"Q63HK3_IDR_383_743",0.562602732408606
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338422516349657
"Q66K14_IDR_944_993",0.338174524539912
"Q66K41_IDR_1_291",0.657971856210795
"Q66K41_IDR_304_345",0.342028143789205
"Q66K64_IDR_1_37",0.513843604839975
"Q66K64_IDR_275_383",0.486156395160025
"Q66K66_IDR_241_349",0.535247617799511
"Q66K66_IDR_32_81",0.464752382200489
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.248827584477173
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.488376574741393
"Q8IU57_IDR_479_520",0.511623425258607
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.4976024041947
"Q8IU81_IDR_56_237",0.5023975958053
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.500444181427544
"Q8IUC6_IDR_634_673",0.499555818572456
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.235859899207094
"Q8IUD2_IDR_621_730",0.230726446575989
"Q8IUD2_IDR_764_839",0.227691324433175
"Q8IUD2_IDR_926_1072",0.305722329783742
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.443490240967451
"Q8IUE0_IDR_1_55",0.556509759032549
"Q8IUE1_IDR_116_241",0.435923050709243
"Q8IUE1_IDR_1_55",0.564076949290757
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.314656395151562
"Q8IUG5_IDR_1_504",0.33269319961103
"Q8IUW5_IDR_126_223",0.238846279820644
"Q8IUW5_IDR_1_54",0.239727619665839
"Q8IUW5_IDR_234_271",0.253714562184915
"Q8IUW5_IDR_91_123",0.267711538328602
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.261846768781525
"Q8IUX7_IDR_1099_1138",0.26731320612392
"Q8IUX7_IDR_44_388",0.470840025094554
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.488282390418122
"Q8IUY3_IDR_182_321",0.511717609581878
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.493551791800695
"Q8IV04_IDR_352_446",0.506448208199305
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.487083557263338
"Q8IV31_IDR_62_184",0.512916442736662
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.25423179993955
"Q8IVE3_IDR_1453_1493",0.245268024488834
"Q8IVE3_IDR_36_69",0.249415631148126
"Q8IVE3_IDR_71_132",0.25108454442349
"Q8IVF1_IDR_14_81",0.195069513267095
"Q8IVF1_IDR_232_366",0.188184073709366
"Q8IVF1_IDR_407_522",0.191914908633819
"Q8IVF1_IDR_525_878",0.237930195924687
"Q8IVF1_IDR_83_205",0.186901308465033
"Q8IVF2_IDR_1_114",0.330906813817948
"Q8IVF2_IDR_1794_5795",0.343484477931891
"Q8IVF2_IDR_195_1792",0.32560870825016
"Q8IVF4_IDR_156_187",0.494080972223787
"Q8IVF4_IDR_1_66",0.505919027776213
"Q8IVF5_IDR_1017_1093",0.212329610968064
"Q8IVF5_IDR_1461_1667",0.259560508788897
"Q8IVF5_IDR_1_498",0.303636410282992
"Q8IVF5_IDR_749_804",0.224473469960046
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.345155278523645
"Q8IVW6_IDR_319_491",0.321441499566012
"Q8IVW6_IDR_516_561",0.333403221910343
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.314427252383688
"Q8IW35_IDR_575_628",0.309016455864636
"Q8IW35_IDR_633_854",0.376556291751675
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.488716987544861
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.477814710492098
"Q8IWE2_IDR_404_437",0.522185289507902
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.52562855563393
"Q8IWF9_IDR_234_348",0.47437144436607
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.147234515688366
"Q8IWI9_IDR_1340_1371",0.100144010735852
"Q8IWI9_IDR_1398_1903",0.0970842152250338
"Q8IWI9_IDR_1905_2856",0.121685147424292
"Q8IWI9_IDR_261_649",0.129285700378664
"Q8IWI9_IDR_2974_3016",0.0985444456668466
"Q8IWI9_IDR_3020_3065",0.101222926793054
"Q8IWI9_IDR_681_751",0.0989801991199193
"Q8IWI9_IDR_753_1079",0.105818838967973
"Q8IWJ2_IDR_1_69",0.328948940697137
"Q8IWT3_IDR_1658_1690",0.243209900162829
"Q8IWT3_IDR_2437_2517",0.273753632069104
"Q8IWT6_IDR_180_231",0.481250779534136
"Q8IWT6_IDR_62_95",0.518749220465864
"Q8IWU2_IDR_1_101",0.256376718522007
"Q8IWU2_IDR_1377_1415",0.247475898784047
"Q8IWU2_IDR_1426_1459",0.239757779117647
"Q8IWU2_IDR_557_1314",0.256389603576299
"Q8IWU5_IDR_1_40",0.229661419848852
"Q8IWU5_IDR_557_594",0.24500215465229
"Q8IWU5_IDR_648_718",0.297666789931002
"Q8IWU5_IDR_824_860",0.227669635567857
"Q8IWU6_IDR_1_37",0.211879603939927
"Q8IWU6_IDR_510_543",0.218558234772752
"Q8IWU6_IDR_561_610",0.228754044581043
"Q8IWU6_IDR_666_738",0.340808116706279
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.317435805394958
"Q8IWV1_IDR_178_270",0.341276188005576
"Q8IWV1_IDR_295_398",0.341288006599465
"Q8IX03_IDR_790_917",0.261445293413736
"Q8IX03_IDR_945_991",0.251392420096809
"Q8IX07_IDR_1_83",0.349551171205898
"Q8IX07_IDR_194_247",0.328036350411436
"Q8IX07_IDR_266_972",0.322412478382666
"Q8IX12_IDR_212_357",0.219384860209151
"Q8IX12_IDR_599_722",0.18558610407296
"Q8IX12_IDR_793_917",0.229075575551562
"Q8IX12_IDR_9_144",0.176024993781151
"Q8IX12_IDR_981_1021",0.189928466385175
"Q8IX15_IDR_125_364",0.285040813444772
"Q8IX15_IDR_1_38",0.227820319746705
"Q8IX15_IDR_420_461",0.254159525156184
"Q8IX15_IDR_504_550",0.232979341652338
"Q8IX18_IDR_1_50",0.495085948044409
"Q8IX18_IDR_706_779",0.504914051955591
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.50655592148384
"Q8IX29_IDR_239_292",0.49344407851616
"Q8IXP5_IDR_108_216",0.502363295913328
"Q8IXP5_IDR_1_106",0.497636704086672
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.508416500605007
"Q8IXQ8_IDR_211_264",0.491583499394993
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.338763619543206
"Q8IXT5_IDR_485_921",0.314055138319471
"Q8IXT5_IDR_89_151",0.347181242137323
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.326367973386961
"Q8IXW0_IDR_176_344",0.31359097625661
"Q8IXW0_IDR_466_587",0.360041050356429
"Q8IXW5_IDR_1_41",0.498224122441512
"Q8IXW5_IDR_171_324",0.501775877558488
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.497287617723876
"Q8IY63_IDR_493_952",0.502712382276124
"Q8IY67_IDR_1_35",0.510514174532451
"Q8IY67_IDR_349_606",0.489485825467549
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.496418399644806
"Q8IY84_IDR_7_44",0.503581600355194
"Q8IY85_IDR_375_441",0.461085081225342
"Q8IY85_IDR_77_146",0.538914918774658
"Q8IY92_IDR_1_50",0.142931360481988
"Q8IY92_IDR_377_470",0.237920857854824
"Q8IY92_IDR_558_613",0.143339376069029
"Q8IY92_IDR_630_669",0.148642267243236
"Q8IY92_IDR_64_289",0.174407342444157
"Q8IY92_IDR_824_1750",0.152758795906767
"Q8IYE1_IDR_684_715",0.503296534145461
"Q8IYF1_IDR_647_753",0.417894212903772
"Q8IYF1_IDR_79_458",0.582105787096228
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.472797276277542
"Q8IYH5_IDR_573_649",0.283178274399178
"Q8IYH5_IDR_714_786",0.24402444932328
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.481427581879801
"Q8IYI6_IDR_287_328",0.518572418120199
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.236122706162099
"Q8IYJ0_IDR_112_175",0.247406921024168
"Q8IYJ0_IDR_204_238",0.270343232451358
"Q8IYJ0_IDR_240_282",0.246127140362376
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.49537919868217
"Q8IYK4_IDR_584_626",0.50462080131783
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.166384140908209
"Q8IYW2_IDR_1347_1410",0.17176098190428
"Q8IYW2_IDR_1985_2022",0.169432742250939
"Q8IYW2_IDR_2287_2320",0.163502099625686
"Q8IYW2_IDR_2540_2579",0.165110202734596
"Q8IYW2_IDR_2630_2661",0.16380983257629
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.51725584809654
"Q8IZ41_IDR_77_124",0.48274415190346
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.316041936017962
"Q8IZ63_IDR_360_422",0.378406678007084
"Q8IZ63_IDR_87_332",0.305551385974954
"Q8IZ69_IDR_1_56",0.505717280327966
"Q8IZ69_IDR_591_625",0.494282719672034
"Q8IZ73_IDR_31_122",0.636329845025977
"Q8IZ73_IDR_421_495",0.363670154974023
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.285108735312209
"Q8IZA0_IDR_201_244",0.296054789492984
"Q8IZA0_IDR_957_1015",0.418836475194806
"Q8IZA3_IDR_114_346",0.605527934886053
"Q8IZA3_IDR_1_50",0.394472065113947
"Q8IZC4_IDR_185_221",0.327811317089913
"Q8IZC4_IDR_409_445",0.253078252627183
"Q8IZC4_IDR_476_603",0.419110430282904
"Q8IZC6_IDR_1_36",0.499027860504434
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.518413699905826
"Q8IZJ3_IDR_1758_1835",0.481586300094174
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.535005222688711
"Q8IZL8_IDR_637_1130",0.464994777311289
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.523542619940219
"Q8IZN3_IDR_323_488",0.476457380059781
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.569510832770568
"Q8IZP6_IDR_97_147",0.430489167229432
"Q8IZP7_IDR_1_118",0.506529547390106
"Q8IZP7_IDR_426_459",0.493470452609894
"Q8IZP9_IDR_249_371",0.239256456192358
"Q8IZP9_IDR_39_74",0.253374403020256
"Q8IZU9_IDR_701_778",0.497616460316264
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163790718165207
"Q8IZX4_IDR_1220_1400",0.160481949671853
"Q8IZX4_IDR_1644_1826",0.163477156926691
"Q8IZX4_IDR_268_354",0.188522592761191
"Q8IZX4_IDR_536_578",0.159586207945696
"Q8IZX4_IDR_82_235",0.164141374529364
"Q8IZY2_IDR_1152_1210",0.496307993114181
"Q8IZY2_IDR_2105_2146",0.503692006885819
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.515847248342322
"Q8N0S2_IDR_260_351",0.484152751657678
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.240040048915098
"Q8N0U7_IDR_267_299",0.256940411494659
"Q8N0U7_IDR_37_122",0.25258224871465
"Q8N0U7_IDR_391_467",0.250437290875593
"Q8N103_IDR_1_81",0.562565864467094
"Q8N103_IDR_283_731",0.437434135532906
"Q8N108_IDR_1_176",0.345331163915211
"Q8N108_IDR_344_512",0.65466883608479
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.500581326573492
"Q8N114_IDR_203_240",0.499418673426508
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.510003224568769
"Q8N122_IDR_820_949",0.489996775431231
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.480927763102371
"Q8N128_IDR_68_213",0.519072236897629
"Q8N129_IDR_1_32",0.488103003404379
"Q8N129_IDR_202_248",0.511896996595621
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.334219769468775
