"","GO0003723_RNA_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.315793495211433
"Q5VUJ6_IDR_1_54",0.51871330385562
"Q5VUJ6_IDR_308_649",0.48128669614438
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.600001372846298
"Q5VV16_IDR_235_409",0.399998627153702
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.575365434636427
"Q5VV42_IDR_499_545",0.424634565363573
"Q5VWN6_IDR_1918_1981",0.181553300187133
"Q5VWN6_IDR_1993_2150",0.169113301787627
"Q5VWN6_IDR_803_1879",0.14123944223391
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.305786909976756
"Q5VWQ0_IDR_63_351",0.41587954410956
"Q5VWQ0_IDR_708_802",0.278333545913684
"Q5VWQ8_IDR_1141_1189",0.351722692667225
"Q5VWQ8_IDR_1_142",0.288717582262517
"Q5VWQ8_IDR_654_1098",0.359559725070258
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199869552056748
"Q5VZL5_IDR_1_334",0.196982642018048
"Q5VZL5_IDR_640_677",0.201025529687098
"Q5VZL5_IDR_851_997",0.17959977000427
"Q5VZL5_IDR_999_1200",0.222522506233837
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.121243341900716
"Q5VZP5_IDR_45_103",0.129590133645768
"Q5XX13_IDR_168_231",0.518603442627463
"Q5XX13_IDR_693_978",0.481396557372537
"Q5XXA6_IDR_1_48",0.280092808944009
"Q5XXA6_IDR_74_121",0.346831747596257
"Q5XXA6_IDR_945_986",0.373075443459734
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.53649873873674
"Q63HK3_IDR_383_743",0.46350126126326
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.354454108265203
"Q66K14_IDR_944_993",0.368617199966913
"Q66K41_IDR_1_291",0.476295136321832
"Q66K41_IDR_304_345",0.523704863678168
"Q66K64_IDR_1_37",0.546678111197935
"Q66K64_IDR_275_383",0.453321888802065
"Q66K66_IDR_241_349",0.593199892816126
"Q66K66_IDR_32_81",0.406800107183874
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.252238080599595
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.445549680410431
"Q8IU57_IDR_479_520",0.554450319589568
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.461399752149942
"Q8IU81_IDR_56_237",0.538600247850058
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.447722445753036
"Q8IUC6_IDR_634_673",0.552277554246964
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.23641685391203
"Q8IUD2_IDR_621_730",0.245350472570744
"Q8IUD2_IDR_764_839",0.281636472371365
"Q8IUD2_IDR_926_1072",0.236596201145862
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.492108322101777
"Q8IUE0_IDR_1_55",0.507891677898223
"Q8IUE1_IDR_116_241",0.469612243103343
"Q8IUE1_IDR_1_55",0.530387756896657
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.207137164241338
"Q8IUG5_IDR_1_504",0.593738471260005
"Q8IUW5_IDR_126_223",0.225783455409583
"Q8IUW5_IDR_1_54",0.248264923909772
"Q8IUW5_IDR_234_271",0.251086318580458
"Q8IUW5_IDR_91_123",0.274865302100187
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.243173119869115
"Q8IUX7_IDR_1099_1138",0.281117581332151
"Q8IUX7_IDR_44_388",0.475709298798734
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.541802565936638
"Q8IUY3_IDR_182_321",0.458197434063362
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.437487861960446
"Q8IV04_IDR_352_446",0.562512138039554
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.439795390346423
"Q8IV31_IDR_62_184",0.560204609653577
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.249339693486547
"Q8IVE3_IDR_1453_1493",0.224827590590178
"Q8IVE3_IDR_36_69",0.260940389799712
"Q8IVE3_IDR_71_132",0.264892326123563
"Q8IVF1_IDR_14_81",0.200355773425802
"Q8IVF1_IDR_232_366",0.202547435356735
"Q8IVF1_IDR_407_522",0.237916752946331
"Q8IVF1_IDR_525_878",0.178503246820145
"Q8IVF1_IDR_83_205",0.180676791450986
"Q8IVF2_IDR_1_114",0.377746798916248
"Q8IVF2_IDR_1794_5795",0.308300443858875
"Q8IVF2_IDR_195_1792",0.313952757224877
"Q8IVF4_IDR_156_187",0.489477231930523
"Q8IVF4_IDR_1_66",0.510522768069477
"Q8IVF5_IDR_1017_1093",0.267179788990428
"Q8IVF5_IDR_1461_1667",0.244350950922693
"Q8IVF5_IDR_1_498",0.232641649641327
"Q8IVF5_IDR_749_804",0.255827610445551
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.410778148507962
"Q8IVW6_IDR_319_491",0.263841415113174
"Q8IVW6_IDR_516_561",0.325380436378864
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.294093530353514
"Q8IW35_IDR_575_628",0.365505204822846
"Q8IW35_IDR_633_854",0.34040126482364
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.445759339510516
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.363278662978495
"Q8IWE2_IDR_404_437",0.636721337021505
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.555425381764903
"Q8IWF9_IDR_234_348",0.444574618235097
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.146850388351746
"Q8IWI9_IDR_1340_1371",0.120906890897155
"Q8IWI9_IDR_1398_1903",0.0909874523975146
"Q8IWI9_IDR_1905_2856",0.106684641711809
"Q8IWI9_IDR_261_649",0.108840749329439
"Q8IWI9_IDR_2974_3016",0.118983814264162
"Q8IWI9_IDR_3020_3065",0.113815441613388
"Q8IWI9_IDR_681_751",0.0954423889407109
"Q8IWI9_IDR_753_1079",0.0974882324940769
"Q8IWJ2_IDR_1_69",0.346118943510401
"Q8IWT3_IDR_1658_1690",0.243934527956451
"Q8IWT3_IDR_2437_2517",0.302590116670107
"Q8IWT6_IDR_180_231",0.491595793234934
"Q8IWT6_IDR_62_95",0.508404206765066
"Q8IWU2_IDR_1_101",0.242462739575452
"Q8IWU2_IDR_1377_1415",0.282250496400848
"Q8IWU2_IDR_1426_1459",0.271528473296102
"Q8IWU2_IDR_557_1314",0.203758290727599
"Q8IWU5_IDR_1_40",0.194154535021668
"Q8IWU5_IDR_557_594",0.2513827932937
"Q8IWU5_IDR_648_718",0.296448075108655
"Q8IWU5_IDR_824_860",0.258014596575978
"Q8IWU6_IDR_1_37",0.179586238738554
"Q8IWU6_IDR_510_543",0.278085649243339
"Q8IWU6_IDR_561_610",0.242918121815674
"Q8IWU6_IDR_666_738",0.299409990202433
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.276711679860914
"Q8IWV1_IDR_178_270",0.344884940563163
"Q8IWV1_IDR_295_398",0.378403379575923
"Q8IX03_IDR_790_917",0.31848509903908
"Q8IX03_IDR_945_991",0.256219065009992
"Q8IX07_IDR_1_83",0.440881253174136
"Q8IX07_IDR_194_247",0.28520542214384
"Q8IX07_IDR_266_972",0.273913324682024
"Q8IX12_IDR_212_357",0.197497237054911
"Q8IX12_IDR_599_722",0.170410640464442
"Q8IX12_IDR_793_917",0.326624758881385
"Q8IX12_IDR_9_144",0.147139907164157
"Q8IX12_IDR_981_1021",0.158327456435105
"Q8IX15_IDR_125_364",0.21120921976945
"Q8IX15_IDR_1_38",0.255521585505877
"Q8IX15_IDR_420_461",0.281360844809411
"Q8IX15_IDR_504_550",0.251908349915262
"Q8IX18_IDR_1_50",0.489841758121153
"Q8IX18_IDR_706_779",0.510158241878847
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.568539721793121
"Q8IX29_IDR_239_292",0.431460278206879
"Q8IXP5_IDR_108_216",0.508191587312225
"Q8IXP5_IDR_1_106",0.491808412687775
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.523736960915453
"Q8IXQ8_IDR_211_264",0.476263039084547
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.292482617577813
"Q8IXT5_IDR_485_921",0.402505638330349
"Q8IXT5_IDR_89_151",0.305011744091838
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.354890151056701
"Q8IXW0_IDR_176_344",0.286765874387728
"Q8IXW0_IDR_466_587",0.358343974555571
"Q8IXW5_IDR_1_41",0.598536939331376
"Q8IXW5_IDR_171_324",0.401463060668624
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.513048447145902
"Q8IY63_IDR_493_952",0.486951552854098
"Q8IY67_IDR_1_35",0.585562570049738
"Q8IY67_IDR_349_606",0.414437429950262
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.448915092887126
"Q8IY84_IDR_7_44",0.551084907112874
"Q8IY85_IDR_375_441",0.47461764068205
"Q8IY85_IDR_77_146",0.52538235931795
"Q8IY92_IDR_1_50",0.175414768099286
"Q8IY92_IDR_377_470",0.180007968900057
"Q8IY92_IDR_558_613",0.159433050368897
"Q8IY92_IDR_630_669",0.167400413455734
"Q8IY92_IDR_64_289",0.162254722836485
"Q8IY92_IDR_824_1750",0.155489076339541
"Q8IYE1_IDR_684_715",0.541190660626268
"Q8IYF1_IDR_647_753",0.44853982929359
"Q8IYF1_IDR_79_458",0.55146017070641
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.346601820391214
"Q8IYH5_IDR_573_649",0.336953020446139
"Q8IYH5_IDR_714_786",0.316445159162647
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.452873193853877
"Q8IYI6_IDR_287_328",0.547126806146123
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.243833358528493
"Q8IYJ0_IDR_112_175",0.235151980305471
"Q8IYJ0_IDR_204_238",0.271565243608185
"Q8IYJ0_IDR_240_282",0.249449417557851
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.379520407692326
"Q8IYK4_IDR_584_626",0.620479592307674
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.159307332664663
"Q8IYW2_IDR_1347_1410",0.212496693806982
"Q8IYW2_IDR_1985_2022",0.154057003995896
"Q8IYW2_IDR_2287_2320",0.161064119216446
"Q8IYW2_IDR_2540_2579",0.161516345636589
"Q8IYW2_IDR_2630_2661",0.151558504679425
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.436007652977686
"Q8IZ41_IDR_77_124",0.563992347022314
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.322119044985089
"Q8IZ63_IDR_360_422",0.357794868102107
"Q8IZ63_IDR_87_332",0.320086086912804
"Q8IZ69_IDR_1_56",0.544268870963075
"Q8IZ69_IDR_591_625",0.455731129036926
"Q8IZ73_IDR_31_122",0.616290862536316
"Q8IZ73_IDR_421_495",0.383709137463684
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.308238836687606
"Q8IZA0_IDR_201_244",0.281087115145219
"Q8IZA0_IDR_957_1015",0.410674048167175
"Q8IZA3_IDR_114_346",0.644304568145364
"Q8IZA3_IDR_1_50",0.355695431854636
"Q8IZC4_IDR_185_221",0.310594488170989
"Q8IZC4_IDR_409_445",0.316134029441066
"Q8IZC4_IDR_476_603",0.373271482387945
"Q8IZC6_IDR_1_36",0.450843739273707
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.558952494275026
"Q8IZJ3_IDR_1758_1835",0.441047505724974
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.478952153813896
"Q8IZL8_IDR_637_1130",0.521047846186104
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.578871275498442
"Q8IZN3_IDR_323_488",0.421128724501558
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.570091041145941
"Q8IZP6_IDR_97_147",0.429908958854059
"Q8IZP7_IDR_1_118",0.304409221249206
"Q8IZP7_IDR_426_459",0.695590778750794
"Q8IZP9_IDR_249_371",0.211075583546202
"Q8IZP9_IDR_39_74",0.238326468501965
"Q8IZU9_IDR_701_778",0.486553620175526
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.161658749499105
"Q8IZX4_IDR_1220_1400",0.156366150524483
"Q8IZX4_IDR_1644_1826",0.178585422166412
"Q8IZX4_IDR_268_354",0.189821438788578
"Q8IZX4_IDR_536_578",0.158047330184935
"Q8IZX4_IDR_82_235",0.155520908836487
"Q8IZY2_IDR_1152_1210",0.492722250180869
"Q8IZY2_IDR_2105_2146",0.507277749819131
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.494011514304583
"Q8N0S2_IDR_260_351",0.505988485695417
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.264628483696585
"Q8N0U7_IDR_267_299",0.248187154417122
"Q8N0U7_IDR_37_122",0.257847162036229
"Q8N0U7_IDR_391_467",0.229337199850065
"Q8N103_IDR_1_81",0.506839646235778
"Q8N103_IDR_283_731",0.493160353764222
"Q8N108_IDR_1_176",0.527228668477496
"Q8N108_IDR_344_512",0.472771331522504
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.481302658077949
"Q8N114_IDR_203_240",0.518697341922051
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.499625340572111
"Q8N122_IDR_820_949",0.500374659427889
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.519492447447782
"Q8N128_IDR_68_213",0.480507552552218
"Q8N129_IDR_1_32",0.378947801434573
"Q8N129_IDR_202_248",0.621052198565427
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.255172376554241
"Q8N137_IDR_442_797",0.281232111930747
