"","GO0005654_nucleoplasm"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.291842343710175
"Q5VUJ6_IDR_1_54",0.55218171253587
"Q5VUJ6_IDR_308_649",0.44781828746413
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.516352385455906
"Q5VV16_IDR_235_409",0.483647614544094
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.539381192244362
"Q5VV42_IDR_499_545",0.460618807755638
"Q5VWN6_IDR_1918_1981",0.149950223856116
"Q5VWN6_IDR_1993_2150",0.190340298563093
"Q5VWN6_IDR_803_1879",0.158622068432317
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.280494334927367
"Q5VWQ0_IDR_63_351",0.41872570421448
"Q5VWQ0_IDR_708_802",0.300779960858153
"Q5VWQ8_IDR_1141_1189",0.328886423865032
"Q5VWQ8_IDR_1_142",0.299126039977329
"Q5VWQ8_IDR_654_1098",0.371987536157638
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.179913988428741
"Q5VZL5_IDR_1_334",0.247116805426529
"Q5VZL5_IDR_640_677",0.193190654181713
"Q5VZL5_IDR_851_997",0.186103712275532
"Q5VZL5_IDR_999_1200",0.193674839687486
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163006361886943
"Q5VZP5_IDR_45_103",0.153997564633752
"Q5XX13_IDR_168_231",0.467522806264251
"Q5XX13_IDR_693_978",0.532477193735748
"Q5XXA6_IDR_1_48",0.316144192464723
"Q5XXA6_IDR_74_121",0.323684127213863
"Q5XXA6_IDR_945_986",0.360171680321414
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.499379484970879
"Q63HK3_IDR_383_743",0.500620515029121
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.355121983214301
"Q66K14_IDR_944_993",0.326245833834462
"Q66K41_IDR_1_291",0.521948796157448
"Q66K41_IDR_304_345",0.478051203842552
"Q66K64_IDR_1_37",0.510907371435769
"Q66K64_IDR_275_383",0.489092628564231
"Q66K66_IDR_241_349",0.582037778654671
"Q66K66_IDR_32_81",0.417962221345329
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242621331973639
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.496793222622865
"Q8IU57_IDR_479_520",0.503206777377135
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.494912637954281
"Q8IU81_IDR_56_237",0.505087362045719
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.480832621161913
"Q8IUC6_IDR_634_673",0.519167378838087
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.228289915650282
"Q8IUD2_IDR_621_730",0.240149120099372
"Q8IUD2_IDR_764_839",0.226468712177383
"Q8IUD2_IDR_926_1072",0.305092252072963
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.474279465463296
"Q8IUE0_IDR_1_55",0.525720534536704
"Q8IUE1_IDR_116_241",0.470354282730921
"Q8IUE1_IDR_1_55",0.529645717269079
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.273360325547769
"Q8IUG5_IDR_1_504",0.377413325126625
"Q8IUW5_IDR_126_223",0.22677728848035
"Q8IUW5_IDR_1_54",0.267587764779503
"Q8IUW5_IDR_234_271",0.236631952417928
"Q8IUW5_IDR_91_123",0.269002994322218
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.40020250836853
"Q8IUX7_IDR_1099_1138",0.232033847066655
"Q8IUX7_IDR_44_388",0.367763644564815
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.504928858988965
"Q8IUY3_IDR_182_321",0.495071141011035
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.49138301753153
"Q8IV04_IDR_352_446",0.50861698246847
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.476999902253212
"Q8IV31_IDR_62_184",0.523000097746788
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.247303028401798
"Q8IVE3_IDR_1453_1493",0.26103007550178
"Q8IVE3_IDR_36_69",0.249834650939576
"Q8IVE3_IDR_71_132",0.241832245156846
"Q8IVF1_IDR_14_81",0.184946140500164
"Q8IVF1_IDR_232_366",0.17536690736235
"Q8IVF1_IDR_407_522",0.202774800179611
"Q8IVF1_IDR_525_878",0.233107955066921
"Q8IVF1_IDR_83_205",0.203804196890954
"Q8IVF2_IDR_1_114",0.268525094250373
"Q8IVF2_IDR_1794_5795",0.370765038999382
"Q8IVF2_IDR_195_1792",0.360709866750245
"Q8IVF4_IDR_156_187",0.483013688505729
"Q8IVF4_IDR_1_66",0.516986311494271
"Q8IVF5_IDR_1017_1093",0.23226708617318
"Q8IVF5_IDR_1461_1667",0.249532736060386
"Q8IVF5_IDR_1_498",0.276333788867904
"Q8IVF5_IDR_749_804",0.241866388898531
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.360288893392904
"Q8IVW6_IDR_319_491",0.321047166867788
"Q8IVW6_IDR_516_561",0.318663939739308
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.329735758138281
"Q8IW35_IDR_575_628",0.334900281805047
"Q8IW35_IDR_633_854",0.335363960056672
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.488972911949612
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.483135750000551
"Q8IWE2_IDR_404_437",0.516864249999449
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.540596439461655
"Q8IWF9_IDR_234_348",0.459403560538345
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.124057934860009
"Q8IWI9_IDR_1340_1371",0.100735135662068
"Q8IWI9_IDR_1398_1903",0.120420532978072
"Q8IWI9_IDR_1905_2856",0.140599405722685
"Q8IWI9_IDR_261_649",0.106521598804499
"Q8IWI9_IDR_2974_3016",0.107546523313345
"Q8IWI9_IDR_3020_3065",0.106210133351246
"Q8IWI9_IDR_681_751",0.0986742783639658
"Q8IWI9_IDR_753_1079",0.0952344569441096
"Q8IWJ2_IDR_1_69",0.31891083435508
"Q8IWT3_IDR_1658_1690",0.243086584594431
"Q8IWT3_IDR_2437_2517",0.298326885346301
"Q8IWT6_IDR_180_231",0.491018166660566
"Q8IWT6_IDR_62_95",0.508981833339434
"Q8IWU2_IDR_1_101",0.229442126255532
"Q8IWU2_IDR_1377_1415",0.252602543545217
"Q8IWU2_IDR_1426_1459",0.24304202838421
"Q8IWU2_IDR_557_1314",0.274913301815041
"Q8IWU5_IDR_1_40",0.237592519745831
"Q8IWU5_IDR_557_594",0.250312898812054
"Q8IWU5_IDR_648_718",0.273840220811574
"Q8IWU5_IDR_824_860",0.23825436063054
"Q8IWU6_IDR_1_37",0.229988651172389
"Q8IWU6_IDR_510_543",0.250612363146524
"Q8IWU6_IDR_561_610",0.26107638830636
"Q8IWU6_IDR_666_738",0.258322597374727
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.318696120641146
"Q8IWV1_IDR_178_270",0.335279712615234
"Q8IWV1_IDR_295_398",0.34602416674362
"Q8IX03_IDR_790_917",0.273771301602573
"Q8IX03_IDR_945_991",0.246706789947133
"Q8IX07_IDR_1_83",0.350667438369328
"Q8IX07_IDR_194_247",0.296760268630691
"Q8IX07_IDR_266_972",0.35257229299998
"Q8IX12_IDR_212_357",0.202314206620741
"Q8IX12_IDR_599_722",0.159894543689756
"Q8IX12_IDR_793_917",0.275536898558787
"Q8IX12_IDR_9_144",0.204506984035108
"Q8IX12_IDR_981_1021",0.157747367095609
"Q8IX15_IDR_125_364",0.260422446430201
"Q8IX15_IDR_1_38",0.246260061448132
"Q8IX15_IDR_420_461",0.246733296544091
"Q8IX15_IDR_504_550",0.246584195577576
"Q8IX18_IDR_1_50",0.477569671979318
"Q8IX18_IDR_706_779",0.522430328020682
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.576624519316645
"Q8IX29_IDR_239_292",0.423375480683355
"Q8IXP5_IDR_108_216",0.500711643887749
"Q8IXP5_IDR_1_106",0.499288356112251
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.487538422883017
"Q8IXQ8_IDR_211_264",0.512461577116983
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.379911672328736
"Q8IXT5_IDR_485_921",0.339848061815896
"Q8IXT5_IDR_89_151",0.280240265855368
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.326895935166629
"Q8IXW0_IDR_176_344",0.31678164677569
"Q8IXW0_IDR_466_587",0.356322418057681
"Q8IXW5_IDR_1_41",0.535064242191164
"Q8IXW5_IDR_171_324",0.464935757808836
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.527165218750384
"Q8IY63_IDR_493_952",0.472834781249616
"Q8IY67_IDR_1_35",0.478483746161313
"Q8IY67_IDR_349_606",0.521516253838687
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.486464913816252
"Q8IY84_IDR_7_44",0.513535086183748
"Q8IY85_IDR_375_441",0.477151355526236
"Q8IY85_IDR_77_146",0.522848644473764
"Q8IY92_IDR_1_50",0.157290927592951
"Q8IY92_IDR_377_470",0.181798028748571
"Q8IY92_IDR_558_613",0.160853048141091
"Q8IY92_IDR_630_669",0.148395087030559
"Q8IY92_IDR_64_289",0.174661567830925
"Q8IY92_IDR_824_1750",0.177001340655902
"Q8IYE1_IDR_684_715",0.417901449134086
"Q8IYF1_IDR_647_753",0.386733379288898
"Q8IYF1_IDR_79_458",0.613266620711103
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.376511875986521
"Q8IYH5_IDR_573_649",0.349829211503803
"Q8IYH5_IDR_714_786",0.273658912509676
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.461962660706307
"Q8IYI6_IDR_287_328",0.538037339293693
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.259134628182825
"Q8IYJ0_IDR_112_175",0.241916855052023
"Q8IYJ0_IDR_204_238",0.266661361382356
"Q8IYJ0_IDR_240_282",0.232287155382796
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.481942996144915
"Q8IYK4_IDR_584_626",0.518057003855085
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.164760201498788
"Q8IYW2_IDR_1347_1410",0.181285147116583
"Q8IYW2_IDR_1985_2022",0.164602829899643
"Q8IYW2_IDR_2287_2320",0.163741103503969
"Q8IYW2_IDR_2540_2579",0.164832129820459
"Q8IYW2_IDR_2630_2661",0.160778588160559
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.439436201843411
"Q8IZ41_IDR_77_124",0.560563798156589
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.312473898434967
"Q8IZ63_IDR_360_422",0.353637371869796
"Q8IZ63_IDR_87_332",0.333888729695237
"Q8IZ69_IDR_1_56",0.506440002533919
"Q8IZ69_IDR_591_625",0.493559997466081
"Q8IZ73_IDR_31_122",0.560479205960297
"Q8IZ73_IDR_421_495",0.439520794039703
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.308385150592406
"Q8IZA0_IDR_201_244",0.328305456110225
"Q8IZA0_IDR_957_1015",0.363309393297369
"Q8IZA3_IDR_114_346",0.596892843425416
"Q8IZA3_IDR_1_50",0.403107156574584
"Q8IZC4_IDR_185_221",0.328828346264117
"Q8IZC4_IDR_409_445",0.295643148141139
"Q8IZC4_IDR_476_603",0.375528505594744
"Q8IZC6_IDR_1_36",0.415989940028864
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.538512312790504
"Q8IZJ3_IDR_1758_1835",0.461487687209496
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.463094618398098
"Q8IZL8_IDR_637_1130",0.536905381601902
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.560429413760672
"Q8IZN3_IDR_323_488",0.439570586239328
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.530549384655432
"Q8IZP6_IDR_97_147",0.469450615344568
"Q8IZP7_IDR_1_118",0.483505827881779
"Q8IZP7_IDR_426_459",0.516494172118221
"Q8IZP9_IDR_249_371",0.255545758752689
"Q8IZP9_IDR_39_74",0.237840265950798
"Q8IZU9_IDR_701_778",0.534691350477232
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162194780194937
"Q8IZX4_IDR_1220_1400",0.15266464431424
"Q8IZX4_IDR_1644_1826",0.184085352811479
"Q8IZX4_IDR_268_354",0.162781128626282
"Q8IZX4_IDR_536_578",0.162458270526885
"Q8IZX4_IDR_82_235",0.175815823526177
"Q8IZY2_IDR_1152_1210",0.515799432820655
"Q8IZY2_IDR_2105_2146",0.484200567179345
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.483332603764052
"Q8N0S2_IDR_260_351",0.516667396235948
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.240654551844371
"Q8N0U7_IDR_267_299",0.253223625474069
"Q8N0U7_IDR_37_122",0.260315944401269
"Q8N0U7_IDR_391_467",0.245805878280291
"Q8N103_IDR_1_81",0.52534245038167
"Q8N103_IDR_283_731",0.47465754961833
"Q8N108_IDR_1_176",0.392081879392195
"Q8N108_IDR_344_512",0.607918120607805
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.51084486294567
"Q8N114_IDR_203_240",0.48915513705433
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50755465216148
"Q8N122_IDR_820_949",0.49244534783852
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.524217247887365
"Q8N128_IDR_68_213",0.475782752112635
"Q8N129_IDR_1_32",0.430220532198481
"Q8N129_IDR_202_248",0.569779467801519
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.345529630637565
"Q8N137_IDR_442_797",0.33449495738536
