"","GO0005739_mitochondrion"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.355783514197848
"Q5VUJ6_IDR_1_54",0.566714268644529
"Q5VUJ6_IDR_308_649",0.433285731355471
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.211332039217667
"Q5VV16_IDR_235_409",0.788667960782333
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.45693627696777
"Q5VV42_IDR_499_545",0.54306372303223
"Q5VWN6_IDR_1918_1981",0.16686001071781
"Q5VWN6_IDR_1993_2150",0.203225503138285
"Q5VWN6_IDR_803_1879",0.136739126610195
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.402052807588733
"Q5VWQ0_IDR_63_351",0.305674301657626
"Q5VWQ0_IDR_708_802",0.292272890753641
"Q5VWQ8_IDR_1141_1189",0.392834977588816
"Q5VWQ8_IDR_1_142",0.32160053581746
"Q5VWQ8_IDR_654_1098",0.285564486593724
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.181615706244015
"Q5VZL5_IDR_1_334",0.176536811244035
"Q5VZL5_IDR_640_677",0.252378143430119
"Q5VZL5_IDR_851_997",0.206845572145172
"Q5VZL5_IDR_999_1200",0.182623766936659
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.172471335295792
"Q5VZP5_IDR_45_103",0.178516008317816
"Q5XX13_IDR_168_231",0.454316046958612
"Q5XX13_IDR_693_978",0.545683953041388
"Q5XXA6_IDR_1_48",0.327796214035361
"Q5XXA6_IDR_74_121",0.342036971449457
"Q5XXA6_IDR_945_986",0.330166814515182
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.538524871106654
"Q63HK3_IDR_383_743",0.461475128893346
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.323328270366673
"Q66K14_IDR_944_993",0.319251660890287
"Q66K41_IDR_1_291",0.497914890915723
"Q66K41_IDR_304_345",0.502085109084277
"Q66K64_IDR_1_37",0.469399867760281
"Q66K64_IDR_275_383",0.530600132239719
"Q66K66_IDR_241_349",0.455675503484178
"Q66K66_IDR_32_81",0.544324496515822
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.224966498295966
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.507859960380037
"Q8IU57_IDR_479_520",0.492140039619963
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.437161168022783
"Q8IU81_IDR_56_237",0.562838831977217
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.506820626543295
"Q8IUC6_IDR_634_673",0.493179373456705
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.286649620001668
"Q8IUD2_IDR_621_730",0.240981261389724
"Q8IUD2_IDR_764_839",0.223584367098243
"Q8IUD2_IDR_926_1072",0.248784751510365
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.498717994250839
"Q8IUE0_IDR_1_55",0.501282005749161
"Q8IUE1_IDR_116_241",0.497636659373936
"Q8IUE1_IDR_1_55",0.502363340626064
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.300908896193811
"Q8IUG5_IDR_1_504",0.322260193416791
"Q8IUW5_IDR_126_223",0.270771802430407
"Q8IUW5_IDR_1_54",0.277290847487883
"Q8IUW5_IDR_234_271",0.234428485130288
"Q8IUW5_IDR_91_123",0.217508864951423
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.422427708277189
"Q8IUX7_IDR_1099_1138",0.320343686160592
"Q8IUX7_IDR_44_388",0.257228605562219
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.554788349718801
"Q8IUY3_IDR_182_321",0.445211650281199
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.468074297357515
"Q8IV04_IDR_352_446",0.531925702642485
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.581729174757917
"Q8IV31_IDR_62_184",0.418270825242083
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.193044847452379
"Q8IVE3_IDR_1453_1493",0.298947846132524
"Q8IVE3_IDR_36_69",0.251791633146087
"Q8IVE3_IDR_71_132",0.25621567326901
"Q8IVF1_IDR_14_81",0.173691300207113
"Q8IVF1_IDR_232_366",0.268783702711076
"Q8IVF1_IDR_407_522",0.173316792428311
"Q8IVF1_IDR_525_878",0.189192748292276
"Q8IVF1_IDR_83_205",0.195015456361224
"Q8IVF2_IDR_1_114",0.308360913173897
"Q8IVF2_IDR_1794_5795",0.346418418281014
"Q8IVF2_IDR_195_1792",0.345220668545089
"Q8IVF4_IDR_156_187",0.49645488765438
"Q8IVF4_IDR_1_66",0.50354511234562
"Q8IVF5_IDR_1017_1093",0.25764623271158
"Q8IVF5_IDR_1461_1667",0.237070654279365
"Q8IVF5_IDR_1_498",0.230728985717168
"Q8IVF5_IDR_749_804",0.274554127291887
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.296500074587925
"Q8IVW6_IDR_319_491",0.40115696886225
"Q8IVW6_IDR_516_561",0.302342956549825
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.325549844629479
"Q8IW35_IDR_575_628",0.389463415044217
"Q8IW35_IDR_633_854",0.284986740326304
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.535739085922758
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.525725191625762
"Q8IWE2_IDR_404_437",0.474274808374238
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.533615784048726
"Q8IWF9_IDR_234_348",0.466384215951274
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0935059700966174
"Q8IWI9_IDR_1340_1371",0.113323286007593
"Q8IWI9_IDR_1398_1903",0.135951109924212
"Q8IWI9_IDR_1905_2856",0.0889741641291562
"Q8IWI9_IDR_261_649",0.0882650490065442
"Q8IWI9_IDR_2974_3016",0.131017593102052
"Q8IWI9_IDR_3020_3065",0.117936575816889
"Q8IWI9_IDR_681_751",0.113920869569555
"Q8IWI9_IDR_753_1079",0.117105382347381
"Q8IWJ2_IDR_1_69",0.353478025292689
"Q8IWT3_IDR_1658_1690",0.245007120730448
"Q8IWT3_IDR_2437_2517",0.21667053044896
"Q8IWT6_IDR_180_231",0.493248809511166
"Q8IWT6_IDR_62_95",0.506751190488834
"Q8IWU2_IDR_1_101",0.211387937630818
"Q8IWU2_IDR_1377_1415",0.221076475002691
"Q8IWU2_IDR_1426_1459",0.36873323000786
"Q8IWU2_IDR_557_1314",0.198802357358631
"Q8IWU5_IDR_1_40",0.381294581575804
"Q8IWU5_IDR_557_594",0.184413599596618
"Q8IWU5_IDR_648_718",0.2215965761236
"Q8IWU5_IDR_824_860",0.212695242703978
"Q8IWU6_IDR_1_37",0.319137186972969
"Q8IWU6_IDR_510_543",0.247199971668512
"Q8IWU6_IDR_561_610",0.219988237825035
"Q8IWU6_IDR_666_738",0.213674603533484
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.39238788900438
"Q8IWV1_IDR_178_270",0.309802721568008
"Q8IWV1_IDR_295_398",0.297809389427612
"Q8IX03_IDR_790_917",0.233217106476113
"Q8IX03_IDR_945_991",0.269203975638919
"Q8IX07_IDR_1_83",0.236999682704475
"Q8IX07_IDR_194_247",0.335764691451629
"Q8IX07_IDR_266_972",0.427235625843896
"Q8IX12_IDR_212_357",0.228538512467961
"Q8IX12_IDR_599_722",0.188680861297135
"Q8IX12_IDR_793_917",0.160371964914341
"Q8IX12_IDR_9_144",0.233759543463515
"Q8IX12_IDR_981_1021",0.188649117857048
"Q8IX15_IDR_125_364",0.227013256425709
"Q8IX15_IDR_1_38",0.253531776839471
"Q8IX15_IDR_420_461",0.263425217854907
"Q8IX15_IDR_504_550",0.256029748879913
"Q8IX18_IDR_1_50",0.462891419737682
"Q8IX18_IDR_706_779",0.537108580262317
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.370681693184497
"Q8IX29_IDR_239_292",0.629318306815503
"Q8IXP5_IDR_108_216",0.489092388500182
"Q8IXP5_IDR_1_106",0.510907611499818
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.470309595521227
"Q8IXQ8_IDR_211_264",0.529690404478773
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.33548982577824
"Q8IXT5_IDR_485_921",0.323342581274126
"Q8IXT5_IDR_89_151",0.341167592947634
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.321664332800569
"Q8IXW0_IDR_176_344",0.277462621303279
"Q8IXW0_IDR_466_587",0.400873045896152
"Q8IXW5_IDR_1_41",0.651438333707144
"Q8IXW5_IDR_171_324",0.348561666292856
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.444076525716913
"Q8IY63_IDR_493_952",0.555923474283087
"Q8IY67_IDR_1_35",0.639945608134832
"Q8IY67_IDR_349_606",0.360054391865168
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.521161538096952
"Q8IY84_IDR_7_44",0.478838461903048
"Q8IY85_IDR_375_441",0.488000390755024
"Q8IY85_IDR_77_146",0.511999609244976
"Q8IY92_IDR_1_50",0.152104709425666
"Q8IY92_IDR_377_470",0.208994504144322
"Q8IY92_IDR_558_613",0.161661685928461
"Q8IY92_IDR_630_669",0.157698682134437
"Q8IY92_IDR_64_289",0.184815194679893
"Q8IY92_IDR_824_1750",0.134725223687221
"Q8IYE1_IDR_684_715",0.419734923662787
"Q8IYF1_IDR_647_753",0.641814691734383
"Q8IYF1_IDR_79_458",0.358185308265617
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.312075971555513
"Q8IYH5_IDR_573_649",0.356976066701259
"Q8IYH5_IDR_714_786",0.330947961743228
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.582520266242524
"Q8IYI6_IDR_287_328",0.417479733757476
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.33124591434452
"Q8IYJ0_IDR_112_175",0.216409256049092
"Q8IYJ0_IDR_204_238",0.224057529750402
"Q8IYJ0_IDR_240_282",0.228287299855986
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.611116340045033
"Q8IYK4_IDR_584_626",0.388883659954967
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.15777649357766
"Q8IYW2_IDR_1347_1410",0.172732635669727
"Q8IYW2_IDR_1985_2022",0.159452877919147
"Q8IYW2_IDR_2287_2320",0.17474475579883
"Q8IYW2_IDR_2540_2579",0.171945628911206
"Q8IYW2_IDR_2630_2661",0.163347608123431
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.381141878222421
"Q8IZ41_IDR_77_124",0.618858121777579
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.293020404514383
"Q8IZ63_IDR_360_422",0.408348064219774
"Q8IZ63_IDR_87_332",0.298631531265843
"Q8IZ69_IDR_1_56",0.506955372438795
"Q8IZ69_IDR_591_625",0.493044627561205
"Q8IZ73_IDR_31_122",0.612303289816731
"Q8IZ73_IDR_421_495",0.38769671018327
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.352731323717919
"Q8IZA0_IDR_201_244",0.339239388066383
"Q8IZA0_IDR_957_1015",0.308029288215698
"Q8IZA3_IDR_114_346",0.563345053703923
"Q8IZA3_IDR_1_50",0.436654946296077
"Q8IZC4_IDR_185_221",0.347282988545653
"Q8IZC4_IDR_409_445",0.324453422985315
"Q8IZC4_IDR_476_603",0.328263588469032
"Q8IZC6_IDR_1_36",0.52298982359821
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.510550357950106
"Q8IZJ3_IDR_1758_1835",0.489449642049894
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.528361990866395
"Q8IZL8_IDR_637_1130",0.471638009133605
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.546707621881622
"Q8IZN3_IDR_323_488",0.453292378118378
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.483956595604026
"Q8IZP6_IDR_97_147",0.516043404395974
"Q8IZP7_IDR_1_118",0.477830219394499
"Q8IZP7_IDR_426_459",0.522169780605501
"Q8IZP9_IDR_249_371",0.238236693256097
"Q8IZP9_IDR_39_74",0.249334564619224
"Q8IZU9_IDR_701_778",0.499208827738943
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.15495442049716
"Q8IZX4_IDR_1220_1400",0.191250340654565
"Q8IZX4_IDR_1644_1826",0.155222677157836
"Q8IZX4_IDR_268_354",0.166066582086313
"Q8IZX4_IDR_536_578",0.172235193413353
"Q8IZX4_IDR_82_235",0.160270786190772
"Q8IZY2_IDR_1152_1210",0.532656603632964
"Q8IZY2_IDR_2105_2146",0.467343396367037
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.474911840682018
"Q8N0S2_IDR_260_351",0.525088159317982
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.266800373504249
"Q8N0U7_IDR_267_299",0.24123475515923
"Q8N0U7_IDR_37_122",0.246909855472795
"Q8N0U7_IDR_391_467",0.245055015863726
"Q8N103_IDR_1_81",0.507850737497549
"Q8N103_IDR_283_731",0.492149262502451
"Q8N108_IDR_1_176",0.489210404960986
"Q8N108_IDR_344_512",0.510789595039014
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.56158266361568
"Q8N114_IDR_203_240",0.43841733638432
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50823044448825
"Q8N122_IDR_820_949",0.49176955551175
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.515255440488669
"Q8N128_IDR_68_213",0.484744559511331
"Q8N129_IDR_1_32",0.555045089813168
"Q8N129_IDR_202_248",0.444954910186832
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.336834596686124
"Q8N137_IDR_442_797",0.329626306272969
