"","GO0019219_regulation_of_nucleobase_containing_compound_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.308213591300143
"Q5VUJ6_IDR_1_54",0.497222744832519
"Q5VUJ6_IDR_308_649",0.502777255167481
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.43131422310292
"Q5VV16_IDR_235_409",0.56868577689708
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.41739123636224
"Q5VV42_IDR_499_545",0.58260876363776
"Q5VWN6_IDR_1918_1981",0.168309595950079
"Q5VWN6_IDR_1993_2150",0.186044777971777
"Q5VWN6_IDR_803_1879",0.147029607822379
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.175453263061125
"Q5VWQ0_IDR_63_351",0.545536311663476
"Q5VWQ0_IDR_708_802",0.279010425275399
"Q5VWQ8_IDR_1141_1189",0.351052282282
"Q5VWQ8_IDR_1_142",0.310824790932419
"Q5VWQ8_IDR_654_1098",0.338122926785581
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.225769209699711
"Q5VZL5_IDR_1_334",0.235910114983999
"Q5VZL5_IDR_640_677",0.182069473045281
"Q5VZL5_IDR_851_997",0.18497471622509
"Q5VZL5_IDR_999_1200",0.171276486045919
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.183531846788828
"Q5VZP5_IDR_45_103",0.180355394645252
"Q5XX13_IDR_168_231",0.428857786385229
"Q5XX13_IDR_693_978",0.571142213614771
"Q5XXA6_IDR_1_48",0.238571432163878
"Q5XXA6_IDR_74_121",0.477901886764098
"Q5XXA6_IDR_945_986",0.283526681072024
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.553640990288243
"Q63HK3_IDR_383_743",0.446359009711757
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.342802611932322
"Q66K14_IDR_944_993",0.316886711113653
"Q66K41_IDR_1_291",0.528587508149319
"Q66K41_IDR_304_345",0.471412491850681
"Q66K64_IDR_1_37",0.517841260085437
"Q66K64_IDR_275_383",0.482158739914563
"Q66K66_IDR_241_349",0.730140154937905
"Q66K66_IDR_32_81",0.269859845062095
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.230441099714574
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.543775860766022
"Q8IU57_IDR_479_520",0.456224139233978
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.51451099046022
"Q8IU81_IDR_56_237",0.48548900953978
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.510887114514808
"Q8IUC6_IDR_634_673",0.489112885485192
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.263481707430539
"Q8IUD2_IDR_621_730",0.207342635743164
"Q8IUD2_IDR_764_839",0.217915675591728
"Q8IUD2_IDR_926_1072",0.311259981234568
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.512950982134219
"Q8IUE0_IDR_1_55",0.487049017865781
"Q8IUE1_IDR_116_241",0.509122418906033
"Q8IUE1_IDR_1_55",0.490877581093967
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.344081381298614
"Q8IUG5_IDR_1_504",0.348743102813155
"Q8IUW5_IDR_126_223",0.276742821055046
"Q8IUW5_IDR_1_54",0.27157571450947
"Q8IUW5_IDR_234_271",0.229749485729237
"Q8IUW5_IDR_91_123",0.221931978706247
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.316602799247767
"Q8IUX7_IDR_1099_1138",0.385657163219582
"Q8IUX7_IDR_44_388",0.297740037532651
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.591754074756368
"Q8IUY3_IDR_182_321",0.408245925243632
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.513623502568897
"Q8IV04_IDR_352_446",0.486376497431103
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.458501215526059
"Q8IV31_IDR_62_184",0.541498784473941
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.259201532316788
"Q8IVE3_IDR_1453_1493",0.28135863334553
"Q8IVE3_IDR_36_69",0.237405029849723
"Q8IVE3_IDR_71_132",0.222034804487959
"Q8IVF1_IDR_14_81",0.198400728429276
"Q8IVF1_IDR_232_366",0.18660591603656
"Q8IVF1_IDR_407_522",0.205637278961634
"Q8IVF1_IDR_525_878",0.206272352828849
"Q8IVF1_IDR_83_205",0.203083723743681
"Q8IVF2_IDR_1_114",0.277094113972062
"Q8IVF2_IDR_1794_5795",0.381016620301174
"Q8IVF2_IDR_195_1792",0.341889265726764
"Q8IVF4_IDR_156_187",0.539235464114839
"Q8IVF4_IDR_1_66",0.460764535885161
"Q8IVF5_IDR_1017_1093",0.213258319770944
"Q8IVF5_IDR_1461_1667",0.253681191371431
"Q8IVF5_IDR_1_498",0.340668851580727
"Q8IVF5_IDR_749_804",0.192391637276897
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.297536675071851
"Q8IVW6_IDR_319_491",0.320489068741585
"Q8IVW6_IDR_516_561",0.381974256186564
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.400374398088684
"Q8IW35_IDR_575_628",0.304372629399787
"Q8IW35_IDR_633_854",0.295252972511529
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.509967971884112
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.54767231831747
"Q8IWE2_IDR_404_437",0.45232768168253
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.488996316611878
"Q8IWF9_IDR_234_348",0.511003683388122
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105119790949072
"Q8IWI9_IDR_1340_1371",0.108296758761431
"Q8IWI9_IDR_1398_1903",0.109898943708534
"Q8IWI9_IDR_1905_2856",0.124957014316399
"Q8IWI9_IDR_261_649",0.139206778473194
"Q8IWI9_IDR_2974_3016",0.102984383678533
"Q8IWI9_IDR_3020_3065",0.118768366785366
"Q8IWI9_IDR_681_751",0.103091159190959
"Q8IWI9_IDR_753_1079",0.0876768041365114
"Q8IWJ2_IDR_1_69",0.276707017070539
"Q8IWT3_IDR_1658_1690",0.225388758665148
"Q8IWT3_IDR_2437_2517",0.199928365632503
"Q8IWT6_IDR_180_231",0.482970037610449
"Q8IWT6_IDR_62_95",0.517029962389551
"Q8IWU2_IDR_1_101",0.248558929187917
"Q8IWU2_IDR_1377_1415",0.2816490132166
"Q8IWU2_IDR_1426_1459",0.227678884002517
"Q8IWU2_IDR_557_1314",0.242113173592967
"Q8IWU5_IDR_1_40",0.225053372327601
"Q8IWU5_IDR_557_594",0.238251289560355
"Q8IWU5_IDR_648_718",0.230482165761715
"Q8IWU5_IDR_824_860",0.306213172350329
"Q8IWU6_IDR_1_37",0.242334683334231
"Q8IWU6_IDR_510_543",0.281896227097931
"Q8IWU6_IDR_561_610",0.250851550938332
"Q8IWU6_IDR_666_738",0.224917538629505
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.2965293198026
"Q8IWV1_IDR_178_270",0.319788768201171
"Q8IWV1_IDR_295_398",0.383681911996229
"Q8IX03_IDR_790_917",0.229271336928416
"Q8IX03_IDR_945_991",0.264860569055095
"Q8IX07_IDR_1_83",0.184461096639038
"Q8IX07_IDR_194_247",0.197408630529745
"Q8IX07_IDR_266_972",0.618130272831217
"Q8IX12_IDR_212_357",0.130484777430803
"Q8IX12_IDR_599_722",0.171006249380364
"Q8IX12_IDR_793_917",0.166939992569966
"Q8IX12_IDR_9_144",0.34978087345437
"Q8IX12_IDR_981_1021",0.181788107164496
"Q8IX15_IDR_125_364",0.365431869122743
"Q8IX15_IDR_1_38",0.226600104685588
"Q8IX15_IDR_420_461",0.215668806592688
"Q8IX15_IDR_504_550",0.192299219598982
"Q8IX18_IDR_1_50",0.518941953774611
"Q8IX18_IDR_706_779",0.481058046225389
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.525958427835987
"Q8IX29_IDR_239_292",0.474041572164013
"Q8IXP5_IDR_108_216",0.555832530995278
"Q8IXP5_IDR_1_106",0.444167469004722
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.430476211141702
"Q8IXQ8_IDR_211_264",0.569523788858297
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.308161764354174
"Q8IXT5_IDR_485_921",0.372894338380333
"Q8IXT5_IDR_89_151",0.318943897265493
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.330673900055159
"Q8IXW0_IDR_176_344",0.360570042519528
"Q8IXW0_IDR_466_587",0.308756057425313
"Q8IXW5_IDR_1_41",0.481366600293896
"Q8IXW5_IDR_171_324",0.518633399706104
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.573936451822018
"Q8IY63_IDR_493_952",0.426063548177982
"Q8IY67_IDR_1_35",0.426567741059723
"Q8IY67_IDR_349_606",0.573432258940277
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.515415416645803
"Q8IY84_IDR_7_44",0.484584583354197
"Q8IY85_IDR_375_441",0.465716367064459
"Q8IY85_IDR_77_146",0.534283632935541
"Q8IY92_IDR_1_50",0.17746025844163
"Q8IY92_IDR_377_470",0.146689914609192
"Q8IY92_IDR_558_613",0.174072539020148
"Q8IY92_IDR_630_669",0.169649270837451
"Q8IY92_IDR_64_289",0.151527425692782
"Q8IY92_IDR_824_1750",0.180600591398797
"Q8IYE1_IDR_684_715",0.540371780814388
"Q8IYF1_IDR_647_753",0.424897584497178
"Q8IYF1_IDR_79_458",0.575102415502822
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.341777012104532
"Q8IYH5_IDR_573_649",0.336516725464429
"Q8IYH5_IDR_714_786",0.321706262431039
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.524651727458508
"Q8IYI6_IDR_287_328",0.475348272541492
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239717756625585
"Q8IYJ0_IDR_112_175",0.238090488852399
"Q8IYJ0_IDR_204_238",0.243003367513449
"Q8IYJ0_IDR_240_282",0.279188387008568
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.444815196002558
"Q8IYK4_IDR_584_626",0.555184803997442
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.176484911712653
"Q8IYW2_IDR_1347_1410",0.156600750556979
"Q8IYW2_IDR_1985_2022",0.162422105839705
"Q8IYW2_IDR_2287_2320",0.162792253281011
"Q8IYW2_IDR_2540_2579",0.159921346964727
"Q8IYW2_IDR_2630_2661",0.181778631644925
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.47915035165946
"Q8IZ41_IDR_77_124",0.52084964834054
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.323376967065632
"Q8IZ63_IDR_360_422",0.322498845567818
"Q8IZ63_IDR_87_332",0.354124187366549
"Q8IZ69_IDR_1_56",0.469228218600033
"Q8IZ69_IDR_591_625",0.530771781399967
"Q8IZ73_IDR_31_122",0.45842209535116
"Q8IZ73_IDR_421_495",0.54157790464884
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.34290225225096
"Q8IZA0_IDR_201_244",0.350775853429199
"Q8IZA0_IDR_957_1015",0.306321894319841
"Q8IZA3_IDR_114_346",0.464782158650231
"Q8IZA3_IDR_1_50",0.535217841349769
"Q8IZC4_IDR_185_221",0.316536554589632
"Q8IZC4_IDR_409_445",0.317078645320824
"Q8IZC4_IDR_476_603",0.366384800089544
"Q8IZC6_IDR_1_36",0.475684060420645
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.506951038038888
"Q8IZJ3_IDR_1758_1835",0.493048961961112
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.479986142976076
"Q8IZL8_IDR_637_1130",0.520013857023924
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.375815878037091
"Q8IZN3_IDR_323_488",0.624184121962909
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.520606401356852
"Q8IZP6_IDR_97_147",0.479393598643148
"Q8IZP7_IDR_1_118",0.502645655421652
"Q8IZP7_IDR_426_459",0.497354344578348
"Q8IZP9_IDR_249_371",0.280034353691544
"Q8IZP9_IDR_39_74",0.258082458965873
"Q8IZU9_IDR_701_778",0.366467442510009
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166262828586184
"Q8IZX4_IDR_1220_1400",0.162189265387095
"Q8IZX4_IDR_1644_1826",0.15910071365203
"Q8IZX4_IDR_268_354",0.154789055961738
"Q8IZX4_IDR_536_578",0.21508615216
"Q8IZX4_IDR_82_235",0.142571984252953
"Q8IZY2_IDR_1152_1210",0.518167941747278
"Q8IZY2_IDR_2105_2146",0.481832058252722
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.463104604611685
"Q8N0S2_IDR_260_351",0.536895395388316
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.232859676706156
"Q8N0U7_IDR_267_299",0.235048404396765
"Q8N0U7_IDR_37_122",0.29201545242506
"Q8N0U7_IDR_391_467",0.24007646647202
"Q8N103_IDR_1_81",0.487291455847762
"Q8N103_IDR_283_731",0.512708544152238
"Q8N108_IDR_1_176",0.339881228366713
"Q8N108_IDR_344_512",0.660118771633286
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.505276904630953
"Q8N114_IDR_203_240",0.494723095369047
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.426339136209833
"Q8N122_IDR_820_949",0.573660863790167
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.454243858120765
"Q8N128_IDR_68_213",0.545756141879235
"Q8N129_IDR_1_32",0.450330094717165
"Q8N129_IDR_202_248",0.549669905282835
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.295960746130891
