"","GO0015085_calcium_ion_transmembrane_transporter_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.327557512195402
"Q5VUJ6_IDR_1_54",0.483692903490954
"Q5VUJ6_IDR_308_649",0.516307096509046
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.502766639659172
"Q5VV16_IDR_235_409",0.497233360340828
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.521238878831487
"Q5VV42_IDR_499_545",0.478761121168513
"Q5VWN6_IDR_1918_1981",0.175083343543042
"Q5VWN6_IDR_1993_2150",0.172691361061203
"Q5VWN6_IDR_803_1879",0.158030899097017
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.339318352721997
"Q5VWQ0_IDR_63_351",0.333618571950142
"Q5VWQ0_IDR_708_802",0.327063075327862
"Q5VWQ8_IDR_1141_1189",0.307431406233874
"Q5VWQ8_IDR_1_142",0.344631829541474
"Q5VWQ8_IDR_654_1098",0.347936764224652
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199559483555543
"Q5VZL5_IDR_1_334",0.195559990935744
"Q5VZL5_IDR_640_677",0.19938681722755
"Q5VZL5_IDR_851_997",0.20246419186187
"Q5VZL5_IDR_999_1200",0.203029516419292
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.157328211077736
"Q5VZP5_IDR_45_103",0.161272526249789
"Q5XX13_IDR_168_231",0.511218541315184
"Q5XX13_IDR_693_978",0.488781458684816
"Q5XXA6_IDR_1_48",0.322126958726505
"Q5XXA6_IDR_74_121",0.342514815133303
"Q5XXA6_IDR_945_986",0.335358226140192
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.477712771899349
"Q63HK3_IDR_383_743",0.522287228100651
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.332316320556608
"Q66K14_IDR_944_993",0.33377355730979
"Q66K41_IDR_1_291",0.47931777303314
"Q66K41_IDR_304_345",0.52068222696686
"Q66K64_IDR_1_37",0.509531240605448
"Q66K64_IDR_275_383",0.490468759394552
"Q66K66_IDR_241_349",0.495726583033651
"Q66K66_IDR_32_81",0.504273416966349
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.244024610051518
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.493659638893941
"Q8IU57_IDR_479_520",0.506340361106059
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.496482041370877
"Q8IU81_IDR_56_237",0.503517958629123
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.508573297081324
"Q8IUC6_IDR_634_673",0.491426702918676
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.249224235284706
"Q8IUD2_IDR_621_730",0.247253484618358
"Q8IUD2_IDR_764_839",0.25287947267556
"Q8IUD2_IDR_926_1072",0.250642807421376
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.504955948177603
"Q8IUE0_IDR_1_55",0.495044051822397
"Q8IUE1_IDR_116_241",0.493252121523715
"Q8IUE1_IDR_1_55",0.506747878476285
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.318127355298873
"Q8IUG5_IDR_1_504",0.303828639932176
"Q8IUW5_IDR_126_223",0.267492747271539
"Q8IUW5_IDR_1_54",0.232225622822497
"Q8IUW5_IDR_234_271",0.278386700322543
"Q8IUW5_IDR_91_123",0.221894929583421
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.328885652964572
"Q8IUX7_IDR_1099_1138",0.34342103051688
"Q8IUX7_IDR_44_388",0.327693316518548
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.501092319038201
"Q8IUY3_IDR_182_321",0.498907680961799
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.487327511456013
"Q8IV04_IDR_352_446",0.512672488543987
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.49607650027901
"Q8IV31_IDR_62_184",0.50392349972099
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.239140515301653
"Q8IVE3_IDR_1453_1493",0.270058098344164
"Q8IVE3_IDR_36_69",0.249176924319686
"Q8IVE3_IDR_71_132",0.241624462034497
"Q8IVF1_IDR_14_81",0.205377410516238
"Q8IVF1_IDR_232_366",0.195974815984066
"Q8IVF1_IDR_407_522",0.198898408668511
"Q8IVF1_IDR_525_878",0.199565100864998
"Q8IVF1_IDR_83_205",0.200184263966187
"Q8IVF2_IDR_1_114",0.359312826544641
"Q8IVF2_IDR_1794_5795",0.318682505176178
"Q8IVF2_IDR_195_1792",0.322004668279181
"Q8IVF4_IDR_156_187",0.51059020000678
"Q8IVF4_IDR_1_66",0.48940979999322
"Q8IVF5_IDR_1017_1093",0.237915618193779
"Q8IVF5_IDR_1461_1667",0.250749717125614
"Q8IVF5_IDR_1_498",0.276393718911198
"Q8IVF5_IDR_749_804",0.234940945769408
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.327232536692043
"Q8IVW6_IDR_319_491",0.347268451585784
"Q8IVW6_IDR_516_561",0.325499011722173
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33065063814226
"Q8IW35_IDR_575_628",0.351993552932387
"Q8IW35_IDR_633_854",0.317355808925352
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.456073880007627
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.493124762607869
"Q8IWE2_IDR_404_437",0.506875237392131
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.497538378887229
"Q8IWF9_IDR_234_348",0.502461621112771
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.110417323369852
"Q8IWI9_IDR_1340_1371",0.114745553282606
"Q8IWI9_IDR_1398_1903",0.105208641761628
"Q8IWI9_IDR_1905_2856",0.108324655662236
"Q8IWI9_IDR_261_649",0.112968106321434
"Q8IWI9_IDR_2974_3016",0.114621114904079
"Q8IWI9_IDR_3020_3065",0.113927339467626
"Q8IWI9_IDR_681_751",0.111198942760192
"Q8IWI9_IDR_753_1079",0.108588322470347
"Q8IWJ2_IDR_1_69",0.331880154065041
"Q8IWT3_IDR_1658_1690",0.244272863034357
"Q8IWT3_IDR_2437_2517",0.255288216371359
"Q8IWT6_IDR_180_231",0.503445132683627
"Q8IWT6_IDR_62_95",0.496554867316373
"Q8IWU2_IDR_1_101",0.240145497233742
"Q8IWU2_IDR_1377_1415",0.270324782916632
"Q8IWU2_IDR_1426_1459",0.254046475310866
"Q8IWU2_IDR_557_1314",0.235483244538759
"Q8IWU5_IDR_1_40",0.249743736006467
"Q8IWU5_IDR_557_594",0.257358510320424
"Q8IWU5_IDR_648_718",0.235582961979901
"Q8IWU5_IDR_824_860",0.257314791693208
"Q8IWU6_IDR_1_37",0.257215517779818
"Q8IWU6_IDR_510_543",0.254715177950613
"Q8IWU6_IDR_561_610",0.244767884816444
"Q8IWU6_IDR_666_738",0.243301419453124
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.344340313776934
"Q8IWV1_IDR_178_270",0.326879066731252
"Q8IWV1_IDR_295_398",0.328780619491814
"Q8IX03_IDR_790_917",0.229040644587251
"Q8IX03_IDR_945_991",0.2512985171757
"Q8IX07_IDR_1_83",0.322587447799967
"Q8IX07_IDR_194_247",0.325821455175502
"Q8IX07_IDR_266_972",0.351591097024531
"Q8IX12_IDR_212_357",0.196625759631902
"Q8IX12_IDR_599_722",0.198016857765126
"Q8IX12_IDR_793_917",0.203956693031257
"Q8IX12_IDR_9_144",0.20313971753281
"Q8IX12_IDR_981_1021",0.198260972038906
"Q8IX15_IDR_125_364",0.252849228670549
"Q8IX15_IDR_1_38",0.257854559675223
"Q8IX15_IDR_420_461",0.249302757459993
"Q8IX15_IDR_504_550",0.239993454194235
"Q8IX18_IDR_1_50",0.516980214431346
"Q8IX18_IDR_706_779",0.483019785568654
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.507102552819636
"Q8IX29_IDR_239_292",0.492897447180364
"Q8IXP5_IDR_108_216",0.489644377945984
"Q8IXP5_IDR_1_106",0.510355622054016
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.508218281512082
"Q8IXQ8_IDR_211_264",0.491781718487918
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.327691672493559
"Q8IXT5_IDR_485_921",0.320869131944464
"Q8IXT5_IDR_89_151",0.351439195561977
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.3227239231502
"Q8IXW0_IDR_176_344",0.330717717909747
"Q8IXW0_IDR_466_587",0.346558358940053
"Q8IXW5_IDR_1_41",0.508429194299534
"Q8IXW5_IDR_171_324",0.491570805700466
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.49085914056506
"Q8IY63_IDR_493_952",0.50914085943494
"Q8IY67_IDR_1_35",0.504187432347537
"Q8IY67_IDR_349_606",0.495812567652463
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.504130320652859
"Q8IY84_IDR_7_44",0.495869679347141
"Q8IY85_IDR_375_441",0.512885215318949
"Q8IY85_IDR_77_146",0.48711478468105
"Q8IY92_IDR_1_50",0.168212971605947
"Q8IY92_IDR_377_470",0.157001535394493
"Q8IY92_IDR_558_613",0.163118101536883
"Q8IY92_IDR_630_669",0.17203473069896
"Q8IY92_IDR_64_289",0.167345879206751
"Q8IY92_IDR_824_1750",0.172286781556966
"Q8IYE1_IDR_684_715",0.507039197150999
"Q8IYF1_IDR_647_753",0.483906071975102
"Q8IYF1_IDR_79_458",0.516093928024898
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.318350420512361
"Q8IYH5_IDR_573_649",0.316660471752332
"Q8IYH5_IDR_714_786",0.364989107735306
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.51314990420062
"Q8IYI6_IDR_287_328",0.48685009579938
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.253927951078966
"Q8IYJ0_IDR_112_175",0.246578334003571
"Q8IYJ0_IDR_204_238",0.253840385458316
"Q8IYJ0_IDR_240_282",0.245653329459147
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.490617852416154
"Q8IYK4_IDR_584_626",0.509382147583846
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.164470270728936
"Q8IYW2_IDR_1347_1410",0.159610972572354
"Q8IYW2_IDR_1985_2022",0.167275080609816
"Q8IYW2_IDR_2287_2320",0.165780026593304
"Q8IYW2_IDR_2540_2579",0.171253257921412
"Q8IYW2_IDR_2630_2661",0.171610391574179
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.558832770932317
"Q8IZ41_IDR_77_124",0.441167229067683
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.34115565097987
"Q8IZ63_IDR_360_422",0.330581219893096
"Q8IZ63_IDR_87_332",0.328263129127035
"Q8IZ69_IDR_1_56",0.493229506749737
"Q8IZ69_IDR_591_625",0.506770493250263
"Q8IZ73_IDR_31_122",0.507633275611445
"Q8IZ73_IDR_421_495",0.492366724388555
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.330879596842091
"Q8IZA0_IDR_201_244",0.311869941992186
"Q8IZA0_IDR_957_1015",0.357250461165724
"Q8IZA3_IDR_114_346",0.484418568324909
"Q8IZA3_IDR_1_50",0.515581431675091
"Q8IZC4_IDR_185_221",0.351501003053437
"Q8IZC4_IDR_409_445",0.330775635222694
"Q8IZC4_IDR_476_603",0.317723361723869
"Q8IZC6_IDR_1_36",0.513739837768051
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.510460633042237
"Q8IZJ3_IDR_1758_1835",0.489539366957763
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.527302711292169
"Q8IZL8_IDR_637_1130",0.472697288707831
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.51995992820879
"Q8IZN3_IDR_323_488",0.48004007179121
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.517349614166274
"Q8IZP6_IDR_97_147",0.482650385833726
"Q8IZP7_IDR_1_118",0.493305698224712
"Q8IZP7_IDR_426_459",0.506694301775288
"Q8IZP9_IDR_249_371",0.243278146191374
"Q8IZP9_IDR_39_74",0.246926833249872
"Q8IZU9_IDR_701_778",0.486313663115071
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163613019492377
"Q8IZX4_IDR_1220_1400",0.172680316590323
"Q8IZX4_IDR_1644_1826",0.160798511725227
"Q8IZX4_IDR_268_354",0.168825864050734
"Q8IZX4_IDR_536_578",0.173938384518439
"Q8IZX4_IDR_82_235",0.1601439036229
"Q8IZY2_IDR_1152_1210",0.489343251356283
"Q8IZY2_IDR_2105_2146",0.510656748643717
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.502491552900957
"Q8N0S2_IDR_260_351",0.497508447099043
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.267134328116304
"Q8N0U7_IDR_267_299",0.246291628721746
"Q8N0U7_IDR_37_122",0.239113962794032
"Q8N0U7_IDR_391_467",0.247460080367918
"Q8N103_IDR_1_81",0.48893662908003
"Q8N103_IDR_283_731",0.51106337091997
"Q8N108_IDR_1_176",0.516842408785419
"Q8N108_IDR_344_512",0.483157591214581
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.491804733973181
"Q8N114_IDR_203_240",0.508195266026819
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.501027018927622
"Q8N122_IDR_820_949",0.498972981072378
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.522034991889612
"Q8N128_IDR_68_213",0.477965008110388
"Q8N129_IDR_1_32",0.510887813472921
"Q8N129_IDR_202_248",0.489112186527079
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.343235815263392
