"","GO0045944_positive_regulation_of_transcription_by_RNA_polymerase_II"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.324092208784365
"Q5VUJ6_IDR_1_54",0.514119377543664
"Q5VUJ6_IDR_308_649",0.485880622456336
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.494588162286359
"Q5VV16_IDR_235_409",0.505411837713641
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.510087304383802
"Q5VV42_IDR_499_545",0.489912695616197
"Q5VWN6_IDR_1918_1981",0.160589736445751
"Q5VWN6_IDR_1993_2150",0.170512357917274
"Q5VWN6_IDR_803_1879",0.161455111586803
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.297749142961461
"Q5VWQ0_IDR_63_351",0.370433933907101
"Q5VWQ0_IDR_708_802",0.331816923131438
"Q5VWQ8_IDR_1141_1189",0.238964712783212
"Q5VWQ8_IDR_1_142",0.268162515043278
"Q5VWQ8_IDR_654_1098",0.49287277217351
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195861033798626
"Q5VZL5_IDR_1_334",0.20652717362198
"Q5VZL5_IDR_640_677",0.193743762705249
"Q5VZL5_IDR_851_997",0.205777111189028
"Q5VZL5_IDR_999_1200",0.198090918685116
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.173231816347518
"Q5VZP5_IDR_45_103",0.174081517898052
"Q5XX13_IDR_168_231",0.477144437978002
"Q5XX13_IDR_693_978",0.522855562021998
"Q5XXA6_IDR_1_48",0.307701053740447
"Q5XXA6_IDR_74_121",0.351381230695874
"Q5XXA6_IDR_945_986",0.340917715563679
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.493033230594963
"Q63HK3_IDR_383_743",0.506966769405037
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338533737060848
"Q66K14_IDR_944_993",0.332153121232527
"Q66K41_IDR_1_291",0.538237721771484
"Q66K41_IDR_304_345",0.461762278228516
"Q66K64_IDR_1_37",0.503767147557121
"Q66K64_IDR_275_383",0.496232852442879
"Q66K66_IDR_241_349",0.55417280221277
"Q66K66_IDR_32_81",0.44582719778723
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.253407691683851
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.491793132245526
"Q8IU57_IDR_479_520",0.508206867754474
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.541673925085317
"Q8IU81_IDR_56_237",0.458326074914683
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.501314731908517
"Q8IUC6_IDR_634_673",0.498685268091483
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.26173713016304
"Q8IUD2_IDR_621_730",0.2185787987613
"Q8IUD2_IDR_764_839",0.2537814302362
"Q8IUD2_IDR_926_1072",0.265902640839461
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.479155668795935
"Q8IUE0_IDR_1_55",0.520844331204064
"Q8IUE1_IDR_116_241",0.494199338847716
"Q8IUE1_IDR_1_55",0.505800661152284
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.342625035787046
"Q8IUG5_IDR_1_504",0.327278234970362
"Q8IUW5_IDR_126_223",0.290643782848394
"Q8IUW5_IDR_1_54",0.246964231628722
"Q8IUW5_IDR_234_271",0.227794088117875
"Q8IUW5_IDR_91_123",0.23459789740501
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.467435978076338
"Q8IUX7_IDR_1099_1138",0.268792189744595
"Q8IUX7_IDR_44_388",0.263771832179067
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.52423071818764
"Q8IUY3_IDR_182_321",0.47576928181236
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.52138045317593
"Q8IV04_IDR_352_446",0.47861954682407
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.498065810003712
"Q8IV31_IDR_62_184",0.501934189996288
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.277965730554187
"Q8IVE3_IDR_1453_1493",0.235660069043447
"Q8IVE3_IDR_36_69",0.252435574064762
"Q8IVE3_IDR_71_132",0.233938626337604
"Q8IVF1_IDR_14_81",0.194238798346338
"Q8IVF1_IDR_232_366",0.192820592177924
"Q8IVF1_IDR_407_522",0.201657111419899
"Q8IVF1_IDR_525_878",0.196153067412784
"Q8IVF1_IDR_83_205",0.215130430643055
"Q8IVF2_IDR_1_114",0.339120446173449
"Q8IVF2_IDR_1794_5795",0.322487097672019
"Q8IVF2_IDR_195_1792",0.338392456154531
"Q8IVF4_IDR_156_187",0.505671555580417
"Q8IVF4_IDR_1_66",0.494328444419583
"Q8IVF5_IDR_1017_1093",0.232343900397624
"Q8IVF5_IDR_1461_1667",0.261849996388581
"Q8IVF5_IDR_1_498",0.275227286014647
"Q8IVF5_IDR_749_804",0.230578817199149
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.300987103354695
"Q8IVW6_IDR_319_491",0.402148546008472
"Q8IVW6_IDR_516_561",0.296864350636833
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.354450473840936
"Q8IW35_IDR_575_628",0.322937959269645
"Q8IW35_IDR_633_854",0.322611566889418
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.520789381488774
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.526748927427622
"Q8IWE2_IDR_404_437",0.473251072572378
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.517139820502796
"Q8IWF9_IDR_234_348",0.482860179497204
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.108596477700154
"Q8IWI9_IDR_1340_1371",0.102154892352919
"Q8IWI9_IDR_1398_1903",0.132487451630827
"Q8IWI9_IDR_1905_2856",0.121430338158436
"Q8IWI9_IDR_261_649",0.130552749441727
"Q8IWI9_IDR_2974_3016",0.103337177431722
"Q8IWI9_IDR_3020_3065",0.0995651372014908
"Q8IWI9_IDR_681_751",0.101008509695221
"Q8IWI9_IDR_753_1079",0.100867266387504
"Q8IWJ2_IDR_1_69",0.346286877413678
"Q8IWT3_IDR_1658_1690",0.247123715171124
"Q8IWT3_IDR_2437_2517",0.235962655134338
"Q8IWT6_IDR_180_231",0.506189799331296
"Q8IWT6_IDR_62_95",0.493810200668704
"Q8IWU2_IDR_1_101",0.260249243494676
"Q8IWU2_IDR_1377_1415",0.259477663825579
"Q8IWU2_IDR_1426_1459",0.240652115195951
"Q8IWU2_IDR_557_1314",0.239620977483794
"Q8IWU5_IDR_1_40",0.247190324293404
"Q8IWU5_IDR_557_594",0.255322935137723
"Q8IWU5_IDR_648_718",0.256686515971429
"Q8IWU5_IDR_824_860",0.240800224597444
"Q8IWU6_IDR_1_37",0.262067625060594
"Q8IWU6_IDR_510_543",0.243437095905683
"Q8IWU6_IDR_561_610",0.260299422639057
"Q8IWU6_IDR_666_738",0.234195856394666
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.33457707613895
"Q8IWV1_IDR_178_270",0.326500023241061
"Q8IWV1_IDR_295_398",0.338922900619989
"Q8IX03_IDR_790_917",0.242403722402867
"Q8IX03_IDR_945_991",0.259479712723551
"Q8IX07_IDR_1_83",0.321244193843534
"Q8IX07_IDR_194_247",0.254553784655546
"Q8IX07_IDR_266_972",0.424202021500919
"Q8IX12_IDR_212_357",0.205719228680279
"Q8IX12_IDR_599_722",0.184299385386076
"Q8IX12_IDR_793_917",0.179036519017772
"Q8IX12_IDR_9_144",0.247182039752483
"Q8IX12_IDR_981_1021",0.18376282716339
"Q8IX15_IDR_125_364",0.27532771970871
"Q8IX15_IDR_1_38",0.249379901063735
"Q8IX15_IDR_420_461",0.247460457854981
"Q8IX15_IDR_504_550",0.227831921372574
"Q8IX18_IDR_1_50",0.492094240527542
"Q8IX18_IDR_706_779",0.507905759472458
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.514048227496343
"Q8IX29_IDR_239_292",0.485951772503657
"Q8IXP5_IDR_108_216",0.520768726873565
"Q8IXP5_IDR_1_106",0.479231273126435
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.493331337550763
"Q8IXQ8_IDR_211_264",0.506668662449237
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.369492639677696
"Q8IXT5_IDR_485_921",0.308443332694667
"Q8IXT5_IDR_89_151",0.322064027627637
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.344109168456693
"Q8IXW0_IDR_176_344",0.324436438503094
"Q8IXW0_IDR_466_587",0.331454393040213
"Q8IXW5_IDR_1_41",0.514413721381588
"Q8IXW5_IDR_171_324",0.485586278618412
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.490996827402947
"Q8IY63_IDR_493_952",0.509003172597053
"Q8IY67_IDR_1_35",0.477251442338548
"Q8IY67_IDR_349_606",0.522748557661452
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.481106666241034
"Q8IY84_IDR_7_44",0.518893333758966
"Q8IY85_IDR_375_441",0.487505289975765
"Q8IY85_IDR_77_146",0.512494710024236
"Q8IY92_IDR_1_50",0.168251805669379
"Q8IY92_IDR_377_470",0.163314836873958
"Q8IY92_IDR_558_613",0.151757240690958
"Q8IY92_IDR_630_669",0.154851923107089
"Q8IY92_IDR_64_289",0.160636731753445
"Q8IY92_IDR_824_1750",0.201187461905171
"Q8IYE1_IDR_684_715",0.507586742547074
"Q8IYF1_IDR_647_753",0.492256808752761
"Q8IYF1_IDR_79_458",0.507743191247239
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.328491649441619
"Q8IYH5_IDR_573_649",0.327383558551124
"Q8IYH5_IDR_714_786",0.344124792007257
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.466160519564798
"Q8IYI6_IDR_287_328",0.533839480435202
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.237799190743982
"Q8IYJ0_IDR_112_175",0.24736784476784
"Q8IYJ0_IDR_204_238",0.260598668269917
"Q8IYJ0_IDR_240_282",0.254234296218261
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.501880501448323
"Q8IYK4_IDR_584_626",0.498119498551677
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.174159820206615
"Q8IYW2_IDR_1347_1410",0.154366382324885
"Q8IYW2_IDR_1985_2022",0.168186957799866
"Q8IYW2_IDR_2287_2320",0.167913321448131
"Q8IYW2_IDR_2540_2579",0.165540345272918
"Q8IYW2_IDR_2630_2661",0.169833172947584
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.548239372692511
"Q8IZ41_IDR_77_124",0.451760627307489
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.33899796647241
"Q8IZ63_IDR_360_422",0.341617572108115
"Q8IZ63_IDR_87_332",0.319384461419475
"Q8IZ69_IDR_1_56",0.499698207079359
"Q8IZ69_IDR_591_625",0.500301792920641
"Q8IZ73_IDR_31_122",0.506633081408392
"Q8IZ73_IDR_421_495",0.493366918591608
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.317740532463022
"Q8IZA0_IDR_201_244",0.322668493140569
"Q8IZA0_IDR_957_1015",0.35959097439641
"Q8IZA3_IDR_114_346",0.478361566675555
"Q8IZA3_IDR_1_50",0.521638433324445
"Q8IZC4_IDR_185_221",0.341488809375264
"Q8IZC4_IDR_409_445",0.320678762524106
"Q8IZC4_IDR_476_603",0.337832428100629
"Q8IZC6_IDR_1_36",0.517094222415792
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.504524591622581
"Q8IZJ3_IDR_1758_1835",0.495475408377419
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.49674493395568
"Q8IZL8_IDR_637_1130",0.50325506604432
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.462612949253714
"Q8IZN3_IDR_323_488",0.537387050746286
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.512326740669268
"Q8IZP6_IDR_97_147",0.487673259330732
"Q8IZP7_IDR_1_118",0.542522712891567
"Q8IZP7_IDR_426_459",0.457477287108433
"Q8IZP9_IDR_249_371",0.262199992991124
"Q8IZP9_IDR_39_74",0.249058799221131
"Q8IZU9_IDR_701_778",0.488234534497266
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.149748097785975
"Q8IZX4_IDR_1220_1400",0.153493283633987
"Q8IZX4_IDR_1644_1826",0.218029720122772
"Q8IZX4_IDR_268_354",0.167824315616455
"Q8IZX4_IDR_536_578",0.164817478022425
"Q8IZX4_IDR_82_235",0.146087104818386
"Q8IZY2_IDR_1152_1210",0.482263732779434
"Q8IZY2_IDR_2105_2146",0.517736267220566
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.489476672502581
"Q8N0S2_IDR_260_351",0.510523327497419
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.243055997585397
"Q8N0U7_IDR_267_299",0.253460551776194
"Q8N0U7_IDR_37_122",0.24601483855932
"Q8N0U7_IDR_391_467",0.257468612079089
"Q8N103_IDR_1_81",0.512960140550863
"Q8N103_IDR_283_731",0.487039859449136
"Q8N108_IDR_1_176",0.47761768298271
"Q8N108_IDR_344_512",0.52238231701729
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.536204837882085
"Q8N114_IDR_203_240",0.463795162117915
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.440127044548756
"Q8N122_IDR_820_949",0.559872955451244
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.499186086315447
"Q8N128_IDR_68_213",0.500813913684553
"Q8N129_IDR_1_32",0.516041678912096
"Q8N129_IDR_202_248",0.483958321087904
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.359430839865201
