"","GO0030695_GTPase_regulator_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.340380030291365
"Q5VUJ6_IDR_1_54",0.503003562410153
"Q5VUJ6_IDR_308_649",0.496996437589847
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.49659499469759
"Q5VV16_IDR_235_409",0.50340500530241
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.52128237469181
"Q5VV42_IDR_499_545",0.47871762530819
"Q5VWN6_IDR_1918_1981",0.16125428951378
"Q5VWN6_IDR_1993_2150",0.179075140819944
"Q5VWN6_IDR_803_1879",0.170681495250174
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.337882592443814
"Q5VWQ0_IDR_63_351",0.293677626008038
"Q5VWQ0_IDR_708_802",0.368439781548148
"Q5VWQ8_IDR_1141_1189",0.319021005590023
"Q5VWQ8_IDR_1_142",0.356546693425887
"Q5VWQ8_IDR_654_1098",0.32443230098409
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.205246065443587
"Q5VZL5_IDR_1_334",0.197318519413164
"Q5VZL5_IDR_640_677",0.207557949998094
"Q5VZL5_IDR_851_997",0.20114410767788
"Q5VZL5_IDR_999_1200",0.188733357467276
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.170716972128805
"Q5VZP5_IDR_45_103",0.147813508296762
"Q5XX13_IDR_168_231",0.486407233202702
"Q5XX13_IDR_693_978",0.513592766797298
"Q5XXA6_IDR_1_48",0.325194073948397
"Q5XXA6_IDR_74_121",0.321593366553316
"Q5XXA6_IDR_945_986",0.353212559498287
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.545961982188202
"Q63HK3_IDR_383_743",0.454038017811798
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.334916978027041
"Q66K14_IDR_944_993",0.30573254944633
"Q66K41_IDR_1_291",0.467085717979829
"Q66K41_IDR_304_345",0.532914282020171
"Q66K64_IDR_1_37",0.471527981163979
"Q66K64_IDR_275_383",0.528472018836021
"Q66K66_IDR_241_349",0.471490343992743
"Q66K66_IDR_32_81",0.528509656007257
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.259790230652485
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.545931224412033
"Q8IU57_IDR_479_520",0.454068775587967
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.53013189413787
"Q8IU81_IDR_56_237",0.469868105862131
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.597436650708503
"Q8IUC6_IDR_634_673",0.402563349291497
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.230987828731181
"Q8IUD2_IDR_621_730",0.263870627193699
"Q8IUD2_IDR_764_839",0.260169399833373
"Q8IUD2_IDR_926_1072",0.244972144241747
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.515370138639368
"Q8IUE0_IDR_1_55",0.484629861360632
"Q8IUE1_IDR_116_241",0.505066958397783
"Q8IUE1_IDR_1_55",0.494933041602217
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.293565403697532
"Q8IUG5_IDR_1_504",0.262692311170692
"Q8IUW5_IDR_126_223",0.250128821161772
"Q8IUW5_IDR_1_54",0.225194211061158
"Q8IUW5_IDR_234_271",0.312043379671837
"Q8IUW5_IDR_91_123",0.212633588105233
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.338012487771646
"Q8IUX7_IDR_1099_1138",0.358448853819757
"Q8IUX7_IDR_44_388",0.303538658408597
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.483154945868675
"Q8IUY3_IDR_182_321",0.516845054131325
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.497069725520919
"Q8IV04_IDR_352_446",0.502930274479081
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.427083159924651
"Q8IV31_IDR_62_184",0.572916840075349
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.377326513630682
"Q8IVE3_IDR_1453_1493",0.209947542926779
"Q8IVE3_IDR_36_69",0.213140142326714
"Q8IVE3_IDR_71_132",0.199585801115825
"Q8IVF1_IDR_14_81",0.208187697260333
"Q8IVF1_IDR_232_366",0.206502924137355
"Q8IVF1_IDR_407_522",0.196614281364677
"Q8IVF1_IDR_525_878",0.18999044650913
"Q8IVF1_IDR_83_205",0.198704650728504
"Q8IVF2_IDR_1_114",0.394614739597602
"Q8IVF2_IDR_1794_5795",0.303805479502703
"Q8IVF2_IDR_195_1792",0.301579780899694
"Q8IVF4_IDR_156_187",0.505335375072209
"Q8IVF4_IDR_1_66",0.494664624927791
"Q8IVF5_IDR_1017_1093",0.189476268007454
"Q8IVF5_IDR_1461_1667",0.22252651895901
"Q8IVF5_IDR_1_498",0.245497373872271
"Q8IVF5_IDR_749_804",0.342499839161265
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.26938663612133
"Q8IVW6_IDR_319_491",0.398045068107867
"Q8IVW6_IDR_516_561",0.332568295770804
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.320928088639882
"Q8IW35_IDR_575_628",0.306599240980658
"Q8IW35_IDR_633_854",0.37247267037946
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.450303311358318
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.568672709974023
"Q8IWE2_IDR_404_437",0.431327290025977
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.499486533738798
"Q8IWF9_IDR_234_348",0.500513466261202
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103989533181516
"Q8IWI9_IDR_1340_1371",0.113940551621207
"Q8IWI9_IDR_1398_1903",0.111637161575128
"Q8IWI9_IDR_1905_2856",0.110413280325325
"Q8IWI9_IDR_261_649",0.112562185052684
"Q8IWI9_IDR_2974_3016",0.110829460847906
"Q8IWI9_IDR_3020_3065",0.114383760627167
"Q8IWI9_IDR_681_751",0.10531113971738
"Q8IWI9_IDR_753_1079",0.116932927051688
"Q8IWJ2_IDR_1_69",0.322209971148778
"Q8IWT3_IDR_1658_1690",0.230052711397626
"Q8IWT3_IDR_2437_2517",0.236932688818624
"Q8IWT6_IDR_180_231",0.486431121905541
"Q8IWT6_IDR_62_95",0.513568878094459
"Q8IWU2_IDR_1_101",0.224917312660129
"Q8IWU2_IDR_1377_1415",0.259827972175387
"Q8IWU2_IDR_1426_1459",0.283375194294569
"Q8IWU2_IDR_557_1314",0.231879520869915
"Q8IWU5_IDR_1_40",0.244291143106367
"Q8IWU5_IDR_557_594",0.253311090668578
"Q8IWU5_IDR_648_718",0.225163458792474
"Q8IWU5_IDR_824_860",0.277234307432581
"Q8IWU6_IDR_1_37",0.266457973600717
"Q8IWU6_IDR_510_543",0.258211425387921
"Q8IWU6_IDR_561_610",0.245479628685287
"Q8IWU6_IDR_666_738",0.229850972326075
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.340543616196706
"Q8IWV1_IDR_178_270",0.343810130275869
"Q8IWV1_IDR_295_398",0.315646253527425
"Q8IX03_IDR_790_917",0.198701965380068
"Q8IX03_IDR_945_991",0.242597677309792
"Q8IX07_IDR_1_83",0.345383696122893
"Q8IX07_IDR_194_247",0.317883031505796
"Q8IX07_IDR_266_972",0.336733272371312
"Q8IX12_IDR_212_357",0.21206634619194
"Q8IX12_IDR_599_722",0.191782260248915
"Q8IX12_IDR_793_917",0.179318481153138
"Q8IX12_IDR_9_144",0.218312280674423
"Q8IX12_IDR_981_1021",0.198520631731583
"Q8IX15_IDR_125_364",0.248491855940876
"Q8IX15_IDR_1_38",0.269158506619079
"Q8IX15_IDR_420_461",0.244528130283753
"Q8IX15_IDR_504_550",0.237821507156291
"Q8IX18_IDR_1_50",0.506886228316536
"Q8IX18_IDR_706_779",0.493113771683465
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.520472133256437
"Q8IX29_IDR_239_292",0.479527866743563
"Q8IXP5_IDR_108_216",0.492352966347912
"Q8IXP5_IDR_1_106",0.507647033652088
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.478274986697799
"Q8IXQ8_IDR_211_264",0.521725013302201
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.381672250322898
"Q8IXT5_IDR_485_921",0.300190625771707
"Q8IXT5_IDR_89_151",0.318137123905395
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.300497174124518
"Q8IXW0_IDR_176_344",0.412048503783697
"Q8IXW0_IDR_466_587",0.287454322091784
"Q8IXW5_IDR_1_41",0.483002963717884
"Q8IXW5_IDR_171_324",0.516997036282116
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.506208300425059
"Q8IY63_IDR_493_952",0.493791699574941
"Q8IY67_IDR_1_35",0.481690493984771
"Q8IY67_IDR_349_606",0.518309506015229
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.522591225162886
"Q8IY84_IDR_7_44",0.477408774837114
"Q8IY85_IDR_375_441",0.527855492655117
"Q8IY85_IDR_77_146",0.472144507344883
"Q8IY92_IDR_1_50",0.164873982403198
"Q8IY92_IDR_377_470",0.14487343866697
"Q8IY92_IDR_558_613",0.168350897447408
"Q8IY92_IDR_630_669",0.162383262674691
"Q8IY92_IDR_64_289",0.15080459460185
"Q8IY92_IDR_824_1750",0.208713824205883
"Q8IYE1_IDR_684_715",0.520950680755222
"Q8IYF1_IDR_647_753",0.499176834323961
"Q8IYF1_IDR_79_458",0.500823165676039
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.325951907159114
"Q8IYH5_IDR_573_649",0.297741078533395
"Q8IYH5_IDR_714_786",0.37630701430749
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.494255213928012
"Q8IYI6_IDR_287_328",0.505744786071988
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.266405817515726
"Q8IYJ0_IDR_112_175",0.243338084157362
"Q8IYJ0_IDR_204_238",0.251484934902407
"Q8IYJ0_IDR_240_282",0.238771163424505
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.479662352781877
"Q8IYK4_IDR_584_626",0.520337647218123
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.167034299185531
"Q8IYW2_IDR_1347_1410",0.153746202796722
"Q8IYW2_IDR_1985_2022",0.173114924515384
"Q8IYW2_IDR_2287_2320",0.171818204302872
"Q8IYW2_IDR_2540_2579",0.166586824578928
"Q8IYW2_IDR_2630_2661",0.167699544620562
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.621369381883034
"Q8IZ41_IDR_77_124",0.378630618116966
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.349459451125384
"Q8IZ63_IDR_360_422",0.329238251254811
"Q8IZ63_IDR_87_332",0.321302297619805
"Q8IZ69_IDR_1_56",0.475982664419597
"Q8IZ69_IDR_591_625",0.524017335580403
"Q8IZ73_IDR_31_122",0.473514086351335
"Q8IZ73_IDR_421_495",0.526485913648665
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.33315823078801
"Q8IZA0_IDR_201_244",0.344787933164938
"Q8IZA0_IDR_957_1015",0.322053836047052
"Q8IZA3_IDR_114_346",0.451424041628526
"Q8IZA3_IDR_1_50",0.548575958371474
"Q8IZC4_IDR_185_221",0.328309327711505
"Q8IZC4_IDR_409_445",0.342054332577607
"Q8IZC4_IDR_476_603",0.329636339710888
"Q8IZC6_IDR_1_36",0.513305813982545
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.513926346876931
"Q8IZJ3_IDR_1758_1835",0.486073653123069
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.514127230348973
"Q8IZL8_IDR_637_1130",0.485872769651027
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.516421995906413
"Q8IZN3_IDR_323_488",0.483578004093587
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.509389648955709
"Q8IZP6_IDR_97_147",0.490610351044291
"Q8IZP7_IDR_1_118",0.513806780950011
"Q8IZP7_IDR_426_459",0.486193219049989
"Q8IZP9_IDR_249_371",0.282208142410446
"Q8IZP9_IDR_39_74",0.222197602468096
"Q8IZU9_IDR_701_778",0.523653109080406
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.174853218268023
"Q8IZX4_IDR_1220_1400",0.164160558865872
"Q8IZX4_IDR_1644_1826",0.157932148875612
"Q8IZX4_IDR_268_354",0.150148074433515
"Q8IZX4_IDR_536_578",0.160199126676002
"Q8IZX4_IDR_82_235",0.192706872880976
"Q8IZY2_IDR_1152_1210",0.483410275813741
"Q8IZY2_IDR_2105_2146",0.516589724186259
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.519611054776403
"Q8N0S2_IDR_260_351",0.480388945223597
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.244531698033117
"Q8N0U7_IDR_267_299",0.265603022847994
"Q8N0U7_IDR_37_122",0.227238090373773
"Q8N0U7_IDR_391_467",0.262627188745117
"Q8N103_IDR_1_81",0.220687784631222
"Q8N103_IDR_283_731",0.779312215368778
"Q8N108_IDR_1_176",0.478102921216428
"Q8N108_IDR_344_512",0.521897078783572
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.468514307953846
"Q8N114_IDR_203_240",0.531485692046154
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.514455649748198
"Q8N122_IDR_820_949",0.485544350251802
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.505052267494154
"Q8N128_IDR_68_213",0.494947732505846
"Q8N129_IDR_1_32",0.506018606312416
"Q8N129_IDR_202_248",0.493981393687584
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.377164037737118
"Q8N137_IDR_442_797",0.305146698450171
