"","GO0005681_spliceosomal_complex"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.328568981268067
"Q5VUJ6_IDR_1_54",0.461388835163963
"Q5VUJ6_IDR_308_649",0.538611164836037
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.543273927469118
"Q5VV16_IDR_235_409",0.456726072530882
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.507857520053289
"Q5VV42_IDR_499_545",0.492142479946711
"Q5VWN6_IDR_1918_1981",0.167575147718628
"Q5VWN6_IDR_1993_2150",0.167888874840971
"Q5VWN6_IDR_803_1879",0.158469513974835
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.310826331896734
"Q5VWQ0_IDR_63_351",0.381327517978272
"Q5VWQ0_IDR_708_802",0.307846150124994
"Q5VWQ8_IDR_1141_1189",0.331483020437297
"Q5VWQ8_IDR_1_142",0.311396184047141
"Q5VWQ8_IDR_654_1098",0.357120795515562
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.198016597971288
"Q5VZL5_IDR_1_334",0.202652952821827
"Q5VZL5_IDR_640_677",0.194005665187145
"Q5VZL5_IDR_851_997",0.193911488585572
"Q5VZL5_IDR_999_1200",0.211413295434168
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.146581541217834
"Q5VZP5_IDR_45_103",0.149639425703209
"Q5XX13_IDR_168_231",0.514320183999725
"Q5XX13_IDR_693_978",0.485679816000275
"Q5XXA6_IDR_1_48",0.319235203234667
"Q5XXA6_IDR_74_121",0.340966958647601
"Q5XXA6_IDR_945_986",0.339797838117732
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.49451309025171
"Q63HK3_IDR_383_743",0.50548690974829
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.335757422105979
"Q66K14_IDR_944_993",0.358250365163347
"Q66K41_IDR_1_291",0.464506533080015
"Q66K41_IDR_304_345",0.535493466919985
"Q66K64_IDR_1_37",0.507684221708483
"Q66K64_IDR_275_383",0.492315778291517
"Q66K66_IDR_241_349",0.57818157553009
"Q66K66_IDR_32_81",0.42181842446991
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242326451694438
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.447096165952016
"Q8IU57_IDR_479_520",0.552903834047984
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.490589904615024
"Q8IU81_IDR_56_237",0.509410095384976
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.482771620407918
"Q8IUC6_IDR_634_673",0.517228379592082
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.244884189427139
"Q8IUD2_IDR_621_730",0.243995971505387
"Q8IUD2_IDR_764_839",0.262045336051436
"Q8IUD2_IDR_926_1072",0.249074503016038
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.497707722160607
"Q8IUE0_IDR_1_55",0.502292277839393
"Q8IUE1_IDR_116_241",0.486965481280791
"Q8IUE1_IDR_1_55",0.513034518719209
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.258306529348853
"Q8IUG5_IDR_1_504",0.493027116401575
"Q8IUW5_IDR_126_223",0.232801761311005
"Q8IUW5_IDR_1_54",0.242019382205225
"Q8IUW5_IDR_234_271",0.256775442291019
"Q8IUW5_IDR_91_123",0.26840341419275
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.306652030074564
"Q8IUX7_IDR_1099_1138",0.322978417842343
"Q8IUX7_IDR_44_388",0.370369552083093
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.516259050068595
"Q8IUY3_IDR_182_321",0.483740949931405
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.489322879692236
"Q8IV04_IDR_352_446",0.510677120307764
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.49758779477469
"Q8IV31_IDR_62_184",0.50241220522531
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.2344965410809
"Q8IVE3_IDR_1453_1493",0.243956132917032
"Q8IVE3_IDR_36_69",0.254459827250724
"Q8IVE3_IDR_71_132",0.267087498751344
"Q8IVF1_IDR_14_81",0.200679016584728
"Q8IVF1_IDR_232_366",0.192653983326441
"Q8IVF1_IDR_407_522",0.214991683501622
"Q8IVF1_IDR_525_878",0.198142694361906
"Q8IVF1_IDR_83_205",0.193532622225304
"Q8IVF2_IDR_1_114",0.337409036897888
"Q8IVF2_IDR_1794_5795",0.323632592872116
"Q8IVF2_IDR_195_1792",0.338958370229997
"Q8IVF4_IDR_156_187",0.505417926538304
"Q8IVF4_IDR_1_66",0.494582073461696
"Q8IVF5_IDR_1017_1093",0.249914303358096
"Q8IVF5_IDR_1461_1667",0.25337755742167
"Q8IVF5_IDR_1_498",0.249706849687976
"Q8IVF5_IDR_749_804",0.247001289532258
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.381755620376217
"Q8IVW6_IDR_319_491",0.303775516107615
"Q8IVW6_IDR_516_561",0.314468863516168
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.312743441258259
"Q8IW35_IDR_575_628",0.356957994996409
"Q8IW35_IDR_633_854",0.330298563745331
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.497449253923962
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.381507750551241
"Q8IWE2_IDR_404_437",0.618492249448759
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.513191081125953
"Q8IWF9_IDR_234_348",0.486808918874047
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.130299402433818
"Q8IWI9_IDR_1340_1371",0.112907340299741
"Q8IWI9_IDR_1398_1903",0.102273335360223
"Q8IWI9_IDR_1905_2856",0.107948676755399
"Q8IWI9_IDR_261_649",0.109237065564466
"Q8IWI9_IDR_2974_3016",0.112205848165936
"Q8IWI9_IDR_3020_3065",0.110411070640143
"Q8IWI9_IDR_681_751",0.109589026083056
"Q8IWI9_IDR_753_1079",0.105128234697219
"Q8IWJ2_IDR_1_69",0.332668358851839
"Q8IWT3_IDR_1658_1690",0.236586924397855
"Q8IWT3_IDR_2437_2517",0.309137049525514
"Q8IWT6_IDR_180_231",0.509550955767047
"Q8IWT6_IDR_62_95",0.490449044232953
"Q8IWU2_IDR_1_101",0.23668117291659
"Q8IWU2_IDR_1377_1415",0.259845881524944
"Q8IWU2_IDR_1426_1459",0.256372137601338
"Q8IWU2_IDR_557_1314",0.247100807957128
"Q8IWU5_IDR_1_40",0.225841673088081
"Q8IWU5_IDR_557_594",0.240245414204733
"Q8IWU5_IDR_648_718",0.299298018210945
"Q8IWU5_IDR_824_860",0.234614894496242
"Q8IWU6_IDR_1_37",0.205945396010171
"Q8IWU6_IDR_510_543",0.244110056273543
"Q8IWU6_IDR_561_610",0.230676593829775
"Q8IWU6_IDR_666_738",0.319267953886511
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.308026559723263
"Q8IWV1_IDR_178_270",0.346925062289579
"Q8IWV1_IDR_295_398",0.345048377987158
"Q8IX03_IDR_790_917",0.273002489794017
"Q8IX03_IDR_945_991",0.244183382352783
"Q8IX07_IDR_1_83",0.407972218587838
"Q8IX07_IDR_194_247",0.303875962771072
"Q8IX07_IDR_266_972",0.288151818641091
"Q8IX12_IDR_212_357",0.287388003765896
"Q8IX12_IDR_599_722",0.162393901269548
"Q8IX12_IDR_793_917",0.266321692049792
"Q8IX12_IDR_9_144",0.1350247429977
"Q8IX12_IDR_981_1021",0.148871659917064
"Q8IX15_IDR_125_364",0.234605747954829
"Q8IX15_IDR_1_38",0.24992484576378
"Q8IX15_IDR_420_461",0.243345367254542
"Q8IX15_IDR_504_550",0.272124039026849
"Q8IX18_IDR_1_50",0.476325694794385
"Q8IX18_IDR_706_779",0.523674305205615
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.520863557772017
"Q8IX29_IDR_239_292",0.479136442227983
"Q8IXP5_IDR_108_216",0.511034101313645
"Q8IXP5_IDR_1_106",0.488965898686355
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.510815451545669
"Q8IXQ8_IDR_211_264",0.489184548454331
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.308554581340763
"Q8IXT5_IDR_485_921",0.394534733392834
"Q8IXT5_IDR_89_151",0.296910685266403
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.340939143659041
"Q8IXW0_IDR_176_344",0.316538562706067
"Q8IXW0_IDR_466_587",0.342522293634892
"Q8IXW5_IDR_1_41",0.552151080025894
"Q8IXW5_IDR_171_324",0.447848919974106
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.459435979413314
"Q8IY63_IDR_493_952",0.540564020586686
"Q8IY67_IDR_1_35",0.526711649781065
"Q8IY67_IDR_349_606",0.473288350218935
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.468738612533826
"Q8IY84_IDR_7_44",0.531261387466174
"Q8IY85_IDR_375_441",0.497936455660502
"Q8IY85_IDR_77_146",0.502063544339498
"Q8IY92_IDR_1_50",0.166648771677971
"Q8IY92_IDR_377_470",0.183027070117069
"Q8IY92_IDR_558_613",0.167444129506724
"Q8IY92_IDR_630_669",0.163299482908973
"Q8IY92_IDR_64_289",0.156158949266517
"Q8IY92_IDR_824_1750",0.163421596522745
"Q8IYE1_IDR_684_715",0.52012870257354
"Q8IYF1_IDR_647_753",0.405430155965137
"Q8IYF1_IDR_79_458",0.594569844034863
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.32215111231314
"Q8IYH5_IDR_573_649",0.359679788221821
"Q8IYH5_IDR_714_786",0.318169099465039
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.461741102626622
"Q8IYI6_IDR_287_328",0.538258897373379
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.237988868706623
"Q8IYJ0_IDR_112_175",0.248230059339716
"Q8IYJ0_IDR_204_238",0.262391934390739
"Q8IYJ0_IDR_240_282",0.251389137562923
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.471587564110548
"Q8IYK4_IDR_584_626",0.528412435889452
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.150320047451116
"Q8IYW2_IDR_1347_1410",0.239191008016959
"Q8IYW2_IDR_1985_2022",0.153948099559597
"Q8IYW2_IDR_2287_2320",0.155886483109606
"Q8IYW2_IDR_2540_2579",0.152893780924885
"Q8IYW2_IDR_2630_2661",0.147760580937836
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.485338090369527
"Q8IZ41_IDR_77_124",0.514661909630473
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326303900313176
"Q8IZ63_IDR_360_422",0.335689935945896
"Q8IZ63_IDR_87_332",0.338006163740929
"Q8IZ69_IDR_1_56",0.511256997296321
"Q8IZ69_IDR_591_625",0.488743002703679
"Q8IZ73_IDR_31_122",0.563387406464552
"Q8IZ73_IDR_421_495",0.436612593535448
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.324576975770778
"Q8IZA0_IDR_201_244",0.307758747345814
"Q8IZA0_IDR_957_1015",0.367664276883408
"Q8IZA3_IDR_114_346",0.551400636623796
"Q8IZA3_IDR_1_50",0.448599363376203
"Q8IZC4_IDR_185_221",0.317906483321651
"Q8IZC4_IDR_409_445",0.32696505420592
"Q8IZC4_IDR_476_603",0.355128462472429
"Q8IZC6_IDR_1_36",0.493261060304107
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.543087731878775
"Q8IZJ3_IDR_1758_1835",0.456912268121225
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.495239759461852
"Q8IZL8_IDR_637_1130",0.504760240538148
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.523175813783922
"Q8IZN3_IDR_323_488",0.476824186216078
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.53463738895827
"Q8IZP6_IDR_97_147",0.46536261104173
"Q8IZP7_IDR_1_118",0.398213913303617
"Q8IZP7_IDR_426_459",0.601786086696383
"Q8IZP9_IDR_249_371",0.240460824704118
"Q8IZP9_IDR_39_74",0.249858054365342
"Q8IZU9_IDR_701_778",0.489427107558394
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.175385135362063
"Q8IZX4_IDR_1220_1400",0.149492578919308
"Q8IZX4_IDR_1644_1826",0.181154861147334
"Q8IZX4_IDR_268_354",0.179353620680594
"Q8IZX4_IDR_536_578",0.150141426523867
"Q8IZX4_IDR_82_235",0.164472377366833
"Q8IZY2_IDR_1152_1210",0.493517465421429
"Q8IZY2_IDR_2105_2146",0.506482534578571
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.493843370403733
"Q8N0S2_IDR_260_351",0.506156629596267
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.25052897664807
"Q8N0U7_IDR_267_299",0.250283654653849
"Q8N0U7_IDR_37_122",0.262163648475742
"Q8N0U7_IDR_391_467",0.237023720222339
"Q8N103_IDR_1_81",0.511221544246911
"Q8N103_IDR_283_731",0.488778455753089
"Q8N108_IDR_1_176",0.556003692347905
"Q8N108_IDR_344_512",0.443996307652095
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.482248959068174
"Q8N114_IDR_203_240",0.517751040931826
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.493010706985596
"Q8N122_IDR_820_949",0.506989293014404
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.521660130207495
"Q8N128_IDR_68_213",0.478339869792505
"Q8N129_IDR_1_32",0.44352961076611
"Q8N129_IDR_202_248",0.55647038923389
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.320691545615674
"Q8N137_IDR_442_797",0.330664240539013
