"","GO0140097_catalytic_activity._acting_on_DNA"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.33216738580788
"Q5VUJ6_IDR_1_54",0.492079301239773
"Q5VUJ6_IDR_308_649",0.507920698760227
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.513802388149177
"Q5VV16_IDR_235_409",0.486197611850823
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.550349503210909
"Q5VV42_IDR_499_545",0.449650496789091
"Q5VWN6_IDR_1918_1981",0.153797551392384
"Q5VWN6_IDR_1993_2150",0.151487008855627
"Q5VWN6_IDR_803_1879",0.159040823455163
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.258723194458294
"Q5VWQ0_IDR_63_351",0.475405921561614
"Q5VWQ0_IDR_708_802",0.265870883980092
"Q5VWQ8_IDR_1141_1189",0.339628108053401
"Q5VWQ8_IDR_1_142",0.330815178299964
"Q5VWQ8_IDR_654_1098",0.329556713646635
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.203597042128949
"Q5VZL5_IDR_1_334",0.199443904953536
"Q5VZL5_IDR_640_677",0.192789920612784
"Q5VZL5_IDR_851_997",0.194273131636525
"Q5VZL5_IDR_999_1200",0.209896000668206
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.160503513771678
"Q5VZP5_IDR_45_103",0.157246185003117
"Q5XX13_IDR_168_231",0.503210477131335
"Q5XX13_IDR_693_978",0.496789522868665
"Q5XXA6_IDR_1_48",0.334583288313322
"Q5XXA6_IDR_74_121",0.326152180604079
"Q5XXA6_IDR_945_986",0.339264531082599
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.472853796216923
"Q63HK3_IDR_383_743",0.527146203783077
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.335244323272655
"Q66K14_IDR_944_993",0.339274763848172
"Q66K41_IDR_1_291",0.579301477427668
"Q66K41_IDR_304_345",0.420698522572332
"Q66K64_IDR_1_37",0.523273808595375
"Q66K64_IDR_275_383",0.476726191404625
"Q66K66_IDR_241_349",0.53059889309169
"Q66K66_IDR_32_81",0.46940110690831
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.244049937004214
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.492733852759617
"Q8IU57_IDR_479_520",0.507266147240383
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.500479572012387
"Q8IU81_IDR_56_237",0.499520427987613
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.494612100572399
"Q8IUC6_IDR_634_673",0.505387899427601
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.225847161275004
"Q8IUD2_IDR_621_730",0.234367062542611
"Q8IUD2_IDR_764_839",0.22945409853005
"Q8IUD2_IDR_926_1072",0.310331677652336
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.47221066817963
"Q8IUE0_IDR_1_55",0.52778933182037
"Q8IUE1_IDR_116_241",0.470216035309485
"Q8IUE1_IDR_1_55",0.529783964690515
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.323193255823151
"Q8IUG5_IDR_1_504",0.35478666852171
"Q8IUW5_IDR_126_223",0.247533240748217
"Q8IUW5_IDR_1_54",0.243833753753663
"Q8IUW5_IDR_234_271",0.25102601484572
"Q8IUW5_IDR_91_123",0.2576069906524
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.250408906529887
"Q8IUX7_IDR_1099_1138",0.264772104147307
"Q8IUX7_IDR_44_388",0.484818989322806
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.505363545828534
"Q8IUY3_IDR_182_321",0.494636454171466
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.496567177412837
"Q8IV04_IDR_352_446",0.503432822587163
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.503263591307893
"Q8IV31_IDR_62_184",0.496736408692107
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.247307053165363
"Q8IVE3_IDR_1453_1493",0.251511146818868
"Q8IVE3_IDR_36_69",0.250097547044497
"Q8IVE3_IDR_71_132",0.251084252971271
"Q8IVF1_IDR_14_81",0.195946113795024
"Q8IVF1_IDR_232_366",0.191711955270931
"Q8IVF1_IDR_407_522",0.200976380456798
"Q8IVF1_IDR_525_878",0.221247272477492
"Q8IVF1_IDR_83_205",0.190118277999755
"Q8IVF2_IDR_1_114",0.325124004363765
"Q8IVF2_IDR_1794_5795",0.341495863548746
"Q8IVF2_IDR_195_1792",0.333380132087489
"Q8IVF4_IDR_156_187",0.50098400649199
"Q8IVF4_IDR_1_66",0.49901599350801
"Q8IVF5_IDR_1017_1093",0.228265112121922
"Q8IVF5_IDR_1461_1667",0.250310507851447
"Q8IVF5_IDR_1_498",0.283863870919209
"Q8IVF5_IDR_749_804",0.237560509107422
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.341979303795747
"Q8IVW6_IDR_319_491",0.323653305422435
"Q8IVW6_IDR_516_561",0.334367390781819
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.332653267644145
"Q8IW35_IDR_575_628",0.316681633929054
"Q8IW35_IDR_633_854",0.350665098426801
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.495376698495848
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.492777955861867
"Q8IWE2_IDR_404_437",0.507222044138133
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.520625715534884
"Q8IWF9_IDR_234_348",0.479374284465116
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.135579204327827
"Q8IWI9_IDR_1340_1371",0.103864470491033
"Q8IWI9_IDR_1398_1903",0.101144094788987
"Q8IWI9_IDR_1905_2856",0.119306788886086
"Q8IWI9_IDR_261_649",0.121996205844243
"Q8IWI9_IDR_2974_3016",0.101497004157027
"Q8IWI9_IDR_3020_3065",0.105681572937308
"Q8IWI9_IDR_681_751",0.102979529106121
"Q8IWI9_IDR_753_1079",0.107951129461368
"Q8IWJ2_IDR_1_69",0.351466333338401
"Q8IWT3_IDR_1658_1690",0.243566355493251
"Q8IWT3_IDR_2437_2517",0.259808842831074
"Q8IWT6_IDR_180_231",0.495460052154382
"Q8IWT6_IDR_62_95",0.504539947845618
"Q8IWU2_IDR_1_101",0.256665344083678
"Q8IWU2_IDR_1377_1415",0.239917357332971
"Q8IWU2_IDR_1426_1459",0.240692214831313
"Q8IWU2_IDR_557_1314",0.262725083752038
"Q8IWU5_IDR_1_40",0.234952326369497
"Q8IWU5_IDR_557_594",0.24246629921407
"Q8IWU5_IDR_648_718",0.281190292238475
"Q8IWU5_IDR_824_860",0.241391082177958
"Q8IWU6_IDR_1_37",0.221863461180921
"Q8IWU6_IDR_510_543",0.22632942034995
"Q8IWU6_IDR_561_610",0.235181341732108
"Q8IWU6_IDR_666_738",0.316625776737021
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.325249504181522
"Q8IWV1_IDR_178_270",0.336083720788503
"Q8IWV1_IDR_295_398",0.338666775029975
"Q8IX03_IDR_790_917",0.259980224469681
"Q8IX03_IDR_945_991",0.252030117415927
"Q8IX07_IDR_1_83",0.339430970249543
"Q8IX07_IDR_194_247",0.332294486381376
"Q8IX07_IDR_266_972",0.328274543369081
"Q8IX12_IDR_212_357",0.194191734150077
"Q8IX12_IDR_599_722",0.189402571704678
"Q8IX12_IDR_793_917",0.246045602006598
"Q8IX12_IDR_9_144",0.180998467226955
"Q8IX12_IDR_981_1021",0.189361624911692
"Q8IX15_IDR_125_364",0.269418246832869
"Q8IX15_IDR_1_38",0.236023679211545
"Q8IX15_IDR_420_461",0.2501030880092
"Q8IX15_IDR_504_550",0.244454985946386
"Q8IX18_IDR_1_50",0.491939740728666
"Q8IX18_IDR_706_779",0.508060259271334
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.48973972121567
"Q8IX29_IDR_239_292",0.51026027878433
"Q8IXP5_IDR_108_216",0.506423092365795
"Q8IXP5_IDR_1_106",0.493576907634205
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.510504101529053
"Q8IXQ8_IDR_211_264",0.489495898470947
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.333743852565157
"Q8IXT5_IDR_485_921",0.329709968131553
"Q8IXT5_IDR_89_151",0.33654617930329
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.33546388493601
"Q8IXW0_IDR_176_344",0.328664216214632
"Q8IXW0_IDR_466_587",0.335871898849358
"Q8IXW5_IDR_1_41",0.496282069028582
"Q8IXW5_IDR_171_324",0.503717930971418
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.494794371930226
"Q8IY63_IDR_493_952",0.505205628069774
"Q8IY67_IDR_1_35",0.500921149141755
"Q8IY67_IDR_349_606",0.499078850858245
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.497374193478255
"Q8IY84_IDR_7_44",0.502625806521745
"Q8IY85_IDR_375_441",0.473677085509772
"Q8IY85_IDR_77_146",0.526322914490228
"Q8IY92_IDR_1_50",0.152992767746678
"Q8IY92_IDR_377_470",0.218920515123347
"Q8IY92_IDR_558_613",0.150527230053866
"Q8IY92_IDR_630_669",0.153570046414276
"Q8IY92_IDR_64_289",0.166881010961239
"Q8IY92_IDR_824_1750",0.157108429700594
"Q8IYE1_IDR_684_715",0.503222986184065
"Q8IYF1_IDR_647_753",0.434691484588433
"Q8IYF1_IDR_79_458",0.565308515411567
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.360874098679662
"Q8IYH5_IDR_573_649",0.328212183307312
"Q8IYH5_IDR_714_786",0.310913718013026
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.492192042800502
"Q8IYI6_IDR_287_328",0.507807957199498
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242704790091103
"Q8IYJ0_IDR_112_175",0.247928278376995
"Q8IYJ0_IDR_204_238",0.259939992151729
"Q8IYJ0_IDR_240_282",0.249426939380173
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.493451835251697
"Q8IYK4_IDR_584_626",0.506548164748303
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162785525379542
"Q8IYW2_IDR_1347_1410",0.186084540155904
"Q8IYW2_IDR_1985_2022",0.165273441663913
"Q8IYW2_IDR_2287_2320",0.163203760553931
"Q8IYW2_IDR_2540_2579",0.161019330909761
"Q8IYW2_IDR_2630_2661",0.161633401336949
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.503632174537631
"Q8IZ41_IDR_77_124",0.496367825462369
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.316370134469296
"Q8IZ63_IDR_360_422",0.367954283031336
"Q8IZ63_IDR_87_332",0.315675582499368
"Q8IZ69_IDR_1_56",0.503686153372547
"Q8IZ69_IDR_591_625",0.496313846627453
"Q8IZ73_IDR_31_122",0.56187843321561
"Q8IZ73_IDR_421_495",0.43812156678439
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.30986475074756
"Q8IZA0_IDR_201_244",0.313464938523457
"Q8IZA0_IDR_957_1015",0.376670310728983
"Q8IZA3_IDR_114_346",0.609560323364619
"Q8IZA3_IDR_1_50",0.390439676635381
"Q8IZC4_IDR_185_221",0.326548485136365
"Q8IZC4_IDR_409_445",0.285277803741561
"Q8IZC4_IDR_476_603",0.388173711122074
"Q8IZC6_IDR_1_36",0.502294701744166
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.509439902504724
"Q8IZJ3_IDR_1758_1835",0.490560097495276
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.526135878462097
"Q8IZL8_IDR_637_1130",0.473864121537903
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.508375755091961
"Q8IZN3_IDR_323_488",0.491624244908039
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.534732368568707
"Q8IZP6_IDR_97_147",0.465267631431293
"Q8IZP7_IDR_1_118",0.49992411600489
"Q8IZP7_IDR_426_459",0.50007588399511
"Q8IZP9_IDR_249_371",0.24608844295831
"Q8IZP9_IDR_39_74",0.248754617680144
"Q8IZU9_IDR_701_778",0.495957236814042
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162506956826152
"Q8IZX4_IDR_1220_1400",0.161029287423721
"Q8IZX4_IDR_1644_1826",0.157832050687145
"Q8IZX4_IDR_268_354",0.18773364332901
"Q8IZX4_IDR_536_578",0.162496477214881
"Q8IZX4_IDR_82_235",0.168401584519091
"Q8IZY2_IDR_1152_1210",0.492530267381629
"Q8IZY2_IDR_2105_2146",0.507469732618371
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.504326691056645
"Q8N0S2_IDR_260_351",0.495673308943355
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.242008207392832
"Q8N0U7_IDR_267_299",0.252818671198083
"Q8N0U7_IDR_37_122",0.254690312261767
"Q8N0U7_IDR_391_467",0.250482809147317
"Q8N103_IDR_1_81",0.544561464748099
"Q8N103_IDR_283_731",0.455438535251902
"Q8N108_IDR_1_176",0.432981974056555
"Q8N108_IDR_344_512",0.567018025943445
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.495979908122029
"Q8N114_IDR_203_240",0.504020091877971
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.501259126217737
"Q8N122_IDR_820_949",0.498740873782263
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.486594215784476
"Q8N128_IDR_68_213",0.513405784215524
"Q8N129_IDR_1_32",0.47834774704184
"Q8N129_IDR_202_248",0.52165225295816
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.326550258616609
