"","GO0006820_anion_transport"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.316161638592199
"Q5VUJ6_IDR_1_54",0.455926300708766
"Q5VUJ6_IDR_308_649",0.544073699291234
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.530515363309018
"Q5VV16_IDR_235_409",0.469484636690982
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.484849359151533
"Q5VV42_IDR_499_545",0.515150640848467
"Q5VWN6_IDR_1918_1981",0.157201183219418
"Q5VWN6_IDR_1993_2150",0.154273475152467
"Q5VWN6_IDR_803_1879",0.209803157123161
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.306758962677499
"Q5VWQ0_IDR_63_351",0.314398093614079
"Q5VWQ0_IDR_708_802",0.378842943708422
"Q5VWQ8_IDR_1141_1189",0.336638829717832
"Q5VWQ8_IDR_1_142",0.324227042536407
"Q5VWQ8_IDR_654_1098",0.339134127745761
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.207216499555534
"Q5VZL5_IDR_1_334",0.207868644923637
"Q5VZL5_IDR_640_677",0.179908649589017
"Q5VZL5_IDR_851_997",0.19099440880096
"Q5VZL5_IDR_999_1200",0.214011797130852
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.176389337031991
"Q5VZP5_IDR_45_103",0.166144585425638
"Q5XX13_IDR_168_231",0.601192560468246
"Q5XX13_IDR_693_978",0.398807439531754
"Q5XXA6_IDR_1_48",0.353244805456416
"Q5XXA6_IDR_74_121",0.312122850880853
"Q5XXA6_IDR_945_986",0.334632343662731
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.457814879927602
"Q63HK3_IDR_383_743",0.542185120072397
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.349514776076485
"Q66K14_IDR_944_993",0.342261647481846
"Q66K41_IDR_1_291",0.48719660035709
"Q66K41_IDR_304_345",0.51280339964291
"Q66K64_IDR_1_37",0.503640393374916
"Q66K64_IDR_275_383",0.496359606625084
"Q66K66_IDR_241_349",0.493141014187907
"Q66K66_IDR_32_81",0.506858985812093
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.258364275344315
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.478060102294131
"Q8IU57_IDR_479_520",0.521939897705869
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.490905575099969
"Q8IU81_IDR_56_237",0.509094424900031
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.497029430805266
"Q8IUC6_IDR_634_673",0.502970569194734
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.266728588872345
"Q8IUD2_IDR_621_730",0.249224118041573
"Q8IUD2_IDR_764_839",0.246134693446562
"Q8IUD2_IDR_926_1072",0.23791259963952
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.516231181573465
"Q8IUE0_IDR_1_55",0.483768818426535
"Q8IUE1_IDR_116_241",0.52340294001972
"Q8IUE1_IDR_1_55",0.47659705998028
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.369835984014359
"Q8IUG5_IDR_1_504",0.317739523622583
"Q8IUW5_IDR_126_223",0.266081028534384
"Q8IUW5_IDR_1_54",0.211891020296592
"Q8IUW5_IDR_234_271",0.25058697157023
"Q8IUW5_IDR_91_123",0.271440979598795
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.327964514349329
"Q8IUX7_IDR_1099_1138",0.341986766645681
"Q8IUX7_IDR_44_388",0.330048719004989
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.497518287832658
"Q8IUY3_IDR_182_321",0.502481712167342
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.51591704650893
"Q8IV04_IDR_352_446",0.48408295349107
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.49472584743613
"Q8IV31_IDR_62_184",0.50527415256387
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.235327054430754
"Q8IVE3_IDR_1453_1493",0.268986429313879
"Q8IVE3_IDR_36_69",0.244122628124172
"Q8IVE3_IDR_71_132",0.251563888131195
"Q8IVF1_IDR_14_81",0.208962512819557
"Q8IVF1_IDR_232_366",0.196999158439399
"Q8IVF1_IDR_407_522",0.205754330635288
"Q8IVF1_IDR_525_878",0.197023916484318
"Q8IVF1_IDR_83_205",0.191260081621438
"Q8IVF2_IDR_1_114",0.356000088548833
"Q8IVF2_IDR_1794_5795",0.328298998174356
"Q8IVF2_IDR_195_1792",0.315700913276811
"Q8IVF4_IDR_156_187",0.511257923995884
"Q8IVF4_IDR_1_66",0.488742076004116
"Q8IVF5_IDR_1017_1093",0.271308788381386
"Q8IVF5_IDR_1461_1667",0.258080007759144
"Q8IVF5_IDR_1_498",0.229279461450437
"Q8IVF5_IDR_749_804",0.241331742409034
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.348577823804506
"Q8IVW6_IDR_319_491",0.329415404024466
"Q8IVW6_IDR_516_561",0.322006772171028
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.358119481216807
"Q8IW35_IDR_575_628",0.306421898825503
"Q8IW35_IDR_633_854",0.33545861995769
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.484289848469489
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.473441902337546
"Q8IWE2_IDR_404_437",0.526558097662454
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.396969010241902
"Q8IWF9_IDR_234_348",0.603030989758098
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.108321955175325
"Q8IWI9_IDR_1340_1371",0.117039212503363
"Q8IWI9_IDR_1398_1903",0.0945522285957347
"Q8IWI9_IDR_1905_2856",0.123175110898592
"Q8IWI9_IDR_261_649",0.119665760113252
"Q8IWI9_IDR_2974_3016",0.103259330467079
"Q8IWI9_IDR_3020_3065",0.111995463526243
"Q8IWI9_IDR_681_751",0.11889853661797
"Q8IWI9_IDR_753_1079",0.103092402102441
"Q8IWJ2_IDR_1_69",0.322747789276723
"Q8IWT3_IDR_1658_1690",0.246835604895353
"Q8IWT3_IDR_2437_2517",0.264545103857862
"Q8IWT6_IDR_180_231",0.544309435309101
"Q8IWT6_IDR_62_95",0.455690564690899
"Q8IWU2_IDR_1_101",0.257323277587581
"Q8IWU2_IDR_1377_1415",0.24302243422259
"Q8IWU2_IDR_1426_1459",0.228504645066203
"Q8IWU2_IDR_557_1314",0.271149643123626
"Q8IWU5_IDR_1_40",0.235268009456825
"Q8IWU5_IDR_557_594",0.269571231206183
"Q8IWU5_IDR_648_718",0.250365962812994
"Q8IWU5_IDR_824_860",0.244794796523997
"Q8IWU6_IDR_1_37",0.229179402220279
"Q8IWU6_IDR_510_543",0.232884286936447
"Q8IWU6_IDR_561_610",0.293087929441189
"Q8IWU6_IDR_666_738",0.244848381402085
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.297194332025517
"Q8IWV1_IDR_178_270",0.332841689387688
"Q8IWV1_IDR_295_398",0.369963978586794
"Q8IX03_IDR_790_917",0.27406518335287
"Q8IX03_IDR_945_991",0.23760300320824
"Q8IX07_IDR_1_83",0.356121037671452
"Q8IX07_IDR_194_247",0.356271912061219
"Q8IX07_IDR_266_972",0.287607050267329
"Q8IX12_IDR_212_357",0.18635083698529
"Q8IX12_IDR_599_722",0.210581401149356
"Q8IX12_IDR_793_917",0.189079231492696
"Q8IX12_IDR_9_144",0.182085105555681
"Q8IX12_IDR_981_1021",0.231903424816977
"Q8IX15_IDR_125_364",0.245904175234733
"Q8IX15_IDR_1_38",0.256263861765494
"Q8IX15_IDR_420_461",0.246545254947497
"Q8IX15_IDR_504_550",0.251286708052275
"Q8IX18_IDR_1_50",0.491227792308972
"Q8IX18_IDR_706_779",0.508772207691028
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.48422464198809
"Q8IX29_IDR_239_292",0.51577535801191
"Q8IXP5_IDR_108_216",0.506020711562357
"Q8IXP5_IDR_1_106",0.493979288437643
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.513479444404248
"Q8IXQ8_IDR_211_264",0.486520555595752
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.333131583589985
"Q8IXT5_IDR_485_921",0.315280172204786
"Q8IXT5_IDR_89_151",0.351588244205229
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.356741479113277
"Q8IXW0_IDR_176_344",0.336490058548972
"Q8IXW0_IDR_466_587",0.306768462337751
"Q8IXW5_IDR_1_41",0.394073553160905
"Q8IXW5_IDR_171_324",0.605926446839095
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.492578297355604
"Q8IY63_IDR_493_952",0.507421702644396
"Q8IY67_IDR_1_35",0.543989353700191
"Q8IY67_IDR_349_606",0.456010646299809
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.515742604421837
"Q8IY84_IDR_7_44",0.484257395578164
"Q8IY85_IDR_375_441",0.505785177072956
"Q8IY85_IDR_77_146",0.494214822927044
"Q8IY92_IDR_1_50",0.17236870843056
"Q8IY92_IDR_377_470",0.167218688018676
"Q8IY92_IDR_558_613",0.163524264770722
"Q8IY92_IDR_630_669",0.176343634566641
"Q8IY92_IDR_64_289",0.163697302735776
"Q8IY92_IDR_824_1750",0.156847401477625
"Q8IYE1_IDR_684_715",0.528064271708645
"Q8IYF1_IDR_647_753",0.498071721806802
"Q8IYF1_IDR_79_458",0.501928278193198
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.329095783451942
"Q8IYH5_IDR_573_649",0.323223236060034
"Q8IYH5_IDR_714_786",0.347680980488024
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.480629503018206
"Q8IYI6_IDR_287_328",0.519370496981794
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.226776967495975
"Q8IYJ0_IDR_112_175",0.264051975854412
"Q8IYJ0_IDR_204_238",0.246143159567785
"Q8IYJ0_IDR_240_282",0.263027897081828
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.483741716177862
"Q8IYK4_IDR_584_626",0.516258283822138
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.173091778541339
"Q8IYW2_IDR_1347_1410",0.151090326446692
"Q8IYW2_IDR_1985_2022",0.168938969188647
"Q8IYW2_IDR_2287_2320",0.165258106280914
"Q8IYW2_IDR_2540_2579",0.179166191609525
"Q8IYW2_IDR_2630_2661",0.162454627932883
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.536004747022745
"Q8IZ41_IDR_77_124",0.463995252977255
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337762371627657
"Q8IZ63_IDR_360_422",0.32530962935623
"Q8IZ63_IDR_87_332",0.336927999016114
"Q8IZ69_IDR_1_56",0.50598464064254
"Q8IZ69_IDR_591_625",0.49401535935746
"Q8IZ73_IDR_31_122",0.45122180390874
"Q8IZ73_IDR_421_495",0.54877819609126
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.342413668652182
"Q8IZA0_IDR_201_244",0.338662267012472
"Q8IZA0_IDR_957_1015",0.318924064335346
"Q8IZA3_IDR_114_346",0.491160752838392
"Q8IZA3_IDR_1_50",0.508839247161608
"Q8IZC4_IDR_185_221",0.321935260531483
"Q8IZC4_IDR_409_445",0.3648811953735
"Q8IZC4_IDR_476_603",0.313183544095016
"Q8IZC6_IDR_1_36",0.531157976947508
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.485368941840138
"Q8IZJ3_IDR_1758_1835",0.514631058159862
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.526420477669035
"Q8IZL8_IDR_637_1130",0.473579522330965
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.481668354089409
"Q8IZN3_IDR_323_488",0.518331645910591
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.481757999159098
"Q8IZP6_IDR_97_147",0.518242000840902
"Q8IZP7_IDR_1_118",0.516742689169509
"Q8IZP7_IDR_426_459",0.48325731083049
"Q8IZP9_IDR_249_371",0.233335732500777
"Q8IZP9_IDR_39_74",0.272900022368926
"Q8IZU9_IDR_701_778",0.49335648152975
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169335240804558
"Q8IZX4_IDR_1220_1400",0.16966843353516
"Q8IZX4_IDR_1644_1826",0.163341529702619
"Q8IZX4_IDR_268_354",0.175647739072077
"Q8IZX4_IDR_536_578",0.162222599493175
"Q8IZX4_IDR_82_235",0.159784457392411
"Q8IZY2_IDR_1152_1210",0.43185466142699
"Q8IZY2_IDR_2105_2146",0.56814533857301
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.519261989186089
"Q8N0S2_IDR_260_351",0.480738010813911
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.227610183098399
"Q8N0U7_IDR_267_299",0.245383154980814
"Q8N0U7_IDR_37_122",0.272325674186764
"Q8N0U7_IDR_391_467",0.254680987734023
"Q8N103_IDR_1_81",0.451792643095681
"Q8N103_IDR_283_731",0.548207356904319
"Q8N108_IDR_1_176",0.517263943645801
"Q8N108_IDR_344_512",0.482736056354199
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.49322127586669
"Q8N114_IDR_203_240",0.50677872413331
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.507969981728285
"Q8N122_IDR_820_949",0.492030018271715
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.429855466022551
"Q8N128_IDR_68_213",0.57014453397745
"Q8N129_IDR_1_32",0.498720608349001
"Q8N129_IDR_202_248",0.501279391650999
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.347558162759294
"Q8N137_IDR_442_797",0.329257211412113
