"","GO0009889_regulation_of_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.297413383027022
"Q5VUJ6_IDR_1_54",0.510960733358456
"Q5VUJ6_IDR_308_649",0.489039266641544
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.45472576044224
"Q5VV16_IDR_235_409",0.54527423955776
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.41322299371038
"Q5VV42_IDR_499_545",0.58677700628962
"Q5VWN6_IDR_1918_1981",0.167303633491008
"Q5VWN6_IDR_1993_2150",0.184789213569773
"Q5VWN6_IDR_803_1879",0.149351377070715
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.1760770511704
"Q5VWQ0_IDR_63_351",0.537606754183616
"Q5VWQ0_IDR_708_802",0.286316194645984
"Q5VWQ8_IDR_1141_1189",0.35323220593508
"Q5VWQ8_IDR_1_142",0.309617201771745
"Q5VWQ8_IDR_654_1098",0.337150592293175
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.224772259701253
"Q5VZL5_IDR_1_334",0.237459316039431
"Q5VZL5_IDR_640_677",0.182564398594593
"Q5VZL5_IDR_851_997",0.184381643823069
"Q5VZL5_IDR_999_1200",0.170822381841654
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.170121025774501
"Q5VZP5_IDR_45_103",0.18504229444362
"Q5XX13_IDR_168_231",0.429490133825728
"Q5XX13_IDR_693_978",0.570509866174272
"Q5XXA6_IDR_1_48",0.239703287019541
"Q5XXA6_IDR_74_121",0.477298883776766
"Q5XXA6_IDR_945_986",0.282997829203693
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.544827424733245
"Q63HK3_IDR_383_743",0.455172575266755
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.337664351400267
"Q66K14_IDR_944_993",0.318057520914643
"Q66K41_IDR_1_291",0.522608406709923
"Q66K41_IDR_304_345",0.477391593290077
"Q66K64_IDR_1_37",0.511420528883429
"Q66K64_IDR_275_383",0.488579471116571
"Q66K66_IDR_241_349",0.731574743979649
"Q66K66_IDR_32_81",0.268425256020351
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.231695858973454
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.548691864260475
"Q8IU57_IDR_479_520",0.451308135739525
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.497505899388489
"Q8IU81_IDR_56_237",0.502494100611511
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.511093607769015
"Q8IUC6_IDR_634_673",0.488906392230985
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.264759800658973
"Q8IUD2_IDR_621_730",0.207682250974484
"Q8IUD2_IDR_764_839",0.216269007009905
"Q8IUD2_IDR_926_1072",0.311288941356639
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.513213859019991
"Q8IUE0_IDR_1_55",0.486786140980009
"Q8IUE1_IDR_116_241",0.513918721128879
"Q8IUE1_IDR_1_55",0.486081278871121
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.342889389669496
"Q8IUG5_IDR_1_504",0.352385132249443
"Q8IUW5_IDR_126_223",0.271787586167598
"Q8IUW5_IDR_1_54",0.274408338277513
"Q8IUW5_IDR_234_271",0.229763132876969
"Q8IUW5_IDR_91_123",0.22404094267792
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.318439665437596
"Q8IUX7_IDR_1099_1138",0.379568738966046
"Q8IUX7_IDR_44_388",0.301991595596358
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.589459701870123
"Q8IUY3_IDR_182_321",0.410540298129877
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.517579254618695
"Q8IV04_IDR_352_446",0.482420745381305
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.456699878129144
"Q8IV31_IDR_62_184",0.543300121870856
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.265714601341261
"Q8IVE3_IDR_1453_1493",0.273321823777202
"Q8IVE3_IDR_36_69",0.237547327584787
"Q8IVE3_IDR_71_132",0.22341624729675
"Q8IVF1_IDR_14_81",0.197519887128119
"Q8IVF1_IDR_232_366",0.187443025009724
"Q8IVF1_IDR_407_522",0.204418015331498
"Q8IVF1_IDR_525_878",0.206849402843173
"Q8IVF1_IDR_83_205",0.203769669687485
"Q8IVF2_IDR_1_114",0.281013777885238
"Q8IVF2_IDR_1794_5795",0.372882490021475
"Q8IVF2_IDR_195_1792",0.346103732093287
"Q8IVF4_IDR_156_187",0.537295960668331
"Q8IVF4_IDR_1_66",0.462704039331669
"Q8IVF5_IDR_1017_1093",0.217058984040224
"Q8IVF5_IDR_1461_1667",0.257482386921964
"Q8IVF5_IDR_1_498",0.330060940724697
"Q8IVF5_IDR_749_804",0.195397688313115
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.293242199341223
"Q8IVW6_IDR_319_491",0.338386813912645
"Q8IVW6_IDR_516_561",0.368370986746132
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.40186509457952
"Q8IW35_IDR_575_628",0.300549371848304
"Q8IW35_IDR_633_854",0.297585533572176
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.52034431182881
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.5550600121587
"Q8IWE2_IDR_404_437",0.4449399878413
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.488247070752155
"Q8IWF9_IDR_234_348",0.511752929247845
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104361007015832
"Q8IWI9_IDR_1340_1371",0.106941853226408
"Q8IWI9_IDR_1398_1903",0.113723057278442
"Q8IWI9_IDR_1905_2856",0.124100758003132
"Q8IWI9_IDR_261_649",0.141824796701227
"Q8IWI9_IDR_2974_3016",0.102060773610672
"Q8IWI9_IDR_3020_3065",0.117942305760426
"Q8IWI9_IDR_681_751",0.102277121818459
"Q8IWI9_IDR_753_1079",0.0867683265854017
"Q8IWJ2_IDR_1_69",0.27726880994951
"Q8IWT3_IDR_1658_1690",0.223602115280397
"Q8IWT3_IDR_2437_2517",0.195766968285159
"Q8IWT6_IDR_180_231",0.481037764573754
"Q8IWT6_IDR_62_95",0.518962235426246
"Q8IWU2_IDR_1_101",0.251504804025973
"Q8IWU2_IDR_1377_1415",0.276692141230412
"Q8IWU2_IDR_1426_1459",0.227984090031689
"Q8IWU2_IDR_557_1314",0.243818964711926
"Q8IWU5_IDR_1_40",0.225441738617642
"Q8IWU5_IDR_557_594",0.238397491739102
"Q8IWU5_IDR_648_718",0.232454899259473
"Q8IWU5_IDR_824_860",0.303705870383783
"Q8IWU6_IDR_1_37",0.24347218963136
"Q8IWU6_IDR_510_543",0.279504737816737
"Q8IWU6_IDR_561_610",0.253422054430878
"Q8IWU6_IDR_666_738",0.223601018121026
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.297004297596357
"Q8IWV1_IDR_178_270",0.32107656976914
"Q8IWV1_IDR_295_398",0.381919132634503
"Q8IX03_IDR_790_917",0.232862457738583
"Q8IX03_IDR_945_991",0.265532167516267
"Q8IX07_IDR_1_83",0.190664598345156
"Q8IX07_IDR_194_247",0.20980415270363
"Q8IX07_IDR_266_972",0.599531248951214
"Q8IX12_IDR_212_357",0.133056366516592
"Q8IX12_IDR_599_722",0.166466044618844
"Q8IX12_IDR_793_917",0.171288509283829
"Q8IX12_IDR_9_144",0.342053073499277
"Q8IX12_IDR_981_1021",0.187136006081458
"Q8IX15_IDR_125_364",0.365638000748999
"Q8IX15_IDR_1_38",0.224578545931523
"Q8IX15_IDR_420_461",0.215569156964655
"Q8IX15_IDR_504_550",0.194214296354823
"Q8IX18_IDR_1_50",0.513348070179812
"Q8IX18_IDR_706_779",0.486651929820188
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.529534485132727
"Q8IX29_IDR_239_292",0.470465514867273
"Q8IXP5_IDR_108_216",0.555158543631122
"Q8IXP5_IDR_1_106",0.444841456368878
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.425451387153761
"Q8IXQ8_IDR_211_264",0.574548612846239
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.316199741827821
"Q8IXT5_IDR_485_921",0.362812192072908
"Q8IXT5_IDR_89_151",0.320988066099272
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333574264989234
"Q8IXW0_IDR_176_344",0.359792688685408
"Q8IXW0_IDR_466_587",0.306633046325359
"Q8IXW5_IDR_1_41",0.48034349451789
"Q8IXW5_IDR_171_324",0.51965650548211
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.582206400813455
"Q8IY63_IDR_493_952",0.417793599186545
"Q8IY67_IDR_1_35",0.405269945443924
"Q8IY67_IDR_349_606",0.594730054556076
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.516560934128057
"Q8IY84_IDR_7_44",0.483439065871943
"Q8IY85_IDR_375_441",0.464989666402674
"Q8IY85_IDR_77_146",0.535010333597326
"Q8IY92_IDR_1_50",0.178866236187272
"Q8IY92_IDR_377_470",0.150684525045102
"Q8IY92_IDR_558_613",0.17661538590791
"Q8IY92_IDR_630_669",0.161697492329633
"Q8IY92_IDR_64_289",0.154191294958112
"Q8IY92_IDR_824_1750",0.177945065571971
"Q8IYE1_IDR_684_715",0.539466088103043
"Q8IYF1_IDR_647_753",0.424615588433078
"Q8IYF1_IDR_79_458",0.575384411566922
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.339525708475025
"Q8IYH5_IDR_573_649",0.33961968224841
"Q8IYH5_IDR_714_786",0.320854609276565
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.527567961670863
"Q8IYI6_IDR_287_328",0.472432038329137
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244940836517462
"Q8IYJ0_IDR_112_175",0.246009396486859
"Q8IYJ0_IDR_204_238",0.248353216782831
"Q8IYJ0_IDR_240_282",0.260696550212848
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.442505471536512
"Q8IYK4_IDR_584_626",0.557494528463488
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.177942856083263
"Q8IYW2_IDR_1347_1410",0.157006559813328
"Q8IYW2_IDR_1985_2022",0.162114567838319
"Q8IYW2_IDR_2287_2320",0.163115945308822
"Q8IYW2_IDR_2540_2579",0.160160971782385
"Q8IYW2_IDR_2630_2661",0.179659099173883
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.487431297415148
"Q8IZ41_IDR_77_124",0.512568702584852
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326298478184593
"Q8IZ63_IDR_360_422",0.312561351347066
"Q8IZ63_IDR_87_332",0.361140170468341
"Q8IZ69_IDR_1_56",0.471315209922416
"Q8IZ69_IDR_591_625",0.528684790077584
"Q8IZ73_IDR_31_122",0.448141239540214
"Q8IZ73_IDR_421_495",0.551858760459786
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.344553518575416
"Q8IZA0_IDR_201_244",0.355410840999445
"Q8IZA0_IDR_957_1015",0.300035640425138
"Q8IZA3_IDR_114_346",0.462330664967642
"Q8IZA3_IDR_1_50",0.537669335032358
"Q8IZC4_IDR_185_221",0.314084949695234
"Q8IZC4_IDR_409_445",0.319086484306806
"Q8IZC4_IDR_476_603",0.366828565997959
"Q8IZC6_IDR_1_36",0.477952293507837
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.507971013895151
"Q8IZJ3_IDR_1758_1835",0.492028986104849
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.470270366075809
"Q8IZL8_IDR_637_1130",0.529729633924191
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.362671401389752
"Q8IZN3_IDR_323_488",0.637328598610248
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.517531911654308
"Q8IZP6_IDR_97_147",0.482468088345692
"Q8IZP7_IDR_1_118",0.500097396336783
"Q8IZP7_IDR_426_459",0.499902603663217
"Q8IZP9_IDR_249_371",0.28121899912964
"Q8IZP9_IDR_39_74",0.260707883038147
"Q8IZU9_IDR_701_778",0.368557743940667
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163951069809516
"Q8IZX4_IDR_1220_1400",0.160079705731893
"Q8IZX4_IDR_1644_1826",0.159377310512888
"Q8IZX4_IDR_268_354",0.152894745733951
"Q8IZX4_IDR_536_578",0.220696883017459
"Q8IZX4_IDR_82_235",0.143000285194294
"Q8IZY2_IDR_1152_1210",0.520036873175646
"Q8IZY2_IDR_2105_2146",0.479963126824354
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.463045954726767
"Q8N0S2_IDR_260_351",0.536954045273233
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.227357150011811
"Q8N0U7_IDR_267_299",0.234589114854748
"Q8N0U7_IDR_37_122",0.293787641774026
"Q8N0U7_IDR_391_467",0.244266093359414
"Q8N103_IDR_1_81",0.486903394343762
"Q8N103_IDR_283_731",0.513096605656238
"Q8N108_IDR_1_176",0.346402704453327
"Q8N108_IDR_344_512",0.653597295546673
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.506355902896524
"Q8N114_IDR_203_240",0.493644097103476
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.427464584417417
"Q8N122_IDR_820_949",0.572535415582583
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.432033344090168
"Q8N128_IDR_68_213",0.567966655909832
"Q8N129_IDR_1_32",0.455116970334244
"Q8N129_IDR_202_248",0.544883029665756
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.29516518152759
