"","GO0032774_RNA_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.28225100998194
"Q5VUJ6_IDR_1_54",0.499455456265733
"Q5VUJ6_IDR_308_649",0.500544543734267
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.433231875386438
"Q5VV16_IDR_235_409",0.566768124613562
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.398767497972827
"Q5VV42_IDR_499_545",0.601232502027173
"Q5VWN6_IDR_1918_1981",0.167139309598173
"Q5VWN6_IDR_1993_2150",0.183514904933784
"Q5VWN6_IDR_803_1879",0.150641324179275
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.160128717868382
"Q5VWQ0_IDR_63_351",0.550816457075542
"Q5VWQ0_IDR_708_802",0.289054825056076
"Q5VWQ8_IDR_1141_1189",0.353816722064432
"Q5VWQ8_IDR_1_142",0.318175361226543
"Q5VWQ8_IDR_654_1098",0.328007916709025
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.226739541545624
"Q5VZL5_IDR_1_334",0.254251560150592
"Q5VZL5_IDR_640_677",0.174028265497825
"Q5VZL5_IDR_851_997",0.179476141194654
"Q5VZL5_IDR_999_1200",0.165504491611305
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.181588174916589
"Q5VZP5_IDR_45_103",0.18635795340424
"Q5XX13_IDR_168_231",0.421616917488564
"Q5XX13_IDR_693_978",0.578383082511436
"Q5XXA6_IDR_1_48",0.238665887854021
"Q5XXA6_IDR_74_121",0.483103611830189
"Q5XXA6_IDR_945_986",0.27823050031579
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.541349930899753
"Q63HK3_IDR_383_743",0.458650069100247
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.340308359080198
"Q66K14_IDR_944_993",0.317807417466368
"Q66K41_IDR_1_291",0.519479931155882
"Q66K41_IDR_304_345",0.480520068844118
"Q66K64_IDR_1_37",0.517784985664787
"Q66K64_IDR_275_383",0.482215014335213
"Q66K66_IDR_241_349",0.73387863609726
"Q66K66_IDR_32_81",0.26612136390274
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.22272388514578
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.53570211063195
"Q8IU57_IDR_479_520",0.46429788936805
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.504488833341313
"Q8IU81_IDR_56_237",0.495511166658687
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.512000120105134
"Q8IUC6_IDR_634_673",0.487999879894866
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.254240046034246
"Q8IUD2_IDR_621_730",0.202406234031562
"Q8IUD2_IDR_764_839",0.209727808070028
"Q8IUD2_IDR_926_1072",0.333625911864164
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.516743728843893
"Q8IUE0_IDR_1_55",0.483256271156107
"Q8IUE1_IDR_116_241",0.516270105149599
"Q8IUE1_IDR_1_55",0.483729894850401
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.338404369373776
"Q8IUG5_IDR_1_504",0.351061004399641
"Q8IUW5_IDR_126_223",0.272599356245862
"Q8IUW5_IDR_1_54",0.268950331699107
"Q8IUW5_IDR_234_271",0.237757124382101
"Q8IUW5_IDR_91_123",0.22069318767293
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.310766004370723
"Q8IUX7_IDR_1099_1138",0.391565152321386
"Q8IUX7_IDR_44_388",0.29766884330789
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.5991675922828
"Q8IUY3_IDR_182_321",0.4008324077172
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.514481996351351
"Q8IV04_IDR_352_446",0.485518003648649
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.47213683468752
"Q8IV31_IDR_62_184",0.52786316531248
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.24957409085847
"Q8IVE3_IDR_1453_1493",0.288288066599246
"Q8IVE3_IDR_36_69",0.240053933962604
"Q8IVE3_IDR_71_132",0.22208390857968
"Q8IVF1_IDR_14_81",0.194807080703949
"Q8IVF1_IDR_232_366",0.181635607012677
"Q8IVF1_IDR_407_522",0.205604444252495
"Q8IVF1_IDR_525_878",0.212900652263585
"Q8IVF1_IDR_83_205",0.205052215767294
"Q8IVF2_IDR_1_114",0.254304101334736
"Q8IVF2_IDR_1794_5795",0.399456658724075
"Q8IVF2_IDR_195_1792",0.346239239941189
"Q8IVF4_IDR_156_187",0.536898114776957
"Q8IVF4_IDR_1_66",0.463101885223043
"Q8IVF5_IDR_1017_1093",0.21662086584334
"Q8IVF5_IDR_1461_1667",0.263917353142734
"Q8IVF5_IDR_1_498",0.330255814997033
"Q8IVF5_IDR_749_804",0.189205966016893
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.307224234753731
"Q8IVW6_IDR_319_491",0.327287859027096
"Q8IVW6_IDR_516_561",0.365487906219172
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.418947496969223
"Q8IW35_IDR_575_628",0.298810638929055
"Q8IW35_IDR_633_854",0.282241864101722
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.523702780298414
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.545925844812923
"Q8IWE2_IDR_404_437",0.454074155187077
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.485090059393571
"Q8IWF9_IDR_234_348",0.514909940606429
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.107790493944758
"Q8IWI9_IDR_1340_1371",0.105059932306825
"Q8IWI9_IDR_1398_1903",0.108286113522517
"Q8IWI9_IDR_1905_2856",0.123615887211903
"Q8IWI9_IDR_261_649",0.154877275696989
"Q8IWI9_IDR_2974_3016",0.101925038266213
"Q8IWI9_IDR_3020_3065",0.113657031574713
"Q8IWI9_IDR_681_751",0.102509945294836
"Q8IWI9_IDR_753_1079",0.0822782821812454
"Q8IWJ2_IDR_1_69",0.262334458630158
"Q8IWT3_IDR_1658_1690",0.219825222103054
"Q8IWT3_IDR_2437_2517",0.198884454456567
"Q8IWT6_IDR_180_231",0.481236925763135
"Q8IWT6_IDR_62_95",0.518763074236865
"Q8IWU2_IDR_1_101",0.251939436601021
"Q8IWU2_IDR_1377_1415",0.274430907488391
"Q8IWU2_IDR_1426_1459",0.228780429854521
"Q8IWU2_IDR_557_1314",0.244849226056067
"Q8IWU5_IDR_1_40",0.225790944999155
"Q8IWU5_IDR_557_594",0.241600412910313
"Q8IWU5_IDR_648_718",0.226535929713404
"Q8IWU5_IDR_824_860",0.306072712377128
"Q8IWU6_IDR_1_37",0.245537582488013
"Q8IWU6_IDR_510_543",0.281333660401243
"Q8IWU6_IDR_561_610",0.256689920235447
"Q8IWU6_IDR_666_738",0.216438836875297
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.297640345054515
"Q8IWV1_IDR_178_270",0.311145926205617
"Q8IWV1_IDR_295_398",0.391213728739868
"Q8IX03_IDR_790_917",0.230112624610302
"Q8IX03_IDR_945_991",0.267477180041217
"Q8IX07_IDR_1_83",0.171102084723781
"Q8IX07_IDR_194_247",0.192840605144586
"Q8IX07_IDR_266_972",0.636057310131634
"Q8IX12_IDR_212_357",0.127922175076109
"Q8IX12_IDR_599_722",0.170360616206792
"Q8IX12_IDR_793_917",0.176643110418771
"Q8IX12_IDR_9_144",0.338381093998902
"Q8IX12_IDR_981_1021",0.186693004299426
"Q8IX15_IDR_125_364",0.378788939956897
"Q8IX15_IDR_1_38",0.2185014742185
"Q8IX15_IDR_420_461",0.209094464885328
"Q8IX15_IDR_504_550",0.193615120939274
"Q8IX18_IDR_1_50",0.513787383618023
"Q8IX18_IDR_706_779",0.486212616381977
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.539691509668013
"Q8IX29_IDR_239_292",0.460308490331987
"Q8IXP5_IDR_108_216",0.552471090288597
"Q8IXP5_IDR_1_106",0.447528909711403
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.433413351103336
"Q8IXQ8_IDR_211_264",0.566586648896664
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.312199832196635
"Q8IXT5_IDR_485_921",0.365720452321901
"Q8IXT5_IDR_89_151",0.322079715481464
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.33544924558944
"Q8IXW0_IDR_176_344",0.356209485259791
"Q8IXW0_IDR_466_587",0.308341269150769
"Q8IXW5_IDR_1_41",0.497618832675388
"Q8IXW5_IDR_171_324",0.502381167324612
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.574072192408828
"Q8IY63_IDR_493_952",0.425927807591172
"Q8IY67_IDR_1_35",0.443664900909676
"Q8IY67_IDR_349_606",0.556335099090324
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.519526750925461
"Q8IY84_IDR_7_44",0.480473249074539
"Q8IY85_IDR_375_441",0.463795141642039
"Q8IY85_IDR_77_146",0.536204858357961
"Q8IY92_IDR_1_50",0.175927820505851
"Q8IY92_IDR_377_470",0.144347616796552
"Q8IY92_IDR_558_613",0.17329616109527
"Q8IY92_IDR_630_669",0.165441248766969
"Q8IY92_IDR_64_289",0.147071409779303
"Q8IY92_IDR_824_1750",0.193915743056056
"Q8IYE1_IDR_684_715",0.553955628418743
"Q8IYF1_IDR_647_753",0.413922738506658
"Q8IYF1_IDR_79_458",0.586077261493342
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.349302676481304
"Q8IYH5_IDR_573_649",0.325513112383401
"Q8IYH5_IDR_714_786",0.325184211135295
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.520835266014147
"Q8IYI6_IDR_287_328",0.479164733985853
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.243273747507282
"Q8IYJ0_IDR_112_175",0.242107905681285
"Q8IYJ0_IDR_204_238",0.242540674204528
"Q8IYJ0_IDR_240_282",0.272077672606905
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.451442036296402
"Q8IYK4_IDR_584_626",0.548557963703598
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.182071238221786
"Q8IYW2_IDR_1347_1410",0.157568781202195
"Q8IYW2_IDR_1985_2022",0.159767987689695
"Q8IYW2_IDR_2287_2320",0.162560742665348
"Q8IYW2_IDR_2540_2579",0.158814675595978
"Q8IYW2_IDR_2630_2661",0.179216574624999
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.47992763518187
"Q8IZ41_IDR_77_124",0.520072364818131
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.324388005988896
"Q8IZ63_IDR_360_422",0.315396793102216
"Q8IZ63_IDR_87_332",0.360215200908888
"Q8IZ69_IDR_1_56",0.469059264121634
"Q8IZ69_IDR_591_625",0.530940735878366
"Q8IZ73_IDR_31_122",0.448648698690216
"Q8IZ73_IDR_421_495",0.551351301309784
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.338109629615079
"Q8IZA0_IDR_201_244",0.357028288853139
"Q8IZA0_IDR_957_1015",0.304862081531782
"Q8IZA3_IDR_114_346",0.464728687338044
"Q8IZA3_IDR_1_50",0.535271312661956
"Q8IZC4_IDR_185_221",0.317511256561147
"Q8IZC4_IDR_409_445",0.322856248029368
"Q8IZC4_IDR_476_603",0.359632495409485
"Q8IZC6_IDR_1_36",0.468509153900228
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.502521980957444
"Q8IZJ3_IDR_1758_1835",0.497478019042556
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.461818527351072
"Q8IZL8_IDR_637_1130",0.538181472648928
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.345419958572038
"Q8IZN3_IDR_323_488",0.654580041427962
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.5060460854142
"Q8IZP6_IDR_97_147",0.4939539145858
"Q8IZP7_IDR_1_118",0.514476093354587
"Q8IZP7_IDR_426_459",0.485523906645413
"Q8IZP9_IDR_249_371",0.284625582405804
"Q8IZP9_IDR_39_74",0.255235402664732
"Q8IZU9_IDR_701_778",0.358820191348971
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.157525000387929
"Q8IZX4_IDR_1220_1400",0.158391222408066
"Q8IZX4_IDR_1644_1826",0.157649488867872
"Q8IZX4_IDR_268_354",0.147748260728823
"Q8IZX4_IDR_536_578",0.233756829207157
"Q8IZX4_IDR_82_235",0.144929198400153
"Q8IZY2_IDR_1152_1210",0.518407293480074
"Q8IZY2_IDR_2105_2146",0.481592706519926
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.452224783001673
"Q8N0S2_IDR_260_351",0.547775216998327
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.226077279521222
"Q8N0U7_IDR_267_299",0.228179610159967
"Q8N0U7_IDR_37_122",0.298369875449122
"Q8N0U7_IDR_391_467",0.247373234869689
"Q8N103_IDR_1_81",0.487425656682953
"Q8N103_IDR_283_731",0.512574343317047
"Q8N108_IDR_1_176",0.341908704604062
"Q8N108_IDR_344_512",0.658091295395938
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.50269365990666
"Q8N114_IDR_203_240",0.49730634009334
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.430954457664805
"Q8N122_IDR_820_949",0.569045542335195
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.426297021588537
"Q8N128_IDR_68_213",0.573702978411462
"Q8N129_IDR_1_32",0.457786233680153
"Q8N129_IDR_202_248",0.542213766319847
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.292140427171613
