"","GO0000278_mitotic_cell_cycle"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.322333672380974
"Q5VUJ6_IDR_1_54",0.482047082378588
"Q5VUJ6_IDR_308_649",0.517952917621412
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.509013116141023
"Q5VV16_IDR_235_409",0.490986883858977
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.529084779940439
"Q5VV42_IDR_499_545",0.470915220059561
"Q5VWN6_IDR_1918_1981",0.130999589102519
"Q5VWN6_IDR_1993_2150",0.135038335525925
"Q5VWN6_IDR_803_1879",0.196858550832044
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.272040280887818
"Q5VWQ0_IDR_63_351",0.448648143455744
"Q5VWQ0_IDR_708_802",0.279311575656438
"Q5VWQ8_IDR_1141_1189",0.319720466369051
"Q5VWQ8_IDR_1_142",0.356775073775944
"Q5VWQ8_IDR_654_1098",0.323504459855004
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199138224268507
"Q5VZL5_IDR_1_334",0.209982846532181
"Q5VZL5_IDR_640_677",0.195637572526361
"Q5VZL5_IDR_851_997",0.187599621172736
"Q5VZL5_IDR_999_1200",0.207641735500214
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163293122907321
"Q5VZP5_IDR_45_103",0.161783018536253
"Q5XX13_IDR_168_231",0.52633277711566
"Q5XX13_IDR_693_978",0.47366722288434
"Q5XXA6_IDR_1_48",0.340647288175533
"Q5XXA6_IDR_74_121",0.326231522035668
"Q5XXA6_IDR_945_986",0.333121189788798
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.492592696579577
"Q63HK3_IDR_383_743",0.507407303420423
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338935927086376
"Q66K14_IDR_944_993",0.335837687422597
"Q66K41_IDR_1_291",0.568801602749963
"Q66K41_IDR_304_345",0.431198397250037
"Q66K64_IDR_1_37",0.517441962758768
"Q66K64_IDR_275_383",0.482558037241232
"Q66K66_IDR_241_349",0.510697573026554
"Q66K66_IDR_32_81",0.489302426973446
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.238087270129086
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.518470208214469
"Q8IU57_IDR_479_520",0.481529791785531
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.500584419010581
"Q8IU81_IDR_56_237",0.499415580989419
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.532002012972441
"Q8IUC6_IDR_634_673",0.467997987027559
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.22607757106737
"Q8IUD2_IDR_621_730",0.267288010893808
"Q8IUD2_IDR_764_839",0.254552073376666
"Q8IUD2_IDR_926_1072",0.252082344662157
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.483382436813552
"Q8IUE0_IDR_1_55",0.516617563186448
"Q8IUE1_IDR_116_241",0.481404940175724
"Q8IUE1_IDR_1_55",0.518595059824276
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.329550705202394
"Q8IUG5_IDR_1_504",0.304175387169261
"Q8IUW5_IDR_126_223",0.257041819484183
"Q8IUW5_IDR_1_54",0.2185485407091
"Q8IUW5_IDR_234_271",0.274847151344533
"Q8IUW5_IDR_91_123",0.249562488462184
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.336612340834564
"Q8IUX7_IDR_1099_1138",0.325818676245968
"Q8IUX7_IDR_44_388",0.337568982919468
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.490930795411329
"Q8IUY3_IDR_182_321",0.509069204588671
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.512673204425632
"Q8IV04_IDR_352_446",0.487326795574368
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.497353306967735
"Q8IV31_IDR_62_184",0.502646693032265
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.248334529173662
"Q8IVE3_IDR_1453_1493",0.247193176713704
"Q8IVE3_IDR_36_69",0.253971975818783
"Q8IVE3_IDR_71_132",0.25050031829385
"Q8IVF1_IDR_14_81",0.197360841721671
"Q8IVF1_IDR_232_366",0.193584648838592
"Q8IVF1_IDR_407_522",0.195987067718754
"Q8IVF1_IDR_525_878",0.221908617240115
"Q8IVF1_IDR_83_205",0.191158824480868
"Q8IVF2_IDR_1_114",0.302049113519571
"Q8IVF2_IDR_1794_5795",0.345852166555172
"Q8IVF2_IDR_195_1792",0.352098719925256
"Q8IVF4_IDR_156_187",0.499737252224276
"Q8IVF4_IDR_1_66",0.500262747775724
"Q8IVF5_IDR_1017_1093",0.238042543362026
"Q8IVF5_IDR_1461_1667",0.29600274310508
"Q8IVF5_IDR_1_498",0.232983480718892
"Q8IVF5_IDR_749_804",0.232971232814002
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.350783561974633
"Q8IVW6_IDR_319_491",0.336749816613684
"Q8IVW6_IDR_516_561",0.312466621411683
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.372858151052239
"Q8IW35_IDR_575_628",0.269393787971893
"Q8IW35_IDR_633_854",0.357748060975868
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.49483735392206
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.497468318564083
"Q8IWE2_IDR_404_437",0.502531681435917
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.486426160793404
"Q8IWF9_IDR_234_348",0.513573839206596
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.115566606556687
"Q8IWI9_IDR_1340_1371",0.101921270423147
"Q8IWI9_IDR_1398_1903",0.108151153424967
"Q8IWI9_IDR_1905_2856",0.159689702787758
"Q8IWI9_IDR_261_649",0.108866030026143
"Q8IWI9_IDR_2974_3016",0.095672998406781
"Q8IWI9_IDR_3020_3065",0.0990779527582413
"Q8IWI9_IDR_681_751",0.100594934991565
"Q8IWI9_IDR_753_1079",0.110459350624711
"Q8IWJ2_IDR_1_69",0.320343643656485
"Q8IWT3_IDR_1658_1690",0.248553520365953
"Q8IWT3_IDR_2437_2517",0.255554837598475
"Q8IWT6_IDR_180_231",0.464861123890585
"Q8IWT6_IDR_62_95",0.535138876109415
"Q8IWU2_IDR_1_101",0.23328228954551
"Q8IWU2_IDR_1377_1415",0.233362879790204
"Q8IWU2_IDR_1426_1459",0.227247263947917
"Q8IWU2_IDR_557_1314",0.306107566716369
"Q8IWU5_IDR_1_40",0.251565804768471
"Q8IWU5_IDR_557_594",0.248082565053357
"Q8IWU5_IDR_648_718",0.255072198994949
"Q8IWU5_IDR_824_860",0.245279431183222
"Q8IWU6_IDR_1_37",0.250773415936622
"Q8IWU6_IDR_510_543",0.247361070942754
"Q8IWU6_IDR_561_610",0.243611984286566
"Q8IWU6_IDR_666_738",0.258253528834057
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.337544840074903
"Q8IWV1_IDR_178_270",0.34289843423839
"Q8IWV1_IDR_295_398",0.319556725686707
"Q8IX03_IDR_790_917",0.259281878178129
"Q8IX03_IDR_945_991",0.250146891632387
"Q8IX07_IDR_1_83",0.362506789876232
"Q8IX07_IDR_194_247",0.337931794756409
"Q8IX07_IDR_266_972",0.299561415367358
"Q8IX12_IDR_212_357",0.249602983615497
"Q8IX12_IDR_599_722",0.186397818519547
"Q8IX12_IDR_793_917",0.20146814168308
"Q8IX12_IDR_9_144",0.174808825492254
"Q8IX12_IDR_981_1021",0.187722230689622
"Q8IX15_IDR_125_364",0.262343139511503
"Q8IX15_IDR_1_38",0.260116510344397
"Q8IX15_IDR_420_461",0.239801838613411
"Q8IX15_IDR_504_550",0.237738511530689
"Q8IX18_IDR_1_50",0.483020108460671
"Q8IX18_IDR_706_779",0.516979891539329
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.507797520756508
"Q8IX29_IDR_239_292",0.492202479243492
"Q8IXP5_IDR_108_216",0.517014741104002
"Q8IXP5_IDR_1_106",0.482985258895998
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.522588165064119
"Q8IXQ8_IDR_211_264",0.477411834935881
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.420715116338554
"Q8IXT5_IDR_485_921",0.281629544874175
"Q8IXT5_IDR_89_151",0.29765533878727
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.306213066050315
"Q8IXW0_IDR_176_344",0.318180211611447
"Q8IXW0_IDR_466_587",0.375606722338238
"Q8IXW5_IDR_1_41",0.502176098416308
"Q8IXW5_IDR_171_324",0.497823901583692
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.468333098064235
"Q8IY63_IDR_493_952",0.531666901935765
"Q8IY67_IDR_1_35",0.548970654390882
"Q8IY67_IDR_349_606",0.451029345609118
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.494875725922072
"Q8IY84_IDR_7_44",0.505124274077928
"Q8IY85_IDR_375_441",0.494814689179818
"Q8IY85_IDR_77_146",0.505185310820182
"Q8IY92_IDR_1_50",0.146554908354627
"Q8IY92_IDR_377_470",0.148634827759835
"Q8IY92_IDR_558_613",0.137635037599392
"Q8IY92_IDR_630_669",0.141940943651679
"Q8IY92_IDR_64_289",0.18065657401682
"Q8IY92_IDR_824_1750",0.244577708617648
"Q8IYE1_IDR_684_715",0.518867498482978
"Q8IYF1_IDR_647_753",0.467022207537628
"Q8IYF1_IDR_79_458",0.532977792462371
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.496086645746522
"Q8IYH5_IDR_573_649",0.253690722109877
"Q8IYH5_IDR_714_786",0.2502226321436
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.441433647929869
"Q8IYI6_IDR_287_328",0.558566352070131
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245101768849266
"Q8IYJ0_IDR_112_175",0.247512604721261
"Q8IYJ0_IDR_204_238",0.254084821721131
"Q8IYJ0_IDR_240_282",0.253300804708342
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.504349476256763
"Q8IYK4_IDR_584_626",0.495650523743237
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.168001657961544
"Q8IYW2_IDR_1347_1410",0.158061305362978
"Q8IYW2_IDR_1985_2022",0.172120344159595
"Q8IYW2_IDR_2287_2320",0.165807117328514
"Q8IYW2_IDR_2540_2579",0.167086618603582
"Q8IYW2_IDR_2630_2661",0.168922956583787
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.522619945508631
"Q8IZ41_IDR_77_124",0.477380054491369
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.342706747780816
"Q8IZ63_IDR_360_422",0.343237457632991
"Q8IZ63_IDR_87_332",0.314055794586193
"Q8IZ69_IDR_1_56",0.494518241399013
"Q8IZ69_IDR_591_625",0.505481758600987
"Q8IZ73_IDR_31_122",0.504216099038535
"Q8IZ73_IDR_421_495",0.495783900961465
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.314896535305668
"Q8IZA0_IDR_201_244",0.338729983948355
"Q8IZA0_IDR_957_1015",0.346373480745978
"Q8IZA3_IDR_114_346",0.514155130035518
"Q8IZA3_IDR_1_50",0.485844869964481
"Q8IZC4_IDR_185_221",0.305115777639591
"Q8IZC4_IDR_409_445",0.289894216356691
"Q8IZC4_IDR_476_603",0.404990006003718
"Q8IZC6_IDR_1_36",0.512985912012606
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.520405499600575
"Q8IZJ3_IDR_1758_1835",0.479594500399425
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.518290343785862
"Q8IZL8_IDR_637_1130",0.481709656214138
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.550571544091569
"Q8IZN3_IDR_323_488",0.449428455908431
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.517174585280735
"Q8IZP6_IDR_97_147",0.482825414719265
"Q8IZP7_IDR_1_118",0.543041785437357
"Q8IZP7_IDR_426_459",0.456958214562643
"Q8IZP9_IDR_249_371",0.256896134123881
"Q8IZP9_IDR_39_74",0.25822979574213
"Q8IZU9_IDR_701_778",0.503433977239271
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.143754011345704
"Q8IZX4_IDR_1220_1400",0.148167560827036
"Q8IZX4_IDR_1644_1826",0.16399604848432
"Q8IZX4_IDR_268_354",0.159502850442404
"Q8IZX4_IDR_536_578",0.239579747100572
"Q8IZX4_IDR_82_235",0.144999781799964
"Q8IZY2_IDR_1152_1210",0.504486586906397
"Q8IZY2_IDR_2105_2146",0.495513413093603
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.496970005075655
"Q8N0S2_IDR_260_351",0.503029994924345
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.256961367845933
"Q8N0U7_IDR_267_299",0.248314189344885
"Q8N0U7_IDR_37_122",0.243218250699841
"Q8N0U7_IDR_391_467",0.251506192109342
"Q8N103_IDR_1_81",0.450249175547876
"Q8N103_IDR_283_731",0.549750824452124
"Q8N108_IDR_1_176",0.492501111859781
"Q8N108_IDR_344_512",0.507498888140219
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.505619433315807
"Q8N114_IDR_203_240",0.494380566684193
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.512576631999741
"Q8N122_IDR_820_949",0.487423368000259
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.500005095531818
"Q8N128_IDR_68_213",0.499994904468182
"Q8N129_IDR_1_32",0.513571795642021
"Q8N129_IDR_202_248",0.486428204357979
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.350163653679517
