"","GO0005525_GTP_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.336281971001713
"Q5VUJ6_IDR_1_54",0.501525228972797
"Q5VUJ6_IDR_308_649",0.498474771027203
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.49743376554863
"Q5VV16_IDR_235_409",0.50256623445137
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.537352320011435
"Q5VV42_IDR_499_545",0.462647679988565
"Q5VWN6_IDR_1918_1981",0.165589896808023
"Q5VWN6_IDR_1993_2150",0.166587279971994
"Q5VWN6_IDR_803_1879",0.160038959038672
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.342225100939281
"Q5VWQ0_IDR_63_351",0.31637610589299
"Q5VWQ0_IDR_708_802",0.341398793167729
"Q5VWQ8_IDR_1141_1189",0.3357424967709
"Q5VWQ8_IDR_1_142",0.345199525871188
"Q5VWQ8_IDR_654_1098",0.319057977357913
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.201762215739011
"Q5VZL5_IDR_1_334",0.197276982553965
"Q5VZL5_IDR_640_677",0.197878653967001
"Q5VZL5_IDR_851_997",0.205323199552586
"Q5VZL5_IDR_999_1200",0.197758948187437
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162020522888628
"Q5VZP5_IDR_45_103",0.159184625957049
"Q5XX13_IDR_168_231",0.490084530667546
"Q5XX13_IDR_693_978",0.509915469332454
"Q5XXA6_IDR_1_48",0.332159223194564
"Q5XXA6_IDR_74_121",0.328128706026374
"Q5XXA6_IDR_945_986",0.339712070779061
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.525987620426485
"Q63HK3_IDR_383_743",0.474012379573515
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.32690877931662
"Q66K14_IDR_944_993",0.324786594659644
"Q66K41_IDR_1_291",0.480919457270403
"Q66K41_IDR_304_345",0.519080542729597
"Q66K64_IDR_1_37",0.501076580692454
"Q66K64_IDR_275_383",0.498923419307546
"Q66K66_IDR_241_349",0.48507012680763
"Q66K66_IDR_32_81",0.51492987319237
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.250845748775314
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.510360083996028
"Q8IU57_IDR_479_520",0.489639916003972
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.506841934815969
"Q8IU81_IDR_56_237",0.493158065184031
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.525919265971999
"Q8IUC6_IDR_634_673",0.474080734028001
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.235124014908879
"Q8IUD2_IDR_621_730",0.255959667641554
"Q8IUD2_IDR_764_839",0.254561055586186
"Q8IUD2_IDR_926_1072",0.254355261863381
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.502917721079357
"Q8IUE0_IDR_1_55",0.497082278920643
"Q8IUE1_IDR_116_241",0.493681131525538
"Q8IUE1_IDR_1_55",0.506318868474462
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.317990448914446
"Q8IUG5_IDR_1_504",0.301046127108044
"Q8IUW5_IDR_126_223",0.246211931546685
"Q8IUW5_IDR_1_54",0.223263505753918
"Q8IUW5_IDR_234_271",0.310208337695027
"Q8IUW5_IDR_91_123",0.22031622500437
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.34604406907624
"Q8IUX7_IDR_1099_1138",0.335733939995133
"Q8IUX7_IDR_44_388",0.318221990928627
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.497046517100128
"Q8IUY3_IDR_182_321",0.502953482899872
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.478079210326274
"Q8IV04_IDR_352_446",0.521920789673726
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.438973940389535
"Q8IV31_IDR_62_184",0.561026059610464
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.276846306625169
"Q8IVE3_IDR_1453_1493",0.240605770304864
"Q8IVE3_IDR_36_69",0.245495841398998
"Q8IVE3_IDR_71_132",0.237052081670969
"Q8IVF1_IDR_14_81",0.204887872634424
"Q8IVF1_IDR_232_366",0.201546426227918
"Q8IVF1_IDR_407_522",0.200053242770882
"Q8IVF1_IDR_525_878",0.195255696793529
"Q8IVF1_IDR_83_205",0.198256761573247
"Q8IVF2_IDR_1_114",0.370204819626753
"Q8IVF2_IDR_1794_5795",0.315222066923319
"Q8IVF2_IDR_195_1792",0.314573113449928
"Q8IVF4_IDR_156_187",0.508027285767442
"Q8IVF4_IDR_1_66",0.491972714232558
"Q8IVF5_IDR_1017_1093",0.219934396737644
"Q8IVF5_IDR_1461_1667",0.233059187805355
"Q8IVF5_IDR_1_498",0.237140701348897
"Q8IVF5_IDR_749_804",0.309865714108104
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.303168166899028
"Q8IVW6_IDR_319_491",0.380017747376029
"Q8IVW6_IDR_516_561",0.316814085724944
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.324242707129482
"Q8IW35_IDR_575_628",0.330703207036693
"Q8IW35_IDR_633_854",0.345054085833825
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.458722303998636
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.517788293286459
"Q8IWE2_IDR_404_437",0.482211706713541
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.50831807813346
"Q8IWF9_IDR_234_348",0.49168192186654
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.11015453255449
"Q8IWI9_IDR_1340_1371",0.112592461748103
"Q8IWI9_IDR_1398_1903",0.108353742888331
"Q8IWI9_IDR_1905_2856",0.111023881649052
"Q8IWI9_IDR_261_649",0.110743079321186
"Q8IWI9_IDR_2974_3016",0.11170244612551
"Q8IWI9_IDR_3020_3065",0.112440344359032
"Q8IWI9_IDR_681_751",0.108119533304054
"Q8IWI9_IDR_753_1079",0.114869978050242
"Q8IWJ2_IDR_1_69",0.313939326536347
"Q8IWT3_IDR_1658_1690",0.243173712399291
"Q8IWT3_IDR_2437_2517",0.239482796558403
"Q8IWT6_IDR_180_231",0.494989684496855
"Q8IWT6_IDR_62_95",0.505010315503145
"Q8IWU2_IDR_1_101",0.235426565060271
"Q8IWU2_IDR_1377_1415",0.256121341035724
"Q8IWU2_IDR_1426_1459",0.274857926179811
"Q8IWU2_IDR_557_1314",0.233594167724194
"Q8IWU5_IDR_1_40",0.246917520605228
"Q8IWU5_IDR_557_594",0.250200898728519
"Q8IWU5_IDR_648_718",0.237973033440481
"Q8IWU5_IDR_824_860",0.264908547225771
"Q8IWU6_IDR_1_37",0.258907780997697
"Q8IWU6_IDR_510_543",0.252774105471382
"Q8IWU6_IDR_561_610",0.245430115432074
"Q8IWU6_IDR_666_738",0.242887998098847
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.340631884632249
"Q8IWV1_IDR_178_270",0.335711006770153
"Q8IWV1_IDR_295_398",0.323657108597598
"Q8IX03_IDR_790_917",0.232589591587494
"Q8IX03_IDR_945_991",0.264846832023058
"Q8IX07_IDR_1_83",0.345301298486271
"Q8IX07_IDR_194_247",0.32537476777864
"Q8IX07_IDR_266_972",0.329323933735089
"Q8IX12_IDR_212_357",0.233418113240846
"Q8IX12_IDR_599_722",0.190666381294173
"Q8IX12_IDR_793_917",0.185003994874354
"Q8IX12_IDR_9_144",0.196084113067129
"Q8IX12_IDR_981_1021",0.194827397523498
"Q8IX15_IDR_125_364",0.250462408413406
"Q8IX15_IDR_1_38",0.257420824914816
"Q8IX15_IDR_420_461",0.251903380848605
"Q8IX15_IDR_504_550",0.240213385823173
"Q8IX18_IDR_1_50",0.49937501722335
"Q8IX18_IDR_706_779",0.50062498277665
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.524797937693178
"Q8IX29_IDR_239_292",0.475202062306822
"Q8IXP5_IDR_108_216",0.499277738623745
"Q8IXP5_IDR_1_106",0.500722261376255
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.500078593401067
"Q8IXQ8_IDR_211_264",0.499921406598933
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.367798999180376
"Q8IXT5_IDR_485_921",0.30778847689941
"Q8IXT5_IDR_89_151",0.324412523920215
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.319115060429419
"Q8IXW0_IDR_176_344",0.353445874503237
"Q8IXW0_IDR_466_587",0.327439065067344
"Q8IXW5_IDR_1_41",0.500694890641467
"Q8IXW5_IDR_171_324",0.499305109358533
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.508629427474095
"Q8IY63_IDR_493_952",0.491370572525905
"Q8IY67_IDR_1_35",0.499346536512112
"Q8IY67_IDR_349_606",0.500653463487888
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.513840474655851
"Q8IY84_IDR_7_44",0.486159525344149
"Q8IY85_IDR_375_441",0.496162661338873
"Q8IY85_IDR_77_146",0.503837338661127
"Q8IY92_IDR_1_50",0.164904806280197
"Q8IY92_IDR_377_470",0.161728639991072
"Q8IY92_IDR_558_613",0.170032041324218
"Q8IY92_IDR_630_669",0.165010415670307
"Q8IY92_IDR_64_289",0.158171153576005
"Q8IY92_IDR_824_1750",0.180152943158202
"Q8IYE1_IDR_684_715",0.512647990645627
"Q8IYF1_IDR_647_753",0.486163230450287
"Q8IYF1_IDR_79_458",0.513836769549713
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.330652993841803
"Q8IYH5_IDR_573_649",0.307254874756171
"Q8IYH5_IDR_714_786",0.362092131402026
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.494122973136882
"Q8IYI6_IDR_287_328",0.505877026863118
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.261399269262062
"Q8IYJ0_IDR_112_175",0.24491985762046
"Q8IYJ0_IDR_204_238",0.252326134168433
"Q8IYJ0_IDR_240_282",0.241354738949045
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.490587331793201
"Q8IYK4_IDR_584_626",0.509412668206799
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165595149261477
"Q8IYW2_IDR_1347_1410",0.160095676563784
"Q8IYW2_IDR_1985_2022",0.169932605499695
"Q8IYW2_IDR_2287_2320",0.169593117253645
"Q8IYW2_IDR_2540_2579",0.168056878470786
"Q8IYW2_IDR_2630_2661",0.166726572950613
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.574063356602399
"Q8IZ41_IDR_77_124",0.425936643397601
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337608639628707
"Q8IZ63_IDR_360_422",0.340541459276303
"Q8IZ63_IDR_87_332",0.32184990109499
"Q8IZ69_IDR_1_56",0.483530513827507
"Q8IZ69_IDR_591_625",0.516469486172493
"Q8IZ73_IDR_31_122",0.498927818917603
"Q8IZ73_IDR_421_495",0.501072181082397
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.331438873864859
"Q8IZA0_IDR_201_244",0.331268931851849
"Q8IZA0_IDR_957_1015",0.337292194283292
"Q8IZA3_IDR_114_346",0.49627554880384
"Q8IZA3_IDR_1_50",0.50372445119616
"Q8IZC4_IDR_185_221",0.329562741596165
"Q8IZC4_IDR_409_445",0.316738883162341
"Q8IZC4_IDR_476_603",0.353698375241494
"Q8IZC6_IDR_1_36",0.498904946600073
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.512913553114054
"Q8IZJ3_IDR_1758_1835",0.487086446885946
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.527317663202885
"Q8IZL8_IDR_637_1130",0.472682336797115
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.525379178238893
"Q8IZN3_IDR_323_488",0.474620821761107
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.519482612357398
"Q8IZP6_IDR_97_147",0.480517387642602
"Q8IZP7_IDR_1_118",0.502198941304678
"Q8IZP7_IDR_426_459",0.497801058695322
"Q8IZP9_IDR_249_371",0.254118340277558
"Q8IZP9_IDR_39_74",0.239034952870864
"Q8IZU9_IDR_701_778",0.506998829031308
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.167850532149991
"Q8IZX4_IDR_1220_1400",0.168220027674359
"Q8IZX4_IDR_1644_1826",0.159144864484542
"Q8IZX4_IDR_268_354",0.163790871695778
"Q8IZX4_IDR_536_578",0.165529390475691
"Q8IZX4_IDR_82_235",0.175464313519639
"Q8IZY2_IDR_1152_1210",0.483338651628736
"Q8IZY2_IDR_2105_2146",0.516661348371264
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.508209886202084
"Q8N0S2_IDR_260_351",0.491790113797916
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.245134917468307
"Q8N0U7_IDR_267_299",0.255025099762454
"Q8N0U7_IDR_37_122",0.235926109377379
"Q8N0U7_IDR_391_467",0.263913873391859
"Q8N103_IDR_1_81",0.296309075957577
"Q8N103_IDR_283_731",0.703690924042423
"Q8N108_IDR_1_176",0.478681076240657
"Q8N108_IDR_344_512",0.521318923759343
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.48053011666078
"Q8N114_IDR_203_240",0.51946988333922
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.507101384498429
"Q8N122_IDR_820_949",0.492898615501571
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.504859326719368
"Q8N128_IDR_68_213",0.495140673280632
"Q8N129_IDR_1_32",0.505170178595537
"Q8N129_IDR_202_248",0.494829821404463
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.346619816615301
"Q8N137_IDR_442_797",0.31655218256412
