"","GO0003690_double_stranded_DNA_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.258942004964497
"Q5VUJ6_IDR_1_54",0.468622231651763
"Q5VUJ6_IDR_308_649",0.531377768348237
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.446304781485232
"Q5VV16_IDR_235_409",0.553695218514768
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.38923461157637
"Q5VV42_IDR_499_545",0.61076538842363
"Q5VWN6_IDR_1918_1981",0.166733396416485
"Q5VWN6_IDR_1993_2150",0.18599729520005
"Q5VWN6_IDR_803_1879",0.14498329415405
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.140421497744511
"Q5VWQ0_IDR_63_351",0.599900636179408
"Q5VWQ0_IDR_708_802",0.259677866076081
"Q5VWQ8_IDR_1141_1189",0.363923410070645
"Q5VWQ8_IDR_1_142",0.327394356652719
"Q5VWQ8_IDR_654_1098",0.308682233276637
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.223679542146258
"Q5VZL5_IDR_1_334",0.291361786789383
"Q5VZL5_IDR_640_677",0.152140269525253
"Q5VZL5_IDR_851_997",0.169325819134532
"Q5VZL5_IDR_999_1200",0.163492582404575
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.155079216179657
"Q5VZP5_IDR_45_103",0.209981653718695
"Q5XX13_IDR_168_231",0.427742620259871
"Q5XX13_IDR_693_978",0.572257379740129
"Q5XXA6_IDR_1_48",0.251512890246682
"Q5XXA6_IDR_74_121",0.468216019831791
"Q5XXA6_IDR_945_986",0.280271089921527
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.494746969370978
"Q63HK3_IDR_383_743",0.505253030629022
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.326296149713847
"Q66K14_IDR_944_993",0.332715521262559
"Q66K41_IDR_1_291",0.49045165100843
"Q66K41_IDR_304_345",0.50954834899157
"Q66K64_IDR_1_37",0.543140695210076
"Q66K64_IDR_275_383",0.456859304789924
"Q66K66_IDR_241_349",0.778711201643991
"Q66K66_IDR_32_81",0.221288798356009
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.235372606620114
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.531817652065045
"Q8IU57_IDR_479_520",0.468182347934955
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.462375421075131
"Q8IU81_IDR_56_237",0.537624578924869
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.511364674516961
"Q8IUC6_IDR_634_673",0.488635325483039
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.232186527086609
"Q8IUD2_IDR_621_730",0.198486636582429
"Q8IUD2_IDR_764_839",0.205708999737897
"Q8IUD2_IDR_926_1072",0.363617836593065
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.520721070670453
"Q8IUE0_IDR_1_55",0.479278929329547
"Q8IUE1_IDR_116_241",0.538129642957015
"Q8IUE1_IDR_1_55",0.461870357042985
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.397704657192142
"Q8IUG5_IDR_1_504",0.320507918440039
"Q8IUW5_IDR_126_223",0.279985809351268
"Q8IUW5_IDR_1_54",0.258229149475164
"Q8IUW5_IDR_234_271",0.232539490991373
"Q8IUW5_IDR_91_123",0.229245550182195
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.32268597072221
"Q8IUX7_IDR_1099_1138",0.36274903053914
"Q8IUX7_IDR_44_388",0.31456499873865
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.608472261509223
"Q8IUY3_IDR_182_321",0.391527738490777
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.512150545683316
"Q8IV04_IDR_352_446",0.487849454316684
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.493967634951646
"Q8IV31_IDR_62_184",0.506032365048354
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.250289451790945
"Q8IVE3_IDR_1453_1493",0.279056885376064
"Q8IVE3_IDR_36_69",0.243704583972288
"Q8IVE3_IDR_71_132",0.226949078860704
"Q8IVF1_IDR_14_81",0.197065346683425
"Q8IVF1_IDR_232_366",0.193013067096058
"Q8IVF1_IDR_407_522",0.195616609724207
"Q8IVF1_IDR_525_878",0.220104527067246
"Q8IVF1_IDR_83_205",0.194200449429064
"Q8IVF2_IDR_1_114",0.333788592978163
"Q8IVF2_IDR_1794_5795",0.336508602147014
"Q8IVF2_IDR_195_1792",0.329702804874823
"Q8IVF4_IDR_156_187",0.541503889451598
"Q8IVF4_IDR_1_66",0.458496110548402
"Q8IVF5_IDR_1017_1093",0.212211526534651
"Q8IVF5_IDR_1461_1667",0.254162613004164
"Q8IVF5_IDR_1_498",0.357619055499245
"Q8IVF5_IDR_749_804",0.17600680496194
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.327421302256579
"Q8IVW6_IDR_319_491",0.348261046150958
"Q8IVW6_IDR_516_561",0.324317651592463
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.428292961685187
"Q8IW35_IDR_575_628",0.298013935814553
"Q8IW35_IDR_633_854",0.27369310250026
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.546448860732449
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.515057768503675
"Q8IWE2_IDR_404_437",0.484942231496325
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.46876186319205
"Q8IWF9_IDR_234_348",0.53123813680795
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.132909222657274
"Q8IWI9_IDR_1340_1371",0.10492774502362
"Q8IWI9_IDR_1398_1903",0.0933954233598136
"Q8IWI9_IDR_1905_2856",0.0922675797031543
"Q8IWI9_IDR_261_649",0.197467496116893
"Q8IWI9_IDR_2974_3016",0.0957837420976234
"Q8IWI9_IDR_3020_3065",0.094317967698253
"Q8IWI9_IDR_681_751",0.103992798461131
"Q8IWI9_IDR_753_1079",0.084938024882237
"Q8IWJ2_IDR_1_69",0.287612519462532
"Q8IWT3_IDR_1658_1690",0.216417519476159
"Q8IWT3_IDR_2437_2517",0.210470222891809
"Q8IWT6_IDR_180_231",0.462452633379147
"Q8IWT6_IDR_62_95",0.537547366620853
"Q8IWU2_IDR_1_101",0.288400533066545
"Q8IWU2_IDR_1377_1415",0.251065889533685
"Q8IWU2_IDR_1426_1459",0.234465451384972
"Q8IWU2_IDR_557_1314",0.226068126014798
"Q8IWU5_IDR_1_40",0.216951534592515
"Q8IWU5_IDR_557_594",0.233954249472251
"Q8IWU5_IDR_648_718",0.251399682942585
"Q8IWU5_IDR_824_860",0.297694532992649
"Q8IWU6_IDR_1_37",0.238722524421487
"Q8IWU6_IDR_510_543",0.276638350776401
"Q8IWU6_IDR_561_610",0.247327635036602
"Q8IWU6_IDR_666_738",0.237311489765509
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.304545634851871
"Q8IWV1_IDR_178_270",0.316037128686638
"Q8IWV1_IDR_295_398",0.379417236461492
"Q8IX03_IDR_790_917",0.235000342084502
"Q8IX03_IDR_945_991",0.271748117610053
"Q8IX07_IDR_1_83",0.131878004649796
"Q8IX07_IDR_194_247",0.174385206726325
"Q8IX07_IDR_266_972",0.693736788623879
"Q8IX12_IDR_212_357",0.138505858948231
"Q8IX12_IDR_599_722",0.17217051500455
"Q8IX12_IDR_793_917",0.182119325129474
"Q8IX12_IDR_9_144",0.29847797605928
"Q8IX12_IDR_981_1021",0.208726324858465
"Q8IX15_IDR_125_364",0.383091101776355
"Q8IX15_IDR_1_38",0.210044493767981
"Q8IX15_IDR_420_461",0.20402996747264
"Q8IX15_IDR_504_550",0.202834436983023
"Q8IX18_IDR_1_50",0.502562970434962
"Q8IX18_IDR_706_779",0.497437029565038
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.537467064874344
"Q8IX29_IDR_239_292",0.462532935125656
"Q8IXP5_IDR_108_216",0.552431169402591
"Q8IXP5_IDR_1_106",0.447568830597409
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.453494725273066
"Q8IXQ8_IDR_211_264",0.546505274726934
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.344777234408012
"Q8IXT5_IDR_485_921",0.34813080874442
"Q8IXT5_IDR_89_151",0.307091956847569
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.348561097056549
"Q8IXW0_IDR_176_344",0.334181946969915
"Q8IXW0_IDR_466_587",0.317256955973536
"Q8IXW5_IDR_1_41",0.490487110611942
"Q8IXW5_IDR_171_324",0.509512889388058
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.580833332288228
"Q8IY63_IDR_493_952",0.419166667711772
"Q8IY67_IDR_1_35",0.406743554801792
"Q8IY67_IDR_349_606",0.593256445198208
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.530094113591085
"Q8IY84_IDR_7_44",0.469905886408915
"Q8IY85_IDR_375_441",0.459813603439046
"Q8IY85_IDR_77_146",0.540186396560954
"Q8IY92_IDR_1_50",0.183011025165498
"Q8IY92_IDR_377_470",0.150731601163139
"Q8IY92_IDR_558_613",0.17593392525477
"Q8IY92_IDR_630_669",0.159718014679573
"Q8IY92_IDR_64_289",0.138941550466081
"Q8IY92_IDR_824_1750",0.191663883270939
"Q8IYE1_IDR_684_715",0.619531235750752
"Q8IYF1_IDR_647_753",0.410505416466365
"Q8IYF1_IDR_79_458",0.589494583533635
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.344950475532488
"Q8IYH5_IDR_573_649",0.323163202722192
"Q8IYH5_IDR_714_786",0.33188632174532
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.501236807474331
"Q8IYI6_IDR_287_328",0.498763192525669
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.248634916721979
"Q8IYJ0_IDR_112_175",0.254263239585603
"Q8IYJ0_IDR_204_238",0.243526033073157
"Q8IYJ0_IDR_240_282",0.253575810619261
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.468302183910203
"Q8IYK4_IDR_584_626",0.531697816089798
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.180829838485999
"Q8IYW2_IDR_1347_1410",0.161145643107795
"Q8IYW2_IDR_1985_2022",0.160810213762793
"Q8IYW2_IDR_2287_2320",0.164089633169694
"Q8IYW2_IDR_2540_2579",0.158152128026537
"Q8IYW2_IDR_2630_2661",0.174972543447181
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.550961462589401
"Q8IZ41_IDR_77_124",0.449038537410599
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.342661202769609
"Q8IZ63_IDR_360_422",0.279752420291825
"Q8IZ63_IDR_87_332",0.377586376938565
"Q8IZ69_IDR_1_56",0.4659115835244
"Q8IZ69_IDR_591_625",0.5340884164756
"Q8IZ73_IDR_31_122",0.434626015450004
"Q8IZ73_IDR_421_495",0.565373984549996
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.352653312498613
"Q8IZA0_IDR_201_244",0.343655543397455
"Q8IZA0_IDR_957_1015",0.303691144103932
"Q8IZA3_IDR_114_346",0.451790525890742
"Q8IZA3_IDR_1_50",0.548209474109258
"Q8IZC4_IDR_185_221",0.313455484997085
"Q8IZC4_IDR_409_445",0.336428867300525
"Q8IZC4_IDR_476_603",0.350115647702389
"Q8IZC6_IDR_1_36",0.548899664755312
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.491562216321711
"Q8IZJ3_IDR_1758_1835",0.508437783678288
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.505249636616122
"Q8IZL8_IDR_637_1130",0.494750363383878
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.282541942970239
"Q8IZN3_IDR_323_488",0.717458057029761
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.470298855944293
"Q8IZP6_IDR_97_147",0.529701144055707
"Q8IZP7_IDR_1_118",0.546394917133899
"Q8IZP7_IDR_426_459",0.453605082866101
"Q8IZP9_IDR_249_371",0.262825154105598
"Q8IZP9_IDR_39_74",0.271754112376995
"Q8IZU9_IDR_701_778",0.37697365743428
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.144181692469798
"Q8IZX4_IDR_1220_1400",0.156408522138485
"Q8IZX4_IDR_1644_1826",0.15258349091572
"Q8IZX4_IDR_268_354",0.155496002741425
"Q8IZX4_IDR_536_578",0.260761275416246
"Q8IZX4_IDR_82_235",0.130569016318327
"Q8IZY2_IDR_1152_1210",0.498030012843878
"Q8IZY2_IDR_2105_2146",0.501969987156122
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.447625356371282
"Q8N0S2_IDR_260_351",0.552374643628718
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.222675770802059
"Q8N0U7_IDR_267_299",0.224839747994782
"Q8N0U7_IDR_37_122",0.298458614429939
"Q8N0U7_IDR_391_467",0.25402586677322
"Q8N103_IDR_1_81",0.476661634893327
"Q8N103_IDR_283_731",0.523338365106673
"Q8N108_IDR_1_176",0.360972114183562
"Q8N108_IDR_344_512",0.639027885816438
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.52566306858855
"Q8N114_IDR_203_240",0.47433693141145
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.426384509063366
"Q8N122_IDR_820_949",0.573615490936634
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.330994462545728
"Q8N128_IDR_68_213",0.669005537454272
"Q8N129_IDR_1_32",0.499028282166803
"Q8N129_IDR_202_248",0.500971717833198
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.305940339796554
